Replicate,Genotype
1,Delta-rhlE1
2,Delta-rhlE1
1,Delta-rhlE1 + Delta-rhlE2
2,Delta-rhlE1 + Delta-rhlE2
1,Delta-rhlE2
2,Delta-rhlE2
1,WT
2,WT
