Gene,D39_CEP_RR07_A,D39_CEP_RR07_B,D39_CEP_RR07_C,D39_CEP_RR07_D,D39_A,D39_B,D39_C,D39_D
SPD_RS04200,240,600,870,1340,50,270,900,370
SPD_RS06940,240,2230,1690,2000,80,1080,970,390
SPD_RS08695,830,1610,11240,9220,190,1190,5900,1750
SPD_RS03380,60,300,660,1120,0,280,300,170
glpO,540,510,1750,3010,70,1520,210,140
SPD_RS06935,660,4500,2400,1930,250,2020,1090,410
SPD_RS01965,10,70,70,130,0,30,70,20
SPD_RS02015,7270,7350,26650,12860,890,17110,8690,1620
SPD_RS06750,1390,3900,3240,1830,170,3370,2970,1010
trpB,280,980,8140,23430,70,700,5360,3990
SPD_RS04940,1150,6370,16380,25460,170,3720,11670,5530
thiI,1400,8980,30580,47070,480,5500,13300,9230
SPD_RS03305,1510,4610,8740,10830,480,3850,2730,950
rexB,2770,14850,23410,14980,900,5780,13930,5490
SPD_RS08520,260,550,6250,15410,80,650,3830,2430
SPD_RS06760,480,1160,1340,930,30,1240,1340,460
SPD_RS06295,1330,2040,4040,15950,210,1440,7670,3010
pyrR,3940,7410,101430,76830,1360,14450,31220,9870
SPD_RS03315,110,1030,1580,2230,70,570,670,290
SPD_RS05465,1550,6120,13110,9530,370,3360,9520,2730
SPD_RS03280,1420,3470,87630,71640,790,8750,27790,9630
SPD_RS06045,5020,15470,165090,139910,2010,24220,55440,17340
SPD_RS08715,270,600,290,590,60,440,360,280
trpC,220,360,5010,15790,70,510,3240,2680
SPD_RS02390,17570,74290,481930,777670,4490,61580,428250,79390
SPD_RS04930,18890,46470,159520,108070,3750,40000,99140,30500
SPD_RS06315,40,80,130,360,0,70,100,100
addA,3760,16110,32420,21740,1170,7780,20600,6900
SPD_RS05925,220,1140,5250,8960,30,500,4530,1920
SPD_RS02735,30,20,130,120,0,30,70,40
SPD_RS03050,30,80,140,150,0,50,130,40
SPD_RS04960,90,250,1210,1630,10,130,840,460
SPD_RS04945,1020,5250,12710,20320,290,3190,8630,4490
SPD_RS04325,20,100,140,100,0,50,60,70
tenA,30,170,360,540,0,150,180,120
SPD_RS06795,20,0,90,90,0,20,0,50
ychF,3550,13120,86840,63970,750,9500,48770,19040
SPD_RS03375,30,90,460,490,10,90,270,70
glgA,830,2040,5590,7750,180,1470,5260,1870
SPD_RS06770,460,1130,1980,1880,90,950,1950,560
SPD_RS03330,40,80,210,170,20,40,150,40
SPD_RS05145,260,1030,6100,12350,50,540,4890,2830
SPD_RS01235,60,220,440,360,10,190,240,100
dnaJ,590,1140,14410,147140,140,1950,59110,8930
pyrF,1130,2960,92860,69460,690,11170,28290,10740
SPD_RS07650,50,30,90,110,0,120,30,10
SPD_RS09495,150,500,690,1290,40,380,650,280
SPD_RS05030,10,10,20,80,0,0,50,10
SPD_RS08545,130,280,2490,9090,20,320,2290,1840
SPD_RS04950,240,1300,4330,6220,70,550,3110,1840
SPD_RS03295,1820,2900,7680,11240,830,2230,2400,1020
SPD_RS03290,2620,6060,15420,20690,1230,4550,5430,2210
SPD_RS08700,580,1230,9880,7930,90,1960,5460,1880
SPD_RS06755,1150,3860,3150,2720,270,2960,3800,1110
trpD,410,360,4890,17680,100,940,3960,3440
glgB,1470,3220,2710,5810,500,2060,2480,1790
SPD_RS05395,840,1970,2840,6050,190,1710,3150,1760
SPD_RS03445,10,10,50,50,0,10,10,30
glgD,980,2650,3790,6410,280,1850,3840,1870
SPD_RS04955,250,1190,3620,4460,130,620,2320,1030
truA,60,470,5770,5430,0,400,3490,1480
SPD_RS06290,730,1410,2890,11180,130,1850,4580,1950
SPD_RS04165,20,270,820,2150,10,140,790,420
SPD_RS05460,160,640,3030,2020,30,300,2390,780
SPD_RS02380,1790,10390,28510,14680,780,7410,13330,4380
SPD_RS05115,0,10,30,50,0,10,30,0
carA,7840,23840,156480,148800,3610,38940,52450,17880
phtE,4070,6420,30150,21220,460,14230,18150,5570
SPD_RS07235,5370,12550,17440,12750,1350,9580,20110,7130
SPD_RS04835,0,40,220,220,0,50,140,20
carB,23500,83990,392310,310330,10790,116050,118770,33300
SPD_RS08325,1310,9720,32540,27410,510,6500,21010,7710
SPD_RS09115,820,4980,32580,33840,270,3140,21060,10090
SPD_RS03770,15610,103450,183290,136000,6220,55680,144190,48740
SPD_RS05150,320,900,5470,12530,150,470,4540,2770
SPD_RS07655,120,410,340,140,40,320,350,50
SPD_RS00065,0,0,110,140,0,0,110,10
SPD_RS06300,2100,3970,5720,20580,580,3900,10480,3800
SPD_RS01225,90,180,340,420,0,270,240,180
argF,6820,23270,32760,18000,2430,19450,16430,6010
SPD_RS05080,50,100,500,630,20,20,430,210
trpE,220,620,5160,16050,80,880,4320,3250
SPD_RS01955,20,150,240,110,0,120,130,60
SPD_RS04935,2470,11640,58010,56280,820,8840,42740,14570
nagA,12780,102320,125270,232890,6100,54120,94700,74710
spuA,1570,3980,1870,660,500,4060,950,200
SPD_RS01950,70,340,370,190,10,370,220,50
SPD_RS05140,560,2000,13440,19020,100,1360,12350,5270
SPD_RS08495,80,310,880,760,20,270,640,220
SPD_RS09415,4330,34460,273820,201010,2110,20590,170150,65270
SPD_RS03385,40,110,260,500,0,180,140,110
SPD_RS06705,350,1060,1740,2170,60,1190,1780,640
SPD_RS09505,550,1860,2810,4440,170,1570,2780,1220
SPD_RS07040,10,10,20,0,0,20,0,0
SPD_RS03355,20,200,1540,2420,0,120,1260,640
SPD_RS09125,450,2650,18990,20950,150,2100,11760,6640
gatC,580,3930,6850,2040,300,2700,3490,810
SPD_RS08460,580,2000,3790,2960,130,2190,2750,1080
SPD_RS09130,450,2680,12640,12990,170,2160,7290,4260
SPD_RS02810,420,3790,7040,6170,240,2150,4390,2260
SPD_RS10505,130,280,560,850,20,480,470,130
SPD_RS02960,20,130,690,1180,10,190,430,200
SPD_RS03365,110,750,2570,3900,30,510,1570,1410
arcC,1470,3930,8310,6930,470,5080,4020,1580
sufC,4870,15940,56850,42620,1680,13110,29710,20370
SPD_RS04700,540,3390,4780,2190,220,2510,3270,910
SPD_RS03325,40,250,370,460,20,280,180,30
SPD_RS03350,200,1430,6960,8720,30,1230,4900,2860
SPD_RS05790,100,420,2600,2710,20,290,2350,740
SPD_RS09545,530,1130,2220,2350,220,1210,1150,500
SPD_RS04590,6970,31010,145690,204530,4850,45830,50990,23450
mfd,2510,10310,40170,44010,860,8120,27620,15450
SPD_RS09090,2780,10810,11160,4100,720,11550,4640,4020
SPD_RS02035,2150,7140,39300,23090,790,6020,28100,7370
SPD_RS07520,280,510,720,730,40,730,470,640
SPD_RS06765,390,1850,3100,1770,90,1690,2580,870
SPD_RS09120,790,4150,30040,31760,410,2890,18860,9980
SPD_RS00680,130,490,1100,1760,40,450,1050,450
SPD_RS09335,160,280,610,1300,30,360,940,310
SPD_RS05075,60,90,630,780,0,70,680,300
SPD_RS08720,140,1230,1440,970,60,990,890,350
SPD_RS07510,30,310,1940,1260,10,150,1180,600
