,covR_Ctrl1,covR_Ctrl2,covR_Ctrl3,covR_Ctrl4
CHF17_RS03335,9653,6970,6736,7698
CHF17_RS03340,7027,7822,6366,7598
CHF17_RS03345,13413,12130,14195,13850
CHF17_RS03350,23564,22020,21480,23464
CHF17_RS03355,6038,5288,4809,5107
CHF17_RS03360,11158,8807,8138,8867
CHF17_RS03365,1566,1262,1109,1574
CHF17_RS03370,3183,2975,3048,3246
CHF17_RS03375,3576,4131,4566,4299
CHF17_RS03380,3036,3923,3541,3877
CHF17_RS03385,11671,11297,11223,10992
CHF17_RS03390,14126,1873,10926,13219
CHF17_RS03395,47346,32032,33691,49936
CHF17_RS03400,6437,4819,4118,4436
CHF17_RS03405,2690,1692,2058,1880
CHF17_RS03410,8886,4902,5243,4517
CHF17_RS03415,2468,2224,1712,1824
CHF17_RS03420,6699,6489,5348,6684
CHF17_RS03425,81316,46515,48742,59874
CHF17_RS03430,11333,9593,7487,13754
CHF17_RS03435,3755,3126,2454,5432
CHF17_RS03440,553,500,422,660
CHF17_RS03445,1369,1474,949,1241
CHF17_RS03450,839,1138,738,864
CHF17_RS03455,903,1582,781,1059
CHF17_RS03460,801,1348,712,807
CHF17_RS03465,208,433,201,285
CHF17_RS03470,509,1419,466,954
CHF17_RS03475,560,1486,549,977
CHF17_RS03480,2349,4898,2354,3567
CHF17_RS03485,416,660,318,629
CHF17_RS03490,922,1423,557,1214
CHF17_RS03495,1161,1361,801,1401
CHF17_RS03500,5566,2346,3183,2037
CHF17_RS03505,5025,2189,2720,2126
CHF17_RS03510,12645,9100,7937,10818
CHF17_RS03515,4745,6932,4493,4809
CHF17_RS03520,15868,22926,18458,20069
CHF17_RS03525,50210,39642,39091,41477
CHF17_RS03530,1996,1436,1633,1758
CHF17_RS03535,1361,1295,1158,1238
CHF17_RS03540,2064,2123,1643,1970
CHF17_RS03545,653748,395321,405519,392996
CHF17_RS03550,11964,11150,9143,12572
CHF17_RS03555,5153,4672,5257,4438
CHF17_RS03560,1021,1301,1225,1511
CHF17_RS03565,5190,6045,5219,5673
CHF17_RS03570,7501,4947,5018,6589
CHF17_RS03575,890,564,593,744
CHF17_RS03580,1670,1036,1191,1439
CHF17_RS03585,347,313,267,402
CHF17_RS03590,13,14,9,23
CHF17_RS03595,12,5,10,9
CHF17_RS03600,26,36,48,45
CHF17_RS03605,1,2,1,6
CHF17_RS03610,2,1,2,3
CHF17_RS03615,11,17,17,11
CHF17_RS03620,3,3,2,2
CHF17_RS03625,1,3,3,3
CHF17_RS03630,30,39,19,19
CHF17_RS03635,29,30,22,30
CHF17_RS03640,0,1,1,2
CHF17_RS03645,11,15,13,10
CHF17_RS03650,10,23,12,18
CHF17_RS03655,378,156,223,187
CHF17_RS03660,8617,4683,5038,5124
CHF17_RS03665,246,243,176,212
CHF17_RS03670,48,57,58,70
CHF17_RS03675,20,17,17,31
CHF17_RS03680,53153,29498,36580,50792
CHF17_RS03685,27,35,22,29
CHF17_RS03690,17,35,40,45
CHF17_RS03695,6,9,3,7
CHF17_RS03700,63,73,75,105
CHF17_RS03705,28,44,34,37
CHF17_RS03710,333,343,323,295
CHF17_RS03715,83,86,68,73
CHF17_RS03720,546,279,330,303
CHF17_RS03725,534,597,434,476
CHF17_RS03730,431,469,473,474
CHF17_RS03735,134,154,134,133
CHF17_RS03740,214,192,211,192
CHF17_RS03745,314,271,279,328
CHF17_RS03750,23,22,18,22
CHF17_RS03755,10,17,7,9
CHF17_RS03760,9,17,14,8
CHF17_RS03765,21,46,44,34
CHF17_RS03770,1,6,3,3
CHF17_RS03775,41,81,62,64
CHF17_RS03780,14,30,13,19
CHF17_RS03785,18,35,23,36
CHF17_RS03790,18,48,38,40
CHF17_RS03795,153,242,244,294
CHF17_RS03800,42,50,79,80
CHF17_RS03805,4,5,7,0
CHF17_RS03810,3,4,3,3
CHF17_RS03815,35,44,47,52
CHF17_RS03820,4096,4406,4086,4385
CHF17_RS03825,461,393,408,389
CHF17_RS03830,2553,2304,1944,2764
CHF17_RS03835,193,184,169,283
CHF17_RS03840,9,6,7,7
CHF17_RS03845,1,4,1,2
CHF17_RS03850,14,21,14,8
CHF17_RS03855,4,11,7,8
CHF17_RS03860,3,4,3,2
CHF17_RS03865,3,4,5,6
CHF17_RS03870,1545,1587,1332,1331
CHF17_RS03875,79,136,93,112
CHF17_RS03880,2074,2277,1714,1915
CHF17_RS03885,69,67,48,79
CHF17_RS03890,32,82,32,33
CHF17_RS03895,11,19,11,10
CHF17_RS03900,5,12,8,8
CHF17_RS03905,1500,2614,1848,1764
CHF17_RS03910,343,489,455,376
CHF17_RS03915,1529,1701,1489,1388
CHF17_RS03920,1345,1359,1026,1241
CHF17_RS03925,149,214,112,220
CHF17_RS03930,1214,1463,1017,1303
CHF17_RS03935,4063,5086,3512,5406
CHF17_RS03940,679,990,720,835
CHF17_RS03945,1737,2478,1876,1972
CHF17_RS03950,8400,11046,7617,8552
CHF17_RS03955,6165,4382,4791,4690
CHF17_RS03960,856,988,1003,1100
CHF17_RS03965,715,825,988,1112
CHF17_RS03970,567,687,721,957
CHF17_RS03975,2533,2893,2578,3101
CHF17_RS03980,1037,883,986,808
CHF17_RS03985,94,118,69,83
CHF17_RS03990,29,27,21,30
CHF17_RS03995,32,28,20,24
CHF17_RS04000,668,648,424,594
CHF17_RS04005,1590,1470,1073,1297
CHF17_RS04010,15,23,8,11
CHF17_RS04015,12894,10418,9271,11525
CHF17_RS04020,3240,2425,2349,2725
CHF17_RS04025,2028,1836,1622,2037
CHF17_RS04030,1315,1346,1146,1599
CHF17_RS04035,6759,4055,4993,3900
CHF17_RS04040,18213,18023,19241,21132
CHF17_RS04045,17233,19109,22498,22495
CHF17_RS04050,3813,4231,4625,5811
CHF17_RS04055,15561,17641,21879,24140
CHF17_RS04060,28990,32530,41354,54546
CHF17_RS04065,27235,32410,36920,55744
CHF17_RS04070,58258,79079,86038,135148
CHF17_RS04075,24994,32397,36491,61927
CHF17_RS04080,62616,87082,110586,154470
CHF17_RS04085,49111,53506,51443,78584
CHF17_RS04090,34922,31469,30868,43063
CHF17_RS04095,54,62,49,108
CHF17_RS04100,113,97,147,169
CHF17_RS04105,310,290,406,770
CHF17_RS04110,384,444,415,811
CHF17_RS04115,36,35,20,31
CHF17_RS04120,15,27,18,25
CHF17_RS04125,2,6,3,7
CHF17_RS04130,15,18,19,23
CHF17_RS04135,17,28,29,25
CHF17_RS04140,77,101,97,118
CHF17_RS04145,146,145,160,192
CHF17_RS04150,130,142,134,177
CHF17_RS04155,45,58,63,66
CHF17_RS04160,76,93,107,121
CHF17_RS04165,5005,5402,3773,4248
CHF17_RS04170,2004,1939,1743,1982
CHF17_RS04175,2194,1883,1783,2135
CHF17_RS04180,1349,2246,1105,2348
CHF17_RS04185,1761,2138,1390,3216
CHF17_RS04190,528,432,351,519
CHF17_RS04195,1894,1732,1314,1949
CHF17_RS04200,857,1152,876,848
CHF17_RS04205,929,1035,878,754
CHF17_RS04210,34,39,35,32
CHF17_RS04215,55,60,53,56
CHF17_RS04220,487,493,528,550
CHF17_RS04225,3071,2283,2711,2473
CHF17_RS04230,79,79,71,104
CHF17_RS04235,145,136,150,157
CHF17_RS04240,148,119,159,178
CHF17_RS04245,179,118,196,198
CHF17_RS04250,52,59,59,89
CHF17_RS04255,489,430,453,484
CHF17_RS04260,7662,5630,4758,5491
CHF17_RS04265,14780,11851,12206,12809
CHF17_RS04270,3487,3872,3692,4292
CHF17_RS04275,9388,9747,9842,9093
CHF17_RS04280,14719,16134,14727,16481
CHF17_RS04285,35041,30960,38147,34641
CHF17_RS04290,4973,2555,3321,3426
CHF17_RS04295,4219,2993,2897,3471
CHF17_RS04300,10003,8112,6609,5673
CHF17_RS04305,7699,15457,6073,9119
CHF17_RS04310,9197,17402,8041,8633
CHF17_RS04315,8862,18510,8677,8927
CHF17_RS04320,8853,15118,8537,7747
CHF17_RS04325,6817,5933,6092,6080
CHF17_RS04330,13364,14431,13781,12745
CHF17_RS04335,9034,8656,8176,7876
CHF17_RS04340,3475,3261,3342,3542
CHF17_RS04345,1698,1276,1360,1689
CHF17_RS04350,14889,15240,14890,15527
CHF17_RS04355,2415,2935,1912,2348
CHF17_RS04360,2455,3447,2376,3277
CHF17_RS04365,3202,4169,4415,7090
CHF17_RS04370,694,712,741,766
CHF17_RS04375,14516,11191,10255,14550
CHF17_RS04380,14048,12115,10497,13230
CHF17_RS04385,1648,1231,1165,1544
CHF17_RS04390,450,415,299,300
CHF17_RS04395,10727,10403,12521,12952
CHF17_RS04400,2843,2392,2971,3019
CHF17_RS04405,6563,3747,5267,5962
CHF17_RS04410,4714,2803,3801,5075
CHF17_RS04415,7488,7622,9145,8045
CHF17_RS04420,7700,7872,9394,8837
CHF17_RS04425,4346,4142,3788,4156
CHF17_RS04430,7442,7277,6480,7621
CHF17_RS04435,17081,11058,11912,14974
CHF17_RS04440,5737,4458,5549,6188
CHF17_RS04445,15093,12952,15610,16463
CHF17_RS04450,2977,2322,2120,3416
CHF17_RS04455,1771,2201,1207,1965
CHF17_RS04460,12257,10559,8711,10447
CHF17_RS04465,4837,1021,4549,4952
CHF17_RS04470,1863,509,2356,2586
CHF17_RS04475,6637,1513,7458,6576
CHF17_RS04480,3001,552,2595,2044
CHF17_RS04485,51403,33480,34361,33985
CHF17_RS04490,4803,2722,2699,3983
CHF17_RS04495,5393,6631,4119,4922
CHF17_RS04500,3976,4733,2581,3458
CHF17_RS04505,587,657,407,428
CHF17_RS04510,11312,11102,7558,10515
CHF17_RS04515,1086,695,799,980
CHF17_RS04520,5341,3113,3636,4770
CHF17_RS04525,19019,21056,14558,14394
CHF17_RS04530,36727,49686,30888,36650
CHF17_RS04535,7241,5132,6570,8315
CHF17_RS04540,878828,742740,650115,580558
CHF17_RS04545,110942,82055,74134,90233
CHF17_RS04550,135746,91313,90492,97649
CHF17_RS04555,18944,16929,19412,16857
CHF17_RS04560,5625,5385,5345,5488
CHF17_RS04565,41077,19583,26595,35383
CHF17_RS04570,15705,14009,11418,11132
CHF17_RS04575,2791,1946,1684,2205
CHF17_RS04580,25921,21670,18625,27165
CHF17_RS04585,18048,21460,18649,17974
CHF17_RS04590,15877,10660,12736,12132
CHF17_RS04595,1671,999,1010,971
CHF17_RS04600,1738,1666,1022,1498
CHF17_RS04605,2524,2484,1758,1951
CHF17_RS04610,4503,3805,2943,3046
CHF17_RS04615,190357,140750,149779,229225
CHF17_RS04620,1196,1082,904,1179
CHF17_RS04625,2984,2602,2105,2767
CHF17_RS04630,7276,4467,5127,5015
CHF17_RS04635,587,530,420,663
CHF17_RS04640,174,186,167,184
CHF17_RS04645,699,461,458,591
CHF17_RS04650,2303,1631,1799,1899
CHF17_RS04655,2052,1266,1498,1523
CHF17_RS04660,510,599,441,445
CHF17_RS04665,4143,3817,2672,3723
CHF17_RS04670,14461,15806,9601,12562
CHF17_RS04675,577,539,414,589
CHF17_RS04680,600,398,546,566
CHF17_RS04685,1004,777,822,1008
CHF17_RS04690,1550,1406,1031,1433
CHF17_RS04695,143,202,234,183
CHF17_RS04700,672,624,876,408
CHF17_RS04705,10278,7362,7160,7327
CHF17_RS04710,4221,2999,3007,3875
CHF17_RS04715,4299,3377,4004,4154
CHF17_RS04720,1245,1436,1070,2303
CHF17_RS04725,2698,1061,1667,2106
CHF17_RS04730,1249,1055,892,918
CHF17_RS04735,1086,684,706,684
CHF17_RS04740,130,94,101,93
CHF17_RS04745,4644,3728,2954,3820
CHF17_RS04750,339,331,217,276
CHF17_RS04755,14495,14259,11361,11116
CHF17_RS04760,760,1298,982,1142
CHF17_RS04765,3114,2800,2794,2907
CHF17_RS04770,48439,36890,31894,42670
CHF17_RS04775,6426,7042,5983,9550
CHF17_RS04780,21292,32881,33485,47144
CHF17_RS04785,2345,3042,3075,3690
CHF17_RS04790,1487,1431,1029,1816
CHF17_RS04795,36,30,25,36
CHF17_RS04800,81,50,55,57
CHF17_RS04805,80,49,43,57
CHF17_RS04810,116,99,88,130
CHF17_RS04815,1723,489,651,1591
CHF17_RS04820,15908,18468,12157,15967
CHF17_RS04825,36416,48657,30769,34819
CHF17_RS04830,5061,5159,3227,4412
CHF17_RS04835,24641,20569,18178,27331
CHF17_RS04840,301552,256673,238461,235474
CHF17_RS04845,77611,75000,63084,68135
CHF17_RS04850,2613,3625,2381,2889
CHF17_RS04855,7361,6467,5789,5633
CHF17_RS04860,7159,4041,4233,6256
CHF17_RS04865,4735,3778,3190,4310
CHF17_RS04870,31043,25790,21088,24193
CHF17_RS04875,1023,1082,680,1134
CHF17_RS04880,5494,5154,4009,5572
CHF17_RS04885,36814,24710,24461,29737
CHF17_RS04890,3189,2402,2294,3146
CHF17_RS04895,152112,82593,135404,118651
CHF17_RS04900,80559,50530,72011,67768
CHF17_RS04905,90,64,65,124
CHF17_RS04910,46,48,43,83
CHF17_RS04915,74,71,53,101
CHF17_RS04920,28,34,31,74
CHF17_RS04925,33,32,33,85
CHF17_RS04930,48,64,44,100
CHF17_RS04935,56,51,44,95
CHF17_RS04940,38,40,36,78
CHF17_RS04945,7703,6336,8975,10164
CHF17_RS04950,1785,1669,1616,2038
CHF17_RS04955,3693,4681,4656,4872
CHF17_RS04960,4216,5183,5053,5736
CHF17_RS04965,4682,5558,5360,6301
CHF17_RS04970,666,929,619,861
CHF17_RS04975,11275,6454,8204,15164
CHF17_RS04980,5677,10458,5675,6599
CHF17_RS04985,2161,4012,3027,3835
CHF17_RS04990,7838,10835,9308,11405
CHF17_RS04995,1766,1918,1624,2158
CHF17_RS05000,953,1397,1266,1284
CHF17_RS05005,978,1258,1121,1268
CHF17_RS05010,1225,1509,1458,1768
CHF17_RS05015,1253,1026,1394,1932
CHF17_RS05020,23600,22239,23523,39127
CHF17_RS05025,20028,19623,21062,28374
CHF17_RS05030,15610,19728,19848,32912
CHF17_RS05035,29857,43377,49398,72686
CHF17_RS05040,15335,24661,25839,45038
CHF17_RS05045,38922,57132,62678,86835
CHF17_RS05050,16155,19660,20327,27145
CHF17_RS05055,1411,1811,1740,2945
CHF17_RS05060,13478,10418,11536,11353
CHF17_RS05065,2594,2001,2130,2074
CHF17_RS05070,2527,2693,2477,3072
CHF17_RS05075,9017,8114,9106,10493
CHF17_RS05080,2550,3029,3358,4696
CHF17_RS05085,14517,15631,18474,21261
CHF17_RS05090,2597,2683,2613,2211
CHF17_RS05095,2671,3692,2860,3509
CHF17_RS05100,6636,8745,7201,7958
CHF17_RS05105,3980,4064,3051,3902
CHF17_RS05110,8239,6027,5687,6453
CHF17_RS05115,3968,5920,3561,3245
CHF17_RS05120,7698,12774,7008,6095
CHF17_RS05125,7299,11766,8036,7758
CHF17_RS05130,5705,10850,7482,7567
CHF17_RS05135,30242,30404,22364,23993
CHF17_RS05140,2808,3859,2162,2606
CHF17_RS05145,182,268,159,195
CHF17_RS05150,662,699,709,739
CHF17_RS05155,8188,8037,6655,7186
CHF17_RS05160,13161,12793,10265,9702
CHF17_RS05165,6086,6267,5188,5617
CHF17_RS05170,5061,7217,5212,6059
CHF17_RS05175,16168,15476,14412,14795
CHF17_RS05180,689,861,662,883
CHF17_RS05185,250,324,253,242
CHF17_RS05190,2752,3247,2499,2516
CHF17_RS05195,1923,2164,1606,1742
CHF17_RS05200,3358,2958,2662,3070
CHF17_RS05205,2445,2641,1926,3116
CHF17_RS05210,21021,45963,28767,32189
CHF17_RS05215,5052,10923,5848,7193
CHF17_RS05220,1794,3335,1986,2226
CHF17_RS05225,4443,8229,4506,5563
CHF17_RS05230,393,309,321,437
CHF17_RS05235,8346,6454,6670,6778
CHF17_RS05240,27154,19668,18763,21459
CHF17_RS05245,5660,3357,6551,6969
CHF17_RS05250,3343,2249,2344,2524
CHF17_RS05255,2478,1827,1901,1971
CHF17_RS05260,3144,2032,2244,2002
CHF17_RS05265,1649,2162,1834,2082
CHF17_RS05270,1884,1733,1595,2196
CHF17_RS05275,16772,12055,11828,16512
CHF17_RS05280,208076,182545,161822,229834
CHF17_RS05285,5102,4185,3752,5821
CHF17_RS05290,21515,20205,17390,24835
CHF17_RS05295,20882,20323,15260,24154
CHF17_RS05300,14073,12339,10552,14253
CHF17_RS05305,4951,5247,4435,4947
CHF17_RS05310,72211,70284,72392,72935
CHF17_RS05315,170808,173462,173359,176191
CHF17_RS05320,6328,4841,3793,5672
CHF17_RS05325,1524,1282,1005,1546
CHF17_RS05330,29224,31792,17899,21441
CHF17_RS05335,2464,1649,1428,1757
CHF17_RS05340,5158,3576,3998,4928
CHF17_RS05345,8602,6479,6654,7681
CHF17_RS05350,9189,7213,6244,8446
CHF17_RS05355,24168,19972,20336,26343
CHF17_RS05360,5898,5277,4649,5511
CHF17_RS05365,1392,1152,1400,1428
CHF17_RS05370,2625,2812,1994,3098
CHF17_RS05375,33977,32800,29196,36759
CHF17_RS05380,19713,22531,23427,26059
CHF17_RS05385,19476,22225,20245,25034
CHF17_RS05390,26255,27334,22757,29613
CHF17_RS05395,74538,44814,51083,54549
CHF17_RS05400,168966,115817,109159,119395
CHF17_RS05405,19903,22674,21680,22498
CHF17_RS05410,10519,11737,9707,11238
CHF17_RS05415,5440,5796,4597,6037
CHF17_RS05420,13949,11699,9124,11723
CHF17_RS05425,4546,3676,2817,3707
CHF17_RS05430,39324,35342,34432,34344
CHF17_RS05435,1765,1672,1804,1572
CHF17_RS05440,14523,12808,12219,13366
CHF17_RS05445,961,1537,889,1358
CHF17_RS05450,2822,3081,2254,3017
CHF17_RS05455,9552,4972,7163,6825
CHF17_RS05460,200,253,208,217
CHF17_RS05465,791,591,616,637
CHF17_RS05470,2709,2354,2023,2743
CHF17_RS05475,1498,1392,1249,1575
CHF17_RS05480,2282,2483,1827,2376
CHF17_RS05485,2221,3578,1721,1937
CHF17_RS05490,739,847,728,881
CHF17_RS05495,1395,966,1107,1410
CHF17_RS05500,1803,1158,1335,1481
CHF17_RS05505,29491,21806,23903,23999
CHF17_RS05510,5383,3317,4001,4609
CHF17_RS05515,6607,9549,5853,6862
CHF17_RS05520,3233,4965,2800,3634
CHF17_RS05525,43753,50719,40063,42690
CHF17_RS05530,7949,8401,6927,7228
CHF17_RS05535,5561,7055,5923,6045
CHF17_RS05540,4357,6751,5547,6576
CHF17_RS05545,4494,6507,5498,6212
CHF17_RS05550,4396,5457,4541,5113
CHF17_RS05555,4240,4389,3929,4511
CHF17_RS05560,3037,3194,2822,2771
CHF17_RS05565,9659,7573,7494,7463
CHF17_RS05570,4362,3451,3255,3508
CHF17_RS05575,8902,6863,6457,6398
CHF17_RS05580,3890,4810,3459,3856
CHF17_RS05585,3890,5134,3563,4024
CHF17_RS05590,3573,4030,3126,3955
CHF17_RS05595,10886,13571,10254,10579
CHF17_RS05600,5701,7325,5307,5030
CHF17_RS05605,51891,30389,32970,45157
CHF17_RS05610,1987,2863,2071,2428
CHF17_RS05615,987,1075,940,923
CHF17_RS05620,13966,10957,13149,12229
CHF17_RS05625,162,197,178,208
CHF17_RS05630,24381,27070,20856,24737
CHF17_RS05635,11666,16471,12427,13843
CHF17_RS05640,13585,19574,14165,16630
CHF17_RS05645,20045,20858,17937,20468
CHF17_RS05650,4187,3341,3071,3262
CHF17_RS05655,5627,6198,4707,5541
CHF17_RS05660,6422,7156,6011,5702
CHF17_RS05665,589,949,558,512
CHF17_RS05670,2159,1483,1454,3162
CHF17_RS05675,1031,1120,856,910
CHF17_RS05680,2320,3114,2074,2444
CHF17_RS05685,198,253,169,262
CHF17_RS05690,335,387,336,368
CHF17_RS05695,152,192,171,173
CHF17_RS05700,233,384,248,365
CHF17_RS05705,459,776,532,715
CHF17_RS05710,123,188,124,206
CHF17_RS05715,713,795,743,758
CHF17_RS05720,1094,1271,948,1111
CHF17_RS05725,939,871,908,1012
CHF17_RS05730,2353,2099,1864,2198
CHF17_RS05735,1405,1526,1041,1560
CHF17_RS05740,4232,5757,5167,6391
CHF17_RS05745,1003,1491,1047,1521
CHF17_RS05750,176,252,157,248
CHF17_RS05755,225,447,251,407
CHF17_RS05760,2039,2958,2384,2764
CHF17_RS05765,462,475,475,579
CHF17_RS05770,339,359,298,466
CHF17_RS05775,1755,2214,2320,2824
CHF17_RS05780,394,596,565,752
CHF17_RS05785,409,620,574,666
CHF17_RS05790,5389,6232,5480,4901
CHF17_RS05795,2093,2309,2108,1905
CHF17_RS05800,3012,2694,2578,2313
CHF17_RS05805,8101,10101,8969,9513
CHF17_RS05810,11241,12714,11202,11274
CHF17_RS05815,5821,5273,4132,6608
CHF17_RS05820,7983,5595,5775,6159
CHF17_RS05825,1486,966,928,786
CHF17_RS05830,8205,7092,6609,7813
CHF17_RS05835,11997,14380,12405,13319
CHF17_RS05840,1291,2166,1696,2361
CHF17_RS05845,1335,2254,1856,2421
CHF17_RS05850,1487,2559,1875,2603
CHF17_RS05855,1028,1257,984,1489
CHF17_RS05860,2911,4035,3712,4812
CHF17_RS05865,3298,4361,4533,4975
CHF17_RS05870,2756,2887,3114,3844
CHF17_RS05875,1758,936,1361,1082
CHF17_RS05880,1813,1121,1311,1146
CHF17_RS05885,5945,3442,3925,4582
CHF17_RS05890,25214,20167,17378,18934
CHF17_RS05895,998,1031,659,1017
CHF17_RS05900,7949,8078,6886,8788
CHF17_RS05905,3126,4625,3700,5163
CHF17_RS05910,2059,2573,2361,3034
CHF17_RS05915,3152,5213,3935,5921
CHF17_RS05920,4551,6856,6329,7617
CHF17_RS05925,1280,2003,2159,2863
CHF17_RS05930,1716,2887,2750,3823
CHF17_RS05935,3897,5041,4675,5634
CHF17_RS05940,2838,2904,2447,3386
CHF17_RS05945,999,562,623,777
CHF17_RS05950,16636,16643,15213,18661
CHF17_RS05955,11815,14285,11629,14165
CHF17_RS05960,25786,28679,25960,31960
CHF17_RS05965,4106,4073,3822,5298
CHF17_RS05970,21203,11612,14996,19060
CHF17_RS05975,9835,4588,6029,7510
CHF17_RS05980,8755,12767,6805,7385
CHF17_RS05985,2244,1668,1548,2162
CHF17_RS05990,1191,1615,824,1043
CHF17_RS05995,27074,21205,20254,25299
CHF17_RS06000,675,776,580,618
CHF17_RS06005,16495,17726,13043,14588
CHF17_RS06010,3994,4809,4793,4981
CHF17_RS06015,3825,4148,4203,4891
CHF17_RS06020,4355,4341,3954,4766
CHF17_RS06025,2055,1541,1387,1707
CHF17_RS06030,12571,13662,12496,11622
CHF17_RS06035,13368,16370,14394,13327
CHF17_RS06040,3819,4511,3755,4222
CHF17_RS06045,4539,5042,2790,3652
CHF17_RS06050,1189,1753,913,1360
CHF17_RS06055,5327,3676,3303,5058
CHF17_RS06060,748,944,711,616
CHF17_RS06065,1252,1137,903,1116
CHF17_RS06070,3165,3076,2633,2893
CHF17_RS06075,56,69,66,98
CHF17_RS06080,1161,1111,855,1069
CHF17_RS06085,7170,6047,5733,6614
CHF17_RS06090,8210,8211,6756,7642
CHF17_RS06095,3953,5413,3969,5465
CHF17_RS06100,5914,7749,6369,7719
CHF17_RS06105,8020,9353,7830,9133
CHF17_RS06110,6556,6160,6037,7537
CHF17_RS06115,3123,2920,2753,3069
CHF17_RS06120,1868,2080,1755,2169
CHF17_RS06125,4203,4906,4489,4668
CHF17_RS06130,1745,2699,2533,2570
CHF17_RS06135,3808,5569,5328,5908
CHF17_RS06140,2133,3068,2600,3451
CHF17_RS06145,2782,3138,3093,3730
CHF17_RS06150,1929,2365,2458,3448
CHF17_RS06155,3672,3899,2848,2874
CHF17_RS06160,24463,18272,18976,22254
CHF17_RS06165,7836,7221,6953,7205
CHF17_RS06170,3097,3368,3375,3815
CHF17_RS06175,6510,4631,4700,5589
CHF17_RS06180,846,663,577,694
CHF17_RS06185,154,175,105,139
CHF17_RS06190,1043,901,715,844
CHF17_RS06195,3202,3702,2036,2989
CHF17_RS06200,2494,2236,2238,2593
CHF17_RS06205,6268,4479,4768,5202
CHF17_RS06210,15683,10077,11747,12751
CHF17_RS06215,26582,19040,23959,18731
CHF17_RS06220,8503,6433,7757,5858
CHF17_RS06225,13735,13112,12783,10968
CHF17_RS06230,2844,3562,3258,2817
CHF17_RS06235,8100,12047,8225,7512
CHF17_RS06240,4032,7060,4726,3818
CHF17_RS06245,5692,10063,6446,4400
CHF17_RS06250,17511,15439,14989,14129
CHF17_RS06255,717,521,449,573
CHF17_RS06260,10505,5613,6535,11370
CHF17_RS06265,1381,1454,1271,1558
CHF17_RS06270,3915,3372,2931,3659
CHF17_RS06275,1426,1537,1261,1488
CHF17_RS06280,3790,4010,3121,3744
CHF17_RS06285,7244,7259,5463,7020
CHF17_RS06290,442,472,301,411
CHF17_RS06295,423079,243003,240323,332430
CHF17_RS06300,5663,3350,3304,5150
CHF17_RS06305,835,644,541,1033
CHF17_RS06310,3251,1685,1994,2322
CHF17_RS06315,16940,15157,12368,13293
CHF17_RS06320,10769,10628,11301,13051
CHF17_RS06325,7803,7263,8211,9684
CHF17_RS06330,3953,3433,2871,3686
CHF17_RS06335,3599,3703,2858,2952
CHF17_RS06340,8607,8331,6814,13908
CHF17_RS06345,12082,12811,11168,15884
CHF17_RS06350,5337,6122,5819,7281
CHF17_RS06355,7692,10869,10374,12596
CHF17_RS06360,6917,9800,9757,11436
CHF17_RS06365,7069,10561,9428,13229
CHF17_RS06370,6514,8782,7393,10872
CHF17_RS06375,4473,6261,4598,7586
CHF17_RS06380,7231,8304,7370,11080
CHF17_RS06385,4728,5853,4702,8405
CHF17_RS06390,3553,3329,3945,4422
CHF17_RS06395,4301,4349,4763,6061
CHF17_RS06400,11544,12087,12441,16230
CHF17_RS06405,11455,9807,11741,13196
CHF17_RS06410,10943,10062,9582,12562
CHF17_RS06415,7921,6674,6669,8850
CHF17_RS06420,21025,15164,18026,22948
CHF17_RS06425,2887,2943,2039,2775
CHF17_RS06430,1334,1346,1157,1413
CHF17_RS06435,8194,10336,7636,11721
CHF17_RS06440,6546,7763,6931,9551
CHF17_RS06445,6509,8999,9048,12051
CHF17_RS06450,4030,5348,6721,8666
CHF17_RS06455,1456,1984,2141,3751
CHF17_RS06460,4414,5991,6771,8490
CHF17_RS06465,2995,2955,3423,3964
CHF17_RS06470,6045,5008,5206,7563
CHF17_RS06475,2977,2941,3218,3661
CHF17_RS06480,23496,22918,21138,22540
CHF17_RS06485,4843,1871,3376,3958
CHF17_RS06490,4727,2096,3527,4401
CHF17_RS06495,4662,2090,3647,3748
CHF17_RS06500,5348,4100,4682,4225
CHF17_RS06505,11010,15446,13413,14431
CHF17_RS06510,20746,30790,29012,29781
CHF17_RS06515,8475,10675,9384,12323
CHF17_RS06520,9915,10816,9698,11255
CHF17_RS06525,1752,1792,1977,1919
CHF17_RS06530,2351,2356,2137,2372
CHF17_RS06535,2839,2887,3392,3580
CHF17_RS06540,12329,10102,12631,17199
CHF17_RS06545,2186,2270,3385,6725
CHF17_RS06550,7408,6329,7562,11319
CHF17_RS06555,1836,2362,2269,3069
CHF17_RS06560,2308,2515,2344,2905
CHF17_RS06565,2143,1973,1873,2677
CHF17_RS06570,4912,4259,3632,4794
CHF17_RS06575,17576,10705,11030,12964
CHF17_RS06580,37673,29583,33633,28709
CHF17_RS06585,365,280,302,314
CHF17_RS06590,7260,10631,8176,9314
CHF17_RS06595,4319,4974,4461,5526
CHF17_RS06600,5345,6536,5943,6236
CHF17_RS06605,2284,3407,2454,2813
CHF17_RS06610,6762,8662,6208,6124
CHF17_RS06615,1506,2044,1176,1200
CHF17_RS06620,6360,4257,4007,3542
CHF17_RS06625,6830,5398,4716,5723
CHF17_RS06630,330,478,330,413
CHF17_RS06635,1600,2667,1779,3008
CHF17_RS06640,1398,2516,1959,2758
CHF17_RS06645,8731,12279,13568,16135
CHF17_RS06650,5085,6807,5839,7994
CHF17_RS06655,5991,4874,4264,5038
CHF17_RS06660,1278,1252,1134,1393
