Id,WT.1,WT.2,WT.3,X13.1,X13.2,X13.3,X14.1,X14.2,X14.3,X15.1,X15.2,X15.3
GALLO_RS04785,272,415,254,352,307,259,240,311,172,245,425,242
GALLO_RS04790,681,836,763,893,768,760,750,671,731,669,1018,604
GALLO_RS04795,3846,5783,3252,3194,4561,3012,3038,4190,2683,2810,5285,2462
GALLO_RS04800,512,422,431,765,403,461,788,351,579,792,685,464
GALLO_RS04805,1382,1835,1709,1497,1614,1398,1572,1558,1542,1484,2393,1403
GALLO_RS04810,1290,1771,1656,1412,1482,1316,1348,1515,1416,1369,2223,1307
GALLO_RS04815,35,75,54,41,48,49,45,56,60,37,78,44
GALLO_RS04820,66,106,97,45,82,61,42,65,66,54,110,59
GALLO_RS04825,39,75,51,30,50,27,32,54,28,39,75,48
GALLO_RS04830,65,112,99,55,75,73,62,81,70,53,123,57
GALLO_RS04835,213,334,296,148,261,216,182,276,236,182,358,228
GALLO_RS04840,458,765,629,354,582,416,392,598,494,363,900,458
GALLO_RS04845,291,492,462,271,399,307,280,403,358,268,610,310
GALLO_RS04850,438,815,696,434,621,496,465,570,540,449,875,510
GALLO_RS04855,309,326,378,396,382,335,364,308,344,345,462,371
GALLO_RS04860,687,739,569,724,601,618,795,634,551,697,872,501
GALLO_RS04865,14,40,34,34,27,21,41,14,30,33,39,36
GALLO_RS04870,33,44,53,47,39,32,61,49,43,39,71,31
GALLO_RS04875,17,8,7,8,9,11,13,18,17,18,15,9
GALLO_RS04880,16,28,26,27,22,21,35,21,26,37,39,25
GALLO_RS04885,352,338,257,258,249,237,388,262,313,361,487,274
GALLO_RS04890,1151,1328,1169,1148,1132,977,1239,1043,1127,1234,1606,1026
GALLO_RS04895,2196,2651,2943,3480,2813,3072,3047,2065,2486,2881,3318,2336
GALLO_RS04900,796,1246,1232,2089,1637,1590,1197,971,1013,1284,1783,937
GALLO_RS04905,378,431,875,572,451,835,571,363,1112,575,672,818
GALLO_RS04910,3117,5370,7590,4632,4337,4999,4740,4393,6188,4488,7393,5039
GALLO_RS04915,92,122,84,116,102,98,95,105,68,97,146,80
GALLO_RS04920,2776,3873,2832,2737,3029,2655,2564,3188,2339,2421,4261,2368
GALLO_RS04925,897,1205,898,796,996,740,776,965,798,767,1432,755
GALLO_RS04930,7735,8783,6292,8211,7285,5330,9012,7595,6043,7890,10773,5406
GALLO_RS04935,9359,15442,11341,8395,13188,9890,7629,11544,8634,7445,15595,7151
GALLO_RS04940,14384,16903,14240,16885,14741,12278,17493,13671,14423,16618,21155,11860
GALLO_RS04945,690,890,876,799,801,689,734,808,766,717,1153,618
GALLO_RS04950,514,536,656,642,516,533,762,477,669,702,780,596
GALLO_RS04955,512,743,593,454,559,498,441,578,461,414,859,457
GALLO_RS04960,4589,6277,5433,4901,5229,4960,5006,5109,4916,4724,7182,4536
GALLO_RS04965,4010,4320,3444,4286,3701,3186,4210,3467,3609,4058,4781,2998
GALLO_RS04970,5992,6415,7012,8448,5881,6431,8551,5551,8075,7915,8567,6352
GALLO_RS04975,3472,3939,4622,4843,3483,4113,5178,3272,5110,4829,5144,3927
GALLO_RS04980,3455,3727,4419,4990,3385,3841,5293,3051,5073,4796,5153,3939
GALLO_RS04985,5115,5330,6268,7568,4956,5860,7651,4358,7410,7126,7357,6003
