GeneID,X50277,X50278,X50279,X50292,X50293,X50294,X50307,X50308,X50309,X50322,X50323,X50324,X50337,X50338,X50339,X50352,X50353,X50354
EQB41_RS00005,7759,2843,3493,5291,3056,2855,3513,2198,2375,4380,3448,3408,7120,5203,3124,6631,3443,3449
EQB41_RS00010,6221,2548,2953,6090,3015,3090,3808,2105,2265,4872,3025,3109,6901,4418,3088,5604,3043,2804
EQB41_RS00055,2759,5218,6969,3449,6694,6453,1699,4910,4263,1901,6175,6007,3082,11116,6605,3264,7841,6741
EQB41_RS00505,27,1407,48,19,1953,88,19,498,109,15,1375,73,28,457,172,22,302,83
EQB41_RS05005,7420,11661,14105,9091,12269,8748,6084,9636,7772,6778,14923,9953,7167,19855,12705,7057,14144,16231
EQB41_RS05010,60,63,77,79,84,52,32,66,43,40,66,40,45,117,59,52,70,88
EQB41_RS05015,57,49,49,108,33,26,104,30,24,95,50,38,66,43,29,36,21,29
EQB41_RS05020,594,938,992,2260,873,573,2446,705,488,2258,1077,675,831,378,277,561,371,252
EQB41_RS05025,5277,3054,3692,6414,2965,2534,7208,2488,1686,6119,3237,2655,6378,1890,1362,5498,1553,1340
EQB41_RS05030,4489,2391,2841,4930,2370,2082,5692,2031,1482,4900,2684,2100,5146,1485,892,4386,1098,1000
EQB41_RS05035,7566,4318,5165,7747,4431,3969,8465,3534,2695,7469,4475,3945,8034,2316,1396,7257,1787,1523
EQB41_RS05040,2845,2970,4152,2563,3773,4129,1748,2857,2639,1900,3489,3422,2588,5258,3935,2767,4159,4144
EQB41_RS05045,4653,7003,7515,7269,8432,7388,5042,5440,5399,6700,7146,7648,4553,10372,7068,4329,7298,6358
EQB41_RS05050,2625,3317,3197,4178,3774,3248,3235,2530,2325,3964,3413,3298,2989,4628,3249,2674,3235,3067
EQB41_RS00510,4,448,7,6,514,33,3,144,18,5,430,34,9,157,48,5,83,25
EQB41_RS05055,1212,1700,1612,2129,1881,1617,1505,1287,1160,1931,1792,1798,1254,2051,1449,1144,1463,1466
EQB41_RS05060,3053,4106,4216,4818,4744,4268,3724,3342,3029,4437,4380,4121,3374,5728,3910,3086,4019,3680
EQB41_RS05065,5528,5245,5667,7249,5978,5438,5564,4018,3696,6380,5561,4984,5822,6983,4169,4867,4465,3854
EQB41_RS05070,668,1366,1503,1349,1473,1392,735,1102,1025,973,1525,1351,682,2029,1264,706,1481,1150
EQB41_RS05075,1397,4329,4504,3535,4436,3914,1710,3323,2723,2498,4424,4013,1531,5669,3589,1461,4339,3755
EQB41_RS05080,588,149,268,622,163,249,420,136,139,535,157,215,495,437,362,618,367,362
EQB41_RS05085,179,24,42,199,41,46,148,30,21,154,30,40,165,31,34,182,20,23
EQB41_RS05090,384,81,84,481,91,101,338,82,46,364,73,76,362,72,64,408,52,64
EQB41_RS05095,220,2002,2812,611,2319,3117,330,1586,1638,361,2178,3379,243,2905,2008,325,1854,2497
EQB41_RS05100,250,2500,3439,766,2984,3692,401,1970,2209,494,2834,3612,255,2616,2235,377,2042,2446
EQB41_RS00515,178,30815,1419,131,31964,2094,93,9049,2260,142,24544,2447,214,13390,6653,255,7941,2799
EQB41_RS05105,1484,4510,6446,6321,4733,5536,4358,3691,4029,4610,5125,5777,1539,13178,6168,2010,10095,7145
EQB41_RS05110,3226,797,1699,3967,533,656,3461,407,640,3666,907,6744,3388,11828,5484,2849,6925,4976
EQB41_RS05115,3455,1071,9761,11587,724,655,11891,561,1242,10849,2132,24204,3680,12196,6307,3145,5461,3686
EQB41_RS05120,17928,2462,15313,22978,2196,2570,24613,1648,2815,18492,3475,34323,15969,31755,19023,10574,3363,3732
EQB41_RS05125,76,63,336,233,51,55,109,39,56,96,76,748,38,543,279,35,59,62
