,GAS-WT-no-manganese-OD1-0-rep-1,GAS-WT-no-manganese-OD1-0-rep-2,GAS-WT-no-manganese-OD1-0-rep-3,GAS-WT-100um-manganese-OD1-0-rep-1,GAS-WT-100um-manganese-OD1-0-rep-2,GAS-WT-100um-manganese-OD1-0-rep-3,GAS-delmtsR-100um-manganese-OD1-0-rep-1,GAS-delmtsR-100um-manganese-OD1-0-rep-2,GAS-delmtsR-100um-manganese-OD1-0-rep-3
SpyM3_0421,201.483535,191.8308327,198.1409298,171.7235225,177.4478007,165.2850981,472.5664507,451.4830787,380.5581619
SpyM3_0422,118.4260023,116.7999874,126.57876,102.9281214,109.3028212,104.2608293,1330.105402,1386.116702,1206.73198
SpyM3_0423,177.3282323,168.7256369,167.898723,145.3569247,157.7818371,152.3850166,462.9038017,409.9092399,594.1571472
SpyM3_0424,39.29507425,40.3272737,44.45270221,46.88201287,50.56110476,50.45299769,2033.435635,2061.11614,2239.369658
SpyM3_0425,164.8640114,165.9934608,166.7358086,176.517485,176.8838172,169.9089186,3254.658843,3434.443893,3336.773626
SpyM3_0426,61.42486718,58.34245674,62.76976276,128.4502339,108.9966508,139.2499609,209.2251775,206.4224563,174.6921196
SpyM3_0427,89.99876722,90.97309361,97.29832844,215.6808892,176.8133872,208.9667949,487.4233785,524.0359462,431.0393044
SpyM3_0428,365.0450999,328.5503093,334.4880106,250.7318103,298.5895891,249.2170145,812.8181584,871.5687393,764.8201052
SpyM3_0436,366.894106,364.2608239,358.3218912,352.2368293,338.1862626,334.4611785,541.3585668,573.0749734,471.4845959
SpyM3_0437,34.03683915,31.68367473,38.49964053,32.44126713,29.27930775,25.32331337,486.8587043,488.8060567,421.1203552
SpyM3_0438,218.6773146,201.2790629,206.0768455,182.5129933,191.9510427,177.8758544,0,0,0
SpyM3_0439,71.04716961,83.28672716,75.25024384,81.98900855,74.16443133,71.77392598,0,0,0
SpyM3_0442,4.428418942,4.215033159,5.234081596,4.828019828,4.593710871,5.111447098,0,0,0
SpyM3_0448,8.711643819,9.246728993,10.36567768,9.226882337,9.083901498,11.02519728,1.13167278,1.552613908,1.694601376
SpyM3_0449,16.07379702,14.48425238,15.44671515,13.28582819,14.51762595,13.3642603,0.63166777,1.219694747,0
SpyM3_0452,52.980444,58.87328141,53.95973624,50.83635419,44.75223125,45.60676224,4.435406301,3.022721764,3.929871606
SpyM3_0453,189.7965185,190.3898865,191.8798208,176.9587285,174.5278866,169.8687861,7.457359308,4.499844697,5.26526487
SpyM3_0457,147.0360965,155.1432953,154.5595909,201.0961201,193.2074306,186.5896178,14.50203923,10.62150842,9.903519031
SpyM3_0458,895.4596192,899.0898176,958.2671128,965.7848848,952.5658919,917.0080721,0.114665805,0.332114334,0.383809116
SpyM3_0462,456.1982814,467.1728277,465.0283884,459.7889635,472.6627206,457.6421519,0,0,0
SpyM3_0463,782.1787007,790.9540995,765.187602,863.6887508,843.7086154,882.6609394,0,0,0
SpyM3_0464,260.9309264,261.7930751,255.1484745,283.1008951,271.1251403,299.1524643,0.40066332,0.492319883,0.701029196
SpyM3_0467,45.59696064,50.49021632,48.58615255,40.58296796,39.27111368,41.15038423,0.813673738,0.687370345,0.680881709
SpyM3_0470,155.7192461,163.8791301,163.4709222,162.7124687,159.748387,156.3452496,0.789101787,0.655539302,0.629607361
SpyM3_0472,102.792812,108.4650046,106.59264,100.259055,89.87872849,96.81169342,0,0.413825003,0.358678758
SpyM3_0473,79.56669176,82.08238935,80.39774681,71.11294763,74.13715455,70.96242031,1.10107226,1.275644047,0.7371013
SpyM3_0475,288.937715,305.5538544,298.2143514,330.5556008,299.198707,299.4231905,0.470654417,1.135990205,0.886147519
SpyM3_0477,2155.17508,2113.794688,2080.724556,2018.450949,2038.929794,1937.431655,0.507113562,0.815992964,1.414507777
SpyM3_0478,280.8024722,293.7557852,285.1279047,286.5466583,303.6441617,284.5562517,2.28603574,1.655300014,0.956476687
SpyM3_0483,331.4068926,325.6174178,321.74149,346.3894029,333.3274763,363.086282,0.4248385,0.615244253,0.533256914
