,GAS-WT-no-manganese-OD1-0-rep-1,GAS-WT-no-manganese-OD1-0-rep-2,GAS-WT-no-manganese-OD1-0-rep-3,GAS-WT-100um-manganese-OD1-0-rep-1,GAS-WT-100um-manganese-OD1-0-rep-2,GAS-WT-100um-manganese-OD1-0-rep-3,GAS-delmtsR-100um-manganese-OD1-0-rep-1,GAS-delmtsR-100um-manganese-OD1-0-rep-2,GAS-delmtsR-100um-manganese-OD1-0-rep-3
aapA,398.9838178,385.9512866,379.5971129,399.588612,423.8824905,424.206787,420.8025347,433.5933872,365.236548
accA,1097.431534,996.3212876,995.6464814,1314.494671,1302.367256,1392.388098,708.0045704,730.6904809,809.5881143
accB,1704.116076,1563.998225,1601.231443,2019.368524,2088.457061,2265.094251,69.46431329,71.62934604,71.82270396
accC,2000.655808,1817.937143,1849.312965,2427.627406,2417.860364,2564.844663,731.7157946,722.9478312,656.197002
accD,1226.985294,1164.136736,1186.496526,1543.672562,1545.875162,1638.041592,210.5980346,206.6162901,172.9511214
ackA,530.8011129,516.0276134,525.2035825,520.1072087,559.8985852,539.2350475,191.6901127,198.5459765,157.4813695
acoA,491.7358827,503.2262678,503.19798,524.0054034,537.9347003,491.9573025,419.6634073,414.0796649,384.5036282
acoB,424.6691617,419.9976089,435.6769654,516.3668392,529.150396,580.3559428,498.0700369,458.2511199,419.8624115
acoC,428.7092601,418.0222703,418.2268719,581.3369595,537.9176237,648.4249906,491.9293133,481.6344263,476.3989653
acoL,465.3684568,483.2308368,466.6459751,644.8380647,564.6131484,637.9709228,633.4224031,650.6332265,607.6018155
acpA,221.364378,231.2845488,226.4397462,192.1291796,219.4629194,209.6710054,1626.394444,1585.960319,1532.640276
acpP.1,158.4658766,162.1177858,166.9754722,153.3906272,165.6132216,185.9387732,1676.890344,1663.029763,1609.072035
acpP.2,9297.443789,9225.727591,10009.28577,9301.705916,9741.410334,9042.934102,235.3779256,253.5677034,216.3575003
acpS,423.4993606,402.8533438,402.1959711,339.7465381,390.0538441,335.2546009,1169.668234,1111.955044,1128.59215
adcA,245.4885514,241.7019787,231.2997603,292.1409431,232.1825181,268.31486,309.6510187,343.8589268,293.0930618
adcB,137.5815175,137.2103706,133.4254813,141.7402488,153.0995917,147.4303288,89.98525616,101.2680803,93.00097979
adcC,242.9786357,241.1114222,228.8117202,247.5924798,262.3267708,249.8171243,571.7946896,584.2519339,601.683616
adcR,124.3204549,130.1889887,129.2920046,155.4136683,144.8566482,139.2996115,178.3954557,162.2194013,159.2002308
adh1,104.3290017,114.5402623,110.69472,98.71409534,106.1506211,97.65629532,31.35760089,34.02169815,24.70151921
adh2,145.0399701,147.8878293,149.1326254,116.5020852,113.8261495,119.9713529,10.67254257,10.85518319,7.579626577
adk,1877.324478,1790.615471,1787.444278,1790.661428,1985.888274,1837.084524,36.77218109,38.98999454,28.5759736
agaD,3.791472721,4.968335732,3.568291246,3.216722051,4.7306674,4.054964869,28.57879871,30.24199145,21.2051723
agaF,4.427424462,1.577930864,1.753886141,3.505274669,2.818445026,3.664075308,16.47799276,15.65824337,11.50874111
agaS,53.44375692,54.40060101,57.67335685,44.21125046,46.80732577,50.56353462,12.69946017,13.33863848,12.61214608
agaV,3.540775479,2.826722774,3.141931,3.139693876,3.534295481,2.777019795,5.504774063,5.561808045,6.159709865
agaW,3.272707573,2.006077204,2.943303179,3.050141092,2.759052506,3.547446916,34.67781745,35.00667417,31.94857188
ahpC,800.7211915,790.8110817,863.5582844,649.5192735,696.5673843,765.13308,24.35636609,28.39975513,22.15368797
ahrC,224.3755468,240.8496291,231.034638,247.9008141,223.9254573,234.2189678,24.92115139,26.51401139,23.98505951
alaS,435.4171338,414.7867231,411.1000244,372.8473058,398.6898631,371.8231146,222.7964296,232.4159719,202.4328344
alr,389.6917675,405.2300003,393.4570069,342.2646548,360.5889384,312.6083685,149.8122494,161.1440324,126.7609011
amiC,223.0046102,243.8508033,233.8444721,284.6098332,331.2730549,315.8822278,49.42800303,51.22717937,42.02204813
apbA,1200.914243,1097.218977,1111.640783,1184.622243,1122.119963,1287.819979,504.2871274,537.94765,514.8774325
apt,856.0448961,812.1940999,792.2883411,793.2929612,837.6141661,774.6024638,197.1236093,195.8696098,180.0862168
araD,2.161229084,1.604178843,3.268945232,1.693801755,1.400827145,2.101296216,762.5549891,738.8073374,677.3782174
arcB,116.0439928,91.70502987,102.5509208,84.87443009,94.04684091,91.00565743,311.2329537,315.2787303,279.2362598
arcC,87.53690555,79.01691302,84.00948631,92.4702024,83.5317756,87.81777581,118.4093859,117.5807887,108.6833277
argR,108.1236299,98.22211072,100.9241386,79.53670357,85.42385786,86.20745051,86.313022,90.50926564,70.68616649
argS,502.4038972,478.8770918,487.1223691,393.9601404,452.0950731,407.0531802,41.64306501,42.95311058,32.09090503
aroA.1,146.7639113,149.373905,148.5849721,145.1268657,139.1056294,151.1393463,2468.852016,2638.033954,2757.243703
aroA.2,292.9420388,304.0554473,308.0042584,301.8741304,335.9979481,320.1860574,2617.401543,2886.684822,3597.798499
aroB,550.7717797,538.1529605,562.0737437,566.3303221,637.526754,596.6230987,2119.91348,2121.77629,2810.20668
aroD,1038.661902,920.3226952,995.2980086,842.1486172,908.1596025,871.6154529,2000.523731,2042.138611,2479.506398
aroE.1,51.60831317,52.75175138,51.24525531,49.68264924,49.50555402,46.90862912,2606.783823,2547.328091,3321.561408
aroE.2,8.885277957,11.29938496,12.55938085,10.84507088,9.050017294,9.333076835,5424.504711,5169.840122,7076.971008
aroF,459.3476064,467.7574335,449.6027038,436.0634787,427.4820703,425.8039025,5316.225811,5244.623775,6413.899782
aroK,106.5609334,108.93146,102.3417841,102.8047664,101.9950572,96.85395312,4335.652727,4209.277453,5276.373897
arsC,506.3183683,491.3873829,528.9208643,518.5395475,553.4160607,554.550416,6329.237822,6018.406961,7752.18117
asnA,52.16985009,49.54295537,50.35546322,49.13267845,44.56804565,44.07193719,2341.198777,2169.306652,2831.254166
asnB,149.4128079,147.4496649,152.9753159,153.0189072,161.8496433,158.7229106,3362.403844,3329.360094,3798.564708
asnS,745.0201675,763.4329195,719.8298149,714.0845629,740.1832969,677.7440788,3306.025858,3172.227712,3867.781764
asp,718.121508,755.1657295,749.3119133,792.358081,754.1789258,744.2485476,11763.77183,11201.77222,13476.13762
aspC,482.482792,459.4928909,459.8450695,452.120739,471.666067,436.0079656,3345.35439,3468.319939,3882.925441
aspS,329.8545137,319.7557683,318.4770615,266.8578232,295.4914811,260.1014852,815.7276081,959.4866433,886.3762021
atmA,771.2812002,785.7146187,807.3039742,900.6061043,896.0588992,918.854398,4548.549376,4751.582249,5058.503153
atmB,197.8670718,207.0578989,221.5618435,263.849952,249.2304962,272.2200063,3223.559431,3278.048876,3529.63943
atmD,126.6145405,133.6840807,143.4764199,167.7068221,154.7445409,182.2208564,8319.690895,8032.684113,9883.329871
atmE,124.0240149,134.4551101,138.7661462,161.2358906,144.1116086,164.6015369,3928.55242,4166.159395,4871.040129
atoA,56.14060466,53.69137977,47.51002151,52.72782866,50.50141042,46.01361146,1112.41872,1118.819993,1305.261399
atoB,45.70533131,45.74767879,42.67789609,37.47811351,40.88951646,38.29271866,5691.902417,5812.625409,6554.734736
atoD.1,26.93349881,27.37919244,24.00631655,25.91428467,27.32570529,23.79006588,10948.79476,10739.83003,13071.56001
atoD.2,4.931978353,4.283886684,5.079022345,3.747811351,3.179718434,4.582656426,1957.45835,2029.537701,1957.11296
atoE,14.22561283,15.00425983,14.54307837,14.73112233,15.00326195,15.96880582,7851.734221,8761.7524,7847.85191
bacA,106.3598371,107.3351608,116.8099559,105.6033543,114.7036665,111.5469344,4143.351855,4301.488081,4296.346128
bcaT,653.0192167,643.5516787,637.0373676,612.2785574,606.5310178,539.2866144,8426.168466,8267.110989,8013.494964
bglA.1,16.81622362,16.57839095,15.6335872,16.81957878,14.64048686,15.89704317,1688.102922,1656.468461,1546.622803
bglA.2,4.844569379,3.228968122,4.536136123,3.774654569,4.273535167,3.789007541,6109.434168,5859.518777,5907.533105
bglG,10.43382109,11.32883912,12.84064813,10.92747548,9.957837089,10.69031334,2293.345738,2424.668062,2336.828252
birA,100.8719573,96.24647323,97.78600743,89.91290004,97.30367295,89.5741644,109.5637936,111.7594493,114.0367044
braB,131.847012,125.0649106,127.3460198,147.5709557,146.9939343,150.914757,132.6673039,137.7925417,137.3448821
cadA,683.6536136,675.6875053,703.5761368,295.4879439,290.3642852,301.4381608,221.0310806,236.9561969,261.1181356
cadD,180.4075195,182.1568987,166.8128497,168.3709766,189.1864038,146.1340474,131.3125824,143.81636,136.7621004
cadX,252.9229193,238.7182165,216.1019131,229.717848,235.9711921,196.1016098,674.7198768,712.0635105,558.956009
carA,437.7999197,470.6763919,461.9659243,675.7444557,763.5987345,724.5773334,431.6597439,436.1616771,329.0462424
carB,504.8297937,539.0990745,535.391414,724.7230564,831.3021069,776.169211,246.3240766,249.5683097,204.8668313
cbf,234.9151813,238.942638,232.8628975,216.9164009,220.4708361,205.2260376,514.4070693,542.1281567,429.8811668
cbp,42.67009917,40.81863571,44.08920907,38.96474824,40.56934084,40.04567593,784.0837652,843.8439931,636.0680819
ccdA,707.771437,660.2929476,706.5180819,666.1648793,643.2833198,684.0166189,89.59880598,85.70458518,93.33068639
ccpA,849.5456814,886.08334,874.9781832,844.352568,852.1230998,843.7060814,4.371221695,4.072143803,4.23538878
cdd,763.9642541,725.4487491,754.9510905,678.2047374,710.458446,677.5569034,3.339600038,5.105041201,4.424744326
cdsA,130.6746573,144.9444528,141.3421643,134.1116619,141.6933353,133.0011475,3.303216781,3.6143248,3.132680526
cfa,66.93108674,76.95498767,83.55122998,28.21127176,21.9303426,25.83861335,2.594959489,2.97506624,3.66433974
ciaH,325.843388,367.5886291,356.3741937,351.5247724,327.7348502,329.673902,4.295340838,5.366656886,3.594338708
ciaR,525.0236701,559.1434675,533.861682,522.6373187,510.0684018,482.2825032,2.648648306,2.716975195,3.324581036
cinA,119.4584159,117.9550686,123.1473254,105.4788221,113.5487687,102.0024854,9.68943589,9.779937694,11.42507015
citC,266.1121763,260.6295504,264.7554952,249.1618919,240.4478887,224.6857874,173.6848003,170.745758,180.8372574
citD,25.32720138,24.19679685,24.86091034,30.63995755,28.96431126,27.96628054,458.5306424,451.2870563,490.3201543
citE,17.47037761,14.22173192,15.41437525,16.04084215,16.19558495,18.0032931,33.09203193,29.24899053,27.88640283
citF,14.72796301,14.13989995,15.67108656,13.46470587,16.34698115,14.73683036,204.4489824,204.9609223,184.4474109
citG,61.90139726,61.41044339,60.91957309,52.52630988,58.30646205,58.93571979,182.9245986,169.9658334,141.1098654
citX,20.21507609,19.31571705,19.17791468,19.003553,16.95009918,16.31090359,370.9153148,390.5462579,390.3028974
clpC,436.648432,434.3645005,431.0729333,513.1306357,480.4874706,532.3042034,561.1355088,528.1968647,529.0579351
clpE,854.965418,809.3086949,842.6883394,742.6606864,763.5600898,705.504682,289.8780823,288.9567736,270.4403509
clpL,440.610054,419.8861733,428.0315849,402.7143301,411.8162897,404.1261663,10.72878137,9.3047925,11.41250593
clpP.1,1313.550057,1301.895634,1353.245776,1193.119975,1232.285685,1069.49222,317.2034826,301.5894744,346.6244697
clpP.2,5.615478516,5.188691579,6.081862342,4.866682649,5.838751656,4.448690187,190.7016625,189.3033592,178.8024609
clpX,722.6999105,765.9682266,730.7856327,967.717042,831.9183561,888.7479326,93.1264972,95.24516641,80.75818626
cmk,716.8819374,688.4581239,693.0329718,610.5920817,675.8817414,589.7919607,41.02139329,41.50535464,42.44738923
coaA,52.56356166,60.30620936,58.23504447,59.82690657,57.90389729,55.49270056,43.36717197,41.30917832,40.14505977
cobQ,158.9776001,160.0111008,167.8899053,164.4513774,173.4816969,173.8759606,50.07600704,49.41165672,46.63648398
codY,1158.096223,1136.964316,1152.169408,1060.032963,1078.47421,982.6427958,44.38885051,45.60951284,39.58981766
coiA,32.65102392,32.81792319,33.14154378,33.74600359,32.36821679,32.17678019,52.30735528,47.41055122,47.45319964
comEA,7.103340345,7.107504302,8.8480706,8.619556766,9.030501914,9.216941264,40.96228172,41.18458403,39.62620536
comEB,178.5406145,182.9151616,185.323851,162.466699,167.2692218,155.9172026,110.6424238,105.7250825,106.875563
comEC,6.327006023,6.131837803,6.193170628,5.511487281,6.051367262,5.58390909,3010.176706,3000.688561,2935.400748
comFC,10.81499566,15.0943755,13.31718134,12.9351302,13.25303947,13.34607056,183.5209517,195.9682365,168.0984562
comX.1,19.09570815,19.77992123,19.83013354,16.14638181,19.30460865,18.54307437,16.12166996,17.44241507,14.73259614
comX.2,19.523224,15.64294424,17.09989776,16.49739011,15.49448852,19.6861406,9.080224199,9.605096131,8.523339951
comYA,2.360215322,2.676478723,2.305573242,2.180064331,2.760815479,2.695152961,5.408355441,6.101561569,5.135916591
comYB,2.877367575,2.853165109,2.429097643,2.472319332,2.325829852,1.908423616,3.818718794,4.10815367,3.195501659
comYC,2.753358987,3.074267304,2.349241987,3.651774426,2.076340694,2.453921995,7.556618142,9.22676489,7.067299966
comYD,2.865830415,1.588813146,1.605438097,2.549046484,1.418941289,2.55416178,389.4468332,400.8013654,348.9833706
copA,101.3109143,102.6341454,98.87254519,87.24396224,92.97307648,92.25650658,160.5471658,188.2428884,163.1576749
copY,76.2629316,86.22922254,80.27190487,76.66747501,77.61608851,82.30076846,60.00843818,67.13702114,59.54911327
copZ,142.5891113,132.4364968,133.1687292,102.4376429,124.6581656,129.2001034,4.262281591,7.147183236,5.068432538
cppA,1464.158341,1552.151325,1550.037691,1465.080676,1508.998836,1460.346803,11.9836941,11.88242349,11.92512763
cpsY,176.844707,164.9895899,173.2586344,153.1186628,176.4550977,165.6224434,7.951118059,7.531615061,10.41961791
csp,548.2890829,523.5861503,571.3588923,562.7798668,550.6744208,502.579325,8.49350202,7.962417501,9.270466352
csrA,105.4675756,107.7296435,102.6820613,116.0635391,107.2418332,101.6076268,10.09150912,11.06515865,13.33035527
csrR,1517.012938,1543.504534,1570.865093,1701.554887,1610.303181,1627.686377,9.870546842,10.82906551,14.64213844
csrS,323.6627812,338.0213661,322.4655404,307.4706599,316.0528869,289.0383275,12.21077627,11.62747327,12.94742832
ctsR,485.7024275,472.4515029,497.0186151,452.1374384,460.3911649,457.0631963,18.66364137,18.21531413,18.17103062
cycC,144.8150472,156.9066431,161.3220293,100.7614383,89.42769207,89.57781127,17.4570002,20.84569204,19.8937998
cycD,226.807721,235.4442934,240.6803327,118.4733739,113.7038507,112.8656194,194.1365625,187.9256994,154.2472012
cypB,524.8813979,498.5163004,516.2886003,548.4459021,526.0685268,592.1677968,311.142728,292.9598549,226.4989026
cysE,939.0231477,936.6254515,883.8764272,950.7023625,924.1623129,940.0953758,132.603333,135.657789,115.2964961
cysM,1364.41821,1333.177066,1430.092557,1403.021537,1504.897951,1605.061563,483.7921672,465.015632,543.8806789
cysS,302.692676,293.3484904,283.6590521,317.952407,322.5351736,313.128705,263.5037197,246.5477409,243.7102599
czcD,25.53675181,33.20827227,30.37411907,21.81059794,20.85649319,21.91398886,1824.044102,1798.358951,1960.652359
dacA,84.81664901,86.93313599,87.73465301,85.36419377,83.90051388,85.10420096,2016.579861,2007.143227,2168.297225
ddlA,353.1705815,357.6646261,344.3390498,335.352458,350.2163027,319.1071721,3249.26809,3210.59907,3561.930888
deaD.1,591.6819421,577.2634267,557.2267524,855.7933368,718.5505549,815.5396519,63.4163248,65.23108201,83.5677224
deaD.2,143.5532103,143.3063971,143.4028754,132.0266331,138.7936246,128.3960193,147.7130786,160.8824282,174.9800524
def,667.1249349,650.8814367,659.8702994,590.962711,638.5166584,613.642559,68.88437916,75.15956818,58.67878722
degP,1651.374291,1724.241058,1725.031431,1562.836066,1492.872304,1517.722995,215.6850052,221.5442423,176.8965787
deoB,203.7155373,205.4946039,197.1211735,214.4339246,215.3208284,215.581159,5.071842893,6.399569927,5.504743444
deoC,219.2125713,221.308646,216.5764662,310.8444889,278.1251618,328.2845385,1.290504047,1.245924741,1.511850247
deoD2,554.631979,542.8707095,551.4322218,619.3037535,594.2202993,618.6817669,1.185351865,1.001354329,1.115889468
dexB,15.79106887,16.1552604,15.53365802,15.64270447,18.24183536,14.18846891,2.606701387,2.516655224,2.9083816
dexS,47.44717391,49.21516963,50.41607815,48.27624655,44.82469503,45.01533744,3.417147174,2.494445159,3.487154588
dfp,359.9871411,321.5164184,352.7641481,371.6425739,365.256538,422.6958424,1.940698426,1.281977032,1.96586485
dgk,237.309021,252.2453277,248.5359831,231.216394,235.5494707,216.7959581,125.1323498,127.3525719,121.1380337
dinG,92.75863773,92.01053499,94.73432265,82.15866941,81.41048043,79.29096817,19.71705826,20.05459632,18.26502597
dinP,76.44824486,86.29157537,82.43003477,93.37396209,89.71895987,92.53214814,170.1291862,165.1815171,157.1642219
divIB,1399.075213,1306.586681,1340.570154,1119.227999,1194.511458,1136.739073,175.327145,175.1260288,154.5765037
divIC,480.8932771,577.6337529,538.6050611,481.2748403,461.7681234,420.6299356,279.1584371,282.9567213,218.1190258
divIVA,3797.303962,4004.668331,3873.582639,4419.60794,4032.712466,4272.808671,482.4362596,470.039863,403.3059462
dltA,589.8818753,609.2787296,606.4753655,524.9052018,561.090322,511.3717338,721.9476717,709.1899468,615.9709865
dltB,854.1766765,916.0133451,881.3184626,774.6443226,845.2792424,748.1709476,155.7719041,148.45972,125.1888497
dltC,2919.49508,2941.768785,2981.730008,2310.784168,2671.618133,2366.404283,235.4346808,242.1430209,198.0659873
dltD,1112.660759,1167.10743,1133.964818,974.4495462,1047.185477,952.9225067,20.77215168,22.72854249,23.75557003
dnaA,473.9240242,454.2689042,460.3238559,389.1742403,401.0690921,390.8376095,38.40540044,40.941087,40.39519875
dnaB,421.7291216,408.2369157,402.272822,359.6751608,376.5895519,344.2670538,289.7022754,294.7580001,307.9339906
dnaC,807.8024567,806.9656719,790.2047292,698.633527,753.5916282,702.7601254,257.0594026,257.2066754,294.2834086
dnaE,185.6218595,193.4390799,193.4816094,178.5684492,184.477419,179.3831359,73.13067651,76.46916672,66.62435891
dnaG,640.7303288,625.3570989,647.5466539,608.678734,623.8303228,631.7630175,288.9597815,309.3509191,372.061291
dnaI,371.9814026,373.0159936,366.5065833,340.0465792,342.7285333,321.2737639,936.5050215,945.7648588,835.5333982
dnaJ,778.8714279,875.7209163,939.1873529,766.2228265,795.4667072,830.4188999,230.4440265,234.8281545,233.8342328
dnaK,2606.882167,2866.088233,2952.247762,2332.891077,2338.516597,2535.883982,74.70713428,71.86605901,64.997427
dnaN,701.2252656,753.0799003,751.8025159,831.3450993,725.7042314,801.4553066,139.7339346,146.0802262,133.966516
dnaQ,49.59593014,48.90144332,52.57233655,45.16418761,43.70882306,37.80322379,966.9359673,948.5972611,1031.416635
dnaX,217.3883579,202.9671841,208.8409794,210.3535397,213.1341525,186.1002116,415.3504406,421.7841155,420.9174575
dpfB,205.7739297,201.7279973,213.3390933,214.2837295,208.5966547,214.6589307,236.3532352,251.0538354,246.1205811
dppA,443.9882053,441.7022904,419.1908267,426.7368865,459.9551758,407.4873223,157.3085877,165.7220045,141.2021823
dppB,173.2240801,167.765729,161.1737212,177.4017887,183.3144047,163.1727041,69.95269366,76.22169709,62.04720532
dppC,100.4318996,107.6217956,106.4540222,116.4245852,118.5670448,104.8283511,59.25833271,73.23409357,54.059614
dppD,272.809352,251.9465296,244.3410889,270.8435053,273.1514927,250.7409606,237.1340161,254.605139,191.4237235
dppE,276.0361457,280.5820518,257.4039614,253.1643167,297.1018648,263.4412158,163.4238612,164.8226705,124.5863554
dpr,1811.059179,1937.387753,1995.500263,1518.348228,1428.184563,1417.700879,99.33926996,108.3324057,87.48304542
dtd,645.1560873,613.5863642,670.0534546,528.8675263,606.3960648,552.8887773,613.1495102,634.6015157,478.3352019
dut,215.9844526,216.040782,210.4470752,209.898252,235.9870779,197.8808745,674.2856872,723.4485275,516.8188824
dyr,369.2346265,431.7377846,397.4232996,438.4643442,418.1859318,392.1681196,153.5360663,153.9613344,160.5091435
eep,218.2163067,217.0139929,223.4769832,225.151767,238.0290905,216.5294027,115.9126723,106.1450413,124.6789663
efp,2774.398612,2594.847921,2744.151172,2446.958121,2669.947825,2600.881274,184.9423055,178.7578173,218.3800605
emm3,39204.46433,39127.3591,39420.97665,35025.32886,36424.33992,34455.66923,231.3847633,226.7694002,286.9778575
endA_1,239.2316697,207.5897006,216.6260048,209.9229692,218.9654322,207.4576366,305.0428941,337.9570861,283.3801305
endA_2,67.41069987,89.21908,80.0792523,88.70681763,81.06411584,72.42467624,441.105505,448.2864305,415.4019838
eno,5919.139381,5848.457298,5930.768179,4952.849486,5516.223759,4916.149573,552.0776313,542.4282464,541.9271469
era,546.9572066,525.8976343,525.0587982,652.407036,607.2617883,621.7286313,340.3145205,371.8171675,353.9601393
estA,233.7663217,246.0455222,247.893123,257.078747,250.2725396,255.3836823,6.230663369,6.015430687,5.299287858
exoA,71.26503411,66.01738416,76.41536335,88.90048265,90.79681922,82.37531626,8.295784089,7.35272074,9.786951257
fabD,567.2630014,585.4128088,571.2615507,720.8746055,687.3115869,718.4883381,5.032965783,2.616441957,6.803326113
fabF,1641.623433,1512.361397,1521.961176,1982.123375,1910.48879,2046.806094,16.19604906,15.95732124,13.90035324
fabG,839.288655,870.7344533,839.5589384,1132.044749,1062.827567,1105.60165,10.39857413,8.366137252,8.701520763
fabH,2171.349077,2385.812928,2295.796239,2992.761569,2671.538999,2702.947161,27.04452689,26.21515858,25.0847913
fabK,741.3965925,715.5105162,712.9434767,781.8243795,805.85165,770.2542412,18.57310349,19.14720803,19.22988539
fabZ,1161.333174,1106.437797,1100.214698,1495.989907,1439.349891,1557.293973,16.64131768,18.43570558,16.87738256
fba,4160.401071,4052.129386,4026.687209,3265.097117,4012.196458,3267.88638,63.51795695,63.58264312,58.01013842
fdhC,94.56321834,88.28468011,90.78752441,84.09213851,85.78045839,89.5020857,89.93156479,94.81066361,80.14046728
ffh,539.4380277,520.8928472,505.8793993,462.0010323,490.6323135,425.0889979,194.7075822,218.09628,177.3074728
fhs.1,71.45424767,76.44169792,78.78031741,85.39710555,93.12152487,88.24799634,126.9456857,132.9928327,135.6323385
fhs.2,1.65490008,1.013392549,1.376706325,1.37572608,1.880478644,1.548670374,113.3653386,118.7561423,114.5467261
fhuB,61.49651132,60.68229229,62.40854735,67.1505879,75.49899577,75.85270255,116.3240494,125.8327612,98.97586134
fhuC.1,54.13235228,53.92335525,55.56599637,55.12040687,59.59553414,61.25258342,166.2034658,190.1163058,149.0743712
fhuC.2,119.3182958,121.3068414,118.396744,63.07958841,57.52052322,58.55448939,191.5174966,192.0616497,162.6777354
fhuD.1,91.82380715,87.34292436,91.76808057,100.6536052,111.5397353,111.013416,247.932627,248.9190448,202.7211084
fhuD.2,164.938707,162.7532853,167.1189215,73.89298658,78.40322238,73.44741557,543.5907236,593.5905848,448.6353901
fhuG.1,104.4393072,102.5225576,106.0093848,114.6630617,118.3350303,122.6503219,1320.240568,1355.929347,1123.322773
fhuG.2,59.50870244,65.47130043,65.67230505,34.43484067,34.99500364,32.8841047,5761.331878,5987.843885,6360.861071
flaV,836.1697087,907.968196,880.0958135,837.407522,804.3315995,749.3484968,4178.421951,4455.498297,4639.868409
fms,48.36234093,49.07186985,44.17884399,47.93953508,42.35073672,38.29689043,3127.747173,3156.138799,2893.892677
fmt,352.5772578,359.4620301,356.0470632,475.4103669,416.9004135,480.4175466,5100.183046,5248.165532,4972.271021
folC.1,1163.830625,1229.5671,1226.620658,1356.177421,1229.5043,1192.153678,335.1726369,357.4643835,413.7555508
folC.2,204.4127918,197.5370096,201.6407639,169.3886956,174.8362166,168.2722285,168.7579558,174.005897,189.6457352
folD,279.6223696,274.0284567,272.3217331,235.1349181,256.1363283,214.4873536,161.5554277,162.7608546,147.2661232
folE,1671.255186,1784.985938,1721.824372,1720.894156,1644.845919,1568.423351,128.8466894,130.1893461,102.2951817
folK,1963.005925,1780.835348,1938.000167,1722.470946,1897.285549,1882.062052,600.3974693,626.0056773,518.39373
folP,925.0770586,928.9634124,930.0206692,912.6886271,901.816905,878.7995913,403.8101336,408.6860291,323.0455136
folQ,631.2057828,620.7986455,606.9960767,650.3745043,647.5870676,623.9427009,248.159409,279.3528101,212.2708339
fpg,67.91925786,72.23971233,74.72848999,69.2249413,67.83670402,62.17286313,196.0180622,208.7329385,162.405652
fps,242.6791542,225.4119344,224.2289461,214.6542408,218.6144803,206.6710878,226.8289619,233.0451965,196.63664
fruA,528.2712623,517.2934354,538.5700601,470.2397083,533.5142725,492.6950087,570.530226,561.3949996,455.575824
fruK,628.3215138,608.5544274,613.7473864,577.6061795,640.0045663,583.5374828,219.6841682,231.1050788,186.8890738
fruR,595.6732876,615.7197132,618.6501744,578.0708502,616.4614278,574.1170203,680.5627035,707.9306433,836.3223378
ftsA,2220.707144,2254.895677,2297.54599,2480.304108,2382.273004,2474.539918,87.01953566,86.15615058,79.17113599
ftsE,422.4411854,402.0053663,432.019222,355.0882019,415.59009,365.4546028,829.01155,856.1050423,780.1443137
ftsH,1596.316994,1616.484975,1611.531465,1643.996834,1667.263539,1635.166632,370.207746,388.5032084,358.0601979
ftsL,246.7056319,257.5333912,254.4891493,238.7778582,237.6546285,231.5580943,728.9568724,733.7746752,707.5605939
ftsW,290.3929102,300.7478847,299.4482027,274.0144231,287.4641504,260.1188405,624.2222298,614.0838481,565.8966187
ftsX,689.8947455,726.1971005,711.5819531,638.0617559,623.146376,572.5213135,869.7326885,898.0002573,829.7870022
ftsY,447.7852325,426.3226805,437.88557,365.6522036,385.3070573,362.9511646,17.92844696,20.02708658,16.73834202
ftsZ,1666.798812,1660.76767,1646.714276,1982.979909,1809.025986,1912.884963,0,0,0
fusA,3503.720063,3306.828084,3263.84291,3096.057316,3419.963827,3295.623232,47.12857828,49.17452235,26.61804634
gapN,2370.394539,2270.887111,2255.860074,2742.623604,2700.422641,2954.122776,630.2424687,628.6744564,560.142178
gatA,227.1761547,229.050203,236.2160852,199.5449885,220.6410179,196.3268843,596.0945447,591.3459448,555.7309051
gatB,472.3943309,487.3714415,501.1257958,423.039591,459.0718489,411.8896271,411.0869319,465.0589494,382.9992668
gatC,526.8603798,513.4254685,532.6478012,471.2338561,478.5133641,452.246797,463.572295,463.3741734,396.579713
gcp,347.4993445,327.5848042,341.8530018,321.617751,336.6924289,318.5855549,534.1357144,532.3043559,432.6607802
gid,100.9248336,96.80526156,101.9096428,95.97843322,101.3353404,104.5386024,270.1332233,281.0331578,221.1055275
gidA,462.1912395,453.4768894,446.2331677,439.4557377,445.1339871,410.821253,182.8321609,194.457704,151.53599
gidB,128.4271996,125.396683,128.913981,108.1120313,117.6558692,106.1610753,273.2741993,270.3028662,223.0690264
glcK,164.3085933,163.5398716,165.6822027,211.8335092,192.2840625,206.577469,1437.892568,1383.470662,1755.214761
gldA,23.02225872,22.44352754,27.12659661,19.73768987,21.65155868,19.61161562,950.9095144,838.7246118,922.312429
glgP,77.54401473,78.66968594,80.72057697,75.91821377,74.69551267,73.63466105,277.6560643,260.257773,319.3818112
glmS,1293.671699,1303.943223,1287.304702,1270.963447,1269.504811,1194.305922,181.0057341,165.6139321,190.5624877
glmU,460.6654891,445.900049,438.6624532,525.6467314,519.0077866,529.5991966,168.6470912,156.2001285,175.3830434
glnA,2473.477239,2601.978282,2457.13731,1489.908281,1681.48493,1298.986572,165.7651036,161.4587602,161.2594579
glnP,842.4904569,856.5724981,777.5778881,444.7497873,518.6797988,418.6838748,331.9414133,323.6460011,305.3602164
glnQ,603.3166043,629.9144146,585.0814404,315.9714191,372.6760253,286.3033818,228.0854059,237.3038099,274.7766227
