geneID,NSC2,NSC3,SC2,Nmts1,mts1,mts3
SSUSC84_RS08275,1027,1072,964,952,891,1094
SSUSC84_RS08355,458,662,427,707,800,1003
SSUSC84_RS00300,12,12,8,6,19,13
SSUSC84_RS01195,1369,1663,1681,1614,1444,2041
SSUSC84_RS10005,69,102,132,118,160,231
SSUSC84_RS08215,22,45,38,14,40,33
SSUSC84_RS04915,2659,2656,2179,2297,2734,2400
SSUSC84_RS00445,1839,2019,1740,1763,1549,1935
SSUSC84_RS03895,1759,2400,1234,2132,1542,1792
SSUSC84_RS07430,1534,1753,1800,916,1336,1103
SSUSC84_RS01285,411,410,754,737,691,1174
SSUSC84_RS09310,342,416,448,375,455,426
SSUSC84_RS06995,233,246,115,213,170,135
SSUSC84_RS10295,0,0,1,0,0,0
SSUSC84_RS10220,615,621,487,660,428,524
SSUSC84_RS10125,3073,2626,3658,3378,3009,3772
SSUSC84_RS05940,42,25,44,29,48,37
SSUSC84_RS09285,8035,8051,6425,6677,7305,6205
SSUSC84_RS01675,4015,4774,4436,4750,3695,4859
SSUSC84_RS07640,3128,3195,3848,2798,2918,3309
SSUSC84_RS00950,1001,1348,1522,774,1257,1426
SSUSC84_RS03215,134,109,116,128,106,113
SSUSC84_RS06980,45,67,107,35,55,43
SSUSC84_RS09675,0,0,0,1,0,2
SSUSC84_RS03720,874,927,678,652,705,697
SSUSC84_RS00765,25036,22619,28310,22302,24463,21265
SSUSC84_RS04480,1054,1022,860,1203,987,1184
SSUSC84_RS07035,692,815,1198,586,687,783
SSUSC84_RS01315,243,223,349,203,202,385
SSUSC84_RS02930,593,577,628,923,616,982
SSUSC84_RS07105,1056,1328,923,1070,818,1138
SSUSC84_RS05195,1076,1040,1285,1763,996,1575
SSUSC84_RS06210,1245,1150,1353,1399,950,925
SSUSC84_RS06430,80,95,88,91,120,109
SSUSC84_RS05175,801,1159,2015,1111,1379,2036
SSUSC84_RS09660,1,2,1,5,5,1
SSUSC84_RS01100,679,846,1072,695,682,947
SSUSC84_RS03715,1,8,3,2,0,7
SSUSC84_RS04805,3072,3358,3440,4026,3208,4340
SSUSC84_RS02625,1214,1295,1144,1111,922,1215
SSUSC84_RS03000,936,1141,2667,1577,1333,2393
SSUSC84_RS09260,548,780,742,995,1226,1507
SSUSC84_RS04150,18,22,28,34,35,40
SSUSC84_RS03375,12,3,10,10,16,11
SSUSC84_RS02785,16257,15359,14032,18599,12858,15044
SSUSC84_RS04760,442,477,637,589,730,713
SSUSC84_RS06935,892,1160,1151,1257,1030,1193
SSUSC84_RS01875,1472,1247,1324,1431,1115,1200
SSUSC84_RS09870,652,521,577,599,697,619
SSUSC84_RS00865,162,126,129,155,123,192
SSUSC84_RS08960,151,141,184,234,215,340
SSUSC84_RS03815,828,1090,317,328,863,394
SSUSC84_RS02495,69,107,42,58,60,64
SSUSC84_RS02630,726,861,201,922,719,1101
SSUSC84_RS05555,5011,4189,3686,4054,2956,2819
SSUSC84_RS04800,4211,4969,6174,5397,5882,8194
SSUSC84_RS07815,2665,2448,3613,3378,2708,3776
SSUSC84_RS05735,1,1,3,2,2,1
SSUSC84_RS00030,2678,3060,2645,2590,2598,2867
SSUSC84_RS02345,5163,5077,5568,6331,5116,5290
SSUSC84_RS04110,364,364,434,380,346,421
SSUSC84_RS01910,151,191,140,97,165,160
SSUSC84_RS08555,1846,2004,1276,1158,1992,1447
SSUSC84_RS02855,28574,23243,16807,47021,21548,31646
SSUSC84_RS01965,7976,11107,12869,6526,8781,7917
SSUSC84_RS08825,2014,2213,2124,1422,2580,2117
SSUSC84_RS02140,0,0,0,0,0,0
SSUSC84_RS06080,1300,1438,963,1094,837,961
SSUSC84_RS00175,0,0,0,0,0,0
SSUSC84_RS06255,1240,1099,1228,1348,754,1280
SSUSC84_RS09390,191,186,207,157,189,208
SSUSC84_RS08010,584,534,552,640,409,663
SSUSC84_RS09085,45,47,46,29,43,69
SSUSC84_RS06510,815,850,763,901,656,689
SSUSC84_RS01290,727,831,775,978,675,917
SSUSC84_RS05495,47,23,59,65,58,49
SSUSC84_RS03150,1617,1627,1658,1539,1482,1577
SSUSC84_RS05825,0,0,0,1,0,1
SSUSC84_RS07265,3196,2965,3708,2654,3649,2904
SSUSC84_RS08755,4729,3993,3790,5289,4640,4747
SSUSC84_RS06975,13,21,65,2,14,29
SSUSC84_RS02175,0,0,0,0,0,0
SSUSC84_RS04810,864,869,1084,1176,999,1421
SSUSC84_RS03260,424,476,571,407,576,732
SSUSC84_RS03130,165,240,180,133,165,188
SSUSC84_RS07390,68,90,105,52,86,117
SSUSC84_RS03955,1141,1077,1152,1409,1003,1398
SSUSC84_RS03660,552,414,400,688,442,434
SSUSC84_RS02385,3084,2587,1911,2328,2469,2070
SSUSC84_RS04875,15,11,15,7,9,10
SSUSC84_RS05785,5,2,19,7,8,11
SSUSC84_RS03175,25,33,34,34,31,25
SSUSC84_RS10090,341,450,518,566,503,572
SSUSC84_RS02045,2343,3027,4121,4312,3133,5249
SSUSC84_RS07085,132,205,301,103,138,227
SSUSC84_RS07580,3,3,1,1,0,3
SSUSC84_RS02575,1438,1752,1776,2171,1887,2679
SSUSC84_RS03570,720,757,1025,799,860,963
SSUSC84_RS02065,3976,3496,3431,5599,3129,4560
SSUSC84_RS02475,67,90,104,57,63,80
SSUSC84_RS01130,417,485,402,491,465,554
SSUSC84_RS01895,883,836,957,997,690,946
SSUSC84_RS08385,1766,2036,2282,2090,2353,3056
SSUSC84_RS03520,16,3,5,3,6,8
SSUSC84_RS02365,1585,1371,1499,1855,1284,1527
SSUSC84_RS05345,5559,4972,5458,12923,6169,10292
SSUSC84_RS03540,17,13,24,17,10,18
SSUSC84_RS03005,417,635,1013,727,552,1056
SSUSC84_RS07880,2376,1622,2676,2401,1514,1078
SSUSC84_RS05990,1677,2241,1219,754,1874,1108
SSUSC84_RS01735,1098,1339,1132,1535,1187,1672
SSUSC84_RS02915,0,1,0,1,0,0
SSUSC84_RS08770,14489,15054,21782,15274,23490,23124
SSUSC84_RS07660,433,496,518,386,450,551
SSUSC84_RS07990,122,178,131,135,157,154
SSUSC84_RS04050,1795,1784,1599,2093,1406,1666
SSUSC84_RS02195,1065,1192,1254,1503,1286,1583
SSUSC84_RS08510,320,408,421,339,378,481
SSUSC84_RS09415,89,63,88,110,114,119
SSUSC84_RS02890,0,0,2,0,1,0
SSUSC84_RS05560,9952,8850,7593,7170,6173,5813
SSUSC84_RS04400,0,1,0,0,1,0
SSUSC84_RS09480,20,26,24,15,31,39
SSUSC84_RS02355,1702,1581,1941,1937,1371,1901
SSUSC84_RS07260,211,249,392,274,289,505
SSUSC84_RS10185,896,1195,1508,1156,1751,2120
SSUSC84_RS07865,297,339,287,196,267,287
SSUSC84_RS01865,1125,1261,1645,1147,1232,1561
SSUSC84_RS02990,17,27,14,11,27,22
SSUSC84_RS09280,897,842,1054,1118,1160,1307
SSUSC84_RS03575,10,21,14,13,10,10
SSUSC84_RS02470,5,6,11,6,5,5
SSUSC84_RS09765,7978,8463,9224,93360,77402,98818
SSUSC84_RS03465,58,34,73,57,41,29
SSUSC84_RS04620,8,21,29,4,25,28
SSUSC84_RS01975,6207,7065,5988,6123,5859,5400
SSUSC84_RS05470,101,77,115,204,268,240
SSUSC84_RS02635,433,536,227,539,524,525
SSUSC84_RS03490,80,89,110,106,116,163
SSUSC84_RS06485,1823,1836,2276,1630,1059,1132
SSUSC84_RS08495,2753,2607,2387,863,924,853
SSUSC84_RS02290,955,971,1222,1472,958,1386
Novel00001,44,47,14,8,34,13
SSUSC84_RS07210,952,993,951,813,852,917
SSUSC84_RS10415,6,7,6,13,7,14
SSUSC84_RS09865,142,82,72,103,94,91
SSUSC84_RS08425,189,200,303,176,170,223
SSUSC84_RS06390,1017,969,991,941,839,1018
SSUSC84_RS07900,488,576,535,693,480,719
SSUSC84_RS00455,5597,5260,5494,5667,4524,5516
SSUSC84_RS10605,31,15,19,22,18,26
SSUSC84_RS04080,824,957,1147,969,879,1228
SSUSC84_RS07310,12,20,20,13,14,15
SSUSC84_RS10670,1,4,4,0,5,3
SSUSC84_RS03155,1337,1444,1580,1153,1228,1446
SSUSC84_RS02350,1609,1642,1552,1498,1412,1426
SSUSC84_RS09420,39,32,28,34,31,37
SSUSC84_RS04630,2,2,2,1,2,3
SSUSC84_RS03890,179,194,262,197,233,281
SSUSC84_RS08340,3675,5535,7948,4206,7043,6979
SSUSC84_RS06060,2196,2021,1848,2320,1631,1943
SSUSC84_RS01715,0,0,0,0,0,0
SSUSC84_RS06505,6105,5659,7179,6677,5226,6756
SSUSC84_RS07335,167,228,168,275,210,260
SSUSC84_RS07560,2960,3346,5123,3511,3368,4433
SSUSC84_RS08865,8,5,0,6,2,4
SSUSC84_RS04020,6101,6275,6666,6484,5208,6086
SSUSC84_RS02700,41663,48185,36007,33715,27765,28220
SSUSC84_RS06615,3,2,4,4,6,6
SSUSC84_RS05915,1728,1720,1990,1890,1596,1929
SSUSC84_RS02580,72,145,93,81,116,132
SSUSC84_RS06470,4321,5178,4306,4492,4886,4831
SSUSC84_RS04250,160,169,222,157,189,198
SSUSC84_RS05610,186,133,149,276,223,276
SSUSC84_RS08800,2691,2400,2105,3826,2819,3363
SSUSC84_RS02710,1728,1833,1589,1479,1830,1728
sRNA00028,0,0,0,0,0,0
SSUSC84_RS00015,264,275,262,283,215,331
SSUSC84_RS07875,11,11,11,6,9,7
SSUSC84_RS08860,7,11,6,2,9,3
SSUSC84_RS06230,315,360,430,259,307,238
SSUSC84_RS05590,1762,1885,2026,2550,1719,2701
SSUSC84_RS07965,942,892,995,1652,1203,1644
SSUSC84_RS02070,3282,3053,2934,4213,2730,3937
SSUSC84_RS03040,438,393,679,833,578,781
SSUSC84_RS05980,2664,2794,2578,2948,2356,2867
SSUSC84_RS04085,587,591,554,744,479,692
SSUSC84_RS06115,2010,1915,2278,2117,1616,2038
SSUSC84_RS04365,42,14,19,32,13,19
SSUSC84_RS01070,208,247,286,216,396,360
SSUSC84_RS08220,1,1,2,2,1,3
SSUSC84_RS09700,15171,15001,12607,8949,10311,9240
SSUSC84_RS06250,1009,877,1031,1067,730,1081
SSUSC84_RS00845,205,170,109,135,102,135
SSUSC84_RS02730,572,571,1012,588,607,643
SSUSC84_RS05935,237,219,275,215,285,242
Novel00002,957,1623,1865,782,2324,1714
SSUSC84_RS01415,216,315,151,130,161,289
SSUSC84_RS06105,2861,2756,3475,3181,2563,3158
SSUSC84_RS02525,1466,1387,1370,1019,1215,1443
SSUSC84_RS04650,46,47,63,78,76,95
SSUSC84_RS00115,0,0,0,0,0,0
SSUSC84_RS01885,474,502,622,480,388,632
SSUSC84_RS09160,1380,1362,1661,1848,1381,1764
SSUSC84_RS01310,529,715,843,822,1071,1348
SSUSC84_RS09810,461,513,368,376,421,488
SSUSC84_RS02415,1866,2527,2819,1573,2891,2861
SSUSC84_RS02035,1181,1629,1565,1302,1270,1403
SSUSC84_RS08665,10420,9518,10103,9285,8759,9014
SSUSC84_RS07215,1555,2097,1832,1635,1461,1765
SSUSC84_RS03550,49,32,39,58,18,23
SSUSC84_RS02800,21706,16500,19151,24204,13668,14861
SSUSC84_RS10250,4704,5286,4744,5118,5074,5499
SSUSC84_RS05270,1019,1053,1079,1518,872,1320
SSUSC84_RS09960,103,208,93,60,102,108
SSUSC84_RS01565,26,14,43,29,67,71
SSUSC84_RS06965,837,714,1235,996,713,853
SSUSC84_RS00640,0,0,0,0,0,0
SSUSC84_RS04245,593,556,644,640,549,644
SSUSC84_RS09725,11,7,18,22,12,21
SSUSC84_RS08730,360,408,360,233,305,299
SSUSC84_RS04710,7,7,5,6,6,1
SSUSC84_RS00495,7814,6549,7200,6794,7037,6266
SSUSC84_RS00925,2157,2173,2072,2007,1771,1753
SSUSC84_RS06030,158,169,97,67,82,52
SSUSC84_RS03600,867,741,1456,915,685,905
SSUSC84_RS01340,143,178,178,235,202,271
SSUSC84_RS04465,1,1,1,0,3,0
SSUSC84_RS02185,0,0,0,0,0,0
SSUSC84_RS06330,102,139,146,144,143,157
SSUSC84_RS02880,11,3,4,12,5,18
SSUSC84_RS10535,4,2,4,4,4,7
SSUSC84_RS00905,76234,83260,77840,65530,72891,75887
SSUSC84_RS05205,369,546,908,536,476,935
SSUSC84_RS01460,383,262,393,457,295,288
SSUSC84_RS00615,0,0,0,0,0,0
SSUSC84_RS09900,170,224,249,125,234,252
SSUSC84_RS06795,2299,2420,3087,3049,2556,3779
SSUSC84_RS09105,75,47,28,50,50,52
SSUSC84_RS07915,548,769,698,440,519,703
SSUSC84_RS05475,69,93,93,148,175,232
SSUSC84_RS07330,21,7,46,9,31,21
SSUSC84_RS02485,557,592,343,477,415,419
SSUSC84_RS02400,10051,9968,9930,10296,9657,9977
SSUSC84_RS05740,10,13,7,9,16,10
SSUSC84_RS03250,87,80,58,91,77,67
SSUSC84_RS00205,1470,1464,1727,1270,1318,1144
SSUSC84_RS04565,1,6,2,6,3,4
SSUSC84_RS04930,273,306,397,413,301,418
SSUSC84_RS00660,6,19,4,1,10,2
SSUSC84_RS05955,836,833,812,725,763,816
SSUSC84_RS08120,115,161,162,123,185,335
SSUSC84_RS08135,2053,1844,1901,2621,1831,2451
SSUSC84_RS01705,0,0,0,0,0,0
SSUSC84_RS07230,572,784,839,477,564,695
SSUSC84_RS10240,384,446,486,414,475,523
SSUSC84_RS07455,163,155,132,161,169,167
SSUSC84_RS01495,1342,1352,1579,1771,1404,1819
SSUSC84_RS03220,661,714,1031,688,529,831
SSUSC84_RS07080,3,2,1,1,0,1
SSUSC84_RS05125,28527,32967,28282,22718,25014,22462
SSUSC84_RS03050,83,75,92,135,139,151
SSUSC84_RS01440,2406,2822,2430,2508,3308,3473
SSUSC84_RS03525,7,7,8,6,4,1
SSUSC84_RS06285,5240,6320,4630,3556,5015,3854
SSUSC84_RS09430,475,526,462,595,685,800
SSUSC84_RS05500,13,9,22,9,33,10
SSUSC84_RS01545,2571,2280,3604,4681,2668,3551
SSUSC84_RS06335,321,428,272,398,369,331
SSUSC84_RS01360,38,49,81,41,68,87
SSUSC84_RS00410,5984,7440,8135,7113,6858,8785
SSUSC84_RS07345,399,455,576,312,378,427
SSUSC84_RS05200,1499,1246,1390,2273,1209,1694
SSUSC84_RS04045,2523,2516,2258,2899,2205,2470
SSUSC84_RS08745,0,0,0,0,0,0
SSUSC84_RS05530,5,9,8,5,7,8
SSUSC84_RS04500,1,0,1,0,2,1
SSUSC84_RS07370,3,3,2,4,4,2
SSUSC84_RS04975,12,8,14,14,28,31
SSUSC84_RS03900,217,237,311,193,355,255
SSUSC84_RS01850,1501,1417,1749,1497,1203,1689
SSUSC84_RS09555,313,288,207,325,231,312
SSUSC84_RS08990,33,14,25,10,21,8
SSUSC84_RS00875,516,722,719,376,527,694
SSUSC84_RS02560,135,169,108,115,88,152
SSUSC84_RS05860,10207,11015,9702,9913,7742,9108
SSUSC84_RS03320,165,195,100,84,140,124
SSUSC84_RS01635,19,15,6,19,24,36
SSUSC84_RS09855,306,316,307,290,306,383
SSUSC84_RS04905,3049,2982,4740,4800,2859,4338
SSUSC84_RS04290,243,245,348,269,223,260
SSUSC84_RS10520,393,278,289,625,313,544
SSUSC84_RS05605,3460,3499,4018,4868,4234,5285
SSUSC84_RS01090,978,1104,1915,929,858,1137
SSUSC84_RS07280,936,721,1252,634,668,334
SSUSC84_RS06940,377,290,366,546,272,376
SSUSC84_RS05405,25979,28013,29662,28106,22895,27458
SSUSC84_RS04055,1087,1154,984,1032,819,993
SSUSC84_RS03820,658,631,410,397,493,407
SSUSC84_RS03420,1,2,1,2,2,3
SSUSC84_RS00310,20,20,54,33,24,43
SSUSC84_RS02590,1293,1533,1510,1535,1148,1816
SSUSC84_RS01165,89,76,83,91,106,109
SSUSC84_RS06715,61,44,67,73,59,64
SSUSC84_RS05900,1019,984,1018,955,885,881
SSUSC84_RS03075,15,14,16,20,73,64
SSUSC84_RS06705,0,0,0,0,0,0
SSUSC84_RS00730,123,144,360,183,179,312
SSUSC84_RS00045,60,62,37,25,49,37
SSUSC84_RS10655,0,0,0,0,1,2
SSUSC84_RS06635,863,755,998,725,988,953
SSUSC84_RS07520,572,692,698,675,707,883
SSUSC84_RS03435,9,18,8,9,18,13
SSUSC84_RS09595,166,161,147,127,127,112
SSUSC84_RS10110,4494,5610,5490,3137,4988,4207
SSUSC84_RS09755,17,17,9,4,9,12
SSUSC84_RS02300,1041,808,839,1152,939,1055
SSUSC84_RS09380,450,370,639,543,389,536
SSUSC84_RS00910,28077,32880,33434,26724,26310,29561
SSUSC84_RS02190,0,1,0,0,0,0
SSUSC84_RS04310,135,153,316,103,255,274
SSUSC84_RS03165,793,1046,706,603,674,613
SSUSC84_RS03140,455,449,335,298,467,485
SSUSC84_RS05660,0,0,0,0,0,0
SSUSC84_RS04160,28,35,48,19,35,64
SSUSC84_RS08700,1205,1121,1307,1309,1012,1464
SSUSC84_RS04605,117,60,52,71,54,47
SSUSC84_RS09150,7002,7763,7975,7087,6888,7338
SSUSC84_RS02135,0,0,0,0,0,0
SSUSC84_RS03535,29,9,34,17,5,17
SSUSC84_RS04670,9,2,5,1,4,0
SSUSC84_RS09325,1475,1441,1807,1509,1578,1944
SSUSC84_RS09500,791,1059,993,1009,907,988
SSUSC84_RS06075,2775,2766,2354,2983,1871,2270
SSUSC84_RS08170,3619,3972,5393,5422,3480,5757
SSUSC84_RS00075,9822,9812,10034,8796,7791,8316
SSUSC84_RS04885,26,33,82,15,30,27
SSUSC84_RS06885,323,279,220,126,298,192
SSUSC84_RS04030,113,113,119,125,79,126
SSUSC84_RS02750,2641,3245,4073,2676,2808,3423
SSUSC84_RS06465,1601,1615,2401,1264,1148,1686
SSUSC84_RS00285,12,11,10,3,10,9
SSUSC84_RS08930,326,585,250,199,432,287
SSUSC84_RS03060,42,42,52,45,42,52
SSUSC84_RS05215,0,0,0,0,0,0
SSUSC84_RS07200,9510,16057,5138,4707,6028,4622
SSUSC84_RS06835,3320,3840,3118,4291,3181,4471
SSUSC84_RS09015,64,55,100,73,84,79
SSUSC84_RS08680,2930,2061,1778,2172,1505,1546
SSUSC84_RS05330,6,2,14,5,8,11
SSUSC84_RS06475,5142,5798,6781,6605,5833,7442
SSUSC84_RS07710,2364,3723,3673,2899,3111,3807
SSUSC84_RS07175,1,0,1,1,0,1
SSUSC84_RS00895,26478,26862,25507,22563,25953,22078
SSUSC84_RS07040,437,665,153,219,431,325
SSUSC84_RS06420,1777,1906,2377,2173,1800,2562
SSUSC84_RS00795,1,0,0,0,0,1
SSUSC84_RS03945,2050,2244,2212,2339,1596,2220
SSUSC84_RS02820,2067,1974,1317,1837,1659,1520
SSUSC84_RS10540,1,1,1,3,0,1
SSUSC84_RS03500,1041,1971,1680,1005,2931,2205
SSUSC84_RS03460,20,13,33,21,14,10
SSUSC84_RS08180,3897,4073,4329,4854,3740,4634
SSUSC84_RS08325,1118,1230,1432,1158,1123,1351
SSUSC84_RS10075,30,27,34,47,50,66
SSUSC84_RS04430,0,1,1,0,0,0
SSUSC84_RS01585,292,356,648,409,355,483
SSUSC84_RS03255,2378,2880,1817,3191,1851,2376
SSUSC84_RS01255,4825,3944,4816,6564,3823,5169
SSUSC84_RS06890,0,1,2,0,2,3
SSUSC84_RS10130,628,691,988,860,669,973
SSUSC84_RS06025,2925,2719,3062,2862,2125,1844
SSUSC84_RS07975,6843,6858,6089,12712,9191,11628
SSUSC84_RS09265,4754,4629,6950,5501,5125,7535
SSUSC84_RS03975,105,163,143,69,165,54
SSUSC84_RS09550,2284,2254,1353,2248,1978,2087
SSUSC84_RS00380,1131,830,1238,1611,816,1363
SSUSC84_RS03265,171,264,136,203,247,280
SSUSC84_RS02520,2217,2350,2533,2399,2587,2913
SSUSC84_RS01525,111,119,176,132,177,134
SSUSC84_RS05260,10,4,0,2,4,2
SSUSC84_RS09635,91,142,159,89,132,179
SSUSC84_RS00590,0,0,0,0,0,0
SSUSC84_RS03970,365,440,652,481,740,760
SSUSC84_RS00120,0,0,0,0,0,0
SSUSC84_RS02735,1373,1172,2132,1562,1142,1159
SSUSC84_RS01980,7,6,4,4,9,5
SSUSC84_RS02220,1526,1673,1554,1756,1850,2234
SSUSC84_RS05715,2501,2819,2882,2714,2417,3010
SSUSC84_RS06425,74,72,63,54,112,94
SSUSC84_RS02390,181,222,54,82,137,93
SSUSC84_RS07665,220,332,128,119,253,150
SSUSC84_RS08580,1295,1370,926,1155,1217,1309
SSUSC84_RS03380,598,474,346,440,470,486
SSUSC84_RS07480,3,8,10,2,6,19
SSUSC84_RS00605,0,0,0,0,0,0
SSUSC84_RS05545,3844,4273,3298,2290,3382,2389
SSUSC84_RS05360,20,31,33,16,37,22
SSUSC84_RS07600,4233,4560,5056,4043,3800,4286
SSUSC84_RS10170,6366,7200,4910,4407,5706,5622
SSUSC84_RS05030,1154,1378,1404,1258,2444,2425
SSUSC84_RS06015,14,15,9,10,8,17
SSUSC84_RS08270,159,253,159,202,201,246
SSUSC84_RS01325,310,345,322,649,523,717
SSUSC84_RS03580,992,1149,1453,955,947,1255
SSUSC84_RS01840,770,704,650,831,545,726
SSUSC84_RS01270,284,305,640,522,435,700
SSUSC84_RS02090,391,381,324,274,271,360
SSUSC84_RS10640,0,2,0,1,0,0
SSUSC84_RS09320,34,61,30,35,47,45
SSUSC84_RS06010,1510,1856,2225,2377,1458,2801
SSUSC84_RS07605,851,973,1020,841,1033,1064
SSUSC84_RS08915,309,356,759,560,403,901
SSUSC84_RS03470,4,5,4,2,6,4
SSUSC84_RS00485,7680,6883,8401,7948,6923,6945
SSUSC84_RS06190,1315,1488,1384,2542,1114,2049
SSUSC84_RS01180,20,16,12,14,10,18
SSUSC84_RS01695,3725,6153,2017,1938,3628,2604
SSUSC84_RS06305,3127,2896,3149,4105,2522,3941
SSUSC84_RS06610,12,9,17,9,10,9
SSUSC84_RS01550,4854,4912,5074,7018,6982,6128
SSUSC84_RS10055,80,126,152,82,151,184
SSUSC84_RS01475,670,621,851,940,580,637
SSUSC84_RS05690,14,9,26,12,27,25
SSUSC84_RS00090,0,0,0,0,0,0
SSUSC84_RS09035,724,629,894,645,543,632
SSUSC84_RS00835,1565,1907,2163,1322,1767,2104
SSUSC84_RS02440,251,287,280,194,193,213
SSUSC84_RS09995,1050,1335,2048,746,1897,1706
SSUSC84_RS03405,464,433,480,745,420,644
SSUSC84_RS04115,79,100,68,97,85,72
SSUSC84_RS02305,1501,1581,1400,1511,1279,2020
SSUSC84_RS06295,206,313,222,163,238,271
SSUSC84_RS02810,9742,7875,12013,13146,6259,9463
SSUSC84_RS07945,58,64,82,92,87,85
SSUSC84_RS08245,449,396,320,416,520,496
SSUSC84_RS05250,226,173,190,355,193,165
SSUSC84_RS08040,778,699,708,759,532,776
SSUSC84_RS03565,253,303,551,391,251,407
SSUSC84_RS04990,0,3,3,1,2,8
SSUSC84_RS02100,941,1230,1314,777,1068,1052
SSUSC84_RS05645,105,126,173,352,230,400
SSUSC84_RS10660,180,166,225,276,235,275
SSUSC84_RS08420,15,24,21,16,23,16
SSUSC84_RS04575,2,9,5,3,7,8
SSUSC84_RS02720,1470,1926,1468,2352,1814,2064
SSUSC84_RS02105,63258,70249,106790,68852,67335,78455
SSUSC84_RS09665,2,0,2,1,2,4
SSUSC84_RS04995,0,0,0,0,0,0
SSUSC84_RS03505,22020,24514,26470,23005,23149,23092
SSUSC84_RS09970,18,22,20,15,33,46
SSUSC84_RS02265,215,147,491,171,121,114
SSUSC84_RS09505,85,80,83,84,91,136
SSUSC84_RS04065,3898,3758,3386,4395,3128,3645
SSUSC84_RS08520,355,353,501,506,378,605
SSUSC84_RS08940,1,1,0,4,0,6
SSUSC84_RS02405,746,715,843,757,680,899
SSUSC84_RS05020,0,4,3,1,3,6
SSUSC84_RS04220,732,845,858,907,883,1164
SSUSC84_RS06445,2839,2423,2948,2794,3020,3238
SSUSC84_RS10120,35,57,22,14,50,20
SSUSC84_RS04965,9,14,32,20,39,36
SSUSC84_RS03990,1368,2099,2007,1867,1314,2730
SSUSC84_RS01365,182,285,105,82,151,107
SSUSC84_RS08955,352,377,401,562,361,592
SSUSC84_RS01480,888,648,943,1321,671,683
SSUSC84_RS06355,42,55,51,43,35,57
SSUSC84_RS01950,11,29,17,32,17,28
SSUSC84_RS02715,4906,5019,4480,4622,4933,5247
SSUSC84_RS06380,136,168,286,196,228,209
SSUSC84_RS01215,97,103,116,208,163,293
SSUSC84_RS07750,0,0,0,0,0,0
SSUSC84_RS09385,191,167,405,245,178,278
SSUSC84_RS02825,1292,1090,681,1230,812,763
SSUSC84_RS03620,96297,91108,100865,76622,77940,71836
SSUSC84_RS01355,91,142,145,120,182,225
SSUSC84_RS04540,39,25,23,31,20,19
SSUSC84_RS06710,433,531,423,378,472,528
SSUSC84_RS07950,96,119,276,196,146,191
SSUSC84_RS07255,315,433,604,614,592,939
SSUSC84_RS06260,1847,1905,2253,2293,2037,2497
SSUSC84_RS04790,128,178,187,204,170,213
SSUSC84_RS09580,2211,2572,3208,1867,2515,2824
SSUSC84_RS05710,8971,8454,7804,11988,8263,7838
SSUSC84_RS03455,810,929,1029,695,1142,1004
SSUSC84_RS02955,1112,1269,1243,1275,1123,1421
SSUSC84_RS03225,985,966,1297,1220,1486,1428
SSUSC84_RS00945,124,135,154,157,126,176
SSUSC84_RS10395,7,7,1,10,3,4
SSUSC84_RS00155,0,0,0,0,0,0
SSUSC84_RS09605,446,433,900,361,524,396
SSUSC84_RS05670,27149,25941,27190,25515,27701,26632
SSUSC84_RS08760,2375,2129,2587,2990,2509,3027
SSUSC84_RS07820,567,596,1201,742,659,1203
SSUSC84_RS05115,3574,3895,4142,3991,3951,4606
SSUSC84_RS09935,26,36,29,42,47,57
SSUSC84_RS07375,256,304,272,251,226,267
SSUSC84_RS03685,11,23,5,5,17,14
SSUSC84_RS07740,2,1,1,0,0,0
SSUSC84_RS01055,22,26,26,16,15,25
SSUSC84_RS04610,180,308,140,140,290,266
SSUSC84_RS04475,1,0,0,0,1,1
SSUSC84_RS04505,1,1,0,3,2,4
SSUSC84_RS07515,425,437,485,521,535,700
SSUSC84_RS10190,697,751,1435,812,607,1041
SSUSC84_RS09400,1709,1802,1903,1691,1739,1968
SSUSC84_RS01750,1421,1928,2074,1100,2238,2509
SSUSC84_RS08965,30,36,40,34,57,48
SSUSC84_RS08885,8472,9660,9418,9535,9498,11225
SSUSC84_RS05730,3,2,1,8,8,10
SSUSC84_RS03115,2238,2401,2729,2253,2116,2600
SSUSC84_RS06500,1182,1356,3122,1348,1369,2420
SSUSC84_RS00340,3,1,0,0,1,0
SSUSC84_RS08980,3,6,6,2,5,1
SSUSC84_RS05565,827,642,494,515,464,350
SSUSC84_RS09465,2504,2494,2515,2424,1974,2725
SSUSC84_RS08785,2288,2107,1980,3112,2846,3319
SSUSC84_RS08810,1361,1561,1432,1648,1206,1918
SSUSC84_RS04395,0,0,0,1,1,0
SSUSC84_RS07500,308,346,477,409,378,655
SSUSC84_RS04555,36,30,31,75,33,37
SSUSC84_RS10615,1,0,0,0,1,0
SSUSC84_RS01330,130,177,159,199,242,290
SSUSC84_RS08765,3832,4271,4827,4200,4734,4913
SSUSC84_RS06655,1326,1419,2129,1713,2036,2386
SSUSC84_RS09680,1,3,1,0,1,4
SSUSC84_RS06005,2363,2909,2697,3165,2285,3179
SSUSC84_RS00060,1428,1347,1159,1289,1139,1114
SSUSC84_RS00755,4381,4585,4694,5174,4227,5950
SSUSC84_RS10600,0,0,0,0,0,0
SSUSC84_RS00540,5215,4593,4969,3862,5051,4512
SSUSC84_RS09620,352,509,382,329,385,375
SSUSC84_RS08820,3570,4044,3550,3305,4010,3646
