geneID,NSC2,NSC3,SC2,Nmts1,mts1,mts3
SSUSC84_RS05395,89,120,155,106,148,188
SSUSC84_RS07770,689,787,723,635,667,722
SSUSC84_RS09440,141,152,152,210,184,288
SSUSC84_RS01845,1100,1021,1176,1244,959,1254
SSUSC84_RS10035,959,1111,1059,1689,1469,1835
SSUSC84_RS05065,571,531,513,629,393,556
sRNA00023,750,1479,978,393,713,442
SSUSC84_RS04125,44,51,35,40,21,19
SSUSC84_RS05085,3008,2830,2495,3562,2281,2993
SSUSC84_RS05570,1499,1361,1039,1136,811,798
SSUSC84_RS00675,10,5,14,9,8,13
SSUSC84_RS02910,0,0,0,0,0,1
SSUSC84_RS07940,522,522,649,783,670,805
SSUSC84_RS08140,1967,1861,2074,2811,2019,2874
SSUSC84_RS00530,3339,3183,3330,2484,3437,2736
SSUSC84_RS10280,65,92,85,53,77,89
SSUSC84_RS08050,2342,2636,2731,2216,2207,2464
SSUSC84_RS00430,3230,4108,2214,1722,3184,2068
SSUSC84_RS07020,1100,1373,1554,845,1411,1628
SSUSC84_RS03760,1709,1737,1393,2124,1387,2081
SSUSC84_RS02900,2,4,2,4,6,3
SSUSC84_RS01210,1064,1306,1110,1212,1166,1282
SSUSC84_RS10525,0,0,0,0,0,2
SSUSC84_RS06450,185,127,229,133,102,122
SSUSC84_RS00860,225,241,323,270,276,399
SSUSC84_RS06455,543,643,719,463,500,624
SSUSC84_RS07090,9877,9525,8932,9099,8716,9242
SSUSC84_RS06785,1778,1607,2017,2084,1624,2244
SSUSC84_RS06020,1003,984,857,1056,666,857
SSUSC84_RS05520,7,15,6,8,9,10
SSUSC84_RS08205,1369,1499,1780,1857,1060,1658
SSUSC84_RS06435,75,100,105,83,122,121
SSUSC84_RS08375,3234,3824,3844,3367,5843,5368
SSUSC84_RS03190,689,876,771,662,505,776
SSUSC84_RS04935,211,221,220,270,221,288
SSUSC84_RS00775,61,87,112,90,143,194
SSUSC84_RS09560,439,523,378,355,456,460
SSUSC84_RS06805,3287,3082,4249,4027,3603,4726
SSUSC84_RS03035,79,55,217,180,167,198
SSUSC84_RS06050,1418,1371,895,1489,1031,1066
SSUSC84_RS02830,20194,17203,16311,28303,14580,19657
SSUSC84_RS00985,20,23,16,13,15,15
SSUSC84_RS08615,1410,1641,1640,1401,1476,1604
SSUSC84_RS10545,0,0,0,0,0,0
SSUSC84_RS05015,260,231,281,376,231,309
SSUSC84_RS04820,167,150,328,247,255,437
SSUSC84_RS01380,5310,7269,4413,4073,4811,3690
SSUSC84_RS00690,1,1,2,0,2,2
SSUSC84_RS05355,94,128,121,118,97,133
SSUSC84_RS00265,177,116,182,171,167,177
SSUSC84_RS06315,30,49,49,30,50,60
SSUSC84_RS07705,319,351,582,399,528,667
SSUSC84_RS06865,60,60,100,71,49,74
Novel00004,1162,1175,1024,1257,919,1283
SSUSC84_RS02840,14063,10732,3382,23600,10130,13704
SSUSC84_RS08870,1,6,2,2,5,5
SSUSC84_RS00820,3923,4532,4620,4404,3880,4870
SSUSC84_RS10485,23,39,9,8,23,10
SSUSC84_RS04100,11,19,11,8,8,18
SSUSC84_RS06215,398,399,542,416,335,443
SSUSC84_RS05845,43,28,33,24,62,52
SSUSC84_RS09640,16414,18107,18061,18984,16027,19001
SSUSC84_RS08350,52,51,70,38,41,66
SSUSC84_RS08460,1749,1403,430,153,196,148
SSUSC84_RS04345,26,11,19,13,9,7
SSUSC84_RS03960,3196,2848,2982,3409,2574,3375
SSUSC84_RS04300,2375,2452,2919,2587,2162,2238
SSUSC84_RS04470,0,0,0,0,0,0
SSUSC84_RS04545,34,35,40,113,22,39
SSUSC84_RS04730,9047,9384,9366,6506,7682,5831
SSUSC84_RS02945,2849,2195,2954,2851,1834,1911
SSUSC84_RS04000,4511,4780,4088,5466,3768,5161
SSUSC84_RS01200,1243,1623,1579,1263,1330,1860
SSUSC84_RS09495,247,348,349,262,297,411
SSUSC84_RS04025,60,95,60,197,147,265
SSUSC84_RS01930,509,672,448,521,441,479
SSUSC84_RS02160,0,0,0,0,0,0
SSUSC84_RS05515,1,10,11,4,5,9
SSUSC84_RS10580,19,24,13,11,16,30
