,sczA_Zn1,sczA_Zn2,sczA_Zn3,sczA_Zn4
CHF17_RS03350,32409,31544,37147,33936
CHF17_RS03355,4536,3841,4070,5042
CHF17_RS03360,6348,5153,5527,7366
CHF17_RS03365,3207,2427,3217,3193
CHF17_RS03370,5265,6873,6768,6486
CHF17_RS03375,5345,7768,7940,6858
CHF17_RS03380,7506,9736,10900,8679
CHF17_RS03385,17434,20234,21989,19618
CHF17_RS03390,3008,4163,3383,3110
CHF17_RS03395,35306,35793,36819,42652
CHF17_RS03400,8949,8671,9810,7855
CHF17_RS03405,1730,1834,1919,1680
CHF17_RS03410,3933,4316,3350,4060
CHF17_RS03415,2453,3148,2469,2479
CHF17_RS03420,10264,12479,10930,11124
CHF17_RS03425,38384,32354,36047,43634
CHF17_RS03430,9370,9279,9282,10629
CHF17_RS03435,4512,4599,4789,5157
CHF17_RS03440,2009,1769,2288,2041
CHF17_RS03445,3628,3220,4025,3795
CHF17_RS03450,2224,2130,2526,2573
CHF17_RS03455,4337,3877,4851,4848
CHF17_RS03460,4088,3790,4643,4400
CHF17_RS03465,1254,1211,1501,1329
CHF17_RS03470,10460,10573,10971,9136
CHF17_RS03475,7424,7363,8351,6724
CHF17_RS03480,17296,17084,19888,16726
CHF17_RS03485,2144,2268,1928,1912
CHF17_RS03490,5038,5583,4830,4393
CHF17_RS03495,3890,3536,4046,4099
CHF17_RS03500,2065,2966,1755,2265
CHF17_RS03505,1876,3399,1879,2352
CHF17_RS03510,13102,13331,12964,14171
CHF17_RS03515,4090,7474,5204,4339
CHF17_RS03520,20054,30908,26853,21276
CHF17_RS03525,44209,48196,50176,43594
CHF17_RS03530,1550,1974,1939,1830
CHF17_RS03535,1899,1885,2059,2230
CHF17_RS03540,3601,3696,4185,4268
CHF17_RS03545,233756,202987,219914,220609
CHF17_RS03550,5298,6545,5806,5780
CHF17_RS03555,5367,6309,7248,5650
CHF17_RS03560,2432,2724,3313,2559
CHF17_RS03565,7704,9684,10087,8363
CHF17_RS03570,5790,6242,5858,5775
CHF17_RS03575,653,742,589,592
CHF17_RS03580,850,902,768,819
CHF17_RS03585,446,604,444,414
CHF17_RS03590,72,52,71,59
CHF17_RS03595,34,32,40,36
CHF17_RS03600,131,118,166,114
CHF17_RS03605,15,11,23,25
CHF17_RS03610,14,18,15,15
CHF17_RS03615,66,58,63,71
CHF17_RS03620,16,13,17,20
CHF17_RS03625,16,12,19,20
CHF17_RS03630,150,142,204,175
CHF17_RS03635,169,126,213,165
CHF17_RS03640,19,16,14,17
CHF17_RS03645,95,64,106,78
CHF17_RS03650,115,92,139,111
CHF17_RS03655,70,77,66,69
CHF17_RS03660,3226,3091,2797,2879
CHF17_RS03665,492,472,656,627
CHF17_RS03670,171,147,248,220
CHF17_RS03675,62,51,70,70
CHF17_RS03680,23184,26986,20581,24404
CHF17_RS03685,51,76,67,80
CHF17_RS03690,77,90,106,104
CHF17_RS03695,13,17,18,18
CHF17_RS03700,200,180,214,240
CHF17_RS03705,47,81,72,56
CHF17_RS03710,382,557,459,370
CHF17_RS03715,82,151,111,80
CHF17_RS03720,428,401,312,439
CHF17_RS03725,675,637,646,662
CHF17_RS03730,728,631,673,747
CHF17_RS03735,221,213,246,257
CHF17_RS03740,418,395,451,404
CHF17_RS03745,595,576,679,583
CHF17_RS03750,28,39,31,39
CHF17_RS03755,50,34,63,60
CHF17_RS03760,38,50,65,54
CHF17_RS03765,217,170,315,255
CHF17_RS03770,17,14,27,27
CHF17_RS03775,354,278,479,469
CHF17_RS03780,77,80,128,113
CHF17_RS03785,127,136,187,184
CHF17_RS03790,141,104,186,191
CHF17_RS03795,512,613,1021,961
CHF17_RS03800,72,101,149,147
CHF17_RS03805,5,12,10,8
CHF17_RS03810,3,12,5,9
CHF17_RS03815,84,33,47,59
CHF17_RS03820,7159,8714,9376,7864
CHF17_RS03825,857,1192,979,715
CHF17_RS03830,5561,5522,5620,6029
CHF17_RS03835,630,634,625,678
CHF17_RS03840,24,33,34,21
CHF17_RS03845,11,13,14,13
CHF17_RS03850,48,44,58,61
CHF17_RS03855,17,17,32,26
CHF17_RS03860,9,10,11,7
CHF17_RS03865,17,15,21,16
CHF17_RS03870,2629,2999,3519,3153
CHF17_RS03875,377,542,546,462
CHF17_RS03880,3770,4316,4694,4319
CHF17_RS03885,272,266,261,239
CHF17_RS03890,348,333,361,319
CHF17_RS03895,83,63,87,87
CHF17_RS03900,103,77,116,92
CHF17_RS03905,2560,3721,3322,2684
CHF17_RS03910,552,736,716,595
CHF17_RS03915,2247,3038,2517,2077
CHF17_RS03920,2359,2931,2447,2084
CHF17_RS03925,457,536,514,364
CHF17_RS03930,757,724,704,934
CHF17_RS03935,5088,4562,5584,5962
CHF17_RS03940,500,541,594,653
CHF17_RS03945,931,1057,1264,1249
CHF17_RS03950,3415,4585,4135,4462
CHF17_RS03955,1060,999,1245,1265
CHF17_RS03960,1090,1063,1498,1427
CHF17_RS03965,859,820,1171,1232
CHF17_RS03970,797,747,1130,1150
CHF17_RS03975,2366,2278,3098,2997
CHF17_RS03980,356,421,445,405
CHF17_RS03985,139,120,175,173
CHF17_RS03990,39,37,50,61
CHF17_RS03995,21,30,35,39
CHF17_RS04000,2402,2266,2398,2202
CHF17_RS04005,2990,3380,3152,2994
CHF17_RS04010,36,47,37,24
CHF17_RS04015,24149,23273,25322,24628
CHF17_RS04020,1703,1971,1822,1987
CHF17_RS04025,1789,2019,1721,1755
CHF17_RS04030,1865,1955,1999,2048
CHF17_RS04035,452,773,480,519
CHF17_RS04040,1811,2716,1983,2137
CHF17_RS04045,1264,1956,1419,1555
CHF17_RS04050,318,443,408,460
CHF17_RS04055,1549,2084,1872,2272
CHF17_RS04060,3246,3701,3967,4893
CHF17_RS04065,3630,3805,4173,5313
CHF17_RS04070,8709,9607,9956,13848
CHF17_RS04075,2999,3305,3432,4980
CHF17_RS04080,7723,8713,10152,12653
CHF17_RS04085,6686,7422,6972,9248
CHF17_RS04090,4012,4555,4208,5516
CHF17_RS04095,102,93,108,128
CHF17_RS04100,163,135,194,211
CHF17_RS04105,701,643,938,991
CHF17_RS04110,623,628,831,974
CHF17_RS04115,139,148,178,167
CHF17_RS04120,93,106,127,103
CHF17_RS04125,13,16,29,16
CHF17_RS04130,54,78,110,95
CHF17_RS04135,75,83,107,99
CHF17_RS04140,365,385,419,364
CHF17_RS04145,675,696,855,733
CHF17_RS04150,672,672,853,681
CHF17_RS04155,182,205,247,222
CHF17_RS04160,373,431,527,422
CHF17_RS04165,13464,15692,15399,13934
CHF17_RS04170,6546,7718,7144,7442
CHF17_RS04175,2136,3164,2432,2192
CHF17_RS04180,264,1029,279,241
CHF17_RS04185,339,1078,361,301
CHF17_RS04190,699,672,640,722
CHF17_RS04195,3742,4125,4035,3740
CHF17_RS04200,703,864,1125,927
CHF17_RS04205,619,720,864,719
CHF17_RS04210,86,79,89,78
CHF17_RS04215,106,129,145,115
CHF17_RS04220,1051,1164,1420,1132
CHF17_RS04225,4913,4487,5624,5284
CHF17_RS04230,175,209,214,205
CHF17_RS04235,182,240,262,266
CHF17_RS04240,216,239,350,280
CHF17_RS04245,223,263,314,270
CHF17_RS04250,116,130,209,169
CHF17_RS04255,829,801,1072,890
CHF17_RS04260,14129,12662,13691,13700
CHF17_RS04265,12948,14795,14781,13990
CHF17_RS04270,6157,7855,8001,6991
CHF17_RS04275,17085,18933,20857,16201
CHF17_RS04280,32986,35021,37226,31196
CHF17_RS04285,53614,45183,61284,50368
CHF17_RS04290,358,424,358,368
CHF17_RS04295,4177,3753,4516,4205
CHF17_RS04300,5545,10515,5569,4676
CHF17_RS04305,14141,16044,15178,14070
CHF17_RS04310,11360,12899,12838,12032
CHF17_RS04315,13415,16998,16213,13926
CHF17_RS04320,9552,14377,12341,9948
CHF17_RS04325,8106,10158,9749,8053
CHF17_RS04330,25892,30652,29129,21263
CHF17_RS04335,15961,17705,18242,14600
CHF17_RS04340,7431,8241,8199,6649
CHF17_RS04345,1441,1488,1721,1747
CHF17_RS04350,17681,21450,22671,19456
CHF17_RS04355,1998,3787,2446,2753
CHF17_RS04360,3341,5630,4594,5052
CHF17_RS04365,4787,8354,10137,10787
CHF17_RS04370,1492,1726,1934,1767
CHF17_RS04375,25735,29229,27143,25646
CHF17_RS04380,25676,30156,26940,25064
CHF17_RS04385,1715,1909,2079,1959
CHF17_RS04390,580,563,622,438
CHF17_RS04395,14287,14848,18793,14636
CHF17_RS04400,2982,3272,3764,3197
CHF17_RS04405,6646,7511,7311,7086
CHF17_RS04410,6183,7018,6760,6430
CHF17_RS04415,9482,15546,13626,10376
CHF17_RS04420,12456,18110,17806,14059
CHF17_RS04425,8434,10996,10796,8968
CHF17_RS04430,16273,20839,19621,16701
CHF17_RS04435,21883,20313,23599,25083
CHF17_RS04440,2531,2628,2535,2801
CHF17_RS04445,7281,7995,7678,8267
CHF17_RS04450,1604,1751,1470,1793
CHF17_RS04455,1169,1520,1205,1327
CHF17_RS04460,14693,14384,15118,15961
CHF17_RS04465,1724,1645,2308,3353
CHF17_RS04470,973,1006,1604,2113
CHF17_RS04475,2628,2951,3988,4972
CHF17_RS04480,1281,1466,1569,1999
CHF17_RS04485,39488,49378,42152,39839
CHF17_RS04490,4650,3632,4065,4660
CHF17_RS04495,6918,7512,6757,7367
CHF17_RS04500,4352,5088,4855,4960
CHF17_RS04505,1315,1425,1500,1174
CHF17_RS04510,18451,18827,18710,18523
CHF17_RS04515,1106,1080,1200,1245
CHF17_RS04520,6072,5157,6253,6620
CHF17_RS04525,31361,27136,30759,29065
CHF17_RS04530,64613,60003,62395,59589
CHF17_RS04535,6797,8106,8402,8080
CHF17_RS04540,732576,686757,786320,744795
CHF17_RS04545,43982,49437,45297,45730
CHF17_RS04550,59491,58814,56581,57017
CHF17_RS04555,36298,38672,42799,30271
CHF17_RS04560,13067,13684,14341,10831
CHF17_RS04565,22105,23313,23218,24278
CHF17_RS04570,19186,24638,20470,17571
CHF17_RS04575,5389,5318,5073,4347
CHF17_RS04580,16584,16187,15743,20015
CHF17_RS04585,13730,15438,13859,14857
CHF17_RS04590,19725,17421,21086,18760
CHF17_RS04595,999,1262,1079,1167
CHF17_RS04600,2098,1974,1976,1420
CHF17_RS04605,2897,3008,2989,1976
CHF17_RS04610,4413,4469,4626,3392
CHF17_RS04615,123759,147988,131436,133230
CHF17_RS04620,1340,1827,1419,1489
CHF17_RS04625,3276,3850,3501,3463
CHF17_RS04630,8778,7979,8847,8567
CHF17_RS04635,1435,1258,1320,1307
CHF17_RS04640,624,605,685,596
CHF17_RS04645,1185,1055,1266,1038
CHF17_RS04650,4157,4492,4354,3709
CHF17_RS04655,5453,4529,6126,4639
CHF17_RS04660,795,787,809,728
CHF17_RS04665,8785,9520,9102,7927
CHF17_RS04670,30222,31545,30726,25466
CHF17_RS04675,1699,1419,1848,1669
CHF17_RS04680,668,686,862,871
CHF17_RS04685,1829,1774,1882,1896
CHF17_RS04690,2908,3016,3018,3177
CHF17_RS04695,1029,240,1260,383
CHF17_RS04700,5370,693,5334,1163
CHF17_RS04705,10302,3403,9843,3915
CHF17_RS04710,9736,8645,10621,10115
CHF17_RS04715,6347,7503,7490,5929
CHF17_RS04720,58,259,77,51
CHF17_RS04725,1540,1542,1549,1468
CHF17_RS04730,2370,2568,2361,2135
CHF17_RS04735,891,1202,1010,842
CHF17_RS04740,148,226,195,155
CHF17_RS04745,10813,9016,10565,8614
CHF17_RS04750,806,883,892,716
CHF17_RS04755,20577,19184,20389,19668
CHF17_RS04760,1669,1897,1802,1690
CHF17_RS04765,3451,3035,3675,3293
CHF17_RS04770,38115,31917,36708,40581
CHF17_RS04775,4959,5333,5826,6858
CHF17_RS04780,26270,32316,48355,48928
CHF17_RS04785,2907,3941,4630,5193
CHF17_RS04790,4570,4445,4468,5020
CHF17_RS04795,110,164,128,107
CHF17_RS04800,154,197,199,167
CHF17_RS04805,161,151,160,131
CHF17_RS04810,351,421,364,296
CHF17_RS04815,2190,1888,2259,1845
CHF17_RS04820,40499,38610,40282,34950
CHF17_RS04825,79774,83083,81511,67847
CHF17_RS04830,7013,5413,7055,6514
CHF17_RS04835,13259,10712,14029,15725
CHF17_RS04840,220791,220952,231483,211645
CHF17_RS04845,65662,60716,66031,60118
CHF17_RS04850,8844,8274,8408,8886
CHF17_RS04855,9444,12988,10252,8726
CHF17_RS04860,7880,6036,7257,8652
CHF17_RS04865,5598,5288,5569,5384
CHF17_RS04870,49274,52495,51129,47496
CHF17_RS04875,2299,2228,2348,2346
CHF17_RS04880,8288,8485,8518,9053
CHF17_RS04885,32713,35536,33078,35787
CHF17_RS04890,2621,3261,2597,2980
CHF17_RS04895,2083,2302,2091,2290
CHF17_RS04900,1150,1206,1102,1322
CHF17_RS04905,138,154,225,204
CHF17_RS04910,146,139,242,207
CHF17_RS04915,235,319,401,353
CHF17_RS04920,142,152,194,211
CHF17_RS04925,131,146,262,242
CHF17_RS04930,128,145,218,242
CHF17_RS04935,140,176,231,263
CHF17_RS04940,131,153,191,215
CHF17_RS04945,7283,8257,10353,9141
CHF17_RS04950,2030,2867,2586,2405
CHF17_RS04955,6104,10510,9557,8240
CHF17_RS04960,6880,8927,10598,9359
CHF17_RS04965,13273,15474,18902,16436
CHF17_RS04970,1775,2386,2221,2056
CHF17_RS04975,9405,6508,7715,10015
CHF17_RS04980,5653,7781,7035,7352
CHF17_RS04985,2760,3571,3957,3804
CHF17_RS04990,10876,11466,13364,12731
CHF17_RS04995,1909,2282,2353,2443
CHF17_RS05000,1598,1992,2173,2029
CHF17_RS05005,1500,1643,1988,1790
CHF17_RS05010,2256,2410,2829,2808
CHF17_RS05015,748,569,973,1368
CHF17_RS05020,48744,36925,52370,60031
CHF17_RS05025,30512,28345,33140,39327
CHF17_RS05030,30335,26497,35555,39298
CHF17_RS05035,63890,60254,90770,96339
CHF17_RS05040,49739,49099,74791,80938
CHF17_RS05045,82606,83832,126579,133218
CHF17_RS05050,33725,34108,46420,47723
CHF17_RS05055,2349,2697,3549,3643
CHF17_RS05060,16823,19101,19199,15486
CHF17_RS05065,3004,3125,3322,2660
CHF17_RS05070,5099,6334,6002,4955
CHF17_RS05075,7076,7631,8541,8793
CHF17_RS05080,3830,4262,4810,4851
CHF17_RS05085,17740,19754,24475,20575
CHF17_RS05090,762,1065,919,826
CHF17_RS05095,8380,8363,10743,9698
CHF17_RS05100,20989,18877,24209,20533
CHF17_RS05105,9174,8475,9583,8721
CHF17_RS05110,13946,13530,15662,13941
CHF17_RS05115,6744,8726,8732,7013
CHF17_RS05120,26118,25502,32920,23327
CHF17_RS05125,33365,33858,42745,32054
CHF17_RS05130,34058,34475,49150,34874
CHF17_RS05135,79822,76204,98990,78987
CHF17_RS05140,15729,15293,17636,15483
CHF17_RS05145,967,910,1001,998
CHF17_RS05150,1467,1657,1891,1728
CHF17_RS05155,14328,13140,14314,13529
CHF17_RS05160,18270,16296,20076,17444
CHF17_RS05165,7586,9117,8797,7931
CHF17_RS05170,11954,14166,13930,11695
CHF17_RS05175,23728,22107,25504,21922
CHF17_RS05180,1357,1557,1480,1352
CHF17_RS05185,504,613,510,477
CHF17_RS05190,6043,6009,6526,5038
CHF17_RS05195,4083,4188,4649,3372
CHF17_RS05200,5188,5151,5418,4757
CHF17_RS05205,7744,6937,7423,6875
CHF17_RS05210,8409,7406,10123,9092
CHF17_RS05215,2415,1915,2567,2404
CHF17_RS05220,510,465,461,498
CHF17_RS05225,1491,1396,1540,1539
CHF17_RS05230,370,415,413,379
CHF17_RS05235,9051,10930,10261,10703
CHF17_RS05240,33724,32478,34221,32331
CHF17_RS05245,2102,1926,2168,2035
CHF17_RS05250,3080,3179,3332,2956
CHF17_RS05255,2498,2632,2548,2327
CHF17_RS05260,3382,3708,3317,3046
CHF17_RS05265,2412,3071,3774,3246
CHF17_RS05270,4377,3793,4774,4660
CHF17_RS05275,1838,2966,1942,2220
CHF17_RS05280,263700,235928,224583,308651
CHF17_RS05285,6433,6625,6993,7560
CHF17_RS05290,23029,30674,24676,26660
CHF17_RS05295,20214,27165,20291,22708
CHF17_RS05300,10386,14742,10891,11730
CHF17_RS05305,10103,9425,11613,10893
CHF17_RS05310,49450,52599,58871,55925
CHF17_RS05315,175957,191337,198705,178798
CHF17_RS05320,11714,12581,10706,11440
CHF17_RS05325,3311,3631,3093,3147
CHF17_RS05330,31219,27705,28562,26655
CHF17_RS05335,555,802,596,705
CHF17_RS05340,7007,6070,6958,7257
CHF17_RS05345,11541,10918,11311,11251
CHF17_RS05350,18107,17617,16889,17077
CHF17_RS05355,23450,18949,21768,25899
CHF17_RS05360,4593,7881,5328,5281
CHF17_RS05365,2238,2077,2372,2342
CHF17_RS05370,2982,3694,3594,3301
CHF17_RS05375,29000,32129,34112,34294
CHF17_RS05380,13956,18653,17497,16151
CHF17_RS05385,16738,18437,18496,18215
CHF17_RS05390,18380,21298,18952,20421
CHF17_RS05395,45953,39722,47369,41167
CHF17_RS05400,80216,65419,79429,78446
CHF17_RS05405,25513,30701,29847,25946
CHF17_RS05410,16512,18881,18377,17853
CHF17_RS05415,9317,10224,9927,9329
CHF17_RS05420,14824,16940,15008,14831
CHF17_RS05425,9998,10676,10171,9022
CHF17_RS05430,47653,50246,55857,52407
CHF17_RS05435,1993,2305,2423,2008
CHF17_RS05440,23131,22846,24875,23154
CHF17_RS05445,5391,5782,5913,5069
CHF17_RS05450,8712,8771,9818,8934
CHF17_RS05455,15281,17800,18745,16978
CHF17_RS05460,845,1003,1102,902
CHF17_RS05465,1195,1369,1229,1073
CHF17_RS05470,6477,6858,6429,6020
CHF17_RS05475,3229,3186,3231,3285
CHF17_RS05480,6914,8044,7259,6653
CHF17_RS05485,2740,8646,3066,3103
CHF17_RS05490,1910,2201,2161,2009
CHF17_RS05495,1748,1656,1763,1793
CHF17_RS05500,1665,1610,1600,1739
CHF17_RS05505,30334,28083,30729,29434
CHF17_RS05510,5306,5282,5555,5071
CHF17_RS05515,26135,29352,29758,26651
CHF17_RS05520,9088,10113,9692,8940
CHF17_RS05525,94332,84664,99815,86868
CHF17_RS05530,11359,10633,12791,11074
CHF17_RS05535,13594,12328,15868,13011
CHF17_RS05540,12859,11849,16437,13928
CHF17_RS05545,10979,9910,13404,12179
CHF17_RS05550,10081,9193,12143,10877
CHF17_RS05555,8039,7009,8679,7614
CHF17_RS05560,3317,3952,3763,3423
CHF17_RS05565,10015,10124,9752,9335
CHF17_RS05570,3366,3922,3745,3315
CHF17_RS05575,11554,10789,13081,10626
CHF17_RS05580,9288,9927,10915,7762
CHF17_RS05585,7401,8083,8580,6510
CHF17_RS05590,5294,6423,5370,5011
CHF17_RS05595,13438,20613,14381,11824
CHF17_RS05600,5156,9782,5498,4315
CHF17_RS05605,17474,16950,15575,19377
CHF17_RS05610,8354,8726,10242,8834
CHF17_RS05615,1595,1983,2037,1870
CHF17_RS05620,21517,21358,25160,19499
CHF17_RS05625,141,147,180,149
CHF17_RS05630,23155,14311,20437,20092
CHF17_RS05635,16012,9814,14200,13129
CHF17_RS05640,21332,13173,18538,16695
CHF17_RS05645,16072,9536,14770,14014
CHF17_RS05650,3293,3445,3325,3357
CHF17_RS05655,6962,7031,6940,6433
CHF17_RS05660,6375,7234,7152,6388
CHF17_RS05665,643,577,634,672
CHF17_RS05670,3727,3518,4154,3947
CHF17_RS05675,1880,1977,1959,1898
CHF17_RS05680,4700,6246,5133,4669
CHF17_RS05685,822,804,764,607
CHF17_RS05690,1197,1010,1108,952
CHF17_RS05695,307,353,258,223
CHF17_RS05700,1727,1462,1656,1206
CHF17_RS05705,2474,2148,2560,2017
CHF17_RS05710,866,753,829,627
CHF17_RS05715,1534,1247,1596,1291
CHF17_RS05720,2849,2503,3032,2648
CHF17_RS05725,2980,2900,3161,3145
CHF17_RS05730,4655,4352,5434,5194
CHF17_RS05735,5886,6323,7109,6272
CHF17_RS05740,12786,12786,19516,19699
CHF17_RS05745,4153,3302,5118,4627
CHF17_RS05750,647,561,775,657
CHF17_RS05755,1638,1422,1954,1746
CHF17_RS05760,7204,6540,9032,7487
CHF17_RS05765,1216,954,1356,1160
CHF17_RS05770,1058,693,1196,1057
CHF17_RS05775,2224,2118,3130,3250
CHF17_RS05780,666,558,921,996
CHF17_RS05785,652,571,848,897
CHF17_RS05790,3886,4167,4355,5180
CHF17_RS05795,1331,1497,1492,1788
CHF17_RS05800,1456,1570,1958,2066
CHF17_RS05805,22106,23179,26510,22863
CHF17_RS05810,20203,23696,24497,20453
CHF17_RS05815,9143,7686,8350,8396
CHF17_RS05820,1724,2045,1874,1990
CHF17_RS05825,200,207,208,217
CHF17_RS05830,14063,14501,14740,14406
CHF17_RS05835,18409,21001,25041,23033
CHF17_RS05840,6486,6709,10009,9223
CHF17_RS05845,6479,6554,10437,9657
CHF17_RS05850,7438,6706,10227,10094
CHF17_RS05855,2508,2393,3501,3143
CHF17_RS05860,11363,10811,15623,13584
CHF17_RS05865,11309,10804,15747,12467
CHF17_RS05870,8917,6926,11441,9210
CHF17_RS05875,1784,1297,1977,1508
CHF17_RS05880,2416,2092,2704,2189
CHF17_RS05885,7949,6234,6993,7552
CHF17_RS05890,27534,28098,27253,27174
CHF17_RS05895,2364,2376,2308,2174
CHF17_RS05900,19421,19206,22218,20314
CHF17_RS05905,12871,12501,14768,13244
CHF17_RS05910,6236,6155,7318,7052
CHF17_RS05915,14757,15043,19172,17564
CHF17_RS05920,12125,14104,17688,16196
CHF17_RS05925,3646,4533,5479,5087
CHF17_RS05930,4953,6795,7561,6524
CHF17_RS05935,6065,9752,8764,7630
CHF17_RS05940,4905,7497,5394,4732
CHF17_RS05945,235,248,266,255
CHF17_RS05950,1355,1366,1466,1835
CHF17_RS05955,1025,1136,1156,1335
CHF17_RS05960,1900,2129,2036,2492
CHF17_RS05965,953,842,804,1094
CHF17_RS05970,6927,6907,6707,7273
CHF17_RS05975,2197,2486,2160,2140
CHF17_RS05980,34603,30315,28736,28562
CHF17_RS05985,2784,2487,2566,2879
CHF17_RS05990,4339,4799,5138,3387
CHF17_RS05995,48275,54903,51718,51875
CHF17_RS06000,1419,1690,1650,1334
CHF17_RS06005,27176,26584,29644,25934
CHF17_RS06010,7005,7295,8510,6858
CHF17_RS06015,6371,6032,7856,6638
CHF17_RS06020,5840,5495,6401,6317
CHF17_RS06025,2551,1917,2629,2682
CHF17_RS06030,12765,14280,14740,14069
CHF17_RS06035,21349,24395,24670,21085
CHF17_RS06040,9579,10455,11112,9540
CHF17_RS06045,4263,3722,4238,3601
CHF17_RS06050,1930,1909,1959,1527
CHF17_RS06055,9941,8552,10053,10001
CHF17_RS06060,4060,4359,4830,3181
CHF17_RS06065,5628,5921,6196,4754
CHF17_RS06070,4271,5395,4635,4038
CHF17_RS06075,8,1,10,1
CHF17_RS06080,1606,1595,1507,1552
CHF17_RS06085,6274,6700,6176,6339
CHF17_RS06090,11086,9756,10894,11033
CHF17_RS06095,8844,7511,8546,8558
CHF17_RS06100,10712,9376,10785,10597
CHF17_RS06105,10702,9448,11004,10669
CHF17_RS06110,4841,4610,4850,5540
CHF17_RS06115,4270,4774,4904,4772
CHF17_RS06120,3927,4212,4646,4370
CHF17_RS06125,7236,7253,8800,8109
CHF17_RS06130,4586,4451,5739,5113
CHF17_RS06135,10217,10432,13796,12307
CHF17_RS06140,6680,6312,8312,7924
CHF17_RS06145,5016,5113,6508,6750
CHF17_RS06150,3695,3897,5352,5706
CHF17_RS06155,5718,8144,6260,6148
CHF17_RS06160,36516,43417,40214,38668
CHF17_RS06165,13190,15351,15732,12225
CHF17_RS06170,3582,4676,4300,3984
CHF17_RS06175,6079,7324,5702,6593
CHF17_RS06180,2395,2085,2241,1988
CHF17_RS06185,213,321,254,207
CHF17_RS06190,1462,1777,1594,1331
CHF17_RS06195,11393,9585,10585,7740
CHF17_RS06200,3913,3874,3548,3613
CHF17_RS06205,7632,6631,7442,7097
CHF17_RS06210,12582,11611,12723,12410
CHF17_RS06215,12970,24085,17406,12066
CHF17_RS06220,4419,9515,6167,4042
CHF17_RS06225,8070,18396,11755,7310
CHF17_RS06230,2422,6285,3459,2131
CHF17_RS06235,5322,15192,7514,4679
CHF17_RS06240,1977,6117,3282,1985
CHF17_RS06245,2474,8982,4028,2369
CHF17_RS06250,23121,21425,23516,20413
CHF17_RS06255,741,608,618,662
CHF17_RS06260,4092,3688,3488,5554
CHF17_RS06265,3093,3600,4498,4250
CHF17_RS06270,9148,10000,10752,8878
CHF17_RS06275,3936,4745,4671,3791
CHF17_RS06280,8372,10523,10016,8126
CHF17_RS06285,12648,16681,14069,13353
CHF17_RS06290,554,1184,650,665
CHF17_RS06295,231351,187012,208426,228035
CHF17_RS06300,1993,2028,2059,2436
CHF17_RS06305,322,476,368,398
CHF17_RS06310,2833,2309,2644,2777
CHF17_RS06315,33660,29642,32386,33318
CHF17_RS06320,18250,15346,20944,17884
CHF17_RS06325,9540,7398,10746,9438
CHF17_RS06330,5047,5468,5398,5850
CHF17_RS06335,6106,8479,6904,6643
CHF17_RS06340,23703,21254,23078,24665
CHF17_RS06345,34988,35047,36065,38046
CHF17_RS06350,18875,17972,19159,18701
CHF17_RS06355,31451,29735,35099,31308
CHF17_RS06360,24508,25447,27703,24408
CHF17_RS06365,39762,35215,40388,38273
CHF17_RS06370,31598,29295,31752,30111
CHF17_RS06375,28162,26593,26160,24646
CHF17_RS06380,30504,28526,31080,29818
CHF17_RS06385,33071,28973,30693,29373
CHF17_RS06390,8602,9122,8531,8430
CHF17_RS06395,13524,12409,12963,12839
CHF17_RS06400,43526,41626,41502,38383
CHF17_RS06405,24846,25230,24456,23271
CHF17_RS06410,30002,28739,28276,26417
CHF17_RS06415,17163,18393,15099,14654
CHF17_RS06420,52166,50026,51642,48021
CHF17_RS06425,3411,3187,3803,3798
CHF17_RS06430,2869,2607,3606,3506
CHF17_RS06435,20460,19977,23764,23770
CHF17_RS06440,13949,13819,17772,17164
CHF17_RS06445,17767,20746,25593,23349
CHF17_RS06450,6503,8206,11618,11259
CHF17_RS06455,3235,4368,5816,5770
CHF17_RS06460,6212,9098,11249,11559
CHF17_RS06465,2235,3269,3734,3546
CHF17_RS06470,16517,18394,19402,18102
CHF17_RS06475,6695,7811,7922,6336
CHF17_RS06480,34000,35011,38325,29707
CHF17_RS06485,1512,1752,1421,1400
CHF17_RS06490,1641,1759,1582,1494
CHF17_RS06495,1433,1551,1540,1327
CHF17_RS06500,5044,4983,6139,5052
CHF17_RS06505,46135,53860,65767,53609
CHF17_RS06510,80638,103756,126375,91904
CHF17_RS06515,8672,10693,11965,11349
CHF17_RS06520,9235,11125,11304,10551
CHF17_RS06525,2716,3508,3498,2982
CHF17_RS06530,2662,3495,3487,3037
CHF17_RS06535,6369,9277,8944,7416
CHF17_RS06540,13084,17089,23534,26477
CHF17_RS06545,3060,4723,8517,10498
CHF17_RS06550,8395,9889,14373,17500
CHF17_RS06555,3335,3865,4633,5335
CHF17_RS06560,4481,4709,5266,5224
CHF17_RS06565,4164,3797,4187,4539
CHF17_RS06570,5575,8397,5760,5498
CHF17_RS06575,9368,12347,9768,9079
CHF17_RS06580,2942,4336,3405,3078
CHF17_RS06585,20,40,28,24
CHF17_RS06590,20653,22786,26402,21846
CHF17_RS06595,10270,10444,12790,11133
CHF17_RS06600,10103,10933,12830,10728
CHF17_RS06605,7607,8430,8875,6915
CHF17_RS06610,12820,14863,15049,11605
CHF17_RS06615,1975,2622,2098,1898
CHF17_RS06620,4130,5366,4235,5331
CHF17_RS06625,5403,9353,6369,6596
CHF17_RS06630,1380,1727,1860,1710
CHF17_RS06635,7047,8470,10090,10232
CHF17_RS06640,5568,8120,9858,9669
CHF17_RS06645,15305,22446,28182,27132
