,sczA_Zn1,sczA_Zn2,sczA_Zn3,sczA_Zn4
CHF17_RS00790,184,246,236,199
CHF17_RS00795,143,160,159,138
CHF17_RS00800,431,406,558,459
CHF17_RS00805,474,506,540,472
CHF17_RS00810,103,138,139,109
CHF17_RS00815,121,148,177,142
CHF17_RS00820,68,77,100,101
CHF17_RS00825,120,129,158,130
CHF17_RS00830,291,336,402,381
CHF17_RS00835,269,292,392,352
CHF17_RS00840,69,85,102,90
CHF17_RS00845,162,166,220,161
CHF17_RS00850,148,140,189,148
CHF17_RS00855,129,161,158,129
CHF17_RS00860,143,147,180,118
CHF17_RS00865,200,254,238,209
CHF17_RS00870,121,133,141,110
CHF17_RS00875,688,877,719,682
CHF17_RS00880,107,164,109,122
CHF17_RS00885,3669,6722,3866,4268
CHF17_RS00890,1485,3318,1650,1876
CHF17_RS00895,238,274,272,238
CHF17_RS00900,204,215,277,250
CHF17_RS00905,777,783,1111,1012
CHF17_RS00910,44,59,60,67
CHF17_RS00915,53,52,62,63
CHF17_RS00920,393,476,635,715
CHF17_RS00925,100,158,182,236
CHF17_RS00930,338,401,612,759
CHF17_RS00935,116,100,143,187
CHF17_RS00940,46,56,88,113
CHF17_RS00945,81,116,149,191
CHF17_RS00950,81,120,131,192
CHF17_RS00955,119,183,172,244
CHF17_RS00960,26,32,47,94
CHF17_RS00965,282,389,485,1277
CHF17_RS00970,132,220,214,498
CHF17_RS00975,383,523,662,1499
CHF17_RS00980,246,342,499,874
CHF17_RS00985,51,80,77,150
CHF17_RS00990,45,60,66,117
CHF17_RS00995,53,73,72,110
CHF17_RS01000,80,117,116,172
CHF17_RS01005,419,532,582,716
CHF17_RS01010,15009,14944,11970,14440
CHF17_RS01015,197,457,264,271
CHF17_RS01020,2148,2880,2680,2373
CHF17_RS01025,6653,8569,7908,6326
CHF17_RS01030,6420,7545,7858,6235
CHF17_RS01035,9466,16945,14126,11942
CHF17_RS01040,6366,11484,10256,8195
CHF17_RS01045,36959,57606,63743,39701
CHF17_RS01050,4200,6678,7173,5116
CHF17_RS01055,2110,2312,2737,2494
CHF17_RS01060,3781,3703,4834,5085
CHF17_RS01065,3047,3252,4655,4309
CHF17_RS01070,761,1069,1094,1166
CHF17_RS01075,2089,2338,2852,2852
CHF17_RS01080,4097,3596,4410,4487
CHF17_RS01085,83319,84635,72627,81486
CHF17_RS01090,19709,16755,19002,20127
CHF17_RS01095,15408,16848,19259,15379
CHF17_RS01100,12679,12357,12749,14368
CHF17_RS01105,888,1215,973,1078
CHF17_RS01110,2965,4113,3275,3701
CHF17_RS01115,12274,16406,13474,12137
CHF17_RS01120,8900,7555,8134,7998
CHF17_RS01125,19297,21656,21074,17772
CHF17_RS01130,1129,1407,1971,1827
CHF17_RS01135,16814,19113,17658,17609
CHF17_RS01140,958,1263,1113,1117
CHF17_RS01145,380,468,507,443
CHF17_RS01150,490,597,758,626
CHF17_RS01155,146,149,175,157
CHF17_RS01160,235,241,293,298
CHF17_RS01165,221,301,295,268
CHF17_RS01170,10,16,16,9
CHF17_RS01175,206,1770,301,272
CHF17_RS01180,138,614,200,136
CHF17_RS01185,2835,3452,2843,2503
CHF17_RS01190,7389,8818,7456,6887
CHF17_RS01195,448,464,586,496
CHF17_RS01200,492,507,621,492
CHF17_RS01205,74798,76910,71365,76975
CHF17_RS01210,25040,28816,26409,22464
CHF17_RS01215,2732,2623,2415,3547
CHF17_RS01220,6614,7290,7013,7166
CHF17_RS01225,67480,75727,71291,60107
CHF17_RS01230,23653,24487,21735,25490
CHF17_RS01235,1747,2345,1592,2072
CHF17_RS01240,665,1377,594,766
CHF17_RS01245,24156,26198,23656,23864
CHF17_RS01250,47676,48828,49113,47305
CHF17_RS01255,8555,10539,8715,7589
CHF17_RS01260,10998,12396,11584,11964
CHF17_RS01265,10259,10787,10572,11558
CHF17_RS01270,40405,41770,40173,44219
CHF17_RS01275,3924,4166,4587,3312
CHF17_RS01280,7591,8540,10576,7636
CHF17_RS01285,9044,9931,13750,9857
CHF17_RS01290,3902,3910,5959,4256
CHF17_RS01295,18370,18414,25529,19600
CHF17_RS01300,5975,6740,5988,6624
CHF17_RS01305,5156,7497,5420,5135
CHF17_RS01310,52419,91502,64409,59530
CHF17_RS01315,14513,24064,18750,18502
CHF17_RS01320,17264,23637,22874,21441
CHF17_RS01325,16746,23726,21186,19266
CHF17_RS01330,23465,30958,29131,27086
CHF17_RS01335,2037,1339,3360,1491
CHF17_RS01340,7,9,21,1
CHF17_RS01345,717,301,1370,200
CHF17_RS01350,6,4,20,1
CHF17_RS01355,2,2,2,2
CHF17_RS01360,2936,3869,3293,3105
CHF17_RS01365,5989,6897,6884,6117
CHF17_RS01370,6638,8243,7687,6892
CHF17_RS01375,9402,9973,10379,9968
CHF17_RS01380,729,1341,894,753
CHF17_RS01385,31725,33421,32047,30044
CHF17_RS01390,26483,37758,38004,33752
CHF17_RS01395,57151,80807,108064,135177
CHF17_RS01400,80782,112392,152781,166518
CHF17_RS01405,1936,1913,2282,1658
CHF17_RS01410,4201,3719,4586,2583
CHF17_RS01415,1547,1750,1889,1139
CHF17_RS01420,443,378,554,360
CHF17_RS01425,160,149,223,195
CHF17_RS01430,164,150,194,163
CHF17_RS01435,8782,7090,8013,8186
CHF17_RS01440,30205,26817,29616,29559
CHF17_RS01445,314,461,325,335
CHF17_RS01450,296,401,297,326
CHF17_RS01455,2327,2484,2319,2195
CHF17_RS01460,10363,9020,9705,10496
CHF17_RS01465,10215,12106,13104,11442
CHF17_RS01470,9509,11759,13279,11453
CHF17_RS01475,766,835,1037,917
CHF17_RS01480,473,465,516,456
CHF17_RS01485,2304,2235,2382,2065
CHF17_RS01490,10275,9905,10477,9205
CHF17_RS01495,3887,3265,4191,3931
CHF17_RS01500,281,289,322,341
CHF17_RS01505,1022,1043,1168,934
CHF17_RS01510,4880,5053,5849,4292
CHF17_RS01515,2246,2261,2636,2116
CHF17_RS01520,114,139,147,128
CHF17_RS01525,127,156,184,163
CHF17_RS01530,7,9,5,7
CHF17_RS01535,4965,3944,5144,5428
CHF17_RS01540,804,841,1180,1349
CHF17_RS01545,397,513,808,969
CHF17_RS01550,391,582,893,1052
CHF17_RS01555,410,536,855,975
CHF17_RS01560,398,481,501,448
