gene_name,A909_CDM.1,A909_CDM.2,A909_CDM.3,A909.1,A909.2,A909.3,dsaeR_CDM.1,dsaeR_CDM.2,dsaeR_CDM.3,dsaeR_THY.1,dsaeR_THY.2,dsaeR.1,dsaeR.2,dsaeR.3
SAK_RS07710,94,168,118,3,5,0,541,50,51,74,85,8,36,5
SAK_RS00775,9207,9295,7453,69,67,4,11057,2698,2734,3561,4092,117,203,72
SAK_RS07715,2470,1900,1387,10,27,2,385,419,397,474,409,10,35,5
SAK_RS07720,652,978,844,104,41,2,1111,613,529,1142,1166,61,78,82
SAK_RS07725,364,341,261,2,3,0,165,61,79,99,140,2,12,2
SAK_RS07730,791,759,632,13,6,1,633,294,291,442,443,13,22,3
SAK_RS07735,2200,2468,2661,20,18,0,3166,615,531,995,887,37,71,35
SAK_RS07740,3762,3957,3591,67,34,7,4835,1071,1003,1457,1501,114,176,66
pyrH,4547,4209,3976,70,52,2,4851,1351,1378,1611,1954,95,162,45
SAK_RS07750,24,24,13,13,12,2,36,13,3,13,6,55,45,23
SAK_RS07755,34,29,31,30,9,1,43,29,24,17,27,37,50,21
SAK_RS07760,22,13,9,13,10,0,20,3,1,5,13,42,62,14
SAK_RS00780,2047,2070,1664,2,9,0,1840,649,694,384,342,9,16,7
SAK_RS07765,13,18,15,14,17,2,25,8,9,9,10,57,61,10
SAK_RS07770,36,29,17,38,14,1,78,20,16,11,20,47,82,27
SAK_RS07775,22281,19589,16213,158,258,177,14988,5728,5162,5174,4325,230,795,198
SAK_RS07780,15187,12412,10601,125,160,226,12063,3708,3309,3332,3030,174,467,133
SAK_RS07785,0,1,1,0,0,0,0,0,0,0,1,0,0,0
SAK_RS07790,1134,1262,544,5,10,0,861,328,314,224,201,14,28,5
SAK_RS07795,845,832,380,7,4,0,845,360,296,176,233,8,19,7
SAK_RS07800,444,541,340,6,3,0,3615,366,334,177,218,10,34,7
SAK_RS07805,25,310,47,0,3,0,41,10,7,4,0,0,3,0
SAK_RS07810,96,80,61,5,4,0,130,45,57,57,50,5,16,5
SAK_RS00785,106,173,123,0,2,3,162,74,87,53,30,6,3,1
SAK_RS07815,218,253,156,17,9,5,366,101,116,118,107,17,31,9
SAK_RS07820,600,650,557,13,11,0,1043,247,241,276,266,24,34,8
SAK_RS07825,2939,2681,2598,47,47,15,3048,943,937,1230,1314,47,146,48
SAK_RS07830,1824,1189,845,18,20,0,986,438,387,407,285,6,32,12
SAK_RS07835,398,145,90,92,203,10,180,119,171,336,333,172,780,160
SAK_RS07840,450,173,161,299,206,6,883,334,400,817,932,279,846,195
SAK_RS07845,1212,865,584,510,651,19,3856,1054,931,1587,1368,778,2462,635
SAK_RS07850,889,777,541,13,20,0,844,281,279,327,268,10,25,14
SAK_RS07855,1460,1262,1056,21,14,1,2172,700,761,687,801,47,55,17
SAK_RS07860,419,338,321,5,2,0,909,257,258,233,258,9,13,14
SAK_RS00790,846,928,738,4,10,0,291,187,212,108,99,2,12,0
SAK_RS07865,1263,1140,932,21,18,2,2322,674,583,439,548,35,39,25
glmU,2431,2168,1707,25,16,1,5086,1399,1450,1063,1199,70,81,33
SAK_RS07875,155,160,132,3,1,0,532,137,118,100,145,4,14,2
SAK_RS07880,98,93,83,0,0,1,201,52,43,46,42,0,3,0
SAK_RS07885,1222,1098,1208,18,20,6,813,382,362,1055,975,26,51,21
SAK_RS07890,207,189,169,1,3,1,135,53,52,139,107,4,8,2
SAK_RS07895,317,235,352,11,9,0,344,146,153,377,450,8,21,6
fabG,795,671,594,21,15,51,721,183,246,576,624,33,43,13
SAK_RS07905,355,376,330,5,6,14,802,225,238,532,521,3,16,3
SAK_RS07910,375,323,297,2,1,0,827,166,167,335,240,6,13,4
SAK_RS00795,2190,2033,2011,17,19,0,1685,740,646,1120,1173,18,49,10
SAK_RS07915,448,482,379,10,4,0,1076,273,252,457,504,5,12,3
SAK_RS07920,96,101,75,2,2,0,98,56,42,25,18,3,4,2
SAK_RS07925,145,144,111,1,5,0,304,75,54,42,47,11,12,2
SAK_RS07930,52,64,43,0,0,0,89,24,27,13,9,0,4,1
SAK_RS07935,25,21,14,0,0,1,14,6,4,1,2,0,0,1
SAK_RS07940,8,30,11,0,1,0,26,5,3,0,1,3,1,0
SAK_RS07945,6882,10460,8684,2,37,1,3755,2974,3022,277,304,37,68,26
SAK_RS07950,7907,7047,5603,88,76,10,7926,2586,2366,2711,2634,118,278,79
SAK_RS07955,287,403,397,18,10,0,503,116,150,173,277,11,22,7
SAK_RS07960,149,220,156,1,4,0,66,26,46,32,20,10,14,0
SAK_RS00800,3236,2386,1485,7,7,0,297,676,624,504,412,9,18,2
SAK_RS07965,376,719,570,2,8,1,1467,262,208,193,157,18,24,6
SAK_RS07970,734,1067,834,8,12,0,4807,647,574,415,460,29,36,13
SAK_RS07975,2256,2259,1860,31,21,3,4180,860,810,806,846,30,70,24
SAK_RS07980,200,281,244,0,8,0,189,75,61,91,62,2,12,2
SAK_RS07985,336,447,365,11,2,0,396,160,144,167,155,8,3,1
SAK_RS07990,2360,2306,1053,25,23,0,3656,1316,1281,297,243,73,161,34
SAK_RS07995,969,988,441,10,13,0,2415,650,584,125,133,30,59,17
SAK_RS08000,1602,1612,683,12,21,2,2352,496,497,110,83,39,84,26
SAK_RS08005,249,308,215,8,7,0,228,50,77,126,126,3,17,7
SAK_RS08010,2231,1792,1721,31,17,1,2151,628,634,945,842,33,76,18
SAK_RS00085,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAK_RS00805,3237,2794,2282,100,53,1,3371,999,944,2449,2594,47,124,93
SAK_RS08015,659,535,430,1,8,0,396,121,96,121,105,9,20,7
SAK_RS08020,1846,1301,1235,18,30,1,1458,466,534,652,565,30,60,19
SAK_RS08025,1821,1428,993,25,17,0,998,514,648,560,384,20,34,13
SAK_RS08030,2,2,2,0,0,0,6,0,1,0,0,0,0,0
SAK_RS08035,8452,10153,18566,9,30,1,52681,15701,13853,97,83,87,157,85
SAK_RS08040,7517,8859,15974,2,32,0,61146,18519,17018,88,108,85,103,81
SAK_RS08045,8610,11891,18508,6,38,3,63209,20740,18880,121,113,95,116,72
SAK_RS08050,10101,14926,21080,2,34,6,44939,17291,16629,76,84,92,137,78
SAK_RS08055,12409,15709,21259,3,36,5,67027,19109,18710,80,118,99,131,108
SAK_RS08060,29267,34165,36400,15,77,9,121093,32872,31577,242,278,222,283,156
SAK_RS00810,67,82,53,7,2,0,247,39,35,40,36,4,15,2
SAK_RS08065,240,309,183,0,5,1,22,10,53,15,6,2,2,3
SAK_RS08070,3298,4741,3434,32,42,0,2011,1930,2059,2260,2482,28,64,19
SAK_RS08075,3317,2845,2653,42,37,4,2026,858,993,1106,1086,30,64,21
SAK_RS08080,1487,1385,1341,7,7,1,2344,486,437,450,425,7,20,10
SAK_RS08085,376,404,351,8,2,1,219,158,179,153,127,2,8,2
SAK_RS08090,1398,1800,1478,4,25,1,338,468,537,470,352,10,46,7
SAK_RS08095,1804,2951,2363,6,17,2,4945,1136,1158,1587,1647,35,84,24
SAK_RS08100,1937,2653,2433,11,29,1,2336,654,663,1008,1073,40,84,18
SAK_RS08105,376,490,395,4,12,0,301,90,87,84,102,9,23,3
SAK_RS08110,1132,1248,1022,22,19,2,1691,381,329,439,475,39,82,27
SAK_RS00815,6149,4519,4216,76,82,9,4287,1622,1715,1659,1554,89,218,66
SAK_RS08115,1113,875,787,25,16,1,1423,382,375,401,363,32,66,16
scpA,1538,1117,1101,16,30,2,1725,295,293,320,288,45,80,22
SAK_RS08125,1754,1576,1260,1,21,1,1801,398,423,380,315,32,83,24
SAK_RS08130,1443,1241,1055,24,14,0,1688,478,486,380,354,32,50,31
SAK_RS08135,1005,806,649,11,16,0,1109,324,331,309,310,32,59,17
SAK_RS08140,2116,1831,1484,29,27,0,3056,850,900,861,876,63,97,35
SAK_RS08145,1602,1539,1319,26,30,1,2301,455,462,407,492,32,93,32
SAK_RS08150,1122,1092,916,30,14,1,1009,448,474,386,316,17,45,15
SAK_RS08155,393,57,55,0,0,0,94,30,46,3,5,0,4,0
SAK_RS08160,598,680,570,2,5,0,404,198,155,362,360,8,14,2
SAK_RS00820,65,103,61,116,84,1,64,27,25,472,505,61,171,76
SAK_RS08165,5094,4426,4554,53,70,4,4588,2453,2453,5854,6105,89,155,63
SAK_RS08170,2947,2903,2746,35,31,4,3156,1274,1154,2551,2803,45,77,39
SAK_RS08175,2335,2691,2585,28,28,1,3163,846,750,1650,1663,31,93,26
SAK_RS08180,117,127,69,3,3,0,136,44,39,62,58,2,4,2
SAK_RS08185,4557,4325,3388,47,41,3,3535,1389,1409,1912,1828,94,148,44
SAK_RS08190,2037,1142,775,6,8,0,1306,297,272,304,312,12,38,10
SAK_RS08195,2616,1736,1089,6,14,2,3249,737,681,629,630,17,44,18
SAK_RS08200,465,523,408,4,5,0,857,182,175,228,267,14,12,7
SAK_RS08205,2271,2203,1942,11,21,3,2449,576,554,469,355,35,78,16
SAK_RS08210,11949,9950,8224,108,116,5,17134,3959,3407,2975,2606,191,417,126
rbsC,61,94,60,61,61,1,39,7,11,204,274,47,154,47
SAK_RS08215,1879,1723,1533,9,18,0,1972,524,473,463,471,11,61,20
SAK_RS08220,6983,5703,5608,47,55,5,8050,1989,1845,1853,2012,76,167,44
SAK_RS08225,4081,3311,3109,48,25,0,10535,2094,2047,1682,1615,33,67,28
SAK_RS08230,6044,5214,4051,60,71,6,8581,2193,2180,2248,2080,109,237,69
engA,3732,3871,3796,45,28,3,4463,1458,1339,1655,1877,120,175,48
SAK_RS08240,2106,2053,2164,27,26,2,4724,1421,1328,1390,1779,95,99,34
SAK_RS08245,2021,1933,1685,26,30,1,3144,689,607,535,535,51,80,23
SAK_RS08250,689,653,652,4,12,1,960,326,336,280,312,16,21,9
SAK_RS08255,5366,6565,6093,144,119,5,5985,2087,1919,2210,2182,101,346,94
SAK_RS08260,8693,11979,11985,153,137,9,13626,3791,3442,4940,5103,152,400,128
SAK_RS00830,79,141,50,112,51,1,64,17,15,266,328,99,163,75
SAK_RS08265,1291,1691,1305,13,26,0,1279,234,270,430,409,16,53,14
SAK_RS08270,5347,4767,3579,55,68,5,7244,2636,2328,2499,2560,93,218,71
SAK_RS08275,3838,3585,2696,17,43,2,6006,2158,1833,1710,1489,39,111,27
SAK_RS08280,529,612,553,2,5,1,1088,272,243,316,240,10,20,8
SAK_RS08285,1326,1915,1802,14,19,2,4220,778,742,1116,1277,29,66,18
SAK_RS08290,604,1004,901,11,14,0,1597,276,281,433,505,15,59,10
SAK_RS08295,1225,1502,1418,3,9,0,968,369,374,288,305,22,31,10
SAK_RS08300,2800,3268,2735,15,32,2,2313,909,879,731,669,21,63,21
SAK_RS08305,966,899,792,8,6,1,344,206,219,144,138,10,25,2
SAK_RS08310,6422,6984,4412,22,33,1,890,2289,2393,774,749,49,80,14
SAK_RS00835,16,22,13,9,4,0,12,2,1,26,26,12,31,6
SAK_RS08315,4493,12738,14880,16,71,5,11106,2485,2279,898,1012,92,225,53
SAK_RS08320,77,166,109,330,220,0,195,135,109,239,267,106,366,157
SAK_RS08325,982,929,752,7,15,0,460,228,206,193,148,11,33,9
SAK_RS08330,1067,996,772,11,10,1,1272,431,363,320,338,18,67,29
SAK_RS08335,1016,846,652,12,17,0,1071,318,273,227,196,27,49,23
SAK_RS08340,1051,947,651,8,15,2,1097,286,239,307,234,33,80,20
SAK_RS08345,727,635,501,1,3,0,334,89,63,1378,1158,7,6,2
SAK_RS08350,391,382,246,2,3,0,209,56,54,667,694,1,2,0
SAK_RS08355,2551,2924,2765,65,37,88,2912,1611,1583,2706,2760,59,115,31
SAK_RS08360,125,161,151,4,7,2,326,85,97,396,377,24,21,8
SAK_RS00840,27,75,27,45,27,2,45,6,6,85,118,15,64,17
SAK_RS08365,8,28,26,0,2,0,29,9,7,21,19,3,7,1
SAK_RS08370,238,688,592,43,49,0,2033,1083,879,4071,4858,36,102,86
SAK_RS08375,102,142,232,51,42,0,722,195,234,5001,6529,46,90,54
SAK_RS08380,46,56,91,7,24,0,143,72,84,2292,2151,15,52,23
SAK_RS08385,91,76,175,43,48,1,211,90,152,5683,7184,56,93,47
SAK_RS08390,994,1672,1653,73,50,1,905,1178,1032,1540,1447,49,99,42
SAK_RS08395,473,559,507,7,9,0,641,204,160,392,437,10,23,9
SAK_RS08400,904,936,847,7,16,0,864,214,223,427,437,19,62,7
SAK_RS08405,160,175,175,0,2,1,84,21,20,49,18,4,11,2
SAK_RS08410,675,684,626,1,4,1,331,106,119,184,172,4,27,6
SAK_RS00845,52,167,87,27,19,0,536,131,100,240,267,18,64,12
SAK_RS08415,1459,1226,1203,11,8,2,846,319,287,406,437,35,54,7
SAK_RS08420,1552,1579,1403,11,13,0,1439,549,589,678,603,23,33,12
SAK_RS08425,1913,1762,1542,9,15,0,1903,592,504,620,646,42,55,11
nadD,2491,2302,2051,28,17,1,3514,797,726,793,918,46,83,20
SAK_RS08435,906,998,849,3,10,1,2162,463,394,355,376,17,29,10
SAK_RS08440,2770,2699,2234,25,35,3,3947,764,797,799,802,57,102,32
SAK_RS08445,815,885,593,5,14,1,728,207,203,213,255,14,32,10
SAK_RS08450,776,785,633,6,4,1,679,251,246,262,237,11,17,7
SAK_RS08455,5994,6057,5714,55,88,11,6666,2088,1817,2309,2393,127,220,74
gatA,3354,4869,4684,53,63,4,6275,1903,1757,1853,1870,78,193,55
SAK_RS00850,21,29,18,0,0,0,46,17,15,9,8,1,2,1
