GeneID,CovS-LP1,CovS+LP1,CovS-SP1,CovS+SP1,CovS-LP2,CovS+LP2,CovS-SP2,CovS+SP2
FE90_1168,1401,1234,1581,1099,1871,1328,2099,1008
FE90_1169,838,673,842,696,1269,724,1124,549
FE90_1170,666,503,643,435,1118,501,793,309
FE90_1171,1363,784,1005,424,1962,790,1200,334
FE90_1172,1362,717,1368,603,2421,698,1699,362
FE90_1173,418,179,432,164,785,202,567,105
FE90_1174,379,167,408,119,676,190,535,99
FE90_1175,413,161,431,122,683,197,524,85
FE90_1176,320,134,364,122,561,184,451,77
FE90_1177,2103,1190,1547,744,3934,1379,2077,472
FE90_1178,4764,6359,3437,5503,7344,6165,4448,4251
FE90_1179,1591,1742,417,859,2467,1801,621,519
FE90_1180,696,680,167,400,1064,747,213,200
FE90_1181,8887,12542,4057,6318,13924,11789,5633,4319
FE90_1182,35,58,30,26,51,67,26,12
FE90_1183,716,1293,451,410,988,1297,603,374
FE90_1184,204,114,288,324,288,102,340,176
FE90_1185,2155,710,2782,5204,2997,851,3560,3316
FE90_1186,5248,768,2354,5600,5252,987,3216,3984
FE90_1187,591,263,670,891,751,255,822,762
FE90_1188,187,140,288,394,322,101,295,287
FE90_1189,1739,2244,901,1383,2737,2109,1199,1064
FE90_1190,1889,2730,1046,1377,2801,2537,1387,1155
FE90_1191,1948,3292,1208,1459,3195,3128,1674,1302
FE90_1192,309,461,254,239,464,407,312,162
FE90_1193,469,510,298,309,620,479,455,229
FE90_1194,3527,3309,2605,4131,5112,3021,3498,2962
FE90_1195,247,370,125,117,423,297,188,95
FE90_1196,569,734,256,200,682,633,347,181
FE90_1197,1729,1719,319,288,2311,1426,418,211
FE90_1198,5113,4952,1063,1130,6906,4639,1517,815
FE90_1199,3897,3933,1020,779,4633,3313,1312,670
FE90_1200,155,47,179,38,243,52,266,47
FE90_1201,1643,626,354,130,2007,524,452,99
FE90_1202,185,244,120,100,410,198,125,85
FE90_1203,126,185,77,82,245,169,80,64
FE90_1204,1452,2211,939,904,1728,1997,1141,971
FE90_1205,831,1332,425,934,1169,1291,583,678
FE90_1206,2365,3679,1224,2672,3656,3674,1632,1790
FE90_1207,800,871,383,616,1187,915,489,418
FE90_1208,760,599,268,577,1058,596,372,350
FE90_1209,381,616,209,240,663,635,277,156
FE90_1210,655,976,326,404,859,935,430,298
FE90_1211,1128,1725,590,911,1722,1421,869,600
FE90_1212,382,890,541,786,727,811,620,564
FE90_1213,599,658,707,463,714,602,916,491
FE90_1214,6400,8266,5901,6692,10117,8692,8108,4263
FE90_1215,2107,2648,874,989,2715,2739,1015,841
FE90_1216,2391,2667,812,1022,2917,2777,925,808
FE90_1217,1197,1302,136,363,1735,1169,220,138
FE90_1218,818,1006,83,155,1490,966,134,46
FE90_1219,5689,10306,1858,2608,8403,9150,2114,1717
FE90_1220,332,423,165,122,443,432,250,117
FE90_1221,1355,1685,658,744,2267,1356,1016,588
FE90_1222,24,13,26,8,26,1,24,5
FE90_1223,560,361,317,112,453,365,369,204
FE90_1224,285,366,108,115,483,307,142,100
FE90_1225,361,416,207,194,519,326,230,101
FE90_1226,212,233,98,81,264,248,161,103
FE90_1227,641,850,371,469,908,712,391,358
FE90_1228,1050,1045,607,542,1200,952,724,542
FE90_1229,1363,1449,4517,3910,1938,1557,5541,3883
FE90_1230,2353,2517,5436,6200,3373,2715,6699,4576
FE90_1231,1811,2013,4085,3780,2347,2157,4893,3549
FE90_1232,70,76,30,58,107,75,44,40
FE90_1233,212,290,113,149,321,277,161,107
FE90_1234,624,563,123,149,713,546,214,191
FE90_1235,983,1019,474,777,1441,905,620,548
FE90_1236,736,904,435,649,1053,846,591,511
FE90_1237,1266,1407,689,804,1594,1308,859,707
FE90_1238,701,983,587,350,808,888,611,390
FE90_1239,4558,4951,2983,3263,6501,4491,4134,2435
FE90_1240,7597,4429,5119,4571,11774,4358,6437,4548
FE90_1241,2009,1127,1322,1040,2935,925,1725,1288
FE90_1242,431,358,489,287,487,316,540,275
FE90_1243,4675,7472,3024,2873,7159,6855,4171,2130
FE90_1244,2051,5011,1387,2306,3340,4696,2077,1394
FE90_1245,1134,1317,1484,1066,1783,1253,2013,899
FE90_1246,4926,5842,2652,3684,7648,5622,3774,2882
FE90_1247,915,1388,662,810,1559,1168,876,706
FE90_1248,481,603,99,33,408,560,124,72
FE90_1249,7418,10306,2853,3286,9790,9631,3467,2776
FE90_tRNA0055,32,63,21,18,66,47,33,1
FE90_1250,675,1057,151,224,996,993,214,165
FE90_1251,115,101,37,38,183,82,53,26
FE90_1252,4080,4494,1737,1871,5819,3858,2468,1085
FE90_1253,1491,1940,1027,792,1862,1813,1373,903
FE90_1254,4770,6641,1624,1996,6934,5968,2318,1589
FE90_1255,406,480,332,324,645,443,425,232
FE90_1256,424,490,445,372,626,481,505,374
FE90_1257,255,293,329,238,330,282,363,254
FE90_1258,97,99,148,120,129,118,165,91
FE90_1259,453,525,690,466,577,567,787,482
FE90_1260,777,770,954,653,1021,805,1204,801
FE90_1261,13,11,7,2,9,15,8,12
FE90_tRNA0056,0,0,0,0,0,0,0,0
FE90_tRNA0057,0,0,0,0,0,0,0,0
FE90_rRNA0058,0,0,0,0,0,0,0,0
FE90_rRNA0059,0,0,0,0,0,0,0,0
FE90_tRNA0060,0,0,0,0,0,0,0,0
FE90_rRNA0061,0,0,0,0,0,0,0,0
FE90_1262,0,0,0,0,0,0,0,0
FE90_1263,0,0,0,0,0,0,0,0
FE90_1264,27,15,12,12,37,20,18,5
FE90_1265,35,40,27,18,49,42,23,10
FE90_1266,4057,6568,1222,3134,6194,5769,1787,1707
