GeneID,X50271,X50272,X50273,X50286,X50287,X50288,X50301,X50302,X50303,X50316,X50317,X50318,X50331,X50332,X50333,X50346,X50347,X50348
EQB46_RS00005,5152,2669,3419,6020,3623,5915,6179,4119,4359,6153,5142,4974,6985,3146,4840,3251,3582,3225
EQB46_RS00010,6184,2291,3479,6717,3397,5353,7045,3947,4442,7149,3954,4168,9050,3052,4829,3844,3704,3054
EQB46_RS00055,2488,4446,4242,3875,5818,6906,4707,5932,6573,3474,5835,4886,3590,4267,5175,1534,5792,4872
EQB46_RS00505,118,3111,8858,213,8497,11393,112,16695,12844,139,10240,9601,140,12405,13619,44,10636,9516
EQB46_RS05005,1479,428,599,2382,467,475,1659,493,373,1695,644,331,2903,406,406,1026,496,267
EQB46_RS05010,1161,2503,1274,2690,2966,2158,1423,3117,2510,2157,3239,1563,1610,2109,1402,857,3408,1874
EQB46_RS05015,91,38,89,174,62,66,191,63,76,157,67,45,199,41,54,71,59,38
EQB46_RS05020,2886,2591,1586,3883,2693,1390,4589,2395,2614,3047,2373,1035,3635,2149,1023,1975,3622,2015
EQB46_RS05030,19095,6384,6955,22725,7589,8760,23131,7969,8799,23273,6806,5984,32950,6098,7669,12531,7971,6719
EQB46_RS05035,15581,3722,3792,16378,4114,4280,18126,3945,4285,20002,3458,2926,28812,3653,3973,11560,4554,3467
EQB46_RS05040,4503,2475,2560,4855,3622,4561,5977,3613,3732,5916,3409,3330,6251,2473,3446,3001,3204,3029
EQB46_RS05045,266,151,247,223,249,289,415,293,352,338,232,351,362,136,221,210,188,201
EQB46_RS05050,1947,2144,2451,2458,2826,3490,2389,2903,3299,2322,2712,2930,2936,2319,2983,1239,2710,2442
EQB46_RS00510,48,1645,4600,97,4956,6293,45,9423,7033,60,5728,5219,44,6831,7170,19,6110,5230
EQB46_RS05055,3880,3859,4221,4623,4630,5803,4503,5000,5373,4644,4656,4690,5540,3686,5010,2467,4652,3917
EQB46_RS05060,4451,3295,3856,4645,4201,5876,6698,4625,4985,5923,4096,4097,7608,3618,4765,3446,3920,3876
EQB46_RS05065,11858,8103,8832,11469,10016,13348,17196,10471,11266,14322,8925,8947,17754,8172,9806,9041,9430,9371
