gene,X1_1_ATCACG_L006_R1.fastq.gz,X1_2_CGATGT_L006_R1.fastq.gz,X1_4_TTAGGC_L006_R1.fastq.gz,X2_2_ACAGTG_L006_R1.fastq.gz,X2_4_GCCAAT_L006_R1.fastq.gz,X3_2_CAGATC_L006_R1.fastq.gz,X3_3_ACTTGA_L006_R1.fastq.gz,X3_5_GATCAG_L006_R1.fastq.gz,X4_1_TAGCTT_L006_R1.fastq.gz,X4_2_GGCTAC_L006_R1.fastq.gz,X4_4_CTTGTA_L006_R1.fastq.gz
Inter.NC_008533.1.1745500.1745600,0,1,1,2,0,0,2,1,0,0,3
Inter.NC_008533.0.992488.992588,0,1,2,0,0,2,1,1,0,0,2
ABJ55235.1,794,609,916,572,541,554,817,603,624,484,514
Inter.NC_008533.1.678608.678708,0,0,0,0,1,2,0,0,1,2,1
Inter.NC_008533.0.1088020.1088120,7,3,7,8,2,4,4,3,4,8,4
Inter.NC_008533.1.394666.394766,2,3,4,3,3,3,3,2,0,1,2
ABJ54572.1,1349,1280,1493,1123,894,877,1236,986,1024,950,938
Inter.NC_008533.0.1096420.1096520,0,0,0,1,0,0,0,0,0,1,0
Inter.NC_008533.1.60301.60401,1,0,2,0,1,1,3,1,0,0,0
Inter.NC_008533.1.453851.453951,32,39,59,40,57,27,53,25,42,30,33
Inter.NC_008533.0.492837.492937,1,0,0,0,1,1,0,0,0,1,0
Inter.NC_008533.0.1822422.1822522,1,2,1,0,0,2,3,1,1,2,1
Inter.NC_008533.1.577481.577581,0,0,0,0,0,0,0,0,0,1,0
Inter.NC_008533.0.444464.444564,51,42,60,32,38,28,45,28,32,32,48
Inter.NC_008533.1.674108.674208,1,1,0,0,0,0,0,1,0,1,0
Inter.NC_008533.0.1516456.1516556,0,0,1,0,0,0,0,0,0,0,0
Inter.NC_008533.1.395758.395858,123,121,142,86,91,89,80,84,97,76,69
Inter.NC_008533.1.678308.678408,4,4,2,5,6,3,2,4,3,3,5
Inter.NC_008533.1.388666.388766,3,4,4,1,6,6,3,4,3,6,2
Inter.NC_008533.1.1579340.1579440,4,4,5,4,4,2,7,5,1,1,2
Inter.NC_008533.1.593008.593108,0,0,0,0,1,0,0,0,0,0,2
Inter.NC_008533.0.1654612.1654712,2,0,5,5,2,3,1,3,2,0,0
Inter.NC_008533.1.204284.204384,14,27,38,17,17,13,16,17,16,40,20
Inter.NC_008533.1.1665945.1666045,0,0,0,1,1,0,0,0,0,0,0
Inter.NC_008533.0.1564596.1564696,0,2,3,1,3,0,3,0,3,0,0
Inter.NC_008533.0.743679.743779,222,213,239,207,137,170,254,206,193,116,226
Inter.NC_008533.0.22055.22155,10,25,10,21,4,9,8,7,10,10,9
Inter.NC_008533.0.265165.265265,0,0,1,1,2,1,1,0,0,2,0
Inter.NC_008533.0.1810219.1810319,0,2,4,0,1,0,2,3,1,1,1
Inter.NC_008533.0.1605443.1605543,0,3,2,1,1,0,1,0,1,0,2
Inter.NC_008533.1.1376125.1376225,7,8,8,4,7,6,8,3,8,8,4
Inter.NC_008533.0.1329050.1329150,1,2,2,1,3,1,1,1,2,1,2
Inter.NC_008533.0.1735790.1735890,0,1,1,2,1,3,0,1,1,2,1
Inter.NC_008533.0.2029011.2029111,3,2,5,1,2,4,2,5,5,1,3
Inter.NC_008533.0.1464876.1464976,3,2,0,1,0,1,3,3,5,3,2
Inter.NC_008533.1.6700.6800,0,0,0,0,0,0,0,0,1,0,0
Inter.NC_008533.0.1310079.1310179,13,12,13,18,6,12,14,7,15,14,6
Inter.NC_008533.0.1223226.1223326,1,4,4,4,2,1,2,1,3,0,0
Inter.NC_008533.0.1486361.1486461,2,0,0,0,0,1,1,1,2,0,1
Inter.NC_008533.0.1639546.1639646,0,0,2,1,0,0,1,0,0,1,0
Inter.NC_008533.0.217760.217860,0,0,1,0,0,0,0,0,0,0,0
Inter.NC_008533.1.1288783.1288883,1,0,1,2,0,1,0,0,1,1,0
Inter.NC_008533.1.344045.344145,2,0,2,1,0,0,1,1,0,0,0
Inter.NC_008533.1.988659.988759,2,0,0,0,0,1,1,0,2,0,0
Inter.NC_008533.0.1197479.1197579,0,0,2,2,0,0,0,0,1,0,1
Inter.NC_008533.1.518321.518421,134,140,197,77,88,103,145,98,109,127,103
ABJ54250.1,206,202,258,143,147,163,188,152,160,117,127
ABJ55017.1,342,287,466,268,272,266,438,298,322,260,317
Inter.NC_008533.1.130889.130989,0,4,3,0,2,1,0,1,4,0,0
Inter.NC_008533.0.281751.281851,57,68,93,59,35,56,76,52,64,39,49
Inter.NC_008533.1.47701.47801,1,1,0,0,0,0,0,0,0,0,0
Inter.NC_008533.0.1457280.1457380,5,2,6,4,3,3,2,4,5,3,2
Inter.NC_008533.0.1668285.1668385,2,1,1,2,0,1,2,1,1,1,0
Inter.NC_008533.0.1488561.1488661,4,4,5,8,4,10,4,4,4,3,4
Inter.NC_008533.1.852742.852842,0,2,0,0,1,2,1,0,2,0,0
Inter.NC_008533.1.621524.621624,0,0,1,0,1,0,0,0,0,0,0
Inter.NC_008533.1.972273.972373,1,0,2,3,1,2,2,0,4,0,1
Inter.NC_008533.0.1219526.1219626,0,1,0,0,0,0,0,0,0,0,0
Inter.NC_008533.0.1788557.1788657,0,2,0,0,0,0,0,2,0,1,2
Inter.NC_008533.1.128689.128789,2,1,2,1,1,3,2,1,1,1,0
Inter.NC_008533.0.1402852.1402952,0,1,0,0,0,0,0,1,0,0,1
Inter.NC_008533.0.814523.814623,2,2,6,3,6,5,5,3,4,3,3
Inter.NC_008533.0.1085320.1085420,0,0,1,0,0,0,1,1,0,0,0
Inter.NC_008533.0.1673785.1673885,3,3,7,8,4,4,4,5,6,1,5
Inter.NC_008533.0.1484361.1484461,1,0,1,0,1,0,0,1,0,0,0
Inter.NC_008533.1.1455298.1455398,5,9,14,11,2,11,8,11,5,2,2
Inter.NC_008533.0.1429714.1429814,7,4,9,7,2,11,11,2,10,4,5
Inter.NC_008533.1.234289.234389,3,5,2,2,0,0,2,1,3,2,2
ABJ54568.1,1919,1863,2102,1819,1657,1630,1935,1614,1697,1407,1539
Inter.NC_008533.1.450151.450251,0,0,0,0,0,0,0,0,1,0,0
Inter.NC_008533.1.1443023.1443123,8,6,1,3,0,1,1,2,4,5,4
Inter.NC_008533.1.1620521.1620621,7,4,10,1,4,2,2,0,4,4,1
Inter.NC_008533.1.804379.804479,1,0,2,3,0,0,0,0,0,0,0
ABJ55102.1,52,35,58,31,22,21,44,31,34,26,23
Inter.NC_008533.1.558071.558171,0,0,0,0,0,2,0,0,0,0,1
Inter.NC_008533.0.1573596.1573696,0,0,0,1,0,1,0,0,0,0,0
Inter.NC_008533.1.692843.692943,1,1,1,0,0,1,1,1,0,0,1
Inter.NC_008533.0.1563896.1563996,0,1,1,0,1,0,0,1,0,0,1
Inter.NC_008533.0.538864.538964,2,2,4,2,4,1,2,1,2,2,3
Inter.NC_008533.1.944517.944617,0,0,2,0,0,0,0,1,0,0,0
Inter.NC_008533.0.468558.468658,2,0,1,1,2,0,1,0,1,0,0
Inter.NC_008533.1.600708.600808,1,2,0,1,0,2,0,0,1,0,0
Inter.NC_008533.1.579381.579481,0,0,1,0,0,0,0,0,1,1,0
Inter.NC_008533.0.1317797.1317897,18,24,33,31,20,14,27,23,30,35,21
Inter.NC_008533.0.1718636.1718736,1,1,0,0,0,1,0,1,0,1,0
Inter.NC_008533.1.154436.154536,0,0,2,0,0,0,0,1,0,1,0
Inter.NC_008533.0.2003415.2003515,3,2,1,0,2,3,4,1,0,0,1
Inter.NC_008533.1.1709847.1709947,5,5,4,4,4,3,4,1,1,1,2
Inter.NC_008533.1.1130217.1130317,6,1,4,1,1,3,3,2,1,2,3
Inter.NC_008533.0.1921975.1922075,0,0,1,0,0,0,0,0,0,0,0
Inter.NC_008533.0.1505956.1506056,1,1,6,3,1,1,2,0,2,2,1
Inter.NC_008533.0.1233426.1233526,0,2,1,0,0,1,1,0,0,1,1
Inter.NC_008533.1.384066.384166,1,0,1,4,1,1,2,0,0,2,0
Inter.NC_008533.1.150236.150336,1,4,4,1,3,1,0,1,3,0,0
Inter.NC_008533.0.1451942.1452042,1,1,2,0,0,0,4,0,0,1,0
Inter.NC_008533.0.1920575.1920675,0,0,0,0,0,1,1,0,0,0,0
ABJ55431.1,86,97,97,92,66,88,96,82,76,99,66
ABJ55469.1,217,212,324,136,187,135,213,206,188,185,153
Inter.NC_008533.1.789982.790082,1,0,0,0,0,0,0,0,0,0,0
Inter.NC_008533.1.852442.852542,4,0,2,5,2,2,1,2,3,6,0
Inter.NC_008533.0.1138331.1138431,0,1,2,0,0,0,1,1,0,0,0
Inter.NC_008533.0.1221226.1221326,7,10,9,11,11,11,11,8,14,8,2
Inter.NC_008533.0.1753293.1753393,2,4,9,2,7,0,4,6,4,3,3
Inter.NC_008533.1.995557.995657,20,9,11,11,12,17,15,15,14,8,15
Inter.NC_008533.0.1388159.1388259,0,0,0,0,1,0,0,0,0,0,0
Inter.NC_008533.1.614296.614396,0,0,4,0,1,2,1,0,1,0,2
Inter.NC_008533.1.767083.767183,2,2,1,3,1,2,1,1,4,0,2
Inter.NC_008533.0.1258427.1258527,0,0,0,1,0,1,0,0,1,0,0
Inter.NC_008533.1.192284.192384,0,0,1,0,0,1,0,1,0,0,0
ABJ54893.1,22,19,19,15,9,13,16,11,14,15,20
Inter.NC_008533.0.1404052.1404152,0,0,1,0,1,0,0,0,0,0,0
Inter.NC_008533.0.1893088.1893188,0,0,1,0,1,2,0,0,2,0,1
Inter.NC_008533.0.1000169.1000269,6,3,2,2,4,3,2,2,2,1,5
Inter.NC_008533.1.363381.363481,0,0,1,0,0,0,0,0,0,0,0
Inter.NC_008533.1.922917.923017,0,1,3,1,1,0,1,1,1,1,1
Inter.NC_008533.1.852942.853042,0,0,0,0,2,0,2,2,0,1,2
Inter.NC_008533.0.1720936.1721036,0,1,1,1,2,2,4,1,5,1,1
Inter.NC_008533.1.237189.237289,0,0,0,0,0,0,1,0,0,0,1
ABJ54398.1,3592,2439,4385,2419,2852,1909,3461,2921,2589,2017,2828
Inter.NC_008533.0.1494261.1494361,3,5,5,6,8,6,3,5,2,4,1
Inter.NC_008533.1.1029289.1029389,1,0,3,0,2,1,0,1,0,1,0
Inter.NC_008533.1.1180659.1180759,5,3,5,2,4,0,4,7,5,1,2
Inter.NC_008533.1.348145.348245,2,1,1,0,3,2,5,3,4,2,4
Inter.NC_008533.0.1080471.1080571,0,0,0,0,0,0,0,2,0,0,1
Inter.NC_008533.1.19700.19800,1,3,8,4,4,8,11,0,3,3,2
Inter.NC_008533.0.1076071.1076171,2,0,1,1,0,1,1,1,0,1,0
Inter.NC_008533.0.1446553.1446653,1,0,1,2,2,0,2,0,0,0,0
