,JE84-1-05,JE84-2-05,JE84-3-05,JE84-1-15,JE84-2-15,JE84-3-15,WT-1-05,WT-2-05,WT-3-05,WT-1-15,WT-2-15,WT-3-15,,
M5005_Spy0045,8685,8603,10385,792,912,723,5905,6574,8970,2881,2427,4383,,
M5005_Spy0046,8574,6697,9146,766,941,701,4892,5533,7708,2482,2048,3556,,
M5005_Spy0047,24972,37333,26803,2567,2775,2282,15380,23691,48424,7270,6476,10770,,
M5005_Spy0048,16790,15534,18090,1962,1890,1538,10701,11359,16988,4781,4237,7472,,
M5005_Spy0049,18163,22748,17169,1984,2220,1849,9644,14778,26385,5339,4467,8008,,
M5005_Spy0050,13930,23062,12972,1440,1829,1434,6668,14355,29728,4035,3216,6059,,
M5005_Spy0051,16877,31871,16154,1950,1910,1652,9332,14799,40781,4665,4159,7359,,
M5005_Spy0052,6721,11340,5968,639,682,546,3171,6689,14219,1812,1430,2580,,
M5005_Spy0053,7336,23530,5434,600,776,550,2696,11835,29108,1461,1275,2294,,
M5005_Spy0054,18937,31762,15950,2185,2194,1653,8655,17693,46571,3929,4125,5462,,
M5005_Spy0055,35107,43398,33393,4136,4044,3108,18564,29466,64855,8621,8412,11836,,
M5005_Spy0056,15889,22962,19533,2379,3300,2738,9871,12523,27103,6642,4690,10112,,
M5005_Spy0057,4081,8132,4640,560,743,656,2501,3334,9782,1663,1249,2422,,
M5005_Spy0058,7364,10158,8741,927,1352,1130,4446,6967,11807,2460,1947,3619,,
M5005_Spy0059,18523,40840,14645,1634,1855,1529,8279,21134,60709,4261,3686,5727,,
M5005_Spy0060,12465,15430,16154,1983,2199,1680,9037,9190,19007,4735,3973,7153,,
M5005_Spy0061,20876,40210,21378,2356,2590,2274,11563,23608,44670,6152,4928,8478,,
M5005_Spy0062,4165,7596,3641,429,498,421,2013,4608,10102,1056,1017,1308,,
M5005_Spy0063,19755,28381,18717,2079,2517,2086,10489,17130,24646,5668,4594,7864,,
M5005_Spy0064,132313,242626,107430,12059,12809,10528,62591,133749,336154,36613,29610,46963,,
M5005_Spy0065,14458,20132,12993,973,1013,838,7637,14300,28863,3377,3257,4387,,
M5005_Spy0066,20905,26955,29305,1960,2215,1634,24001,20129,27085,9356,8094,6189,,
M5005_Spy0067,13942,23555,14253,1086,1152,911,11056,17908,28591,4545,3853,3086,,
M5005_Spy0068,32788,51709,35175,2683,3120,2444,24530,41704,65926,11258,8164,8235,,
M5005_Spy0069,18032,30440,17049,1541,1682,1260,13569,25292,38027,5065,4627,3492,,
M5005_Spy0070,88078,172456,81439,6998,7090,5054,64261,134468,299668,23955,20681,15872,,
M5005_Spy0071,24964,66028,21817,1599,1797,1334,16118,44520,103097,7663,4790,5842,,
M5005_Spy0072,156,208,135,12,15,23,83,99,1230,28,27,34,,
M5005_SpyR0007,535,1096,549,278,221,269,245,452,14498,232,344,299,,
M5005_SpyT0029,3,6,4,1,0,1,2,5,121,1,1,1,,
M5005_SpyR0008,443,833,600,521,354,514,376,651,44257,452,833,882,,
M5005_SpyR0009,4,16,6,1,1,2,3,6,181,2,2,5,,
M5005_SpyT0030,7,15,10,0,1,0,5,6,164,2,1,2,,
M5005_SpyT0031,21,32,28,1,1,1,19,14,227,7,4,5,,
M5005_SpyT0032,77,111,91,6,4,5,67,55,275,23,22,18,,
M5005_SpyT0033,99,145,110,5,4,5,76,81,261,25,25,18,,
M5005_SpyT0034,169,257,176,4,6,4,111,196,536,27,30,13,,
M5005_SpyT0035,180,306,154,2,4,3,99,238,637,16,22,8,,
M5005_SpyT0036,241,430,209,4,5,3,135,314,898,21,29,9,,
M5005_SpyT0037,224,408,183,3,2,3,122,276,812,19,25,8,,
