,JE84-1-05,JE84-2-05,JE84-3-05,JE84-1-15,JE84-2-15,JE84-3-15,WT-1-05,WT-2-05,WT-3-05,WT-1-15,WT-2-15,WT-3-15,,
M5005_Spy0263,7452,16625,6033,431,476,419,4462,10350,23222,3689,2832,3672,,
M5005_Spy0264,5681,9036,4743,352,393,321,3599,7448,13579,2950,2440,2966,,
M5005_Spy0265,1380,2693,1449,122,134,118,1035,2366,4664,911,619,927,,
M5005_Spy0266,1544,2153,1652,231,229,209,1353,1821,2995,1183,954,1095,,
M5005_Spy0267,3321,5567,2883,402,442,319,2328,4346,9261,1639,1466,1510,,
M5005_Spy0268,295,512,250,52,67,60,175,309,664,183,196,181,,
M5005_Spy0269,5309,11459,3921,2052,2493,2421,3337,10989,29264,6312,6501,5553,,
M5005_Spy0270,7159,9532,6177,7675,7656,6971,6008,10123,20770,9434,8909,9592,,
M5005_Spy0271,962,1237,770,543,598,656,899,1408,2306,1528,1318,1601,,
M5005_Spy0272,1714,3112,1517,1214,1192,1328,1654,3328,7446,2499,2372,2522,,
M5005_Spy0273,857,2404,724,508,544,645,656,1645,4293,1049,958,1161,,
M5005_Spy0274,1174,1801,1114,219,220,215,705,1401,3079,1020,742,916,,
M5005_Spy0275,4306,8207,4258,352,375,343,3455,5926,14314,1887,1502,1603,,
M5005_Spy0276,2090,3718,1626,467,513,449,1193,2968,6521,1595,1192,2423,,
M5005_Spy0277,3630,6890,2911,1023,1277,1170,2051,5393,10283,3380,2655,4650,,
M5005_Spy0278,1544,2128,1553,168,195,160,1449,1851,3671,1521,1200,1173,,
M5005_Spy0279,11032,11566,13059,9018,8673,7861,12502,10533,20350,37082,30852,40918,,
M5005_Spy0280,13299,26915,10469,10292,10560,10263,9951,22826,59591,33796,30726,33961,,
M5005_Spy0281,334,431,300,105,112,80,3058,4092,8133,5283,4610,5852,,
M5005_Spy0282,9993,17190,8090,2526,3246,3484,7156,18414,37159,15787,14177,12724,,
M5005_Spy0283,8562,14144,7302,554,621,502,6279,13165,26129,3335,3091,2740,,
M5005_Spy0284,1431,2148,1225,320,350,312,1099,2082,3659,716,596,651,,
M5005_Spy0285,4051,5999,3757,1297,1139,1133,3404,5308,8681,1968,1766,1976,,
M5005_Spy0286,3492,6315,3150,907,937,917,2993,5281,9846,1778,1530,1786,,
M5005_Spy0287,11904,19564,10068,2461,2549,2226,9089,17871,36602,5230,4345,5301,,
M5005_Spy0288,6978,11342,5746,1822,1985,1872,4889,10442,19843,4891,3783,4510,,
M5005_Spy0289,8342,9213,7641,2058,2193,1973,7182,10063,17654,7960,6919,8540,,
M5005_Spy0290,19750,29993,19287,4064,4238,3852,16432,24570,51378,13192,10958,12514,,
M5005_Spy0291,3451,5268,3607,959,954,955,3320,4229,7230,2662,2107,2935,,
M5005_Spy0292,19776,29633,17825,2496,2859,2667,14103,24136,46179,9588,8133,8423,,
M5005_Spy0293,5015,7382,5402,437,438,403,4706,5624,10464,2680,1913,2364,,
M5005_Spy0294,265,207,286,23,21,20,217,207,316,78,74,69,,
M5005_Spy0295,13465,25128,10468,2936,3739,3405,5536,13411,30956,5770,4579,6391,,
M5005_Spy0296,633,791,737,581,711,729,503,867,1403,988,780,1086,,
M5005_Spy0297,121,149,132,313,357,323,117,137,286,482,328,544,,
M5005_Spy0298,152,176,142,449,443,375,127,170,288,453,447,455,,
M5005_Spy0299,1154,1931,1048,108,96,104,820,1526,3192,745,737,521,,
M5005_Spy0300,3053,5250,2652,1316,1301,1488,2971,4892,11983,5632,6064,6141,,
M5005_Spy0301,1791,5303,1344,748,928,869,1226,4664,13366,3107,2705,3309,,
M5005_Spy0302,2652,4180,1741,376,453,396,2178,4656,13553,1566,1473,1347,,
M5005_Spy0303,3315,5977,2853,1466,1573,1434,2973,5903,11696,2368,2227,2285,,
M5005_Spy0304,2894,6204,2574,2155,2385,2270,2402,6090,10788,2656,1997,2732,,
M5005_Spy0305,2713,4132,2618,2291,2129,2158,2800,4186,8930,2290,1985,2265,,
M5005_Spy0306,2159,3939,2381,2067,2352,2248,2249,3954,9389,2351,1766,2283,,
M5005_Spy0307,1423,1217,1644,1454,1689,1540,1540,1312,1974,1656,1205,1558,,
M5005_Spy0308,4182,5761,4038,3089,2966,3110,3938,5972,10815,3260,2595,3044,,
M5005_Spy0309,2188,3008,2284,1744,1808,1758,2189,2858,4839,1727,1382,1695,,
M5005_Spy0310,2697,3702,2848,4659,5340,6077,3120,3845,7356,3202,2717,2775,,
M5005_Spy0311,961,1680,751,1469,1824,1914,705,1721,3469,1031,759,945,,
M5005_Spy0312,1162,1912,1131,252,302,284,1092,1775,3368,460,348,488,,
M5005_Spy0313,548,600,704,65,58,79,526,590,1445,139,104,147,,
M5005_Spy0314,933,1306,768,109,129,127,512,1181,2128,396,340,330,,
M5005_Spy0315,5227,8412,5216,1996,2015,1917,4002,6384,11042,3806,3387,3136,,
M5005_Spy0316,1970,3611,1748,782,872,840,1340,2665,4738,1416,1080,1168,,
M5005_Spy0317,19656,24864,16811,1717,1600,1467,12666,19394,43650,6235,6210,4477,,
M5005_Spy0318,2189,3071,2277,7795,8255,9349,2105,3447,6806,3842,3929,4478,,
M5005_Spy0319,12431,15487,11648,8546,10948,11087,10990,17598,31894,12792,10669,11962,,
M5005_Spy0320,2942,6048,2034,666,842,737,1627,5168,11783,1709,1388,1733,,
M5005_Spy0321,650,1285,658,102,107,70,276,764,1699,169,111,139,,
M5005_Spy0322,693,1260,692,128,138,119,271,554,983,170,113,138,,
M5005_Spy0323,842,1347,958,185,185,151,394,775,1154,224,166,185,,
M5005_Spy0324,1008,1260,983,131,121,94,474,635,1190,179,152,129,,
M5005_Spy0325,8783,17872,6906,4902,4732,4488,3984,9072,20614,9955,8183,9866,,
M5005_Spy0326,3299,6117,2898,1033,1292,1209,1679,4108,7766,3410,2670,3572,,
M5005_Spy0327,3707,6062,4387,1039,909,931,3473,5238,11800,1867,1988,1356,,
M5005_Spy0328,26567,41320,24491,14498,12075,11496,20942,32300,80084,66399,58216,138433,,
M5005_Spy0329,695,713,675,169,215,169,590,812,1196,1113,955,1125,,
M5005_Spy0330,3599,6529,3165,680,736,748,2812,5266,8326,2877,2595,3210,,
M5005_Spy0331,3332,5074,3343,753,894,865,2777,4679,7787,2756,2406,3240,,
M5005_Spy0332,1407,2083,1451,359,358,343,1247,1899,3861,1198,1001,1330,,
M5005_Spy0333,580,1260,579,137,134,134,551,967,2413,425,457,493,,
M5005_Spy0334,2542,2721,2645,919,797,828,2630,2537,4024,2572,2650,2682,,
M5005_Spy0335,5532,9339,4716,1476,1299,1203,4643,9049,16913,3893,3926,4231,,
M5005_Spy0336,1923,4268,1578,545,562,459,1615,3548,8506,1718,1328,1868,,
M5005_Spy0337,1293,2271,1069,1270,1265,1202,920,1899,4272,1618,1436,1627,,
M5005_Spy0338,942,1569,850,406,497,434,651,1146,2550,1025,655,702,,
M5005_Spy0339,1205,2129,1096,153,170,153,797,1799,3303,1232,984,859,,
M5005_Spy0340,140,360,125,14921,16714,20840,52,142,248,529,429,626,,
M5005_Spy0341,567,1157,579,19626,19728,29909,480,863,1649,1352,1233,1748,,
M5005_Spy0343,1454,2118,1398,24,22,27,1007,1810,3701,405,291,251,,
M5005_Spy0344,704,1965,627,17,13,10,410,1421,3290,123,104,82,,
M5005_Spy0345,9055,18108,7358,912,923,825,6148,15297,31730,3390,2798,2265,,
M5005_Spy0346,137,205,149,53,45,50,149,186,549,276,172,223,,
M5005_Spy0347,1290,2392,1143,392,375,351,1066,2182,5403,1974,1458,1465,,
M5005_Spy0348,583,882,563,184,218,178,513,842,1495,927,721,775,,
M5005_Spy0349,2980,5888,2915,1188,1302,1245,2495,5295,11687,5313,3958,4560,,
M5005_Spy0350,64,366,36,17,18,16,26,285,947,64,48,58,,
M5005_Spy0351,627,1265,446,317,298,376,189,622,1479,212,190,230,,
M5005_Spy0352,42,72,38,28,39,26,61,121,241,59,45,51,,
M5005_Spy0353,251,435,313,98,124,107,212,384,824,294,217,249,,
M5005_Spy0354,372,923,349,315,293,352,266,594,1533,449,332,438,,
M5005_Spy0355,98,79,96,22,31,26,67,66,118,82,76,92,,
M5005_Spy0356,678,413,980,398,472,297,772,370,607,5328,3360,4497,,
M5005_Spy0357,608,741,596,138,147,135,525,705,1326,503,395,443,,
M5005_Spy0358,1554,2579,1776,1753,1625,1643,1647,1956,3607,4918,4612,4898,,
M5005_Spy0359,2870,6266,2598,2841,2808,2681,2434,4994,10752,7886,7476,6568,,
M5005_Spy0360,4203,7946,3487,4348,4836,4563,2972,7281,15700,11778,9974,10800,,
M5005_Spy0361,1985,4557,1560,1028,1026,1036,924,2235,6186,2283,1852,2231,,
M5005_Spy0362,23211,41553,18770,5507,4822,4512,16610,32189,63784,13743,12951,15360,,
M5005_Spy0363,11999,20520,10844,4794,4627,3983,8628,15898,30734,8487,7940,9653,,
M5005_Spy0364,7772,16480,6184,2854,2455,2234,5430,11427,24508,5378,4586,6713,,
M5005_Spy0365,17728,33326,14754,9243,9202,9233,12875,22362,42009,13747,13250,15191,,
M5005_Spy0366,16867,30168,11930,7668,7524,7202,10931,24275,59531,12757,11532,15006,,
M5005_Spy0367,4114,7233,3033,5848,5407,5130,2646,6865,15669,9603,7655,10774,,
M5005_Spy0368,16816,19763,16834,6797,7605,6513,12585,17524,34288,34484,28877,32770,,
M5005_Spy0369,1990,3803,1862,581,660,634,1142,2864,5233,1839,1503,1797,,
M5005_Spy0370,2569,5159,1985,568,663,635,1184,3735,7631,1634,1262,1700,,
M5005_Spy0371,3941,8620,2918,532,590,599,3177,7289,17743,3126,2617,2756,,
M5005_Spy0372,8373,14362,7930,2471,2534,2689,6415,10522,21325,4028,3581,4454,,
M5005_Spy0373,219,510,191,255,389,349,143,341,724,468,282,657,,
M5005_Spy0374,47115,50989,58455,3192,3862,2956,42111,43596,63063,19184,16554,25092,,
M5005_Spy0375,15620,27946,13459,663,806,607,10960,23851,40764,4866,3494,5922,,
M5005_Spy0376,319,343,306,992,967,840,279,303,566,1023,930,1127,,
M5005_Spy0377,4078,6739,3885,1304,1597,1375,2550,5473,8608,3297,2811,2923,,
M5005_Spy0380,12792,22405,9623,6241,7007,5735,7598,17504,39924,10710,8855,9295,,
M5005_Spy0381,3049,5232,2825,755,720,611,2112,3556,7255,1337,1231,1164,,
M5005_Spy0382,4764,7998,4343,424,330,311,3781,6400,14763,1466,1501,1014,,
M5005_Spy0383,1431,1590,1473,146,133,122,1317,1576,3581,461,503,307,,
M5005_Spy0384,18660,30171,17062,3422,3217,2540,19697,35271,76602,4581,3854,3250,,
M5005_Spy0385,3598,6196,3326,36808,39279,40697,3649,5825,12029,34027,30160,37207,,
M5005_Spy0386,4679,5554,4245,1801,1858,1776,3292,4256,8577,3646,3629,3050,,
M5005_Spy0387,1791,3811,1361,566,643,551,981,2686,6495,1359,1096,1235,,
M5005_Spy0388,5767,9354,5153,2147,2283,2168,3616,6781,13728,5472,4635,4743,,
M5005_Spy0389,3235,7088,2720,968,1085,914,2029,3973,11020,3348,2394,2900,,
M5005_Spy0390,9611,15125,8152,2711,2660,2611,5992,10189,18828,6875,6753,6319,,
M5005_Spy0391,3637,7584,2690,803,914,813,1773,5803,11739,2094,1883,1864,,
M5005_Spy0392,16,19,14,7,11,8,7,16,37,11,11,10,,
M5005_Spy0393,375,791,371,248,227,252,239,450,862,364,375,382,,
M5005_Spy0394,633,1144,520,427,418,336,389,798,1649,685,541,617,,
M5005_Spy0395,54,35,46,49,76,52,44,32,43,117,79,86,,
M5005_Spy0396,19,20,15,13,15,14,13,13,29,15,10,12,,
M5005_Spy0397,189,272,181,108,124,120,110,228,414,188,153,187,,
M5005_Spy0398,122,160,117,84,74,57,60,154,341,81,82,83,,
M5005_Spy0399,128,208,134,103,90,78,79,136,218,93,100,142,,
M5005_Spy0400,94,126,77,73,58,61,51,88,116,62,63,67,,
M5005_Spy0401,17,15,23,9,14,11,12,8,30,17,11,14,,
M5005_Spy0402,154,303,163,178,158,173,143,196,418,145,177,138,,
M5005_Spy0403,52,106,52,50,50,51,59,82,302,56,66,63,,
M5005_Spy0404,6,22,2,0,1,1,2,13,40,4,5,6,,
M5005_Spy0405,5,7,6,2,3,3,6,10,17,10,8,13,,
M5005_Spy0406,42,43,28,10,12,14,29,38,64,57,50,67,,
M5005_Spy0407,354,834,438,156,118,206,394,417,2262,583,732,852,,
M5005_Spy0408,867,1494,814,860,660,822,723,961,3637,1302,1531,1646,,
M5005_Spy0409,485,1125,511,463,492,483,391,724,1658,930,800,1088,,
M5005_Spy0410,4835,10085,3840,6880,7374,7876,3761,8209,20354,8277,7822,10729,,
M5005_Spy0411,8227,11671,8646,5261,5993,6156,6059,8630,16057,8906,7953,11025,,
M5005_Spy0412,987,1579,946,562,651,634,582,1053,2658,1050,841,1610,,
M5005_Spy0413,2359,2564,2457,1074,1747,1793,1378,1671,4277,2048,1383,2540,,
M5005_Spy0414,6464,9621,5538,2128,1785,1939,2620,4716,9103,2264,2083,3306,,
M5005_Spy0415,3451,6311,2812,1033,901,1002,1353,2493,5732,1085,953,1770,,
M5005_Spy0416,3776,6082,3548,962,1045,1115,1462,2925,5720,1274,986,2108,,
M5005_Spy0417,1750,4087,1285,307,389,331,1045,4133,8184,1160,944,853,,
M5005_Spy0418,2937,5665,2729,384,418,373,2547,5483,12579,1664,1316,1218,,
M5005_Spy0419,1260,2491,1264,114,108,126,1215,2564,5073,702,572,483,,
M5005_Spy0420,1226,1770,1180,143,181,155,916,1641,3262,1312,1000,893,,
M5005_Spy0421,1455,3649,882,2213,2326,2073,932,3311,7586,2722,2118,4271,,
M5005_Spy0422,3837,6097,3331,8497,9922,9375,3333,6062,11756,10206,8620,14300,,
M5005_Spy0423,9655,16885,7488,21628,21580,21447,7648,16036,33389,25781,23421,35109,,
M5005_Spy0424,4766,10384,4315,5092,5588,4816,3091,7510,15125,7437,6083,7405,,
M5005_Spy0425,15961,26905,14808,2965,3269,2844,5896,10191,20664,8749,7395,8619,,
M5005_Spy0426,16366,24849,14537,2480,2856,2572,5923,11016,21120,7107,6436,7133,,
M5005_Spy0427,10048,18524,8432,2168,2437,2096,7606,18439,35602,5543,4650,5704,,
M5005_Spy0428,133,292,125,203,224,234,122,247,827,193,167,165,,
M5005_Spy0429,97,247,73,99,81,113,85,151,497,149,120,143,,
M5005_Spy0430,168,401,129,103,97,112,114,242,893,184,144,193,,
M5005_Spy0431,16,27,10,5,7,5,12,12,35,12,12,18,,
M5005_Spy0432,192,325,140,37,36,44,135,293,620,141,102,121,,
M5005_Spy0433,268,442,260,76,75,69,239,401,683,182,147,155,,
M5005_Spy0434,1831,2898,1442,1795,1924,1688,1497,3317,7374,2487,2088,2180,,
M5005_Spy0435,3311,3747,3806,3815,4169,3822,3631,4304,6738,5954,5305,5967,,
M5005_Spy0436,7254,10587,7426,6325,7200,6883,7285,11083,20367,10580,9088,10578,,
M5005_Spy0437,4517,6704,4323,2164,2266,2182,4437,5926,13740,5437,4627,4972,,
M5005_Spy0438,1997,3144,1903,418,449,339,947,1301,2598,2003,1722,2122,,
M5005_Spy0439,26277,43126,21962,5264,5243,3899,10538,21594,41855,15830,13813,15452,,
M5005_Spy0440,230,243,219,156,200,197,182,241,449,228,168,158,,
M5005_Spy0441,128,157,115,44,67,46,120,172,241,85,65,54,,
M5005_Spy0442,147,140,161,61,67,60,145,177,307,109,92,88,,
M5005_Spy0443,162,280,201,95,103,101,183,210,530,118,104,109,,
M5005_Spy0444,272,364,332,149,139,138,255,259,631,179,160,160,,
M5005_Spy0445,520,843,589,234,242,237,462,663,1269,326,269,300,,
M5005_Spy0446,657,1007,662,271,266,263,585,874,1803,278,262,266,,
M5005_Spy0447,548,849,595,221,208,232,494,611,1595,252,218,230,,
M5005_Spy0448,219,268,182,80,81,82,154,216,383,128,99,103,,
M5005_Spy0449,590,646,628,297,369,329,556,611,1145,411,290,340,,
M5005_Spy0450,487,673,561,231,275,314,411,569,890,381,271,354,,
M5005_Spy0451,3,3,9,0,0,2,4,2,7,3,2,1,,
M5005_Spy0452,28,54,42,17,12,19,33,44,98,48,33,59,,
M5005_Spy0453,33,32,42,17,21,11,26,26,33,58,44,38,,
M5005_Spy0454,6,14,12,6,6,3,4,6,20,14,7,10,,
M5005_Spy0455,19,52,18,13,12,14,19,40,86,33,27,30,,
M5005_Spy0456,656,1313,750,207,213,254,627,964,1812,819,828,1238,,
M5005_Spy0457,807,1269,552,209,216,222,538,1376,3165,651,779,878,,
M5005_Spy0458,278,565,182,52,82,57,189,516,1177,271,252,349,,
M5005_Spy0459,21,37,17,14,11,11,8,24,83,23,24,43,,
M5005_Spy0460,13,21,9,13,20,16,7,15,33,31,19,28,,
M5005_Spy0461,899,965,949,945,950,1016,1047,880,1762,1893,1953,2242,,
M5005_Spy0462,2560,3795,2575,2097,2132,2319,2617,3630,8285,4345,4520,5594,,
M5005_Spy0463,7467,9618,7057,5759,4783,5177,7024,7532,22806,9071,10633,11657,,
M5005_Spy0464,4333,5127,5218,4155,3570,3822,4056,3357,7996,6175,7275,7781,,
M5005_Spy0465,1556,3305,1450,845,836,874,1084,2228,8142,1527,1539,2079,,
M5005_Spy0466,2871,3223,2925,1739,1986,2107,2127,2739,5944,3316,3139,4279,,
M5005_Spy0467,727,1108,573,296,374,354,415,712,1700,701,546,941,,
M5005_Spy0468,225,270,173,116,140,127,168,237,517,286,221,319,,
M5005_Spy0469,186,332,165,93,101,93,172,256,621,270,223,282,,
M5005_Spy0470,5598,8552,5825,3558,3089,2999,5983,8268,21052,8052,7372,6415,,
M5005_Spy0471,5139,10997,4606,3301,2940,3141,4493,8772,15329,5705,5866,5513,,
M5005_Spy0472,9427,23645,7439,4756,4331,4540,7454,18641,44194,8823,8517,8417,,
M5005_Spy0473,1635,2301,1576,605,689,542,762,1363,3267,1523,1237,1255,,
M5005_Spy0474,529,643,632,107,123,104,1095,1021,1721,181,146,172,,
M5005_Spy0475,2019,4040,1697,487,424,438,2491,4556,10842,651,492,642,,
M5005_Spy0476,1551,2860,1314,441,527,439,1716,3440,8514,580,455,663,,
M5005_Spy0477,1341,2006,1164,240,295,243,1090,2509,4008,1848,1411,2736,,
M5005_Spy0478,1311,2132,1316,337,344,360,1089,2064,4418,2710,1827,4007,,
M5005_Spy0479,1078,1257,1371,2614,5138,4486,1927,995,2218,18491,8910,28458,,
M5005_Spy0481,663,382,1155,2173,4749,3121,1800,200,394,20924,8452,23255,,
M5005_Spy0480,11221,20067,9286,1881,1891,1742,7041,14760,29691,5921,5145,4162,,
M5005_Spy0482,2059,4639,1048,444,568,666,824,3537,8798,1089,935,838,,
M5005_Spy0483,3410,5441,2994,1426,1479,1871,1924,3568,7403,3735,4292,5011,,
M5005_Spy0484,4005,6916,3467,2593,3113,3401,2497,5259,10004,4945,4096,6826,,
M5005_Spy0485,6385,9744,5728,4822,5134,5038,4972,6987,17888,8290,7068,10857,,
M5005_Spy0486,2484,1811,2888,2965,3536,3555,2644,1620,3493,4724,4342,5624,,
M5005_Spy0487,2220,3244,2021,2131,2411,2810,2019,2958,5772,3169,3112,4215,,
M5005_Spy0488,372,938,291,63,79,88,182,685,1750,197,158,337,,
M5005_Spy0489,3024,4629,3128,524,501,461,1917,3366,4963,1095,1041,1082,,
M5005_Spy0491,8936,21603,7486,1369,1406,1229,5176,13862,28010,3316,2861,3215,,
M5005_Spy0492,224,377,230,21,27,18,153,302,642,88,45,75,,
M5005_Spy0493,359,567,273,58,109,132,202,442,1125,189,185,269,,
M5005_Spy0494,1027,1842,826,82,108,92,509,963,2587,240,203,329,,
M5005_Spy0495,7498,12972,6791,1094,1299,1274,5429,12338,20385,4172,3252,4474,,
M5005_Spy0496,2943,4243,2892,330,327,296,2621,3986,7632,1153,1077,883,,
M5005_Spy0497,609,1365,528,174,182,158,504,1382,2588,481,348,380,,
M5005_Spy0498,840,1380,782,143,149,128,662,1481,2188,684,571,620,,
M5005_Spy0499,402,979,297,24,35,33,233,712,1695,217,164,187,,
M5005_Spy0500,1670,1917,1656,974,1007,1036,923,1319,2306,1316,1081,2290,,
M5005_Spy0501,485,1122,375,178,168,167,400,1022,2278,408,324,479,,
M5005_Spy0502,413,749,318,140,174,126,339,695,1406,401,344,406,,
M5005_Spy0503,1981,5161,1221,993,976,1012,1312,4663,12210,1562,1358,1631,,
M5005_Spy0504,4869,9654,3905,2570,2953,2735,4119,11133,22399,5209,4313,4822,,
M5005_Spy0505,1724,3804,1703,2205,2373,2139,2850,5509,11418,11076,10250,12777,,
M5005_Spy0506,2849,4072,2957,386,443,344,1999,3093,5778,2650,2343,2000,,
M5005_Spy0507,262,288,266,44,55,31,188,263,442,237,198,154,,
M5005_Spy0508,322344,668470,289627,129765,139076,122826,251786,581586,1225458,188645,159743,214233,,
M5005_Spy0509,24772,48516,17017,8143,7974,7154,14857,41763,78391,29680,22796,30971,,
M5005_Spy0510,7955,17044,6457,2622,2895,2270,5193,12683,26897,5470,4613,5274,,
M5005_Spy0511,10425,16317,10206,4351,4816,3815,8461,13901,24920,10261,8786,9848,,
M5005_Spy0512,5758,10318,4745,2136,2347,1918,4051,8519,16933,5900,5047,5366,,
M5005_Spy0513,154,369,180,47,52,42,162,235,540,247,192,157,,
M5005_Spy0514,8449,15609,7463,1959,2006,1844,5214,10501,23424,6101,5469,7726,,
M5005_Spy0515,1559,2549,1653,102,117,92,1265,1560,3614,878,848,986,,
M5005_Spy0516,28497,41817,25163,5144,5295,5191,22586,37491,74738,17422,15147,21486,,
M5005_Spy0517,1316,2114,1102,452,491,460,1324,2163,5070,1627,1247,1612,,
M5005_Spy0518,261,321,354,234,265,237,507,242,481,765,526,732,,
M5005_Spy0519,84,145,71,218,245,238,64,98,191,114,83,148,,
M5005_Spy0520,125,233,132,373,400,354,110,191,341,189,147,209,,
M5005_Spy0521,17,44,34,70,101,95,17,42,64,41,42,75,,
M5005_Spy0522,168,337,167,724,665,684,174,252,522,240,231,355,,
M5005_Spy0523,45,78,68,313,380,341,45,53,94,108,71,118,,
M5005_Spy0524,177,238,228,107,92,84,173,219,285,247,225,291,,
M5005_Spy0525,205,292,238,157,139,127,220,264,510,274,225,352,,
M5005_Spy0526,241,403,181,152,125,149,170,400,702,269,226,284,,
M5005_Spy0527,111,276,111,51,61,63,84,298,567,117,104,136,,
M5005_Spy0528,694,945,759,540,647,582,583,667,1125,941,779,959,,
M5005_Spy0529,5593,9508,5460,4367,4495,4457,2931,4323,9330,9823,7420,9819,,
M5005_Spy0530,14853,20370,14159,6622,6445,5999,9696,12819,26967,14851,13811,13752,,
M5005_Spy0531,3896,10542,3784,2578,2358,2280,2291,6200,13226,5063,3548,4874,,
M5005_Spy0532,16770,28308,13926,8852,7665,6750,9649,17196,39839,13995,12694,12132,,
M5005_Spy0533,2135,2996,1970,3239,3848,4353,1151,2018,4012,4204,2992,4232,,
M5005_Spy0534,1175,1650,885,20977,21579,25665,999,1947,4280,10199,11433,15122,,
M5005_Spy0535,432,581,382,10054,9980,13166,501,777,1806,5961,5834,9653,,
M5005_Spy0536,4769,7716,4139,3308,3442,2860,3369,6332,11854,5842,4949,5913,,
M5005_Spy0537,10175,16472,9579,2283,2358,2081,7400,12856,23199,4895,4596,4787,,
M5005_Spy0538,12267,15018,12298,2065,2034,1963,8695,12614,20129,5084,4088,4721,,
M5005_Spy0539,6771,11211,6288,5244,5114,5401,5878,8600,20244,11702,11131,14370,,
M5005_Spy0540,11676,21223,9317,6314,6303,6540,8564,17986,42113,14383,13531,18521,,
M5005_Spy0541,5515,13455,4182,2050,2238,2175,3734,11338,27774,6237,5087,7966,,
M5005_Spy0542,2811,5538,2288,2316,2609,2277,1954,4231,9023,3480,3034,2764,,
M5005_Spy0543,1853,2521,1733,950,1080,900,1008,1795,2851,2570,2319,2137,,
M5005_Spy0544,2364,3614,2198,2565,2616,2481,1017,1727,3015,5393,4710,4324,,
M5005_Spy0545,5198,13109,4550,7124,7994,7684,2070,5830,12852,12045,9435,10554,,
M5005_Spy0546,22002,41249,13739,997,1445,1186,9821,34150,71684,4600,3740,5556,,
M5005_Spy0547,5311,4052,7724,1765,2474,2132,6039,5096,8017,5037,3406,4631,,
M5005_Spy0548,8796,9350,9576,1171,1058,945,7803,7442,17605,5161,5294,6001,,
M5005_Spy0549,716,1008,843,110,141,138,537,754,1325,449,307,460,,
M5005_Spy0550,2561,4221,2587,451,459,462,1889,3349,5945,1137,1049,1178,,
M5005_Spy0551,21861,33239,17623,814,729,619,15995,29047,58862,5017,4790,6746,,
M5005_SpyT0045,11,12,16,0,0,0,15,8,15,3,1,4,,
M5005_Spy0552,2443,3783,2370,410,374,381,1861,2666,5664,1545,1529,2186,,
M5005_Spy0553,23051,39007,21159,10288,10046,9830,16184,28249,57264,20030,16492,27379,,
M5005_Spy0554,32829,45308,31105,10062,9810,9585,22387,32355,64805,18390,15368,23411,,
M5005_Spy0555,1707,2934,1431,622,704,625,1274,2656,4429,1270,998,1385,,
M5005_Spy0556,83262,184761,59567,29178,34652,33273,56978,194198,364524,73757,59097,75379,,
M5005_Spy0557,186,255,178,471,574,577,111,152,409,227,154,283,,
M5005_Spy0558,123,125,100,387,507,449,64,82,274,158,130,176,,
M5005_Spy0559,699,879,601,2386,2593,2487,355,651,1300,782,715,859,,
M5005_Spy0560,1201,1806,1126,6124,6501,6345,720,1064,2219,1731,1352,1968,,
M5005_Spy0561,587,654,521,369,370,379,378,546,994,213,172,232,,
M5005_Spy0562,1222,2292,814,1166,1321,1698,317,936,2744,505,505,538,,
M5005_Spy0563,1229,1581,1377,3757,4271,4439,573,781,1311,517,444,767,,
M5005_Spy0564,1784,2245,1872,4218,5054,4962,692,1145,1791,667,558,959,,
M5005_Spy0565,5374,8552,4718,9297,9720,9981,1781,3495,7579,1589,1221,2201,,
M5005_Spy0566,454,557,586,834,1212,1416,168,257,382,232,168,326,,
M5005_Spy0567,1609,2607,1340,2052,2597,2805,466,1233,2183,582,418,761,,
M5005_Spy0568,2134,3318,2061,3353,3459,3866,804,1428,2908,842,746,1102,,
M5005_Spy0569,2159,2428,2245,3310,3666,3688,789,1179,1981,866,759,1040,,
M5005_Spy0570,3048,5086,2781,3415,3855,4185,983,2161,4156,1136,832,1459,,
M5005_Spy0571,7441,11619,7154,5442,5781,5733,8521,15871,30481,5258,4063,4734,,
M5005_Spy0572,4520,7190,3962,774,1067,897,3442,8739,20984,2067,1590,1797,,
M5005_Spy0573,8066,11236,7719,5216,5520,5741,4755,6981,13660,7800,7054,11156,,
M5005_Spy0574,7500,9621,6944,3285,3467,3511,4594,6408,13022,5554,5264,7560,,
M5005_Spy0575,6856,3743,8753,2343,2454,2236,6537,3897,6058,6596,6557,4188,,
M5005_Spy0576,31731,36179,29867,9560,9922,8197,23642,36249,73185,27511,24423,18740,,
M5005_Spy0577,10265,16253,9481,3477,3795,3234,7633,16916,28789,10037,7986,6636,,
M5005_Spy0578,3406,3936,4023,1698,2130,1895,3057,4043,6118,4161,3514,2815,,
M5005_Spy0579,28025,55158,22565,13439,13177,12665,18577,43195,103661,24029,20060,17916,,
M5005_Spy0580,13134,19684,12317,8304,8336,7130,9402,17276,34883,11317,9724,8007,,
M5005_Spy0581,40198,68580,31358,21632,22170,19179,24965,61896,133426,32307,28200,23703,,
M5005_Spy0582,15166,29435,12349,7815,8378,7178,10272,25687,49584,13969,10640,9790,,
M5005_Spy0583,4083,5673,3116,947,997,895,2287,4960,13510,1744,1725,1697,,
M5005_Spy0584,8998,16159,7721,1575,1854,1787,6786,12892,24395,6333,5795,5966,,
M5005_Spy0585,1836,3917,1516,209,255,209,1242,2929,8472,1053,766,918,,
M5005_Spy0586,1521,3290,1671,196,193,165,1454,2224,6208,1056,823,1068,,
