,copY_Cu1,copY_Cu2,copY_Cu3,copY_Cu4
CHF17_RS03315,20633,25250,29603,16784
CHF17_RS03320,2425,3203,3367,2085
CHF17_RS03325,7119,5704,6518,5145
CHF17_RS03330,6157,4703,5180,4127
CHF17_RS03335,6391,4186,3584,5157
CHF17_RS03340,9526,9140,10562,6639
CHF17_RS03345,16389,18612,22108,11067
CHF17_RS03350,29174,34266,42358,17740
CHF17_RS03355,9920,11046,14782,4861
CHF17_RS03360,17711,19504,27564,8528
CHF17_RS03365,2155,1698,1798,1493
CHF17_RS03370,4524,3872,4772,4897
CHF17_RS03375,3803,5364,6025,4770
CHF17_RS03380,4164,6446,8315,5451
CHF17_RS03385,12850,15323,17187,11398
CHF17_RS03390,29434,19930,25155,23445
CHF17_RS03395,51629,53058,63753,31559
CHF17_RS03400,7312,4813,5621,5047
CHF17_RS03405,11109,3697,5647,13781
CHF17_RS03410,13106,6539,7382,9539
CHF17_RS03415,1842,2680,3629,1485
CHF17_RS03420,5468,9717,13195,5652
CHF17_RS03425,52062,49161,48262,27532
CHF17_RS03430,13539,11786,12151,7634
CHF17_RS03435,6329,4780,5730,3483
CHF17_RS03440,541,761,1230,352
CHF17_RS03445,691,1143,1583,439
CHF17_RS03450,318,636,724,194
CHF17_RS03455,461,970,1250,302
CHF17_RS03460,355,824,1077,237
CHF17_RS03465,93,242,361,60
CHF17_RS03470,458,1341,2344,440
CHF17_RS03475,387,1229,2093,344
CHF17_RS03480,1388,4447,6359,1301
CHF17_RS03485,589,564,1051,395
CHF17_RS03490,2035,1578,2821,1106
CHF17_RS03495,1391,1530,2266,962
CHF17_RS03500,1435,1678,1070,585
CHF17_RS03505,1453,1658,1031,775
CHF17_RS03510,13715,10932,13830,8101
CHF17_RS03515,4077,5069,6014,2945
CHF17_RS03520,16869,28037,35672,15778
CHF17_RS03525,52209,72383,91545,34930
CHF17_RS03530,3437,2516,2955,2323
CHF17_RS03535,2025,1352,1768,1649
CHF17_RS03540,3460,2504,3295,3102
CHF17_RS03545,619687,465803,474603,399517
CHF17_RS03550,13702,11928,13601,9667
CHF17_RS03555,4588,4681,5316,4195
CHF17_RS03560,1575,1742,2258,1851
CHF17_RS03565,5394,6419,7910,5872
CHF17_RS03570,6963,6141,7858,4450
CHF17_RS03575,783,657,859,438
CHF17_RS03580,890,888,1144,554
CHF17_RS03585,468,447,610,276
CHF17_RS03590,10,16,17,8
CHF17_RS03595,5,13,13,4
CHF17_RS03600,23,42,75,30
CHF17_RS03605,1,2,6,0
CHF17_RS03610,1,6,3,1
CHF17_RS03615,5,16,23,4
CHF17_RS03620,0,3,4,5
CHF17_RS03625,3,6,7,2
CHF17_RS03630,19,41,53,14
CHF17_RS03635,24,25,39,18
CHF17_RS03640,1,3,1,1
CHF17_RS03645,9,18,19,6
CHF17_RS03650,4,22,22,13
CHF17_RS03655,112,97,92,49
CHF17_RS03660,4554,3201,3629,2195
CHF17_RS03665,118,208,249,63
CHF17_RS03670,36,89,105,35
CHF17_RS03675,17,23,31,17
CHF17_RS03680,52477,36850,35225,32084
CHF17_RS03685,10,37,54,11
CHF17_RS03690,10,64,68,10
CHF17_RS03695,1,9,16,0
CHF17_RS03700,33,159,160,40
CHF17_RS03705,23,50,66,15
CHF17_RS03710,108,392,433,90
CHF17_RS03715,24,63,102,35
CHF17_RS03720,648,403,494,267
CHF17_RS03725,558,598,779,376
CHF17_RS03730,469,679,972,386
CHF17_RS03735,127,216,295,108
CHF17_RS03740,207,422,569,209
CHF17_RS03745,272,477,775,232
CHF17_RS03750,21,28,47,13
CHF17_RS03755,3,9,13,4
CHF17_RS03760,2,13,14,1
CHF17_RS03765,6,39,51,22
CHF17_RS03770,0,2,5,3
CHF17_RS03775,14,51,108,23
CHF17_RS03780,4,23,27,7
CHF17_RS03785,14,38,47,14
CHF17_RS03790,13,54,52,16
CHF17_RS03795,94,259,355,108
CHF17_RS03800,53,61,73,33
CHF17_RS03805,3,3,1,3
CHF17_RS03810,3,1,3,1
CHF17_RS03815,23,51,57,29
CHF17_RS03820,2065,3967,5328,1291
CHF17_RS03825,309,519,722,144
CHF17_RS03830,2202,2087,3002,1467
CHF17_RS03835,254,289,340,158
CHF17_RS03840,2,7,11,5
CHF17_RS03845,3,3,7,2
CHF17_RS03850,4,10,28,10
CHF17_RS03855,2,5,10,3
CHF17_RS03860,0,4,3,0
CHF17_RS03865,3,5,8,1
CHF17_RS03870,2233,1648,2090,1886
CHF17_RS03875,165,181,259,172
CHF17_RS03880,1848,1970,2172,1300
CHF17_RS03885,100,99,132,71
CHF17_RS03890,42,61,110,40
CHF17_RS03895,6,17,24,6
CHF17_RS03900,7,11,20,6
CHF17_RS03905,1144,2584,3491,1492
CHF17_RS03910,331,796,1025,414
CHF17_RS03915,1540,2225,2895,1278
CHF17_RS03920,1727,2055,2813,1138
CHF17_RS03925,205,203,319,166
CHF17_RS03930,314,480,578,274
CHF17_RS03935,2310,2796,3442,2234
CHF17_RS03940,180,347,401,214
CHF17_RS03945,478,777,915,546
CHF17_RS03950,3130,3157,3943,2911
CHF17_RS03955,732,923,1100,670
CHF17_RS03960,144,434,477,231
CHF17_RS03965,155,423,443,205
CHF17_RS03970,173,385,398,282
CHF17_RS03975,968,1331,1646,967
CHF17_RS03980,94,190,234,96
CHF17_RS03985,40,66,75,22
CHF17_RS03990,11,25,24,10
CHF17_RS03995,15,23,24,11
CHF17_RS04000,551,587,873,432
CHF17_RS04005,603,917,1052,479
CHF17_RS04010,4,12,10,5
CHF17_RS04015,9602,16700,23291,6263
CHF17_RS04020,1282,2140,2460,835
CHF17_RS04025,952,1606,2119,600
CHF17_RS04030,631,1468,1835,481
CHF17_RS04035,517,975,827,248
CHF17_RS04040,1945,4677,4865,2012
CHF17_RS04045,1279,4281,3793,1585
CHF17_RS04050,331,1121,993,428
CHF17_RS04055,1863,5995,5494,2500
CHF17_RS04060,3535,12728,11657,5850
CHF17_RS04065,3437,12806,12664,5903
CHF17_RS04070,6811,30287,31416,13656
CHF17_RS04075,2028,10705,11187,4907
CHF17_RS04080,4991,33891,33984,13542
CHF17_RS04085,5119,19879,22663,7244
CHF17_RS04090,3465,12451,13209,4333
CHF17_RS04095,128,107,171,189
CHF17_RS04100,247,204,258,300
CHF17_RS04105,752,759,1007,1111
CHF17_RS04110,411,540,708,644
CHF17_RS04115,64,65,67,60
CHF17_RS04120,43,52,45,31
CHF17_RS04125,3,6,10,8
CHF17_RS04130,19,28,54,37
CHF17_RS04135,34,48,52,38
CHF17_RS04140,95,144,207,90
CHF17_RS04145,226,250,350,238
CHF17_RS04150,184,202,302,223
CHF17_RS04155,67,111,112,68
CHF17_RS04160,127,141,187,154
CHF17_RS04165,6444,5012,5895,4641
CHF17_RS04170,884,1183,1325,1053
CHF17_RS04175,1111,1000,1092,835
CHF17_RS04180,132,466,466,186
CHF17_RS04185,222,738,710,280
CHF17_RS04190,915,579,611,642
CHF17_RS04195,2996,2029,2556,2044
CHF17_RS04200,548,1109,1208,695
CHF17_RS04205,572,1087,1156,619
CHF17_RS04210,24,40,64,24
CHF17_RS04215,64,68,83,36
CHF17_RS04220,551,831,1024,461
CHF17_RS04225,5131,3384,3892,3644
CHF17_RS04230,118,108,113,124
CHF17_RS04235,131,157,178,137
CHF17_RS04240,115,182,219,138
CHF17_RS04245,114,194,214,134
CHF17_RS04250,43,76,87,88
CHF17_RS04255,373,441,489,349
CHF17_RS04260,11090,6319,7407,6619
CHF17_RS04265,11655,17707,21693,9659
CHF17_RS04270,4672,5460,6345,5103
CHF17_RS04275,9001,11940,14142,9162
CHF17_RS04280,17016,20129,25017,14420
CHF17_RS04285,35851,52721,58501,30849
CHF17_RS04290,274,420,498,211
CHF17_RS04295,2654,1626,1846,1963
CHF17_RS04300,7081,7442,6956,3712
CHF17_RS04305,3935,8503,11571,7289
CHF17_RS04310,3130,8644,10692,7024
CHF17_RS04315,3209,10459,13463,9580
CHF17_RS04320,2381,8185,10528,7762
CHF17_RS04325,7374,9633,9996,5898
CHF17_RS04330,16628,28637,31975,13815
CHF17_RS04335,9460,17363,18407,7381
CHF17_RS04340,4444,8034,8248,3259
CHF17_RS04345,1615,1689,1886,1313
CHF17_RS04350,15272,23308,26879,11096
CHF17_RS04355,2978,2613,2727,2082
CHF17_RS04360,3640,4169,4915,4009
CHF17_RS04365,3484,8047,10226,8018
CHF17_RS04370,490,848,911,398
CHF17_RS04375,13781,14581,15385,9263
CHF17_RS04380,14536,13862,14825,9204
CHF17_RS04385,1185,1320,1271,850
CHF17_RS04390,234,274,333,149
CHF17_RS04395,10416,19684,22612,10169
CHF17_RS04400,2104,3994,4654,1950
CHF17_RS04405,2263,3919,4051,2191
CHF17_RS04410,1501,2401,2527,1738
CHF17_RS04415,4994,9033,9869,5991
CHF17_RS04420,6331,11599,13006,7863
CHF17_RS04425,3989,5750,6786,3885
CHF17_RS04430,7458,10242,12058,6939
CHF17_RS04435,21392,22096,26514,12412
CHF17_RS04440,7851,8330,9481,5195
CHF17_RS04445,17136,22727,25826,14302
CHF17_RS04450,2697,3109,4065,2092
CHF17_RS04455,1760,948,1192,1415
CHF17_RS04460,15657,9842,10910,10193
CHF17_RS04465,2681,699,1121,1240
CHF17_RS04470,1161,403,719,918
CHF17_RS04475,3575,941,1614,2124
CHF17_RS04480,2202,409,634,875
CHF17_RS04485,94395,62016,77698,54492
CHF17_RS04490,13431,5605,6420,6522
CHF17_RS04495,6750,5513,5319,3836
CHF17_RS04500,3528,3198,3533,2123
CHF17_RS04505,855,628,844,487
CHF17_RS04510,13583,17247,18302,9767
CHF17_RS04515,970,869,919,749
CHF17_RS04520,7922,5289,6280,4965
CHF17_RS04525,24807,21600,22287,16752
CHF17_RS04530,96256,79418,102244,74846
CHF17_RS04535,7444,9663,12555,5788
CHF17_RS04540,853144,882196,1072875,606935
CHF17_RS04545,125340,106630,113812,76806
CHF17_RS04550,163236,131483,140058,97065
CHF17_RS04555,20822,25917,32004,15469
CHF17_RS04560,6972,8024,10435,4597
CHF17_RS04565,33886,29151,33609,20783
CHF17_RS04570,17011,14478,17697,11948
CHF17_RS04575,9317,4954,6418,10269
CHF17_RS04580,8851,13277,17110,6560
CHF17_RS04585,1604,8557,11765,1851
CHF17_RS04590,16314,18626,24089,9040
CHF17_RS04595,1321,1106,1068,691
CHF17_RS04600,920,670,1146,686
CHF17_RS04605,1311,1007,1621,877
CHF17_RS04610,2445,1970,2787,1644
CHF17_RS04615,158039,188534,247355,99620
CHF17_RS04620,1995,1739,2061,1376
CHF17_RS04625,4851,4044,4926,3149
CHF17_RS04630,6301,7297,8287,3829
CHF17_RS04635,850,1008,1150,693
CHF17_RS04640,329,244,366,274
CHF17_RS04645,610,496,628,445
CHF17_RS04650,2062,1635,1905,1205
CHF17_RS04655,2912,1643,2409,1772
CHF17_RS04660,489,428,525,287
CHF17_RS04665,4793,4237,5704,3124
CHF17_RS04670,27292,16801,18983,21430
CHF17_RS04675,536,562,713,327
CHF17_RS04680,357,740,836,265
CHF17_RS04685,1450,1173,1377,909
CHF17_RS04690,3328,2417,3012,2215
CHF17_RS04695,99,143,172,105
CHF17_RS04700,363,448,544,288
CHF17_RS04705,6272,4590,5654,3984
CHF17_RS04710,5552,8251,9554,4438
CHF17_RS04715,4626,5524,7003,3600
CHF17_RS04720,91,308,361,93
CHF17_RS04725,3968,874,1334,2287
CHF17_RS04730,1420,627,741,789
CHF17_RS04735,636,557,638,378
CHF17_RS04740,108,104,105,70
CHF17_RS04745,10234,6477,8721,5092
CHF17_RS04750,880,559,672,532
CHF17_RS04755,29528,22934,26164,18665
CHF17_RS04760,1435,2569,2964,1730
CHF17_RS04765,3034,4462,5319,2519
CHF17_RS04770,53977,43368,45790,33725
CHF17_RS04775,5379,6032,6662,4288
CHF17_RS04780,14945,39438,46209,25694
CHF17_RS04785,1630,3856,4097,1980
CHF17_RS04790,4220,2647,2885,3281
CHF17_RS04795,350,51,77,191
CHF17_RS04800,596,87,101,339
CHF17_RS04805,542,85,98,339
CHF17_RS04810,1544,180,228,1085
CHF17_RS04815,8764,909,1253,4456
CHF17_RS04820,28194,22155,32561,17024
CHF17_RS04825,59361,48932,66042,37765
CHF17_RS04830,8953,3968,5068,5009
CHF17_RS04835,23709,23321,25008,20594
CHF17_RS04840,340689,351639,390700,246529
CHF17_RS04845,57435,68362,68533,49130
CHF17_RS04850,10848,7370,9855,6433
CHF17_RS04855,14742,9811,13703,9272
CHF17_RS04860,15054,7246,9039,8967
CHF17_RS04865,5374,3920,4531,3425
CHF17_RS04870,33298,30482,34919,20767
CHF17_RS04875,1267,1260,1359,1057
CHF17_RS04880,7603,6191,7279,6234
CHF17_RS04885,37508,31058,32975,23188
CHF17_RS04890,3341,2860,2734,1896
CHF17_RS04895,266,945,1292,200
CHF17_RS04900,195,602,802,170
CHF17_RS04905,247,25,66,116
CHF17_RS04910,245,31,57,121
CHF17_RS04915,388,78,102,216
CHF17_RS04920,199,45,58,164
CHF17_RS04925,285,47,66,212
CHF17_RS04930,223,59,61,167
CHF17_RS04935,217,62,74,213
CHF17_RS04940,140,56,69,177
CHF17_RS04945,4623,11986,15531,4165
CHF17_RS04950,1469,1600,2306,1300
CHF17_RS04955,3866,5320,6955,3890
CHF17_RS04960,3276,5831,7477,4188
CHF17_RS04965,5130,9461,13280,6165
CHF17_RS04970,938,1125,1459,761
CHF17_RS04975,14977,14968,16699,7146
CHF17_RS04980,8310,8228,9789,7023
CHF17_RS04985,2966,4700,5805,4313
CHF17_RS04990,10653,15859,19294,13718
CHF17_RS04995,2626,1311,1432,3266
CHF17_RS05000,1634,1160,1387,3001
CHF17_RS05005,1241,1124,1326,2431
CHF17_RS05010,1876,1505,1706,2955
CHF17_RS05015,918,1390,1225,1289
CHF17_RS05020,54753,57107,68886,66024
CHF17_RS05025,33435,40470,44255,38675
CHF17_RS05030,28279,37887,45395,38885
CHF17_RS05035,45222,90609,107167,100838
CHF17_RS05040,28772,64919,83885,77024
CHF17_RS05045,49778,118740,135028,116734
CHF17_RS05050,22097,41703,49662,37931
CHF17_RS05055,1682,3350,3716,3208
CHF17_RS05060,10764,12144,14106,9229
CHF17_RS05065,1888,2084,2218,1544
CHF17_RS05070,2677,4416,5436,2595
CHF17_RS05075,12589,12959,15627,10841
CHF17_RS05080,5193,6735,8539,5474
CHF17_RS05085,15332,30157,39509,20856
CHF17_RS05090,736,795,989,776
CHF17_RS05095,4833,6082,7633,4153
CHF17_RS05100,10316,17499,21696,9665
CHF17_RS05105,5783,7261,9025,4268
CHF17_RS05110,9114,8630,10159,5726
CHF17_RS05115,4509,5342,6612,3367
CHF17_RS05120,11553,12168,15737,11143
CHF17_RS05125,14198,16398,20483,15142
CHF17_RS05130,6887,17896,22431,13627
CHF17_RS05135,29209,42785,50087,31835
CHF17_RS05140,5828,7138,8407,5330
CHF17_RS05145,374,385,476,313
CHF17_RS05150,493,834,904,397
CHF17_RS05155,10436,9593,11119,6361
CHF17_RS05160,15826,13318,14994,9413
CHF17_RS05165,7891,7947,9038,5465
CHF17_RS05170,9407,11868,14153,7971
CHF17_RS05175,20468,22814,26632,15718
CHF17_RS05180,1119,1373,1508,921
CHF17_RS05185,368,477,497,326
CHF17_RS05190,4871,4912,6739,3694
CHF17_RS05195,3011,3478,4878,2409
CHF17_RS05200,5267,5132,6190,3949
CHF17_RS05205,6581,5734,7940,4835
CHF17_RS05210,3667,6916,8396,4843
CHF17_RS05215,1000,1898,2326,1201
CHF17_RS05220,237,364,430,189
CHF17_RS05225,695,1021,1259,590
CHF17_RS05230,139,239,293,113
CHF17_RS05235,7298,6071,6066,4953
CHF17_RS05240,26197,27176,33959,16077
CHF17_RS05245,1817,3652,4521,2202
CHF17_RS05250,1964,1925,1957,1138
CHF17_RS05255,1591,1545,1402,909
CHF17_RS05260,2033,2012,1898,1163
CHF17_RS05265,1165,1810,2270,1296
CHF17_RS05270,1884,1803,2361,1412
CHF17_RS05275,4307,3141,3581,3151
CHF17_RS05280,251672,280926,272087,279133
CHF17_RS05285,5408,5595,5671,4258
CHF17_RS05290,38405,26847,33990,30915
CHF17_RS05295,33330,21764,27840,27070
CHF17_RS05300,19109,12652,15395,14832
CHF17_RS05305,9575,8026,9814,7109
CHF17_RS05310,84990,97787,111383,88654
CHF17_RS05315,281954,310857,383508,261471
CHF17_RS05320,10782,7015,8840,9187
CHF17_RS05325,2866,2209,2452,2497
CHF17_RS05330,10814,49978,52529,7252
CHF17_RS05335,726,1575,1388,227
CHF17_RS05340,4105,6080,8153,2000
CHF17_RS05345,6718,10544,13918,3162
CHF17_RS05350,9285,14473,20492,4686
CHF17_RS05355,25016,26419,27896,14517
CHF17_RS05360,6855,6394,6276,4206
CHF17_RS05365,2679,2691,3369,1560
CHF17_RS05370,3468,3458,5057,2966
CHF17_RS05375,66012,35796,51366,77340
CHF17_RS05380,28304,35286,50294,40399
CHF17_RS05385,31707,36017,50115,39395
CHF17_RS05390,36230,36063,48700,36338
CHF17_RS05395,36647,48994,57315,23225
CHF17_RS05400,199305,143351,151914,97051
CHF17_RS05405,19243,36648,42156,18632
CHF17_RS05410,14839,23829,27340,11869
CHF17_RS05415,8823,12627,14753,6563
CHF17_RS05420,6717,9006,8675,4252
CHF17_RS05425,5520,5860,8397,3435
CHF17_RS05430,44256,60945,78185,40407
CHF17_RS05435,2337,1774,2037,1697
CHF17_RS05440,21109,18901,21406,15217
CHF17_RS05445,2848,2652,3644,2676
CHF17_RS05450,6524,5083,6723,5303
CHF17_RS05455,3588,3913,4401,3431
CHF17_RS05460,217,304,430,202
CHF17_RS05465,808,653,810,622
CHF17_RS05470,3986,3323,4165,3063
CHF17_RS05475,1944,1837,2071,1494
CHF17_RS05480,4031,3813,4366,3001
CHF17_RS05485,2788,2932,3527,1960
CHF17_RS05490,1298,1444,1823,1054
CHF17_RS05495,2875,1997,2736,1983
CHF17_RS05500,2992,1992,2717,1907
CHF17_RS05505,29664,30783,34848,18310
CHF17_RS05510,5816,5749,7062,3849
CHF17_RS05515,9313,13215,14939,6969
CHF17_RS05520,3940,5144,5625,2944
CHF17_RS05525,56735,59416,68559,41104
CHF17_RS05530,7155,11354,13986,4623
CHF17_RS05535,7893,13550,16940,5792
CHF17_RS05540,7515,13125,17679,6206
CHF17_RS05545,7464,11416,14493,5464
CHF17_RS05550,8607,11365,14011,5775
CHF17_RS05555,8722,9225,11884,5000
CHF17_RS05560,5129,4613,5523,3725
CHF17_RS05565,13875,11223,13721,6903
CHF17_RS05570,5573,4756,5598,2816
CHF17_RS05575,15606,12051,16495,8811
CHF17_RS05580,5507,6965,9030,4713
CHF17_RS05585,5685,6273,8179,4865
CHF17_RS05590,5617,4788,6664,4702
CHF17_RS05595,15499,12834,17724,12277
CHF17_RS05600,6278,4681,5889,4649
CHF17_RS05605,10613,12146,13151,6892
CHF17_RS05610,3707,5326,7198,3141
CHF17_RS05615,1258,1486,1822,1047
CHF17_RS05620,27277,23703,31989,17672
CHF17_RS05625,125,163,195,114
CHF17_RS05630,14284,10884,16615,7276
CHF17_RS05635,7788,7046,11099,4075
CHF17_RS05640,10258,8302,14547,5277
CHF17_RS05645,12427,8485,13339,6296
CHF17_RS05650,5450,4330,5178,3725
CHF17_RS05655,9600,7662,11059,6363
CHF17_RS05660,9500,7887,10656,6727
CHF17_RS05665,1411,413,736,384
CHF17_RS05670,2813,2529,2523,4156
CHF17_RS05675,1283,1378,1743,839
CHF17_RS05680,2486,2815,3641,1959
CHF17_RS05685,277,256,379,570
CHF17_RS05690,377,430,563,950
CHF17_RS05695,130,157,141,197
CHF17_RS05700,500,481,765,1283
CHF17_RS05705,1011,909,1372,2559
CHF17_RS05710,329,286,448,790
CHF17_RS05715,807,707,810,1652
CHF17_RS05720,1475,1143,1406,3483
CHF17_RS05725,8146,1493,1756,16474
CHF17_RS05730,14045,2659,2890,31557
CHF17_RS05735,15711,2463,3747,37344
CHF17_RS05740,62124,9314,10431,205583
CHF17_RS05745,27744,2024,2364,71057
CHF17_RS05750,4512,304,346,11527
CHF17_RS05755,10066,651,823,28668
CHF17_RS05760,53753,3850,4582,155710
CHF17_RS05765,9672,708,839,25128
CHF17_RS05770,9731,574,753,26945
CHF17_RS05775,100932,2855,3485,265983
CHF17_RS05780,34477,771,963,88171
CHF17_RS05785,34675,675,817,85125
CHF17_RS05790,79198,5793,7905,135677
CHF17_RS05795,40080,2155,2903,57812
CHF17_RS05800,66346,2625,3172,91238
CHF17_RS05805,11582,18525,24156,9517
CHF17_RS05810,12869,18803,23987,9219
CHF17_RS05815,8070,5015,5578,6239
CHF17_RS05820,4745,2322,2634,3156
CHF17_RS05825,76,89,136,55
CHF17_RS05830,13300,11570,15412,11311
CHF17_RS05835,20703,25046,33695,35587
CHF17_RS05840,2713,4134,5532,3587
CHF17_RS05845,2687,4166,5456,3412
CHF17_RS05850,3537,4656,5980,3740
CHF17_RS05855,1585,1893,2526,1551
CHF17_RS05860,7377,8408,11168,6570
CHF17_RS05865,4602,7502,9617,5018
CHF17_RS05870,4740,5172,6969,4163
CHF17_RS05875,2287,1307,1579,1350
CHF17_RS05880,2824,1597,2178,1621
CHF17_RS05885,11762,4961,5967,5911
CHF17_RS05890,58284,32931,37107,36720
CHF17_RS05895,2277,1771,2299,1362
CHF17_RS05900,6695,12547,15629,5752
CHF17_RS05905,4404,9196,12073,5160
CHF17_RS05910,3542,5060,6483,3633
CHF17_RS05915,8592,11490,15927,10137
CHF17_RS05920,8133,11872,14741,11010
CHF17_RS05925,2180,4039,4977,3829
CHF17_RS05930,3129,5733,7770,5571
CHF17_RS05935,5959,7351,9306,7476
CHF17_RS05940,5843,4525,5566,4836
CHF17_RS05945,514,477,362,356
CHF17_RS05950,7045,5687,5098,4539
CHF17_RS05955,5138,4925,4777,3418
CHF17_RS05960,8757,9168,9538,6381
CHF17_RS05965,2050,2160,2472,1351
CHF17_RS05970,6240,30070,50809,4996
CHF17_RS05975,2115,10010,16575,1712
CHF17_RS05980,60546,19445,22406,71430
CHF17_RS05985,5258,2671,3403,2632
CHF17_RS05990,1638,1495,2178,1260
CHF17_RS05995,29471,29143,39022,21470
CHF17_RS06000,1937,1058,1337,1780
CHF17_RS06005,33762,27243,31754,23198
CHF17_RS06010,3537,6258,7483,3055
CHF17_RS06015,4170,5714,7080,3504
CHF17_RS06020,4658,5076,5670,3055
CHF17_RS06025,3829,1495,1887,2496
CHF17_RS06030,25344,19646,21798,20353
CHF17_RS06035,31410,28660,33650,26245
CHF17_RS06040,13142,11516,15171,11489
CHF17_RS06045,5744,4406,5094,4350
CHF17_RS06050,2593,1898,2417,2019
CHF17_RS06055,12641,6271,8083,8216
CHF17_RS06060,1147,1340,1875,1073
CHF17_RS06065,4006,2637,3514,2712
CHF17_RS06070,3253,2114,2689,2361
CHF17_RS06075,2,2,4,0
CHF17_RS06080,1390,1066,1375,728
CHF17_RS06085,15226,11454,11845,9112
CHF17_RS06090,8593,13064,17381,5337
CHF17_RS06095,6049,9497,13219,3983
CHF17_RS06100,8090,13293,17371,5814
CHF17_RS06105,9211,13995,18019,6356
CHF17_RS06110,5135,7203,8449,3219
CHF17_RS06115,3431,5497,5717,2553
CHF17_RS06120,2611,4253,4975,2495
CHF17_RS06125,4199,8467,8830,5254
CHF17_RS06130,2335,4873,5497,3216
CHF17_RS06135,6516,10586,11872,7391
CHF17_RS06140,5273,5965,7256,4804
CHF17_RS06145,4440,5217,5582,4260
CHF17_RS06150,3273,4707,5465,4278
CHF17_RS06155,4013,3258,3578,2738
CHF17_RS06160,19521,16185,16798,13634
CHF17_RS06165,6302,8319,8999,5230
CHF17_RS06170,3330,4296,4773,2578
CHF17_RS06175,17474,8559,10652,10132
CHF17_RS06180,2142,1155,1872,928
CHF17_RS06185,141,164,223,136
CHF17_RS06190,1625,1413,1938,1054
CHF17_RS06195,6569,3703,5225,4250
CHF17_RS06200,2773,2637,3155,1689
CHF17_RS06205,6280,5910,7155,4217
CHF17_RS06210,13467,13031,15101,8542
CHF17_RS06215,8434,21912,21980,9936
CHF17_RS06220,2730,7757,7962,3480
CHF17_RS06225,4522,12448,14031,6423
CHF17_RS06230,1152,3829,4316,1930
CHF17_RS06235,2239,7515,8393,4003
CHF17_RS06240,935,3382,3623,2020
CHF17_RS06245,1363,4552,4834,2605
CHF17_RS06250,11347,22994,26819,6854
CHF17_RS06255,4680,601,740,3547
CHF17_RS06260,300536,8761,11712,181995
CHF17_RS06265,940,1762,2327,807
CHF17_RS06270,5055,4282,6050,3480
CHF17_RS06275,1980,2432,3272,1321
CHF17_RS06280,7401,6133,8271,5535
CHF17_RS06285,9984,8745,12031,8027
CHF17_RS06290,355,382,400,327
CHF17_RS06295,468044,363909,427040,261874
CHF17_RS06300,5021,5064,5015,2915
CHF17_RS06305,777,935,675,514
CHF17_RS06310,4481,2702,3303,2529
CHF17_RS06315,40803,30618,34607,20696
CHF17_RS06320,22390,18773,24613,16534
CHF17_RS06325,14628,10353,12931,11304
CHF17_RS06330,9358,6388,7019,6096
CHF17_RS06335,4155,3606,4244,2824
CHF17_RS06340,10081,13691,17737,8911
CHF17_RS06345,20532,35842,46035,18412
CHF17_RS06350,9505,19328,24757,9843
CHF17_RS06355,13815,31397,41857,17406
CHF17_RS06360,11285,25552,32909,13083
CHF17_RS06365,20161,35308,49514,20900
CHF17_RS06370,20108,29847,43779,19190
CHF17_RS06375,18056,24078,38748,15710
CHF17_RS06380,22322,30147,44415,19697
CHF17_RS06385,20960,25621,43643,17501
CHF17_RS06390,7554,10757,13211,5769
CHF17_RS06395,10401,15281,20266,8786
CHF17_RS06400,34934,47388,66606,27421
CHF17_RS06405,26143,31913,40382,18683
CHF17_RS06410,28687,32358,43981,20531
CHF17_RS06415,17204,17996,23449,10669
CHF17_RS06420,53986,50862,68082,37685
CHF17_RS06425,4230,3373,4394,2555
CHF17_RS06430,1474,1608,1876,1147
CHF17_RS06435,13758,16166,20024,13137
CHF17_RS06440,10623,12686,14887,11353
CHF17_RS06445,9225,18590,23051,13876
CHF17_RS06450,4027,9334,10611,8449
CHF17_RS06455,2309,4152,5344,4414
CHF17_RS06460,5687,10514,12599,9881
CHF17_RS06465,2483,3766,4386,3535
CHF17_RS06470,8073,8563,10375,6977
CHF17_RS06475,4545,5200,5707,3875
CHF17_RS06480,20523,24661,29544,16564
CHF17_RS06485,2981,2911,3641,1739
CHF17_RS06490,2852,3026,3918,1862
CHF17_RS06495,2720,2977,3532,1645
CHF17_RS06500,5673,5834,7780,3601
CHF17_RS06505,14032,22073,28567,20718
CHF17_RS06510,23833,40837,53183,40354
CHF17_RS06515,5362,10052,11116,8389
CHF17_RS06520,7270,9554,10246,8200
CHF17_RS06525,2452,2793,2852,2730
CHF17_RS06530,2678,2962,3128,2873
CHF17_RS06535,7422,11854,14272,8532
CHF17_RS06540,12217,18279,21631,16899
CHF17_RS06545,2928,6142,7488,7792
CHF17_RS06550,9828,12678,13877,13485
CHF17_RS06555,3291,4768,5283,4473
CHF17_RS06560,5430,5313,6264,5451
CHF17_RS06565,5825,3972,4956,5168
CHF17_RS06570,5216,5629,7503,3329
CHF17_RS06575,13194,17041,19937,7786
CHF17_RS06580,8882,8336,9245,7428
CHF17_RS06585,62,69,63,66
CHF17_RS06590,7131,17501,23014,7114
CHF17_RS06595,5426,8884,11379,4943
CHF17_RS06600,5915,9828,11597,4800
CHF17_RS06605,3878,5778,7598,2955
CHF17_RS06610,6783,9293,11515,5065
CHF17_RS06615,2235,1877,2181,1603
CHF17_RS06620,2798,3730,2339,1745
CHF17_RS06625,4703,5805,4917,3558
CHF17_RS06630,270,547,726,286
CHF17_RS06635,2171,3186,3672,3244
CHF17_RS06640,1764,3663,3687,3308
CHF17_RS06645,5097,13391,13460,10729
