,copY_Cu1,copY_Cu2,copY_Cu3,copY_Cu4
CHF17_RS00790,151,417,467,174
CHF17_RS00795,49,181,208,58
CHF17_RS00800,209,805,921,208
CHF17_RS00805,181,941,996,196
CHF17_RS00810,35,181,219,42
CHF17_RS00815,47,239,273,47
CHF17_RS00820,28,157,193,33
CHF17_RS00825,25,189,213,43
CHF17_RS00830,100,638,699,187
CHF17_RS00835,134,741,790,188
CHF17_RS00840,42,185,222,58
CHF17_RS00845,77,405,445,115
CHF17_RS00850,63,358,441,130
CHF17_RS00855,78,344,440,117
CHF17_RS00860,85,329,445,77
CHF17_RS00865,157,636,730,146
CHF17_RS00870,98,375,529,90
CHF17_RS00875,1039,2065,2319,619
CHF17_RS00880,146,294,348,80
CHF17_RS00885,7711,4308,5300,4043
CHF17_RS00890,3448,2347,2618,2023
CHF17_RS00895,206,609,740,144
CHF17_RS00900,116,610,768,109
CHF17_RS00905,441,2832,3521,551
CHF17_RS00910,25,168,203,33
CHF17_RS00915,17,97,116,23
CHF17_RS00920,556,5244,6625,1007
CHF17_RS00925,159,1891,2279,323
CHF17_RS00930,544,5781,6776,1084
CHF17_RS00935,177,1403,1744,275
CHF17_RS00940,75,909,1095,190
CHF17_RS00945,139,1538,1846,290
CHF17_RS00950,126,1770,1651,285
CHF17_RS00955,186,2087,2053,324
CHF17_RS00960,55,505,554,108
CHF17_RS00965,783,3674,4708,1783
CHF17_RS00970,342,1742,2135,628
CHF17_RS00975,960,4810,5624,1960
CHF17_RS00980,621,4022,4903,1217
CHF17_RS00985,91,870,1048,191
CHF17_RS00990,80,614,764,123
CHF17_RS00995,93,960,897,110
CHF17_RS01000,142,1373,1460,190
CHF17_RS01005,804,6930,8093,856
CHF17_RS01010,14099,20677,20522,13591
CHF17_RS01015,134,395,395,97
CHF17_RS01020,1370,1835,2019,1541
CHF17_RS01025,3771,4519,5175,3487
CHF17_RS01030,4260,4834,5830,3508
CHF17_RS01035,17868,12870,12292,12541
CHF17_RS01040,9271,9224,8920,7911
CHF17_RS01045,36232,47729,50283,38471
CHF17_RS01050,3387,6752,6551,4010
CHF17_RS01055,1418,1230,1636,1217
CHF17_RS01060,4323,2660,3413,2912
CHF17_RS01065,2264,1821,2597,2192
CHF17_RS01070,561,581,717,524
CHF17_RS01075,1267,1143,1607,1244
CHF17_RS01080,2561,2203,2588,1717
CHF17_RS01085,185793,142762,156739,120277
CHF17_RS01090,39525,24613,29274,22872
CHF17_RS01095,13955,25824,31949,18401
CHF17_RS01100,20949,15118,18166,16743
