,Mn1,Mn2,Mn3,nor1 (GSM4653916),nor2 (GSM4653917),nor3 (GSM4653918)
SSUSC84_RS09550,1395,1255,1531,1232,1046,879
SSUSC84_RS09120,87,79,76,62,83,54
SSUSC84_RS05215,0,0,0,0,0,0
SSUSC84_RS08795,8424,8649,9247,6817,7235,5297
SSUSC84_RS09285,4290,4433,5359,4989,5083,4352
SSUSC84_RS08395,738,775,853,697,601,577
SSUSC84_RS06630,911,1050,1047,991,779,830
SSUSC84_RS01875,1153,1246,1408,1135,943,860
SSUSC84_RS01365,53,44,59,46,63,42
SSUSC84_RS03820,181,230,227,178,225,154
SSUSC84_RS06035,1747,1810,2034,1459,885,838
SSUSC84_RS05510,15,20,20,15,10,6
SSUSC84_RS06870,79,56,62,43,27,34
SSUSC84_RS10545,0,0,0,0,0,0
SSUSC84_RS02750,22200,23045,21572,13774,13511,10373
SSUSC84_RS10575,7,12,9,7,6,5
SSUSC84_RS07880,996,907,872,1101,1029,699
SSUSC84_RS06635,828,930,1047,909,772,794
SSUSC84_RS05700,8038,7890,8807,7332,6614,5472
SSUSC84_RS03005,1118,1144,1076,882,790,630
SSUSC84_RS03450,462,749,584,608,911,492
SSUSC84_RS04045,2147,1897,2335,2198,1982,1788
SSUSC84_RS05235,1993,1851,2044,1711,1595,1407
SSUSC84_RS00825,1679,1703,1766,1432,1407,1057
SSUSC84_RS07045,443,621,601,510,540,445
SSUSC84_RS00235,313,216,253,206,123,125
SSUSC84_RS10540,2,1,3,1,1,1
SSUSC84_RS02820,2769,3262,3294,1905,2054,1936
SSUSC84_RS09070,107,115,119,123,106,94
SSUSC84_RS09065,858,1076,1313,499,543,641
SSUSC84_RS09320,57,31,51,58,24,24
SSUSC84_RS07590,64,76,74,64,48,56
SSUSC84_RS06970,6216,5984,6494,5481,3299,2694
SSUSC84_RS01860,2268,2266,2584,2037,1758,1559
SSUSC84_RS06685,339,339,361,364,325,263
SSUSC84_RS10155,198,207,221,226,145,139
SSUSC84_RS02570,77,83,93,90,94,74
SSUSC84_RS10470,255,315,306,248,269,235
SSUSC84_RS01830,722,830,809,625,588,494
SSUSC84_RS04320,6,11,9,10,11,6
SSUSC84_RS09810,346,367,337,446,350,265
SSUSC84_RS02975,5135,4207,4773,3799,2508,2463
SSUSC84_RS08535,4023,4190,4607,3668,4047,3076
SSUSC84_RS01660,43,42,31,22,17,19
SSUSC84_RS06605,262,273,294,254,213,209
SSUSC84_RS02025,1286,1418,1434,1134,930,826
SSUSC84_RS09215,654,641,702,694,552,520
SSUSC84_RS01890,572,571,638,454,357,377
SSUSC84_RS09385,369,344,394,291,149,131
SSUSC84_RS06910,5273,5171,5598,5598,5684,4453
SSUSC84_RS02930,1101,934,967,1020,808,694
SSUSC84_RS07610,1660,1535,2101,1481,1196,1351
SSUSC84_RS02045,2882,3299,3546,3011,3260,2641
SSUSC84_RS10640,1,1,0,0,0,0
SSUSC84_RS08730,395,378,376,317,147,150
SSUSC84_RS05400,222,298,284,266,259,183
SSUSC84_RS08440,67283,70719,73031,58137,59078,47509
SSUSC84_RS05205,1075,983,1120,799,618,565
SSUSC84_RS10675,1569,2172,1916,1535,2209,1645
SSUSC84_RS02640,0,1,0,0,0,0
SSUSC84_RS04725,3218,3793,4165,3439,4307,3083
SSUSC84_RS00585,0,0,0,0,0,0
SSUSC84_RS04665,2,0,0,0,0,0
SSUSC84_RS10260,0,0,0,0,0,0
SSUSC84_RS08480,13011,17227,14215,16212,20483,11268
SSUSC84_RS02770,6982,7173,7894,6768,6589,5321
SSUSC84_RS06275,812,1132,1064,904,1264,904
SSUSC84_RS08025,836,772,851,628,570,513
SSUSC84_RS06890,6,5,5,1,13,2
SSUSC84_RS10195,903,803,943,630,555,458
SSUSC84_RS09505,88,91,81,76,99,66
SSUSC84_RS09965,38,20,19,16,11,12
SSUSC84_RS08160,12215,12034,12599,11492,11528,8975
SSUSC84_RS05755,235,186,316,176,71,114
SSUSC84_RS05980,2783,2434,2596,3026,2718,2112
SSUSC84_RS02985,19602,17546,20473,17362,15176,13636
SSUSC84_RS07335,198,153,213,173,161,155
SSUSC84_RS04750,54,51,62,48,41,30
SSUSC84_RS04465,1,1,2,1,1,1
SSUSC84_RS08240,1430,1211,1344,1487,1364,1068
SSUSC84_RS02185,0,0,0,0,0,0
SSUSC84_RS00365,2633,2286,2450,2398,2078,1651
SSUSC84_RS01930,496,444,448,537,505,391
SSUSC84_RS00915,174,137,182,169,126,104
SSUSC84_RS04690,0,0,5,0,1,1
SSUSC84_RS09950,1347,1654,2262,1215,1394,1494
SSUSC84_RS05175,2893,2563,2838,1914,1592,1426
SSUSC84_RS00650,0,0,0,0,0,0
SSUSC84_RS10425,105,131,110,69,56,40
SSUSC84_RS00325,505,571,565,475,385,324
SSUSC84_RS01100,916,819,1058,828,794,633
SSUSC84_RS03315,14061,13472,13621,11565,12427,9356
SSUSC84_RS06790,6196,5904,7425,5257,4915,4742
SSUSC84_RS09170,2008,1981,2631,1431,999,1073
SSUSC84_RS05195,2341,1950,2195,1775,1486,1517
SSUSC84_RS05930,94,100,60,114,109,61
SSUSC84_RS04135,7,13,14,8,6,10
SSUSC84_RS03970,1527,1695,1680,1064,1215,990
SSUSC84_RS01555,2244,2358,3303,1910,1987,1893
SSUSC84_RS03205,743,641,632,677,453,421
SSUSC84_RS04355,25,11,26,14,7,5
SSUSC84_RS08155,1090,1122,1105,870,651,568
SSUSC84_RS10035,1903,1619,2046,1508,1309,1338
SSUSC84_RS01700,0,0,0,0,0,0
SSUSC84_RS03940,767,681,719,807,673,568
SSUSC84_RS02100,797,878,1011,861,803,702
SSUSC84_RS00405,3292,3109,3345,2701,2631,2157
SSUSC84_RS04515,0,3,6,3,1,0
SSUSC84_RS03435,14,14,21,13,4,21
SSUSC84_RS01735,1126,1056,1072,1196,1168,830
SSUSC84_RS02085,962,820,947,877,761,547
SSUSC84_RS04450,1,0,0,0,1,0
SSUSC84_RS00465,2660,2928,3115,2241,2571,2112
SSUSC84_RS07665,89,104,86,99,115,55
SSUSC84_RS10460,3376,3008,3525,2586,2059,1631
SSUSC84_RS01925,652,810,754,552,780,619
SSUSC84_RS07155,0,0,0,0,0,0
SSUSC84_RS03485,183,219,248,177,203,148
SSUSC84_RS06470,1092,1192,1063,1369,1237,894
SSUSC84_RS07035,505,604,511,646,633,447
SSUSC84_RS07325,50,64,96,40,43,38
SSUSC84_RS03010,4742,4865,5092,3741,3165,2852
SSUSC84_RS10270,2,5,4,0,1,1
SSUSC84_RS07340,832,844,795,862,864,668
SSUSC84_RS03635,5613,5635,4927,4148,4174,2995
SSUSC84_RS00330,910,923,1100,1021,828,811
SSUSC84_RS00645,0,0,0,0,0,0
SSUSC84_RS08370,4554,4882,6618,3595,3536,3618
SSUSC84_RS06155,743,701,760,712,446,458
SSUSC84_RS02095,2588,2556,2943,2661,2356,1977
SSUSC84_RS02310,3406,3861,3766,3038,2830,2115
SSUSC84_RS03210,957,888,885,955,674,550
SSUSC84_RS08285,374,313,358,289,254,249
SSUSC84_RS06010,3055,2710,2975,2431,2063,1874
SSUSC84_RS00385,3064,2744,3087,2377,1823,1587
SSUSC84_RS09705,2437,3247,3113,2287,2941,1901
SSUSC84_RS07315,29,32,37,23,18,15
SSUSC84_RS09430,820,930,1056,765,792,647
SSUSC84_RS09855,237,232,272,165,235,172
SSUSC84_RS03665,3928,3502,4066,3337,2534,2132
SSUSC84_RS00270,358,290,337,278,155,132
SSUSC84_RS05570,636,688,824,758,599,591
SSUSC84_RS00095,0,0,0,0,0,0
SSUSC84_RS07540,208,248,230,205,84,79
SSUSC84_RS05595,759,717,894,769,752,655
SSUSC84_RS01650,74,62,78,53,62,45
SSUSC84_RS04535,56,32,37,57,32,25
SSUSC84_RS08035,1773,1721,1795,1318,1130,1008
SSUSC84_RS00460,754,803,848,627,641,562
SSUSC84_RS03565,393,383,425,345,193,175
SSUSC84_RS10370,19,22,13,16,8,8
SSUSC84_RS00360,1575,1670,1742,2031,1791,1440
SSUSC84_RS02725,2051,1913,2182,1762,1663,1358
SSUSC84_RS06465,2662,2253,2455,2217,1656,1549
SSUSC84_RS00490,2098,2198,2295,1575,1662,1427
SSUSC84_RS00530,2230,2578,2665,1657,2022,1678
SSUSC84_RS03740,2238,2197,2198,2319,2009,1645
SSUSC84_RS01315,571,534,514,432,276,274
SSUSC84_RS01770,3534,4174,4368,4093,4525,3486
SSUSC84_RS01410,724,801,728,610,578,434
SSUSC84_RS09805,607,629,552,571,620,447
SSUSC84_RS05005,0,2,3,2,6,4
SSUSC84_RS05785,66,49,70,32,9,12
SSUSC84_RS04410,3,2,2,5,6,3
SSUSC84_RS01515,5583,5040,5081,4433,3685,3007
SSUSC84_RS01945,80,86,107,84,111,91
SSUSC84_RS02565,418,385,422,516,422,290
SSUSC84_RS02805,6073,6861,7675,4823,3102,3343
SSUSC84_RS06815,24,18,19,19,20,11
SSUSC84_RS03815,431,509,449,422,458,378
SSUSC84_RS04605,129,153,209,145,108,127
SSUSC84_RS02685,5500,5355,6143,4970,5159,4244
SSUSC84_RS03335,1478,1342,1410,1362,1130,872
SSUSC84_RS06755,368,363,266,293,249,191
SSUSC84_RS02895,296,300,331,235,187,170
SSUSC84_RS00905,100077,93854,110835,94815,94193,78176
SSUSC84_RS00965,76,69,69,25,19,23
SSUSC84_RS00660,0,2,3,1,0,3
SSUSC84_RS09095,822,763,818,699,554,518
SSUSC84_RS03220,739,786,740,689,420,360
SSUSC84_RS03505,37342,38205,42715,34254,34447,26519
SSUSC84_RS01895,1544,1407,1621,1171,956,951
SSUSC84_RS08725,628,521,527,475,189,194
SSUSC84_RS02585,36,29,43,63,42,32
SSUSC84_RS08255,2416,3061,3072,2781,3305,2421
SSUSC84_RS09020,515,474,546,385,352,302
SSUSC84_RS05380,172,180,186,159,182,117
SSUSC84_RS08925,393,465,424,330,232,207
SSUSC84_RS10275,121,151,175,133,198,150
SSUSC84_RS01300,7,5,6,7,10,3
SSUSC84_RS07995,16,13,12,8,7,14
SSUSC84_RS02265,213,206,218,174,122,101
SSUSC84_RS00705,226,240,299,218,198,180
SSUSC84_RS07475,168,160,163,139,99,93
SSUSC84_RS00040,1111,1378,1409,1135,1280,1147
SSUSC84_RS03890,574,625,748,534,590,440
SSUSC84_RS06980,184,212,248,145,118,99
SSUSC84_RS08920,681,662,730,538,425,327
SSUSC84_RS09600,676,760,743,544,368,242
SSUSC84_RS02375,10721,10617,11843,8959,6732,5129
SSUSC84_RS05900,985,959,974,1048,1070,711
SSUSC84_RS08645,176,176,184,132,158,112
SSUSC84_RS03420,2,1,1,0,0,1
SSUSC84_RS09655,0,2,2,0,2,0
SSUSC84_RS09250,1009,1237,1390,1068,1078,1082
SSUSC84_RS03975,1330,1707,1389,738,963,680
SSUSC84_RS05535,3450,2748,2836,3070,1728,1483
SSUSC84_RS07515,668,607,590,677,589,490
SSUSC84_RS00595,0,0,0,0,0,0
SSUSC84_RS04005,1154,1037,1093,911,898,666
SSUSC84_RS05665,353,291,420,417,269,306
SSUSC84_RS02705,807,900,881,997,1003,684
SSUSC84_RS00750,2424,2372,2554,2684,2829,2030
SSUSC84_RS00785,1,2,2,4,0,0
SSUSC84_RS04295,143,127,133,105,81,61
SSUSC84_RS09450,1139,926,1020,779,653,583
SSUSC84_RS02925,3893,3046,3135,3851,3279,2363
SSUSC84_RS02335,15,12,12,7,5,5
SSUSC84_RS04680,10,10,12,10,7,5
SSUSC84_RS03280,65,88,66,113,124,90
SSUSC84_RS02220,2635,2456,2369,2315,2478,1645
SSUSC84_RS08350,52,40,48,44,46,36
SSUSC84_RS07865,238,249,217,204,219,178
SSUSC84_RS08310,459,467,562,477,483,388
SSUSC84_RS09845,1348,1083,1253,967,749,638
SSUSC84_RS05010,0,0,0,2,3,0
SSUSC84_RS02815,13493,14953,16522,10312,9576,8573
SSUSC84_RS06535,1748,1290,1618,1235,957,925
SSUSC84_RS06785,5131,4675,5771,3511,3185,3188
SSUSC84_RS08090,3818,4182,4291,5837,6032,4306
SSUSC84_RS07695,1006,1010,863,1115,1042,761
SSUSC84_RS03670,897,930,1029,876,735,646
SSUSC84_RS08840,18718,19960,22236,13324,12909,11302
SSUSC84_RS09935,31,29,29,26,26,28
SSUSC84_RS08700,1809,1694,1886,1625,1447,1261
