,Mn1,Mn2,Mn3,nor1 (GSM4653916),nor2 (GSM4653917),nor3 (GSM4653918)
SSUSC84_RS00835,1333,1355,1311,1762,1627,1255
SSUSC84_RS04180,693,735,789,870,867,605
SSUSC84_RS07130,0,0,0,0,0,0
SSUSC84_RS00610,0,0,0,0,0,0
SSUSC84_RS08635,16907,15865,19996,13522,13895,11864
SSUSC84_RS01015,180,219,184,165,193,133
SSUSC84_RS08360,369,376,346,526,437,299
SSUSC84_RS05530,19,25,16,8,5,4
SSUSC84_RS04080,1695,1589,1823,1457,1450,1169
SSUSC84_RS06380,158,173,160,107,92,67
SSUSC84_RS09760,8222,8324,9084,8052,8718,6772
SSUSC84_RS06345,79,82,94,74,95,51
SSUSC84_RS03730,1873,1986,1944,1871,2017,1517
SSUSC84_RS05385,984,1064,996,849,1002,641
SSUSC84_RS02145,0,0,0,0,0,0
SSUSC84_RS01220,321,332,379,211,279,207
SSUSC84_RS08695,1856,1788,1820,1599,1427,1190
SSUSC84_RS06820,2435,2409,2785,2545,2228,2110
SSUSC84_RS10465,381,602,467,213,237,212
SSUSC84_RS09585,4728,4504,4607,4570,4656,3651
SSUSC84_RS03610,2447,2219,2597,2465,2241,1879
SSUSC84_RS08175,143,119,120,108,73,65
SSUSC84_RS09110,1483,1433,1599,1281,1055,941
SSUSC84_RS01990,732,841,966,763,664,587
SSUSC84_RS07645,569,558,671,405,339,313
SSUSC84_RS08800,3866,3936,4069,3256,3555,2534
SSUSC84_RS05290,0,1,1,0,0,0
SSUSC84_RS05625,1856,1780,1869,1371,943,795
SSUSC84_RS03340,731,654,579,626,593,362
SSUSC84_RS03495,9349,8139,8976,9986,9456,7324
SSUSC84_RS07415,372,403,429,650,567,493
SSUSC84_RS04740,4,6,5,7,7,8
SSUSC84_RS06005,4135,3730,4272,3439,3227,2715
SSUSC84_RS03490,149,169,189,116,138,104
SSUSC84_RS03535,12,16,9,14,11,5
SSUSC84_RS05320,69,129,97,79,76,51
SSUSC84_RS06695,4862,6322,7016,3281,4372,3489
SSUSC84_RS03605,299,285,272,384,329,240
SSUSC84_RS04405,1,0,1,2,0,0
SSUSC84_RS04995,0,0,0,0,0,0
SSUSC84_RS00630,0,0,0,0,0,0
SSUSC84_RS05245,995,988,1029,928,702,570
SSUSC84_RS03990,1630,1360,1363,1462,1170,856
SSUSC84_RS00370,1500,1310,1470,1216,983,871
SSUSC84_RS08045,1633,1866,1777,1474,1716,1149
SSUSC84_RS06495,2513,2492,2706,2155,2079,1769
SSUSC84_RS02830,22505,25126,29595,16950,16880,16383
SSUSC84_RS04345,7,7,9,8,10,4
SSUSC84_RS04985,4,19,19,7,6,6
SSUSC84_RS04085,1316,1348,1429,1205,1073,920
SSUSC84_RS09530,101,127,147,89,109,103
SSUSC84_RS09030,1,5,3,1,1,0
SSUSC84_RS01145,122,108,213,104,72,73
SSUSC84_RS03395,495,481,528,424,397,299
SSUSC84_RS06665,1323,1195,1458,1236,1084,945
SSUSC84_RS07620,1203,1197,1315,1066,784,721
SSUSC84_RS04715,4,6,7,4,1,1
SSUSC84_RS04220,2047,1825,2288,1757,1691,1521
SSUSC84_RS06655,3833,3516,3876,3285,3173,2893
SSUSC84_RS06455,1211,1059,1200,1206,918,828
SSUSC84_RS06400,98,55,84,60,36,38
SSUSC84_RS09710,6139,8123,7342,6163,7607,5250
SSUSC84_RS06660,1813,1887,2142,1843,1725,1430
SSUSC84_RS10365,12,6,4,3,9,11
SSUSC84_RS05335,179,158,179,121,94,91
SSUSC84_RS10500,224,173,178,209,195,114
SSUSC84_RS03460,21,8,7,14,11,14
SSUSC84_RS03110,61,54,36,68,21,45
SSUSC84_RS08300,2739,2847,3165,2567,2648,2340
SSUSC84_RS06625,508,485,446,456,351,302
SSUSC84_RS09980,344,363,297,246,189,146
SSUSC84_RS02595,4804,5007,4908,5010,5153,3746
SSUSC84_RS05975,1290,1289,1432,1325,911,787
SSUSC84_RS05120,19215,18023,19741,18943,17235,14237
SSUSC84_RS05920,126,112,112,79,118,70
SSUSC84_RS03625,2890,2764,3090,2472,2084,1800
SSUSC84_RS02840,16702,18136,21775,13064,11096,10926
SSUSC84_RS06595,850,762,789,662,641,509
SSUSC84_RS01205,1757,1584,1753,1936,1713,1453
SSUSC84_RS08620,532,489,509,629,508,416
SSUSC84_RS03520,5,6,2,6,3,5
SSUSC84_RS01785,4943,4698,5382,4376,4228,3694
SSUSC84_RS10120,72,102,86,64,69,66
SSUSC84_RS05540,39,46,28,27,18,14
SSUSC84_RS02945,2896,2447,2808,2635,1999,1632
SSUSC84_RS02775,9849,10554,11280,9606,9824,8245
SSUSC84_RS06560,2048,2084,2241,1785,1653,1254
SSUSC84_RS08060,1337,1315,1307,1400,1474,1042
SSUSC84_RS07245,16146,17330,16629,15394,17412,12365
SSUSC84_RS03145,133,143,140,124,128,119
SSUSC84_RS10290,278,351,377,345,326,305
SSUSC84_RS04560,5,4,9,3,5,3
SSUSC84_RS08625,34809,36482,46615,28621,30542,26891
SSUSC84_RS06260,2766,2879,3242,2892,2931,2446
SSUSC84_RS00520,5601,6212,6375,4398,4820,4147
SSUSC84_RS02150,0,0,0,0,0,0
SSUSC84_RS01710,0,0,0,0,0,0
SSUSC84_RS07940,1153,1218,1315,957,1028,741
SSUSC84_RS00075,6981,7381,7517,7667,7481,5481
SSUSC84_RS07135,0,0,0,2,0,0
SSUSC84_RS09440,235,276,275,226,178,195
SSUSC84_RS09525,14,23,5,9,11,6
SSUSC84_RS01345,83,105,84,70,85,54
SSUSC84_RS07055,30,41,39,28,35,31
SSUSC84_RS02070,3522,3206,3827,3122,2757,2275
SSUSC84_RS10490,3,6,7,3,1,4
SSUSC84_RS07845,6267,6568,7107,6715,7638,5432
SSUSC84_RS08690,2282,2345,2624,2518,2291,1870
SSUSC84_RS08190,1485,1524,1655,1433,1114,976
SSUSC84_RS05640,787,696,701,612,505,394
SSUSC84_RS06480,2688,2202,2596,2929,2595,2099
SSUSC84_RS00695,17,17,17,16,8,18
SSUSC84_RS01980,1,5,4,5,2,1
SSUSC84_RS08055,2667,2652,2753,3133,3285,2401
SSUSC84_RS09415,101,119,117,121,111,102
SSUSC84_RS03945,2058,2059,2098,2199,1860,1552
SSUSC84_RS05750,335,248,462,240,151,222
SSUSC84_RS01120,351,450,477,314,279,270
SSUSC84_RS07030,1590,1381,1517,1559,1506,1057
SSUSC84_RS07410,647,839,746,762,960,542
SSUSC84_RS00685,35,33,34,24,24,40
SSUSC84_RS03135,70,80,65,79,73,55
SSUSC84_RS00510,3605,3868,4097,2874,3180,2736
SSUSC84_RS05865,1280,1177,1229,1151,894,715
SSUSC84_RS07200,1769,2141,1824,2057,2004,1313
SSUSC84_RS09185,7475,6609,10094,4099,2971,4383
SSUSC84_RS01110,395,466,545,422,508,425
SSUSC84_RS06235,4129,3898,4369,3497,3398,2779
SSUSC84_RS08675,61,53,65,40,39,24
SSUSC84_RS03925,1263,1340,1819,983,854,953
SSUSC84_RS06940,628,551,654,496,467,459
SSUSC84_RS02055,2576,2880,3011,2043,1623,1419
SSUSC84_RS04565,3,2,2,5,0,2
SSUSC84_RS08525,12066,12247,13169,13483,12825,10422
SSUSC84_RS00715,234,224,257,259,174,192
SSUSC84_RS02560,148,134,169,155,118,123
SSUSC84_RS05815,44,39,22,11,20,16
SSUSC84_RS06355,31,31,26,33,43,19
SSUSC84_RS08270,89,84,88,94,111,74
SSUSC84_RS06445,3626,3318,4180,3685,3293,3039
SSUSC84_RS02655,2136,2146,1976,1596,1785,1243
SSUSC84_RS04755,94,73,106,130,146,83
SSUSC84_RS02515,2609,2974,2649,3040,3296,2177
SSUSC84_RS09680,3,2,4,1,2,2
SSUSC84_RS03195,4343,3924,4064,3791,3445,2728
SSUSC84_RS06030,253,260,270,177,148,124
SSUSC84_RS07280,204,225,197,205,131,118
SSUSC84_RS01570,204,272,235,159,212,135
SSUSC84_RS03900,260,220,256,223,245,155
SSUSC84_RS06700,0,0,0,0,0,0
SSUSC84_RS04555,53,42,71,31,20,25
SSUSC84_RS00480,956,993,1010,734,721,635
SSUSC84_RS06955,241,218,261,202,146,158
SSUSC84_RS08430,795,882,877,539,598,539
SSUSC84_RS04615,26,17,31,22,14,15
SSUSC84_RS06325,21,24,30,19,37,24
SSUSC84_RS04265,67,62,81,81,49,45
SSUSC84_RS05030,2601,2290,2401,2157,1949,1596
SSUSC84_RS01640,167,162,173,154,151,98
SSUSC84_RS02780,9456,9814,10552,8701,8675,7628
SSUSC84_RS08760,2098,2517,2456,2140,2216,1788
SSUSC84_RS01050,2,0,6,1,3,1
SSUSC84_RS07885,295,350,291,324,331,222
SSUSC84_RS10450,7,15,16,10,11,8
SSUSC84_RS00200,2559,2496,2818,2751,2450,2035
SSUSC84_RS04520,15,14,21,13,6,8
SSUSC84_RS07560,5498,5303,5517,4565,4059,3315
SSUSC84_RS02420,2044,2134,1931,1998,2375,1584
SSUSC84_RS03200,211,239,283,254,264,216
SSUSC84_RS00455,1917,2031,2061,1592,1655,1401
SSUSC84_RS07065,710,637,691,567,690,474
SSUSC84_RS05080,2240,2082,1957,2739,2673,2069
SSUSC84_RS09050,25,42,54,45,53,32
SSUSC84_RS09000,8,17,10,17,8,7
SSUSC84_RS02605,81,68,95,73,52,81
SSUSC84_RS10145,141,122,121,120,87,66
SSUSC84_RS01655,4060,4147,3983,5627,5766,3947
SSUSC84_RS02700,13850,12987,11364,23522,21100,13838
SSUSC84_RS01185,21,29,31,15,8,9
SSUSC84_RS05490,108,92,116,77,54,60
SSUSC84_RS05060,1342,1175,1265,1243,961,893
SSUSC84_RS02755,144,164,169,192,209,158
SSUSC84_RS03695,10402,10532,10971,13221,12872,9123
SSUSC84_RS07755,8912,9498,9025,8983,9656,6843
SSUSC84_RS09405,173,184,189,235,219,192
SSUSC84_RS05070,256,251,267,322,232,177
SSUSC84_RS00280,1649,1524,1611,1571,1388,1157
SSUSC84_RS03455,418,623,520,420,555,354
SSUSC84_RS02995,292,317,314,187,131,156
SSUSC84_RS03545,18,25,35,13,3,5
SSUSC84_RS00285,7,5,3,4,9,3
SSUSC84_RS07180,0,0,0,2,0,0
SSUSC84_RS06150,179,165,162,149,55,35
SSUSC84_RS05340,8210,7045,9102,6766,5440,5510
SSUSC84_RS03415,5,9,1,1,0,1
SSUSC84_RS07310,20,24,30,20,14,13
SSUSC84_RS00335,7,3,3,5,1,4
SSUSC84_RS00625,0,0,0,0,0,0
SSUSC84_RS06075,1663,1621,1681,1656,1444,1363
SSUSC84_RS03105,1351,1300,1348,1338,1092,1040
SSUSC84_RS08940,1,3,2,3,1,0
SSUSC84_RS10525,1,1,0,0,1,0
SSUSC84_RS08400,780,882,938,656,549,521
SSUSC84_RS02205,1304,1145,1284,1879,1645,1217
SSUSC84_RS07790,2018,1987,2077,1777,1631,1381
SSUSC84_RS10110,1988,2321,2932,2311,2612,2250
SSUSC84_RS03915,1224,1534,1512,1194,1255,990
SSUSC84_RS03640,2596,2375,2822,2600,2425,2069
SSUSC84_RS04800,16358,12478,12805,12167,8814,6261
SSUSC84_RS09330,784,788,885,878,845,656
SSUSC84_RS04240,71,85,76,54,65,56
SSUSC84_RS08975,19,25,43,29,36,21
SSUSC84_RS03585,1046,1439,1175,1230,1654,901
SSUSC84_RS10100,1518,2120,1945,1723,1819,1379
SSUSC84_RS03755,468,426,421,492,361,322
SSUSC84_RS08070,634,655,711,646,560,467
SSUSC84_RS00435,1397,1425,1624,1636,1664,1406
SSUSC84_RS06110,3950,3465,3802,3128,2601,2199
SSUSC84_RS01910,215,172,285,157,159,144
SSUSC84_RS09840,1705,1618,1722,1429,1051,984
SSUSC84_RS01405,223,271,230,204,193,158
SSUSC84_RS00555,2520,2310,2368,2596,2529,2060
SSUSC84_RS10050,3301,3321,3741,3298,3346,2873
SSUSC84_RS03955,1343,1262,1421,979,864,742
SSUSC84_RS02415,2713,3107,2874,2603,3338,2047
SSUSC84_RS09470,1120,1204,1321,1141,1013,821
SSUSC84_RS03260,674,712,815,693,652,551
SSUSC84_RS07555,5029,5048,5239,4009,3826,3118
SSUSC84_RS04370,1241,1188,1348,1063,973,925
SSUSC84_RS01920,250,275,299,227,296,211
SSUSC84_RS02165,0,0,0,0,0,0
SSUSC84_RS07505,1231,1064,1187,1028,777,647
SSUSC84_RS07435,1922,1966,2097,1789,1817,1481
SSUSC84_RS07875,9,5,11,4,7,5
SSUSC84_RS07820,1068,1110,1176,847,659,620
SSUSC84_RS00135,0,0,0,0,0,0
SSUSC84_RS06935,1294,1199,1421,1022,997,951
SSUSC84_RS05610,280,305,358,267,258,216
SSUSC84_RS01965,3248,4050,3678,3761,3423,2614
SSUSC84_RS06800,2418,2202,2509,1825,1653,1587
SSUSC84_RS06285,2012,2088,2373,2526,2674,2019
SSUSC84_RS04840,76,82,99,87,47,34
SSUSC84_RS02380,5653,5661,5879,4668,4319,3524
SSUSC84_RS05230,2983,2875,3410,2676,2753,2354
SSUSC84_RS07630,1272,1275,1304,1476,1186,914
SSUSC84_RS04050,1611,1539,1767,1451,1286,1298
SSUSC84_RS05960,3359,3297,3544,2936,2552,2078
SSUSC84_RS06215,417,393,439,386,333,255
SSUSC84_RS09480,31,26,21,18,15,10
SSUSC84_RS10095,494,503,545,475,463,381
SSUSC84_RS00220,14,28,21,19,14,6
SSUSC84_RS08955,674,674,816,787,642,622
SSUSC84_RS05860,7744,7570,8363,9029,7983,6268
SSUSC84_RS01520,1191,1764,2509,1179,1243,1267
SSUSC84_RS07930,42,41,44,18,17,22
SSUSC84_RS07265,2039,2468,2403,1789,2275,1497
SSUSC84_RS02695,2205,2317,2296,2133,2133,1458
SSUSC84_RS01025,22,12,17,11,4,13
SSUSC84_RS10245,85,62,82,103,78,61
SSUSC84_RS05880,11556,10542,11421,10688,9566,7931
SSUSC84_RS08655,364,457,515,390,463,355
SSUSC84_RS06740,3673,3436,4179,3738,3077,2795
SSUSC84_RS08040,958,924,921,722,622,517
SSUSC84_RS04650,80,68,93,111,88,74
SSUSC84_RS05855,2161,1905,2286,2198,1879,1776
SSUSC84_RS07870,518,467,454,571,610,399
SSUSC84_RS09195,19338,14500,24386,11690,7722,11304
SSUSC84_RS02190,0,0,0,0,0,0
SSUSC84_RS05040,230,233,287,183,171,168
SSUSC84_RS00720,210,231,243,235,189,158
SSUSC84_RS00065,273,302,319,228,157,156
SSUSC84_RS07800,1939,1827,1805,1960,1610,1198
SSUSC84_RS10520,885,780,768,650,564,549
SSUSC84_RS06350,300,305,316,469,337,264
SSUSC84_RS02000,1009,918,860,903,987,682
SSUSC84_RS08555,2482,2567,2591,2483,2675,2031
SSUSC84_RS00880,3770,3909,4399,3746,3906,3241
SSUSC84_RS09475,493,519,488,473,461,388
SSUSC84_RS08390,1692,1677,1751,1379,1472,1174
SSUSC84_RS07400,633,617,593,772,630,481
SSUSC84_RS03790,2294,2452,2758,2064,2055,1684
SSUSC84_RS07460,57,44,37,31,18,28
SSUSC84_RS08970,0,0,0,0,0,0
SSUSC84_RS04020,5944,5762,6066,5901,5676,4362
SSUSC84_RS03025,1705,1508,1440,1528,1299,1017
SSUSC84_RS00195,5465,4719,5179,6872,5296,4237
SSUSC84_RS00160,0,0,0,0,0,0
SSUSC84_RS10210,581,674,659,597,356,319
SSUSC84_RS04945,26,38,29,11,20,9
SSUSC84_RS00100,0,0,0,0,0,0
SSUSC84_RS02370,7741,7182,7761,6953,5233,3991
SSUSC84_RS00890,3007,2890,3151,3806,3702,2875
SSUSC84_RS08265,3196,3648,3837,3588,3314,2968
SSUSC84_RS08095,243,262,272,208,217,179
SSUSC84_RS05790,139,79,156,92,51,50
SSUSC84_RS00755,5578,5410,6071,5659,4883,4358
SSUSC84_RS09605,357,374,314,270,171,117
SSUSC84_RS06615,1,5,2,2,2,2
SSUSC84_RS04390,822,829,924,816,821,663
SSUSC84_RS04890,8334,8998,9440,7016,7693,5826
SSUSC84_RS00305,7,11,14,5,5,6
SSUSC84_RS08490,3494,3500,2798,4285,3457,2366
SSUSC84_RS00570,1616,1710,1612,1494,1693,1224
SSUSC84_RS01915,37,55,58,52,40,35
SSUSC84_RS04670,3,4,9,9,3,8
SSUSC84_RS06675,568,538,626,548,469,411
SSUSC84_RS04960,20,37,34,20,24,32
SSUSC84_RS04915,847,941,986,898,1069,796
SSUSC84_RS04635,0,0,0,0,0,0
SSUSC84_RS06170,231,212,243,157,137,133
SSUSC84_RS03385,355,381,338,309,289,211
SSUSC84_RS05955,1318,1278,1208,1128,1026,910
SSUSC84_RS07785,1992,1914,2152,1727,1415,1260
SSUSC84_RS01480,1201,1172,1546,1171,864,854
SSUSC84_RS00265,389,274,291,245,147,80
SSUSC84_RS04570,27,20,28,21,10,12
SSUSC84_RS06475,13967,13742,15412,11947,12698,9601
SSUSC84_RS02395,6099,6004,6360,5341,5080,4091
SSUSC84_RS10185,696,637,536,898,803,484
SSUSC84_RS01585,511,417,528,352,216,195
SSUSC84_RS05045,895,881,1062,613,638,561
SSUSC84_RS10340,14,20,13,15,17,8
SSUSC84_RS09560,250,204,259,230,191,187
SSUSC84_RS06525,702,824,874,705,837,570
SSUSC84_RS01440,3038,3302,3172,3272,3559,2338
SSUSC84_RS02495,23,36,46,37,31,43
SSUSC84_RS04445,0,0,2,0,0,0
SSUSC84_RS06265,2054,2056,2113,2233,1912,1587
SSUSC84_RS06565,317,382,411,393,360,277
SSUSC84_RS00045,66,57,66,59,59,51
SSUSC84_RS02015,55,54,58,77,61,38
SSUSC84_RS05115,4894,5176,5598,5012,4803,4310
SSUSC84_RS00780,6,1,5,7,0,0
SSUSC84_RS10645,76,90,98,41,46,44
SSUSC84_RS05200,2759,2545,2830,2228,1986,1810
SSUSC84_RS04190,2395,2223,2655,2999,2757,2218
SSUSC84_RS09180,28178,25974,37819,14155,11975,15515
SSUSC84_RS09100,184,167,209,163,144,123
SSUSC84_RS01285,624,565,634,534,359,361
SSUSC84_RS04630,1,0,3,0,2,0
SSUSC84_RS01425,600,628,667,654,683,574
SSUSC84_RS00940,432,385,422,446,369,309
SSUSC84_RS02275,6000,6427,7274,5047,5364,4441
SSUSC84_RS09270,186,197,180,114,60,67
SSUSC84_RS09280,2397,2088,2226,2031,1896,1482
SSUSC84_RS08935,939,797,840,701,654,509
SSUSC84_RS04205,201,198,219,220,164,155
SSUSC84_RS02425,9425,9071,9700,8685,8861,6770
SSUSC84_RS09190,5041,4065,6224,2479,1582,2473
SSUSC84_RS08150,2481,2770,2776,2594,3130,2008
SSUSC84_RS10170,7231,6823,7181,6685,5683,4309
SSUSC84_RS03030,19889,23778,36716,8801,10039,13135
SSUSC84_RS04110,597,603,728,543,587,575
SSUSC84_RS03155,542,516,612,646,526,464
SSUSC84_RS08740,1379,1528,1496,1178,1197,943
SSUSC84_RS05145,6969,7337,8477,5815,5390,5015
SSUSC84_RS09060,1187,1406,1699,798,661,735
SSUSC84_RS01780,668,583,702,587,444,424
SSUSC84_RS03630,5940,5861,6751,5130,4609,4373
SSUSC84_RS07920,1133,1148,1302,1142,1077,890
SSUSC84_RS05065,510,492,577,484,429,346
SSUSC84_RS07510,665,613,588,574,425,365
SSUSC84_RS03785,536,541,616,495,466,343
SSUSC84_RS03040,13420,14553,24297,7381,6695,9841
SSUSC84_RS07855,3500,2992,3118,1757,1063,899
SSUSC84_RS00245,81,59,55,64,28,29
SSUSC84_RS06555,342,348,405,234,239,170
SSUSC84_RS00055,0,0,0,0,0,0
SSUSC84_RS02810,8531,9300,10288,6775,4721,4801
SSUSC84_RS03245,153,261,155,151,181,124
SSUSC84_RS03825,367,420,441,311,330,301
SSUSC84_RS08475,10847,9415,7933,11216,7288,4774
SSUSC84_RS08205,906,781,917,1068,604,559
SSUSC84_RS09700,3934,4946,4260,3656,4805,3058
SSUSC84_RS07775,5745,5605,5870,5243,4977,4164
SSUSC84_RS02490,821,777,847,998,918,777
SSUSC84_RS05440,3,8,10,2,3,3
SSUSC84_RS03895,1492,1421,1424,1532,1548,1005
SSUSC84_RS05140,7830,7976,9573,6959,5977,5536
SSUSC84_RS05355,68,72,74,78,62,55
SSUSC84_RS10585,1,2,1,0,0,0
SSUSC84_RS08165,1989,1963,2163,1851,1620,1423
SSUSC84_RS01625,60,66,48,35,58,31
SSUSC84_RS04545,32,46,46,40,27,23
SSUSC84_RS01325,810,791,794,639,538,470
SSUSC84_RS05415,1989,2127,2181,1904,1681,1486
SSUSC84_RS07905,1828,1681,1805,1738,1341,1158
SSUSC84_RS09725,59,52,84,42,38,31
SSUSC84_RS07010,99,109,130,97,84,105
SSUSC84_RS02400,9343,9678,9943,8492,8671,6705
SSUSC84_RS05240,1115,1126,1281,1091,833,806
SSUSC84_RS10510,4,3,1,3,1,1
SSUSC84_RS10565,65,96,100,82,94,68
SSUSC84_RS09835,10343,9202,10145,8613,7435,6439
SSUSC84_RS03130,109,131,119,132,108,92
SSUSC84_RS09650,873,898,983,748,648,514
SSUSC84_RS07730,1449,1262,1434,1496,1442,1157
SSUSC84_RS10320,10,13,14,11,11,15
SSUSC84_RS00975,296,257,382,218,185,169
SSUSC84_RS09915,2802,2416,2469,2579,2475,1824
SSUSC84_RS03555,58,56,78,39,25,17
SSUSC84_RS04820,488,439,496,346,270,209
SSUSC84_RS00730,559,459,548,362,166,167
SSUSC84_RS09670,1,0,1,0,1,2
SSUSC84_RS02135,0,0,0,0,0,0
SSUSC84_RS03885,586,750,696,421,561,350
SSUSC84_RS00675,10,7,8,3,3,6
SSUSC84_RS03995,37,29,28,35,18,28
SSUSC84_RS00115,0,0,0,0,0,0
SSUSC84_RS06610,8,12,20,11,6,5
SSUSC84_RS07675,293,321,304,257,110,88
SSUSC84_RS07550,1683,1694,1761,1270,1393,1150
SSUSC84_RS08000,143,119,137,58,73,47
SSUSC84_RS10225,96,97,123,93,128,74
SSUSC84_RS07900,584,559,698,642,474,437
SSUSC84_RS10085,95,110,113,107,127,119
SSUSC84_RS05100,6018,6083,5900,4883,5261,3794
SSUSC84_RS10595,429,353,446,294,267,280
SSUSC84_RS04075,284,287,277,200,179,179
SSUSC84_RS01525,196,294,377,215,253,228
SSUSC84_RS04825,86,72,60,50,42,45
SSUSC84_RS08865,4,7,4,4,4,4
SSUSC84_RS10420,14,11,12,12,8,8
SSUSC84_RS07680,58,63,59,74,58,43
SSUSC84_RS01975,3110,3185,3547,3368,3289,2713
SSUSC84_RS02980,11910,10356,12059,9658,6970,6665
SSUSC84_RS07120,11,13,9,9,5,5
SSUSC84_RS10015,1329,1418,1461,900,721,638
SSUSC84_RS03350,4651,4140,4308,3904,3235,2739
SSUSC84_RS05505,484,399,490,412,397,270
SSUSC84_RS02035,1392,1552,1549,1366,1534,1117
SSUSC84_RS02785,16300,17226,18442,14721,13491,12336
SSUSC84_RS03445,215,247,330,112,120,108
SSUSC84_RS01745,1100,1111,1094,914,671,496
SSUSC84_RS00655,0,0,0,0,0,0
SSUSC84_RS09335,1219,1183,1169,1063,1156,867
SSUSC84_RS00350,559,580,542,592,610,504
SSUSC84_RS01810,417,462,617,270,235,304
SSUSC84_RS08780,20664,21877,23609,16599,17924,14181
SSUSC84_RS07985,496,462,515,552,480,351
SSUSC84_RS08905,3712,3502,3928,3819,2354,2230
SSUSC84_RS01725,0,0,0,0,0,0
SSUSC84_RS01870,1079,1112,1185,835,504,509
SSUSC84_RS09625,7343,7603,8921,8167,8552,6906
SSUSC84_RS08420,233,268,253,221,215,165
SSUSC84_RS04065,3038,2791,3017,2931,2707,2357
SSUSC84_RS00035,147,138,149,170,177,119
SSUSC84_RS04000,5807,5469,5552,5708,5609,3959
SSUSC84_RS03980,1097,1421,1261,630,775,611
SSUSC84_RS07740,0,0,2,2,0,4
SSUSC84_RS05745,159,128,196,105,70,110
SSUSC84_RS06680,68,38,58,74,30,28
SSUSC84_RS07255,831,1021,1090,593,515,481
SSUSC84_RS05420,8628,8490,9061,9456,8838,7431
SSUSC84_RS03265,166,168,171,158,168,147
SSUSC84_RS04350,10,2,9,5,1,0
SSUSC84_RS03185,2722,3023,3108,2546,2869,2233
SSUSC84_RS02800,14378,15816,16699,12166,9987,9052
SSUSC84_RS00125,0,0,0,0,0,0
SSUSC84_RS09445,873,741,792,599,474,454
SSUSC84_RS10030,576,532,598,408,364,364
SSUSC84_RS06990,135,141,143,97,147,107
SSUSC84_RS00950,1544,1557,1629,1315,1135,792
SSUSC84_RS00725,978,1139,1259,1391,1167,1044
SSUSC84_RS00875,416,433,469,404,361,337
SSUSC84_RS00015,239,211,224,211,158,153
SSUSC84_RS06865,105,78,96,56,34,35
SSUSC84_RS09150,5325,5037,5573,5886,5911,4546
SSUSC84_RS06135,6564,5966,6575,6177,5707,4824
SSUSC84_RS02340,10372,11854,13599,8367,8188,7371
SSUSC84_RS02130,0,0,0,0,0,0
SSUSC84_RS04875,5,6,7,6,4,5
SSUSC84_RS02440,88,132,120,89,87,84
SSUSC84_RS09750,16,8,12,11,8,5
SSUSC84_RS08545,385,309,435,346,246,279
SSUSC84_RS07365,426,356,437,408,389,281
SSUSC84_RS00590,0,0,0,0,0,0
SSUSC84_RS00635,0,0,0,0,0,0
SSUSC84_RS09205,2222,2167,2548,1873,1230,1121
SSUSC84_RS04090,691,641,719,591,612,487
SSUSC84_RS05425,6175,5957,6089,7307,6453,5163
SSUSC84_RS04720,0,0,0,0,1,0
SSUSC84_RS07925,189,206,264,170,170,147
SSUSC84_RS00190,9,9,14,34,28,23
SSUSC84_RS01005,3603,3470,4311,3126,2996,2899
SSUSC84_RS10335,5,4,9,3,1,1
SSUSC84_RS08435,56527,62529,64125,51011,55831,43873
SSUSC84_RS07935,706,753,861,601,610,544
SSUSC84_RS07520,771,825,805,665,651,540
SSUSC84_RS08820,1449,2098,1861,1704,2399,1550
SSUSC84_RS09230,5779,4615,4586,4845,3937,2964
SSUSC84_RS00680,8,4,4,3,5,2
SSUSC84_RS02760,1278,1192,1235,1053,1009,784
SSUSC84_RS06080,799,806,849,878,661,669
SSUSC84_RS09040,537,467,557,389,319,291
SSUSC84_RS08225,281,303,336,219,197,168
SSUSC84_RS00400,4851,4530,4649,3601,3326,2882
SSUSC84_RS04300,2780,2966,3472,2323,2591,2252
SSUSC84_RS08810,2145,1989,2018,2275,1931,1514
SSUSC84_RS05985,3129,2717,3241,4271,3363,3112
SSUSC84_RS05220,2751,2998,3130,2620,2905,2445
SSUSC84_RS01630,75,102,95,57,85,67
SSUSC84_RS01260,7274,5979,6926,5418,3353,2875
SSUSC84_RS09380,837,842,933,670,424,379
SSUSC84_RS07780,558,581,596,543,438,385
SSUSC84_RS06290,1187,1225,1449,1327,1276,1092
SSUSC84_RS03720,509,530,598,695,616,528
SSUSC84_RS01750,3995,4337,4517,3044,3756,2773
SSUSC84_RS02180,0,0,0,0,0,0
SSUSC84_RS01885,529,510,630,415,369,311
SSUSC84_RS07195,936,711,827,817,739,651
SSUSC84_RS03700,0,0,0,0,0,0
SSUSC84_RS05675,19026,19217,21709,17506,18019,14232
SSUSC84_RS05055,3328,3799,3538,3221,3556,2624
SSUSC84_RS05125,21955,23728,22889,24135,28327,19820
SSUSC84_RS06240,141,154,155,98,94,89
SSUSC84_RS10310,0,0,0,1,0,1
SSUSC84_RS00010,3655,3902,3941,3919,4471,3403
SSUSC84_RS04965,33,60,82,28,25,39
SSUSC84_RS02125,14994,16036,17022,12207,13227,9585
SSUSC84_RS05305,1,0,2,0,1,1
SSUSC84_RS01865,1835,1914,2110,1605,1516,1317
SSUSC84_RS00620,0,0,0,0,0,0
SSUSC84_RS01210,724,654,595,853,790,492
SSUSC84_RS02210,101,81,118,102,95,61
SSUSC84_RS07205,1184,1178,1206,1111,1120,880
SSUSC84_RS09660,2,3,2,1,4,0
SSUSC84_RS06880,94,80,85,107,74,75
