,sczA_Cu1,sczA_Cu2,sczA_Cu3,sczA_Cu4
CHF17_RS03375,4544,4592,4248,6414
CHF17_RS03380,4636,5710,5208,7469
CHF17_RS03385,17427,16230,12949,15975
CHF17_RS03390,15465,15603,11555,10280
CHF17_RS03395,66462,63330,45633,46661
CHF17_RS03400,13537,8232,6732,7937
CHF17_RS03405,10280,3810,4496,7378
CHF17_RS03410,16068,6035,4803,6326
CHF17_RS03415,2527,2870,1639,1734
CHF17_RS03420,6319,9476,6740,7004
CHF17_RS03425,70099,51762,42594,43164
CHF17_RS03430,16810,12613,13387,11621
CHF17_RS03435,7149,4579,6906,5357
CHF17_RS03440,694,715,698,561
CHF17_RS03445,789,1084,907,762
CHF17_RS03450,372,503,471,354
CHF17_RS03455,532,863,651,538
CHF17_RS03460,399,749,540,395
CHF17_RS03465,98,189,165,117
CHF17_RS03470,539,1576,1129,853
CHF17_RS03475,431,1414,985,693
CHF17_RS03480,1681,4047,3186,2190
CHF17_RS03485,754,826,570,529
CHF17_RS03490,2182,2057,1423,1329
CHF17_RS03495,1731,1710,1320,1503
CHF17_RS03500,5659,3026,1457,1465
CHF17_RS03505,6316,3232,1771,2167
CHF17_RS03510,20699,16282,12247,13626
CHF17_RS03515,6060,5918,3710,4305
CHF17_RS03520,17504,22949,18945,21920
CHF17_RS03525,55861,60669,47333,43476
CHF17_RS03530,3946,2110,2120,2352
CHF17_RS03535,3017,1756,1453,2301
CHF17_RS03540,6031,3463,2886,4323
CHF17_RS03545,695460,480246,417730,473621
CHF17_RS03550,15755,10780,12861,12599
CHF17_RS03555,6544,4921,4131,5357
CHF17_RS03560,1939,1769,1758,2704
CHF17_RS03565,6768,6358,5186,7201
CHF17_RS03570,7972,7028,6321,6022
CHF17_RS03575,932,774,764,594
CHF17_RS03580,1186,1012,840,814
CHF17_RS03585,572,497,461,344
CHF17_RS03590,12,14,10,14
CHF17_RS03595,11,11,9,9
CHF17_RS03600,40,35,25,38
CHF17_RS03605,2,2,3,4
CHF17_RS03610,3,2,4,3
CHF17_RS03615,13,17,10,9
CHF17_RS03620,2,2,2,3
CHF17_RS03625,3,3,2,2
CHF17_RS03630,33,37,25,43
CHF17_RS03635,27,19,24,26
CHF17_RS03640,0,0,0,2
CHF17_RS03645,6,5,8,11
CHF17_RS03650,5,17,8,14
CHF17_RS03655,179,118,64,71
CHF17_RS03660,5625,4128,3206,3175
CHF17_RS03665,176,157,131,101
CHF17_RS03670,43,61,71,103
CHF17_RS03675,33,35,40,27
CHF17_RS03680,83478,51821,36098,48044
CHF17_RS03685,12,37,28,18
CHF17_RS03690,13,45,38,24
CHF17_RS03695,2,5,7,5
CHF17_RS03700,42,150,96,88
CHF17_RS03705,29,58,49,38
CHF17_RS03710,172,467,284,243
CHF17_RS03715,49,120,54,50
CHF17_RS03720,1027,570,365,388
CHF17_RS03725,715,739,505,512
CHF17_RS03730,490,688,529,495
CHF17_RS03735,125,207,136,129
CHF17_RS03740,173,351,303,231
CHF17_RS03745,269,428,374,254
CHF17_RS03750,23,21,13,11
CHF17_RS03755,3,4,6,1
CHF17_RS03760,5,5,9,4
CHF17_RS03765,13,20,25,27
CHF17_RS03770,1,2,1,3
CHF17_RS03775,22,58,40,34
CHF17_RS03780,9,23,13,15
CHF17_RS03785,15,29,31,26
CHF17_RS03790,19,39,34,36
CHF17_RS03795,151,200,176,252
CHF17_RS03800,105,69,45,72
CHF17_RS03805,8,2,2,8
CHF17_RS03810,9,2,7,4
CHF17_RS03815,37,39,36,29
CHF17_RS03820,2341,3501,2967,2738
CHF17_RS03825,343,393,307,251
CHF17_RS03830,3644,3216,2119,2485
CHF17_RS03835,375,333,254,277
CHF17_RS03840,8,12,5,7
CHF17_RS03845,5,5,4,4
CHF17_RS03850,5,6,7,2
CHF17_RS03855,4,1,5,5
CHF17_RS03860,1,3,1,1
CHF17_RS03865,2,2,3,0
CHF17_RS03870,2424,1791,1827,2565
CHF17_RS03875,196,174,184,245
CHF17_RS03880,2438,1913,1649,1972
CHF17_RS03885,135,98,103,106
CHF17_RS03890,52,54,53,51
CHF17_RS03895,8,10,12,12
CHF17_RS03900,10,6,9,11
CHF17_RS03905,1261,1805,1531,2170
CHF17_RS03910,335,575,491,547
CHF17_RS03915,1839,1996,1554,1642
CHF17_RS03920,2103,1946,1444,1592
CHF17_RS03925,323,279,224,252
CHF17_RS03930,359,449,314,331
CHF17_RS03935,4131,3251,2608,4366
CHF17_RS03940,160,244,211,284
CHF17_RS03945,413,564,477,575
CHF17_RS03950,3264,2896,2169,2893
CHF17_RS03955,869,1140,933,1009
CHF17_RS03960,314,490,408,499
CHF17_RS03965,271,490,396,559
CHF17_RS03970,403,508,453,568
CHF17_RS03975,1879,1897,1538,1879
CHF17_RS03980,150,196,141,153
CHF17_RS03985,51,78,66,65
CHF17_RS03990,19,26,17,27
CHF17_RS03995,20,28,26,26
CHF17_RS04000,1154,1296,767,807
CHF17_RS04005,1521,1630,1173,952
CHF17_RS04010,2,12,10,8
CHF17_RS04015,14938,21896,16808,13935
CHF17_RS04020,1547,1920,1409,1162
CHF17_RS04025,959,1465,1095,816
CHF17_RS04030,720,1243,948,708
CHF17_RS04035,716,890,357,238
CHF17_RS04040,1998,3946,2284,2243
CHF17_RS04045,1106,2993,1705,1660
CHF17_RS04050,262,733,427,529
CHF17_RS04055,1401,4091,2526,2812
CHF17_RS04060,2929,8551,6080,6795
CHF17_RS04065,2891,8334,6121,7075
CHF17_RS04070,6747,21342,14225,15373
CHF17_RS04075,2552,7355,4762,5146
CHF17_RS04080,5734,21265,15193,14255
CHF17_RS04085,7325,17146,10577,7894
CHF17_RS04090,5299,10862,6529,4550
CHF17_RS04095,116,122,118,118
CHF17_RS04100,211,177,189,202
CHF17_RS04105,685,571,660,942
CHF17_RS04110,455,416,352,605
CHF17_RS04115,104,72,82,92
CHF17_RS04120,69,49,53,81
CHF17_RS04125,6,9,13,14
CHF17_RS04130,26,39,39,54
CHF17_RS04135,47,43,44,74
CHF17_RS04140,166,213,168,183
CHF17_RS04145,486,401,351,516
CHF17_RS04150,379,372,304,488
CHF17_RS04155,138,122,96,139
CHF17_RS04160,263,241,212,272
CHF17_RS04165,12016,9402,7096,8188
CHF17_RS04170,2201,3225,2058,2722
CHF17_RS04175,2641,2173,1567,1906
CHF17_RS04180,401,1013,304,253
CHF17_RS04185,475,991,349,346
CHF17_RS04190,1315,767,593,770
CHF17_RS04195,4893,3492,2619,3528
CHF17_RS04200,805,1261,1127,1123
CHF17_RS04205,742,1059,1102,1040
CHF17_RS04210,57,55,39,49
CHF17_RS04215,85,85,64,85
CHF17_RS04220,868,883,736,1004
CHF17_RS04225,8207,4485,3798,5743
CHF17_RS04230,200,111,136,202
CHF17_RS04235,166,136,140,196
CHF17_RS04240,154,138,144,175
CHF17_RS04245,167,155,139,184
CHF17_RS04250,55,67,56,115
CHF17_RS04255,688,512,445,591
CHF17_RS04260,22636,12859,9581,13720
CHF17_RS04265,12109,13144,11922,12659
CHF17_RS04270,5960,6157,5753,7840
CHF17_RS04275,11355,13107,12315,14211
CHF17_RS04280,20863,21924,19420,23792
CHF17_RS04285,35396,58628,50378,43622
CHF17_RS04290,226,288,232,192
CHF17_RS04295,5313,2873,2204,3175
CHF17_RS04300,14637,14225,6348,6829
CHF17_RS04305,7085,12112,10871,5829
CHF17_RS04310,5167,10305,10068,5013
CHF17_RS04315,5049,11931,11909,6849
CHF17_RS04320,4330,9023,9156,5620
CHF17_RS04325,10023,11678,8304,9112
CHF17_RS04330,18969,29481,22860,21751
CHF17_RS04335,11242,17154,12373,11305
CHF17_RS04340,5541,7598,5749,4786
CHF17_RS04345,2464,1899,1437,1918
CHF17_RS04350,19391,22794,17941,17322
CHF17_RS04355,4199,3008,2333,3197
CHF17_RS04360,4446,4074,3290,5855
CHF17_RS04365,4789,4298,4252,10981
CHF17_RS04370,817,998,769,831
CHF17_RS04375,33855,33720,22620,26145
CHF17_RS04380,39090,35755,24907,27693
CHF17_RS04385,3483,2719,2163,2815
CHF17_RS04390,328,289,196,231
CHF17_RS04395,11818,14669,13152,14335
CHF17_RS04400,2533,3021,2635,2704
CHF17_RS04405,6468,6360,5355,5466
CHF17_RS04410,5847,5757,5166,5270
CHF17_RS04415,7315,9107,7405,10062
CHF17_RS04420,8517,10892,9949,13180
CHF17_RS04425,6804,7590,4787,6487
CHF17_RS04430,13653,14179,10146,12227
CHF17_RS04435,28244,24205,20363,20536
CHF17_RS04440,6524,5462,4794,4752
CHF17_RS04445,13557,15608,14597,14226
CHF17_RS04450,2893,2718,2295,2177
CHF17_RS04455,2057,1397,980,1264
CHF17_RS04460,23633,14469,12247,13668
CHF17_RS04465,1829,560,689,1203
CHF17_RS04470,712,277,369,785
CHF17_RS04475,1749,734,825,1959
CHF17_RS04480,1234,414,399,717
CHF17_RS04485,89524,50648,44664,50022
CHF17_RS04490,13941,6254,5207,6197
CHF17_RS04495,10836,8862,6022,6698
CHF17_RS04500,6589,6292,3982,4300
CHF17_RS04505,1218,880,581,650
CHF17_RS04510,21701,22901,12849,15070
CHF17_RS04515,1674,1167,911,1129
CHF17_RS04520,12197,8111,7257,8671
CHF17_RS04525,53181,37303,27869,32706
CHF17_RS04530,99833,81226,66034,74140
CHF17_RS04535,8586,8103,7600,7441
CHF17_RS04540,923410,903191,818509,767310
CHF17_RS04545,180648,136978,117985,110711
CHF17_RS04550,228917,174387,144287,135403
CHF17_RS04555,29627,29781,27733,27799
CHF17_RS04560,9605,9490,8196,8545
CHF17_RS04565,45036,34562,26444,27865
CHF17_RS04570,22757,18739,15074,16626
CHF17_RS04575,10982,5767,4806,7332
CHF17_RS04580,10373,13913,9227,9560
CHF17_RS04585,2011,7804,5185,3043
CHF17_RS04590,19014,17777,15894,14285
CHF17_RS04595,2946,1412,925,911
CHF17_RS04600,907,922,561,723
CHF17_RS04605,1202,1146,774,875
CHF17_RS04610,2157,2014,1405,1592
CHF17_RS04615,175960,240890,211393,150665
CHF17_RS04620,2560,1844,1754,1352
CHF17_RS04625,5651,4236,3260,3397
CHF17_RS04630,9393,7357,6152,6326
CHF17_RS04635,1221,888,975,933
CHF17_RS04640,453,408,373,388
CHF17_RS04645,1167,821,732,986
CHF17_RS04650,4071,2874,2520,2693
CHF17_RS04655,5849,3037,2435,3372
CHF17_RS04660,636,555,478,487
CHF17_RS04665,6850,5816,4259,4632
CHF17_RS04670,37775,25723,18095,33104
CHF17_RS04675,998,985,730,765
CHF17_RS04680,515,670,435,398
CHF17_RS04685,1950,1300,1098,1261
CHF17_RS04690,4598,2908,2002,2420
CHF17_RS04695,107,110,96,151
CHF17_RS04700,401,383,338,434
CHF17_RS04705,6010,4062,3367,3138
CHF17_RS04710,7794,9527,6687,6954
CHF17_RS04715,5660,5917,5455,6133
CHF17_RS04720,157,320,113,88
CHF17_RS04725,4078,1345,1040,2508
CHF17_RS04730,2202,1220,830,1174
CHF17_RS04735,1137,888,660,645
CHF17_RS04740,182,163,132,119
CHF17_RS04745,14072,10280,7955,7972
CHF17_RS04750,1158,738,615,583
CHF17_RS04755,36960,26718,22217,23850
CHF17_RS04760,1301,2172,2092,2109
CHF17_RS04765,3472,4396,3841,3587
CHF17_RS04770,97096,81223,53877,55807
CHF17_RS04775,8323,7454,6344,6741
CHF17_RS04780,16487,23506,22513,31927
CHF17_RS04785,2004,2334,1997,2205
CHF17_RS04790,6378,3998,2868,4302
CHF17_RS04795,296,55,61,109
CHF17_RS04800,422,84,62,231
CHF17_RS04805,397,88,82,225
CHF17_RS04810,1112,233,164,582
CHF17_RS04815,7345,1131,967,4136
CHF17_RS04820,37074,32291,28537,28094
CHF17_RS04825,80835,72854,61413,62854
CHF17_RS04830,15585,7159,5029,7401
CHF17_RS04835,31100,25620,21411,34777
CHF17_RS04840,335626,363650,329489,334594
CHF17_RS04845,99420,89789,73607,86756
CHF17_RS04850,15139,7779,6521,7370
CHF17_RS04855,18849,10846,9677,11485
CHF17_RS04860,16732,7330,6662,8481
CHF17_RS04865,7599,5232,4163,5180
CHF17_RS04870,45834,41186,29723,30985
CHF17_RS04875,2342,1655,1351,1657
CHF17_RS04880,13076,8822,6720,9171
CHF17_RS04885,51794,41072,35233,35464
CHF17_RS04890,4707,3593,3294,2919
CHF17_RS04895,243,725,387,331
CHF17_RS04900,229,501,300,230
CHF17_RS04905,130,28,18,62
CHF17_RS04910,109,28,28,112
CHF17_RS04915,152,78,56,170
CHF17_RS04920,78,34,31,127
CHF17_RS04925,112,47,24,134
CHF17_RS04930,94,39,41,123
CHF17_RS04935,77,57,46,143
CHF17_RS04940,52,42,45,102
CHF17_RS04945,4582,5635,5719,5455
CHF17_RS04950,2172,1424,1290,1872
CHF17_RS04955,4231,4127,3734,4998
CHF17_RS04960,3857,4215,3962,5649
CHF17_RS04965,5746,7441,6645,8374
CHF17_RS04970,1224,1322,970,1032
CHF17_RS04975,21822,24174,18219,15973
CHF17_RS04980,8618,8691,6442,7281
CHF17_RS04985,3040,2995,3001,4282
CHF17_RS04990,10894,10269,10004,13967
CHF17_RS04995,3376,1979,1759,3709
CHF17_RS05000,1669,1515,1500,3609
CHF17_RS05005,1321,1278,1233,3125
CHF17_RS05010,2202,2006,1615,3936
CHF17_RS05015,1907,1458,1161,2530
CHF17_RS05020,82722,75323,68412,106908
CHF17_RS05025,53063,51000,40963,58648
CHF17_RS05030,40755,42847,41149,66782
CHF17_RS05035,59696,75640,81176,152211
CHF17_RS05040,38750,52467,55555,113134
CHF17_RS05045,67972,92751,96852,167215
CHF17_RS05050,29748,37360,36665,55263
CHF17_RS05055,2470,2643,3504,5086
CHF17_RS05060,15953,15035,13254,16561
CHF17_RS05065,2749,2448,2441,2760
CHF17_RS05070,3830,5251,4064,4298
CHF17_RS05075,13253,11230,10319,13229
CHF17_RS05080,5278,5528,5283,7000
CHF17_RS05085,15040,21061,20731,25385
CHF17_RS05090,894,793,663,868
CHF17_RS05095,6791,6277,5600,7112
CHF17_RS05100,12198,18019,15703,16298
CHF17_RS05105,7841,8701,6878,6378
CHF17_RS05110,14034,10353,9149,9275
CHF17_RS05115,6793,6437,4808,5652
CHF17_RS05120,12444,11679,8925,14503
CHF17_RS05125,13479,13568,11881,20397
CHF17_RS05130,6186,10839,10876,17206
CHF17_RS05135,34948,36435,32600,41295
CHF17_RS05140,6395,6234,5391,5729
CHF17_RS05145,331,306,357,358
CHF17_RS05150,819,967,751,819
CHF17_RS05155,16701,12977,10011,10687
CHF17_RS05160,23783,17920,14469,15137
CHF17_RS05165,10529,9671,7691,8555
CHF17_RS05170,10772,12443,10150,11554
CHF17_RS05175,22305,23440,21218,22945
CHF17_RS05180,1457,1433,1275,1381
CHF17_RS05185,601,530,367,477
CHF17_RS05190,5199,4567,3599,4395
CHF17_RS05195,3000,2774,2346,2879
CHF17_RS05200,6403,4736,3927,4813
CHF17_RS05205,8152,6202,5224,6272
CHF17_RS05210,3919,5166,5279,5855
CHF17_RS05215,994,1398,1352,1396
CHF17_RS05220,250,255,268,241
CHF17_RS05225,809,818,668,773
CHF17_RS05230,261,281,193,235
CHF17_RS05235,21813,11593,7185,13592
CHF17_RS05240,33834,28457,24391,23797
CHF17_RS05245,1554,2629,1988,1613
CHF17_RS05250,4410,3616,2523,2658
CHF17_RS05255,3406,2694,2015,2106
CHF17_RS05260,4857,3747,2746,2774
CHF17_RS05265,1813,1768,1564,2304
CHF17_RS05270,3759,3357,2630,3223
CHF17_RS05275,4486,3016,2456,2737
CHF17_RS05280,290769,195312,187052,294887
CHF17_RS05285,9010,7053,5296,6597
CHF17_RS05290,50546,46243,32857,36598
CHF17_RS05295,44668,40794,27471,34384
CHF17_RS05300,25772,23533,15490,18290
CHF17_RS05305,12524,9080,8122,9802
CHF17_RS05310,78306,76185,79027,101930
CHF17_RS05315,254999,259844,252526,298572
CHF17_RS05320,15382,8805,5952,9214
CHF17_RS05325,4211,2462,1759,2560
CHF17_RS05330,15516,46733,31380,10901
CHF17_RS05335,995,1014,889,330
CHF17_RS05340,5781,7198,5711,5132
CHF17_RS05345,8701,12223,9218,7405
CHF17_RS05350,12510,17497,12825,9417
CHF17_RS05355,39520,25794,19935,22676
CHF17_RS05360,10746,6248,5009,4458
CHF17_RS05365,2543,1807,1664,1504
CHF17_RS05370,3588,2733,2359,2770
CHF17_RS05375,59389,32355,37081,62067
CHF17_RS05380,20218,19071,20863,26117
CHF17_RS05385,24557,22073,24787,27386
CHF17_RS05390,32626,25048,24746,25915
CHF17_RS05395,47160,59893,54338,38211
CHF17_RS05400,274740,183071,166464,161280
CHF17_RS05405,19432,26668,21936,23653
CHF17_RS05410,16076,19909,14805,14268
CHF17_RS05415,9509,10429,8450,7689
CHF17_RS05420,21740,23085,13499,13264
CHF17_RS05425,6431,6491,4607,4063
CHF17_RS05430,40433,45249,43199,45724
CHF17_RS05435,3003,2254,2051,2487
CHF17_RS05440,27638,23800,19730,22312
CHF17_RS05445,3720,3342,2747,3455
CHF17_RS05450,8133,6382,5273,6777
CHF17_RS05455,16447,16583,11674,13887
CHF17_RS05460,372,463,349,427
CHF17_RS05465,1424,1036,742,984
CHF17_RS05470,6952,5431,4120,5238
CHF17_RS05475,4405,3755,2647,3266
CHF17_RS05480,7955,7695,5630,6495
CHF17_RS05485,3883,3830,2659,2904
CHF17_RS05490,1476,1608,1282,1554
CHF17_RS05495,3266,2188,1942,2286
CHF17_RS05500,3275,2180,1917,2030
CHF17_RS05505,35258,36213,30073,28021
CHF17_RS05510,7891,7562,5687,5564
CHF17_RS05515,24433,31360,19522,18442
CHF17_RS05520,10660,11838,7952,8732
CHF17_RS05525,89855,92691,78288,83041
CHF17_RS05530,8298,10091,8744,6990
CHF17_RS05535,8113,11356,10861,8610
CHF17_RS05540,7441,11036,10946,9925
CHF17_RS05545,8120,9635,8898,8387
CHF17_RS05550,9343,9909,8626,8210
CHF17_RS05555,8876,8131,7778,7642
CHF17_RS05560,5503,3880,3505,3758
CHF17_RS05565,13411,8032,6602,6595
CHF17_RS05570,6241,3241,2931,2797
CHF17_RS05575,17235,10869,9268,9468
CHF17_RS05580,7160,6495,5241,5663
CHF17_RS05585,7353,6996,5105,5805
CHF17_RS05590,4801,4670,3595,5101
CHF17_RS05595,12538,13011,9655,12832
CHF17_RS05600,5461,5501,4091,5342
CHF17_RS05605,18614,16139,11296,12208
CHF17_RS05610,4522,4300,3429,4090
CHF17_RS05615,1509,1189,1119,1306
CHF17_RS05620,29029,21427,22022,20536
CHF17_RS05625,157,99,129,117
CHF17_RS05630,11903,10446,11952,10587
CHF17_RS05635,5965,6707,7839,6538
CHF17_RS05640,7720,8841,9771,8037
CHF17_RS05645,10121,8167,10101,9461
CHF17_RS05650,5917,4101,3771,4332
CHF17_RS05655,9541,7253,7035,8045
CHF17_RS05660,9440,7465,7235,8061
CHF17_RS05665,2395,839,1109,964
CHF17_RS05670,2949,3756,2077,2618
CHF17_RS05675,1665,1543,1214,1169
CHF17_RS05680,3708,4097,3038,3287
CHF17_RS05685,421,355,286,694
CHF17_RS05690,588,529,465,1125
CHF17_RS05695,238,158,128,215
CHF17_RS05700,668,716,581,1432
CHF17_RS05705,1381,1362,1229,3177
CHF17_RS05710,498,465,410,848
CHF17_RS05715,1183,991,954,2326
CHF17_RS05720,2357,1923,1625,4560
CHF17_RS05725,14334,1967,1433,18546
CHF17_RS05730,24465,3360,2608,36970
CHF17_RS05735,26735,4010,2633,40253
CHF17_RS05740,87315,6829,6324,245867
CHF17_RS05745,37406,1732,1966,84970
CHF17_RS05750,6575,255,286,12564
CHF17_RS05755,14540,507,620,31900
CHF17_RS05760,71682,3699,4298,175872
CHF17_RS05765,12893,864,861,28142
CHF17_RS05770,12288,747,877,31155
CHF17_RS05775,126124,1244,6872,273417
CHF17_RS05780,42963,230,3631,83016
CHF17_RS05785,42777,223,4872,73859
CHF17_RS05790,93625,3150,20628,126645
CHF17_RS05795,45807,1039,12016,49962
CHF17_RS05800,79838,1327,20658,72562
CHF17_RS05805,13072,15878,14961,14767
CHF17_RS05810,14933,17761,15754,14858
CHF17_RS05815,13252,7627,6279,10643
CHF17_RS05820,4751,2439,2254,3015
CHF17_RS05825,117,94,85,89
CHF17_RS05830,15282,11668,10448,12081
CHF17_RS05835,28677,23445,23262,36080
CHF17_RS05840,2870,2721,2853,4814
CHF17_RS05845,2782,2939,2856,4388
CHF17_RS05850,3682,3713,3664,5162
CHF17_RS05855,1976,1761,1609,2140
CHF17_RS05860,7361,7414,7130,9119
CHF17_RS05865,5287,6329,6241,7702
CHF17_RS05870,5965,4909,5572,6982
CHF17_RS05875,3164,1461,1270,1603
CHF17_RS05880,3731,1923,1611,1966
CHF17_RS05885,16956,7562,6292,8818
CHF17_RS05890,65543,38994,32916,42767
CHF17_RS05895,2738,2125,1589,1718
CHF17_RS05900,8723,12718,9754,8237
CHF17_RS05905,4656,8422,6771,7045
CHF17_RS05910,4146,4613,4067,4980
CHF17_RS05915,10080,11750,9990,13891
CHF17_RS05920,9088,10251,9632,14533
CHF17_RS05925,2331,2678,2864,4383
CHF17_RS05930,3301,4038,4027,6292
CHF17_RS05935,5913,5911,5737,9001
CHF17_RS05940,6766,4912,4319,6113
CHF17_RS05945,1170,515,296,443
CHF17_RS05950,5521,3779,3361,4209
CHF17_RS05955,3782,3112,2654,3325
CHF17_RS05960,6747,5623,4760,5907
CHF17_RS05965,2230,1873,1557,1456
CHF17_RS05970,8129,24402,24529,6948
CHF17_RS05975,3095,8177,7807,2524
CHF17_RS05980,93812,24505,22917,57345
CHF17_RS05985,5833,2657,2366,4042
CHF17_RS05990,2808,2749,1506,1894
CHF17_RS05995,43899,42343,34748,35663
CHF17_RS06000,1669,895,766,1289
CHF17_RS06005,34275,25936,21844,25626
CHF17_RS06010,3659,4998,4554,4246
CHF17_RS06015,4824,5579,5164,4733
CHF17_RS06020,6297,5988,4767,5031
CHF17_RS06025,6529,2962,2315,3693
CHF17_RS06030,27161,19014,16246,21914
CHF17_RS06035,30262,24500,21173,27662
CHF17_RS06040,13150,10549,8565,11379
CHF17_RS06045,8126,6966,4877,5304
CHF17_RS06050,3295,2985,2467,2338
CHF17_RS06055,12720,6951,5536,7515
CHF17_RS06060,1545,1504,1260,1765
CHF17_RS06065,6469,4576,3302,4158
CHF17_RS06070,5784,3776,3077,3939
CHF17_RS06075,2,5,5,5
CHF17_RS06080,2006,1273,937,977
CHF17_RS06085,19885,15155,12359,12612
CHF17_RS06090,7707,9169,7777,5586
CHF17_RS06095,5041,6659,6271,4738
CHF17_RS06100,6346,9232,8499,6649
CHF17_RS06105,7687,10271,9569,7981
CHF17_RS06110,5403,5527,4871,4483
CHF17_RS06115,4290,5151,3837,3491
CHF17_RS06120,3358,4727,3434,3498
CHF17_RS06125,4799,8004,6705,7637
CHF17_RS06130,2529,4355,4012,5005
CHF17_RS06135,7993,9236,8689,11673
CHF17_RS06140,7149,6058,5639,7457
CHF17_RS06145,7107,5842,5075,6941
CHF17_RS06150,4532,3602,3387,6033
CHF17_RS06155,8885,7225,4993,6462
CHF17_RS06160,46533,40028,29191,37454
CHF17_RS06165,10052,13240,10700,11350
CHF17_RS06170,4758,5768,4703,4518
CHF17_RS06175,22184,11314,9066,12342
CHF17_RS06180,2042,1313,1261,1072
CHF17_RS06185,204,197,92,125
CHF17_RS06190,1841,1626,1056,1022
CHF17_RS06195,8266,5941,3779,6123
CHF17_RS06200,2727,2610,2151,2390
CHF17_RS06205,6850,6322,5523,5461
CHF17_RS06210,17874,14021,11844,11347
CHF17_RS06215,11902,21139,13222,18001
CHF17_RS06220,4226,7231,4385,5899
CHF17_RS06225,6415,12725,7615,11656
CHF17_RS06230,1691,3939,2202,3246
CHF17_RS06235,3251,8779,4373,7888
CHF17_RS06240,1525,4433,1953,3999
CHF17_RS06245,2300,6673,2479,4579
CHF17_RS06250,14724,26560,19724,13713
CHF17_RS06255,3968,785,732,1901
CHF17_RS06260,306591,5582,49320,146538
CHF17_RS06265,1289,1463,1355,1228
CHF17_RS06270,8809,6972,5941,6741
CHF17_RS06275,2430,2170,1655,1621
CHF17_RS06280,7304,6113,5202,5841
CHF17_RS06285,13994,11324,8331,11243
CHF17_RS06290,667,471,328,444
CHF17_RS06295,484001,347133,298051,322547
CHF17_RS06300,7387,4043,3690,3472
CHF17_RS06305,1560,679,835,583
CHF17_RS06310,7764,3949,2947,3315
CHF17_RS06315,56808,40048,33366,30698
CHF17_RS06320,21344,16728,17494,20303
CHF17_RS06325,14304,10542,11720,13683
CHF17_RS06330,10066,6842,5082,6277
CHF17_RS06335,6907,5008,3710,3837
CHF17_RS06340,17106,18608,15435,17733
CHF17_RS06345,22510,30496,27262,21390
CHF17_RS06350,9566,15139,14506,11834
CHF17_RS06355,13065,23538,23396,21424
CHF17_RS06360,11680,18920,17529,15561
CHF17_RS06365,18146,27568,26531,24531
CHF17_RS06370,17167,25654,22643,21979
CHF17_RS06375,15787,23103,19251,17583
CHF17_RS06380,19954,28421,25081,22644
CHF17_RS06385,19299,27087,22480,21164
CHF17_RS06390,7376,9043,7989,7050
CHF17_RS06395,9528,12950,12278,12408
CHF17_RS06400,33644,45370,37942,35232
CHF17_RS06405,28317,30564,25829,25218
CHF17_RS06410,28750,31753,25639,25565
CHF17_RS06415,18043,17249,13795,12958
CHF17_RS06420,59380,56170,46536,47335
CHF17_RS06425,3886,2940,2243,2234
CHF17_RS06430,1691,1479,1358,1347
CHF17_RS06435,16588,15090,12380,16543
CHF17_RS06440,12161,10505,10062,14013
CHF17_RS06445,10140,12530,11363,17474
CHF17_RS06450,4530,4983,5444,10308
CHF17_RS06455,2654,2576,2616,5447
CHF17_RS06460,6152,5812,5820,11351
CHF17_RS06465,2864,2326,2380,4269
CHF17_RS06470,15569,16062,10583,13936
CHF17_RS06475,6185,5680,4726,5470
CHF17_RS06480,24931,25395,22910,24984
CHF17_RS06485,3164,3075,2269,1597
CHF17_RS06490,2799,3034,2580,1858
CHF17_RS06495,2510,2915,2240,1656
CHF17_RS06500,7152,6482,5524,5137
CHF17_RS06505,14489,16912,13843,26131
CHF17_RS06510,23416,28297,24249,47847
CHF17_RS06515,8272,10331,8160,13989
CHF17_RS06520,11228,11800,9342,13218
CHF17_RS06525,4022,3339,3038,4312
CHF17_RS06530,4776,3618,3215,4685
CHF17_RS06535,7894,10209,7955,8314
CHF17_RS06540,17529,13553,12949,24907
CHF17_RS06545,4398,2653,3367,11577
CHF17_RS06550,15141,10994,9730,18960
CHF17_RS06555,3884,3985,3630,5651
CHF17_RS06560,5865,5529,4998,6688
CHF17_RS06565,6366,4683,4501,6295
CHF17_RS06570,5230,5383,4233,4095
CHF17_RS06575,12993,13649,10879,8678
CHF17_RS06580,6500,5384,4334,5019
CHF17_RS06585,62,55,39,49
CHF17_RS06590,7082,12351,11127,8883
CHF17_RS06595,6103,8115,7187,6962
CHF17_RS06600,6761,8777,7568,6702
CHF17_RS06605,4737,5998,4786,4357
CHF17_RS06610,8730,10022,8208,7428
CHF17_RS06615,2520,2159,1583,1803
CHF17_RS06620,15664,8326,3854,5196
CHF17_RS06625,15765,9865,6296,7547
CHF17_RS06630,333,573,383,409
CHF17_RS06635,4237,3808,3046,6617
CHF17_RS06640,3614,3694,3083,6264
CHF17_RS06645,10766,11507,10456,21410
CHF17_RS06650,13254,12788,10208,16941
CHF17_RS06655,17695,10096,8585,9751
CHF17_RS06660,2491,1699,1643,1697
CHF17_RS06665,7842,6359,5103,5648
CHF17_RS06670,5710,2865,2683,3392
CHF17_RS06675,8077,7374,6039,6479
CHF17_RS06680,12896,8499,6579,8640
CHF17_RS06685,17020,11142,8485,11067
CHF17_RS06690,12416,6587,4716,6537
CHF17_RS06695,2321,1574,1315,1298
CHF17_RS06700,16683,15816,10617,14253
