,sczA_Cu1,sczA_Cu2,sczA_Cu3,sczA_Cu4
CHF17_RS00790,274,204,187,159
CHF17_RS00795,56,97,76,59
CHF17_RS00800,230,280,245,251
CHF17_RS00805,171,290,233,245
CHF17_RS00810,43,53,59,45
CHF17_RS00815,59,91,61,52
CHF17_RS00820,28,52,46,32
CHF17_RS00825,35,60,52,35
CHF17_RS00830,139,166,146,212
CHF17_RS00835,158,170,182,241
CHF17_RS00840,52,63,47,72
CHF17_RS00845,100,134,117,142
CHF17_RS00850,76,113,114,139
CHF17_RS00855,71,105,109,140
CHF17_RS00860,101,137,119,127
CHF17_RS00865,229,243,204,207
CHF17_RS00870,138,160,130,130
CHF17_RS00875,1415,1124,769,768
CHF17_RS00880,207,149,95,99
CHF17_RS00885,9411,5583,3973,5029
CHF17_RS00890,4615,2688,1918,2618
CHF17_RS00895,326,235,147,158
CHF17_RS00900,154,139,128,158
CHF17_RS00905,556,555,465,645
CHF17_RS00910,35,36,31,41
CHF17_RS00915,30,35,8,34
CHF17_RS00920,597,624,524,1027
CHF17_RS00925,161,179,180,360
CHF17_RS00930,564,674,527,1150
CHF17_RS00935,139,175,166,323
CHF17_RS00940,87,87,82,182
CHF17_RS00945,140,173,154,290
CHF17_RS00950,147,165,136,304
CHF17_RS00955,219,187,182,346
CHF17_RS00960,77,47,42,119
CHF17_RS00965,852,378,315,1752
CHF17_RS00970,327,176,155,597
CHF17_RS00975,978,538,475,1798
CHF17_RS00980,523,379,312,1152
CHF17_RS00985,99,96,72,217
CHF17_RS00990,87,81,56,125
CHF17_RS00995,99,121,73,111
CHF17_RS01000,152,198,130,179
CHF17_RS01005,748,985,719,963
CHF17_RS01010,27354,20425,15567,16144
CHF17_RS01015,279,337,366,206
CHF17_RS01020,2405,2007,1701,2881
CHF17_RS01025,6225,5598,4401,6417
CHF17_RS01030,6499,5460,4630,5996
CHF17_RS01035,18466,20328,10865,21267
CHF17_RS01040,9008,10840,7309,14432
CHF17_RS01045,40440,50668,42821,83516
CHF17_RS01050,4210,4423,3769,7628
CHF17_RS01055,1682,931,997,1453
CHF17_RS01060,3706,2357,2224,3349
CHF17_RS01065,1914,1442,1492,2488
CHF17_RS01070,494,332,351,636
CHF17_RS01075,1177,864,739,1598
CHF17_RS01080,4895,3644,2538,3204
CHF17_RS01085,231017,153239,128289,151106
CHF17_RS01090,46024,27577,21960,27131
CHF17_RS01095,14528,22105,19691,22318
CHF17_RS01100,26831,18015,14108,19720
CHF17_RS01105,2650,1651,1280,1455
CHF17_RS01110,3156,2627,1753,2451
CHF17_RS01115,15612,12026,9757,11517
CHF17_RS01120,15764,10181,8018,9501
CHF17_RS01125,21138,15535,10690,13279
CHF17_RS01130,713,827,838,1332
CHF17_RS01135,27132,26876,22266,21205
CHF17_RS01140,1311,1236,1200,1052
CHF17_RS01145,253,281,228,245
CHF17_RS01150,251,350,307,350
CHF17_RS01155,81,85,77,82
CHF17_RS01160,129,145,124,154
CHF17_RS01165,167,151,155,151
CHF17_RS01170,3,4,3,3
CHF17_RS01175,101,1045,113,113
CHF17_RS01180,69,179,72,68
CHF17_RS01185,3337,2609,2088,2468
CHF17_RS01190,8172,6545,4813,5834
CHF17_RS01195,162,195,143,129
CHF17_RS01200,149,212,143,154
CHF17_RS01205,455169,238639,218070,270645
CHF17_RS01210,75325,35998,39137,46155
CHF17_RS01215,7913,4764,3556,2401
CHF17_RS01220,13191,10496,8563,9244
CHF17_RS01225,83875,86448,72991,79188
CHF17_RS01230,36430,38446,23758,23189
CHF17_RS01235,5777,4142,2544,1796
CHF17_RS01240,895,789,461,605
CHF17_RS01245,42156,26926,22050,25095
CHF17_RS01250,81739,53270,46701,54375
CHF17_RS01255,10005,10126,7141,8519
CHF17_RS01260,18566,13368,10218,15081
CHF17_RS01265,15057,11795,8984,12242
CHF17_RS01270,41365,38167,28547,34091
CHF17_RS01275,4706,3294,2538,3508
CHF17_RS01280,5907,5123,5061,8358
CHF17_RS01285,4785,4675,5138,9017
CHF17_RS01290,1408,1608,1727,3315
CHF17_RS01295,10431,9539,8877,13283
CHF17_RS01300,11421,7350,5139,5850
CHF17_RS01305,10234,6376,5135,5695
CHF17_RS01310,69908,88415,74792,78030
CHF17_RS01315,7682,19419,16467,16085
CHF17_RS01320,6724,21955,18457,16063
CHF17_RS01325,5823,21124,17079,12877
CHF17_RS01330,9956,32161,26014,17600
CHF17_RS01335,3039,4478,2297,1439
CHF17_RS01340,3,20,10,5
CHF17_RS01345,940,1786,867,878
CHF17_RS01350,5,25,9,6
CHF17_RS01355,3,3,2,3
CHF17_RS01360,4632,3883,3202,4830
CHF17_RS01365,5599,7248,5230,7505
CHF17_RS01370,6977,8746,6858,8188
CHF17_RS01375,9643,10996,9613,11373
CHF17_RS01380,990,809,547,682
CHF17_RS01385,53661,29548,26245,34353
CHF17_RS01390,15888,20663,17027,21686
CHF17_RS01395,64713,56309,55765,118843
CHF17_RS01400,53092,62077,66349,122715
CHF17_RS01405,2241,1228,784,1462
CHF17_RS01410,3566,2065,1393,2137
CHF17_RS01415,1095,703,529,610
CHF17_RS01420,250,155,145,145
CHF17_RS01425,117,81,79,95
CHF17_RS01430,155,101,76,96
CHF17_RS01435,17524,11408,9754,10053
CHF17_RS01440,74728,46939,40514,42513
CHF17_RS01445,857,501,479,384
CHF17_RS01450,442,341,208,226
CHF17_RS01455,1888,1448,1075,1452
CHF17_RS01460,11914,8176,6476,8126
CHF17_RS01465,8854,8718,7672,10501
CHF17_RS01470,10262,9118,8487,12254
CHF17_RS01475,1011,762,705,821
CHF17_RS01480,808,375,316,325
CHF17_RS01485,3898,2367,1599,1945
CHF17_RS01490,15963,10418,8269,10033
CHF17_RS01495,7516,3889,3238,4599
CHF17_RS01500,173,112,104,134
CHF17_RS01505,1368,984,720,973
CHF17_RS01510,3438,3666,3157,4115
CHF17_RS01515,1785,1661,1310,1716
CHF17_RS01520,71,66,71,76
CHF17_RS01525,72,91,72,78
CHF17_RS01530,1,3,1,2
CHF17_RS01535,6597,6549,5129,5046
CHF17_RS01540,914,925,934,1396
