GeneID,WT_mapped_reads.11975585.,stk_mapped_reads.16477864.
SSU05_1503,119792,142587
SSU05_1560,6394,10281
SSU05_0118,285,298
SSU05_0277,4756,14074
SSU05_0004,24,45
SSU05_0773,400,226
SSU05_1715,2769,4632
SSU05_0588,94,375
SSU05_1130,183,689
SSU05_0283,7383,8802
SSU05_0664,2442,5145
SSU05_1337,309,563
SSU05_0305,7538,10368
SSU05_0357,915,7860
SSU05_1603,4684,10460
SSU05_0532,5355,10553
SSU05_0189,220,328
SSU05_0052,2243,3415
SSU05_1655,767,1317
SSU05_0226,3698,4856
SSU05_0120,16316,18596
SSU05_1480,8848,12215
SSU05_0139,2572,3697
SSU05_1851,6220,8044
SSU05_0868,117,268
SSU05_0801,3688,5172
SSU05_0240,9680,12213
SSU05_0078,27927,25887
SSU05_2072,70,128
SSU05_0835,2696,4529
SSU05_0713,33,30
SSU05_1619,5248,6789
SSU05_1034,43,755
SSU05_0815,1181,22143
SSU05_1519,17,9
SSU05_0732,41,25
SSU05_0201,2064,3041
SSU05_1543,6593,2691
SSU05_0003,453,1226
SSU05_0719,2523,2724
SSU05_1830,4469,4058
SSU05_1344,2264,5002
SSU05_0526,2594,5779
SSU05_0231,3345,8697
SSU05_0317,1227,2910
SSU05_0601,1006,1344
SSU05_0506,9230,15281
SSU05_0177,65256,95295
SSU05_2156,30367,23032
SSU05_0020,10897,15013
SSU05_0919,29,66
SSU05_1916,53,33
SSU05_1263,4167,8813
SSU05_1358,5905,13650
SSU05_2113,9607,12993
SSU05_0216,359,858
SSU05_1660,6256,13892
SSU05_0296,3624,5137
SSU05_0564,40397,55604
SSU05_0146,190,441
SSU05_1460,342,564
SSU05_0467,6739,8543
SSU05_0946,87,387
SSU05_2029,765,494
SSU05_0400,14,10
SSU05_0725,105,140
SSU05_0759,2715,5593
SSU05_0679,214,907
SSU05_1904,366,394
SSU05_1173,19095,24116
SSU05_1043,38,40
SSU05_0587,383,1093
SSU05_1495,2657,9030
SSU05_0124,61,105
SSU05_1589,343,641
SSU05_0409,3465,7328
SSU05_0524,4383,5795
SSU05_2097,2551,3897
SSU05_2108,2708,2773
SSU05_1093,8,26
SSU05_0090,96320,133414
SSU05_0757,2972,4575
SSU05_1724,129,471
SSU05_1108,2,2
SSU05_1081,10906,13551
SSU05_1697,235,841
SSU05_1945,586,235
SSU05_1676,1711,2787
SSU05_1956,693,4246
SSU05_0298,35690,16514
SSU05_0033,2806,997
SSU05_1044,3,2
SSU05_0912,128,704
SSU05_2007,208,453
SSU05_0485,1892,2380
SSU05_0252,9065,6265
SSU05_1233,890,2047
SSU05_1682,2023,6008
SSU05_1445,6415,6162
SSU05_0080,20289,23526
SSU05_0954,107,134
SSU05_2168,501,824
SSU05_0780,1486,1722
SSU05_1087,3206,3517
SSU05_0132,19,6
SSU05_1464,641,1594
SSU05_1838,34972,65317
SSU05_0248,262,338
SSU05_1629,226,1061
SSU05_1471,8520,13225
SSU05_1441,4869,8730
SSU05_1069,3852,3361
SSU05_0079,6114,8092
SSU05_1274,1841,4402
SSU05_0908,23,214
SSU05_2010,1900,3647
SSU05_1733,13336,13227
SSU05_0046,54,30
SSU05_1631,7016,4118
SSU05_1545,170,102
SSU05_0392,856,385
SSU05_1938,16,26
SSU05_1368,568,1360
SSU05_1066,5657,11625
SSU05_1801,26449,59800
SSU05_1870,986,1054
SSU05_0198,4299,7267
SSU05_0377,291,1195
SSU05_0410,1652,2807
SSU05_0019,790,1136
SSU05_1578,1399,3451
SSU05_0482,10367,18364
SSU05_1822,7803,7806
SSU05_1678,2334,5051
SSU05_1207,25150,62347
SSU05_1961,14733,11027
SSU05_2074,23,17
SSU05_1764,12605,6914
SSU05_0591,24,106
SSU05_1526,7,1
SSU05_1362,12292,16845
SSU05_1692,2831,6355
SSU05_1313,2826,4671
SSU05_1881,4233,4259
SSU05_0942,73,97
SSU05_0137,5894,6595
SSU05_0554,2,2
SSU05_1747,208,286
SSU05_1416,438,1360
SSU05_0446,39,54
SSU05_0165,1079,2003
SSU05_0457,1341,1012
SSU05_0196,27574,23744
SSU05_1296,4728,5913
SSU05_0530,443236,548844
SSU05_2041,6874,6512
SSU05_0820,2554,6137
SSU05_0055,12736,26228
SSU05_0452,207,269
SSU05_1620,6805,7597
SSU05_0917,845,1974
SSU05_2146,53,76
SSU05_0968,116,70
SSU05_0292,3520,3984
SSU05_0370,4588,5517
SSU05_1117,2,2
SSU05_2111,1113,1254
SSU05_0029,1595,744
SSU05_1845,3141,2482
SSU05_1023,2179,10795
SSU05_1404,1009,2817
SSU05_0999,1013,755
SSU05_0748,4116,3275
SSU05_0924,19,10
SSU05_0169,655,1088
SSU05_1704,3051,4323
SSU05_1907,25340,43474
SSU05_1103,4093,11275
SSU05_1883,15255,11995
SSU05_0676,40,83
SSU05_0026,175,168
SSU05_0632,7326,14041
SSU05_0315,871,2194
SSU05_1601,361,700
SSU05_2122,175,395
SSU05_0519,12345,20189
SSU05_0160,61235,86315
SSU05_0427,6190,10227
SSU05_1948,758,427
SSU05_0614,30094,39968
SSU05_0874,2025,6287
SSU05_2002,658,1488
SSU05_1432,2811,7332
SSU05_1614,5344,2385
SSU05_1475,45,84
SSU05_0102,55,71
SSU05_0758,6898,10346
SSU05_1707,1771,2285
SSU05_1388,801,1367
SSU05_0795,369,908
SSU05_0141,7512,8900
SSU05_0721,191,311
SSU05_2086,25004,36374
SSU05_0172,673,1430
SSU05_0788,574,923
SSU05_0652,1413,1878
SSU05_1457,280,385
SSU05_1467,2779,2909
SSU05_0910,54,171
SSU05_1504,3,8
SSU05_0259,66,67
SSU05_1088,1558,2787
SSU05_1905,1525,2740
SSU05_1848,1451,1663
SSU05_0477,3921,9387
SSU05_2069,28192,38640
SSU05_1784,1721,4650
SSU05_2066,582,642
SSU05_1228,24,96
SSU05_0407,-,2
SSU05_1247,361,1556
SSU05_0158,516,1340
SSU05_0214,1127,2905
SSU05_0865,33,334
SSU05_0785,817,992
SSU05_0434,1965,2294
SSU05_2126,37559,34614
SSU05_0334,7350,14096
SSU05_0930,37,35
SSU05_0263,819,558
SSU05_1052,2423,9337
SSU05_1097,624,1813
SSU05_0156,6,1
SSU05_0594,136,608
SSU05_1331,21746,20953
SSU05_0036,1287,2857
SSU05_0970,6,3
SSU05_2102,1,-
SSU05_1333,488,1178
SSU05_1419,1842,1196
SSU05_1558,1700,1902
SSU05_0403,16795,55714
SSU05_0284,9025,11748
SSU05_1641,8664,13542
SSU05_0585,324,424
SSU05_1216,58,35
SSU05_1165,5,10
SSU05_1371,14411,16655
SSU05_2159,2621,2059
SSU05_0243,143,135
SSU05_1931,960,1240
SSU05_1790,76,63
SSU05_0464,682,2168
SSU05_1879,3659,6010
SSU05_0001,3344,3633
SSU05_1320,2616,8132
SSU05_1834,8099,7350
SSU05_1710,4303,7791
SSU05_0186,1931,3795
SSU05_0300,53217,49061
SSU05_2142,853,697
SSU05_1378,18652,31940
SSU05_0557,2278,4229
SSU05_1873,3601,4414
SSU05_0127,47,14
SSU05_1132,729,865
SSU05_1976,1343,1424
SSU05_2021,1591,3846
SSU05_1000,46701,22534
SSU05_1193,332,606
SSU05_1911,854,1813
SSU05_0560,641,1454
SSU05_0859,118,248
SSU05_0535,803,1014
SSU05_1493,1882,4567
SSU05_2028,836,392
SSU05_1036,332,807
SSU05_1214,67,67
SSU05_0441,1,1
SSU05_2091,1159,982
SSU05_1869,9031,4058
SSU05_1777,2608,4579
SSU05_1172,53448,55661
SSU05_1231,1008,3048
SSU05_1752,1061,1054
SSU05_1775,360,733
SSU05_1306,7124,12656
SSU05_1973,2648,2349
SSU05_0073,16688,21608
SSU05_2003,175,587
SSU05_0983,31277,38751
SSU05_0606,7469,9541
SSU05_0655,1374,1210
SSU05_1533,2424,7496
SSU05_1895,1806,1775
SSU05_0961,179,452
SSU05_1393,1055,2065
SSU05_0089,21735,21584
SSU05_0136,6979,9153
SSU05_1923,2661,3579
SSU05_1667,6713,9917
SSU05_1197,825,1090
SSU05_2138,5124,4927
SSU05_1986,4931,5696
SSU05_0270,3762,9126
SSU05_1876,3878,5038
SSU05_0850,6589,7777
SSU05_0327,7,25
SSU05_0760,757,1295
SSU05_1638,39128,36597
SSU05_0308,253,161
SSU05_1900,720,895
SSU05_2082,31943,52376
SSU05_1288,1688,2663
SSU05_0688,3103,12347
SSU05_1637,112,243
SSU05_0491,3968,1675
SSU05_0892,88,489
SSU05_1953,2187,3950
SSU05_1785,880,2376
SSU05_1538,13013,8757
SSU05_0541,7575,6898
SSU05_0825,6537,6625
SSU05_0809,1147,1342
SSU05_0925,86,147
SSU05_1917,111,133
SSU05_1481,340,373
SSU05_0369,4856,5188
SSU05_1075,28222,30356
SSU05_0548,2567,7807
SSU05_1295,7401,13664
SSU05_2035,1958,3577
SSU05_1400,436,920
SSU05_0260,115,239
SSU05_0235,9799,9075
SSU05_0353,978,1493
SSU05_2194,179,413
SSU05_0394,2086,851
SSU05_2181,1734,4794
SSU05_1585,500,762
SSU05_0860,785,2207
SSU05_1413,-,-
SSU05_0644,740,2091
SSU05_1713,1518,6703
SSU05_1561,1245,4005
SSU05_0728,22288,31753
SSU05_1588,574,1186
SSU05_1251,1768,2595
SSU05_0239,11271,17747
SSU05_0343,313,670
SSU05_0059,6831,10263
SSU05_0763,773,2235
SSU05_1548,12134,9947
SSU05_0319,153,74
SSU05_1072,6,15
SSU05_1267,6091,8593
SSU05_1001,2858,1337
SSU05_0986,4,2
SSU05_0417,4021,10412
SSU05_1499,406,1636
SSU05_0680,947,983
SSU05_1375,8667,19752
SSU05_0742,115,313
SSU05_0744,2917,7842
SSU05_0958,231,375
SSU05_1901,2023,3989
SSU05_0456,451,533
SSU05_0176,1118,2374
SSU05_1147,128,476
SSU05_1357,3781,7965
SSU05_1572,625,629
SSU05_0463,1799,3656
SSU05_2078,126,129
SSU05_1282,4914,11468
SSU05_1146,112,454
SSU05_1786,1197,4406
SSU05_0836,321,795
SSU05_0147,5928,10186
SSU05_1663,10365,12460
SSU05_1753,1503,1504
SSU05_1448,12820,12988
SSU05_0957,254,552
SSU05_0656,152,92
SSU05_0695,2713,4228
SSU05_2152,693,2791
SSU05_1152,2800,2820
SSU05_2096,1429,2533
SSU05_1737,4474,9657
SSU05_0322,215,167
SSU05_1292,4293,5783
SSU05_0640,516,1085
SSU05_1967,10286,21520
SSU05_1539,17629,49110
SSU05_1009,365,3117
SSU05_0881,914,1142
SSU05_0210,371,1051
SSU05_1527,465,1825
SSU05_2043,1905,2425
SSU05_1082,1,1
SSU05_1157,721,581
SSU05_0966,54,117
SSU05_0391,55,2
SSU05_1668,5184,6098
SSU05_0151,16664,11481
SSU05_0501,50,78
SSU05_0817,150,334
SSU05_0518,259,219
SSU05_0470,128,456
SSU05_1863,87,101
SSU05_0084,22801,19779
SSU05_0515,3243,3489
SSU05_0928,18,54
SSU05_0885,177,215
SSU05_1748,2117,2006
SSU05_1805,26707,67946
SSU05_0938,8,6
SSU05_0280,100479,34386
SSU05_0161,30607,24969
SSU05_2011,2089,3665
SSU05_1508,646,1286
SSU05_0935,1857,4044
SSU05_1479,1689,3626
SSU05_1372,14814,21424
SSU05_0220,1377,2121
SSU05_1182,842,2220
SSU05_1798,12589,32894
SSU05_1424,151,517
SSU05_1849,6598,6768
SSU05_1129,1529,727
SSU05_2130,467,1262
SSU05_0856,4656,10468
SSU05_1398,1909,3279
SSU05_1995,1741,2298
SSU05_0579,14738,35930
SSU05_1813,1520,1587
SSU05_0257,784,890
SSU05_0500,10,73
SSU05_2173,1001,326
SSU05_0595,104,730
SSU05_0667,1899,1359
SSU05_1728,6376,9158
SSU05_0489,22685,18664
SSU05_0751,10450,17329
SSU05_1350,6389,6960
SSU05_1651,10879,13295
SSU05_0775,267,1667
SSU05_0373,8859,9861
SSU05_0716,3347,1304
SSU05_1179,2690,4908
SSU05_0398,1232,254
SSU05_0039,5841,6772
SSU05_0301,42,92
SSU05_2141,10622,10443
SSU05_0878,927,995
SSU05_0774,1220,1855
SSU05_2123,7490,4484
SSU05_0092,15712,20949
SSU05_0791,1495,32118
SSU05_0202,440,817
SSU05_1125,394,745
SSU05_1501,83,174
SSU05_0069,113,194
SSU05_1241,2937,9678
SSU05_0423,5522,8694
SSU05_0360,4251,3709
SSU05_0903,691,3159
SSU05_1720,13281,17456
SSU05_0346,1412,4698
SSU05_1991,6845,8869
SSU05_1223,124,68
SSU05_2110,757,1383
SSU05_0383,3587,5678
SSU05_1795,197,668
SSU05_0767,996,774
SSU05_2050,902,1599
SSU05_1852,7213,10270
SSU05_0380,321,1212
SSU05_1184,13284,11810
SSU05_0014,3911,5461
SSU05_0114,98,264
SSU05_2155,199,351
SSU05_1741,3123,4037
SSU05_1613,8519,43794
SSU05_0123,1337,10369
SSU05_0572,6153,20711
SSU05_0974,13,6
SSU05_1963,2446,2466
SSU05_0947,95,697
SSU05_1979,29025,26608
SSU05_1756,2145,1196
SSU05_1745,275,239
SSU05_0499,29,95
SSU05_0602,9434,11998
SSU05_0525,38,133
SSU05_0232,1116,1452
SSU05_0215,82,265
SSU05_2026,254,207
SSU05_1899,2989,5600
SSU05_2073,3,3
SSU05_0603,8356,13952
SSU05_1770,2698,6306
SSU05_0065,13287,20897
SSU05_1596,1314,2803
SSU05_1343,560,822
SSU05_1886,5743,4438
SSU05_1684,696,4448
SSU05_2062,25,6
SSU05_0468,22553,40415
SSU05_0021,8048,10988
SSU05_0005,92,236
SSU05_2095,52955,24444
SSU05_1714,150,313
SSU05_0091,3341,3964
SSU05_0712,1,-
SSU05_1696,2354,8287
SSU05_0911,359,1288
SSU05_1946,520,251
SSU05_1451,4751,7686
SSU05_0430,3209,2736
SSU05_0726,3,3
SSU05_1107,340,554
SSU05_2185,3,1
SSU05_2114,452,342
SSU05_1496,1630,6165
SSU05_0561,20028,62831
SSU05_2161,2608,2683
SSU05_0523,227,242
SSU05_0106,45,69
SSU05_1042,38,37
SSU05_0864,91,997
SSU05_1287,1841,3908
SSU05_2109,128,103
SSU05_2030,994,902
SSU05_0142,4080,5329
SSU05_0297,5723,7213
SSU05_0580,6690,14254
SSU05_1972,2145,1750
SSU05_2015,3185,3647
SSU05_1136,1255,1078
SSU05_1018,187,71
SSU05_0335,6663,17482
SSU05_0299,19392,11882
SSU05_1161,10,20
SSU05_0660,167,399
SSU05_1094,3010,10998
SSU05_1079,12383,11630
SSU05_2008,19,37
SSU05_0183,1391,2257
SSU05_0941,27,21
SSU05_0804,2490,3316
SSU05_1110,68,71
SSU05_0083,53654,66070
SSU05_1982,6126,14539
SSU05_2140,3089,1803
SSU05_1523,5,5
SSU05_0913,857,1656
SSU05_1232,226,964
SSU05_0630,321,738
SSU05_0365,3537,4115
SSU05_0784,2890,2807
SSU05_1935,1456,12190
SSU05_1246,-,1
SSU05_0647,1346,2303
SSU05_0633,566,1634
SSU05_1057,5260,12603
SSU05_1026,4602,2792
SSU05_1927,16583,18491
SSU05_0990,348,1704
SSU05_1189,2177,4552
SSU05_0171,188,424
SSU05_0659,390,747
SSU05_1461,216,319
SSU05_2039,1493,959
SSU05_1554,2653,3352
SSU05_2139,696,845
SSU05_2057,19,21
SSU05_0737,40,182
SSU05_0553,2257,1271
SSU05_0117,628,584
SSU05_0692,7722,16660
SSU05_0266,359,852
SSU05_1302,626,2012
SSU05_1673,7426,10079
SSU05_0950,-,2
SSU05_0544,43709,50178
SSU05_0855,4388,8548
SSU05_0889,13,31
SSU05_1291,207,443
SSU05_0625,20624,19709
SSU05_0596,714,866
SSU05_0589,34,35
SSU05_1213,63,63
SSU05_0304,4476,8759
SSU05_1717,6867,8126
SSU05_0356,18152,14679
SSU05_0070,33217,35156
SSU05_1256,843,610
SSU05_0032,2697,1276
SSU05_1511,2486,3739
SSU05_0703,496,1580
SSU05_0846,727,972
SSU05_0567,7849,11955
SSU05_1584,4583,7753
SSU05_1962,5640,7361
SSU05_1878,7176,11741
SSU05_0274,2015,1366
SSU05_0683,701,1491
SSU05_0050,4447,7292
SSU05_0896,1587,4636
SSU05_1890,626,556
SSU05_0800,1303,532
