,copY_Ctrl1,copY_Ctrl2,copY_Ctrl3,copY_Ctrl4
CHF17_RS00785,11697,13091,10165,8401
CHF17_RS00790,287,178,235,133
CHF17_RS00795,80,77,97,39
CHF17_RS00800,210,285,352,177
CHF17_RS00805,328,325,546,196
CHF17_RS00810,65,68,113,31
CHF17_RS00815,74,75,165,40
CHF17_RS00820,44,41,98,24
CHF17_RS00825,59,61,115,31
CHF17_RS00830,202,229,361,141
CHF17_RS00835,273,303,407,167
CHF17_RS00840,73,83,99,50
CHF17_RS00845,160,155,255,103
CHF17_RS00850,140,136,208,100
CHF17_RS00855,128,133,171,86
CHF17_RS00860,192,153,233,85
CHF17_RS00865,298,289,384,142
CHF17_RS00870,150,141,182,77
CHF17_RS00875,1133,1069,1158,507
CHF17_RS00880,161,151,204,62
CHF17_RS00885,4719,7206,4536,3019
CHF17_RS00890,2258,3997,2206,1716
CHF17_RS00895,220,208,265,111
CHF17_RS00900,151,193,183,81
CHF17_RS00905,601,799,819,391
CHF17_RS00910,45,43,53,28
CHF17_RS00915,26,30,46,20
CHF17_RS00920,784,980,1295,527
CHF17_RS00925,255,341,572,190
CHF17_RS00930,705,1185,1463,650
CHF17_RS00935,164,262,276,133
CHF17_RS00940,101,171,204,90
CHF17_RS00945,174,313,412,138
CHF17_RS00950,195,352,459,187
CHF17_RS00955,298,400,569,215
CHF17_RS00960,57,95,141,55
CHF17_RS00965,792,670,1054,860
CHF17_RS00970,345,346,465,340
CHF17_RS00975,998,998,1342,993
CHF17_RS00980,599,777,962,723
CHF17_RS00985,116,153,218,104
CHF17_RS00990,87,98,205,57
CHF17_RS00995,122,194,300,72
CHF17_RS01000,178,268,396,106
CHF17_RS01005,1047,1527,1734,549
CHF17_RS01010,17435,21467,21681,10123
CHF17_RS01015,400,180,343,126
CHF17_RS01020,2441,3040,2417,1574
CHF17_RS01025,5194,6248,5282,2762
CHF17_RS01030,4783,5772,4970,2637
CHF17_RS01035,10779,48431,11381,14379
CHF17_RS01040,7208,28261,7925,8492
CHF17_RS01045,37095,85294,39142,36413
CHF17_RS01050,5713,8712,7173,4015
CHF17_RS01055,1177,1404,1442,853
CHF17_RS01060,3337,3297,3701,2377
CHF17_RS01065,2332,2492,2663,1674
CHF17_RS01070,755,818,1140,419
CHF17_RS01075,1676,1627,1952,1175
CHF17_RS01080,2271,2289,2146,1465
CHF17_RS01085,186646,194510,159635,122262
CHF17_RS01090,31847,30454,29220,17896
CHF17_RS01095,38852,27085,31113,18562
CHF17_RS01100,20349,17094,17890,14515
CHF17_RS01105,1919,1435,1731,1123
CHF17_RS01110,3446,2721,3000,1679
CHF17_RS01115,10049,11951,8643,6332
CHF17_RS01120,6768,5831,5125,4064
CHF17_RS01125,5162,6214,4836,2815
CHF17_RS01130,1421,1765,1690,1122
CHF17_RS01135,34677,29664,29360,14545
CHF17_RS01140,1435,1241,1433,712
CHF17_RS01145,344,335,382,197
CHF17_RS01150,415,418,524,224
CHF17_RS01155,76,88,98,36
CHF17_RS01160,146,131,193,76
CHF17_RS01165,157,144,195,63
CHF17_RS01170,6,3,7,1
CHF17_RS01175,100,602,101,49
CHF17_RS01180,62,179,63,32
CHF17_RS01185,1850,2115,1848,1086
CHF17_RS01190,4860,5425,4831,2927
CHF17_RS01195,142,146,136,64
CHF17_RS01200,139,112,173,48
CHF17_RS01205,266580,359267,227248,229778
CHF17_RS01210,28291,31901,23521,26266
CHF17_RS01215,7572,5718,9959,1412
CHF17_RS01220,11593,9877,11992,4793
CHF17_RS01225,82482,87011,73324,42027
CHF17_RS01230,18790,19944,18311,12005
CHF17_RS01235,3666,3104,5102,1272
CHF17_RS01240,942,975,916,514
CHF17_RS01245,40281,43499,36814,19593
CHF17_RS01250,66171,75172,56708,40312
CHF17_RS01255,7682,8048,7508,4090
CHF17_RS01260,11294,13162,9981,9912
CHF17_RS01265,9226,8556,8227,5190
CHF17_RS01270,29232,25793,25397,14507
CHF17_RS01275,4083,6282,4618,2623
CHF17_RS01280,7217,10269,8093,5928
CHF17_RS01285,6775,8864,8020,5635
CHF17_RS01290,2484,2943,2812,1955
CHF17_RS01295,13985,13448,13395,7568
CHF17_RS01300,13020,13586,11360,6674
CHF17_RS01305,6931,8371,6062,3869
CHF17_RS01310,93197,122490,89701,62573
CHF17_RS01315,21054,21392,23835,12178
CHF17_RS01320,23158,21627,27382,11939
CHF17_RS01325,28856,21195,33740,10056
CHF17_RS01330,40400,27951,42736,13489
CHF17_RS01335,5268,2066,5956,8047
CHF17_RS01340,6,2,4,79
CHF17_RS01345,1490,343,739,9314
CHF17_RS01350,6,2,3,157
CHF17_RS01355,2,4,4,3
CHF17_RS01360,3569,4736,4025,2262
CHF17_RS01365,6388,5948,7288,3000
CHF17_RS01370,10144,8705,10860,4233
CHF17_RS01375,13090,11112,11946,6707
CHF17_RS01380,783,738,777,455
CHF17_RS01385,31229,37327,27433,23044
CHF17_RS01390,26594,23304,28154,11629
CHF17_RS01395,86238,100754,121248,71135
CHF17_RS01400,139033,128236,176209,76116
CHF17_RS01405,2301,2695,1557,1161
CHF17_RS01410,2629,3508,1583,1593
CHF17_RS01415,715,771,420,368
CHF17_RS01420,117,106,126,52
CHF17_RS01425,81,82,70,52
CHF17_RS01430,79,94,72,47
CHF17_RS01435,11365,12684,11331,7357
CHF17_RS01440,43707,49077,39718,33551
CHF17_RS01445,609,498,602,348
CHF17_RS01450,347,335,419,162
CHF17_RS01455,1309,1251,1376,733
CHF17_RS01460,6084,6748,6207,4584
CHF17_RS01465,6400,8061,6818,4436
CHF17_RS01470,8130,10399,7725,5818
CHF17_RS01475,526,569,529,328
CHF17_RS01480,455,581,586,161
CHF17_RS01485,2590,2664,2949,957
CHF17_RS01490,10026,10559,9550,5280
CHF17_RS01495,2006,2508,1916,1811
CHF17_RS01500,125,99,117,98
CHF17_RS01505,851,1014,801,527
CHF17_RS01510,3047,3321,2762,1897
CHF17_RS01515,1435,1596,1254,828
CHF17_RS01520,65,73,74,46
CHF17_RS01525,72,88,87,51
CHF17_RS01530,1,1,2,1
CHF17_RS01535,3418,3089,3707,2142
CHF17_RS01540,429,627,561,530
CHF17_RS01545,270,441,346,343
CHF17_RS01550,240,400,449,372
CHF17_RS01555,277,370,440,327
CHF17_RS01560,334,420,326,178
CHF17_RS01565,718,672,655,380
CHF17_RS01570,256,254,348,126
CHF17_RS01575,51,36,59,28
CHF17_RS01580,235,236,259,142
CHF17_RS01585,272,215,314,112
CHF17_RS01590,449,281,506,125
CHF17_RS01595,403,838,524,250
CHF17_RS01600,58031,42309,54300,19818
CHF17_RS01605,26860,27157,32130,18089
CHF17_RS01610,6972,8326,10515,5566
CHF17_RS01615,5541,7040,8186,4945
CHF17_RS01620,1807,2521,2814,1814
CHF17_RS01625,11078,13646,17455,9169
CHF17_RS01630,5743,6902,7812,3691
CHF17_RS01635,4726,5918,4493,3096
CHF17_RS01640,4482,4977,4516,2098
CHF17_RS01645,39150,35631,41034,18040
CHF17_RS01650,299,273,324,156
CHF17_RS01655,395,374,418,203
CHF17_RS01660,141825,91736,131073,38416
CHF17_RS01665,145108,96909,128985,41590
CHF17_RS01670,17276,16187,13891,9444
CHF17_RS01675,3473,4719,3304,2388
CHF17_RS01680,50,49,73,27
CHF17_RS01685,202,208,306,104
CHF17_RS01690,83,59,100,24
CHF17_RS01695,46,23,61,9
CHF17_RS01700,37,21,39,6
CHF17_RS01705,1445,1898,1513,882
CHF17_RS01710,17174,20552,17396,7193
CHF17_RS01715,14456,11785,17154,4619
CHF17_RS01720,12975,9709,12733,2814
CHF17_RS01725,28,19,28,9
CHF17_RS01730,23,18,29,11
CHF17_RS01735,296,314,298,188
CHF17_RS01740,1270,1432,1297,986
CHF17_RS01745,845,969,886,995
CHF17_RS01750,11994,13610,10266,7050
CHF17_RS01755,21231,25886,18117,11545
CHF17_RS01760,10205,13224,8965,5972
CHF17_RS01765,13837,21434,12952,9149
CHF17_RS01770,5268,2066,5956,8047
CHF17_RS01775,6,2,4,79
CHF17_RS01780,1490,343,739,9314
CHF17_RS01785,7,2,3,157
CHF17_RS01790,73,28,62,11
CHF17_RS01795,189,83,154,34
CHF17_RS01800,333,179,266,66
CHF17_RS01805,297,176,221,65
CHF17_RS01810,274,183,191,61
CHF17_RS01815,174,115,108,38
CHF17_RS01820,184,130,125,51
CHF17_RS01825,226,167,169,69
CHF17_RS01830,242,163,177,73
CHF17_RS01835,340,213,258,98
CHF17_RS01840,511,339,406,155
CHF17_RS01845,574,395,459,187
CHF17_RS01850,553,799,656,305
CHF17_RS01855,2520,3500,2832,1720
CHF17_RS01860,1349,1640,1469,1028
CHF17_RS01865,1417,1454,1527,792
CHF17_RS01870,1756,1858,1913,1201
CHF17_RS01875,760,1102,780,286
CHF17_RS01880,607,657,708,173
CHF17_RS01885,2203,2559,2137,1113
CHF17_RS01890,2119,2279,2636,1833
CHF17_RS01895,1066,1180,1149,805
CHF17_RS01900,101,140,154,75
CHF17_RS01905,571,619,594,381
CHF17_RS01910,1048,1068,998,666
CHF17_RS01915,577,613,633,442
CHF17_RS01920,1370,2474,1525,897
CHF17_RS01925,455,939,583,186
CHF17_RS01930,25608,29223,24099,15363
CHF17_RS01935,9611,13663,9054,7188
CHF17_RS01940,397,380,387,248
