,copY_Ctrl1,copY_Ctrl2,copY_Ctrl3,copY_Ctrl4
CHF17_RS03375,5422,7341,6277,3812
CHF17_RS03380,6236,7514,7066,3812
CHF17_RS03385,15280,18170,16150,9654
CHF17_RS03390,26903,20515,30335,22291
CHF17_RS03395,59572,53342,65740,27264
CHF17_RS03400,6123,6792,5081,3847
CHF17_RS03405,4801,11009,3500,10793
CHF17_RS03410,11316,13652,10265,7818
CHF17_RS03415,4043,2975,3926,1283
CHF17_RS03420,13066,9835,11326,5130
CHF17_RS03425,70324,62816,57595,31083
CHF17_RS03430,14608,11230,10237,7725
CHF17_RS03435,6139,4538,4541,3789
CHF17_RS03440,882,588,851,317
CHF17_RS03445,1524,1024,1378,341
CHF17_RS03450,807,581,846,214
CHF17_RS03455,1010,776,1046,295
CHF17_RS03460,811,659,788,214
CHF17_RS03465,266,174,302,56
CHF17_RS03470,1461,690,2039,212
CHF17_RS03475,1503,622,1666,241
CHF17_RS03480,4871,2372,5592,902
CHF17_RS03485,860,678,1042,332
CHF17_RS03490,1903,1574,2639,805
CHF17_RS03495,1948,1481,1915,906
CHF17_RS03500,2388,2560,3214,654
CHF17_RS03505,2385,2329,3101,791
CHF17_RS03510,13683,13274,13027,7773
CHF17_RS03515,6008,6897,6453,2466
CHF17_RS03520,31377,32782,32932,13394
CHF17_RS03525,86729,70099,82967,28068
CHF17_RS03530,3100,3303,2912,2070
CHF17_RS03535,1606,2191,1768,1380
CHF17_RS03540,2845,3788,3049,2347
CHF17_RS03545,532354,628252,408071,392096
CHF17_RS03550,11643,11409,10596,9999
CHF17_RS03555,5103,6931,5697,3143
CHF17_RS03560,1624,2308,1823,1499
CHF17_RS03565,6629,7966,8077,4146
CHF17_RS03570,7552,6286,7246,4062
CHF17_RS03575,920,688,969,489
CHF17_RS03580,1371,1167,1303,674
CHF17_RS03585,479,371,425,229
CHF17_RS03590,8,8,22,9
CHF17_RS03595,10,13,14,2
CHF17_RS03600,41,28,53,21
CHF17_RS03605,4,3,2,0
CHF17_RS03610,2,2,3,1
CHF17_RS03615,11,8,14,6
CHF17_RS03620,3,6,6,1
CHF17_RS03625,3,2,3,2
CHF17_RS03630,41,36,37,13
CHF17_RS03635,21,24,34,13
CHF17_RS03640,0,1,0,1
CHF17_RS03645,8,4,10,5
CHF17_RS03650,11,18,16,3
CHF17_RS03655,139,131,160,42
CHF17_RS03660,3895,4076,3967,1977
CHF17_RS03665,182,176,241,73
CHF17_RS03670,65,47,68,38
CHF17_RS03675,25,21,17,12
CHF17_RS03680,44437,49630,43060,30209
CHF17_RS03685,38,29,37,11
CHF17_RS03690,33,24,41,13
CHF17_RS03695,9,5,8,3
CHF17_RS03700,99,72,102,26
CHF17_RS03705,21,29,29,9
CHF17_RS03710,246,234,341,66
CHF17_RS03715,49,51,63,17
CHF17_RS03720,595,613,694,226
CHF17_RS03725,630,950,745,237
CHF17_RS03730,680,730,912,233
CHF17_RS03735,255,240,320,72
CHF17_RS03740,453,327,477,130
CHF17_RS03745,639,437,789,158
CHF17_RS03750,43,31,53,11
CHF17_RS03755,12,4,15,0
CHF17_RS03760,11,3,8,1
CHF17_RS03765,39,22,39,6
CHF17_RS03770,3,1,4,1
CHF17_RS03775,62,53,65,13
CHF17_RS03780,19,13,30,5
CHF17_RS03785,34,21,32,4
CHF17_RS03790,31,24,28,16
CHF17_RS03795,281,199,292,83
CHF17_RS03800,72,68,68,53
CHF17_RS03805,2,2,2,1
CHF17_RS03810,4,3,2,3
CHF17_RS03815,29,64,58,26
CHF17_RS03820,5127,3412,5520,1238
CHF17_RS03825,682,386,793,97
CHF17_RS03830,3168,2178,3150,1192
CHF17_RS03835,297,251,291,140
CHF17_RS03840,8,11,12,4
CHF17_RS03845,5,2,3,3
CHF17_RS03850,6,7,13,1
CHF17_RS03855,3,1,2,1
CHF17_RS03860,1,0,1,1
CHF17_RS03865,6,2,2,2
CHF17_RS03870,2153,2495,1894,1548
CHF17_RS03875,173,204,178,104
CHF17_RS03880,2693,2747,2497,1231
CHF17_RS03885,123,105,127,71
CHF17_RS03890,73,40,71,24
CHF17_RS03895,12,11,18,4
CHF17_RS03900,13,10,12,4
CHF17_RS03905,2583,2982,3635,1052
CHF17_RS03910,732,762,859,282
CHF17_RS03915,2400,2566,3271,868
CHF17_RS03920,2159,2186,2700,813
CHF17_RS03925,224,200,230,147
CHF17_RS03930,489,457,485,296
CHF17_RS03935,2822,2887,3107,2214
CHF17_RS03940,353,390,375,252
CHF17_RS03945,783,930,816,561
CHF17_RS03950,3073,3500,3455,2547
CHF17_RS03955,980,1002,1033,674
CHF17_RS03960,365,322,409,176
CHF17_RS03965,298,351,346,200
CHF17_RS03970,291,338,387,212
CHF17_RS03975,1102,1211,1345,707
CHF17_RS03980,192,183,251,79
CHF17_RS03985,66,54,59,29
CHF17_RS03990,16,12,18,13
CHF17_RS03995,20,20,16,16
CHF17_RS04000,635,513,653,239
CHF17_RS04005,1064,843,1025,401
CHF17_RS04010,13,11,11,5
CHF17_RS04015,19734,12019,17659,5743
CHF17_RS04020,2582,1702,2656,882
CHF17_RS04025,1988,1222,1963,647
CHF17_RS04030,1642,885,1570,463
CHF17_RS04035,1344,794,2128,295
CHF17_RS04040,5162,3859,7517,2381
CHF17_RS04045,4582,3835,6913,1924
CHF17_RS04050,1173,1001,1800,563
CHF17_RS04055,5143,5280,7494,3018
CHF17_RS04060,9933,12072,15283,7971
CHF17_RS04065,9745,12660,15211,8090
CHF17_RS04070,19353,28238,38114,17942
CHF17_RS04075,8629,10898,17711,7007
CHF17_RS04080,26396,30450,43948,19093
CHF17_RS04085,17987,17471,26753,9062
CHF17_RS04090,12310,10987,16449,5562
CHF17_RS04095,114,117,154,119
CHF17_RS04100,218,268,315,216
CHF17_RS04105,728,885,1053,858
CHF17_RS04110,585,554,961,535
CHF17_RS04115,51,62,44,39
CHF17_RS04120,41,52,26,20
CHF17_RS04125,6,9,8,3
CHF17_RS04130,27,36,37,21
CHF17_RS04135,37,45,48,20
CHF17_RS04140,146,141,174,74
CHF17_RS04145,245,234,246,183
CHF17_RS04150,221,244,241,164
CHF17_RS04155,95,88,83,65
CHF17_RS04160,166,176,165,94
CHF17_RS04165,4835,5870,4403,3524
CHF17_RS04170,1103,974,1184,1018
CHF17_RS04175,1017,1679,957,806
CHF17_RS04180,802,2366,607,750
CHF17_RS04185,1173,2576,939,1058
CHF17_RS04190,673,836,671,615
CHF17_RS04195,2370,3139,2207,1692
CHF17_RS04200,1068,950,1089,675
CHF17_RS04205,1007,922,1138,598
CHF17_RS04210,41,46,55,19
CHF17_RS04215,55,64,79,38
CHF17_RS04220,768,762,903,345
CHF17_RS04225,3925,4937,3356,2893
CHF17_RS04230,101,124,99,91
CHF17_RS04235,162,197,206,129
CHF17_RS04240,184,214,220,115
CHF17_RS04245,171,198,212,108
CHF17_RS04250,69,89,98,59
CHF17_RS04255,446,511,497,293
CHF17_RS04260,7684,9592,6730,4703
CHF17_RS04265,23842,17876,20798,9970
CHF17_RS04270,5815,7296,6240,4183
CHF17_RS04275,14205,15621,13786,7087
CHF17_RS04280,22531,23398,21554,12227
CHF17_RS04285,50863,53022,45209,27021
CHF17_RS04290,509,351,539,198
CHF17_RS04295,1792,2231,1663,1405
CHF17_RS04300,8210,10477,9044,3544
CHF17_RS04305,11364,6998,12307,5221
CHF17_RS04310,11918,6989,10569,5508
CHF17_RS04315,14389,8515,13394,6254
CHF17_RS04320,11528,6691,10210,4769
CHF17_RS04325,8580,10100,7860,4610
CHF17_RS04330,25859,25000,23035,9674
CHF17_RS04335,15235,13981,14069,5187
CHF17_RS04340,6297,6054,5866,2462
CHF17_RS04345,1848,1639,2073,1045
CHF17_RS04350,24728,22131,28819,9286
CHF17_RS04355,2700,3874,3227,1891
CHF17_RS04360,3748,5516,4589,3132
CHF17_RS04365,7827,9223,10093,6286
CHF17_RS04370,738,731,756,348
CHF17_RS04375,12297,12721,11825,7505
CHF17_RS04380,11406,11983,10214,7099
CHF17_RS04385,1248,1298,994,890
CHF17_RS04390,352,412,341,151
CHF17_RS04395,17570,17003,18664,8286
CHF17_RS04400,4483,3915,4497,1605
CHF17_RS04405,3895,3571,4410,2162
CHF17_RS04410,2414,2376,2760,1834
CHF17_RS04415,9909,9953,10689,4917
CHF17_RS04420,12095,12203,11742,6673
CHF17_RS04425,6719,6156,7119,2858
CHF17_RS04430,11085,9856,12150,5103
CHF17_RS04435,29156,22686,24598,13365
CHF17_RS04440,9404,9707,10237,4568
CHF17_RS04445,25883,27237,25833,13168
CHF17_RS04450,3629,3535,5014,1676
CHF17_RS04455,1031,1139,1091,943
CHF17_RS04460,9199,9694,8058,7590
CHF17_RS04465,1094,1248,1720,1729
CHF17_RS04470,656,806,1018,1113
CHF17_RS04475,1837,1960,2660,2240
CHF17_RS04480,807,831,1112,782
CHF17_RS04485,80712,86360,68244,43526
CHF17_RS04490,6627,8061,6533,5260
CHF17_RS04495,4551,5869,4312,3277
CHF17_RS04500,2836,3238,2674,1882
CHF17_RS04505,734,790,695,347
CHF17_RS04510,17010,14071,14225,6696
CHF17_RS04515,1115,1191,988,787
CHF17_RS04520,6402,6447,5577,4931
CHF17_RS04525,24236,30736,18773,13718
CHF17_RS04530,102561,123363,87749,61690
CHF17_RS04535,11681,9942,11631,5254
CHF17_RS04540,1130960,982056,922137,558336
CHF17_RS04545,124173,137939,102260,77342
CHF17_RS04550,152437,172861,126076,90717
CHF17_RS04555,27905,23374,27231,11473
CHF17_RS04560,8557,7454,8538,3628
CHF17_RS04565,34099,29314,29859,18315
CHF17_RS04570,18287,18648,17400,9595
CHF17_RS04575,8735,7192,5213,7056
CHF17_RS04580,15506,8092,15823,6039
CHF17_RS04585,10289,4084,11460,1845
CHF17_RS04590,23577,16718,21390,8280
CHF17_RS04595,1384,1510,1481,549
CHF17_RS04600,1154,674,908,522
CHF17_RS04605,1631,940,1315,650
CHF17_RS04610,3146,1713,2325,1186
CHF17_RS04615,271687,151528,231900,87691
CHF17_RS04620,1902,1837,1703,1105
CHF17_RS04625,4791,4412,4277,2516
CHF17_RS04630,9190,7321,8615,3256
CHF17_RS04635,1060,856,960,540
CHF17_RS04640,328,292,321,214
CHF17_RS04645,615,637,623,338
CHF17_RS04650,2039,2028,1855,988
CHF17_RS04655,1811,1830,1830,1168
CHF17_RS04660,583,571,654,289
CHF17_RS04665,5236,5226,5013,2491
CHF17_RS04670,21807,27853,17304,18942
CHF17_RS04675,529,464,532,264
CHF17_RS04680,758,541,713,229
CHF17_RS04685,1350,1274,1432,779
CHF17_RS04690,2610,2568,2493,1514
CHF17_RS04695,125,133,162,100
CHF17_RS04700,417,426,460,252
CHF17_RS04705,6696,6726,6053,3056
CHF17_RS04710,6507,5109,6319,3350
CHF17_RS04715,6573,5530,6128,3243
CHF17_RS04720,525,1855,408,671
CHF17_RS04725,1704,3143,1504,1832
CHF17_RS04730,668,1183,615,657
CHF17_RS04735,765,735,829,338
CHF17_RS04740,114,106,116,57
CHF17_RS04745,8142,6286,6425,3846
CHF17_RS04750,612,450,472,360
CHF17_RS04755,27073,35859,25983,15643
CHF17_RS04760,2729,3442,3388,1503
CHF17_RS04765,4842,4672,5340,2147
CHF17_RS04770,37585,39562,38841,27666
CHF17_RS04775,4842,5393,6443,3822
CHF17_RS04780,32229,36634,43663,24248
CHF17_RS04785,3362,3482,4472,1904
CHF17_RS04790,2350,2750,2384,2252
CHF17_RS04795,87,100,61,99
CHF17_RS04800,121,177,115,211
CHF17_RS04805,107,149,89,201
CHF17_RS04810,246,359,187,542
CHF17_RS04815,4114,3947,1142,3362
CHF17_RS04820,26038,30184,22484,12225
CHF17_RS04825,58032,74884,48340,27505
CHF17_RS04830,4725,9628,4517,3730
CHF17_RS04835,25561,27755,26127,22092
CHF17_RS04840,409475,404195,346786,237992
CHF17_RS04845,71963,79356,62227,47063
CHF17_RS04850,9013,8989,9881,4248
CHF17_RS04855,11798,13100,11783,6353
CHF17_RS04860,9490,10689,9402,7469
CHF17_RS04865,4813,4925,4600,3338
CHF17_RS04870,33620,33444,30562,16885
CHF17_RS04875,1236,1300,1088,872
CHF17_RS04880,6921,7618,6251,5418
CHF17_RS04885,39371,39663,31497,22407
CHF17_RS04890,3840,3805,3241,2092
CHF17_RS04895,1404,423,2066,131
CHF17_RS04900,810,261,1244,106
CHF17_RS04905,141,123,40,113
CHF17_RS04910,118,150,39,100
CHF17_RS04915,193,248,89,182
CHF17_RS04920,85,134,54,118
CHF17_RS04925,97,135,56,131
CHF17_RS04930,132,145,66,135
CHF17_RS04935,122,154,73,150
CHF17_RS04940,69,96,63,118
CHF17_RS04945,13991,8175,15272,3975
CHF17_RS04950,2195,2125,2682,1135
CHF17_RS04955,5791,6231,7383,2848
CHF17_RS04960,6364,6296,7371,3674
CHF17_RS04965,10305,8734,11043,4988
CHF17_RS04970,1238,1047,1435,573
CHF17_RS04975,17521,10938,16745,7616
CHF17_RS04980,8412,12476,9177,5586
CHF17_RS04985,4369,6699,5552,3316
CHF17_RS04990,15574,18748,18302,10997
CHF17_RS04995,1308,3161,1505,3170
CHF17_RS05000,1014,2665,1167,2354
CHF17_RS05005,1003,2280,1241,2020
CHF17_RS05010,1352,2741,1649,2552
CHF17_RS05015,1444,1853,1867,1752
CHF17_RS05020,47079,62095,55764,51706
CHF17_RS05025,36191,44605,49555,29265
CHF17_RS05030,31810,41587,44854,34771
CHF17_RS05035,74503,98533,96997,89248
CHF17_RS05040,47469,63798,69798,58140
CHF17_RS05045,95660,122798,125319,101889
CHF17_RS05050,35400,42217,41099,32115
CHF17_RS05055,3001,3386,3235,3453
CHF17_RS05060,15169,15153,14264,8693
CHF17_RS05065,2716,2806,2482,1543
CHF17_RS05070,4782,3891,5064,2022
CHF17_RS05075,13754,15239,14862,9345
CHF17_RS05080,6392,7468,7717,4688
CHF17_RS05085,32307,31819,34819,17419
CHF17_RS05090,964,1180,1069,697
CHF17_RS05095,5329,6404,6601,3095
CHF17_RS05100,16759,16489,18345,7073
CHF17_RS05105,8091,7287,7799,3353
CHF17_RS05110,9849,9167,8722,4578
CHF17_RS05115,5718,6595,6005,2565
CHF17_RS05120,16790,17453,14380,7600
CHF17_RS05125,21029,19616,17529,10928
CHF17_RS05130,20316,16445,19359,8509
CHF17_RS05135,54671,43670,42779,23978
CHF17_RS05140,8224,6592,7213,3932
CHF17_RS05145,493,364,414,281
CHF17_RS05150,750,733,763,348
CHF17_RS05155,9436,9938,9919,4925
CHF17_RS05160,13698,15577,12131,7531
CHF17_RS05165,8424,9603,8231,4849
CHF17_RS05170,11163,13278,11717,6095
CHF17_RS05175,27552,28217,25037,14600
CHF17_RS05180,1439,1427,1369,793
CHF17_RS05185,502,628,601,225
CHF17_RS05190,6123,5469,5695,2617
CHF17_RS05195,4301,3661,4041,1712
CHF17_RS05200,6314,6102,5695,3412
CHF17_RS05205,6288,5617,6073,3540
CHF17_RS05210,7760,7664,9181,3359
CHF17_RS05215,2455,2204,2442,852
CHF17_RS05220,588,555,667,193
CHF17_RS05225,1521,1293,1672,483
CHF17_RS05230,317,294,307,132
CHF17_RS05235,6179,8637,5711,4296
CHF17_RS05240,36227,30056,30866,14184
CHF17_RS05245,4315,3350,5128,2245
CHF17_RS05250,1875,2017,1959,983
CHF17_RS05255,1517,1748,1695,855
CHF17_RS05260,2014,2295,2178,1052
CHF17_RS05265,1812,1917,2021,936
CHF17_RS05270,1797,1922,1922,1099
CHF17_RS05275,4327,5875,4265,2410
CHF17_RS05280,184610,301339,196975,162243
CHF17_RS05285,5579,5779,4636,3903
CHF17_RS05290,31005,30861,26669,24271
CHF17_RS05295,26763,24830,26009,20391
CHF17_RS05300,15100,15708,13559,12196
CHF17_RS05305,7910,10135,8486,5416
CHF17_RS05310,123541,149243,115245,91146
CHF17_RS05315,358141,418300,335603,239349
CHF17_RS05320,9035,9412,10069,5790
CHF17_RS05325,2325,2559,2271,1636
CHF17_RS05330,60142,15097,49514,6500
CHF17_RS05335,2223,695,2560,241
CHF17_RS05340,8720,5435,8076,2436
CHF17_RS05345,14259,8920,13809,3370
CHF17_RS05350,20436,12160,19271,4164
CHF17_RS05355,26450,28996,31955,14536
CHF17_RS05360,7286,6231,6772,3366
CHF17_RS05365,3272,2397,3316,1412
CHF17_RS05370,4783,4679,5134,2977
CHF17_RS05375,49017,70467,42433,82456
CHF17_RS05380,43896,50466,45221,35250
CHF17_RS05385,44978,51692,39532,38456
CHF17_RS05390,48385,51083,44668,36691
CHF17_RS05395,71747,46714,54909,25432
CHF17_RS05400,153061,177202,129490,97409
CHF17_RS05405,41447,38602,43608,17139
CHF17_RS05410,24789,22581,24763,10240
CHF17_RS05415,13406,11612,13460,5587
CHF17_RS05420,7494,6993,7371,2928
CHF17_RS05425,8435,4612,7750,2868
CHF17_RS05430,79428,65114,66416,39803
CHF17_RS05435,2269,3140,2346,1839
CHF17_RS05440,22629,25427,20139,14194
CHF17_RS05445,2734,3133,3021,1681
CHF17_RS05450,5619,6930,5437,4083
CHF17_RS05455,4445,4494,4495,2510
CHF17_RS05460,317,264,294,126
CHF17_RS05465,729,862,761,498
CHF17_RS05470,3399,3990,3485,2340
CHF17_RS05475,1867,2176,1827,1308
CHF17_RS05480,3470,3967,3576,2098
CHF17_RS05485,3251,3568,3235,1507
CHF17_RS05490,1534,1570,1659,875
CHF17_RS05495,2557,2890,2556,1675
CHF17_RS05500,2674,2935,2585,1545
CHF17_RS05505,35817,32964,33074,16765
CHF17_RS05510,6816,5369,6856,2774
CHF17_RS05515,9304,9202,10706,4871
CHF17_RS05520,4127,4286,4492,2464
CHF17_RS05525,57765,56356,56464,34608
CHF17_RS05530,15328,11624,16020,4358
CHF17_RS05535,15635,12366,16215,4872
CHF17_RS05540,13083,11749,14539,5578
CHF17_RS05545,10947,10652,13075,5073
CHF17_RS05550,10906,10257,11611,4764
CHF17_RS05555,9299,8507,9376,4182
CHF17_RS05560,4968,6048,5174,2871
CHF17_RS05565,17088,16600,17863,6081
CHF17_RS05570,7022,6337,7842,2261
CHF17_RS05575,15333,14797,15638,6177
CHF17_RS05580,8075,7688,7609,3388
CHF17_RS05585,6842,7705,6830,3509
CHF17_RS05590,5700,6487,6084,3544
CHF17_RS05595,16150,18626,17736,8888
CHF17_RS05600,6358,8444,6910,3676
CHF17_RS05605,16680,11664,18065,9044
CHF17_RS05610,4604,4693,5508,2188
CHF17_RS05615,1579,1707,1555,870
CHF17_RS05620,30039,26941,28297,12153
CHF17_RS05625,205,134,243,73
CHF17_RS05630,16561,9771,16707,4953
CHF17_RS05635,9011,5064,10004,2515
CHF17_RS05640,11725,6232,12321,2884
CHF17_RS05645,13190,7235,13155,3985
CHF17_RS05650,5724,5884,5290,3285
CHF17_RS05655,9521,9697,10045,5337
CHF17_RS05660,10150,9862,9587,5194
CHF17_RS05665,749,823,856,503
CHF17_RS05670,3797,5202,3193,4871
CHF17_RS05675,1774,1600,1591,745
CHF17_RS05680,3490,3752,3396,1892
CHF17_RS05685,314,490,432,402
CHF17_RS05690,474,733,518,638
CHF17_RS05695,177,290,282,166
CHF17_RS05700,438,798,648,663
CHF17_RS05705,890,1599,1113,1583
CHF17_RS05710,305,520,304,498
CHF17_RS05715,784,1546,936,1379
CHF17_RS05720,1108,2352,1138,2325
CHF17_RS05725,1204,10595,1452,11582
CHF17_RS05730,2292,21800,2663,24034
CHF17_RS05735,1970,17719,2802,17447
CHF17_RS05740,6277,115928,9090,138041
CHF17_RS05745,1584,41113,1993,43696
CHF17_RS05750,266,7091,378,6397
CHF17_RS05755,475,14495,729,13746
CHF17_RS05760,3147,88550,4161,91423
CHF17_RS05765,619,15342,793,15430
CHF17_RS05770,472,13007,589,14135
CHF17_RS05775,2355,171788,3445,174594
CHF17_RS05780,539,56639,899,57014
CHF17_RS05785,489,53706,883,49649
CHF17_RS05790,5829,126781,6946,97661
CHF17_RS05795,2207,56778,2657,43133
CHF17_RS05800,2842,83744,2800,64940
CHF17_RS05805,18068,18126,18806,7959
CHF17_RS05810,19379,19661,21457,7127
CHF17_RS05815,5782,10355,5344,6551
CHF17_RS05820,3220,5045,2688,2855
CHF17_RS05825,77,105,105,54
CHF17_RS05830,14370,14222,14899,8944
CHF17_RS05835,31176,39978,26671,31823
CHF17_RS05840,3891,4137,4939,2539
CHF17_RS05845,3625,4367,4617,2374
CHF17_RS05850,3759,4570,4774,2697
CHF17_RS05855,2169,2084,2301,1236
CHF17_RS05860,8427,8576,9396,5156
CHF17_RS05865,8410,7607,9584,4248
CHF17_RS05870,5915,5541,5931,3955
CHF17_RS05875,1640,1741,1499,978
CHF17_RS05880,1676,1862,1548,1109
CHF17_RS05885,6158,7617,5905,5591
CHF17_RS05890,41126,50395,33586,32436
CHF17_RS05895,1917,1667,1896,976
CHF17_RS05900,13271,9951,14806,5045
CHF17_RS05905,8837,7673,10908,4293
CHF17_RS05910,4147,5085,6069,2601
CHF17_RS05915,9035,11296,11774,7097
CHF17_RS05920,10173,13597,13334,8299
CHF17_RS05925,3367,4665,4920,2916
CHF17_RS05930,4933,6183,7512,3742
CHF17_RS05935,7468,9907,9202,6095
CHF17_RS05940,4724,5872,5265,3761
CHF17_RS05945,664,809,925,323
CHF17_RS05950,5703,8212,5607,4216
CHF17_RS05955,4764,6367,4854,2979
CHF17_RS05960,9466,12860,9968,6543
CHF17_RS05965,2499,2596,2810,1338
CHF17_RS05970,22827,9290,19276,4408
CHF17_RS05975,9087,3533,7148,1585
CHF17_RS05980,39006,65970,26102,50743
CHF17_RS05985,3398,3553,3252,2624
CHF17_RS05990,1784,2119,1654,837
CHF17_RS05995,35900,29206,32431,18134
CHF17_RS06000,1380,1273,1282,1236
CHF17_RS06005,33092,34676,27282,22025
CHF17_RS06010,6289,5794,6763,2927
CHF17_RS06015,5582,5826,6245,2981
CHF17_RS06020,4831,4984,5467,2588
CHF17_RS06025,1879,2569,1938,2020
CHF17_RS06030,23256,33992,22242,18505
CHF17_RS06035,31813,42902,31570,22169
CHF17_RS06040,11812,15474,11408,7988
CHF17_RS06045,5754,7144,4749,3942
CHF17_RS06050,2145,2374,1756,1694
CHF17_RS06055,8762,9326,7853,7134
CHF17_RS06060,1795,1758,1658,759
CHF17_RS06065,3034,3866,3320,1924
CHF17_RS06070,2773,3207,2510,1878
CHF17_RS06075,2,2,3,1
CHF17_RS06080,994,1091,1054,503
CHF17_RS06085,12422,14140,10907,8836
CHF17_RS06090,16917,11663,16398,4499
CHF17_RS06095,11245,7687,12202,3511
CHF17_RS06100,14689,11157,15415,4876
CHF17_RS06105,15960,12619,16964,5753
CHF17_RS06110,8937,6624,10248,3338
CHF17_RS06115,5353,5451,6139,2252
CHF17_RS06120,3864,3861,4438,1771
CHF17_RS06125,7895,8022,8631,4265
CHF17_RS06130,3992,4672,4701,2454
CHF17_RS06135,8117,10343,10632,5533
CHF17_RS06140,4721,6474,5895,3854
CHF17_RS06145,4226,6314,5395,3521
CHF17_RS06150,3902,5458,5264,3466
CHF17_RS06155,3510,4330,3330,2100
CHF17_RS06160,16858,17905,14315,12184
CHF17_RS06165,8835,9517,8523,4661
CHF17_RS06170,4545,4417,5156,2160
CHF17_RS06175,12958,16390,13926,9340
CHF17_RS06180,1804,1431,1839,813
CHF17_RS06185,172,166,224,87
CHF17_RS06190,1163,1333,1492,631
CHF17_RS06195,6003,6293,5011,3184
CHF17_RS06200,3789,3337,3893,1908
CHF17_RS06205,8332,7445,7662,3936
CHF17_RS06210,18544,15267,17363,8436
CHF17_RS06215,20654,26881,22611,13350
CHF17_RS06220,7605,10236,8586,4340
CHF17_RS06225,12589,18139,14364,8268
CHF17_RS06230,3331,5618,4573,2274
CHF17_RS06235,7624,13559,10665,4859
CHF17_RS06240,3293,7248,4052,2655
CHF17_RS06245,4426,10019,5834,2927
CHF17_RS06250,24943,13859,24347,6238
CHF17_RS06255,847,2084,935,2512
CHF17_RS06260,13230,187487,12082,168974
CHF17_RS06265,1733,1201,1930,678
CHF17_RS06270,4723,4705,4560,2590
CHF17_RS06275,2972,2363,2814,1168
CHF17_RS06280,7319,7247,6812,4338
CHF17_RS06285,10397,10353,10093,5817
CHF17_RS06290,450,488,438,237
CHF17_RS06295,581755,510056,443192,249146
CHF17_RS06300,9116,6400,7042,3444
CHF17_RS06305,1692,640,903,570
CHF17_RS06310,4269,3897,4149,2246
CHF17_RS06315,35674,40188,32515,18618
CHF17_RS06320,19617,23476,20976,12329
CHF17_RS06325,11582,14515,13292,9520
CHF17_RS06330,7105,7700,6342,5278
CHF17_RS06335,4245,4838,3880,2389
CHF17_RS06340,14343,12659,16729,8751
CHF17_RS06345,37639,33175,45670,18330
CHF17_RS06350,20165,17536,23349,9604
CHF17_RS06355,32526,28760,38857,15864
CHF17_RS06360,27515,25945,35270,12983
CHF17_RS06365,35600,32731,43562,20704
CHF17_RS06370,31143,27854,38417,17258
CHF17_RS06375,25025,21273,34754,11873
CHF17_RS06380,32493,29045,40153,16376
CHF17_RS06385,27688,22966,33447,13551
CHF17_RS06390,13359,11773,15803,6098
CHF17_RS06395,17945,15721,20075,8970
CHF17_RS06400,52726,44500,59158,22948
CHF17_RS06405,36540,32922,39151,18050
CHF17_RS06410,37361,32147,40452,17402
CHF17_RS06415,23598,18841,27832,10015
CHF17_RS06420,57790,46661,60072,30984
CHF17_RS06425,3946,4124,3805,1942
CHF17_RS06430,1717,1788,1803,978
CHF17_RS06435,16186,18295,18976,11484
CHF17_RS06440,13132,15875,13597,10574
CHF17_RS06445,17019,19026,20802,10835
CHF17_RS06450,8625,11231,10742,8026
CHF17_RS06455,3456,4744,5098,3385
CHF17_RS06460,9505,12320,11527,8901
CHF17_RS06465,4207,5198,5023,3159
CHF17_RS06470,7934,8009,8241,5328
CHF17_RS06475,5276,5951,5773,3325
CHF17_RS06480,30841,27380,29076,15004
CHF17_RS06485,4127,3391,4235,1608
CHF17_RS06490,4321,3332,4060,1943
CHF17_RS06495,3914,3350,3775,1683
CHF17_RS06500,6752,5844,6782,2549
CHF17_RS06505,27568,26361,23369,14730
CHF17_RS06510,58469,51883,47923,30944
CHF17_RS06515,7985,10744,10305,6867
CHF17_RS06520,7862,11408,9232,6840
CHF17_RS06525,2334,3858,2664,1990
CHF17_RS06530,2736,4258,2988,2299
CHF17_RS06535,8662,9497,9232,5646
CHF17_RS06540,15277,19170,19115,13619
CHF17_RS06545,4211,6572,6572,6586
CHF17_RS06550,9484,13894,12026,10577
CHF17_RS06555,4048,5788,5906,3287
CHF17_RS06560,4991,6884,5651,3967
CHF17_RS06565,4504,5865,4416,4388
CHF17_RS06570,6680,4878,7330,2832
CHF17_RS06575,22870,13678,18084,6929
CHF17_RS06580,14149,16307,13316,7704
CHF17_RS06585,106,119,102,71
CHF17_RS06590,16596,12283,20437,5200
CHF17_RS06595,8721,7975,9635,4179
CHF17_RS06600,9340,9077,10896,4171
CHF17_RS06605,5201,4956,6471,1992
CHF17_RS06610,9833,9567,10450,3669
CHF17_RS06615,2116,2976,2346,1267
CHF17_RS06620,3071,4372,4846,1183
CHF17_RS06625,5617,5574,6134,2730
CHF17_RS06630,514,466,645,250
CHF17_RS06635,2186,3597,3234,2381
CHF17_RS06640,2422,4075,3359,2492
CHF17_RS06645,11520,14814,16298,9388
CHF17_RS06650,6571,9004,8790,5752
CHF17_RS06655,10359,11782,9834,7239
CHF17_RS06660,1967,2038,2089,1174
CHF17_RS06665,5537,6262,5137,2356
CHF17_RS06670,3782,4807,3709,2358
CHF17_RS06675,8425,8317,8403,4228
CHF17_RS06680,8513,9395,7756,5244
CHF17_RS06685,10454,11531,9270,6136
CHF17_RS06690,3096,3857,3281,2794
CHF17_RS06695,1023,889,1001,594
CHF17_RS06700,7559,9844,7158,5406
