,Co1,Co2,Co3,Fe1,Fe2,Fe3,nor1,nor2,nor3
SSUSC84_RS05095,69,69,45,39,28,40,88,82,66
SSUSC84_RS05185,1101,1452,1106,1979,1965,1454,1165,1336,805
SSUSC84_RS06855,247,336,333,169,267,222,488,298,309
SSUSC84_RS03300,242,400,394,251,337,312,325,340,297
SSUSC84_RS02235,21,31,27,12,14,9,81,47,82
SSUSC84_RS03550,12,19,20,12,10,10,14,10,8
SSUSC84_RS05765,73,101,154,127,176,167,207,133,162
SSUSC84_RS08710,415,597,557,323,422,380,1037,1066,785
SSUSC84_RS07330,81,71,240,395,628,747,26,22,40
SSUSC84_RS09920,0,0,0,1,2,1,0,0,0
SSUSC84_RS07075,230,326,282,324,276,263,352,296,252
SSUSC84_RS07720,13413,17145,14254,16762,17036,15835,13370,15132,10366
SSUSC84_RS09485,10,16,8,8,15,10,8,12,8
SSUSC84_RS02720,653,978,626,138,170,136,1496,1677,1177
SSUSC84_RS02645,651,752,487,426,442,331,568,438,271
SSUSC84_RS00640,0,0,0,0,0,0,0,0,0
SSUSC84_RS06505,4015,6032,5007,2872,3357,3094,7486,7258,5832
SSUSC84_RS09685,4,7,10,13,10,15,3,5,8
SSUSC84_RS01070,233,321,306,292,403,357,374,356,256
SSUSC84_RS07830,3246,4628,4023,5103,4792,4104,3860,3167,2690
SSUSC84_RS06255,628,887,836,555,680,599,925,670,718
SSUSC84_RS00425,52,51,47,125,103,94,17,12,19
SSUSC84_RS04855,537,922,848,998,1402,1162,1072,1096,974
SSUSC84_RS05965,2103,3184,2722,2151,2517,2324,2764,2055,1840
SSUSC84_RS00020,32,49,30,26,18,26,54,57,30
SSUSC84_RS09575,129,126,133,98,118,99,136,74,71
SSUSC84_RS09550,1522,2077,1905,1719,1898,1818,1232,1046,879
SSUSC84_RS09120,65,130,142,317,429,407,62,83,54
SSUSC84_RS05215,0,0,0,0,0,0,0,0,0
SSUSC84_RS08795,7167,10999,7891,2001,2193,2200,6817,7235,5297
SSUSC84_RS09285,5203,6948,6685,14226,14804,14344,4989,5083,4352
SSUSC84_RS08395,504,812,770,666,876,727,697,601,577
SSUSC84_RS06630,1003,1776,2397,4808,6520,6279,991,779,830
SSUSC84_RS01875,1056,1518,1705,1907,2132,2196,1135,943,860
SSUSC84_RS01365,99,137,130,208,227,183,46,63,42
SSUSC84_RS03820,306,457,645,1860,2295,2334,178,225,154
SSUSC84_RS06035,1295,1996,2165,2393,2365,2072,1459,885,838
SSUSC84_RS05510,9,15,7,12,18,17,15,10,6
SSUSC84_RS06870,28,28,39,48,39,35,43,27,34
SSUSC84_RS10545,0,0,0,0,0,0,0,0,0
SSUSC84_RS02750,7731,11490,9922,8649,10713,7667,13774,13511,10373
SSUSC84_RS10575,4,7,6,2,2,3,7,6,5
SSUSC84_RS07880,1279,1506,1129,1017,1076,1005,1101,1029,699
SSUSC84_RS06635,1034,1744,2296,4104,5300,5027,909,772,794
SSUSC84_RS05700,7568,9966,8870,12793,12463,11269,7332,6614,5472
SSUSC84_RS03005,375,575,501,286,334,246,882,790,630
SSUSC84_RS03450,1180,1633,1364,1792,2079,1712,608,911,492
SSUSC84_RS04045,2418,2935,2746,2717,2585,2266,2198,1982,1788
SSUSC84_RS05235,1248,1924,1659,1285,1325,1241,1711,1595,1407
SSUSC84_RS00825,1097,1424,910,1351,1241,962,1432,1407,1057
SSUSC84_RS07045,356,574,483,431,502,453,510,540,445
SSUSC84_RS00235,154,158,115,38,42,39,206,123,125
SSUSC84_RS10540,1,3,0,2,2,2,1,1,1
SSUSC84_RS02820,1351,2172,2164,1334,1478,1464,1905,2054,1936
SSUSC84_RS09070,57,68,79,91,123,104,123,106,94
SSUSC84_RS09065,271,462,418,331,621,584,499,543,641
SSUSC84_RS09320,34,31,26,46,38,22,58,24,24
SSUSC84_RS07590,33,31,27,14,10,13,64,48,56
SSUSC84_RS06970,3549,5207,4312,2571,2890,2660,5481,3299,2694
SSUSC84_RS01860,1341,1857,1976,1085,1304,1150,2037,1758,1559
SSUSC84_RS06685,333,460,350,457,494,363,364,325,263
SSUSC84_RS10155,162,209,169,202,234,179,226,145,139
SSUSC84_RS02570,58,79,74,48,75,53,90,94,74
SSUSC84_RS10470,174,268,245,347,394,338,248,269,235
SSUSC84_RS01830,419,548,454,343,367,398,625,588,494
SSUSC84_RS04320,5,13,14,7,9,12,10,11,6
SSUSC84_RS09810,318,452,405,367,413,363,446,350,265
SSUSC84_RS02975,1905,2742,2178,1432,1612,1361,3799,2508,2463
SSUSC84_RS08535,1690,2356,1829,1196,1286,1121,3668,4047,3076
SSUSC84_RS01660,21,28,32,39,41,43,22,17,19
SSUSC84_RS06605,186,230,218,150,198,166,254,213,209
SSUSC84_RS02025,1006,1419,1185,840,889,797,1134,930,826
SSUSC84_RS09215,510,682,634,579,594,518,694,552,520
SSUSC84_RS01890,242,383,422,289,517,408,454,357,377
SSUSC84_RS09385,195,263,260,154,202,180,291,149,131
SSUSC84_RS06910,3570,4844,3923,3052,3177,3134,5598,5684,4453
SSUSC84_RS02930,594,832,647,488,617,570,1020,808,694
SSUSC84_RS07610,580,779,580,192,241,142,1481,1196,1351
SSUSC84_RS02045,2009,3004,2590,1666,1898,1624,3011,3260,2641
SSUSC84_RS10640,0,0,1,0,0,0,0,0,0
SSUSC84_RS08730,241,324,238,227,188,205,317,147,150
SSUSC84_RS05400,299,524,401,641,691,560,266,259,183
SSUSC84_RS08440,31148,42313,31302,18318,24625,22675,58137,59078,47509
SSUSC84_RS05205,428,761,676,438,564,429,799,618,565
SSUSC84_RS10675,1078,954,721,579,478,558,1535,2209,1645
