,Co1,Co2,Co3,Fe1,Fe2,Fe3,nor1,nor2,nor3
SSUSC84_RS10165,52,68,49,62,63,44,37,51,25
SSUSC84_RS05555,4155,5767,7446,9293,11246,10867,2637,2787,2591
SSUSC84_RS05915,1318,2026,1792,1145,1240,1321,1999,1716,1360
SSUSC84_RS00495,4414,6326,8496,21092,23336,23018,3044,3530,2878
SSUSC84_RS05780,30,49,45,18,31,36,60,14,34
SSUSC84_RS00430,1989,2279,2244,7443,6022,3986,632,622,587
SSUSC84_RS08080,1099,1404,1122,1896,1537,1275,1209,1249,756
SSUSC84_RS10605,13,47,24,34,21,18,32,34,19
SSUSC84_RS09220,2018,2710,1944,2013,2083,1324,2052,2230,1305
SSUSC84_RS00870,60,98,63,62,54,66,64,79,41
SSUSC84_RS08260,2400,3782,3670,2417,3142,3072,1987,1765,1699
SSUSC84_RS09905,143,188,147,170,160,150,193,219,126
SSUSC84_RS04440,3,8,4,1,4,1,9,7,4
SSUSC84_RS05325,225,411,348,242,334,297,303,239,202
SSUSC84_RS07580,5,4,2,12,10,8,3,4,5
SSUSC84_RS02730,509,754,598,506,651,554,576,545,409
SSUSC84_RS07215,940,1304,775,898,761,532,1434,1326,966
SSUSC84_RS09305,1239,1579,2427,11615,16986,13814,939,370,464
SSUSC84_RS07960,5073,8025,5423,705,721,544,13940,15657,11008
SSUSC84_RS02200,52,90,84,91,95,69,101,58,53
SSUSC84_RS02675,23356,30344,26828,21803,23126,20834,23753,25567,19837
SSUSC84_RS04805,2548,3601,2834,2021,1906,1860,3512,3610,2958
SSUSC84_RS02940,2869,4029,3081,1880,2320,2038,4759,4256,3343
SSUSC84_RS06090,1726,2243,2056,2417,2336,2002,1759,1477,1246
SSUSC84_RS05435,2,1,9,9,13,5,4,4,4
SSUSC84_RS08405,64,87,91,85,133,132,72,62,45
SSUSC84_RS05615,157,200,202,197,234,232,203,196,193
SSUSC84_RS04685,1,1,5,0,0,4,0,0,1
SSUSC84_RS09225,3130,3200,2846,5001,3973,3921,3913,3132,2654
SSUSC84_RS05710,5432,7510,7253,9690,9868,9261,5517,5851,4605
SSUSC84_RS06780,1960,2355,2221,1715,1783,1705,1619,1373,1155
SSUSC84_RS04150,42,39,43,69,58,51,36,29,35
SSUSC84_RS05465,1114,1417,1109,1139,1085,1036,1191,1110,882
SSUSC84_RS09135,70,101,111,199,313,273,58,71,39
SSUSC84_RS04575,2,8,12,9,8,8,6,0,3
SSUSC84_RS08770,11160,18922,15856,16542,21195,18949,12590,15347,10476
SSUSC84_RS01685,3,4,2,3,8,6,0,2,3
SSUSC84_RS09565,2202,2904,2539,1239,1419,1371,2265,1784,1567
SSUSC84_RS06835,2741,3505,2449,1546,1749,1492,4186,3773,2943
SSUSC84_RS02950,3714,5439,4684,4688,5386,4728,4997,3992,3366
SSUSC84_RS04815,674,963,769,786,630,537,921,830,732
SSUSC84_RS09890,144,148,160,243,281,248,131,105,76
SSUSC84_RS07385,96,115,91,85,103,91,141,158,113
SSUSC84_RS05950,551,881,913,582,820,824,653,459,410
SSUSC84_RS00800,0,0,0,0,0,0,0,0,0
SSUSC84_RS06410,1823,2542,1957,1081,1079,1028,3486,3152,2676
SSUSC84_RS04640,7,11,13,8,10,7,9,7,11
SSUSC84_RS05685,7,3,5,93,107,69,9,2,6
SSUSC84_RS09315,24,24,18,25,14,21,46,39,32
SSUSC84_RS03175,26,38,33,22,17,23,16,15,8
SSUSC84_RS01280,232,444,335,127,170,140,448,509,520
SSUSC84_RS00250,145,186,141,39,43,49,250,142,143
SSUSC84_RS04900,2258,3576,3175,1290,1320,1279,4575,3170,3054
SSUSC84_RS01900,107,160,172,112,160,143,158,108,137
SSUSC84_RS01310,663,757,549,463,461,381,1094,842,614
SSUSC84_RS09395,6,7,10,6,5,6,10,9,5
SSUSC84_RS03850,2266,3253,2639,2253,2683,2568,2644,2341,1978
SSUSC84_RS08570,1613,2233,1784,1678,2027,1921,1513,1602,1186
SSUSC84_RS06310,58,118,111,93,101,94,114,80,89
SSUSC84_RS00090,0,0,0,0,0,0,0,0,0
SSUSC84_RS10125,2598,3833,3205,2893,3440,3122,3115,2946,2301
SSUSC84_RS04340,8,8,15,11,12,15,17,7,5
SSUSC84_RS01190,3697,4888,4041,2870,3245,2983,5522,4870,3893
SSUSC84_RS03480,5,2,1,2,3,5,3,2,2
SSUSC84_RS05365,176,242,260,167,204,196,318,288,267
SSUSC84_RS03475,8,2,1,10,3,2,1,8,4
SSUSC84_RS06720,28,47,32,28,28,28,46,36,29
SSUSC84_RS07225,67,69,71,59,86,72,56,64,42
SSUSC84_RS04235,37,53,57,23,34,35,68,77,70
SSUSC84_RS00450,8664,11840,16036,38327,41149,38734,3666,4016,3439
SSUSC84_RS03465,24,42,26,28,21,28,29,40,29
SSUSC84_RS04905,2225,3482,2619,834,1075,862,4548,2891,2283
SSUSC84_RS03050,288,498,369,69,85,64,2505,1913,3317
SSUSC84_RS01970,374,646,653,575,822,743,581,532,444
SSUSC84_RS08315,1104,1735,1692,2313,2907,2668,1004,1125,767
SSUSC84_RS09755,7,7,9,6,9,13,9,4,6
SSUSC84_RS03675,871,1048,976,1576,1777,1723,564,699,493
SSUSC84_RS08815,1170,1532,1258,1190,1106,945,1099,867,732
SSUSC84_RS00500,965,1433,1861,4532,5080,5075,816,780,650
SSUSC84_RS04305,1704,2385,2434,1966,2356,2255,1553,1267,1026
SSUSC84_RS10240,460,650,636,750,737,661,421,401,307
SSUSC84_RS09960,101,104,107,107,141,94,65,66,63
SSUSC84_RS00575,12365,16046,17186,39220,42899,37004,7235,7586,5839
SSUSC84_RS06840,327,437,514,332,451,377,469,517,424
SSUSC84_RS05735,3,2,5,1,9,5,14,9,12
SSUSC84_RS03190,423,639,554,582,631,456,860,678,587
SSUSC84_RS00080,12,7,12,29,42,33,4,10,12
SSUSC84_RS08680,1407,1817,1857,3112,3448,3111,1409,1131,961
SSUSC84_RS08250,466,834,797,803,1120,1030,565,514,533
SSUSC84_RS00420,8,15,12,27,33,32,10,5,15
SSUSC84_RS02520,3299,4107,2963,863,968,895,5710,5441,4276
SSUSC84_RS03845,1268,1830,1415,1421,1412,1294,1367,1005,862
SSUSC84_RS00790,0,1,0,0,0,0,0,0,0
SSUSC84_RS03125,143,241,201,86,110,92,232,254,214
SSUSC84_RS00375,6,7,5,3,2,8,10,8,5
SSUSC84_RS09210,519,694,606,546,575,507,752,653,517
SSUSC84_RS05000,68,113,89,68,103,67,168,186,114
SSUSC84_RS03830,749,1154,973,937,1123,934,1123,1249,914
SSUSC84_RS00180,0,0,0,0,0,0,0,0,0
SSUSC84_RS04230,205,309,218,138,207,169,350,307,260
SSUSC84_RS00560,15,26,43,46,51,52,19,13,5
SSUSC84_RS02910,0,0,0,0,0,0,1,0,0
SSUSC84_RS10115,683,773,1205,2133,1974,1683,265,284,247
SSUSC84_RS06185,466,724,530,638,735,605,520,513,430
SSUSC84_RS08885,6405,9036,8160,8000,8203,7626,8744,7039,7551
SSUSC84_RS10355,5,10,15,4,12,11,10,1,9
SSUSC84_RS00105,0,0,0,0,0,0,0,0,0
SSUSC84_RS06580,198,306,297,258,294,243,260,172,202
SSUSC84_RS09510,184,266,223,272,270,283,169,163,157
SSUSC84_RS04260,55,81,51,65,71,73,72,69,48
SSUSC84_RS08335,1234,1610,1304,3596,3260,2839,715,882,551
SSUSC84_RS04375,35,43,63,25,26,35,86,69,68
SSUSC84_RS10190,476,813,701,597,645,508,614,406,321
SSUSC84_RS07700,1098,1397,980,1089,1171,939,1524,1491,1085
SSUSC84_RS00835,1791,2433,2073,2324,2344,2215,1762,1627,1255
SSUSC84_RS04180,642,772,574,695,750,628,870,867,605
SSUSC84_RS07130,0,0,0,0,0,0,0,0,0
SSUSC84_RS00610,0,0,0,0,0,0,0,0,0
SSUSC84_RS08635,7141,10928,8193,1270,1243,1246,13522,13895,11864
SSUSC84_RS01015,107,119,120,139,152,151,165,193,133
SSUSC84_RS08360,1020,1265,1015,1570,1487,1224,526,437,299
SSUSC84_RS05530,11,11,6,1,6,5,8,5,4
SSUSC84_RS04080,813,1098,980,780,834,765,1457,1450,1169
SSUSC84_RS06380,326,549,471,151,164,130,107,92,67
SSUSC84_RS09760,7951,11280,9839,9098,10936,10329,8052,8718,6772
SSUSC84_RS06345,51,92,78,97,99,110,74,95,51
SSUSC84_RS03730,1769,2153,1518,1330,1137,902,1871,2017,1517
SSUSC84_RS05385,530,666,420,174,218,178,849,1002,641
SSUSC84_RS02145,0,0,0,0,0,0,0,0,0
SSUSC84_RS01220,85,114,142,82,109,120,211,279,207
SSUSC84_RS08695,1433,2004,1847,2482,2481,2018,1599,1427,1190
SSUSC84_RS06820,1818,2492,2487,1771,2059,1767,2545,2228,2110
SSUSC84_RS10465,146,175,251,256,389,336,213,237,212
SSUSC84_RS09585,2559,3866,2734,2108,2338,2004,4570,4656,3651
SSUSC84_RS03610,2741,3717,3066,3970,3719,3220,2465,2241,1879
SSUSC84_RS08175,72,107,103,62,81,63,108,73,65
SSUSC84_RS09110,1092,1320,1109,1033,1065,1089,1281,1055,941
SSUSC84_RS01990,613,897,759,523,583,504,763,664,587
SSUSC84_RS07645,214,387,260,168,212,179,405,339,313
SSUSC84_RS08800,3700,5233,3569,1165,1259,1215,3256,3555,2534
SSUSC84_RS05290,0,0,0,1,2,1,0,0,0
SSUSC84_RS05625,828,1253,1017,721,815,743,1371,943,795
SSUSC84_RS03340,466,549,457,938,864,707,626,593,362
SSUSC84_RS03495,7570,9876,8243,6524,7451,6930,9986,9456,7324
SSUSC84_RS07415,553,684,846,1179,1282,1073,650,567,493
SSUSC84_RS04740,6,5,5,8,9,4,7,7,8
SSUSC84_RS06005,1816,2605,2219,2036,2295,2156,3439,3227,2715
SSUSC84_RS03490,44,96,103,19,18,12,116,138,104
SSUSC84_RS03535,7,25,17,12,11,9,14,11,5
SSUSC84_RS05320,47,106,100,73,74,61,79,76,51
SSUSC84_RS06695,3613,5312,5394,5531,6432,7538,3281,4372,3489
SSUSC84_RS03605,356,388,294,370,344,255,384,329,240
SSUSC84_RS04405,0,1,2,0,2,3,2,0,0
SSUSC84_RS04995,0,0,0,0,0,0,0,0,0
SSUSC84_RS00630,0,0,0,0,0,0,0,0,0
SSUSC84_RS05245,709,965,830,852,910,813,928,702,570
SSUSC84_RS03990,906,1268,939,773,741,582,1462,1170,856
SSUSC84_RS00370,807,1130,1007,491,558,499,1216,983,871
SSUSC84_RS08045,763,1207,894,736,832,662,1474,1716,1149
SSUSC84_RS06495,1108,1783,1303,627,791,745,2155,2079,1769
SSUSC84_RS02830,11271,18632,18487,10212,12920,12159,16950,16880,16383
SSUSC84_RS04345,7,7,7,11,10,6,8,10,4
SSUSC84_RS04985,10,9,6,2,6,12,7,6,6
SSUSC84_RS04085,647,831,742,538,661,625,1205,1073,920
SSUSC84_RS09530,91,145,161,115,176,149,89,109,103
SSUSC84_RS09030,2,2,1,9,4,7,1,1,0
SSUSC84_RS01145,68,136,127,115,123,125,104,72,73
SSUSC84_RS03395,301,479,334,232,302,291,424,397,299
SSUSC84_RS06665,1436,1994,1884,1533,1763,1501,1236,1084,945
SSUSC84_RS07620,1381,1835,1710,1932,1988,1687,1066,784,721
SSUSC84_RS04715,2,1,4,2,2,1,4,1,1
SSUSC84_RS04220,983,1462,1009,818,878,851,1757,1691,1521
SSUSC84_RS06655,2311,3452,2910,1390,1866,1665,3285,3173,2893
SSUSC84_RS06455,594,891,739,730,686,714,1206,918,828
SSUSC84_RS06400,29,43,61,39,38,24,60,36,38
SSUSC84_RS09710,10010,14821,14092,22050,25142,20993,6163,7607,5250
SSUSC84_RS06660,2095,2653,2669,2298,2454,2308,1843,1725,1430
SSUSC84_RS10365,3,6,11,15,9,10,3,9,11
SSUSC84_RS05335,61,78,79,49,71,48,121,94,91
SSUSC84_RS10500,93,120,74,80,87,83,209,195,114
SSUSC84_RS03460,8,16,8,10,15,9,14,11,14
SSUSC84_RS03110,57,72,91,99,111,94,68,21,45
SSUSC84_RS08300,2359,3252,2943,2579,2931,2747,2567,2648,2340
SSUSC84_RS06625,255,375,407,487,580,535,456,351,302
SSUSC84_RS09980,127,282,213,174,229,185,246,189,146
SSUSC84_RS02595,4971,7017,6326,5635,6562,6003,5010,5153,3746
SSUSC84_RS05975,1069,1593,1319,1273,1379,1250,1325,911,787
SSUSC84_RS05120,11730,16769,14025,8347,9533,8925,18943,17235,14237
SSUSC84_RS05920,133,220,192,705,908,743,79,118,70
SSUSC84_RS03625,1612,2439,2282,2801,3759,3440,2472,2084,1800
SSUSC84_RS02840,9021,15176,14169,8093,9929,9302,13064,11096,10926
SSUSC84_RS06595,378,482,434,376,360,338,662,641,509
SSUSC84_RS01205,1548,1723,1467,1528,1562,1525,1936,1713,1453
SSUSC84_RS08620,671,799,653,1350,1443,1040,629,508,416
SSUSC84_RS03520,11,5,3,1,13,7,6,3,5
SSUSC84_RS01785,3839,5492,4895,3662,4171,4031,4376,4228,3694
SSUSC84_RS10120,81,65,54,63,50,82,64,69,66
SSUSC84_RS05540,18,16,33,24,22,15,27,18,14
SSUSC84_RS02945,1910,2707,2203,2327,2445,2307,2635,1999,1632
SSUSC84_RS02775,7251,10648,9104,6943,7795,7033,9606,9824,8245
SSUSC84_RS06560,1458,1813,1710,1793,2137,1866,1785,1653,1254
SSUSC84_RS08060,1593,2041,1637,1442,1612,1365,1400,1474,1042
SSUSC84_RS07245,7052,9790,6682,1056,1028,1071,15394,17412,12365
SSUSC84_RS03145,120,166,174,570,594,586,124,128,119
SSUSC84_RS10290,135,244,195,268,308,283,345,326,305
SSUSC84_RS04560,3,2,6,3,2,3,3,5,3
SSUSC84_RS08625,15871,25185,19764,2500,2518,2636,28621,30542,26891
SSUSC84_RS06260,1760,2524,1928,1420,1488,1436,2892,2931,2446
SSUSC84_RS00520,5841,8451,11323,28831,31811,31040,4398,4820,4147
SSUSC84_RS02150,0,0,0,0,0,0,0,0,0
SSUSC84_RS01710,0,0,0,0,0,0,0,0,0
SSUSC84_RS07940,1131,1765,1469,795,916,884,957,1028,741
SSUSC84_RS00075,8447,11369,10662,17762,19010,17577,7667,7481,5481
SSUSC84_RS07135,0,0,0,0,0,0,2,0,0
SSUSC84_RS09440,160,232,248,154,241,169,226,178,195
SSUSC84_RS09525,12,20,11,19,11,26,9,11,6
SSUSC84_RS01345,98,134,128,117,144,133,70,85,54
SSUSC84_RS07055,34,65,44,70,64,65,28,35,31
SSUSC84_RS02070,2314,3444,2985,1447,1701,1558,3122,2757,2275
SSUSC84_RS10490,3,4,2,1,2,6,3,1,4
SSUSC84_RS07845,4241,6369,4499,2556,2698,2266,6715,7638,5432
SSUSC84_RS08690,1925,2523,2489,2875,2857,2702,2518,2291,1870
SSUSC84_RS08190,1445,2034,1913,1335,1294,1167,1433,1114,976
SSUSC84_RS05640,345,528,443,292,361,272,612,505,394
SSUSC84_RS06480,1976,2650,2072,1927,2011,1840,2929,2595,2099
SSUSC84_RS00695,7,14,10,21,14,16,16,8,18
SSUSC84_RS01980,2,7,6,1,0,2,5,2,1
SSUSC84_RS08055,4296,5584,5801,5399,6646,6516,3133,3285,2401
SSUSC84_RS09415,93,103,74,90,102,86,121,111,102
SSUSC84_RS03945,1783,2486,1911,1620,1783,1549,2199,1860,1552
SSUSC84_RS05750,77,117,102,64,59,68,240,151,222
SSUSC84_RS01120,192,331,248,194,219,191,314,279,270
SSUSC84_RS07030,878,1335,979,893,1025,908,1559,1506,1057
SSUSC84_RS07410,402,568,345,276,270,221,762,960,542
SSUSC84_RS00685,32,32,36,32,42,40,24,24,40
SSUSC84_RS03135,81,107,93,92,140,102,79,73,55
SSUSC84_RS00510,3634,4992,6871,17129,18690,18778,2874,3180,2736
SSUSC84_RS05865,1070,1523,1324,1259,1332,1201,1151,894,715
SSUSC84_RS07200,1854,2491,1910,4827,4268,2612,2057,2004,1313
SSUSC84_RS09185,938,1271,1636,1439,1741,1895,4099,2971,4383
SSUSC84_RS01110,266,397,324,177,190,187,422,508,425
SSUSC84_RS06235,1751,2393,1994,1076,1403,1279,3497,3398,2779
SSUSC84_RS08675,52,61,74,98,115,93,40,39,24
SSUSC84_RS03925,1708,1653,2446,3896,4386,3565,983,854,953
SSUSC84_RS06940,371,572,521,381,393,340,496,467,459
SSUSC84_RS02055,1706,2631,2481,2107,2547,2256,2043,1623,1419
SSUSC84_RS04565,1,1,2,4,0,5,5,0,2
SSUSC84_RS08525,10615,15014,12560,11489,12336,11141,13483,12825,10422
SSUSC84_RS00715,206,316,276,304,303,279,259,174,192
SSUSC84_RS02560,151,165,172,205,193,171,155,118,123
SSUSC84_RS05815,15,13,9,9,6,16,11,20,16
SSUSC84_RS06355,38,45,69,56,66,63,33,43,19
SSUSC84_RS08270,115,123,104,122,101,77,94,111,74
SSUSC84_RS06445,3037,3735,3506,2573,2845,2668,3685,3293,3039
SSUSC84_RS02655,590,813,682,365,370,302,1596,1785,1243
SSUSC84_RS04755,75,154,122,81,101,84,130,146,83
SSUSC84_RS02515,3285,4688,3758,5071,5379,4512,3040,3296,2177
SSUSC84_RS09680,0,2,0,2,1,1,1,2,2
SSUSC84_RS03195,2047,2872,2473,1912,2157,1979,3791,3445,2728
SSUSC84_RS06030,166,206,232,308,294,274,177,148,124
SSUSC84_RS07280,310,440,355,499,540,428,205,131,118
SSUSC84_RS01570,47357,77442,60024,29267,34001,28756,159,212,135
SSUSC84_RS03900,359,394,651,3874,1914,2011,223,245,155
SSUSC84_RS06700,0,0,0,0,0,0,0,0,0
SSUSC84_RS04555,21,20,30,30,46,42,31,20,25
SSUSC84_RS00480,1227,1781,2960,6206,7428,6252,734,721,635
SSUSC84_RS06955,125,155,124,95,105,93,202,146,158
SSUSC84_RS08430,393,614,496,504,785,701,539,598,539
SSUSC84_RS04615,18,23,23,19,16,24,22,14,15
SSUSC84_RS06325,17,26,31,57,65,53,19,37,24
SSUSC84_RS04265,64,75,79,112,107,91,81,49,45
SSUSC84_RS05030,1161,1388,1231,1673,2114,1644,2157,1949,1596
SSUSC84_RS01640,164,205,163,133,172,170,154,151,98
SSUSC84_RS02780,6634,10519,9124,7029,8178,7274,8701,8675,7628
SSUSC84_RS08760,2494,3918,3432,3575,4218,3867,2140,2216,1788
SSUSC84_RS01050,3,5,4,6,6,2,1,3,1
SSUSC84_RS07885,349,397,331,271,313,293,324,331,222
SSUSC84_RS10450,12,7,13,10,8,7,10,11,8
SSUSC84_RS00200,2250,2987,2564,3432,3308,2954,2751,2450,2035
SSUSC84_RS04520,22,10,15,12,22,27,13,6,8
SSUSC84_RS07560,2531,3919,3072,1560,1844,1792,4565,4059,3315
SSUSC84_RS02420,1214,1653,1107,492,636,525,1998,2375,1584
SSUSC84_RS03200,144,234,184,203,238,219,254,264,216
SSUSC84_RS00455,3489,5123,7650,16469,18800,15739,1592,1655,1401
SSUSC84_RS07065,291,346,246,228,263,176,567,690,474
SSUSC84_RS05080,1988,2562,1738,1632,1500,1320,2739,2673,2069
SSUSC84_RS09050,61,107,79,131,119,98,45,53,32
SSUSC84_RS09000,9,6,6,0,2,3,17,8,7
SSUSC84_RS02605,54,63,59,65,80,58,73,52,81
SSUSC84_RS10145,68,120,122,132,131,128,120,87,66
SSUSC84_RS01655,6461,8738,6107,9567,8293,6255,5627,5766,3947
SSUSC84_RS02700,29352,38760,27092,31685,36004,28180,23522,21100,13838
SSUSC84_RS01185,5,16,19,13,14,11,15,8,9
SSUSC84_RS05490,46,52,57,23,64,33,77,54,60
SSUSC84_RS05060,1153,1413,1225,1098,1094,891,1243,961,893
SSUSC84_RS02755,131,226,172,242,214,197,192,209,158
SSUSC84_RS03695,16448,19044,12991,19647,16961,12729,13221,12872,9123
SSUSC84_RS07755,6542,9334,7153,7142,6949,5727,8983,9656,6843
SSUSC84_RS09405,401,438,499,1136,1043,828,235,219,192
SSUSC84_RS05070,338,356,329,508,466,336,322,232,177
SSUSC84_RS00280,1208,1502,1194,1092,1100,1049,1571,1388,1157
SSUSC84_RS03455,733,1256,1042,1126,1666,1467,420,555,354
SSUSC84_RS02995,109,206,182,95,121,144,187,131,156
SSUSC84_RS03545,7,9,9,4,11,10,13,3,5
SSUSC84_RS00285,4,6,9,2,7,2,4,9,3
SSUSC84_RS07180,0,0,3,0,1,1,2,0,0
SSUSC84_RS06150,108,170,159,109,135,110,149,55,35
SSUSC84_RS05340,3032,4024,2975,1369,1390,1408,6766,5440,5510
SSUSC84_RS03415,2,1,3,0,4,1,1,0,1
SSUSC84_RS07310,12,27,30,51,59,65,20,14,13
SSUSC84_RS00335,0,6,3,1,3,2,5,1,4
SSUSC84_RS00625,0,0,0,0,0,0,0,0,0
SSUSC84_RS06075,2071,2714,2675,2797,2854,2584,1656,1444,1363
SSUSC84_RS03105,1533,1922,2056,2266,2333,2172,1338,1092,1040
SSUSC84_RS08940,1,0,1,0,1,2,3,1,0
SSUSC84_RS10525,0,1,0,0,0,0,0,1,0
SSUSC84_RS08400,465,754,732,687,1022,1017,656,549,521
SSUSC84_RS02205,1635,1900,1497,1339,1354,1101,1879,1645,1217
SSUSC84_RS07790,1158,1562,1199,840,835,826,1777,1631,1381
SSUSC84_RS10110,5224,6452,7948,18209,17340,14660,2311,2612,2250
SSUSC84_RS03915,1013,1421,1114,1244,1264,1122,1194,1255,990
SSUSC84_RS03640,2982,3630,3564,4168,4071,3790,2600,2425,2069
SSUSC84_RS04800,5256,6046,4209,1994,2471,2265,12167,8814,6261
SSUSC84_RS09330,900,1250,1025,956,1150,972,878,845,656
SSUSC84_RS04240,31,35,35,16,17,30,54,65,56
SSUSC84_RS08975,19,13,25,13,8,15,29,36,21
SSUSC84_RS03585,885,1330,1060,636,732,742,1230,1654,901
SSUSC84_RS10100,1566,2437,1772,1532,1791,1604,1723,1819,1379
SSUSC84_RS03755,318,482,412,288,350,285,492,361,322
SSUSC84_RS08070,661,960,702,452,437,389,646,560,467
SSUSC84_RS00435,4298,5512,6910,17840,16525,12912,1636,1664,1406
SSUSC84_RS06110,2442,3672,3408,2743,3151,2770,3128,2601,2199
SSUSC84_RS01910,91,133,140,101,99,107,157,159,144
SSUSC84_RS09840,630,956,831,522,600,472,1429,1051,984
SSUSC84_RS01405,228,327,308,467,433,361,204,193,158
SSUSC84_RS00555,4694,6006,7196,13163,15238,11601,2596,2529,2060
SSUSC84_RS10050,3267,4875,4002,3856,4407,3991,3298,3346,2873
SSUSC84_RS03955,908,1399,1222,1186,1489,1328,979,864,742
SSUSC84_RS02415,1321,2234,1832,868,1160,1043,2603,3338,2047
SSUSC84_RS09470,908,1290,1043,917,990,1011,1141,1013,821
SSUSC84_RS03260,483,733,663,674,794,800,693,652,551
SSUSC84_RS07555,2246,3471,2482,1323,1529,1370,4009,3826,3118
SSUSC84_RS04370,474,800,607,357,378,366,1063,973,925
SSUSC84_RS01920,126,165,206,201,231,223,227,296,211
SSUSC84_RS02165,0,0,0,0,0,0,0,0,0
SSUSC84_RS07505,576,869,672,510,549,504,1028,777,647
SSUSC84_RS07435,1234,1845,1484,1325,1386,1307,1789,1817,1481
SSUSC84_RS07875,3,9,12,17,14,20,4,7,5
SSUSC84_RS07820,440,727,664,534,643,595,847,659,620
SSUSC84_RS00135,0,0,0,0,0,0,0,0,0
SSUSC84_RS06935,713,1059,963,595,618,569,1022,997,951
SSUSC84_RS05610,201,266,288,260,286,314,267,258,216
SSUSC84_RS01965,5307,7476,6269,8419,8087,7381,3761,3423,2614
SSUSC84_RS06800,822,1319,1063,507,587,463,1825,1653,1587
SSUSC84_RS06285,3877,4589,4514,15516,13391,11320,2526,2674,2019
SSUSC84_RS04840,58,94,87,108,100,75,87,47,34
SSUSC84_RS02380,3465,5468,5245,3103,3843,3412,4668,4319,3524
SSUSC84_RS05230,2084,3238,2752,2085,2419,2164,2676,2753,2354
SSUSC84_RS07630,1685,2192,1839,2740,2334,2065,1476,1186,914
SSUSC84_RS04050,1708,2177,2040,1900,1991,1990,1451,1286,1298
SSUSC84_RS05960,2120,3143,2743,2173,2680,2407,2936,2552,2078
SSUSC84_RS06215,323,460,425,298,322,261,386,333,255
SSUSC84_RS09480,18,22,25,9,24,24,18,15,10
SSUSC84_RS10095,407,560,456,321,326,320,475,463,381
SSUSC84_RS00220,7,13,12,14,8,16,19,14,6
SSUSC84_RS08955,505,665,609,610,621,524,787,642,622
SSUSC84_RS05860,8393,11121,8992,10479,10198,9114,9029,7983,6268
SSUSC84_RS01520,1326,2156,3373,1668,2390,3207,1179,1243,1267
SSUSC84_RS07930,23,48,23,33,56,22,18,17,22
SSUSC84_RS07265,1926,3113,2706,2964,3370,3133,1789,2275,1497
SSUSC84_RS02695,1155,1567,1403,990,1215,1061,2133,2133,1458
SSUSC84_RS01025,17,24,15,12,10,11,11,4,13
SSUSC84_RS10245,101,179,148,256,278,187,103,78,61
SSUSC84_RS05880,7125,9981,8255,6413,7344,6938,10688,9566,7931
SSUSC84_RS08655,478,618,506,833,889,750,390,463,355
SSUSC84_RS06740,3200,4379,4172,4088,4400,3625,3738,3077,2795
SSUSC84_RS08040,481,670,561,443,480,475,722,622,517
SSUSC84_RS04650,70,72,69,85,76,86,111,88,74
SSUSC84_RS05855,1545,1931,1771,1257,1281,1180,2198,1879,1776
SSUSC84_RS07870,291,344,259,223,212,147,571,610,399
SSUSC84_RS09195,2976,3672,3318,2492,2088,2180,11690,7722,11304
SSUSC84_RS02190,0,0,0,0,0,0,0,0,0
SSUSC84_RS05040,134,230,203,217,211,221,183,171,168
SSUSC84_RS00720,236,309,306,347,371,304,235,189,158
SSUSC84_RS00065,243,398,350,571,670,529,228,157,156
SSUSC84_RS07800,1264,1942,1528,1151,1233,1177,1960,1610,1198
SSUSC84_RS10520,254,357,276,131,148,153,650,564,549
SSUSC84_RS06350,569,807,635,660,638,448,469,337,264
SSUSC84_RS02000,453,586,475,538,455,443,903,987,682
SSUSC84_RS08555,1713,1900,1505,1339,1106,1128,2483,2675,2031
SSUSC84_RS00880,5027,6915,7277,13314,15343,15262,3746,3906,3241
SSUSC84_RS09475,386,570,455,427,514,386,473,461,388
SSUSC84_RS08390,1158,1932,1685,1457,1836,1686,1379,1472,1174
SSUSC84_RS07400,2615,2674,3200,10907,10227,8216,772,630,481
SSUSC84_RS03790,1492,2343,2010,5365,2930,2976,2064,2055,1684
SSUSC84_RS07460,24,27,20,13,17,5,31,18,28
SSUSC84_RS08970,0,0,0,0,0,0,0,0,0
SSUSC84_RS04020,5253,7338,6153,5688,5946,5330,5901,5676,4362
SSUSC84_RS03025,849,984,619,542,597,440,1528,1299,1017
SSUSC84_RS00195,5905,7332,4940,5262,4201,3619,6872,5296,4237
SSUSC84_RS00160,0,0,0,0,0,0,0,0,0
SSUSC84_RS10210,581,917,864,704,742,684,597,356,319
SSUSC84_RS04945,18,38,33,29,28,25,11,20,9
SSUSC84_RS00100,0,0,0,0,0,0,0,0,0
SSUSC84_RS02370,5180,7721,6543,5223,5772,5423,6953,5233,3991
SSUSC84_RS00890,6453,7584,7809,27001,26068,22693,3806,3702,2875
SSUSC84_RS08265,3940,6473,5019,3392,4070,4065,3588,3314,2968
SSUSC84_RS08095,187,333,351,339,448,362,208,217,179
SSUSC84_RS05790,59,81,76,86,89,79,92,51,50
SSUSC84_RS00755,4050,5573,4860,3597,4064,3861,5659,4883,4358
SSUSC84_RS09605,283,387,349,304,334,247,270,171,117
SSUSC84_RS06615,4,5,7,10,16,16,2,2,2
SSUSC84_RS04390,439,609,558,377,449,418,816,821,663
SSUSC84_RS04890,6404,10213,8045,2496,2939,2577,7016,7693,5826
SSUSC84_RS00305,10,13,6,6,5,0,5,5,6
SSUSC84_RS08490,3450,4175,4702,4677,6372,5469,4285,3457,2366
