GeneID,X51158,X51159,X51160,X51161,X51162,X51163,X51164,X51165,X51166,X51167,X51168,X51169
EW023_RS00005,10613,7807,8336,9843,5851,10208,197,2704,1302,1973,603,663
EW023_RS00010,11657,10927,14275,10421,6017,14194,349,2421,1425,1749,599,690
EW023_RS00015,720,555,487,442,177,468,28,829,422,560,108,167
EW023_RS00020,4317,3675,4140,3632,3255,3077,392,2777,1533,2060,667,773
EW023_RS00025,345,436,872,408,138,371,31,870,378,535,106,197
EW023_RS00030,2636,3213,7266,3227,1535,2575,361,8517,3869,5572,946,1668
EW023_RS00035,310,394,479,317,131,342,31,760,435,537,75,143
EW023_RS00040,724,939,1135,827,281,900,63,630,377,455,164,194
EW023_RS00045,2838,3032,3720,2620,1311,2697,269,2425,1314,1667,514,599
EW023_RS00050,1833,2448,2321,1991,920,2752,109,1970,995,1343,262,472
EW023_RS00055,8731,6598,5251,5982,2354,7504,195,1630,868,1071,477,532
EW023_RS00060,60494,58489,70043,52170,40376,58407,12656,21391,33107,8229,5287,11709
EW023_RS00065,5844,6137,4384,6184,3668,4759,155,3302,1725,2168,429,685
EW023_RS00240,105,188,51,126,18,81,21,1156,511,804,68,265
EW023_RS00245,119,223,74,151,24,114,48,1709,848,991,138,311
EW023_RS00250,55904,38978,54312,53123,26417,29569,1739,2732,4709,2949,1730,1657
EW023_RS00255,5735,4965,5463,6475,9551,5140,1110,3303,1799,1932,729,1185
EW023_RS00260,712,678,808,780,430,1037,225,2702,1224,1807,455,648
EW023_RS00265,4314,3615,2887,3311,2483,3393,1796,5464,3498,4496,2140,2140
EW023_RS00270,193,263,194,163,134,162,138,638,345,482,182,218
EW023_RS00275,549,649,355,734,188,845,632,3596,1650,1811,350,1035
EW023_RS00280,1898,1785,4466,2038,4412,4638,20753,22832,25312,7321,4897,26612
EW023_RS00285,1096,1247,3814,1425,2159,2605,12320,16057,21687,3899,3163,19227
EW023_RS00290,999,1108,3440,1240,2265,1939,14430,16030,25620,4460,3879,20190
EW023_RS00295,581,640,2060,773,1806,1226,9008,9355,15972,2342,2574,12013
EW023_RS00300,1618,1805,5674,2165,5437,3119,16325,14647,29647,3795,3379,23850
EW023_RS00305,416,606,1620,659,1044,871,3780,5570,8163,2822,1390,6670
EW023_RS00310,1294,1539,2234,1446,2211,1791,3955,5667,8955,2760,1262,7496
EW023_RS00315,311,286,682,266,585,459,1158,1450,2468,568,348,2087
EW023_RS00320,818,852,1960,788,1456,1409,3122,5088,6228,2460,1011,5843
EW023_RS00325,1665,2004,3507,1778,989,2285,2765,9882,9811,6483,1514,6281
EW023_RS00330,4311,5020,7438,3381,3925,3484,5764,7853,10954,3157,2242,10043
EW023_RS00335,1035,2863,1019,1020,258,1086,369,3685,1892,2747,614,953
EW023_RS00340,18075,18946,9307,10219,9386,8693,1054,3121,2346,2767,1553,1574
EW023_RS00345,4981,3862,2516,2663,1529,2528,823,906,509,3603,4618,1222
EW023_RS00350,4273,2997,2063,1979,1174,2348,1007,1074,538,2859,3820,1331
EW023_RS00355,14062,14720,10749,9529,7073,11036,6199,7676,4054,16814,22074,9268
EW023_RS00360,50836,94973,96250,78156,85014,67911,20730,37846,27913,6479,4540,14766
EW023_RS00365,2065,4595,1989,4388,3225,1613,8403,16343,11285,5141,3641,7431
EW023_RS00370,1305,1156,1067,1396,1900,1580,260,5625,3065,4264,754,1387
EW023_RS00375,3514,3556,5955,2726,2392,2806,946,1786,762,546,379,1365
EW023_RS00380,3960,4669,9381,4080,3709,3878,2547,4547,1424,760,862,2836
EW023_RS00385,5310,5330,10922,5799,7034,3533,5042,5556,2495,933,1390,4739
EW023_RS00390,3081,3492,6673,4179,3982,2293,2821,3749,1739,653,832,3763
EW023_RS00395,14565,14359,26844,16751,17413,8623,13390,11994,6950,2297,3518,14940
EW023_RS00400,6828,6617,10923,7399,6934,3574,5911,4782,3340,891,1481,7139
EW023_RS00405,7030,6597,10872,7751,7030,3671,6690,4931,3589,1155,1700,8107
EW023_RS00410,14757,13990,20623,16042,15713,7094,13681,9077,7206,2491,3526,15673
EW023_RS00415,12710,10531,15243,12332,11865,5168,10760,5853,5260,1767,2571,10947
EW023_RS00420,3678,3871,5159,4716,3751,1804,3248,2506,1910,696,896,4391
EW023_RS00425,9069,7835,10330,9431,7025,3763,7953,4838,4251,1542,1890,9251
EW023_RS00430,13672,11293,14727,13015,12740,5427,11821,6367,6407,1982,2909,12546
EW023_RS00435,10555,9117,11424,11085,9042,4449,9441,5517,5784,1872,2356,10801
EW023_RS00440,16741,13630,16469,17244,14567,6351,15855,8832,8969,3328,4034,17230
EW023_RS00445,7217,5558,6809,6511,5302,2279,6770,3417,4242,1483,1493,6342
EW023_RS00450,21187,17329,20321,20414,16666,7309,18845,9290,11947,3859,4573,18570
EW023_RS00455,26797,23054,26495,26184,22401,9543,23875,11374,15017,4430,6029,23703
EW023_RS00460,13170,10481,12255,12481,12979,4285,12299,5278,6698,2476,3069,10549
EW023_RS00465,17576,16410,17414,18425,22600,6373,15936,8651,10085,3799,4547,14392
EW023_RS00470,6240,5238,5673,5938,5942,2070,4967,2179,3004,993,1163,3802
EW023_RS00475,19964,16878,17860,18756,18910,6689,3218,2259,3154,1045,686,3781
EW023_RS00480,70533,68672,68924,73946,69598,27505,10198,8162,11644,3700,2795,15559
EW023_RS00485,692,649,485,453,259,668,175,1355,635,976,138,542
EW023_RS00490,6526,7356,4682,4615,2813,5453,209,368,214,316,343,357
EW023_RS00495,2999,3448,2179,2162,1223,2660,143,281,154,188,171,260
EW023_RS00500,8720,8535,5777,5834,3796,6543,450,1011,535,675,576,861
EW023_RS00505,8763,9527,6608,6475,5041,7455,453,998,480,664,580,816
EW023_RS00510,25280,28282,18350,20716,13663,21409,1039,3150,1934,2429,1368,2174
EW023_RS00515,9888,10325,6577,7240,5275,7082,324,723,448,529,412,553
EW023_RS00600,69,167,92,203,51,170,121,3392,2090,2508,299,717
EW023_RS00605,540,262,293,396,321,345,81,433,277,380,158,199
EW023_RS00610,864,512,463,626,632,649,112,726,432,485,160,233
EW023_RS00615,739,401,370,414,376,416,56,493,283,360,80,159
EW023_RS00620,1740,1143,931,1312,1227,1284,185,1450,831,1100,322,469
EW023_RS00625,2382,1782,1439,1666,1801,1660,286,977,618,792,430,484
EW023_RS00630,1349,1385,1003,1028,1386,1129,346,1060,593,676,409,534
EW023_RS00635,2211,1558,2399,1881,1643,1051,452,946,515,362,314,390
EW023_RS00640,17023,13761,21756,17538,15207,12317,1053,3743,1948,1591,826,1240
EW023_RS00645,10985,10062,11386,8331,7281,12166,1741,6336,5822,4637,1495,2957
EW023_RS00650,54026,54788,36798,40880,48869,36931,10494,13932,24411,13796,13995,11907
EW023_RS00655,34671,42474,31165,36264,83466,31094,37751,31636,88122,20606,20738,29591
EW023_RS00660,6246,2335,2253,2522,1311,2359,266,671,363,1917,2864,542
EW023_RS00665,203,281,272,388,169,286,176,2995,1561,2131,351,723
EW023_RS00670,236,251,301,312,159,284,172,1791,1081,1512,326,481
EW023_RS00675,74,69,87,89,50,77,43,482,273,397,116,136
EW023_RS00680,48,75,112,79,62,80,50,394,212,290,43,96
EW023_RS00685,21,43,51,68,35,34,17,532,271,381,36,121
EW023_RS00690,51,116,142,147,67,122,48,1108,539,799,104,238
EW023_RS00695,59,124,108,106,75,121,42,538,282,377,65,139
EW023_RS00700,11851,7464,7103,6500,3684,6263,261,1764,1063,1645,1350,687
EW023_RS00705,11033,7335,7390,6212,4549,5726,1595,5015,3871,2650,2321,1958
EW023_RS00710,603,832,955,736,736,653,215,1409,944,902,208,532
EW023_RS00715,2233,2321,2379,2250,5284,2290,693,1709,1173,1030,423,839
EW023_RS00720,3361,2912,2700,3401,10155,3214,820,2854,1722,1964,579,1202
EW023_RS00725,2221,2345,1531,3365,12203,1613,47,167,117,172,178,77
EW023_RS00730,901,842,740,647,434,1106,33,728,303,471,64,191
EW023_RS00735,919,809,696,695,361,963,77,1151,701,883,128,338
EW023_RS00740,2282,2707,2777,1993,1700,2613,365,1834,1316,874,307,988
EW023_RS00745,64,145,78,122,65,99,40,1058,443,732,96,253
EW023_RS00750,833,1063,1091,1105,1654,1129,303,1150,871,797,287,671
EW023_RS00755,1083,1103,1308,1247,2369,1344,476,1350,999,986,407,833
EW023_RS00760,1434,833,1036,1252,2150,1224,192,1213,640,948,288,426
EW023_RS00765,7249,8179,9657,9682,8876,8366,3993,4977,2605,10914,13349,4656
EW023_RS00770,7,35,24,22,11,30,14,157,70,154,107,53
EW023_RS00775,7159,4891,3440,6025,5184,10178,1873,7119,4112,8041,5596,3196
EW023_RS00780,2380,2444,1796,1854,1301,3218,3319,2762,3342,11662,13594,3492
EW023_RS00785,10401,11087,7607,8117,4581,13046,10383,9623,8082,40269,46848,12712
