X,UA159_1count,UA159_2_count,UA159_3_count,X1995_1_count,X1995_2_count,X1995_3_count
SMU_1839,10084,11097,11922,11918,12572,11502
SMU_184,3850,4874,4854,3866,4134,3759
SMU_1840,7380,8907,9065,8833,8671,8564
SMU_1841,13787,17134,15773,15983,18645,15505
SMU_1843,9926,10837,10068,10396,10477,9223
SMU_1844,2883,3824,3670,3703,3635,3632
SMU_1845,3721,5650,5186,5443,5402,5170
SMU_1846c,14878,13678,14816,14824,13948,12223
SMU_1847,8628,10346,10299,9794,9337,9064
SMU_1848,695,1140,1028,1074,1135,1187
SMU_1849,4132,5050,4999,4992,4390,4469
SMU_185,69,84,106,70,86,96
SMU_1850,9940,12682,12655,13229,11730,10663
SMU_1851,24503,32410,33541,32782,29305,29499
SMU_1852,8979,11064,11715,11012,11119,9546
SMU_1853,4082,5128,5529,5564,5759,5165
SMU_1854,1057,1623,1543,1725,1874,1665
SMU_1855,3062,3432,3557,3342,2945,2967
SMU_1856c,1757,2088,2057,2035,1595,1517
SMU_1858,9860,12874,13326,12792,14780,14556
SMU_1859,55774,67522,71297,69455,80092,67503
SMU_186,4309,4889,4835,4451,4555,4086
SMU_1860,6010,8215,8286,7660,9042,8407
SMU_1861c,71849,86281,67017,84235,89742,93748
SMU_1862,56,58,75,67,62,43
SMU_1865,3495,4006,3890,3817,3493,4116
SMU_1867c,20922,24066,28596,26582,29011,29820
SMU_1869,9636,12575,13242,12808,15649,16816
SMU_1870,11724,13876,14665,12280,11415,10495
SMU_1871c,759,1095,1028,898,919,955
SMU_1872c,3256,3970,3542,3226,3000,3379
SMU_1873,9595,10336,10795,9949,9347,8242
SMU_1874,2454,3106,3223,2742,2799,2679
SMU_1875,3980,4547,4908,4133,3791,3209
SMU_1876,1827,3041,2917,2868,3423,3249
SMU_1877,44019,47616,46092,40772,46786,36125
SMU_1878,83379,77443,78274,67766,77178,58254
SMU_1879,69010,74963,72156,61860,70865,58632
SMU_187c,10242,12046,13328,13248,14580,14652
SMU_1881c,2757,3330,3920,3458,3609,3397
SMU_1882c,2065,2901,3439,2621,2541,3261
SMU_1883,2339,2582,2614,2458,2486,2521
SMU_1884c,72,82,82,69,67,72
SMU_1886,19461,23686,23774,23968,27355,24568
SMU_1888,49,91,75,60,57,51
