X,UA159_1count,UA159_2_count,UA159_3_count,X1995_1_count,X1995_2_count,X1995_3_count
SMU_223c,2,3,4,3,2,0
SMU_224c,532,773,709,578,513,587
SMU_225c,17,32,23,22,18,21
SMU_226c,10484.66,8582.8,10024.56,8364.47,7753.39,6228.02
SMU_227c,12167.6,14227.63,13118.11,12436.93,11133.94,9884.34
SMU_228,1496,1852,1782,1602,1418,1554
SMU_229,22321,24720,25084,24353,23491,22045
SMU_23,6073,7329,7771,7947,8879,8093
SMU_231,43653,52768,49597,54938,59797,49830
SMU_232,6479,7591,7804,7959,8622,7668
SMU_233,66649,70910,73874,78008,86492,74800
SMU_234,10271,12043,12952,12727,11707,11519
SMU_235,15802,20530,21536,22381,24318,22327
SMU_236c,1213,1629,1483,1634,1473,1477
SMU_237c,715,814,871,869,752,717
SMU_238c,544,636,724,698,650,711
SMU_239c,28,39,44,22,30,26
SMU_24,3265,3876,3861,3599,4072,3670
SMU_241c,5268,5722,5935,5532,5587,4607
SMU_242c,13003,14387,14261,12583,12277,10039
SMU_243,7802,9878,8953,9176,9950,8880
SMU_244,3646,4958,4938,4978,4814,4152
SMU_245,10073,11756,11189,11228,9984,9537
SMU_246,13405,17843,17882,18986,20942,18591
SMU_247,15875,19322,19238,17579,15609,16963
SMU_248,41820,50374,52815,51179,45687,44076
SMU_249,24665,32832,32659,31683,28563,28492
SMU_25,1136,1840,1247,1488,1421,1408
SMU_250,3021,4415,4262,4271,3830,3960
SMU_251,27467,34362,34523,36340,33097,31467
SMU_252,9397,11158,10447,9716,9147,8258
SMU_253,3196,3382,3553,3353,3571,2845
SMU_255,44272,52341,49773,49238,51138,42350
SMU_256,5470,7715,7486,7577,7701,6548
SMU_257,8238,12094,11050,11242,11200,9865
SMU_258,24227,24347,25821,24178,23896,20029
SMU_259,20192,20793,19367,19776,18982,17173
SMU_26,4809,5626,5548,5453,5541,4856
SMU_260,3013,3582,3404,3861,4511,4487
SMU_261c,141,96,131,131,127,118
SMU_262,38,34,59,58,65,46
SMU_263,56,46,71,73,78,59
SMU_264,25,33,18,26,18,19
SMU_265,30,41,41,36,57,30
SMU_267c,11225,12827,13155,13663,13128,13386
SMU_268,16696,19070,19970,20328,25236,21924
SMU_27,212,294,256,241,210,276
SMU_270,2397,2672,2499,2763,3038,2344
SMU_271,3036,3578,3868,3631,3807,3910
SMU_272,5877,6017,6410,6102,6092,5863
SMU_273,3423,4077,4513,4098,4087,4229
SMU_274,4626,5741,6497,6245,6443,6221
SMU_275,3558,4083,4507,4342,4509,4784
SMU_276c,0,0,0,0,0,0
SMU_277,969,831,985,796,925,914
SMU_278,6570,8507,8962.92,8325,9930.92,10146
SMU_279,142,188,237,169,195,180
SMU_28,48,56,80,71,75,75
SMU_281,300,471,397,355,345,301
SMU_283,959,1127,1322,1073,1161,990
SMU_284,218,273,303,288,284,256
SMU_285,673,1133,1158.08,1046,1230.08,1360
SMU_286,27760,33544,35784,32257,34745,29576
SMU_287,11345,14155,13069,12115,11167,11098
SMU_289,2320,3160,3159,3118,3055,3022
SMU_29,122,170,170,144,129,135
SMU_290,2571,2950,2961,2923,3194,2896
SMU_291,50818,57447,60050,60676,80710,66863
SMU_292,1555,1928,2014,1931,1854,1679
SMU_293,336,520,533,451,551,462
SMU_294,572,567,619,557,598,507
SMU_295,495,558,528,554,639,522
SMU_296,1182,1282,1391,1486,1786,1454
SMU_297,28937,31629,33695,35090,37294,35179
SMU_298,8724,9845,9738,11051,11761,12361
SMU_299c,687,770,872,731,979,882
SMU_30,2812,3363,3427,3057,3283,2783
SMU_300,4913,5377,5493,5041,5093,4218
SMU_301,3642,3749,3660,3707,3530,3072
SMU_302,1160,1421,1437,1441,1335,1197
SMU_303,9905,10319,10587,10915,13063,11281
SMU_304,3862,3890,4259,4077,5167,4213
SMU_305,7361,8755,7900,8329,9193,9149
SMU_307,41310,54806,53039,53343,69036,59819
SMU_308,448,522,641,685,733,592
SMU_309,871,1162,1092,1156,1020,977
SMU_31,64,86,80,69,65,76
SMU_310,316,373,411,481,407,324
SMU_311,319,536,555,532,576,468
SMU_312,795,831,998,979,1022,904
SMU_313,351,274,297,315,315,231
SMU_314,166,211,236,200,205,208
SMU_317,4769,5613,5778,6181,8035,6284
SMU_318,8123,9669,9940,10839,13533,11115
SMU_32,1242,1433,1582,1363,1405,1117
SMU_320,1730,2070,2172,2151,2426,2623
SMU_321,2223,3115,3204,3469,3933,3959
SMU_322c,10527,13699,15141,13795,14731,13031
SMU_323,11515,14505,15745,14107,15193,13882
SMU_325,5166,5682,5955,6159,5668,5277
SMU_326,1976,2349,2315,2185,2327,2087
SMU_327,8693,9798,10329,10619,10763,8789
SMU_328,7256,7635,8616,8431,7570,7575
SMU_329,9064,11627,12126,11358,10781,10618
SMU_33,13,7,14,18,13,20
SMU_330,13713,17130,16704,15768,14628,13333
SMU_331,5864,6813,6641,6267,6086,5512
SMU_332,1730,2940,2600,2710,2841,2844
SMU_333,16713,19112,17340,16960,18309,15912
SMU_334,6239,6684,6542,7002,7221,6321
SMU_335,4061,4605,4847,4843,5035,4065
SMU_336,1441,1783,1782,1542,1446,1566
SMU_337,7002,8673,8664,7759,7237,6476
SMU_338,5929,7451,7486,6198,5682,5161
SMU_339,3534,4197,4028,3703,3512,3086
SMU_34,545,529,641,581,551,575
SMU_340,1584,1792,1921,1631,1908,1949
SMU_341,7485,7232,7776,7412,8307,6870
SMU_342,4620,4655,4904,4593,4911,4550
SMU_343,1560,1776,1938,1769,1716,1513
SMU_344,2492,2214,2466,2394,2252,1882
SMU_345c,2427,2451,2660,2437,2504,2137
SMU_346,619,769,803,747,795,629
SMU_348,2559,3515,3504,3473,3958,4250
SMU_349,9268,9812,11212,10903,13110,11732
SMU_35,491,470,542,367,452,415
SMU_350,3206,3250,3652,3950,4550,3980
SMU_351,11512,11619,12086,11536,10154,9196
SMU_352,7654,8694,9469,8465,7903,6316
SMU_353,4841,5326,5941,4858,4181,3747
SMU_354,8286,10029,10078,8033,6847,6497
SMU_355,10393,11793,13223,11650,10841,9346
SMU_356,6779,7354,6746,7361,7011,6402
SMU_357,32349,35396,35580,34382,36235,30011
SMU_358,44018,49806,52255,51860,57894,45211
SMU_359,151064,183725,181812,183102,195277,156853
SMU_36,254,356,385,317,316,338
SMU_360,248277,325801,354914,323914,391466,356099
SMU_361,74267,95299,92308,85145,99104,84294
SMU_362,520,882,846,733,648,581
SMU_363,6011,7255,8049,5622,6402,5978
SMU_364,24147,30583,33468,23960,27511,23593
SMU_365,18342,22389,24156,18552,19370,16387
SMU_366,5653,6779,7339,5888,6415,5832
SMU_367,2054,2458,2936,2201,2943,2837
SMU_368c,28781,31685,33473,33118,37567,31255
SMU_369c,313,392,409,376,379,358
SMU_37,1475,1703,1908,1735,2047,1674
SMU_370,420,432,488,429,477,488
SMU_371,244,321,362,309,280,261
SMU_372,199,291,243,226,204,235
SMU_373,376,371,457,412,337,315
SMU_374,208,256,302,321,219,251
SMU_375,141,175,179,177,157,157
SMU_376,733,1003,844,874,773,774
SMU_378,1,1,1,7,3,4
SMU_379,58,38,27,33,29,23
SMU_381c,8123,9691,10336,10157,10313,11436
SMU_382c,273,204,251,215,204,167
SMU_383c,263,308,296,256,219,203
SMU_384,340,544,605,512,563,573
SMU_385,2100,2187,2206,2403,2520,2243
SMU_386,603,718,700,756,718,814
SMU_387,3051,3785,4139,4062,4690,4289
SMU_388,5269,5778,5620,6326,6994,6421
SMU_389,2268.38,2661.69,2478.08,2993.23,3121.92,2979.19
SMU_38c,1616,1717,2000,1757,1733,1384
SMU_39,380,423,510,462,482,475
SMU_390,106.62,137.31,134.92,141.77,198.08,133.81
SMU_391c,16685,18464,18249,22243,29704,23994
SMU_392c,2685,3173,3575,3630,4167,3642
SMU_393,411,565,583,499,592,507
SMU_394c,726,901,924,912,952,861
SMU_395,4101,4475,4803,4361,3896,3487
SMU_396,12557,14532,14913,14429,18630,15077
SMU_399,1383,1978,1919,1826,1774,1745
SMU_40,1,1,1,6,7,8
SMU_400,3557,4100,4530,4455,4544,4020
SMU_401c,2361,2757,2627,2460,2184,1991
SMU_402,710313,845343,859154,824845,845577,739824
SMU_403,4290,5163,5514,4950,4867,4329
SMU_404c,1731,1790,2160,1783,1746,1739
SMU_405c,362,431,447,395,334,354
SMU_406c,2046,2328,2522,2415,2562,2707
SMU_407,184,310,320,333,342,328
SMU_408,14228,18557,17744,18495,23690,20469
SMU_409,5250,5918,6174,5519,6003,5632
SMU_41,0,0,0,0,0,0
SMU_410,10348,11530,11646,11405,11328,10527
SMU_411c,741,979,688,707,720,765
SMU_412c,1458,1649,1378,1264,1487,1330
SMU_413,3332,4180,4806,4666,4511,4280
SMU_414,2822,3575,3316,3215,2835,2985
SMU_415,7052,7446,7597,7866,7781,7041
SMU_416,4831,6056,6038,6083,6894,6033
SMU_417,6551,6474,6826,5350,4933,4240
SMU_418,16183,18772,21126,17580,16655,13196
SMU_419,691,789,849,658,568,509
SMU_42,581,754,711,694,752,734
SMU_420,150,242,225,152,153,184
SMU_421,36172,37962,40531,35078,34928,27947
SMU_422,1328,1830,1947,1743,1549,1374
SMU_423,890,668,784,648,585,558
SMU_424,986,1207,1265,1180,1212,1187
SMU_426,6014,7410,7746,7088,7847,6727
SMU_427,247,310,343,279,336,299
SMU_428,3824,4784,4803,5264,5779,5556
SMU_429c,672,758,728,763,694,620
SMU_43,257,197,227,237,159,241
SMU_431,220,259,279,308,288,250
SMU_432,366,486,462,525,463,470
SMU_433,2162,2965,2739,3250,3827,3955
SMU_434,1127,1447,1561,1816,2328,2148
SMU_435,2428,3141,3929,4423,5596,5255
SMU_436c,303.7,358.4,382.31,320.13,306.73,353.53
SMU_437c,0,0,0,0,0,0
SMU_438c,17028,18372,19683,15450,19675,15274
SMU_439,188,221,181,219,265,221
SMU_44,748,448,528,569,400,512
SMU_440,3345,3028,2964,2839,3424,3036
SMU_441,1333,1400,1400,1491,1938,1590
SMU_442,2511,2225,2429,2343,3033,2420
SMU_444,528,475,467,452,556,446
SMU_445,6909,7994,7777,7019,8029,6280
SMU_446,15520,19495,17653,15735,14988,12248
SMU_447,1823,1912,1912,1534,1519,1230
SMU_448,1549,1902,1700,1512,1464,1392
SMU_449,2950,4259,3943,3917,3898,3819
SMU_45,468,381,544,524,412,449
SMU_450,10485,12237,13912,13304,14581,11344
SMU_451,148,303,297,248,266,219
SMU_453,17402,18540,19075,16980,16410,15290
SMU_454,956,1212,1199,1013,847,815
SMU_455,23907,29182,30070,28642,26368,23999
SMU_456,8334,10317,10590,11241,10698,9901
SMU_457,37,60,56,61,57,56
SMU_458,5831,6537,6508,6169,5630,5810
SMU_459,3249,3831,3072,2030,1893,1595
SMU_46,157,126,163,146,130,150
SMU_460,3442,4723,4141,2918,3414,2900
SMU_461,8569,9612,8724,6223,6962,5811
SMU_462,580,674,821,927,1012,741
SMU_463,7874,10394,11302,11957,12262,13699
SMU_464,16598,20017,20495,21436,21847,20176
SMU_465,9543,10834,11426,12018,12648,11364
SMU_466,23190,26614,27276,28836,28897,25911
SMU_467,34065,42962,43839,46709,52888,46886
SMU_469,11161,14920,14756,14532,14371,12593
SMU_47,89,111,132,106,88,114
SMU_470,415,640,582,599,679,736
SMU_471,333612,341213,335519,327082,420541,420615
SMU_472,5696,7298,8246,7744,7361,6816
SMU_473,6869,8707,8809,7968,7874,7630
SMU_474,8245,9436,10335,8848,9675,9395
SMU_475,28235,35149,35772,33254,37638,31012
SMU_478,12857,14359,15051,14640,14869,16193
SMU_479,1586,1997,2159,1880,2043,2347
SMU_48,9741,9223,10275,10063,12832,9787
SMU_480,7347,9459,9874,8799,7111,7840
SMU_481,3537,4202,4786,4341,3899,3951
SMU_482,4444,5321,5367,5322,4620,4632
SMU_483,16040,17885,17633,17225,15764,14548
SMU_484,49699,58251,59073,62531,61034,51677
SMU_485,353,578,653,529,535,502
SMU_486,1195,1583,1536,1376,1225,1169
SMU_487,1539,2054,1957,1820,1692,1509
SMU_488,3491,4400,4379,4123,4346,4033
SMU_489,884,1254,1273,1259,1331,1263
SMU_49,3694,3816,4106,3987,4695,4223
SMU_490,220,282,266,247,246,240
SMU_491,360,526,428,539,492,437
SMU_493,4691,5746,5499,5987,6475,5423
SMU_494,1123,1209,1305,1361,1484,1192
SMU_495,1647,2046,2080,2057,2065,1927
SMU_496,16858,18542,15558,9097,11700,8326
SMU_497c,503,577,614,570,692,569
SMU_498,44,40,47,35,50,34
SMU_499,28,47,45,40,19,32
SMU_50,1880,1720,1926,1943,2101,1833
SMU_500,16965,20249,18323,19695,21972,21182
SMU_501,5354,6516,6400,5761,5782,4736
SMU_502,12364,13070,12306,10503,9739,8414
SMU_503c,1249,1279,926,911,931,588
SMU_504,331,423,396,396,276,372
SMU_505,820,814,896,815,637,634
SMU_506,1709,2006,1866,1793,1591,1514
SMU_507,3967,4738,6643,3793,3793,5288
SMU_508,2763,3947,5394,3213,3286,4459
SMU_509,1370,1955,2219,1732,1983,1966
SMU_51,8760,6502,7916,7337,7533,5993
SMU_510c,1803,1660,1320,1062,914,688
SMU_512c,348,344,376,309,416,326
SMU_513,647,967,1095,909,811,839
SMU_514,1194.94,1301.44,1237.41,1084.91,889.64,801.34
SMU_515,535,565,648,602,630,507
SMU_516,1755,1984,2045,1873,1763,1597
SMU_517,2468,2670,2434,2451,2116,2071
SMU_518,5765,6411,6611,6368,6326,5849
SMU_52,483,705,650,587,491,562
SMU_520,2534,3135,3184,2707,2838,2492
SMU_521,646,1083,930,878,813,771
SMU_522,8573,9620,10680,10354,10727,9169
SMU_523,2367,2406,2374,2767,2676,2476
SMU_524,2179,2751,2899,2878,2531,2755
SMU_525,1570,1974,2151,2073,1749,1828
SMU_526c,349,491,483,484,400,465
SMU_527,1263,1661,1810,1713,1720,1736
SMU_528c,3558,3818,4113,3784,3574,3384
SMU_529,40,58,81,49,74,65
SMU_53,1311,1097,1201,1034,1020,866
SMU_530c,5319,6798,7402,7646,9807,8252
SMU_531,1690,2037,2453,1823,1915,1695
SMU_532,2946,3553,4163,3083,2675,2258
SMU_533,1452,1327,1498,1198,1148,944
SMU_534,2156,2392,2471,2034,1917,1707
SMU_535,1580,1844,1797,1367,1533,1290
SMU_536,378,417,470,386,382,347
SMU_537,1687,1899,2146,1744,1802,1487
SMU_538,1743,2206,2008,1913,1957,1764
SMU_539c,327,391,362,305,254,217
SMU_54,1460,1446,1894,1697,1671,1247
SMU_540,66348,88943,95255,93026,107707,118139
SMU_541,1039,1472,1302,1262,1020,1323
SMU_542,38831,34778,36508,36593,37519,33648
SMU_543,15733,15519,16182,17150,17435,15630
SMU_545,35,40,46,46,51,44
SMU_546,77641,82344,91597,81892,80581,69343
SMU_547,2225,3337,3267,2894,2730,2725
SMU_548,9465,10242,10808,9461,9443,8001
SMU_549,4977,5345,5778,4820,4424,4075
SMU_55,294,298,381,279,267,277
SMU_550,6939,7548,7931,6541,6113,5628
SMU_551,31676,36337,37403,33850,34719,30422
SMU_552,55399,61010,64723,56516,57195,46820
SMU_553,6119,9182,9303,7853,7518,6802
SMU_554,34738,31651,34393,28169,25139,21160
SMU_555,45,94,96,85,113,104
SMU_556,9967,13411,11923,10324,8685,8603
SMU_557,14804,19075,19402,15447,13826,13172
SMU_558,21708,29530,29799,27500,29169,26389
SMU_56,20,44,31,22,25,37
SMU_560c,4768,4963,4895,4935,4742,4553
SMU_561c,830,1003,1165,943,824,853
SMU_562,43732,60138,64794,59271,56614,56048
SMU_563,496,614,515,591,616,550
SMU_564,1963.95,2423.3,2469.45,2427.11,2715.4,2722.76
SMU_565c,0,0,0,0,0,0
SMU_566c,117.36,129.16,127.04,113.12,76.98,86.55
SMU_567,6719,8563,9098,9664,11446,9976
SMU_568,5384,6561,6833,7279,8502,8194
SMU_569,1691,1895,1947,2057,2048,1729
SMU_570,10599,12081,12435,12653,14884,11991
SMU_571,109,111,148,132,158,164
SMU_572,6337,6980,7571,7499,8825,7820
SMU_573,5332,5477,5944,5767,6083,5411
SMU_574c,254,204,722,222,233,215
SMU_575c,156,178,343,154,241,195
SMU_576,2160,2713,2800,2768,2951,2887
SMU_577,13316,14434,15257,15437,15314,13995
SMU_58,819,1208,1030,965,893,997
SMU_580,5627,6854,6640,6259,6194,6037
SMU_581,768,896,784,737,698,695
SMU_582,5743,6110,6758,5695,5293,4690
SMU_583,4342,4163,4715,3988,3579,3031
SMU_584,1175,1490,1383,1131,971,978
SMU_585,8681,10046,10438,9877,9173,7954
SMU_586,6086,7662,7564,6661,6953,6008
SMU_587,3933,5205,4806,4286,4152,3964
SMU_588,3233,4827,4282,3982,3861,3765
SMU_589,32753,45516,43559,44815,58619,53034
SMU_59,5518,5130,5968,6006,7175,5576
SMU_590c,15,14,26,22,19,10
SMU_591c,38,63,59,65,69,73
SMU_592c,33,45,36,32,37,30
SMU_593,715,963,732,671,578,728
SMU_594,717,877,870,937,811,857
SMU_595,3216,3424,3384,3646,4395,4420
SMU_596,64953,66737,66799,66172,81806,66731
SMU_597,24905,31340,31514,29584,29551,27586
SMU_598,6768,8801,9671,10123,11605,10088
SMU_599,11028,14465,14968,15356,18581,16517
SMU_60,663,693,666,745,781,768
SMU_600c,1057,1258,1375,1518,1964,1601
SMU_602,995,1300,1407,1579,1773,1426
SMU_603,3395,3934,4311,4020,4140,3765
SMU_604,24,44,29,32,29,38
SMU_605,120,153,129,139,107,131
SMU_606,677,839,790,783,682,694
SMU_607,816,1010,1130,1202,1279,1212
SMU_608,11110,12615,12696,12859,15583,12907
SMU_609,3819,3676,3278,2649,2876,1915
SMU_61,1354,1828,1578,1656,1502,1802
SMU_610,228283,265060,255034,246732,202565,187381
SMU_611,22130,25172,27828,27077,29263,25686
SMU_613,415,495,465,453,389,384
SMU_614,94,133,135,129,108,127
SMU_616,2198,3318,3524,2383,3274,4052
SMU_618,10497,17016,17154,13938,18837,21367
SMU_620,3817,4548,5365,4090,3909,3837
SMU_621c,4077,4842,4867,4929,5290,4577
SMU_622c,418,683,695,615,754,706
SMU_623c,1973,2392,2418,2239,2241,1988
SMU_624,5644,6527,6301,6218,7416,6526
SMU_625,88,122,135,93,88,94
SMU_626,89,107,162,129,101,89
SMU_627,26944,22380,24163,26598,30626,28148
SMU_628,912,1226,1087,1088,1058,1099
SMU_629,64692,79950,80088,97084,97168,116538
SMU_630,5301,7058,6778,6688,6103,6379
SMU_631,1282,1250,1369,1450,1622,1416
SMU_632,1032,1547,1520,1624,1877,1787
SMU_633,5958,6805,6891,7975,8518,8099
SMU_634,9851,9734,10509,10993,11249,11572
SMU_635,37028,43663,46035,44232,49621,47971
SMU_636,9000,11103,13206,13390,12992,15258
SMU_637c,932,1037,1231,1073,1048,1037
SMU_638,5222,5528,7176,6413,6127,5715
SMU_639,3233,3570,3874,3653,3589,3431
SMU_63c,80733,85458,88251,60514,54946,45613
SMU_64,6750,7745,8141,7553,7619,6404
SMU_640c,402,469,481,430,429,342
SMU_641,1156,1363,1394,1257,1022,1154
SMU_642,25,19,18,5,8,12
SMU_643,568,667,731,687,540,536
SMU_644,78,75,119,81,95,65
SMU_645,3200,4008,4028,3631,3421,3289
SMU_646,1326,1495,1655,1390,1253,1288
SMU_647,1958,2522,2456,2255,2016,1947
SMU_648,11958,16015,14077,13294,12480,12193
SMU_649,5601,8089,7631,6904,6982,6538
SMU_65,1631,1764,1818,1827,1686,1536
SMU_650,37538,40814,42986,39351,43540,36214
SMU_651c,189,263,224,267,290,235
SMU_652c,158,127,157,145,151,124
SMU_653c,106,153,131,146,175,159
SMU_654,21,24,22,32,25,10
SMU_655,3,3,2,0,2,1
SMU_656,9,12,13,5,7,2
SMU_657,26,21,38,19,36,16
SMU_658,26,48,28,29,43,36
SMU_659,277,279,296,276,381,354
SMU_66,6971,6975,7004,6860,7080,6569
SMU_660,876,1037,1037,1184,1287,1089
SMU_661,505,597,556,655,612,738
SMU_662,1260,1360,1320,1390,1572,1738
SMU_663,74,86,91,117,121,83
SMU_664,126,155,147,153,181,152
SMU_665,91,86,89,112,80,81
SMU_666,132,171,149,176,142,160
SMU_667,15276,18823,18608,21255,18425,16339
SMU_668c,31627,40006,40125,41268,34482,35418
SMU_669c,2625,3763,3720,3254,2656,3365
SMU_67,26733,30487,30711,32826,35838,31284
SMU_670,6153,7722,7397,4059,3827,2950
SMU_671,4649,4939,4460,2596,2600,1884
SMU_672,6664.7,7878.78,7196.19,4758.07,4898.44,3930.25
SMU_673,1671,2315,2073,1628,1704,1393
SMU_674,17799,19801,20181,19342,22941,21452
SMU_675,294468,351958,366263,349493,415300,343457
SMU_676,79134,93319,93555,97130,113701,108648
SMU_677,108,132,141,127,118,135
SMU_678,528,785,831,728,728,638
SMU_679,603,738,712,708,704,619
SMU_68,2599,2992,2684,2938,2971,3213
SMU_680,140,230,228,259,210,205
SMU_681,252,340,335,303,243,273
SMU_682,1187,1251,1315,1091,950,996
SMU_683,5654,5460,6653,5737,4814,4480
SMU_684,926,910,981,839,762,761
SMU_685,332,365,398,375,230,349
SMU_687c,0,0,0,0,0,0
SMU_688,909,1092,1036,960,838,670
SMU_689,23366,27477,28335,25712,25453,21790
SMU_690,4868,6228,6075,6473,6142,5583
SMU_691,4494,6209,5946,6144,6126,5594
SMU_692,3862,5530,4519,4899,4408,4725
SMU_694c,16,39,35,30,21,37
SMU_695,4538,5045,4793,4491,3917,4083
SMU_696,6514,7504,7449,6968,6729,6444
SMU_697,5928,9789,9143,7325,7300,6227
SMU_698,3346,3532,3459,2840,2619,2365
SMU_699,4348,6808,7239,5666,6227,4884
SMU_70,14149,15667,16042,18842,19746,18391
SMU_700c,2807,3559,3505,3354,3052,2656
SMU_701c,268,394,435,384,340,371
SMU_702c,1962,2205,1946,2005,1828,1707
SMU_703c,2433,3200,3165,3241,3303,2796
SMU_704c,671,954,826,669,577,689
SMU_706c,542,584,654,493,539,490
SMU_707c,13537,14198,15351,13750,12554,12424
SMU_709,2247,3593,3405,3555,4522,3780
SMU_71,1605,1890,1892,1675,1670,1490
SMU_711,492,550,521,487,535,617
SMU_712,22270,30631,30774,27353,27668,25574
SMU_713,15270,20332,20928,18682,18906,17430
SMU_714,385316,462204,509464,486575,553370,451960
SMU_715,26839,35163,33961,31219,39686,40394
SMU_716,9757,11441,12179,11049,9615,9035
SMU_717,10535,10829,11393,9656,8330,7510
SMU_718c,4202,4464,4721,3983,3430,3161
SMU_719c,4279,4655,4860,4655,4093,4103
SMU_72,857,1134,1055,1082,1035,1065
SMU_720,2840,3235,3396,3155,2969,2453
SMU_721,745,1006,893,906,786,667
SMU_722,53,101,73,49,72,61
SMU_723,23559,28515,31452,32559,38412,32617
SMU_724,1530,1924,1743,1623,1513,1623
SMU_725c,1525,2025,2195,2031,1676,2031
SMU_727,180,204,161,194,181,135
SMU_728,1811,1882,1972,2058,2268,2086
SMU_73,7984,8668,8950,8737,10277,9436
SMU_730,37,42,45,37,53,35
SMU_731,362,462,435,410,360,361
SMU_732,267,440,377,399,359,372
SMU_734,105.52,182.69,180.23,182.35,196.37,182.4
SMU_735,694,801,920,817,890,1054
SMU_737,1863,2033,2218,2483,2371,2204
SMU_738,965.48,1057.31,1224.77,1220.65,1228.63,1128.6
SMU_739c,195,216,245,213,187,166
SMU_74,9682,10749,11335,10476,10639,10444
SMU_741,2478,3038,3007,2780,2636,2429
SMU_742,2068,2834,2726,2388,2239,2165
SMU_743,3237,4055,3720,3631,3413,2805
SMU_744,7465,8602,8977,8510,8801,7596
SMU_745,3943,4831,5004,5337,5950,5486
SMU_746c,8915,9563,10314,10164,8469,8912
SMU_747c,7403,10969,11444,10975,9762,11203
SMU_748,1,1,0,0,1,2
SMU_75,10722,11877,12579,12318,10873,10560
SMU_750c,0,0,0,1,0,0
SMU_751,13335,15953,16130,15450,15255,12827
SMU_752,2638,3504,3462,3453,3678,3340
SMU_753,3224,3283,4104,4187,4831,4023
SMU_754,34362,39976,40269,39458,40687,42713
SMU_755,12104,17026,17877,18058,18209,16876
SMU_756,1418,2150,2103,1990,1866,1909
SMU_757,7274,8233,8178,7334,6379,6789
SMU_758c,994,1832,1705,1513,1958,1879
SMU_759,8201,9006,8993,9555,9139,8325
SMU_76,3295,4592,4964,4696,4488,4333
SMU_761,14300,16728,17117,17968,21246,18249
SMU_764,12313,17505,16511,17280,14969,20079
SMU_765,48257,64902,61433,69034,59376,71659
SMU_766,12.55,17.36,24.83,46.54,18.09,10.79
SMU_767,139.57,278.07,198.8,260.53,148.55,264.9
SMU_768c,441.15,923.96,1023.47,916.33,827.81,953.14
SMU_769,362,523,458,473,591,639
SMU_770c,17009,20065,23418,20523,23267,19189
SMU_771c,112,192,202,216,212,193
SMU_772,2658,3204,3905,3559,4263,3961
SMU_773c,13866,15976,16417,16588,17907,15094
SMU_774,7351,8783,8726,9261,10378,9216
SMU_775c,22233,26061,26638,23848,21810,21270
SMU_776,4503,5435,5688,5224,4763,4451
SMU_777,4735,6201,6086,5580,4716,4365
SMU_778,3146,4326,4328,3901,3547,3324
SMU_779,7706,9126,9489,8944,8604,7208
SMU_78,15832,15621,11905,10988,9916,8635
SMU_780,12510,14168,14794,14458,14269,11817
SMU_781,10251,12583,11690,12468,11635,10601
SMU_782,2360,2759,2707,2624,2490,2577
SMU_784,4497,4971,4806,4508,4606,4149
SMU_785,1030,1267,1194,1113,1106,1146
SMU_786,3156,3981,4019,3948,3727,3078
SMU_787,9286,11513,11648,11674,12311,10850
SMU_788,6108,6731,7553,7294,7705,6766
SMU_789,5776,7830,7798,9297,11109,10332
SMU_79,1059,928,456,483,400,340
SMU_790,6,13,24,20,12,14
SMU_791c,2,3,2,3,1,2
SMU_793,2260,2541,2742,2285,2025,1921
SMU_794,1731,1949,2256,1868,1775,1466
SMU_795,763,903,977,773,724,591
SMU_796,2437,2906,3282,2765,2689,2115
SMU_797,225,397,332,348,351,303
SMU_798c,331,295,329,332,264,267
SMU_799c,637,864,906,872,852,822
SMU_80,4748,6462,6054,4327,5090,4564
SMU_800,2009,2671,2664,2301,2297,2109
SMU_801,8975,9933,10393,11120,12330,10880
SMU_802,7692,8803,9810,9944,10154,8765
SMU_803c,1542,1629,1662,1694,1525,1383
SMU_804,384,539,455,465,401,466
SMU_805c,17502,18072,20197,15348,16479,14051
SMU_806c,24629,29468,30838,21298,20678,17859
SMU_807,1163,1615,1445,1848,2356,2211
SMU_809,7497,7806,8269,8032,8400,7428
SMU_81,3643,4280,3879,2813,2750,2410
SMU_811,758,915,1028,942,876,782
SMU_812,34,71,49,44,56,45
SMU_813,448,696,676,619,555,547
SMU_814,1194,1333,1464,1299,1213,1189
SMU_815,5202,6493,6113,5206,4886,3962
SMU_816,4620,5802,5928,5329,5237,4733
SMU_817,2010,2773,2633,2109,2097,1839
SMU_818,1216,2298,2376,2172,3086,2538
SMU_819,7209,10671,10840,10401,12854,12292
SMU_82,21239,27149,25553,16577,17841,16240
SMU_820,11981,16004,15549,14609,14516,13473
SMU_821,13576,15753,16384,14428,13210,11932
SMU_822,10505,12210,12760,11579,10698,9774
SMU_823,5663,7402,7529,6514,6008,5562
SMU_824,4600,6831,6601,6168,6232,6011
SMU_825,14816,17229,17787,16632,15371,13539
SMU_826,6377,7957,7827,7146,6883,6733
SMU_827,3324,4622,4937,4353,4389,3823
SMU_828,10169,13725,13227,11665,9937,10190
SMU_829,16213,19099,17984,16506,13751,12866
SMU_83,10174,12573,12619,9112,10281,10130
SMU_830,14139,17417,17280,15602,13891,12501
SMU_831,11427,14032,13871,12573,10711,9481
SMU_832,2684,3525,3368,3171,2720,2639
SMU_833,6903,7548,7633,6688,5797,5618
SMU_834,5371,7575,7959,7605,6797,6023
SMU_835,6141,8251,7608,7831,6949,6643
SMU_836,1079,1206,1565,1256,1036,974
