,WT-W Total Reads,WT-X Total Reads,WT-Y Total Reads,dLiaF-W Total Reads,dLiaF-X Total Reads,dLiaF-Y Total Reads,dLiaR-W Total Reads,dLiaR-Y Total Reads,dLiaR-Z Total Reads
SpyM3_1517,33698,42447,39012,33147,33072,31760,25981,50677,38959
SpyM3_1518,48994,57192,57067,47836,49875,47130,36034,71569,58576
SpyM3_1519,110660,131218,140787,105342,107662,105525,83478,155393,132247
SpyM3_1520,26262,31483,31581,25855,24481,24091,20778,37371,30449
SpyM3_1521,27436,34998,32307,26384,28028,27113,20203,42079,30387
SpyM3_1522,86529,107797,113490,79549,87249,83112,66205,119464,102413
SpyM3_1523,33471,42533,42053,30355,29437,30661,26660,45297,43450
SpyM3_1524,31727,39234,39997,27503,30562,28294,22478,45230,36158
SpyM3_1525,45070,57471,52712,37344,38762,36173,29872,59727,45454
SpyM3_1526,33916,52564,41041,26815,31444,30029,25826,61035,31596
SpyM3_1527,136511,175559,160550,90300,97573,85731,111137,207020,165102
SpyM3_1528,44509,56496,48605,31568,32905,30291,34445,66569,54284
SpyM3_1529,88534,96167,91283,64782,69304,67619,66614,128158,99665
SpyM3_1530,6821,10344,9125,7398,10879,8849,6056,8706,8249
SpyM3_1531,33198,50306,49628,38143,58394,61260,37979,56893,54364
SpyM3_1532,4930,8348,7347,5687,9270,10298,6072,9177,8112
SpyM3_1533,11252,19541,16758,13130,18643,23980,14441,21400,19260
SpyM3_1534,2489,3700,3388,2651,3376,3788,2327,3642,3042
SpyM3_1535,4631,7522,6640,4926,6107,6883,4398,7748,5674
SpyM3_1536,5266,8650,7314,5430,6931,7136,4879,8237,6622
SpyM3_1537,1308,2110,1846,1172,1486,1124,1105,2075,1853
SpyM3_1538,243,274,251,195,164,166,262,362,350
SpyM3_1539,23454,31181,29171,20721,25037,23731,22165,34759,28768
SpyM3_1540,14586,18423,17008,13513,16115,17249,13047,24310,19161
SpyM3_1541,5974,7778,7395,5049,5830,6362,5778,8489,7133
SpyM3_1542,51,50,59,42,30,35,35,67,48
SpyM3_1543,146,228,232,143,179,177,133,292,204
SpyM3_1544,21149,29310,26547,24728,29492,31784,18030,31753,25820
SpyM3_1545,19642,22986,22312,18955,22543,24273,17267,30132,24367
SpyM3_1546,12919,17582,16446,11321,13609,17753,11570,19069,14409
SpyM3_1547,35931,46791,45638,24655,30642,35389,37966,63989,53025
SpyM3_1548,3260,4110,4131,2800,3310,4027,3704,5989,5583
SpyM3_1549,864,1141,1216,825,1080,1203,913,1267,1118
SpyM3_1550,1076,1536,1565,1054,1421,1531,1240,1907,1533
SpyM3_1551,8256,10437,10257,9547,11482,12959,5965,10321,8272
SpyM3_1552,289,360,357,370,539,538,198,358,277
SpyM3_1553,7165,10459,9699,7664,9998,11222,5937,10338,8268
SpyM3_1554,3342,5189,5083,3720,4646,5228,3010,4756,4274
SpyM3_1555,1802,2515,2471,2070,2508,2602,1390,2458,2031
SpyM3_1556,2711,4306,3580,2457,3257,3488,2072,3227,2392
SpyM3_1557,2582,4867,3875,2306,3054,3571,2063,2587,2119
SpyM3_1558,836,1618,1143,819,1021,1211,681,873,687
SpyM3_1559,648,1112,834,671,839,883,476,728,548
SpyM3_1560,1558,2965,2185,1744,2137,2209,1309,1720,1411
SpyM3_1561,10145,14508,10904,8867,10774,11544,6674,10775,7674
SpyM3_1562,47852,65050,56629,52618,66230,78149,40294,72650,55122
SpyM3_1563,6744,9301,8566,6156,7257,7932,7056,12223,10141
SpyM3_1564,2503,3450,3009,2272,2655,2691,2545,3975,3545
SpyM3_1565,85819,114748,107299,90268,105175,117311,84156,153936,123473
SpyM3_1566,3628,5197,4872,7357,9300,10922,1768,2922,2466
SpyM3_1567,93,113,109,77,85,86,56,139,116
SpyM3_1568,659,916,883,642,828,853,708,1229,882
SpyM3_1569,765,1076,905,792,984,1026,686,1388,1060
SpyM3_1570,1085,1332,1460,998,1325,1380,894,1627,1344
SpyM3_1571,1267,1597,1653,1224,1557,1819,1340,2059,1891
SpyM3_1572,17344,23156,21849,18238,19945,24258,17749,25398,24093
SpyM3_1573,22653,32248,31080,23579,29731,33988,22606,33840,31345
SpyM3_1575,1832,2577,2262,1875,2242,2612,1907,3242,2723
SpyM3_1576,1928,2304,2190,2074,2396,2596,1878,3438,2558
SpyM3_1577,21055,25008,25004,28681,32755,33909,11308,22464,17396
SpyM3_1578,7154,9607,9475,6631,8299,9490,7636,13504,10686
SpyM3_1579,7595,10072,10680,7349,10032,10863,8458,14481,11126
SpyM3_1581,62427,85503,84860,52934,64290,71206,73368,121029,101091
SpyM3_1583,573,739,713,1189,1152,1280,229,334,309
SpyM3_1584,5074,6456,6697,7043,7736,7957,2660,4335,3650
SpyM3_1585,1713,2147,2314,2054,2181,2541,1173,1970,1623
SpyM3_1586,7067,9648,9933,7407,8139,11037,4546,7879,6578
SpyM3_1587,4204,5533,5474,4495,5283,6078,3507,5780,5054
SpyM3_1588,20061,26876,26968,20211,24378,28016,17051,27990,23367
SpyM3_1589,3183,3968,4146,2842,2992,3287,2624,5742,3814
SpyM3_1590,1372,1905,1538,1176,1397,1471,1066,2279,1429
SpyM3_1591,4481,6063,6341,6410,7800,8184,3584,6713,5666
SpyM3_1592,4756,6269,5982,6480,7938,8895,3677,6843,4845
SpyM3_1593,6047,7115,7817,7445,8557,9931,4553,7308,6710
SpyM3_1594,2716,3157,2740,1996,2537,2775,3243,5721,4028
SpyM3_1595,3302,4080,4346,3967,4441,4996,1905,4019,3038
SpyM3_1596,57128,101705,87209,91380,114701,135985,83790,110888,103163
SpyM3_1597,14886,18252,17533,11873,14852,15786,14340,25363,18498
SpyM3_1598,16134,21685,21460,12461,15612,18011,16138,30414,21841
SpyM3_1599,4117,4675,5174,2795,2934,3003,3782,7300,6857
SpyM3_1600,9322,11884,10634,7504,8567,8339,8610,17316,12592
SpyM3_1601,20492,21774,11774,13331,23560,19363,19197,45893,15931
SpyM3_1602,2999,4194,4298,2401,2652,3205,3222,5521,4734
SpyM3_1603,10930,15114,16358,9759,12024,13633,11840,19982,19687
SpyM3_1604,15,18,20,34,39,44,6,29,15
SpyM3_1605,4512,6950,7061,4869,6093,7402,4045,6122,5882
SpyM3_1606,2691,3749,3185,2821,3737,3840,1878,3834,2678
SpyM3_1607,1091,1348,1426,779,950,1194,1051,1639,1368
SpyM3_1608,596,804,632,449,575,669,506,952,782
SpyM3_1609,9503,13265,12754,8653,9535,10733,9308,15795,13101
SpyM3_1610,4869,6211,6043,4020,4865,5304,4900,8363,7199
SpyM3_1611,4249,5499,5204,4936,5172,5179,3657,6867,5755
SpyM3_1612,6509,7841,7176,7894,7811,7443,5109,9440,7706
SpyM3_1613,3942,4761,4620,3825,3239,3505,3751,6383,5591
SpyM3_1614,4366,5063,5601,7434,7451,8768,3210,5602,4872
SpyM3_1616,9855,12418,12531,8139,9159,9036,8878,16069,13007
SpyM3_1618,7147,8906,9298,5840,6720,7456,6766,11878,9992
SpyM3_1619,2641,2993,2929,2381,3055,3366,2125,3444,2708
SpyM3_1620,29773,38864,37702,32165,41300,43107,24136,43199,37099
SpyM3_1621,45286,78694,63729,66296,70037,90438,69904,100494,92454
SpyM3_1622,7127,11361,8874,10305,10278,13358,10549,13246,14713
SpyM3_1623,1071,1350,1459,1378,1535,1698,809,1445,1194
SpyM3_1624,47315,59388,52571,55752,70575,73941,40180,75223,57216
SpyM3_1625,18435,24546,21741,13803,14703,17907,25395,46381,33099
SpyM3_1626,5551,7281,6824,6007,7222,7129,4832,9017,7585
SpyM3_1627,51891,67558,66784,55496,66991,70103,45684,80463,69849
SpyM3_1628,7504,10067,9616,8389,10081,10041,6620,10897,10406
SpyM3_1630,120376,164957,134322,118937,172453,177113,116240,222831,160064
SpyM3_1631,16088,20575,20417,20421,22580,25122,13428,23793,21288
SpyM3_1632,18082,23890,23991,16847,18761,19317,18373,29442,28668
SpyM3_1633,21252,32523,30920,22950,27227,32969,21226,32636,26338
SpyM3_1635,2829,3621,3525,3827,4618,5113,2521,4335,3481
SpyM3_1636,4762,6320,6318,6311,7859,7940,4026,6674,5776
SpyM3_1637,2758,3520,3216,3408,3932,3678,1916,3477,3305
SpyM3_1638,3130,3830,3501,4110,5118,5170,2087,4547,3674
SpyM3_1639,5960,7463,7518,8805,10134,9084,4568,7232,7531
SpyM3_0220,94,93,112,95,81,89,75,144,139
SpyM3_1640,73,108,107,77,81,108,92,131,111
SpyM3_1641,2090,2912,2802,1928,2548,2883,1975,3679,2977
SpyM3_1642,9743,13643,13765,9424,11619,13250,10404,17611,14913
SpyM3_1643,3457,4388,4648,3307,4031,4343,3246,5665,5121
SpyM3_1644,5617,6872,7042,5517,6571,7042,5349,9192,7667
SpyM3_1645,2438,3237,3255,3742,4160,5126,1702,2655,2437
SpyM3_1646,3131,3809,3793,4954,5106,5978,1934,3471,2806
SpyM3_1647,1249,1399,1347,1715,1757,1829,864,1446,1049
SpyM3_1648,528,626,531,447,363,421,499,706,575
SpyM3_1649,592,670,571,522,404,448,521,892,610
SpyM3_1650,151,185,148,118,109,107,137,228,163
SpyM3_1651,1126,1305,1145,884,715,727,905,1606,1045
SpyM3_1652,4,6,5,3,2,3,3,13,7
SpyM3_1653,4912,5415,4360,3825,3875,3755,3238,6540,4171
SpyM3_1654,8459,10998,9213,6376,6612,6799,6833,13206,9131
SpyM3_1655,1916,3078,2379,1537,1482,1556,1788,2832,2245
SpyM3_1656,5908,10515,7699,4491,4606,5537,5993,9869,7124
SpyM3_1657,4580,8797,6133,3522,4107,4351,5200,7227,5639
SpyM3_1658,3327,7018,5397,2678,3147,3652,4144,5760,3925
SpyM3_1659,2124,3837,2800,1501,1853,2029,2523,3174,2366
SpyM3_1660,4719,7355,7079,3739,4996,5795,5163,7514,5647
SpyM3_1661,910,1424,1289,1072,1306,1485,747,1249,937
SpyM3_1662,316,439,348,376,424,521,250,479,316
SpyM3_1665,288,404,353,234,262,221,234,357,335
SpyM3_1666,2740,4129,3879,2382,2443,1953,2250,3669,3466
SpyM3_1667,17732,24178,24006,16185,19014,20553,14772,25328,22754
SpyM3_1668,4526,6743,7180,4344,5481,5121,4267,7426,5907
SpyM3_1669,5502,6404,6400,5104,5416,5661,4666,8630,7085
SpyM3_1670,3059,4283,4554,2311,2936,3253,2609,4248,3508
SpyM3_1671,4726,7534,6648,4926,6666,7689,4866,8470,6631
SpyM3_1672,9677,12893,11753,9684,11959,13028,9320,15648,12502
SpyM3_1673,1596,2213,2212,1671,1654,2073,1651,2719,2188
SpyM3_1674,10727,13816,13458,11714,12730,13678,10666,18115,15463
SpyM3_1675,6035,7995,7288,6482,7736,8165,5730,10700,7921
SpyM3_1676,27826,36005,33072,30215,35416,39005,26506,48698,37651
SpyM3_1677,20,18,35,23,22,24,10,27,28
SpyM3_1678,41,66,65,32,39,51,39,61,57
SpyM3_1679,7,10,10,6,18,11,6,11,14
SpyM3_1680,38,58,47,26,37,37,59,76,66
SpyM3_1682,97,121,121,87,91,193,90,138,147
SpyM3_1683,99,127,140,113,131,175,90,150,125
SpyM3_1684,12180,15705,15537,12434,15831,17974,10569,17768,14778
SpyM3_1685,3461,3957,3802,3751,4769,4929,2503,4483,3620
SpyM3_1686,4650,6228,5936,6748,8227,9064,3244,5808,4584
SpyM3_1687,26805,34729,34937,37788,49967,53612,18242,34269,27407
SpyM3_1688,24937,33399,30427,24009,29915,30077,22795,42259,33153
SpyM3_1689,9934,13508,11793,9832,12305,12577,9053,16990,14123
SpyM3_1690,3665,4281,4416,3979,4657,4594,3182,5977,5218
SpyM3_1691,8205,11012,10033,7890,9173,10382,7260,14238,11641
SpyM3_1692,7373,10974,9439,6604,6859,7856,5561,12074,8365
SpyM3_1693,4627,5471,5960,3599,4287,4704,3337,6626,4855
SpyM3_1694,3242,5006,4328,5067,4780,5222,3184,5356,5445
SpyM3_1695,1770,2699,2337,3411,3311,3604,1469,2446,2306
SpyM3_1696,3273,5236,4526,3499,4020,4205,3925,6156,5662
SpyM3_1697,1614,2182,2014,1449,1786,1846,1264,2292,1954
SpyM3_1698,12849,19507,18172,27062,36411,41372,1811,2753,2316
SpyM3_1699,94,118,135,208,308,265,9,25,12
SpyM3_1700,5563,8476,6575,5216,7089,7460,5360,10282,7455
SpyM3_1701,20071,25396,21971,18160,22924,23936,17709,32832,25057
SpyM3_1702,1,6,8,19,22,21,0,5,4
SpyM3_1703,14,13,8,29,44,33,3,5,8
SpyM3_1704,2032,2628,2554,2219,2301,2312,2335,3909,3233
SpyM3_1705,1,1,0,3,3,1,2,3,1
SpyM3_1706,4663,6225,6308,4449,4899,5985,4556,7880,6925
SpyM3_1707,939,1279,1226,1240,1154,1316,958,1632,1698
SpyM3_1708,2360,3870,3344,3323,3182,3209,2893,4911,5140
SpyM3_1711,2210,2971,2888,2053,2643,2597,2159,3823,3072
SpyM3_1712,4672,6312,6511,7687,9116,10442,3175,5110,4414
SpyM3_1713,1798,2205,2543,2883,3014,3507,1123,1651,1776
SpyM3_1714,4400,5749,6037,6370,8338,9822,2544,5055,4037
SpyM3_1715,142,203,180,135,179,167,147,273,213
SpyM3_1716,243,278,320,238,223,276,224,356,292
SpyM3_1717,0,4,2,0,3,2,1,6,4
SpyM3_1718,25415,36884,34520,44646,54640,58996,10299,17742,15192
SpyM3_1719,3288,5088,5336,6630,8655,9974,1744,2880,2663
SpyM3_1720,1900,2538,2634,3716,4779,5319,1011,1656,1559
SpyM3_1721,4047,6073,6423,8185,10905,12421,1993,3342,3169
SpyM3_1722,3623,5525,5382,7426,9845,11304,1589,2776,2578
SpyM3_1723,8154,14521,11537,10584,17290,15228,2520,6344,4126
SpyM3_1724,757,974,997,363,436,454,642,1170,1033
SpyM3_1725,259,395,437,120,163,163,258,414,426
SpyM3_1726,75562,125441,111057,159870,177365,213715,14833,19917,16247
SpyM3_1727,818729,1204887,1096066,964183,1133337,1328757,460025,719766,568135
SpyM3_1728,19187,27101,27423,32791,38994,43780,9160,13461,12329
SpyM3_1729,7,19,18,6,21,21,12,19,18
SpyM3_1730,395,479,482,513,699,764,530,936,842
SpyM3_1731,5732,8032,8230,6887,8813,9875,8426,13341,13579
SpyM3_1732,3797,4874,5130,4238,5365,5994,5700,9373,8021
SpyM3_1733,3008,4085,4371,3307,4163,4862,4786,7306,7174
SpyM3_1734,1733,2359,2273,2194,2754,3078,3957,6727,6919
SpyM3_1735,542,721,782,639,852,976,1740,2964,3112
SpyM3_1736,1510,2209,2235,1837,2455,2744,6073,9888,10328
SpyM3_1737,1961,2813,2803,2045,2709,2977,10601,14183,16600
SpyM3_1738,303,462,457,577,760,855,181,308,248
SpyM3_1739,416,597,495,889,1011,1038,103,168,130
SpyM3_1740,34702,47512,45197,13502,18012,23206,85062,124061,103835
SpyM3_1741,95,104,91,77,84,93,30162,57199,38369
SpyM3_1742,401,529,478,313,407,370,151907,286675,202499
SpyM3_1743,2,1,1,0,1,0,252,805,325
SpyM3_1744,1317,1370,1445,642,812,848,2416,4675,3377
SpyM3_1745,12510,15341,11759,6312,7809,7571,14841,25188,15989
SpyM3_1746,1566,2711,2171,1471,2207,2252,1418,3049,2470
SpyM3_1747,865,1218,1162,1189,1884,1994,834,1319,1083
SpyM3_1748,568,737,818,858,1199,1300,550,810,725
SpyM3_1749,1522,2197,2103,2118,3408,3386,1457,2319,1807
SpyM3_1750,49,62,54,32,48,52,89,141,131
SpyM3_1751,4,1,5,3,2,4,8,12,7
SpyM3_1752,9,25,19,9,5,6,22,29,30
SpyM3_1753,2184,3092,2874,1847,2404,2515,2101,4066,3339
SpyM3_1754,1610,2058,1896,1276,1322,1658,1689,2668,2360
SpyM3_1755,1036,1324,1279,995,1362,1549,980,1663,1386
SpyM3_1756,30,38,27,25,34,31,31,42,32
SpyM3_1757,463,607,464,463,561,524,333,716,361
SpyM3_1758,25824,32883,32356,42049,52572,56243,17184,28232,22992
SpyM3_1759,2887,4703,5470,6148,8537,6860,824,1151,1135
SpyM3_1760,2642,3961,3587,2605,3283,3913,2157,3860,2619
SpyM3_1762,11304,15888,16173,13498,15345,18411,10308,16351,13988
SpyM3_1763,2129,3461,3399,2768,3617,4035,2517,3638,3230
SpyM3_1764,56,73,74,64,92,94,47,58,42
SpyM3_1765,70044,95942,95256,48702,73686,80772,70983,101639,100678
SpyM3_1766,8097,12186,10818,4938,7497,9884,8552,13368,12079
SpyM3_1767,23810,33721,33215,27567,35017,38727,19511,33726,28374
SpyM3_1768,4353,7028,6311,4769,6405,6970,3786,6986,5494
SpyM3_1769,4396,5997,5645,3553,3387,3496,3644,8340,6647
SpyM3_1770,13584,15366,14756,16817,16345,18204,11633,21890,15139
SpyM3_1771,17394,18269,18326,21220,20801,21915,13393,29072,20514
SpyM3_1772,253,409,331,379,413,428,303,570,430
SpyM3_1773,307,385,355,471,598,534,363,651,567
SpyM3_1774,86,104,105,105,106,93,95,141,109
SpyM3_1775,34,59,46,35,68,48,37,72,69
SpyM3_1776,92,121,123,110,129,105,108,176,129
SpyM3_1777,33,34,35,33,55,62,34,59,48
SpyM3_1778,85,108,110,93,145,117,114,182,137
SpyM3_1779,113,129,113,147,155,157,147,220,167
SpyM3_1780,1252,1691,1621,904,1157,1285,1471,2216,2018
SpyM3_1781,421,611,533,509,525,646,464,740,651
SpyM3_1783,44542,52996,52662,43028,54621,51831,43307,73278,55413
SpyM3_1784,43854,59729,56792,91330,114453,123500,20681,35075,29361
SpyM3_1785,3130,3725,4108,2575,2436,2284,4184,7481,7267
SpyM3_1786,10452,14675,15121,8958,9947,8680,15303,24964,25618
SpyM3_1787,1110,1552,1651,1273,1454,1906,905,1598,1403
SpyM3_1788,55,66,65,38,47,55,37,88,77
SpyM3_1789,900,1041,1187,759,850,980,1033,1583,1620
SpyM3_1790,2740,3614,4548,2102,2622,3011,2910,4374,4161
SpyM3_1791,4331,6749,5359,3014,5543,5852,4557,7569,6246
SpyM3_1792,3152,4847,4199,2164,3893,4141,3442,5214,4631
SpyM3_1793,5966,10195,8389,4257,8127,9280,7080,11462,9513
SpyM3_1794,16967,29367,22342,12920,24192,27530,22561,32181,26936
SpyM3_1795,8558,10590,10148,7975,8574,9564,7799,13271,11212
SpyM3_1796,4769,7941,7184,4277,5266,6105,4089,9093,6202
SpyM3_1797,18236,24763,24522,14921,17008,21916,17780,29155,25150
SpyM3_1798,3886,5358,4704,3345,4270,4279,3555,5966,3845
SpyM3_1799,9326,14662,15214,51837,61461,71518,873,1444,1022
SpyM3_1800,12669,15902,15509,12291,14579,14918,8994,17952,13336
SpyM3_1801,3554,4747,4335,3669,4397,4948,2364,4340,3433
SpyM3_1802,2253,2850,2583,2780,3431,4130,1634,3145,2453
SpyM3_1803,3105,4175,4055,3824,4795,5561,2473,4070,3312
SpyM3_1804,5236,6801,5967,6928,8163,9060,3656,7189,5138
SpyM3_1805,12018,16099,15992,15391,19445,21878,9208,15388,12730
SpyM3_1806,8709,12292,10158,9093,12595,14470,7792,13826,9872
SpyM3_1807,419,693,567,485,665,744,425,713,503
SpyM3_1808,1812,3027,2546,1908,2687,3221,1893,3101,2242
SpyM3_1809,22364,30670,28597,22649,30120,32591,22733,39523,31498
SpyM3_1810,463,654,645,710,1122,1148,269,413,329
SpyM3_1811,6525,9095,8220,6033,7337,7630,6242,10721,9016
SpyM3_1812,12073,16969,16644,11673,12997,14410,12778,20522,18926
SpyM3_1813,8776,11287,10486,8295,9887,10177,8200,14084,12431
SpyM3_1814,16022,20658,19250,16577,18846,20118,15696,28317,23465
SpyM3_1815,9289,13075,11842,7710,9714,10756,9659,16699,13423
SpyM3_1818,5260,6302,6200,4739,4731,5326,4792,9488,6875
SpyM3_1819,3549,4290,5116,3150,3246,3605,3711,5912,5398
SpyM3_1820,11859,15078,15736,10506,11110,11803,12210,21503,15894
SpyM3_1821,9074,11621,11965,8135,9004,9884,9329,16099,12765
SpyM3_1822,8984,12319,12817,7890,9918,10363,9565,17454,14536
SpyM3_1823,23,38,42,26,27,26,14,49,32
SpyM3_1824,97,127,123,42,60,61,89,124,81
SpyM3_1825,2768,3690,3540,3860,4706,5196,1988,3668,2778
SpyM3_1826,572,717,748,355,440,464,548,859,719
SpyM3_1827,4,10,7,2,0,4,3,22,8
SpyM3_1828,320,588,488,405,566,787,353,736,492
SpyM3_1829,691,985,775,928,1227,1339,624,1213,918
SpyM3_1830,3201,4842,4300,4151,6090,6661,3333,5198,4330
SpyM3_1831,963,1347,1273,988,1421,1537,866,1374,1158
SpyM3_1832,288,400,360,259,350,435,296,483,366
SpyM3_1834,947,1397,1208,790,954,966,727,1715,892
SpyM3_1835,26682,33973,33268,21225,23985,25485,24086,42142,35633
SpyM3_1837,20866,27637,26714,16758,18336,19760,18958,33784,26345
SpyM3_1838,25542,33692,31926,24186,27117,29655,23705,42539,33861
SpyM3_1839,1584,1855,1839,1755,1769,1650,1356,2495,1879
SpyM3_1840,28941,35369,36360,31286,36984,41769,25555,46486,35566
SpyM3_1841,4625,8188,6680,8590,13020,15789,5246,7517,6672
SpyM3_1842,4518,8285,6103,8017,12156,14572,5253,7427,6366
SpyM3_1843,18332,29924,28564,9159,13158,13324,12684,25208,17759
SpyM3_1844,4941,5793,5874,5687,5344,6279,4492,6906,7193
SpyM3_1845,3960,4866,5160,4616,4628,5105,3723,5743,6143
SpyM3_1846,8675,11523,11419,10203,11306,12474,7779,13655,11640
SpyM3_1847,4110,4701,4956,4839,5202,5737,3640,6684,6217
SpyM3_1848,17398,22512,22065,19442,21145,24665,14782,24668,21676
SpyM3_1849,4753,6149,6027,8315,9149,10471,2429,4486,3302
SpyM3_1850,4462,6238,6583,8044,8887,10049,2573,4124,3553
SpyM3_1851,26988,46578,38366,54965,61646,69121,2213,2737,2266
SpyM3_1852,33185,57232,51883,65017,76533,87592,2769,3401,2820
SpyM3_1853,35905,63845,56422,69674,84479,97634,3234,4179,3706
SpyM3_1854,1866,2709,2721,2110,2351,2620,1818,3161,2753
SpyM3_1855,3110,3875,3703,3166,3882,4018,2599,5027,3738
SpyM3_1856,7903,10547,9970,8393,8861,9202,5459,9619,8433
SpyM3_1857,33352,38850,37555,18653,23442,23433,36290,65954,56674
SpyM3_1858,7060,8770,8692,3791,4238,4562,7116,12855,11047
SpyM3_1859,4007,4990,5199,2303,2766,2918,4929,9157,7985
SpyM3_1860,22827,26610,27013,22469,26867,27810,22692,36077,32623
SpyM3_1861,6339,8001,9142,8773,10106,11013,6362,9450,8714
SpyM3_1862,881,1156,1214,1335,1444,1724,777,1504,1295
SpyM3_1864,41462,57373,53611,32643,39862,47296,64143,107405,83230
SpyM3_1865,7423,9770,10075,6751,8504,9609,10863,14896,13558
