,WT-W Total Reads,WT-X Total Reads,WT-Y Total Reads,dLiaF-W Total Reads,dLiaF-X Total Reads,dLiaF-Y Total Reads,dLiaR-W Total Reads,dLiaR-Y Total Reads,dLiaR-Z Total Reads
SpyM3_1206,9215,11762,10691,6104,6929,7092,9053,16717,12316
SpyM3_1207,5721,7152,6323,3845,4272,4689,5447,10628,8210
SpyM3_1208,1238,1990,1367,760,860,1196,754,1265,851
SpyM3_1209,81,135,118,43,46,54,56,90,58
SpyM3_1210,108,174,132,51,60,83,71,148,110
SpyM3_1211,337,466,401,152,187,241,203,324,226
SpyM3_1212,66,98,62,31,54,31,37,64,26
SpyM3_1213,381,617,447,180,201,209,225,397,246
SpyM3_1214,214,330,244,85,97,122,117,210,125
SpyM3_1215,300,513,326,116,163,163,164,344,188
SpyM3_1216,120,174,143,45,52,66,75,147,67
SpyM3_1217,633,1000,715,279,294,299,342,630,380
SpyM3_1218,97,174,112,50,54,51,64,117,61
SpyM3_1219,133,205,143,63,45,59,73,102,82
SpyM3_1220,128,222,166,60,66,78,79,134,64
SpyM3_1221,126,170,118,47,54,61,56,109,63
SpyM3_1222,74,99,77,28,41,36,37,66,45
SpyM3_1223,42,65,48,23,15,29,32,56,30
SpyM3_1224,112,202,141,59,43,47,64,114,74
SpyM3_1225,319,410,306,139,121,137,161,274,176
SpyM3_1226,220,393,295,91,102,133,136,228,178
SpyM3_1227,35,51,38,12,14,23,23,41,29
SpyM3_1228,152,193,174,120,99,120,140,233,225
SpyM3_1229,1591,2186,1997,1016,1122,1334,2148,2418,2729
SpyM3_1230,182,268,197,94,88,103,127,193,144
SpyM3_1231,144,222,170,67,69,64,96,139,105
SpyM3_1232,33,53,34,16,19,25,21,41,23
SpyM3_1233,44,86,60,38,44,63,41,78,51
SpyM3_1234,15,16,11,6,5,6,6,15,4
SpyM3_1235,36,88,63,30,27,40,31,67,48
SpyM3_1236,45,71,83,15,18,26,28,52,40
SpyM3_1237,66,103,66,36,48,49,27,100,40
SpyM3_1238,69,134,93,48,54,50,59,94,57
SpyM3_1239,316,531,334,193,318,366,174,284,172
SpyM3_1240,169,239,186,175,226,238,128,202,146
SpyM3_1241,160,253,211,119,151,177,129,233,144
SpyM3_1242,43,63,79,30,37,47,37,47,45
SpyM3_1243,154,200,158,90,120,124,106,188,118
SpyM3_1244,19,55,26,26,35,28,34,31,33
SpyM3_1245,96,150,128,81,91,103,75,109,87
SpyM3_1246,108,162,135,69,87,126,92,147,112
SpyM3_1247,89,151,146,76,89,106,73,133,121
SpyM3_1248,135,230,193,109,154,141,131,167,145
SpyM3_1249,59,79,88,47,54,69,43,73,54
SpyM3_1250,147,256,178,155,183,158,122,202,160
SpyM3_1251,76,108,100,61,84,89,76,88,66
SpyM3_1252,20,48,32,16,29,26,19,35,37
SpyM3_1253,38,70,41,38,42,49,25,41,38
SpyM3_1254,77,126,92,75,86,95,63,110,74
SpyM3_1255,27,36,32,24,31,39,23,42,36
SpyM3_1256,11,16,16,13,20,27,10,28,14
SpyM3_1257,64,87,75,60,73,77,71,71,70
SpyM3_1258,87,150,138,95,131,147,95,160,127
SpyM3_1259,475,788,675,577,580,566,465,947,785
SpyM3_1260,3,10,7,9,3,3,6,3,6
SpyM3_1261,196,294,246,197,237,293,171,310,194
SpyM3_1262,49,89,75,57,54,79,44,55,43
SpyM3_1263,3012,4726,4693,3591,4217,5674,3829,5349,4955
SpyM3_1264,3859,7242,6710,4555,6010,8098,5271,7576,7608
SpyM3_1265,1664,2321,2250,1938,2319,3038,2006,2911,2803
SpyM3_1266,12011,15719,16516,20177,24603,30425,9178,12111,11614
SpyM3_1267,6548,7703,8153,11256,13264,14328,4324,6399,6340
SpyM3_1268,1915,2404,2698,3304,3851,4995,1463,2468,2284
SpyM3_1269,4011,5378,6071,6925,8224,10414,2897,4385,4004
SpyM3_1270,5532,6648,7326,7194,8896,10398,5076,8232,7323
SpyM3_1271,5024,6304,6442,6012,7756,8774,4541,7609,6409
SpyM3_1272,3445,4382,4148,5811,7864,8602,2230,3866,3138
SpyM3_1273,24156,29777,29529,24097,28899,31316,23072,38771,32607
SpyM3_1274,1665,1926,2183,1651,1931,1871,1482,2357,2054
SpyM3_1275,134,175,157,139,172,162,111,244,184
SpyM3_1276,210,376,368,250,247,303,159,782,316
