,WT,T287A,D53E
HSISS4_00785,14886,12880,15175
HSISS4_00786,22108,20342,24120
HSISS4_00787,8998,6565,11316
HSISS4_00788,21193,15110,15812
HSISS4_00789,159096,176257,102837
HSISS4_00790,334608,241399,201376
HSISS4_00791,473211,638234,270383
HSISS4_00792,2822,2952,12052
HSISS4_00793,8934,9903,8984
HSISS4_00794,8772,8618,9239
HSISS4_00795,9776,10940,11629
HSISS4_00796,40501,38182,24389
HSISS4_00797,6851,6478,4393
HSISS4_00798,12034,10686,25220
HSISS4_00799,4648,5358,11192
HSISS4_00800,16342,17542,16485
HSISS4_00801,8886,8056,7678
HSISS4_00802,1025,874,734
HSISS4_00803,4747,2795,2864
HSISS4_00804,203613,225823,269993
HSISS4_00805,5642,4166,6673
HSISS4_00806,6587,7665,20491
HSISS4_00807,3948,3063,3185
HSISS4_00808,3868,2650,2724
HSISS4_00809,16041,13424,11915
HSISS4_00810,873,577,1061
HSISS4_00811,7574,5106,5968
HSISS4_00812,32972,29394,30215
HSISS4_00813,3993,1834,3694
HSISS4_00814,1404,586,1238
HSISS4_00815,3489,1855,2506
HSISS4_00816,2400,1272,1793
HSISS4_00817,2997,960,1463
HSISS4_00818,3450,1708,1943
HSISS4_00819,1534,644,730
HSISS4_00820,989,449,558
HSISS4_00821,2872,1528,2402
HSISS4_00822,5403,3442,6067
HSISS4_00823,687,94,389
HSISS4_00824,32781,41374,50512
HSISS4_00825,8125,8331,11380
HSISS4_00826,7694,8956,12878
HSISS4_00827,7419,8184,4427
HSISS4_00828,6969,8946,3436
HSISS4_00829,12527,11417,6000
HSISS4_00830,12543,17416,6157
HSISS4_00831,1353,462,319
HSISS4_00832,6468,5587,4254
HSISS4_00833,5175,4748,2962
HSISS4_00834,6693,4636,3519
HSISS4_00835,7812,9505,4437
HSISS4_00836,10839,11337,9653
HSISS4_00837,21354,16029,15355
HSISS4_00838,11571,10210,9662
HSISS4_00839,2427,1021,1436
HSISS4_00840,10055,7172,5719
HSISS4_00841,4894,3985,3071
HSISS4_00842,3957,3869,4140
HSISS4_00843,2317,1578,2871
HSISS4_00844,34743,47886,42016
HSISS4_00845,2383,2042,3782
HSISS4_00846,2501,1612,5323
HSISS4_00847,4067,4099,5763
HSISS4_00848,14580,14826,12300
HSISS4_00849,9964,7073,8986
HSISS4_00850,18013,14339,21531
HSISS4_00851,2912,2400,4827
HSISS4_00852,6281,3657,7284
HSISS4_00853,9830,5741,11098
HSISS4_00854,15047,6047,9599
HSISS4_00855,3222,2024,991
HSISS4_00856,15081,14545,15040
HSISS4_00857,13330,12572,7059
HSISS4_00858,6349,7279,4155
HSISS4_00859,34574,27421,46371
HSISS4_00860,32181,31663,35868
HSISS4_00861,148822,120019,124273
HSISS4_00862,82567,56984,77500
HSISS4_00863,111714,82421,123939
HSISS4_00864,4948,2330,2255
HSISS4_00865,2704,1949,1697
HSISS4_00866,6620,2951,9493
HSISS4_00867,20950,17452,20114
HSISS4_00868,2750,1636,3064
HSISS4_00869,106487,101012,68373
HSISS4_00870,26387,24599,21362
HSISS4_00871,13516,14579,10923
HSISS4_00872,26613,23027,16507
HSISS4_00873,8810,5066,5063
HSISS4_00874,17922,17622,10804
HSISS4_00875,17349,14105,8007
HSISS4_00876,10821,9377,5927
HSISS4_00877,17169,15998,13234
HSISS4_00878,24107,15930,9872
HSISS4_00879,16733,12190,6535
HSISS4_00880,16679,9567,5993
HSISS4_00881,21229,16483,6864
HSISS4_00882,35987,22135,14678
HSISS4_00883,24321,16183,6589
HSISS4_00884,24538,20292,6726
HSISS4_00885,8110,2261,2324
HSISS4_00886,9157,2307,2268
HSISS4_00887,6413,1254,1077
HSISS4_00888,2882,1001,806
HSISS4_00889,27067,7966,7823
HSISS4_00890,27448,24436,8786
HSISS4_00891,28126,14618,10845
HSISS4_00892,19116,15690,8637
HSISS4_00893,3445,2931,1930
HSISS4_00894,1850,1193,849
HSISS4_00895,1646,1337,973
HSISS4_00896,1817,1426,1305
HSISS4_00897,1820,1703,1642
HSISS4_00898,4434,1961,2349
HSISS4_00899,1574,755,806
HSISS4_00900,2323,1962,2367
HSISS4_00901,6785,5576,4874
HSISS4_00902,2230,1561,1518
HSISS4_00903,3409,2800,2562
HSISS4_00904,13860,12404,9723
HSISS4_00905,4556,2289,4197
HSISS4_00906,4660,4722,2405
HSISS4_00907,10554,9581,4954
HSISS4_00908,16611,7975,9287
HSISS4_00909,8692,3499,11940
HSISS4_00910,6452,2824,7691
HSISS4_00911,31667,53190,56600
HSISS4_00912,36783,67323,53135
HSISS4_00913,44950,83193,62856
HSISS4_00914,69284,139926,121665
HSISS4_00915,87340,62066,27386
HSISS4_00916,9696,8723,3842
HSISS4_00917,8389,11993,20264
HSISS4_00918,12036,5783,4518
HSISS4_00919,10969,6300,2128
HSISS4_00920,16221,9452,3182
HSISS4_00921,7434,2323,1680
HSISS4_00922,2377,1230,701
HSISS4_00923,3510,2966,4331
HSISS4_00924,1930,1081,1670
HSISS4_00925,3200,1716,2147
HSISS4_00926,13571,11119,24837
HSISS4_00927,3512,1723,4016
HSISS4_00928,27962,25812,16847
HSISS4_00929,52256,37545,33793
HSISS4_00930,1669,441,4379
HSISS4_00931,31394,38734,88178
HSISS4_00932,1062,355,628
HSISS4_00933,62240,46456,39750
HSISS4_00934,11962,12437,6941
HSISS4_00935,9535,9208,3896
HSISS4_00936,6936,6183,2396
HSISS4_00937,9423,7746,3423
HSISS4_00938,11070,10387,4286
HSISS4_00939,9645,10790,4844
HSISS4_00940,14000,14096,2730
HSISS4_00941,20110,15121,5679
HSISS4_00942,4864,5680,1310
HSISS4_00943,31935,20564,21123
HSISS4_00944,10019,8584,5451
HSISS4_00945,9158,10098,5714
HSISS4_00946,7121,5204,3606
HSISS4_00947,1193,623,682
HSISS4_00948,8305,8946,14437
HSISS4_00949,38791,33410,92774
HSISS4_00950,1938,542,2631
HSISS4_00951,12643,6482,11789
HSISS4_00952,20053,19244,14260
HSISS4_00953,9397,6644,1811
HSISS4_00954,3291,2300,6155
HSISS4_00955,2698,1255,4546
HSISS4_00956,23933,16149,11596
HSISS4_00957,1298,1065,1135
HSISS4_00958,8603,9999,21211
HSISS4_00959,3652,4172,11007
HSISS4_00960,19746,16372,27033
HSISS4_00961,6559,8377,8911
HSISS4_00962,10625,2637,4878
HSISS4_00963,9089,2301,3516
HSISS4_00964,11610,3825,4083
HSISS4_00965,7873,4400,2461
HSISS4_00966,5950,3044,1799
HSISS4_00967,2915,684,786
HSISS4_00968,24312,14919,6256
HSISS4_00969,9146,6121,2060
HSISS4_00970,898,1574,216
HSISS4_00971,379,203,404
HSISS4_00972,407,160,225
HSISS4_00973,516,206,365
HSISS4_00974,9495,11160,13810
HSISS4_00975,9047,9781,10054
HSISS4_00976,4220,5136,12959
HSISS4_00977,14468,9245,7383
HSISS4_00978,23608,28822,24814
HSISS4_00979,3906,2116,3663
HSISS4_00980,2077,360,2084
HSISS4_00981,852,200,280
HSISS4_00982,2571,1015,740
HSISS4_00983,5163,3602,4755
HSISS4_00984,6930,4113,4262
HSISS4_00985,2038,1049,1366
HSISS4_00986,13531,28813,58075
HSISS4_00987,31857,65566,125388
HSISS4_00988,282,46,45
HSISS4_00989,16659,18570,13419
HSISS4_00990,2770,2254,1555
HSISS4_00991,2111,2304,1179
HSISS4_00992,932,502,2102
HSISS4_00993,5754,6763,12499
HSISS4_00994,2492,1542,1120
HSISS4_00995,2365,2716,1782
HSISS4_00996,1928,1445,1502
HSISS4_00997,1497,748,910
HSISS4_00998,6371,4663,10109
HSISS4_00999,4476,2425,4481
HSISS4_01000,907,467,401
HSISS4_01001,1493,1211,1799
HSISS4_01002,1190,1272,1279
HSISS4_01003,1307,842,844
HSISS4_01004,1786,1379,4652
HSISS4_01005,2481,1765,1808
HSISS4_01006,74586,84797,49157
HSISS4_01007,57578,68028,40564
HSISS4_01008,52738,49494,31740
HSISS4_01009,48531,46907,29469
HSISS4_01010,829,622,2471
HSISS4_01011,702,306,2479
HSISS4_01012,917,383,4340
HSISS4_01013,511,193,144
HSISS4_01014,2385,835,875
HSISS4_01015,241,172,207
HSISS4_01016,4869,4103,6233
HSISS4_01017,9763,9626,11610
HSISS4_01018,3917,4096,4454
HSISS4_01019,5154,4997,4971
HSISS4_01020,3663,3385,2939
HSISS4_01021,4651,4585,3732
HSISS4_01022,5855,5512,3549
HSISS4_01023,4926,4750,1943
HSISS4_01024,25805,24598,49037
HSISS4_01025,64325,76541,85721
HSISS4_01026,10157,15476,25532
HSISS4_01027,3895,1695,2460
HSISS4_01028,17483,19058,18930
HSISS4_01029,1100,238,2446
HSISS4_01030,49317,51243,45771
HSISS4_01031,3609,3012,4039
HSISS4_01032,3602,3232,3788
HSISS4_01033,2277,1638,2991
HSISS4_01034,15009,16805,25554
HSISS4_01035,2440,1222,1513
HSISS4_01036,1580,853,968
HSISS4_01037,328,121,50
HSISS4_01038,662,227,98
HSISS4_01039,625,151,244
HSISS4_01040,31578,32932,62657
HSISS4_01041,959,395,512
HSISS4_01042,9307,8321,10862
HSISS4_01043,7075,6877,8342
HSISS4_01044,7304,6985,8143
HSISS4_01045,2919,2983,9155
HSISS4_01046,2936,1183,4468
HSISS4_01047,1044,186,878
HSISS4_01048,43929,47691,43746
HSISS4_01049,9824,5277,8544
HSISS4_01050,2941,2614,2357
HSISS4_01051,101579,100804,66590
HSISS4_01052,1426,634,7245
HSISS4_01053,39743,33630,72223
HSISS4_01054,1923,357,2716
HSISS4_01055,9390,4961,14208
HSISS4_01056,13961,14455,7096
HSISS4_01057,10441,11273,4053
HSISS4_01058,5438,4225,1715
HSISS4_01059,10121,7875,7760
HSISS4_01060,28028,24885,52779
HSISS4_01061,9190,6132,7083
HSISS4_01062,5869,5134,11100
HSISS4_01063,17769,8593,12267
HSISS4_01064,5022,1862,11469
HSISS4_01065,5943,954,10893
HSISS4_01066,12171,7415,117396
HSISS4_01067,3285,2515,9110
HSISS4_01068,19922,17735,13170
HSISS4_01069,10367,6216,5843
HSISS4_01070,10658,10582,6220
HSISS4_01071,9531,7050,5497
HSISS4_01072,8173,6386,5363
HSISS4_01073,6221,5481,7907
HSISS4_01074,7159,1530,9096
HSISS4_01075,11258,12611,10662
HSISS4_01076,6558,5462,6148
HSISS4_01077,10413,9026,11307
HSISS4_01078,10380,6416,21060
HSISS4_01079,20822,18757,24351
HSISS4_01080,12672,9074,9826
HSISS4_01081,39617,32681,23870
HSISS4_01082,26563,22553,14017
HSISS4_01083,10173,8573,5964
HSISS4_01084,16294,11926,9212
HSISS4_01085,5625,4154,6577
HSISS4_01086,28947,27640,19465
HSISS4_01087,33558,27674,17629
HSISS4_01088,42705,40027,22190
HSISS4_01089,115863,90722,74726
HSISS4_01090,8800,5659,6829
HSISS4_01091,11814,10613,10518
HSISS4_01092,8227,6401,6219
HSISS4_01093,2167,1280,1790
HSISS4_01094,9246,4775,5065
HSISS4_01095,106440,68868,116932
HSISS4_01096,13185,10249,56438
HSISS4_01097,6245,4023,26640
HSISS4_01098,61425,58371,57876
HSISS4_01099,12368,9290,8667
HSISS4_01100,12954,11232,8564
HSISS4_01101,18466,12607,15077
HSISS4_01102,81077,85786,42909
HSISS4_01103,631,192,204
HSISS4_01104,1507,441,366
HSISS4_01105,1407,253,1426
HSISS4_01106,7590,4760,6101
HSISS4_01107,19117,11926,26145
HSISS4_01108,41657,26795,32899
HSISS4_01109,5442,3022,3774
HSISS4_01110,23002,13342,15527
HSISS4_01111,26578,22531,24416
HSISS4_01112,176,62,10
HSISS4_01113,1328,520,1170
HSISS4_01114,903,276,467
HSISS4_01115,637,198,405
HSISS4_01116,10105,7213,6890
HSISS4_01117,10275,6752,5001
HSISS4_01118,9789,9159,5172
HSISS4_01119,15067,8105,6729
HSISS4_01120,19568,17645,7717
HSISS4_01121,7162,5473,2683
HSISS4_01122,10212,9633,3933
HSISS4_01123,15106,16018,6809
HSISS4_01124,6690,5537,3759
HSISS4_01125,4634,3161,8030
HSISS4_01126,11621,11876,25803
HSISS4_01127,7149,6711,6176
HSISS4_01128,9424,9480,8807
HSISS4_01129,243287,249430,317607
HSISS4_01130,5422,2230,10439
HSISS4_01131,12989,11347,67303
HSISS4_01132,1719,1756,989
HSISS4_01133,13434,14829,11867
HSISS4_01134,38735,47079,21910
HSISS4_01135,250234,217284,146088
HSISS4_01136,108659,160675,249414
HSISS4_01137,18454,17390,10309
HSISS4_01138,1490,611,659
HSISS4_01139,3257,1968,1620
HSISS4_01140,1566,623,673
HSISS4_01141,6570,4477,7348
HSISS4_01142,2522,1069,4350
HSISS4_01143,7418,6198,22654
HSISS4_01144,2218,706,930
HSISS4_01145,75519,64069,20409
HSISS4_01146,11805,9079,2285
HSISS4_01147,33443,27740,4895
HSISS4_01148,2954,640,1655
HSISS4_01149,6500,2967,5884
HSISS4_01150,44557,44958,24431
HSISS4_01151,6748,6223,4214
HSISS4_01152,28031,28614,22967
HSISS4_01153,31630,33514,35462
HSISS4_01154,14210,11468,18860
HSISS4_01155,16608,15107,10953
HSISS4_01156,4602,4597,2351
HSISS4_01157,87279,83647,45454
HSISS4_01158,1997,480,3160
HSISS4_01159,8558,7929,9156
HSISS4_01160,3823,3184,8431
HSISS4_01161,1876,1487,1664
HSISS4_01162,2456,2288,3121
HSISS4_01163,13112,7933,12586
HSISS4_01164,3640,3053,1439
HSISS4_01165,4226,2265,4504
HSISS4_01166,1465,407,1737
HSISS4_01167,769,194,282
HSISS4_01168,682,160,214
HSISS4_01169,1650,409,2350
HSISS4_01170,558,161,79
HSISS4_01171,187,71,88
HSISS4_01172,21370,7587,28298
HSISS4_01173,2198,1787,2830
HSISS4_01174,3358,1974,4300
HSISS4_01175,3178,1764,4031
HSISS4_01176,4491,3981,7053
HSISS4_01177,4298,3692,3359
HSISS4_01178,6511,4577,4530
HSISS4_01179,716,160,75
HSISS4_01180,646,146,99
HSISS4_01181,69,20,21
HSISS4_01182,108,28,25
HSISS4_01183,1560,899,6520
HSISS4_01184,3649,4049,3737
HSISS4_01185,3607,1871,3453
HSISS4_01186,4887,4900,4338
HSISS4_01187,2514,1871,1635
HSISS4_01188,7944,6592,12973
HSISS4_01189,2632,2753,3885
HSISS4_01190,2913,995,1413
HSISS4_01191,769,424,485
HSISS4_01192,3382,1274,2366
HSISS4_01193,2162,1367,1904
HSISS4_01194,1549,1006,91
HSISS4_01195,2049,2014,6741
HSISS4_01196,5135,4984,13524
HSISS4_01197,1065,275,663
HSISS4_01198,1250,275,237
HSISS4_01199,1316,591,3070
HSISS4_01200,2791,2245,2651
HSISS4_01201,2496,451,11790
HSISS4_01202,6959,9823,28433
HSISS4_01203,5190,6566,19350
HSISS4_01204,12992,14640,17481
HSISS4_01205,5569,3705,5017
HSISS4_01206,6742,3097,10671
HSISS4_01207,10110,6244,19665
HSISS4_01208,39284,67567,141305
HSISS4_01209,3542,3602,10943
HSISS4_01210,1962,2118,4297
HSISS4_01211,12439,13541,5773
HSISS4_01212,23925,18034,20616
HSISS4_01213,2399,1783,3358
HSISS4_01214,3128,2108,5916
HSISS4_01215,5407,3459,7296
HSISS4_01216,2583,1866,3234
HSISS4_01217,1908,1314,1893
HSISS4_01218,2542,2233,3512
HSISS4_01219,1395,549,3721
HSISS4_01220,251,166,828
HSISS4_01221,518,151,1565
HSISS4_01222,3037,2818,13549
HSISS4_01223,1184,526,1956
HSISS4_01224,1974,1858,4876
HSISS4_01225,2905,2225,5040
HSISS4_01226,4114,2751,5964
HSISS4_01227,1438,855,1742
HSISS4_01228,1285,673,1822
HSISS4_01229,9337,1610,7979
HSISS4_01230,1836,1088,1871
HSISS4_01231,1456,662,1187
HSISS4_01232,6416,6681,27769
HSISS4_01233,1105,399,1382
HSISS4_01234,1830,771,1256
HSISS4_01235,18776,21611,75817
HSISS4_01236,1332,554,898
HSISS4_01237,8125,5031,9231
HSISS4_01238,3637,1952,3001
HSISS4_01239,1900,602,1117
HSISS4_01240,2286,886,1475
HSISS4_01241,3077,1363,2863
HSISS4_01242,2062,1177,2572
HSISS4_01243,6485,6044,13518
HSISS4_01244,4020,3298,5948
HSISS4_01245,937,311,550
HSISS4_01246,1318,539,1162
HSISS4_01247,4352,3248,4017
HSISS4_01248,1672,1482,1443
HSISS4_01249,1899,569,818
HSISS4_01250,614,191,195
HSISS4_01251,1494,606,530
HSISS4_01252,11205,9400,7156
HSISS4_01253,30375,56458,44500
HSISS4_01254,3108,2849,4944
HSISS4_01255,2822,3179,3554
HSISS4_01256,793,1014,969
HSISS4_01257,1469,1262,1447
HSISS4_01258,2406,1876,2850
HSISS4_01259,5968,5077,8695
HSISS4_01260,3212,1246,3989
HSISS4_01261,797,203,1122
HSISS4_01262,884,230,1068
HSISS4_01263,525,234,707
HSISS4_01264,1544,409,1315
HSISS4_01265,7032,2104,25674
HSISS4_01266,13269,15494,12609
HSISS4_01267,688,213,382
HSISS4_01268,3211,4756,3882
HSISS4_01269,6267,3796,4320
HSISS4_01270,1298,538,1120
HSISS4_01271,886,273,446
HSISS4_01272,569,136,355
HSISS4_01273,6043,5116,4497
HSISS4_01274,8305,3890,8971
HSISS4_01275,3128,1105,1777
HSISS4_01276,4150,1280,1916
HSISS4_01277,3891,1479,2972
HSISS4_01278,2403,742,853
HSISS4_01279,490,190,279
HSISS4_01280,1441,903,1422
HSISS4_01281,1810,996,1612
HSISS4_01282,9793,6846,9086
HSISS4_01283,13017,8111,16887
HSISS4_01284,21858,13374,24428
HSISS4_01285,16684,14313,16146
HSISS4_01286,13315,8420,11884
HSISS4_01287,6754,3738,13661
HSISS4_01288,3828,1698,5433
HSISS4_01289,3687,1006,1738
HSISS4_01290,1857,624,2138
HSISS4_01291,5633,3380,10122
HSISS4_01292,1327,837,1028
HSISS4_01293,3253,621,2275
HSISS4_01294,1322,520,1059
HSISS4_01295,841,267,437
HSISS4_01296,592,171,454
HSISS4_01297,1673,1144,8334
HSISS4_01298,5558,3060,5842
HSISS4_01299,1481,585,1201
HSISS4_01300,1595,1075,3438
HSISS4_01301,1332,274,1213
HSISS4_01302,53414,57706,66219
HSISS4_01303,30056,24365,20321
HSISS4_01304,2312,923,4127
HSISS4_01305,24438,27925,21304
HSISS4_01306,42572,31376,50572
HSISS4_01307,139801,184736,100582
HSISS4_01308,96137,115901,49199
HSISS4_01309,617967,587592,276514
HSISS4_01310,22720,27258,20576
HSISS4_01311,5143,1837,3630
HSISS4_01312,3589,3748,2362
HSISS4_01313,24423,30854,14491
HSISS4_01314,26057,31180,14899
HSISS4_01315,34242,42081,18489
HSISS4_01316,5562,6093,3076
HSISS4_01317,23460,31403,13969
HSISS4_01318,26093,33881,18520
HSISS4_01319,28217,36046,37896
HSISS4_01320,32239,40233,35020
HSISS4_01321,11548,8983,6377
HSISS4_01322,4160,3153,2975
HSISS4_01323,115219,161600,100492
HSISS4_01324,97611,110127,51066
HSISS4_01325,502363,420058,448451
HSISS4_01326,2843,1662,2898
HSISS4_01327,3134,826,904
HSISS4_01328,13411,12290,18563
HSISS4_01329,9008,5809,7320
HSISS4_01330,7291,5237,8151
HSISS4_01331,4902,4068,4055
HSISS4_01332,11716,9776,7979
HSISS4_01333,4356,3021,12296
HSISS4_01334,40135,35329,21556
HSISS4_01335,42090,49232,25519
HSISS4_01336,24215,19540,12196
HSISS4_01337,32013,29347,15546
HSISS4_01338,39652,42968,17448
HSISS4_01339,6209,3719,1970
HSISS4_01340,14406,14186,8528
HSISS4_01341,11104,10200,11515
HSISS4_01342,8820,8401,7049
HSISS4_01343,7985,5310,6496
HSISS4_01344,6345,4472,4562
HSISS4_01345,6682,3827,3973
HSISS4_01346,4107,2115,2214
HSISS4_01347,3536,2048,4700
HSISS4_01348,80109,88492,68645
HSISS4_01349,25553,25887,20221
HSISS4_01350,19368,22194,12573
HSISS4_01351,9451,10518,4868
HSISS4_01352,26899,28008,12481
HSISS4_01353,15788,18680,18174
HSISS4_01354,27289,25117,26756
HSISS4_01355,22187,21665,23569
HSISS4_01356,9316,8250,8642
HSISS4_01357,6095,5608,5351
HSISS4_01358,4626,3789,1513
HSISS4_01359,6580,5002,2786
HSISS4_01360,5969,2448,2983
HSISS4_01361,36348,38792,23971
HSISS4_01362,33086,39071,19870
HSISS4_01363,19423,14630,10634
HSISS4_01364,31643,24786,15867
HSISS4_01365,46197,30332,37605
HSISS4_01366,87552,87234,38002
HSISS4_01367,30928,39034,66920
HSISS4_01368,11603,11507,6786
HSISS4_01369,9876,10690,5607
HSISS4_01370,6388,5969,3520
HSISS4_01371,7681,6140,12327
HSISS4_01372,20793,18564,17592
HSISS4_01373,27689,24940,23119
HSISS4_01374,7016,2781,6194
HSISS4_01375,2416,1351,3258
HSISS4_01376,6390,4827,8192
HSISS4_01377,1221,474,365
HSISS4_01378,27082,6258,14829
HSISS4_01379,12889,4615,6359
HSISS4_01380,24551,13040,9931
HSISS4_01381,11966,4224,4288
HSISS4_01382,12747,6688,5219
HSISS4_01383,12371,5599,6254
HSISS4_01384,13176,2468,6853
HSISS4_01385,4306,741,1269
HSISS4_01386,14088,4111,5045
HSISS4_01387,754,316,310
HSISS4_01388,8402,2796,4321
HSISS4_01389,16908,16393,16892
HSISS4_01390,2308,525,2981
HSISS4_01391,15884,15438,18345
HSISS4_01392,8621,9324,8902
HSISS4_01393,21193,24874,20195
HSISS4_01394,32911,33129,27615
HSISS4_01395,61542,92147,122603
HSISS4_01396,151073,88200,227832
HSISS4_01397,32614,22659,25920
HSISS4_01398,5130,3589,5433
HSISS4_01399,11601,11051,5648
HSISS4_01400,22950,13081,3661
HSISS4_01401,3784,2981,5440
HSISS4_01402,14209,12105,16908
HSISS4_01403,3170,1926,3869
HSISS4_01404,7848,2881,10620
HSISS4_01405,56790,8602,48189
HSISS4_01406,27136,5985,27785
HSISS4_01407,11074,11219,7311
HSISS4_01408,44779,45408,23031
HSISS4_01409,5532,2205,5614
HSISS4_01410,5240,5910,7693
HSISS4_01411,6850,7934,11197
HSISS4_01412,3453,4327,8980
HSISS4_01413,1405,1874,6225
HSISS4_01414,896,489,968
HSISS4_01415,2106,1896,4562
HSISS4_01416,1773,997,6391
HSISS4_01417,9787,7666,4839
HSISS4_01418,121890,81722,70293
HSISS4_01419,52330,33622,24197
HSISS4_01420,11322,7468,5832
HSISS4_01421,4751,5030,14118
HSISS4_01422,2199,809,4918
HSISS4_01423,1989,7744,13877
HSISS4_01424,3322,19719,10958
HSISS4_01425,42256,26145,28122
HSISS4_01426,24331,7961,9956
HSISS4_01427,36093,17317,28505
HSISS4_01428,3551,9065,15073
HSISS4_01429,11001,11563,65317
HSISS4_01430,15465,4037,22186
HSISS4_01431,28998,25679,17082
HSISS4_01432,16098,9798,8115
HSISS4_01433,15880,12020,7929
HSISS4_01434,19682,17173,9268
HSISS4_01435,15107,13018,7655
HSISS4_01436,5067,3756,5199
HSISS4_01437,2582,1178,2331
HSISS4_01438,9390,6333,17959
HSISS4_01439,18249,19369,13880
HSISS4_01440,8716,9048,6494
HSISS4_01441,27943,12951,39665
HSISS4_01442,11153,8101,7401
HSISS4_01443,98876,64721,81717
HSISS4_01444,57001,49303,56650
HSISS4_01445,40920,39748,22127
HSISS4_01446,40638,26255,27139
HSISS4_01447,15554,13898,8560
HSISS4_01448,5785,3097,3116
HSISS4_01449,7520,5545,9010
HSISS4_01450,3387,2241,4051
HSISS4_01451,1368,692,2945
HSISS4_01452,522,125,323
HSISS4_01453,10272,14048,28634
HSISS4_01454,1373,1140,2648
HSISS4_01455,14963,7862,20081
HSISS4_01456,5180,2983,4399
HSISS4_01457,6009,4156,2953
HSISS4_01458,13659,10238,18991
HSISS4_01459,21257,19353,25354
HSISS4_01460,2039,967,2296
HSISS4_01461,15030,11570,11954
HSISS4_01462,15374,15204,9520
HSISS4_01463,21149,20576,9561
HSISS4_01464,8404,5768,3989
HSISS4_01465,43958,40030,46116
HSISS4_01466,3173,866,531
HSISS4_01467,713,227,120
HSISS4_01468,16622,16107,19857
HSISS4_01469,30382,25502,18005
HSISS4_01470,2539,1916,1724
HSISS4_01471,1057,834,689
HSISS4_01472,171446,226897,86790
HSISS4_01473,9783,7530,13358
HSISS4_01474,3010,2238,2788
HSISS4_01475,5917,7152,6962
HSISS4_01476,1524,346,2129
HSISS4_01477,1947,583,2046
HSISS4_01478,22069,21721,19138
HSISS4_01479,2286,1269,1819
HSISS4_01480,14802,14343,16856
HSISS4_01481,1575,635,850
HSISS4_01482,1388,724,696
HSISS4_01483,2017,840,1225
HSISS4_01484,3496,1805,2751
HSISS4_01485,2818,1589,2083
HSISS4_01486,2189,851,1138
HSISS4_01487,2498,703,775
HSISS4_01488,21171,21984,20787
HSISS4_01489,2011,1863,3875
HSISS4_01490,15182,15373,23869
HSISS4_01491,1671,1719,2644
HSISS4_01492,2989,877,1925
HSISS4_01493,334,126,781
HSISS4_01494,14190,14942,4638
HSISS4_01495,17505,18641,4675
HSISS4_01496,6893,6822,1753
HSISS4_01497,12671,12230,3061
HSISS4_01498,17183,18347,3720
HSISS4_01499,14667,13330,2697
HSISS4_01500,33615,30764,5768
HSISS4_01501,1422,1347,3545
HSISS4_01502,48280,47344,59746
HSISS4_01503,1819,1154,1811
HSISS4_01504,1905,1061,2260
HSISS4_01505,9418,8586,13600
HSISS4_01506,3891,3549,10298
HSISS4_01507,186,44,2
HSISS4_01508,16457,17362,10577
HSISS4_01509,48180,41952,28600
HSISS4_01510,4252,2262,2906
HSISS4_01511,3293,1734,1299
HSISS4_01512,14057,12566,16975
HSISS4_01513,3273,2562,4870
HSISS4_01514,98738,117750,65244
HSISS4_01515,5673,4594,4632
HSISS4_01516,25658,24445,21078
HSISS4_01517,23245,21579,20205
HSISS4_01518,12029,8850,11208
HSISS4_01519,9868,10827,9820
HSISS4_01520,2560,1879,2972
HSISS4_01521,4018,3288,4433
HSISS4_01522,10495,5522,9321
HSISS4_01523,98344,57254,158289
HSISS4_01524,1857,1496,3745
HSISS4_01525,1278,427,2202
HSISS4_01526,12718,11635,9069
HSISS4_01527,8318,6567,4942
HSISS4_01528,14149,14894,12023
HSISS4_01529,13682,14581,11290
HSISS4_01530,18054,18993,11490
HSISS4_01531,9927,6570,5235
HSISS4_01532,32102,30660,17921
HSISS4_01533,10321,12724,8156
HSISS4_01534,4773,3816,6975
HSISS4_01535,20718,22280,20013
HSISS4_01536,212,47,4
HSISS4_01537,1399,563,1441
HSISS4_01538,1730,539,528
HSISS4_01539,56284,65607,30674
HSISS4_01540,46336,53792,20798
HSISS4_01541,8142,8913,3749
HSISS4_01542,28462,33732,27511
HSISS4_01543,26554,27142,23008
HSISS4_01544,15741,17114,13812
HSISS4_01545,16695,13968,16003
HSISS4_01546,5539,3646,1868
HSISS4_01547,23863,24647,15859
HSISS4_01548,48508,44260,58276
HSISS4_01549,50623,41377,57131
HSISS4_01550,19863,15620,18837
HSISS4_01551,24223,19924,32311
HSISS4_01552,26158,36243,59055
HSISS4_01553,36098,53859,32953
HSISS4_01554,36756,31685,35011
HSISS4_01555,2020,1176,1116
HSISS4_01556,1557,626,739
HSISS4_01557,12571,8850,11214
HSISS4_01558,1836,978,1755
HSISS4_01559,3691,3314,3442
HSISS4_01560,6154,5339,5866
HSISS4_01561,14879,12164,14305
HSISS4_01562,5596,4800,4343
HSISS4_01563,5167,4869,4378
HSISS4_01564,26114,29768,87479
HSISS4_01565,2520,1617,3621
HSISS4_01566,15610,12962,22077
HSISS4_01567,19222,16222,27536
HSISS4_01568,9927,9971,28351
HSISS4_01569,4749,3388,4102
HSISS4_01570,2452,1386,1496
HSISS4_01571,168654,243152,141635
HSISS4_01572,10788,5637,15529
HSISS4_01573,939,483,1291
HSISS4_01574,3980,1197,2177
HSISS4_01575,3306,1367,1634
HSISS4_01576,4599,2681,3113
