GeneID,X50268,X50269,X50270,X50283,X50284,X50285,X50298,X50299,X50300,X50313,X50314,X50315,X50328,X50329,X50330,X50343,X50344,X50345
EQB42_RS00005,5689,3371,4720,6731,4972,5897,5592,5278,4473,8354,5932,5736,4889,7355,3155,7742,5108,5908
EQB42_RS00010,6928,3641,3587,8630,3837,4303,6453,3865,3675,9342,5239,4968,6241,5058,3139,10225,4272,5169
EQB42_RS00055,2277,6389,6532,3402,6120,7757,2238,5909,7497,3450,7945,9284,2047,5522,5639,2195,6287,10664
EQB42_RS00505,3307,649,837,2053,987,1073,3299,766,831,4325,1004,1206,1830,870,704,2023,1010,1358
EQB42_RS05005,505,282,696,1457,274,472,484,320,524,647,327,937,478,490,334,757,366,512
EQB42_RS05010,426,619,1329,454,571,688,451,1066,1402,777,1416,735,603,917,690,651,793,1894
EQB42_RS05015,3436,9461,4770,4608,4569,4941,3132,4811,4005,3519,6144,6709,2563,5633,5127,3201,5962,8568
EQB42_RS05020,165,142,72,158,72,86,146,95,101,197,129,97,101,128,83,178,104,109
EQB42_RS05025,5669,7472,3962,2368,3915,4692,4790,4427,3977,5324,4395,4122,3035,4525,4431,2285,4777,7371
EQB42_RS05035,44,14,34,19,28,32,36,46,30,55,34,23,22,24,17,32,35,76
EQB42_RS05040,11079,11188,7990,13380,8686,9112,9616,9702,10283,12876,13186,8158,8976,12477,9839,14405,11726,15272
EQB42_RS05045,8325,4273,4184,8922,5617,5647,7792,5658,5697,9950,6333,4085,8617,8553,4900,11581,6078,7760
EQB42_RS05050,7801,2673,1908,7637,2108,1769,8075,2322,1805,8992,3519,2902,8001,2651,1581,11224,3337,3115
EQB42_RS00510,1769,2321,2757,1852,2525,3158,1915,2450,3240,2460,3903,4034,1620,3325,1957,1953,3070,3558
EQB42_RS05055,410,394,501,452,306,354,295,341,324,365,480,675,225,295,234,411,466,466
EQB42_RS05060,1779,1604,1524,1586,1478,1447,1656,1712,1453,1827,2179,2076,1211,1749,1168,1820,2124,2365
EQB42_RS05065,4139,4400,4129,4314,4093,4439,3518,4596,4127,4106,5279,5190,3043,4657,3248,4964,4895,6388
EQB42_RS05070,4258,2988,3227,3116,3067,3348,4120,3690,3533,5446,4873,4121,3273,4481,2776,4305,4306,4965
EQB42_RS05075,10314,7077,7344,6573,7384,7957,10418,8484,8488,13622,11375,9385,7348,10525,6375,10105,10705,12039
EQB42_RS05080,4895,3696,3759,3202,3661,4108,4776,4383,4254,6451,5790,4689,3462,5333,3342,4628,5051,5945
EQB42_RS05085,17101,12375,13105,12570,13152,14354,16609,15321,13716,20535,17450,16060,12416,19219,11394,16888,17096,20018
EQB42_RS05090,9236,8352,8298,6698,8460,9442,8992,9780,9111,12459,11717,9694,6471,12710,6941,8812,10938,12856
EQB42_RS05095,3733,2302,1985,2069,2183,2706,3748,2428,2271,4947,2859,2563,2683,3213,2166,2710,2641,3636
EQB42_RS05100,3651,18999,23349,5722,18543,27190,3842,21272,18840,6932,18014,28055,2272,25555,11282,4449,17173,23962
EQB42_RS00515,4698,5733,7286,5963,7282,8642,5157,7130,8562,6252,9062,9394,4841,10281,6460,6448,8796,11343
EQB42_RS05105,2518,3484,3661,2271,3427,4444,2262,3858,3556,3160,3568,4095,1663,4566,2534,2552,3542,4726
EQB42_RS05110,316,428,379,260,400,506,291,416,449,409,485,506,205,474,261,265,402,562
EQB42_RS05115,921,652,379,835,410,440,832,416,366,1070,633,509,859,375,271,1372,488,582
EQB42_RS05120,1021,613,399,868,459,432,796,394,389,918,614,480,844,425,297,1214,460,562
EQB42_RS05125,91741,11641,7536,74576,6599,7231,75471,6602,7582,75999,12586,11177,68505,6567,7719,98999,9392,12564
EQB42_RS05130,15391,6018,4495,11194,4384,4724,15538,4773,4895,18875,7489,6644,11340,5380,4707,13535,5941,7653
EQB42_RS05135,7438,3051,2603,5060,2689,3150,8902,2988,3071,10869,4233,3511,6481,3745,2789,6657,3514,4848
EQB42_RS05140,10060,5067,3671,6509,4046,4653,11438,4328,3794,13253,5469,4831,8272,6241,4035,8474,5166,6703
EQB42_RS05145,624,814,525,368,678,736,746,661,709,1106,918,696,440,924,633,446,813,1003
EQB42_RS05150,5,15,5,9,15,6,8,10,4,14,12,10,8,29,6,4,13,13
EQB42_RS00520,45,111,179,59,210,298,47,251,298,40,231,321,53,354,290,68,270,518
EQB42_RS05155,8,8,7,6,3,2,3,11,5,16,8,8,3,32,5,5,11,12
EQB42_RS05160,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
EQB42_RS05165,6,3,1,2,2,0,5,0,4,5,1,2,4,3,2,1,0,0
EQB42_RS05170,2,0,1,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0
EQB42_RS05175,459,344,428,515,280,447,433,309,434,630,526,598,402,253,331,527,405,641
EQB42_RS05180,239,221,271,309,209,254,238,225,298,318,346,418,211,195,192,294,260,413
EQB42_RS05185,448,150,168,247,132,181,363,107,152,602,170,207,209,107,97,273,124,229
EQB42_RS05190,2012,191,274,1538,210,313,1681,180,274,2365,251,290,1507,158,145,1795,180,336
EQB42_RS05195,3373,278,399,2938,325,492,2834,271,391,3727,348,503,2854,267,250,3383,314,496
EQB42_RS05200,5187,2421,1931,5260,1782,1885,4529,1769,1877,5928,2989,3497,4248,1931,1557,5326,2397,3278
EQB42_RS00525,11,28,49,21,50,88,12,58,104,16,65,81,15,78,69,19,81,134
EQB42_RS05205,833,418,447,873,442,486,801,476,449,1229,861,735,792,478,328,877,567,697
EQB42_RS05210,338,209,219,295,165,207,289,192,200,446,295,348,304,164,129,366,225,287
EQB42_RS05215,326,110,115,350,67,98,290,59,121,405,130,164,287,103,111,392,182,190
EQB42_RS05220,652,200,238,645,152,219,540,163,238,928,228,338,494,160,222,873,234,371
EQB42_RS05225,448,203,220,504,123,223,423,152,203,578,257,313,441,167,186,618,174,316
EQB42_RS05230,563,257,213,534,143,237,445,170,216,657,272,324,439,209,168,697,211,349
EQB42_RS05235,3,3,8,3,11,7,9,7,16,14,8,13,8,20,12,4,12,15
EQB42_RS05240,6,2,5,1,5,10,3,5,5,14,7,13,1,7,5,6,5,8
EQB42_RS05245,15,20,16,12,45,26,27,34,32,37,28,14,12,58,19,22,33,41
