,Raw Counts WT  Replicate 1,Raw Counts WT  Replicate 2,Raw Counts 125g calp Replicate 1,Raw Counts 125g calp Replicate 2
SpyM3_1684,4504,5802,595,3746
SpyM3_0541,7044,8865,2353,16677
SpyM3_1478,11911,5378,2453,17423
predicted RNA,1764,1914,203,819
SpyM3_0575,4083,4426,597,2643
SpyM3_1531,20967,63399,3273,17360
SpyM3_0304,11174,2735,3424,9512
SpyM3_0916,3466,4499,401,2773
SpyM3_0122,2498,5687,483,2732
SpyM3_0563,43858,60720,5314,21720
SpyM3_0579,24164,20792,1819,11855
SpyM3_1765,19457,59019,3280,15833
SpyM3_1745,173479,202283,25395,81248
SpyM3_0822,4775,1404,1194,3735
predicted RNA,12819,14013,1020,7641
SpyM3_0813,108734,98919,9631,50852
SpyM3_0566,19544,33734,3053,10391
SpyM3_1836,4902,6157,792,3394
SpyM3_1512,19995,27873,2182,12076
SpyM3_1612,6541,7086,853,3756
SpyM3_0824,1011,252,247,802
SpyM3_1679,6710,3138,879,2440
SpyM3_0482,19465,21633,2075,9547
SpyM3_1202,6283,4067,721,3462
SpyM3_1659,17914,20536,2085,8339
SpyM3_1669,5422,5653,765,3560
SpyM3_1511,19585,22322,1418,13511
SpyM3_0332,15289,25265,2241,9025
SpyM3_1658,27025,23728,2267,13983
SpyM3_1660,9257,12889,1037,5804
predicted RNA,478,455,48,195
SpyM3_1656,62001,80411,7978,31608
SpyM3_1780,4567,4141,800,2219
SpyM3_0483,37632,50134,4907,16529
SpyM3_0825,4556,1322,956,3993
SpyM3_0180,4280,2995,469,2132
SpyM3_0823,2057,466,408,1665
SpyM3_0619,5007,3231,1113,7183
predicted RNA,18619,7501,1084,38864
SpyM3_1182,28084,15665,6960,48359
SpyM3_1740,7102,19364,4675,23116
SpyM3_1149,4756,5123,801,3098
SpyM3_0565,41903,56084,5250,24124
SpyM3_0838,2689,2087,478,5165
SpyM3_1772,19463,10645,2133,6134
predicted RNA,1120,112,51,1584
SpyM3_0536,16059,17864,1639,9968
SpyM3_1583,1011,335,123,1373
SpyM3_1657,30317,31669,2852,15437
SpyM3_1694,7084,5558,2160,10971
SpyM3_1775,17864,10157,2046,5443
SpyM3_0564,18338,27422,3205,9312
SpyM3_0620,2829,2165,774,3977
predicted RNA,1406,985,96,769
SpyM3_1194,228190,237825,28987,131390
SpyM3_0496,5261,6583,594,4898
SpyM3_0580,36180,29332,2495,19021
SpyM3_1508,3508,4571,589,2914
SpyM3_0001,7059,7840,1472,5826
SpyM3_0002,6076,6687,1217,4396
SpyM3_0003,721,710,136,591
SpyM3_0004,16675,14945,2523,16017
SpyM3_0005,1219,1072,165,959
SpyM3_0006,6253,5760,898,6353
SpyM3_0007,1658,1403,224,1254
SpyM3_0008,2483,2493,348,1834
SpyM3_0009,6530,6412,966,6204
SpyM3_0010,6983,7936,1104,7685
SpyM3_0011,12798,12462,2219,14150
SpyM3_0012,31450,35643,5967,34881
SpyM3_0013,3205,3758,331,2480
SpyM3_t01,15,16,2,7
SpyM3_t02,38,19,8,24
SpyM3_t03,191,125,16,72
SpyM3_t04,229,274,77,122
SpyM3_t05,216,215,42,201
SpyM3_t06,103,88,13,184
SpyM3_t07,91,73,11,52
SpyM3_t08,394,296,39,301
SpyM3_t09,134,82,14,109
SpyM3_t10,440,191,65,235
SpyM3_t11,22,13,3,15
SpyM3_t12,34,21,7,24
SpyM3_t13,178,118,21,66
SpyM3_t14,216,262,83,125
SpyM3_t15,222,199,59,193
SpyM3_t16,104,91,20,200
SpyM3_t17,101,75,18,54
SpyM3_t18,355,294,53,309
SpyM3_t19,121,89,20,133
SpyM3_t20,382,203,49,234
SpyM3_t21,1216,357,47,1481
SpyM3_t22,287,232,19,329
SpyM3_t23,268,254,28,210
SpyM3_t24,110,156,15,60
SpyM3_t25,333,219,53,265
SpyM3_t26,230,77,7,291
SpyM3_t27,318,279,65,245
SpyM3_t28,190,168,42,159
SpyM3_0014,8529,17269,2027,7766
SpyM3_0015,6597,9462,1929,4791
SpyM3_0016,1655,1411,204,1149
SpyM3_0017,13319,13039,2306,9797
SpyM3_0018,635,907,156,510
SpyM3_0019,163,375,32,127
SpyM3_0020,241,449,52,206
SpyM3_0021,267,450,55,228
SpyM3_0022,164,321,29,139
SpyM3_0023,75,151,11,63
SpyM3_0024,106,226,25,106
SpyM3_0025,165,139,18,92
SpyM3_0026,681,1350,118,483
SpyM3_0027,181,322,36,147
SpyM3_0028,841,1059,137,406
SpyM3_0030,5649,6066,964,3511
SpyM3_0031,592,776,85,273
SpyM3_0032,19591,15153,3465,14687
SpyM3_0033,2494,3178,380,2001
SpyM3_0034,6009,7014,1143,3538
SpyM3_0035,10903,13659,1744,7939
SpyM3_0036,88345,80104,10269,66520
SpyM3_0038,2323,2978,135,671
SpyM3_0039,6857,5146,713,9695
predicted RNA,2021,1465,167,2154
predicted RNA,2751,2878,564,2088
SpyM3_0040,10694,10520,1597,12389
SpyM3_0041,8180,5911,1048,9082
SpyM3_0042,5022,5246,768,6279
SpyM3_0043,11887,12341,2539,11755
SpyM3_0044,11266,12370,2236,11412
SpyM3_0045,14568,16300,2704,16026
SpyM3_0046,13274,14588,2630,14354
SpyM3_0047,16788,20683,3473,15834
SpyM3_0048,4851,7620,1282,4066
predicted RNA,390,525,136,302
SpyM3_0049,6468,8867,2036,5192
SpyM3_0050,10590,13846,2444,10910
SpyM3_0051,17918,25581,4789,13701
SpyM3_0052,10338,8740,1825,12311
SpyM3_0053,2611,2098,285,2861
predicted RNA,1243,986,159,1371
SpyM3_0054,11306,12117,2356,10553
SpyM3_0055,10882,15393,2676,9167
SpyM3_0056,19611,16818,3923,19221
SpyM3_0057,12959,17527,3193,11767
SpyM3_0058,3058,4044,410,3331
SpyM3_0059,16823,20787,3360,16406
SpyM3_0060,60194,80215,14832,50429
SpyM3_0061,10914,10254,1668,8447
predicted RNA,3239,1497,327,2522
SpyM3_0062,37057,35163,7122,30826
SpyM3_0063,12226,10289,1760,10081
SpyM3_0064,43166,36572,7069,38627
SpyM3_0065,18336,16746,3095,17072
SpyM3_0066,96028,80269,18367,81859
SpyM3_0067,14960,13153,3013,11763
SpyM3_t29,15,9,5,10
SpyM3_t30,38,9,8,69
SpyM3_t31,133,53,7,296
SpyM3_t32,193,167,14,161
SpyM3_t33,234,196,23,166
SpyM3_t34,287,320,40,203
SpyM3_t35,99,154,24,50
SpyM3_t36,341,328,84,229
SpyM3_t37,123,92,12,78
SpyM3_t38,170,143,20,114
SpyM3_t39,456,375,64,319
SpyM3_t40,66,70,21,58
SpyM3_t41,6,5,1,1
SpyM3_0068,1024,1002,254,430
predicted RNA,262,315,40,209
SpyM3_0072,3862,3605,507,3018
SpyM3_0073,9572,8213,984,7541
SpyM3_0074,8366,11857,1966,8053
SpyM3_0075,31956,28870,7165,42752
SpyM3_0076,35234,37515,9023,36850
SpyM3_0077,1331,1813,253,1263
SpyM3_0078,57,56,6,29
SpyM3_0079,38,41,5,22
SpyM3_0080,13,19,2,12
SpyM3_0081,28,9,4,6
SpyM3_0082,19,14,2,6
SpyM3_0083,7,13,2,10
SpyM3_0084,22,12,2,11
