,Raw Counts WT  Replicate 1,Raw Counts WT  Replicate 2,Raw Counts 125g calp Replicate 1,Raw Counts 125g calp Replicate 2
SpyM3_0461,12969,11599,1819,11195
SpyM3_0462,8671,8170,1403,7140
SpyM3_0463,11393,12394,2363,7935
SpyM3_0464,3354,3720,671,2591
SpyM3_0465,14802,16556,2235,9672
SpyM3_0467,325,657,49,234
SpyM3_0468,479,1120,129,402
SpyM3_0469,48480,59323,11955,39760
predicted RNA,484,288,23,764
SpyM3_0470,4311,3345,581,3738
SpyM3_0471,11047,10357,1257,8596
SpyM3_0472,657,491,59,250
SpyM3_0473,1353,1476,176,764
SpyM3_0474,15454,13235,2447,10534
SpyM3_t45,4,0,0,0
SpyM3_0475,3400,3951,642,2565
SpyM3_0476,17756,15444,2838,15741
SpyM3_0477,30709,31958,5037,28894
SpyM3_0478,433,405,105,798
SpyM3_0479,92385,104678,18756,77345
SpyM3_0480,23532,20656,5991,6312
SpyM3_0489,25491,17321,3802,14417
SpyM3_0490,3101,3278,607,2403
SpyM3_0491,7496,7177,1144,6890
SpyM3_0492,6163,7384,1024,5352
SpyM3_0493,11962,14795,1439,17905
SpyM3_0494,41009,54961,5730,44185
SpyM3_0495,8926,9661,1136,7783
SpyM3_0497,31074,43644,5765,30061
SpyM3_0498,15858,24699,2471,15475
SpyM3_0499,41035,61904,7378,36692
SpyM3_0500,17970,28634,3169,14280
SpyM3_0502,11736,12019,2304,10243
SpyM3_0503,1614,1939,358,1361
SpyM3_0504,1502,1550,341,1443
SpyM3_0505,430,473,66,443
SpyM3_0506,3640,2983,582,3210
SpyM3_0507,7087,6654,1052,5546
SpyM3_0508,621,602,110,533
SpyM3_0509,513,695,136,482
SpyM3_0510,971,1030,211,629
SpyM3_0511,1598,2434,378,1238
SpyM3_0512,1704,2063,286,1048
SpyM3_0513,13178,11971,2143,16540
SpyM3_0514,17791,18071,3266,18960
SpyM3_0515,6316,7182,1225,7912
SpyM3_0516,1993,1788,236,2413
SpyM3_0518,10330,9954,1867,9758
SpyM3_0519,7636,7731,1559,6246
SpyM3_0520,3665,1787,369,3394
SpyM3_0521,3498,2760,540,4245
SpyM3_0522,4674,6259,1027,5239
SpyM3_0523,2969,3326,688,3296
SpyM3_0524,3102,2686,490,3515
SpyM3_0525,7007,7072,1514,7044
SpyM3_0526,4232,4026,738,3959
SpyM3_0527,10071,9372,1832,10251
SpyM3_0528,7009,6907,1332,6803
SpyM3_0529,2552,2342,502,2630
SpyM3_0530,413,427,74,391
SpyM3_0531,7107,8352,1478,7145
SpyM3_0532,4259,3730,679,5413
SpyM3_0533,26006,29340,3217,18508
SpyM3_0535,48,40,7,23
SpyM3_0537,6262,7491,945,4728
SpyM3_0538,19477,19722,3346,17701
SpyM3_0539,14127,12203,1633,14400
predicted RNA,1531,1788,312,947
SpyM3_0540,7737,6848,1504,7419
SpyM3_0542,12709,11302,1530,10971
SpyM3_0543,9458,8476,1473,7404
SpyM3_0544,8245,7869,1179,5447
SpyM3_0545,4300,3901,616,3497
SpyM3_0546,4210,4748,936,4194
SpyM3_0547,2449,2670,510,2510
SpyM3_0548,3802,3180,799,4025
SpyM3_0549,5240,5637,983,4724
SpyM3_0550,4552,4218,710,4008
SpyM3_0552,6105,3529,769,7457
SpyM3_0553,26289,27460,4046,28521
predicted RNA,972,726,106,967
SpyM3_0554,8520,7645,2231,9216
SpyM3_0555,1240,1266,200,1234
SpyM3_0556,1250,1310,199,1231
SpyM3_0557,2336,2420,452,2116
SpyM3_0558,1082,1445,170,705
SpyM3_0559,1830,1929,181,1204
SpyM3_0560,2761,2505,304,1770
SpyM3_0561,3142,2915,364,1825
SpyM3_0562,8989,6681,895,4809
predicted RNA,365,190,22,287
SpyM3_0567,11964,9754,1938,9288
SpyM3_0568,1250,1333,238,1354
SpyM3_0569,17895,15511,3224,17361
SpyM3_0570,2545,2310,481,2483
SpyM3_0571,11,16,3,9
SpyM3_0572,670,705,79,745
SpyM3_0573,5055,5863,953,4583
SpyM3_0574,2798,3201,472,2154
SpyM3_0576,13968,11662,1185,8844
SpyM3_0577,27749,25439,3023,16458
SpyM3_0581,411,595,72,334
SpyM3_0582,1352,2650,218,1148
SpyM3_0584,39,41,2,55
SpyM3_0585,12450,10819,2302,9590
SpyM3_0586,11773,11030,2010,8860
SpyM3_0587,4669,4520,940,4693
SpyM3_0588,4477,4693,1002,4683
SpyM3_0589,172,234,17,225
SpyM3_0590,141,236,22,159
SpyM3_0591,1978,1216,254,926
SpyM3_0592,2152,2204,318,1890
SpyM3_0593,2409,2200,453,2339
SpyM3_0594,3362,3554,555,3261
SpyM3_0595,2104,2730,439,1742
SpyM3_0596,2297,2385,453,2056
SpyM3_0597,3069,3432,484,2596
SpyM3_0598,4606,4505,743,3946
SpyM3_0599,4690,3915,799,6003
SpyM3_0600,4003,3669,832,4586
SpyM3_0601,4161,3980,875,4374
SpyM3_0602,3669,4398,699,3870
SpyM3_0603,1455,1634,180,1690
SpyM3_0604,11956,11884,1695,12176
SpyM3_0605,5832,6110,1083,6475
SpyM3_0606,5761,6295,953,6189
SpyM3_0607,7698,5463,1089,4739
SpyM3_0608,8563,8129,1953,6358
predicted RNA,500,350,73,234
SpyM3_0609,23622,17956,4184,16470
SpyM3_0610,11165,9350,3493,6494
SpyM3_0611,18190,14288,3298,12558
predicted RNA,3905,3229,959,2760
SpyM3_0612,24501,16988,4070,22802
SpyM3_0613,1183,808,233,1134
SpyM3_0614,1059,1046,213,1807
SpyM3_0616,476,969,59,285
SpyM3_0617,340,449,25,196
SpyM3_0618,1494,1562,231,1996
SpyM3_0621,1079,1668,250,1027
SpyM3_0622,2753,3729,470,2655
SpyM3_0623,1984,1959,369,1425
SpyM3_0624,11997,13456,2654,11508
SpyM3_0625,8195,8539,1563,8328
SpyM3_0626,6018,8811,1406,7461
SpyM3_0627,1917,2020,327,2443
SpyM3_t46,69,77,13,62
SpyM3_t47,105,52,10,90
SpyM3_0628,53977,44189,8525,54149
SpyM3_t48,1,1,0,0
SpyM3_0629,2433,2715,473,1848
SpyM3_0630,6385,6871,1585,8414
SpyM3_0631,194,260,32,177
SpyM3_0632,921,909,143,701
SpyM3_0633,8322,6304,1570,7605
SpyM3_0634,1814,1801,341,1468
SpyM3_0635,3879,4008,937,3670
SpyM3_0636,1817,1948,370,2225
SpyM3_0637,4023,3657,821,4289
SpyM3_0638,1181,945,234,1210
SpyM3_0639,2822,3022,544,3059
SpyM3_0640,5927,5009,922,5963
SpyM3_0641,4917,4636,736,4509
SpyM3_0642,1273,1494,269,1032
SpyM3_0643,859,952,174,960
SpyM3_0644,3644,3910,773,3488
SpyM3_0645,2370,2393,370,2434
SpyM3_0646,24876,22483,3795,25900
SpyM3_0647,4129,4995,765,3887
SpyM3_0648,13917,15191,2921,12205
SpyM3_0649,1442,1599,258,1518
SpyM3_0650,2225,2340,393,2246
SpyM3_0651,3054,3309,561,2882
SpyM3_0652,1942,1637,370,1933
SpyM3_0653,410,691,45,266
SpyM3_0654,30,66,1,18
SpyM3_0655,720,983,89,614
SpyM3_0656,976,1282,153,718
SpyM3_0657,19789,18654,3612,18029
SpyM3_0658,1449,1714,373,1366
SpyM3_0659,596,449,94,618
SpyM3_0660,2103,2563,359,1742
SpyM3_0661,10778,15341,2096,8896
SpyM3_0662,6935,9831,1516,6171
SpyM3_0663,9258,12556,1713,7434
SpyM3_0664,14836,19992,2939,10461
SpyM3_0665,4600,4324,617,3947
SpyM3_0666,4444,3792,711,4306
SpyM3_0667,1766,1544,293,1826
SpyM3_0668,4835,4671,762,4813
SpyM3_0669,2041,1832,273,1804
SpyM3_0670,3301,3318,608,2659
SpyM3_0671,11210,9513,1755,9901
SpyM3_0672,145,88,24,124
SpyM3_0673,3857,4359,691,3570
SpyM3_0674,2724,3147,499,2267
SpyM3_0675,1772,1720,356,1638
SpyM3_0676,3254,3154,520,3592
SpyM3_0677,1222,1264,283,921
SpyM3_0678,348,292,67,314
SpyM3_0679,104,120,21,69
SpyM3_0680,144,133,11,100
SpyM3_0681,0,0,0,0
SpyM3_0682,0,0,0,0
SpyM3_0683,0,0,0,0
SpyM3_0684,0,0,0,0
SpyM3_0685,0,0,0,0
SpyM3_0686,0,0,0,0
SpyM3_0687,0,0,0,0
SpyM3_0688,0,0,0,0
SpyM3_0689,0,0,0,0
SpyM3_0690,0,0,0,0
SpyM3_0691,0,0,0,0
SpyM3_0692,0,0,0,0
SpyM3_0693,0,0,0,0
SpyM3_0694,0,0,0,0
SpyM3_0695,0,0,0,0
SpyM3_0696,6,8,2,3
SpyM3_0697,0,0,0,0
SpyM3_0698,0,0,0,1
SpyM3_0699,0,0,0,0
SpyM3_0700,0,0,0,0
SpyM3_0701,0,0,0,0
SpyM3_0702,0,0,0,0
SpyM3_0703,0,0,0,0
SpyM3_0704,0,0,0,0
SpyM3_0705,0,0,0,0
SpyM3_0706,0,0,0,0
SpyM3_0707,0,0,0,0
SpyM3_0708,0,0,0,0
SpyM3_0709,0,0,0,0
SpyM3_0710,0,0,0,0
SpyM3_0711,0,0,0,0
SpyM3_0712,0,0,0,0
SpyM3_0713,0,0,0,0
SpyM3_0714,0,0,0,0
SpyM3_0715,0,0,0,0
SpyM3_0716,0,0,0,0
SpyM3_0717,0,0,0,0
SpyM3_0718,0,0,0,0
SpyM3_0719,0,0,0,0
SpyM3_0720,0,0,0,0
SpyM3_0721,0,0,0,0
SpyM3_0722,0,0,0,0
SpyM3_0723,0,0,0,0
SpyM3_0724,56,128,8,102
SpyM3_0725,408,647,78,508
SpyM3_0726,121,155,12,129
SpyM3_0727,0,2,0,3
SpyM3_0728,0,0,0,0
SpyM3_0729,3,16,3,9
SpyM3_0730,82,89,16,101
SpyM3_0731,178,248,45,255
SpyM3_0732,0,0,0,0
SpyM3_0733,0,0,0,0
SpyM3_0734,0,0,0,0
SpyM3_0735,0,0,0,0
SpyM3_0736,0,0,0,0
SpyM3_0737,8022,8017,1684,8832
SpyM3_0739,1134,1433,296,957
SpyM3_0740,5777,7598,1261,4686
SpyM3_0741,63730,16266,8665,34606
SpyM3_0742,58278,20302,11262,28818
SpyM3_0743,27663,11857,3998,17115
SpyM3_0744,54836,16471,10175,34580
SpyM3_0745,6291,3497,1284,5087
SpyM3_0746,4257,2266,740,3672
SpyM3_0747,3936,2434,627,3850
SpyM3_0748,19371,19869,4698,16718
predicted RNA,1528,1336,210,1833
SpyM3_0749,23412,25327,5236,21832
predicted RNA,172,251,36,102
SpyM3_0750,5442,5855,923,5084
SpyM3_0751,11585,16185,3254,10794
SpyM3_0752,3286,4018,581,2431
SpyM3_0753,39335,42840,6282,33189
predicted RNA,1368,1161,204,906
SpyM3_0754,17447,13532,2451,19992
SpyM3_0755,579,823,116,618
SpyM3_0756,5939,6631,1322,6005
SpyM3_0757,0,0,0,1
SpyM3_0758,42767,44098,8746,38454
SpyM3_0759,26803,24704,4363,18657
SpyM3_0760,24718,25969,4500,17312
SpyM3_0761,10851,14193,2306,8136
SpyM3_0762,24367,20658,3968,21058
SpyM3_0763,4677,4770,902,4771
SpyM3_0764,7940,6890,1468,7554
SpyM3_0765,1921,1505,292,2046
SpyM3_0766,2540,2358,434,2171
SpyM3_0767,7409,6544,1289,6803
SpyM3_0768,1213,816,103,394
SpyM3_0769,3017,2210,321,1182
SpyM3_0772,4058,4561,1062,3373
SpyM3_0774,3265,3014,492,2702
SpyM3_0775,986,1054,196,764
SpyM3_0776,5231,6666,1062,4768
SpyM3_0777,15,9,2,12
SpyM3_0778,2317,2211,377,2867
SpyM3_0779,5491,4506,809,4545
SpyM3_0780,2290,1829,279,1598
SpyM3_0781,8709,8735,1771,8239
SpyM3_0782,3262,3447,593,3401
SpyM3_0783,918,1033,138,1111
SpyM3_0784,6970,9067,1706,6361
SpyM3_0785,7347,7223,1203,7184
SpyM3_0786,8962,6465,1123,8113
SpyM3_0787,25828,21271,4162,19361
SpyM3_0788,1291,1497,335,1470
SpyM3_0789,3385,3860,843,3924
SpyM3_0790,818,1047,158,1056
predicted RNA,871,913,144,1285
SpyM3_0791,2397,3633,867,2618
SpyM3_0792,4487,6346,1043,5898
SpyM3_0793,109,188,25,110
SpyM3_0794,66,179,2,13
SpyM3_0795,136,280,9,38
SpyM3_0796,661,619,114,593
SpyM3_0797,369,235,62,325
SpyM3_0798,2386,2660,487,2231
SpyM3_0799,4637,4117,778,3992
SpyM3_0800,5050,4189,762,4399
SpyM3_0801,1400,1210,260,1433
SpyM3_0802,2072,1815,338,1865
SpyM3_0803,2310,2437,490,1858
SpyM3_0804,3749,3332,622,3844
SpyM3_0805,2403,2597,743,1654
SpyM3_0806,2896,2831,494,2084
SpyM3_0807,1657,1618,200,1372
SpyM3_0808,32678,32613,6958,34453
SpyM3_0809,9942,8525,1741,10998
SpyM3_0810,14651,15487,3058,13292
SpyM3_0811,6294,5531,963,5042
SpyM3_0812,749,754,115,808
SpyM3_0814,3863,4698,1062,4879
SpyM3_0815,1322,1565,299,1427
SpyM3_0816,529,743,110,556
SpyM3_0817,2382,3013,513,2030
SpyM3_0818,3977,3671,555,3550
SpyM3_0819,46,36,7,25
SpyM3_0820,5342,6824,935,5013
SpyM3_0821,2504,2241,414,1915
SpyM3_0826,1609,919,283,979
SpyM3_0827,3776,2343,508,2551
SpyM3_0828,12213,2306,1537,8625
SpyM3_0829,4231,1167,675,2819
SpyM3_0830,14650,3620,3114,9518
predicted RNA,425,93,105,204
SpyM3_0831,13856,3988,3083,9328
predicted RNA,1990,457,221,1270
SpyM3_0832,15701,4767,2473,8569
SpyM3_0833,17126,5698,3305,10826
SpyM3_0834,29622,11517,6336,16162
SpyM3_0835,13587,5206,2784,7759
SpyM3_0836,45257,18556,10335,22828
SpyM3_0837,1624,2182,362,2360
SpyM3_0839,755,805,114,654
SpyM3_0840,337,565,74,304
SpyM3_0841,6321,7195,1291,6241
SpyM3_0842,2256,1898,380,2001
SpyM3_0843,3186,4080,895,3610
SpyM3_0844,838,870,120,820
SpyM3_0845,9687,10081,2615,8745
SpyM3_0846,125,167,23,119
SpyM3_0847,1819,2058,304,1830
SpyM3_0848,153,200,22,162
SpyM3_0849,426,505,69,353
SpyM3_0850,556,738,95,538
SpyM3_0851,4952,3532,498,6986
SpyM3_0852,27479,26945,3979,18929
SpyM3_0853,9114,9804,1579,5544
SpyM3_0854,17760,17528,3181,10516
predicted RNA,1025,1049,383,564
SpyM3_0855,10420,11786,2515,7097
SpyM3_0856,17130,15861,2882,10425
SpyM3_0857,4274,2977,634,2836
SpyM3_0858,14324,13259,2314,10271
SpyM3_0859,9172,7259,1271,7756
SpyM3_0860,6035,5305,1239,3779
SpyM3_0861,1826,1816,271,1691
SpyM3_0862,3132,3314,612,2603
SpyM3_0863,1895,1888,322,1543
SpyM3_0864,20684,24684,4016,18397
SpyM3_0865,5518,3682,779,5620
SpyM3_0866,6304,5242,1283,6261
SpyM3_0867,14504,10764,2193,12513
SpyM3_0868,75542,51134,11496,60013
SpyM3_0869,8629,7090,1671,7155
SpyM3_0870,3687,3119,431,2884
SpyM3_0871,2101,1481,328,2527
SpyM3_0872,15179,6531,1536,17092
SpyM3_0873,2460,2763,503,1981
SpyM3_0874,2102,1850,350,1914
SpyM3_0875,20572,23264,3032,18078
SpyM3_0876,3174,3222,457,2541
SpyM3_0877,4961,6430,867,4624
SpyM3_0878,3194,3592,501,2646
SpyM3_0879,2416,2410,333,1941
SpyM3_0880,2063,2428,362,1762
SpyM3_0881,3013,3697,637,2331
SpyM3_0882,3822,3296,717,2932
SpyM3_0883,2618,2255,381,2041
SpyM3_0884,1665,1212,175,1039
SpyM3_0886,4546,5185,1126,4074
SpyM3_0887,2588,3138,545,2540
SpyM3_0888,2436,2849,471,2437
SpyM3_0889,511,608,75,466
SpyM3_0890,371,502,72,429
SpyM3_0891,614,578,171,749
SpyM3_0892,198,130,40,176
SpyM3_0893,270,177,60,517
SpyM3_0894,7238,7031,1366,4185
SpyM3_0901,7579,8892,1662,7741
predicted RNA,1008,1284,280,1211
SpyM3_0902,6,9,0,4
SpyM3_0903,503,265,99,498
SpyM3_0904,1219,1371,220,1150
SpyM3_0906,2632,2250,358,3404
SpyM3_0907,1427,1700,325,1999
SpyM3_0908,1877,2115,319,2332
SpyM3_0909,648,844,211,563
SpyM3_0910,30833,13825,6492,42836
SpyM3_0911,2757,2638,507,2451
SpyM3_0912,25785,19337,4323,23684
SpyM3_0913,45755,40167,7336,39566
SpyM3_0914,7340,8864,1319,6397
SpyM3_0915,1909,2818,243,1418
SpyM3_0917,1442,2716,287,1058
SpyM3_0918,4290,4050,785,5417
SpyM3_s01,121683,111071,37421,128134
SpyM3_0919,0,0,0,0
SpyM3_0920,0,0,0,0
SpyM3_0921,0,0,0,0
SpyM3_0922,61,73,15,66
SpyM3_0923,8,11,0,6
SpyM3_0924,35,40,5,26
SpyM3_0925,161,204,44,139
SpyM3_0926,146,219,30,241
SpyM3_0927,54,117,21,103
SpyM3_0928,5,12,0,7
SpyM3_0929,28,50,9,67
SpyM3_0930,43,68,17,86
SpyM3_0931,3,0,0,5
SpyM3_0932,41,15,9,36
SpyM3_0933,0,0,1,5
SpyM3_0934,1,3,2,4
SpyM3_0935,0,0,0,0
SpyM3_0936,4,8,0,4
SpyM3_0937,3,1,0,2
SpyM3_0938,0,0,0,0
SpyM3_0939,1,0,0,2
SpyM3_0940,0,0,0,0
SpyM3_0941,3,12,4,10
SpyM3_0942,12,8,3,26
SpyM3_0943,6,13,6,22
SpyM3_0944,3,0,0,2
SpyM3_0945,5,0,0,8
SpyM3_0946,8,14,0,13
SpyM3_0947,14,8,0,7
SpyM3_0948,1,3,1,7
SpyM3_0949,0,0,0,0
SpyM3_0950,47,48,3,17
SpyM3_0951,0,0,0,0
SpyM3_0952,0,0,0,0
SpyM3_0953,42,32,6,30
SpyM3_0954,44,41,6,18
SpyM3_0955,30,22,2,12
SpyM3_0956,32,12,5,23
SpyM3_0957,196,189,26,72
SpyM3_0958,208,222,16,66
SpyM3_0959,192,182,20,61
SpyM3_0960,86,107,5,29
SpyM3_0961,272,331,37,113
SpyM3_0962,332,352,28,120
SpyM3_0963,127,145,13,44
SpyM3_0964,100,159,10,42
SpyM3_0965,0,1,0,0
SpyM3_0966,0,0,0,0
SpyM3_0967,0,0,0,0
SpyM3_0968,0,0,0,0
SpyM3_0969,182,578,51,61
SpyM3_0970,59,33,2,28
SpyM3_0971,0,1,0,0
SpyM3_0972,0,0,0,0
SpyM3_0973,0,0,0,0
SpyM3_0974,0,0,0,0
SpyM3_0975,0,0,0,0
SpyM3_0976,99,52,10,68
SpyM3_0977,0,0,0,0
SpyM3_0978,0,0,0,0
SpyM3_0979,799,854,112,660
SpyM3_0982,2718,2643,468,2401
SpyM3_0983,20796,11307,4768,29806
SpyM3_0985,1043,702,290,1514
SpyM3_0986,7,15,0,23
SpyM3_0987,47,53,27,62
SpyM3_0988,189,164,40,156
SpyM3_0989,18,23,2,7
SpyM3_0990,7754,7543,1653,10427
SpyM3_0991,8453,8348,1841,11307
SpyM3_0992,4426,4295,1229,5820
SpyM3_0993,6411,6515,1416,8404
SpyM3_0994,8305,9217,2104,11719
SpyM3_0995,1237,985,227,1412
SpyM3_0996,7649,10130,1917,9214
SpyM3_0999,29,41,9,17
SpyM3_1000,421,447,75,246
SpyM3_1001,318,379,51,198
SpyM3_1002,131,184,31,79
SpyM3_1003,210,213,30,117
SpyM3_1004,47,49,9,24
SpyM3_1005,757,855,162,536
SpyM3_1006,333,471,64,240
SpyM3_1007,285,357,51,192
SpyM3_1008,598,708,108,643
SpyM3_1009,134,144,34,65
SpyM3_1010,4470,4135,728,4272
SpyM3_1011,109,127,18,63
SpyM3_1012,242,283,31,143
SpyM3_1013,245,255,35,173
SpyM3_1014,204,231,42,195
SpyM3_1015,42,25,2,42
SpyM3_1016,21,22,6,12
SpyM3_1017,96,83,21,87
SpyM3_1018,849,854,103,823
SpyM3_1019,1581,2194,311,1247
SpyM3_1020,717,1300,107,412
SpyM3_1021,4053,4163,633,3171
SpyM3_1022,647,949,176,507
SpyM3_1023,913,935,175,753
SpyM3_1024,1505,1597,316,1540
SpyM3_1025,5899,7227,1172,5743
SpyM3_1026,358,341,58,281
SpyM3_1027,2081,2211,323,1554
SpyM3_1028,4130,4379,692,3251
SpyM3_1029,16798,16201,2725,15475
SpyM3_1030,7483,8011,1352,5675
SpyM3_1031,3397,2758,400,2732
SpyM3_1034,5462,5525,1008,4733
SpyM3_1036,2091,2335,408,2170
SpyM3_1037,1005,1168,229,1032
SpyM3_1038,4979,5863,1002,5550
SpyM3_1039,1181,1621,265,1382
SpyM3_1040,117,92,26,295
SpyM3_1041,112,121,13,85
SpyM3_1043,4160,3658,751,3279
SpyM3_1044,13973,9222,2539,18590
SpyM3_1045,80949,75187,18877,79116
SpyM3_1046,57356,66845,8092,46487
SpyM3_1047,66221,68876,10554,46611
SpyM3_1051,458,423,94,456
SpyM3_1052,65,48,14,60
SpyM3_1053,24,25,0,20
SpyM3_1054,31,28,3,15
SpyM3_1055,478,584,63,318
SpyM3_1056,1093,749,97,720
SpyM3_1057,752,924,86,444
SpyM3_1058,11011,10874,1634,8713
SpyM3_1059,32986,21508,7742,32271
SpyM3_1060,3060,3083,423,3020
SpyM3_1061,310,412,55,226
SpyM3_1062,8499,8483,1606,7284
SpyM3_1063,434,331,51,269
SpyM3_1064,725,707,152,785
SpyM3_1065,163,122,32,147
SpyM3_1066,1752,2100,398,1856
SpyM3_1067,1242,1669,347,1387
SpyM3_1068,160,224,36,83
SpyM3_1069,48,61,14,32
SpyM3_1070,201,283,26,81
SpyM3_1071,24518,37155,7213,16482
SpyM3_1072,2064,2526,431,1728
SpyM3_1073,63,60,8,42
SpyM3_1074,30,26,3,22
SpyM3_1075,1888,2361,429,1722
SpyM3_1076,1214,956,146,1605
SpyM3_1077,632,604,145,659
SpyM3_1078,310,1329,48,167
SpyM3_1079,11019,10625,1782,11294
SpyM3_1080,8841,9303,2050,9961
SpyM3_1081,3,1,1,4
SpyM3_1082,14420,8968,2507,14750
SpyM3_1083,8147,8418,1516,6871
SpyM3_1084,5219,6485,1292,4558
SpyM3_1085,1906,1787,301,1811
SpyM3_1086,1537,1312,178,1528
SpyM3_1087,9192,6878,1192,5606
SpyM3_1088,2153,1252,272,1212
SpyM3_1089,3021,1607,355,1772
SpyM3_1090,20452,13935,3037,17540
SpyM3_1091,859,1304,174,769
SpyM3_1094,83,32,81,309
SpyM3_1096,23,33,5,28
SpyM3_1097,3,16,1,18
SpyM3_1098,36,39,5,46
SpyM3_1099,21,29,5,39
SpyM3_1100,61,74,13,101
SpyM3_1101,34,47,8,82
SpyM3_1102,45,78,17,75
SpyM3_1103,25,51,3,41
SpyM3_1104,31,40,10,39
SpyM3_1105,6,11,0,7
SpyM3_1106,12,23,2,24
SpyM3_1107,19,35,6,28
SpyM3_1108,5,10,0,6
SpyM3_1109,7,12,3,3
SpyM3_1110,12,18,2,19
SpyM3_1111,17,26,1,17
SpyM3_1112,12,12,1,11
SpyM3_1113,48,55,6,73
SpyM3_1114,23,53,16,60
SpyM3_1115,53,107,21,116
SpyM3_1116,7,6,1,6
SpyM3_1117,51,30,6,48
SpyM3_1118,21,15,0,17
SpyM3_1119,740,804,104,522
SpyM3_1120,2780,3094,409,1681
SpyM3_1121,37,35,8,30
SpyM3_1122,35,52,7,37
SpyM3_1123,12,10,2,11
SpyM3_1124,51,55,10,32
SpyM3_1125,27,28,0,14
SpyM3_1126,21,32,4,13
SpyM3_1127,51,52,8,29
SpyM3_1128,56,66,7,27
SpyM3_1129,36,25,3,18
SpyM3_1130,98,123,12,61
SpyM3_1131,32,16,0,11
SpyM3_1132,118,119,20,72
SpyM3_1133,35,30,4,10
SpyM3_1134,117,129,11,79
SpyM3_1135,22,16,3,12
SpyM3_1136,11,16,2,5
SpyM3_1137,27,49,4,41
SpyM3_1138,14,44,1,7
SpyM3_1139,36,53,5,16
SpyM3_1140,16,15,0,13
SpyM3_1141,25,33,1,15
SpyM3_1142,59,55,2,57
SpyM3_1144,1180,1862,183,771
SpyM3_1145,299,477,52,278
SpyM3_1146,24372,17419,2174,28214
SpyM3_1147,3448,3284,407,2169
SpyM3_1148,11882,13002,1817,8581
SpyM3_1150,8744,10491,1170,7351
SpyM3_1151,10723,11241,1621,7793
SpyM3_1152,5003,5039,790,3743
SpyM3_1153,6200,6214,1137,4882
SpyM3_1154,6417,6208,958,4787
SpyM3_1155,2499,2383,418,1892
SpyM3_1156,9006,9915,1523,6467
SpyM3_1157,4175,3954,819,3452
SpyM3_1158,118341,111004,21316,79865
SpyM3_1159,1877,2067,361,2146
SpyM3_1160,944,1153,208,767
SpyM3_1161,412,445,70,350
SpyM3_1162,658,1113,178,432
SpyM3_1163,26686,26574,5238,20623
SpyM3_1164,2078,1888,438,1662
predicted RNA,595,498,91,331
SpyM3_1165,12740,10945,2002,8583
SpyM3_1166,9668,10820,1346,6039
SpyM3_1167,35768,23957,4512,37848
SpyM3_1168,25326,26207,5493,22254
SpyM3_1169,3174,3352,659,2943
SpyM3_1170,34360,30264,7303,33958
SpyM3_1171,20749,21153,3644,18026
SpyM3_1172,33991,32481,7039,28494
SpyM3_1173,35827,37194,7600,28405
SpyM3_1174,11549,11446,1987,10954
SpyM3_1175,9318,10356,1667,8938
SpyM3_1176,7034,7424,1167,6396
SpyM3_1177,482,493,88,651
SpyM3_1178,18673,15370,3449,21772
SpyM3_1179,2139,2340,359,1377
SpyM3_1180,5471,6579,992,3514
SpyM3_1181,3889,3167,575,2348
SpyM3_1183,3,1,0,3
SpyM3_1184,3196,4396,749,3081
SpyM3_1185,2380,2847,522,2547
SpyM3_1186,1455,2027,280,1373
SpyM3_1187,6861,8551,1442,6174
SpyM3_1188,867,1087,178,830
SpyM3_1189,5617,5183,947,5360
SpyM3_1190,376,940,65,284
predicted RNA,514,77,25,313
SpyM3_1195,448870,558141,68095,199131
predicted RNA,420,183,48,149
SpyM3_1196,518309,502761,57137,319314
SpyM3_1197,3095,2195,383,2464
SpyM3_1198,1843,1707,394,1898
SpyM3_1199,7110,7905,1189,4838
SpyM3_1200,12464,9274,2033,6370
SpyM3_1201,14374,9318,1853,8859
predicted RNA,644,176,70,293
SpyM3_1203,7189,1780,880,2788
predicted RNA,11027,4372,1736,3656
SpyM3_1204,65932,17003,6601,19539
SpyM3_1205,3754,2138,740,2568
SpyM3_1206,8196,7754,1383,5997
SpyM3_1208,724,929,137,734
SpyM3_1209,85,76,25,136
SpyM3_1210,84,102,29,137
SpyM3_1211,325,329,105,628
SpyM3_1212,122,194,29,272
SpyM3_1213,114,206,33,176
SpyM3_1214,78,121,15,150
SpyM3_1215,76,127,29,173
SpyM3_1216,41,62,14,96
SpyM3_1217,172,350,58,369
SpyM3_1218,43,94,18,112
SpyM3_1219,57,69,16,89
SpyM3_1220,92,118,28,227
SpyM3_1221,60,83,8,112
SpyM3_1222,22,60,8,59
SpyM3_1223,20,29,6,24
SpyM3_1224,33,72,19,84
SpyM3_1225,96,163,41,221
SpyM3_1226,138,215,43,362
SpyM3_1227,35,77,8,38
SpyM3_1228,389,386,59,238
SpyM3_1229,2342,1810,247,1885
SpyM3_1230,107,196,31,139
SpyM3_1231,72,118,15,103
SpyM3_1232,29,50,17,55
SpyM3_1233,44,69,7,33
SpyM3_1234,5,10,0,3
SpyM3_1235,40,52,4,29
SpyM3_1236,29,43,3,32
SpyM3_1237,4,4,0,5
SpyM3_1238,57,109,57,50
SpyM3_1239,301,145,45,298
SpyM3_1240,187,221,13,83
predicted RNA,596,243,71,719
SpyM3_1241,258,318,22,117
SpyM3_1242,118,144,13,37
SpyM3_1243,145,233,11,55
SpyM3_1244,83,105,2,29
SpyM3_1245,93,144,7,39
