,sczA_Ctrl1,sczA_Ctrl2,sczA_Ctrl3,sczA_Ctrl4
CHF17_RS00790,135,143,143,138
CHF17_RS00795,64,73,57,50
CHF17_RS00800,210,210,218,151
CHF17_RS00805,177,231,241,234
CHF17_RS00810,35,51,52,43
CHF17_RS00815,61,74,71,46
CHF17_RS00820,35,46,44,43
CHF17_RS00825,34,45,48,59
CHF17_RS00830,112,158,185,157
CHF17_RS00835,128,174,170,191
CHF17_RS00840,51,58,65,54
CHF17_RS00845,99,118,112,112
CHF17_RS00850,100,115,125,103
CHF17_RS00855,98,115,102,75
CHF17_RS00860,127,127,107,112
CHF17_RS00865,199,227,188,203
CHF17_RS00870,113,123,122,78
CHF17_RS00875,963,832,734,582
CHF17_RS00880,141,104,108,91
CHF17_RS00885,7578,4617,5586,4371
CHF17_RS00890,4042,2177,2375,2032
CHF17_RS00895,214,159,142,170
CHF17_RS00900,118,144,108,108
CHF17_RS00905,427,503,518,488
CHF17_RS00910,36,28,36,44
CHF17_RS00915,32,31,28,36
CHF17_RS00920,542,571,620,667
CHF17_RS00925,163,164,207,345
CHF17_RS00930,459,619,672,866
CHF17_RS00935,129,175,147,156
CHF17_RS00940,63,98,94,137
CHF17_RS00945,114,153,185,211
CHF17_RS00950,110,135,150,320
CHF17_RS00955,162,177,188,374
CHF17_RS00960,57,38,35,81
CHF17_RS00965,484,374,435,1044
CHF17_RS00970,224,189,218,402
CHF17_RS00975,605,466,603,1269
CHF17_RS00980,351,371,443,688
CHF17_RS00985,85,73,89,134
CHF17_RS00990,64,65,62,91
CHF17_RS00995,81,76,75,152
CHF17_RS01000,139,139,124,183
CHF17_RS01005,692,719,635,812
CHF17_RS01010,19805,16980,9012,14009
CHF17_RS01015,187,260,134,158
CHF17_RS01020,3356,1662,2207,3182
CHF17_RS01025,7758,4219,5597,4884
CHF17_RS01030,6923,4521,5270,4007
CHF17_RS01035,26008,12045,17385,10271
CHF17_RS01040,16461,8741,13954,7888
CHF17_RS01045,64252,47175,69265,32621
CHF17_RS01050,5099,4352,5886,5984
CHF17_RS01055,1147,999,1234,938
CHF17_RS01060,2861,2413,2821,3137
CHF17_RS01065,2108,1510,2156,2211
CHF17_RS01070,658,394,589,1216
CHF17_RS01075,1337,805,1205,1544
CHF17_RS01080,3180,2341,2411,1516
CHF17_RS01085,143672,122377,111821,117112
CHF17_RS01090,21967,22249,22014,19223
CHF17_RS01095,18814,21986,17776,17854
CHF17_RS01100,13354,13357,11929,12370
CHF17_RS01105,1221,1176,977,1258
CHF17_RS01110,2607,1873,1333,1566
CHF17_RS01115,14976,8421,8276,8684
CHF17_RS01120,7883,5965,5384,6295
CHF17_RS01125,15824,9083,10361,11501
CHF17_RS01130,1126,1016,1161,986
CHF17_RS01135,21507,22250,16513,14927
CHF17_RS01140,968,1058,734,803
CHF17_RS01145,237,275,279,190
CHF17_RS01150,301,323,306,223
CHF17_RS01155,63,74,69,51
CHF17_RS01160,132,139,124,93
CHF17_RS01165,145,152,122,101
CHF17_RS01170,5,3,3,3
CHF17_RS01175,630,83,83,51
CHF17_RS01180,174,62,43,39
CHF17_RS01185,2955,1770,1792,1197
CHF17_RS01190,6689,4618,4400,3605
CHF17_RS01195,132,125,107,90
CHF17_RS01200,153,153,145,67
CHF17_RS01205,235213,193429,196366,312812
CHF17_RS01210,34605,30667,36701,40368
CHF17_RS01215,5030,3435,1900,6889
CHF17_RS01220,10322,7494,6813,8968
CHF17_RS01225,87634,66766,65107,70192
CHF17_RS01230,33197,27870,22879,17258
CHF17_RS01235,4296,3202,2149,2038
CHF17_RS01240,1203,733,811,347
CHF17_RS01245,32069,25007,25299,24072
