,sczA_Ctrl1,sczA_Ctrl2,sczA_Ctrl3,sczA_Ctrl4
CHF17_RS03355,8418,8937,6241,4758
CHF17_RS03360,14971,16917,12544,7492
CHF17_RS03365,2692,2180,2305,1635
CHF17_RS03370,7719,4452,5370,4683
CHF17_RS03375,7249,4576,5416,6433
CHF17_RS03380,7408,5901,7074,4282
CHF17_RS03385,16580,13562,13603,14402
CHF17_RS03390,10999,12123,8721,7023
CHF17_RS03395,51944,45443,29998,24032
CHF17_RS03400,8944,5893,6574,6314
CHF17_RS03405,5108,3675,6362,10440
CHF17_RS03410,7871,4818,6412,14317
CHF17_RS03415,2575,2117,1641,3256
CHF17_RS03420,7481,8297,5351,4682
CHF17_RS03425,41393,38186,26570,37863
CHF17_RS03430,8256,11066,8077,8231
CHF17_RS03435,2893,4352,3641,3493
CHF17_RS03440,462,684,537,176
CHF17_RS03445,720,845,556,320
CHF17_RS03450,406,348,235,273
CHF17_RS03455,652,613,385,270
CHF17_RS03460,527,514,349,204
CHF17_RS03465,166,129,79,64
CHF17_RS03470,1113,1192,919,247
CHF17_RS03475,992,1156,680,239
CHF17_RS03480,2739,3110,1728,1136
CHF17_RS03485,902,671,639,373
CHF17_RS03490,2233,1747,2076,823
CHF17_RS03495,1481,1525,1208,760
CHF17_RS03500,3662,1397,1343,4669
CHF17_RS03505,3775,1593,1615,6211
CHF17_RS03510,14051,11833,10257,8705
CHF17_RS03515,7220,4035,3550,2974
CHF17_RS03520,28599,21544,19355,16289
CHF17_RS03525,51661,55313,45957,27943
CHF17_RS03530,2539,2051,2371,2625
CHF17_RS03535,2374,1536,1942,2711
CHF17_RS03540,4501,3181,3598,2756
CHF17_RS03545,440503,413364,401753,434087
CHF17_RS03550,9127,11062,9933,9912
CHF17_RS03555,6519,4530,4955,5596
CHF17_RS03560,2127,1759,1807,1766
CHF17_RS03565,7881,5454,5805,6048
CHF17_RS03570,6389,5390,4552,3704
CHF17_RS03575,679,556,443,663
CHF17_RS03580,901,699,573,1060
CHF17_RS03585,401,435,354,293
CHF17_RS03590,12,11,12,7
CHF17_RS03595,7,9,7,7
CHF17_RS03600,35,37,25,24
CHF17_RS03605,3,2,4,1
CHF17_RS03610,1,2,1,2
CHF17_RS03615,8,10,7,13
CHF17_RS03620,1,5,6,2
CHF17_RS03625,1,3,3,0
CHF17_RS03630,30,33,22,25
CHF17_RS03635,16,19,29,25
CHF17_RS03640,3,2,2,1
CHF17_RS03645,10,7,4,11
CHF17_RS03650,11,7,11,4
CHF17_RS03655,145,65,76,74
CHF17_RS03660,4389,3196,3581,3193
CHF17_RS03665,116,119,91,212
CHF17_RS03670,46,55,57,39
CHF17_RS03675,14,31,26,16
CHF17_RS03680,47059,35279,30542,43696
CHF17_RS03685,11,27,18,8
CHF17_RS03690,20,41,18,20
CHF17_RS03695,8,7,3,4
CHF17_RS03700,103,122,65,36
CHF17_RS03705,42,56,26,17
CHF17_RS03710,358,326,228,149
CHF17_RS03715,78,74,51,34
CHF17_RS03720,795,335,349,441
CHF17_RS03725,1255,500,427,320
CHF17_RS03730,673,554,426,296
CHF17_RS03735,171,157,131,110
CHF17_RS03740,241,292,223,134
CHF17_RS03745,352,348,263,169
CHF17_RS03750,23,17,10,17
CHF17_RS03755,3,9,1,4
CHF17_RS03760,3,11,1,4
CHF17_RS03765,15,32,11,12
CHF17_RS03770,1,2,0,0
CHF17_RS03775,23,52,33,21
CHF17_RS03780,13,16,12,5
CHF17_RS03785,30,32,23,16
CHF17_RS03790,19,40,24,17
CHF17_RS03795,224,181,231,155
CHF17_RS03800,55,65,47,60
CHF17_RS03805,7,2,6,1
CHF17_RS03810,2,1,1,3
CHF17_RS03815,57,46,19,14
CHF17_RS03820,3615,2662,2161,1777
CHF17_RS03825,491,375,303,175
CHF17_RS03830,2388,2188,1890,1846
CHF17_RS03835,253,267,225,166
CHF17_RS03840,5,6,3,3
CHF17_RS03845,3,3,1,1
CHF17_RS03850,7,8,5,0
CHF17_RS03855,4,0,5,2
CHF17_RS03860,1,1,1,0
CHF17_RS03865,2,4,3,1
CHF17_RS03870,2045,1619,1836,1921
CHF17_RS03875,241,165,197,150
CHF17_RS03880,2098,1654,1550,1942
CHF17_RS03885,98,92,86,77
CHF17_RS03890,50,54,47,27
CHF17_RS03895,7,9,6,3
CHF17_RS03900,9,14,7,4
CHF17_RS03905,2563,2068,2078,2286
CHF17_RS03910,636,705,610,481
CHF17_RS03915,2336,2123,1882,1687
CHF17_RS03920,2269,1856,1703,1040
CHF17_RS03925,331,193,190,132
CHF17_RS03930,385,446,368,257
CHF17_RS03935,2853,2895,2576,2129
CHF17_RS03940,276,339,332,212
CHF17_RS03945,681,766,774,628
CHF17_RS03950,3694,3440,3643,2398
CHF17_RS03955,1038,1270,1116,900
CHF17_RS03960,406,478,397,321
CHF17_RS03965,370,446,337,348
CHF17_RS03970,427,462,450,348
CHF17_RS03975,1745,1751,1676,1051
CHF17_RS03980,159,184,145,160
CHF17_RS03985,67,67,67,40
CHF17_RS03990,20,21,23,12
CHF17_RS03995,21,21,21,18
CHF17_RS04000,1014,942,850,319
CHF17_RS04005,1273,1073,755,802
CHF17_RS04010,26,9,7,4
CHF17_RS04015,13325,17329,10602,6145
CHF17_RS04020,1557,1548,1088,1100
CHF17_RS04025,1141,1264,799,656
CHF17_RS04030,1011,1178,683,397
CHF17_RS04035,1223,1062,945,1128
CHF17_RS04040,4806,5715,4789,3263
CHF17_RS04045,3914,4481,3847,3457
CHF17_RS04050,940,1156,818,1271
CHF17_RS04055,4798,7731,5459,3536
CHF17_RS04060,9211,16927,10913,8376
CHF17_RS04065,8773,17250,11423,7278
CHF17_RS04070,20754,43397,28200,17757
CHF17_RS04075,7543,13698,9278,8148
CHF17_RS04080,21529,44182,26890,22825
CHF17_RS04085,15427,28726,17528,10580
CHF17_RS04090,9609,16707,8586,7701
CHF17_RS04095,110,114,86,47
CHF17_RS04100,179,193,167,181
CHF17_RS04105,616,648,755,608
CHF17_RS04110,461,550,544,371
CHF17_RS04115,73,91,67,51
CHF17_RS04120,59,50,58,36
CHF17_RS04125,9,7,6,5
CHF17_RS04130,39,35,50,39
CHF17_RS04135,46,38,64,41
CHF17_RS04140,173,155,150,121
CHF17_RS04145,383,336,394,281
CHF17_RS04150,401,284,403,243
CHF17_RS04155,135,107,120,116
CHF17_RS04160,289,168,255,183
CHF17_RS04165,9515,6341,6515,4676
CHF17_RS04170,3086,2443,2467,2359
CHF17_RS04175,3084,1462,1414,1318
CHF17_RS04180,1569,784,667,1440
CHF17_RS04185,1496,873,828,2923
CHF17_RS04190,719,556,557,798
CHF17_RS04195,3989,2526,2398,1800
CHF17_RS04200,1030,1285,1242,751
CHF17_RS04205,935,1081,1149,912
CHF17_RS04210,51,37,38,28
CHF17_RS04215,83,88,67,65
CHF17_RS04220,1008,803,910,628
CHF17_RS04225,5387,3738,4156,4194
CHF17_RS04230,157,105,140,150
CHF17_RS04235,169,130,167,149
CHF17_RS04240,174,135,198,168
CHF17_RS04245,162,137,162,142
CHF17_RS04250,80,68,101,81
CHF17_RS04255,525,408,465,450
CHF17_RS04260,12534,9663,10994,9589
CHF17_RS04265,15034,12761,10963,10146
CHF17_RS04270,7909,5533,6274,6524
CHF17_RS04275,16548,11492,12850,10835
CHF17_RS04280,23917,18650,18465,16453
CHF17_RS04285,51866,49323,45096,31325
CHF17_RS04290,263,291,277,212
CHF17_RS04295,3023,2020,2453,2375
CHF17_RS04300,16179,7206,8178,6224
CHF17_RS04305,10562,12386,7087,5816
CHF17_RS04310,8976,11420,6103,5830
CHF17_RS04315,11573,14141,7777,6330
CHF17_RS04320,11377,10991,6417,5103
CHF17_RS04325,10050,7234,7029,6550
CHF17_RS04330,23585,19203,17210,13365
CHF17_RS04335,11802,10494,8421,8001
CHF17_RS04340,4854,4764,3819,3339
CHF17_RS04345,1710,1464,1444,1404
CHF17_RS04350,21038,19283,16550,14283
CHF17_RS04355,4293,2297,2401,3182
CHF17_RS04360,5800,3943,4534,4098
CHF17_RS04365,6586,5410,6668,8271
CHF17_RS04370,819,818,584,501
CHF17_RS04375,25621,21286,18657,11991
CHF17_RS04380,28550,23890,23181,12332
CHF17_RS04385,2424,1687,1389,1122
CHF17_RS04390,322,209,184,204
CHF17_RS04395,14406,14381,13210,8261
CHF17_RS04400,3005,2710,2597,2310
CHF17_RS04405,6602,4506,2896,4202
CHF17_RS04410,5864,3923,2365,3877
CHF17_RS04415,13335,8759,9767,10602
CHF17_RS04420,13880,11271,11450,10967
CHF17_RS04425,8554,6513,6389,4382
CHF17_RS04430,14459,11994,11023,7795
CHF17_RS04435,16933,18327,12584,10934
CHF17_RS04440,5371,5004,4564,4408
CHF17_RS04445,15373,14784,12632,11836
CHF17_RS04450,2722,2298,1953,1708
CHF17_RS04455,1334,854,831,680
CHF17_RS04460,11575,10209,10522,8588
CHF17_RS04465,5210,714,1264,2138
CHF17_RS04470,2995,379,767,994
CHF17_RS04475,8316,937,2129,3308
CHF17_RS04480,4006,505,943,1161
CHF17_RS04485,53784,44916,49219,38885
CHF17_RS04490,4996,4511,5050,5153
CHF17_RS04495,7413,6373,5641,4651
CHF17_RS04500,4882,4138,3640,2377
CHF17_RS04505,795,604,556,514
CHF17_RS04510,13811,13480,10406,7196
CHF17_RS04515,1060,717,548,893
CHF17_RS04520,6313,5397,5081,6186
CHF17_RS04525,38000,31763,33195,23437
CHF17_RS04530,86844,77855,72543,59246
CHF17_RS04535,7888,7319,6155,4546
CHF17_RS04540,867940,799118,768387,586917
CHF17_RS04545,111895,108531,96231,96723
CHF17_RS04550,147304,141709,128252,117039
CHF17_RS04555,30084,26275,25771,17824
CHF17_RS04560,9446,8226,7757,5390
CHF17_RS04565,27198,26071,22274,17879
CHF17_RS04570,21957,14098,13826,13640
CHF17_RS04575,6942,4061,4320,8793
CHF17_RS04580,9134,13678,7958,5427
CHF17_RS04585,5236,8402,3822,2328
CHF17_RS04590,14896,14503,12421,10243
CHF17_RS04595,1758,846,884,1333
CHF17_RS04600,1003,701,727,445
CHF17_RS04605,1499,1010,1042,592
CHF17_RS04610,2284,1625,1454,1045
CHF17_RS04615,145741,160247,95465,92443
CHF17_RS04620,1715,1380,1218,1023
CHF17_RS04625,3865,3116,2962,1950
CHF17_RS04630,6447,5538,4245,3992
CHF17_RS04635,741,745,532,603
CHF17_RS04640,326,316,303,227
CHF17_RS04645,1014,567,572,477
CHF17_RS04650,3471,2090,2270,1910
CHF17_RS04655,3288,2266,2842,1555
CHF17_RS04660,653,368,402,526
CHF17_RS04665,6335,3908,3679,2682
CHF17_RS04670,29357,17470,16791,22706
CHF17_RS04675,773,722,706,268
CHF17_RS04680,480,544,410,223
CHF17_RS04685,1350,1040,1109,1010
CHF17_RS04690,2755,2439,2123,1550
CHF17_RS04695,129,100,122,117
CHF17_RS04700,308,356,332,349
CHF17_RS04705,4359,3259,2844,2412
CHF17_RS04710,5248,5022,4289,3005
CHF17_RS04715,6745,4932,5200,3433
CHF17_RS04720,638,267,262,775
CHF17_RS04725,3455,822,2145,1744
CHF17_RS04730,1391,833,1031,971
CHF17_RS04735,953,522,471,656
CHF17_RS04740,142,100,86,86
CHF17_RS04745,8203,6319,6491,3905
CHF17_RS04750,622,474,492,346
CHF17_RS04755,31881,24958,25715,19882
CHF17_RS04760,2462,2325,1920,1738
CHF17_RS04765,3776,3997,3348,2663
CHF17_RS04770,43630,41353,38624,32980
CHF17_RS04775,4957,5218,4743,6532
CHF17_RS04780,21996,29067,27195,24646
CHF17_RS04785,2175,2660,2130,2271
CHF17_RS04790,3651,3024,2997,2515
CHF17_RS04795,145,49,77,122
CHF17_RS04800,248,71,124,154
CHF17_RS04805,197,81,112,146
CHF17_RS04810,595,172,276,328
CHF17_RS04815,3631,936,1102,2431
CHF17_RS04820,27845,23777,21339,14916
CHF17_RS04825,73123,55373,54895,37877
CHF17_RS04830,8367,4330,5321,4527
CHF17_RS04835,23967,18820,15907,17606
CHF17_RS04840,342176,324337,302148,319810
CHF17_RS04845,87881,74030,68423,86233
CHF17_RS04850,7569,7108,7683,6577
CHF17_RS04855,18040,9876,11164,6442
CHF17_RS04860,6527,5764,6245,6577
CHF17_RS04865,5062,3610,3595,3716
CHF17_RS04870,38465,29666,26853,20078
CHF17_RS04875,1505,1185,881,1049
CHF17_RS04880,8283,6304,5722,5741
CHF17_RS04885,34387,32230,27027,28326
CHF17_RS04890,2846,2771,2329,3036
CHF17_RS04895,714,961,429,133
CHF17_RS04900,482,646,305,92
CHF17_RS04905,59,28,19,65
CHF17_RS04910,58,30,24,73
CHF17_RS04915,142,53,50,101
CHF17_RS04920,65,26,29,50
CHF17_RS04925,73,28,33,56
CHF17_RS04930,70,43,49,91
CHF17_RS04935,63,49,37,111
CHF17_RS04940,58,34,33,65
CHF17_RS04945,4702,5945,4537,4158
CHF17_RS04950,2540,1158,1298,1532
CHF17_RS04955,6693,3881,4757,4146
CHF17_RS04960,5390,4227,4648,4066
CHF17_RS04965,8601,7737,7693,4500
CHF17_RS04970,1310,1002,945,600
CHF17_RS04975,12083,15576,10685,6708
CHF17_RS04980,9753,6035,6012,5515
CHF17_RS04985,4353,3148,3489,3666
CHF17_RS04990,12655,10810,10992,11262
CHF17_RS04995,3110,1599,2748,4036
CHF17_RS05000,2549,1579,2874,2870
CHF17_RS05005,1970,1252,2318,2581
CHF17_RS05010,2455,1803,2940,2818
CHF17_RS05015,1258,922,768,1865
CHF17_RS05020,57977,70837,74860,60799
CHF17_RS05025,42311,46280,52718,46441
CHF17_RS05030,37883,40404,46066,45721
CHF17_RS05035,76963,87679,113323,109901
CHF17_RS05040,54873,64370,79973,61821
CHF17_RS05045,90291,105109,112248,133603
CHF17_RS05050,33474,40755,40017,41165
CHF17_RS05055,2208,2821,2663,4651
CHF17_RS05060,17996,12504,14044,12867
CHF17_RS05065,2921,2150,2096,2708
CHF17_RS05070,4726,4412,3680,2569
CHF17_RS05075,11169,11681,11417,10331
CHF17_RS05080,5609,6407,6260,4463
CHF17_RS05085,22694,24610,24188,18116
CHF17_RS05090,1222,681,708,925
CHF17_RS05095,6906,6332,6592,3880
CHF17_RS05100,16288,17397,14870,9901
CHF17_RS05105,7035,7353,5552,4394
CHF17_RS05110,9291,7959,7015,6502
CHF17_RS05115,7326,5085,5128,3522
CHF17_RS05120,16249,9553,11109,13090
CHF17_RS05125,17882,11984,12897,17746
CHF17_RS05130,12099,11881,11210,12964
CHF17_RS05135,34623,31387,27228,32804
CHF17_RS05140,5877,5643,4734,4164
CHF17_RS05145,309,307,242,395
CHF17_RS05150,792,813,583,483
CHF17_RS05155,11639,9354,8133,6908
CHF17_RS05160,16719,13208,13631,9494
CHF17_RS05165,10484,8101,6858,6081
CHF17_RS05170,13536,11518,9700,6784
CHF17_RS05175,21375,20143,18288,19260
CHF17_RS05180,1400,1234,1120,1030
CHF17_RS05185,636,427,478,494
CHF17_RS05190,4889,3762,4130,2568
CHF17_RS05195,3304,2381,2440,1669
CHF17_RS05200,5111,3960,3400,5026
CHF17_RS05205,5797,5219,4570,3311
CHF17_RS05210,6254,7190,6571,4592
CHF17_RS05215,1610,1959,1636,1091
CHF17_RS05220,346,331,266,399
CHF17_RS05225,960,953,818,975
CHF17_RS05230,255,207,156,134
CHF17_RS05235,15387,8302,10457,7917
CHF17_RS05240,25422,23288,19718,16774
CHF17_RS05245,2462,3406,2259,1480
CHF17_RS05250,3652,2709,2607,1916
CHF17_RS05255,2755,1837,1681,2211
CHF17_RS05260,3728,2548,2569,2726
CHF17_RS05265,2238,1700,1774,1426
CHF17_RS05270,2536,2612,2709,1384
CHF17_RS05275,4700,1955,1568,2704
CHF17_RS05280,252911,256051,241636,222649
CHF17_RS05285,6029,5248,4251,3802
CHF17_RS05290,36301,29207,26237,21061
CHF17_RS05295,34786,24576,22655,18513
CHF17_RS05300,20716,13962,12704,10804
CHF17_RS05305,9731,8309,8928,6798
CHF17_RS05310,88659,71087,81186,104544
CHF17_RS05315,294671,251847,265575,236383
CHF17_RS05320,12146,6239,6529,5719
CHF17_RS05325,3094,1784,1562,1711
CHF17_RS05330,11385,46165,8526,8974
CHF17_RS05335,493,882,252,915
CHF17_RS05340,4845,6020,4106,2547
CHF17_RS05345,7956,10163,6476,4363
CHF17_RS05350,11929,14974,9568,4693
CHF17_RS05355,23638,18741,12604,16209
CHF17_RS05360,6809,4439,4479,3658
CHF17_RS05365,1670,1495,1571,1452
CHF17_RS05370,3053,2155,2125,1952
CHF17_RS05375,46546,32736,45314,59637
CHF17_RS05380,24177,20143,22201,25885
CHF17_RS05385,24029,23487,21726,28710
CHF17_RS05390,26169,24592,22674,29007
CHF17_RS05395,53955,53884,37110,30847
CHF17_RS05400,148630,162714,154144,110019
CHF17_RS05405,27800,25096,22267,21344
CHF17_RS05410,16676,17604,13496,11676
CHF17_RS05415,8478,9258,6384,6501
CHF17_RS05420,11051,9639,7264,5538
CHF17_RS05425,5000,5404,3813,2288
CHF17_RS05430,46177,44467,42408,32564
CHF17_RS05435,2903,1747,2015,3026
CHF17_RS05440,23674,18543,18540,18001
CHF17_RS05445,3820,3021,2967,1924
CHF17_RS05450,6629,5731,5609,4163
CHF17_RS05455,19140,13070,12816,7357
CHF17_RS05460,472,398,430,198
CHF17_RS05465,1282,805,861,772
CHF17_RS05470,5626,4413,4300,3000
CHF17_RS05475,3774,2711,2601,2254
CHF17_RS05480,7690,5956,6044,3283
CHF17_RS05485,5594,2921,2655,1791
CHF17_RS05490,1675,1446,1449,854
CHF17_RS05495,2380,1973,1950,1431
CHF17_RS05500,2593,2099,2233,1191
CHF17_RS05505,29261,28477,24119,23521
CHF17_RS05510,6575,5775,5121,2978
CHF17_RS05515,19230,16342,16474,7655
CHF17_RS05520,8140,6145,6131,3919
CHF17_RS05525,75919,73542,68443,51047
CHF17_RS05530,8008,8661,6221,6003
CHF17_RS05535,9417,11114,8084,5857
CHF17_RS05540,8675,11408,8249,5117
CHF17_RS05545,7945,9346,7828,5305
CHF17_RS05550,8242,9517,7910,4273
CHF17_RS05555,6863,7570,6306,3814
CHF17_RS05560,4748,3168,3222,3303
CHF17_RS05565,9035,6747,6847,8808
CHF17_RS05570,3919,2812,2977,3665
CHF17_RS05575,10951,9628,10524,6238
CHF17_RS05580,7612,5516,5241,3470
CHF17_RS05585,7136,5746,5404,3735
CHF17_RS05590,5896,4483,4415,2998
CHF17_RS05595,18986,11950,13334,10030
CHF17_RS05600,9276,4393,5243,5392
CHF17_RS05605,15114,14547,12203,14646
CHF17_RS05610,4604,3933,3840,2159
CHF17_RS05615,1400,1043,1036,1061
CHF17_RS05620,24365,19709,21574,16427
CHF17_RS05625,123,80,97,75
CHF17_RS05630,10329,9922,7499,4330
CHF17_RS05635,6402,6609,5104,1960
CHF17_RS05640,8249,8970,7859,2038
CHF17_RS05645,7989,8248,6075,3114
CHF17_RS05650,5072,4241,4186,4117
CHF17_RS05655,9555,7726,7170,5193
CHF17_RS05660,10390,7898,7835,5549
CHF17_RS05665,1317,1071,898,950
CHF17_RS05670,2732,4905,2126,3896
CHF17_RS05675,1714,1445,1209,903
CHF17_RS05680,4804,3457,2910,2169
CHF17_RS05685,465,300,503,591
CHF17_RS05690,647,478,681,918
CHF17_RS05695,243,134,229,624
CHF17_RS05700,869,591,1157,705
CHF17_RS05705,1688,1334,2090,1675
CHF17_RS05710,543,415,976,604
CHF17_RS05715,1237,796,1216,2280
CHF17_RS05720,2225,1520,2661,2898
CHF17_RS05725,5703,1446,10861,13605
CHF17_RS05730,10074,2381,17433,24404
CHF17_RS05735,13847,3126,30038,16736
CHF17_RS05740,53820,6798,132659,144519
CHF17_RS05745,22098,1516,48586,41996
CHF17_RS05750,4150,220,8358,7594
CHF17_RS05755,9747,477,21091,12866
CHF17_RS05760,53529,3261,106608,103381
CHF17_RS05765,9505,664,18138,18365
CHF17_RS05770,9328,604,18263,11374
CHF17_RS05775,90452,1238,174909,214564
CHF17_RS05780,29898,270,53397,61741
CHF17_RS05785,31121,223,53699,58120
CHF17_RS05790,87918,2670,105694,130504
CHF17_RS05795,40228,943,42089,68439
CHF17_RS05800,52964,1131,58620,95746
CHF17_RS05805,16140,13243,13490,9164
CHF17_RS05810,20022,14397,15601,9629
CHF17_RS05815,9393,5575,5720,7166
CHF17_RS05820,3645,2205,2523,2675
CHF17_RS05825,130,49,62,68
CHF17_RS05830,12533,9694,10072,11449
CHF17_RS05835,30588,24106,30740,39644
CHF17_RS05840,3456,3085,3732,2830
CHF17_RS05845,3534,3324,3399,2701
CHF17_RS05850,3804,4113,4224,2897
CHF17_RS05855,1668,1547,1447,1491
CHF17_RS05860,7492,7144,7727,6054
CHF17_RS05865,6979,6200,6873,5820
CHF17_RS05870,4640,4659,4632,4513
CHF17_RS05875,1589,1192,1444,1103
CHF17_RS05880,1952,1634,2134,1023
CHF17_RS05885,8815,6136,8072,6461
CHF17_RS05890,41927,32350,35324,36703
CHF17_RS05895,1919,1693,1769,977
CHF17_RS05900,8030,9531,6711,5970
CHF17_RS05905,6463,7392,5441,4199
CHF17_RS05910,4508,4392,4048,3593
CHF17_RS05915,11104,11458,12015,5661
CHF17_RS05920,11842,10624,12234,8916
CHF17_RS05925,3495,3021,3593,3565
CHF17_RS05930,5825,4474,5385,4871
CHF17_RS05935,8837,6017,7465,6879
CHF17_RS05940,7119,4300,4772,3658
CHF17_RS05945,689,269,236,460
CHF17_RS05950,3633,3887,3655,2921
CHF17_RS05955,3097,3406,3376,1838
CHF17_RS05960,5544,6314,5905,3815
CHF17_RS05965,1348,1670,1373,899
CHF17_RS05970,6889,13667,4841,6730
CHF17_RS05975,2608,4428,1885,2818
CHF17_RS05980,52777,28953,52733,63006
CHF17_RS05985,2907,2332,3322,2224
CHF17_RS05990,3368,1488,1547,926
CHF17_RS05995,31716,30169,24654,21329
CHF17_RS06000,1291,743,980,1372
CHF17_RS06005,24607,20441,18497,21357
CHF17_RS06010,4773,4383,4057,3621
CHF17_RS06015,5007,4403,4100,3716
CHF17_RS06020,4867,4633,4283,3567
CHF17_RS06025,3133,2080,2520,2000
CHF17_RS06030,25040,17738,21347,21354
CHF17_RS06035,33286,24470,29567,24277
CHF17_RS06040,13378,11003,13961,6674
CHF17_RS06045,5244,4558,4321,3805
CHF17_RS06050,2022,2151,1984,1546
CHF17_RS06055,6716,5934,6338,5572
CHF17_RS06060,1963,1329,1471,1287
CHF17_RS06065,5370,2984,3163,2678
CHF17_RS06070,4714,2791,2809,3223
CHF17_RS06075,2,2,2,0
CHF17_RS06080,1242,1014,1038,493
CHF17_RS06085,13045,12032,11547,9758
CHF17_RS06090,6528,8397,5672,4770
CHF17_RS06095,4796,6037,4087,2927
CHF17_RS06100,6842,8878,6415,4450
CHF17_RS06105,7941,9650,7059,5810
CHF17_RS06110,4288,4680,3753,4932
CHF17_RS06115,4388,4448,3333,3961
CHF17_RS06120,3698,3955,3479,2439
CHF17_RS06125,6662,6780,6049,6636
CHF17_RS06130,3895,4305,4112,3568
CHF17_RS06135,10026,9627,9820,8272
CHF17_RS06140,6466,6214,6897,4419
CHF17_RS06145,5767,5114,5617,5105
CHF17_RS06150,4496,4042,5060,4422
CHF17_RS06155,9553,5318,5468,3502
CHF17_RS06160,36315,26163,27781,23190
CHF17_RS06165,12128,9963,9170,8310
CHF17_RS06170,5551,4576,4238,3505
CHF17_RS06175,18978,10091,11546,13953
CHF17_RS06180,1470,1317,1282,716
CHF17_RS06185,184,90,89,68
CHF17_RS06190,1258,1146,946,547
CHF17_RS06195,7703,3798,4091,3804
CHF17_RS06200,2894,2400,2082,2539
CHF17_RS06205,6735,6243,5112,5041
CHF17_RS06210,13730,13247,11076,11671
CHF17_RS06215,24045,16781,18292,11709
CHF17_RS06220,9787,5678,6433,3679
CHF17_RS06225,17680,10098,12804,6126
CHF17_RS06230,6236,3193,4033,1846
CHF17_RS06235,15453,6357,8807,4068
CHF17_RS06240,7514,2676,3906,2026
CHF17_RS06245,11460,3750,5567,2707
CHF17_RS06250,14514,19483,12981,8893
CHF17_RS06255,1625,530,1415,2713
CHF17_RS06260,110596,4134,105976,146682
CHF17_RS06265,1123,1236,889,1047
CHF17_RS06270,7377,5530,5551,2841
CHF17_RS06275,2373,1775,1329,1052
CHF17_RS06280,6938,5366,4987,3875
CHF17_RS06285,15949,9210,9258,5147
CHF17_RS06290,805,351,291,284
CHF17_RS06295,296239,306102,258640,267446
CHF17_RS06300,3674,2966,2175,3174
CHF17_RS06305,529,502,445,709
CHF17_RS06310,3857,2583,2743,3222
CHF17_RS06315,41109,35400,36106,23246
CHF17_RS06320,18061,15697,17730,13533
CHF17_RS06325,10554,8594,10559,11096
CHF17_RS06330,6873,4673,4200,4469
CHF17_RS06335,6178,3814,3595,3419
CHF17_RS06340,15392,16112,11728,10282
CHF17_RS06345,28232,32511,21836,20217
CHF17_RS06350,14364,17835,13079,9721
CHF17_RS06355,24366,29498,23147,17491
CHF17_RS06360,21603,20950,17405,15772
CHF17_RS06365,27405,30969,22772,17624
CHF17_RS06370,26532,27776,22577,13553
CHF17_RS06375,24373,24769,20738,10253
CHF17_RS06380,27937,30094,23885,15985
CHF17_RS06385,25622,28595,25885,10099
CHF17_RS06390,9208,9180,6912,10051
CHF17_RS06395,12927,13609,10764,9994
CHF17_RS06400,46168,48809,41901,23226
CHF17_RS06405,31962,30293,25503,23036
CHF17_RS06410,33655,30051,27421,16141
CHF17_RS06415,20355,15695,15657,12652
CHF17_RS06420,58654,53422,50272,29964
CHF17_RS06425,2668,2447,1993,1546
CHF17_RS06430,1187,1180,989,1194
CHF17_RS06435,15011,14839,13704,10345
CHF17_RS06440,11498,11200,11071,9589
CHF17_RS06445,15382,16225,17905,10590
CHF17_RS06450,7264,6657,7542,8414
CHF17_RS06455,3899,3521,4658,3091
CHF17_RS06460,9218,7680,9214,8130
CHF17_RS06465,3972,2681,3040,3709
CHF17_RS06470,12027,10945,9786,6805
CHF17_RS06475,5899,4857,4675,5307
CHF17_RS06480,27771,20255,19219,19289
CHF17_RS06485,2971,2211,1842,1946
CHF17_RS06490,2870,2374,1809,2057
CHF17_RS06495,2696,2354,1830,1751
CHF17_RS06500,6554,5571,5467,3052
CHF17_RS06505,21423,17450,18764,18792
CHF17_RS06510,42944,32110,40928,39587
CHF17_RS06515,12144,10609,10734,9156
CHF17_RS06520,14011,11142,12905,9429
CHF17_RS06525,4744,3147,3698,3208
CHF17_RS06530,5069,3222,3475,3532
CHF17_RS06535,7568,6367,6666,4706
CHF17_RS06540,14242,14672,15788,18459
CHF17_RS06545,4119,4149,5736,7495
CHF17_RS06550,11222,11792,14322,12642
CHF17_RS06555,4953,3831,4634,5571
CHF17_RS06560,6605,5426,5968,4770
CHF17_RS06565,4916,4099,4511,4089
CHF17_RS06570,4859,4205,3166,2783
CHF17_RS06575,10175,11375,8180,5882
CHF17_RS06580,9701,6257,6508,8269
CHF17_RS06585,82,45,40,60
CHF17_RS06590,10110,11784,7758,5834
CHF17_RS06595,6655,7164,4962,4352
CHF17_RS06600,7628,7531,5821,5199
CHF17_RS06605,5811,5465,4681,2303
CHF17_RS06610,9991,8382,7351,4645
CHF17_RS06615,2587,1525,1489,1497
CHF17_RS06620,10959,4017,3389,4809
CHF17_RS06625,10962,6324,5601,6704
CHF17_RS06630,458,536,384,269
CHF17_RS06635,3871,3521,3758,4081
CHF17_RS06640,4029,3819,4481,4433
CHF17_RS06645,15598,12282,15547,26003
CHF17_RS06650,12842,12220,13033,8392
CHF17_RS06655,9904,8268,9460,5485
CHF17_RS06660,1473,1363,1180,1534
CHF17_RS06665,8148,5115,5187,3065
CHF17_RS06670,4036,2640,3433,2353
CHF17_RS06675,8011,5865,5326,5014
CHF17_RS06680,11396,6370,6177,6284
