Synonym,Expression.TH4527,Expression.TH5031
SPD_2041,441,524
SPD_1775,69,82
SPD_1667,89,107
SPD_0570,9,11
SPD_1889,14,16
SPD_1650,203,241
SPD_1792,80,95
SPD_1763,78,93
SPD_0371,48,57
SPD_1863,3078,3646
SPD_1688,53,63
SPD_1618,53,64
SPD_1680,11,13
SPD_1192,13,15
SPD_1983,13,15
SPD_1405,29,35
SPD_1297,259,306
SPD_1903,50,59
SPD_0042,28,34
SPD_0105,3,4
SPD_0425,1,2
SPD_0428,1,2
SPD_1175,2,2
SPD_1301,5,5
SPD_1386,25,29
SPD_1511,50,59
SPD_1568,10,12
SPD_1633,3,4
SPD_1966,1,2
SPD_0183,69,82
SPD_0245,118,139
SPD_1744,1976,2323
SPD_1820,282,332
SPD_0315,424,499
SPD_0357,48,56
SPD_1734,14,16
SPD_2028,338,397
SPD_0386,477,558
SPD_1822,35,41
SPD_0322,145,170
SPD_0434,33,39
SPD_1228,116,136
SPD_1779,61,72
SPD_1895,42,50
SPD_0333,90,105
SPD_0129,101,118
SPD_1950,32,37
SPD_1477,104,121
SPD_1933,81,94
SPD_1154,1277,1493
SPD_1619,191,223
SPD_1308,45,52
SPD_2002,49,57
SPD_0195,687,802
SPD_0244,150,175
SPD_2018,16,18
SPD_1527,834,973
SPD_1193,36,42
SPD_1603,33,40
SPD_1976,219,255
SPD_0006,7,8
SPD_1916,3,4
SPD_2049,22,25
SPD_1657,90,104
SPD_0376,38,45
SPD_0011,22,26
SPD_0396,63,73
SPD_1575,41,47
SPD_2067,19,22
SPD_1623,68,79
SPD_0390,306,355
SPD_1296,168,194
SPD_1215,9,11
SPD_1790,436,506
SPD_0387,447,518
SPD_0101,27,31
SPD_1809,17,20
SPD_0321,165,191
SPD_2031,65,74
SPD_0134,45,52
SPD_1353,4,4
SPD_1425,39,45
SPD_1967,15,18
SPD_1974,6,6
SPD_1478,141,164
SPD_0197,778,899
SPD_1482,26,29
SPD_0389,334,385
SPD_1364,31,37
SPD_0366,44,51
SPD_1768,42,48
SPD_1642,68,78
SPD_1512,117,134
SPD_1901,158,181
SPD_2046,24,28
SPD_1189,369,424
SPD_1940,56,65
SPD_1801,10,11
SPD_1875,18,21
SPD_1312,24,28
SPD_1506,81,93
SPD_1740,2624,3013
SPD_1552,20,23
SPD_0275,788,905
SPD_0972,6,7
SPD_1785,12,14
SPD_0329,171,197
SPD_0002,17,19
SPD_0013,94,108
SPD_1385,35,41
SPD_1504,4,5
SPD_0030,192,219
SPD_1218,48,55
SPD_2052,40,46
SPD_0253,396,453
SPD_0130,308,351
SPD_0001,107,122
SPD_1208,32,36
SPD_1519,75,85
SPD_0012,70,81
SPD_0336,236,269
SPD_1101,15,17
SPD_1248,15,17
SPD_1924,75,86
SPD_1938,24,27
SPD_0474,331,376
SPD_0506,11,12
SPD_0699,11,12
SPD_0844,405,461
SPD_0157,15,17
SPD_1909,88,101
SPD_1877,42,48
SPD_0385,323,368
SPD_0124,2,2
SPD_0223,4,5
SPD_0292,9,10
SPD_1013,11,12
SPD_1495,16,18
SPD_2047,26,30
SPD_2003,77,88
SPD_1564,18,20
SPD_0683,269,306
SPD_1436,196,223
SPD_1662,438,496
SPD_0135,44,50
SPD_1559,51,58
SPD_1256,9,10
SPD_0684,92,105
SPD_0102,32,37
SPD_0185,16,18
SPD_1221,44,50
SPD_0435,26,29
SPD_0274,1331,1501
SPD_2004,64,72
SPD_1668,116,131
SPD_1670,86,97
SPD_0196,642,724
SPD_1351,59,67
SPD_0398,78,88
SPD_0251,644,724
SPD_2032,109,124
SPD_1878,26,30
SPD_1885,37,44
SPD_1284,88,97
SPD_2051,34,38
SPD_1102,14,16
SPD_1475,53,60
SPD_1335,95,107
SPD_2063,366,412
SPD_1622,91,102
SPD_0600,25,27
SPD_1819,189,212
SPD_0324,95,106
SPD_0004,136,153
SPD_1203,29,33
SPD_1229,102,115
SPD_1383,90,101
SPD_0470,38,42
SPD_0572,2,2
SPD_1279,9,11
SPD_1701,2,3
SPD_0330,300,337
SPD_0382,191,214
SPD_0307,28,31
SPD_1345,56,63
SPD_0148,21,23
SPD_0984,20,23
SPD_0344,207,231
SPD_0306,46,52
SPD_0477,93,105
SPD_1329,29,32
SPD_0079,47,53
SPD_1204,36,40
SPD_1384,73,82
SPD_1849,65,73
SPD_1444,23,26
SPD_1424,71,79
SPD_0198,513,574
SPD_0305,61,68
SPD_0388,387,432
SPD_0348,40,45
SPD_0594,90,100
SPD_1387,71,78
SPD_1687,30,33
SPD_1672,97,108
SPD_1625,82,92
SPD_0463,55,61
SPD_0418,19,21
SPD_0201,623,695
SPD_0520,3,3
SPD_0863,5,6
SPD_1109,3,3
SPD_1176,2,3
SPD_2010,3,3
SPD_0136,39,43
SPD_0214,33,37
SPD_1389,127,141
SPD_0327,122,135
SPD_1479,168,187
SPD_0393,92,101
SPD_1388,71,79
SPD_1014,51,57
SPD_0564,8,9
SPD_1472,8,9
SPD_1780,34,38
SPD_0204,478,527
SPD_1546,112,123
SPD_0373,12,13
SPD_1300,12,13
SPD_1205,33,36
SPD_1581,17,19
SPD_1362,39,43
SPD_0155,21,23
SPD_0199,617,682
SPD_0040,84,94
SPD_1075,12,13
SPD_1923,201,221
SPD_0483,21,23
SPD_0573,3,3
SPD_1376,3,3
SPD_1635,12,13
SPD_2012,12,13
SPD_0252,633,698
SPD_0238,65,72
SPD_0383,274,301
SPD_1636,44,49
SPD_1276,9,10
SPD_1107,217,238
SPD_0116,13,14
SPD_0119,6,7
SPD_0513,64,71
SPD_1771,61,67
SPD_1061,29,32
SPD_1644,72,79
SPD_0587,19,21
SPD_1905,59,65
SPD_1043,33,36
SPD_1718,421,460
SPD_1171,3,3
SPD_1540,20,22
SPD_2058,3,3
SPD_1717,81,89
SPD_1406,48,52
SPD_1457,27,29
SPD_0421,17,18
SPD_1761,72,79
SPD_1103,13,15
SPD_1835,13,15
SPD_0412,17,19
SPD_1483,31,34
SPD_2064,819,894
SPD_1380,423,462
SPD_0384,187,204
SPD_1485,17,19
SPD_0203,919,1001
SPD_1370,2158,2352
SPD_0476,164,180
SPD_0172,32,35
SPD_1817,102,109
SPD_0063,22,23
SPD_1076,21,23
SPD_1671,166,181
SPD_0178,1415,1540
SPD_0147,29,31
SPD_0176,57,63
SPD_0118,7,8
SPD_0123,3,4
SPD_0225,3,4
SPD_0372,21,24
SPD_0926,3,4
SPD_1459,36,40
SPD_1753,3,4
SPD_0077,106,116
SPD_1714,103,112
SPD_0159,586,634
SPD_1532,26,28
SPD_1538,22,24
SPD_1230,150,163
SPD_1791,71,77
SPD_2016,94,102
SPD_1365,64,70
SPD_1535,11,12
SPD_1660,150,162
SPD_0328,162,176
SPD_0539,19,21
SPD_0698,19,21
SPD_0349,27,29
SPD_2020,31,34
SPD_0515,47,51
SPD_1547,106,114
SPD_1587,4,4
SPD_1561,347,376
SPD_1528,1489,1610
SPD_0200,574,621
SPD_1776,148,160
SPD_1769,329,356
SPD_0417,56,61
SPD_1238,56,61
SPD_1417,44,48
SPD_0422,20,21
SPD_1962,45,48
SPD_2044,33,35
SPD_1795,28,31
SPD_1131,221,239
SPD_1755,12,13
SPD_0286,254,274
SPD_0602,8,9
SPD_1493,4,4
SPD_0323,68,74
SPD_0401,1591,1709
SPD_1713,43,46
SPD_1520,64,70
SPD_0405,8,9
SPD_0099,92,99
SPD_0270,39,42
SPD_0569,13,14
SPD_1997,44,47
SPD_1247,49,52
SPD_1390,44,48
SPD_0496,4,5
SPD_0556,99,107
SPD_1172,99,107
SPD_1925,118,127
SPD_0051,13,14
SPD_1334,69,74
SPD_1338,37,39
SPD_0180,403,432
SPD_0517,75,81
SPD_0170,57,60
SPD_0067,5,5
SPD_0409,9,10
SPD_1167,4,5
SPD_1349,116,124
SPD_2037,24,26
SPD_1439,477,510
SPD_0338,9,10
SPD_1371,55,59
SPD_1147,30,32
SPD_1480,231,247
SPD_1268,10,10
SPD_1416,40,43
SPD_1634,5,5
SPD_0194,726,773
SPD_0339,758,808
SPD_1239,56,60
SPD_1124,36,38
SPD_1850,77,82
SPD_1565,300,319
SPD_1468,388,414
SPD_0668,52,55
SPD_1198,16,16
SPD_1649,285,303
SPD_1233,21,22
SPD_1796,21,22
SPD_0107,27,28
SPD_0444,5,5
SPD_0523,5,5
SPD_1802,11,11
SPD_2057,32,34
SPD_1563,32,34
SPD_0429,16,17
SPD_0811,11,11
SPD_1697,16,17
SPD_2023,105,112
SPD_0586,22,23
SPD_1346,197,209
SPD_0407,5,6
SPD_0635,5,5
SPD_1130,5,6
SPD_1781,50,53
SPD_0023,663,702
SPD_0514,45,47
SPD_0165,39,42
SPD_1438,318,337
SPD_0777,28,30
SPD_0439,40,42
SPD_1669,115,121
SPD_1079,11,12
SPD_1062,29,30
SPD_1473,82,87
SPD_0970,17,19
SPD_1128,11,12
SPD_0024,829,877
SPD_0326,142,151
SPD_1413,102,108
SPD_1944,18,19
SPD_2005,153,162
SPD_0041,49,52
SPD_0111,6,6
SPD_0601,12,13
SPD_0239,24,26
SPD_1411,57,60
SPD_0347,52,54
SPD_0411,19,20
SPD_0490,32,34
SPD_0033,309,324
SPD_0648,13,13
SPD_1569,132,140
SPD_0911,20,21
SPD_1685,27,28
SPD_1291,54,56
SPD_1467,20,21
SPD_0179,244,257
SPD_0397,109,114
SPD_1328,27,28
SPD_0325,61,65
SPD_1231,213,224
SPD_0446,27,29
SPD_1786,13,14
SPD_1799,13,14
SPD_1258,105,110
SPD_0086,154,161
SPD_0901,7,7
SPD_0402,180,188
SPD_1251,29,30
SPD_0535,43,45
SPD_2054,51,53
SPD_0536,22,22
SPD_1260,7,7
SPD_0046,52,54
SPD_1704,22,23
SPD_1293,118,125
SPD_0207,693,726
SPD_2024,128,135
SPD_1624,91,95
SPD_1867,61,63
SPD_1487,70,73
SPD_1095,8,8
SPD_1645,63,66
SPD_0128,111,116
SPD_1836,95,99
SPD_1497,143,149
SPD_1577,917,956
SPD_0279,8,8
SPD_1705,8,8
SPD_1935,16,17
SPD_1764,123,129
SPD_0038,67,70
SPD_1906,25,26
SPD_1942,60,62
SPD_0453,8,9
SPD_1333,61,63
SPD_0912,18,19
SPD_1639,28,28
SPD_0240,9,9
SPD_1929,38,39
SPD_1423,47,49
SPD_1766,47,49
SPD_0193,1118,1162
SPD_0585,19,20
SPD_0637,30,31
SPD_1928,1186,1234
SPD_1638,356,369
SPD_0202,613,637
SPD_1869,31,32
SPD_1530,95,99
SPD_1378,74,77
SPD_0464,53,55
SPD_0726,32,33
SPD_1210,32,33
SPD_1104,21,22
SPD_0532,32,33
SPD_0370,254,262
SPD_1202,22,23
SPD_0403,166,173
SPD_1207,33,35
SPD_1914,11,11
SPD_1605,34,35
SPD_0550,1116,1157
SPD_1664,23,24
SPD_1290,59,61
SPD_0150,35,37
SPD_0555,98,101
SPD_0406,12,12
SPD_0007,311,322
SPD_0192,1253,1291
SPD_0076,102,105
SPD_0151,26,27
SPD_0551,414,427
SPD_0337,681,702
SPD_1661,223,230
SPD_0381,142,147
SPD_1115,14,14
SPD_1140,43,45
SPD_1347,44,45
SPD_0465,59,61
SPD_0653,15,15
SPD_1466,44,45
SPD_0512,63,64
SPD_0375,48,50
SPD_0747,16,16
SPD_1474,66,68
SPD_0334,158,161
SPD_1099,70,72
SPD_0355,52,54
SPD_0161,17,18
SPD_1234,36,37
SPD_1899,36,37
SPD_1521,75,76
SPD_1190,76,78
SPD_0208,575,591
SPD_2015,115,118
SPD_1931,59,61
SPD_1834,20,21
SPD_0473,675,692
SPD_0212,281,288
SPD_0443,66,67
SPD_1206,22,22
SPD_0259,160,162
SPD_0962,22,23
SPD_0579,48,49
SPD_1240,72,74
SPD_0258,176,181
SPD_0368,255,260
SPD_1537,77,79
SPD_0205,650,662
SPD_1919,110,111
SPD_0378,256,260
SPD_1663,29,30
SPD_0377,62,63
SPD_0577,96,98
SPD_0331,167,170
SPD_1360,908,925
SPD_0219,612,621
SPD_1765,38,39
SPD_1604,39,39
SPD_1139,355,362
SPD_1725,201,204
SPD_1132,409,416
SPD_0691,216,219
SPD_0146,46,47
SPD_0710,53,53
SPD_1646,144,145
SPD_2006,175,177
SPD_1402,357,361
SPD_0052,18,18
SPD_0061,101,102
SPD_0071,1,1
SPD_0138,3,3
SPD_0140,4,4
SPD_0149,2,2
SPD_0242,25,25
SPD_0277,1,1
SPD_0281,0,1
SPD_0282,0,0
SPD_0287,0,0
SPD_0295,0,0
SPD_0296,0,0
SPD_0304,78,80
SPD_0404,16,16
SPD_0454,6,6
SPD_0502,0,0
SPD_0504,6,6
SPD_0505,5,5
SPD_0518,9,9
SPD_0527,9,9
SPD_0562,10,10
SPD_0568,12,13
SPD_0596,2,2
SPD_0617,2,2
SPD_0634,11,11
SPD_0638,1,1
SPD_0647,10,11
SPD_0654,13,13
SPD_0690,0,0
SPD_0711,2,3
SPD_0734,0,0
SPD_0753,10,10
SPD_0774,29,29
SPD_0783,1,1
SPD_0785,3,3
SPD_0796,2,2
SPD_0806,1,1
SPD_0823,16,16
SPD_0829,1,1
SPD_0893,1,1
SPD_0897,1,1
SPD_0918,3,3
SPD_0919,1,1
SPD_0932,4,4
SPD_0938,0,0
SPD_0949,0,0
SPD_0956,2,2
SPD_0993,1,1
SPD_1000,2,3
SPD_1010,2,2
SPD_1022,100,102
SPD_1033,0,0
SPD_1047,1,1
SPD_1064,48,48
SPD_1070,4,4
SPD_1071,1,1
SPD_1083,41,42
SPD_1094,9,9
SPD_1108,2,2
SPD_1177,2,2
SPD_1183,0,0
SPD_1184,0,0
SPD_1261,1,1
SPD_1262,4,4
SPD_1264,0,0
SPD_1267,0,0
SPD_1273,0,0
SPD_1280,11,11
SPD_1281,19,19
SPD_1322,0,0
SPD_1342,4,4
SPD_1352,2,3
SPD_1395,71,71
SPD_1397,27,26
SPD_1435,40,40
SPD_1440,0,0
SPD_1465,32,33
SPD_1499,0,0
SPD_1502,1,1
SPD_1517,17,17
SPD_1576,46,46
SPD_1578,15,15
SPD_1612,0,0
SPD_1721,1,1
SPD_1754,17,17
SPD_1784,9,9
SPD_1807,7,7
SPD_1813,1,1
SPD_1841,1,1
SPD_1842,2,2
SPD_1843,1,0
SPD_1939,8,8
SPD_1952,12,13
SPD_1968,1,1
SPD_1981,8,8
SPD_1985,1,1
SPD_1986,2,2
SPD_1987,0,0
SPD_1989,0,1
SPD_1991,0,0
SPD_2007,14,14
SPD_2011,9,9
SPD_2060,6,6
SPD_0175,673,679
SPD_0732,689,694
SPD_1311,134,135
SPD_0064,1526,1537
SPD_0997,723,729
SPD_0395,129,131
SPD_1398,62,62
SPD_0211,568,570
SPD_0438,55,55
SPD_1241,53,53
SPD_0394,130,131
SPD_0868,83,83
SPD_0400,83,82
SPD_0213,357,358
SPD_0392,1176,1180
SPD_0182,425,426
SPD_0380,1614,1615
SPD_1209,27,27
SPD_0440,80,80
SPD_1331,26,25
SPD_0010,49,49
SPD_1337,72,72
SPD_0209,355,354
SPD_1580,46,47
SPD_0983,23,23
SPD_1523,614,614
SPD_0867,65,65
SPD_1144,129,129
SPD_1549,450,448
SPD_0057,20,20
SPD_0978,20,20
SPD_1458,82,82
SPD_1640,20,20
SPD_2025,99,99
SPD_0494,19,19
SPD_0721,18,18
SPD_0218,684,680
SPD_1787,36,35
SPD_1042,34,34
SPD_0027,118,117
SPD_0365,234,233
SPD_0391,618,610
SPD_1409,32,32
SPD_0987,142,141
SPD_1548,437,432
SPD_0582,637,634
SPD_1774,246,245
SPD_1484,91,90
SPD_1226,30,30
SPD_0482,75,74
SPD_1586,59,59
SPD_1865,73,72
SPD_0084,14,14
SPD_1489,14,14
SPD_1496,58,57
SPD_0544,14,14
SPD_0343,358,354
SPD_1113,14,14
SPD_1222,42,41
SPD_1956,181,180
SPD_0599,26,26
SPD_1943,261,257
SPD_1560,77,76
SPD_0173,38,38
SPD_1429,128,126
SPD_1829,50,49
SPD_0008,163,160
SPD_0127,450,444
SPD_0206,567,558
SPD_1998,47,46
SPD_0254,35,34
SPD_0269,47,45
SPD_0533,93,92
SPD_1274,113,111
SPD_1794,44,44
SPD_1142,43,42
SPD_1096,21,21
SPD_0769,69141,67925
SPD_0525,30,29
SPD_0864,10,10
SPD_1403,171,168
SPD_1541,90,88
SPD_0054,20,19
SPD_0066,9,9
SPD_0591,10,9
SPD_0145,28,28
SPD_0644,38,37
SPD_1194,38,38
SPD_0450,9,9
SPD_0706,19,18
SPD_1463,228,223
SPD_0669,27,27
SPD_1343,9,9
SPD_1367,106,104
SPD_1285,70,69
SPD_1093,43,43
SPD_1120,69,68
SPD_1868,172,168
SPD_0285,8,8
SPD_0921,8,8
SPD_0379,4260,4159
SPD_1391,58,57
SPD_0656,16,16
SPD_1295,74,73
SPD_1448,147,144
SPD_1394,89,88
SPD_0697,8,8
SPD_1072,16,15
SPD_1305,16,16
SPD_1773,89,87
SPD_0065,24,23
SPD_0741,24,23
SPD_1709,633,616
SPD_0005,8,7
SPD_0529,8,7
SPD_1408,157,152
SPD_1373,70,68
SPD_0053,23,22
SPD_1995,15,15
SPD_1289,61,60
SPD_0961,84,82
SPD_0162,7,7
SPD_1253,7,7
SPD_0842,22,21
SPD_0546,81,79
SPD_0540,29,28
SPD_2055,170,165
SPD_0660,51,50
SPD_0310,95,92
SPD_0452,14,14
SPD_1957,14,14
SPD_1246,2972,2881
SPD_0487,50,49
SPD_0542,94,91
SPD_1350,173,167
SPD_1368,886,859
SPD_1366,91,88
SPD_1455,7,6
SPD_0913,555,539
SPD_1336,83,81
SPD_1105,13,13
SPD_0765,34,33
SPD_0629,6,6
SPD_0828,13,13
SPD_1161,6,6
SPD_1060,53,52
SPD_0824,20,19
SPD_0872,46,45
SPD_1898,53,51
SPD_1904,79,76
SPD_0210,683,660
SPD_0432,13,12
SPD_1123,13,12
SPD_1163,6,6
SPD_1254,13,12
SPD_0632,852,821
SPD_1896,126,122
SPD_1428,88,85
SPD_0822,19,18
SPD_0369,274,264
SPD_0430,24,23
SPD_1374,129,124
SPD_1092,18,17
SPD_0720,12,11
SPD_0707,18,17
SPD_1339,89,86
SPD_0451,6,5
SPD_0575,23,23
SPD_0793,5,5
SPD_1551,78,74
SPD_1628,6,6
SPD_0303,212,204
SPD_0445,147,141
SPD_0271,41,39
SPD_1375,215,207
SPD_1197,17,16
SPD_0548,22,22
SPD_0835,288,277
SPD_0112,11,10
SPD_0860,5,5
SPD_1199,16,16
SPD_1236,479,459
SPD_0346,100,96
SPD_0977,16,15
SPD_1200,33,31
SPD_1426,183,175
SPD_0578,32,31
SPD_1445,21,21
SPD_0078,104,99
SPD_0345,75,72
SPD_0521,5,5
SPD_1223,37,36
SPD_0674,221,211
SPD_0611,10,10
SPD_1232,219,209
SPD_0628,5,4
SPD_0584,29,28
SPD_1029,15,14
SPD_1201,88,84
SPD_1141,424,403
SPD_1566,278,265
SPD_1294,48,46
SPD_1034,19,18
SPD_0554,192,182
SPD_1963,3451,3278
SPD_0374,48,45
SPD_1114,9,9
SPD_1178,4,4
SPD_1961,9,9
SPD_1837,138,130
SPD_1488,14,13
SPD_1757,191,182
SPD_0991,1130,1071
SPD_0115,13,13
SPD_0718,525,499
SPD_0748,23,21
SPD_1427,615,581
SPD_0083,821,776
SPD_1486,35,34
SPD_1534,27,25
SPD_0243,713,675
SPD_1121,17,16
SPD_0620,203,192
SPD_0676,203,192
SPD_0714,679,643
SPD_1252,8,8
SPD_1912,8,8
SPD_1084,87,82
SPD_0480,78,73
SPD_0260,141,134
SPD_0861,47,44
SPD_1818,2633,2487
SPD_0728,47,44
SPD_0106,140,131
SPD_0493,4,3
SPD_0686,46,44
SPD_1110,8,7
SPD_1959,21,20
SPD_0103,71,67
SPD_0156,46,43
SPD_0431,21,19
SPD_1065,58,55
SPD_1318,1880,1768
SPD_0461,29,26
SPD_1437,73,69
SPD_1145,28,26
SPD_1908,219,206
SPD_0589,52,49
SPD_0727,24,22
SPD_1412,72,68
SPD_1620,261,245
SPD_0583,48,45
SPD_0075,37,34
SPD_0661,24,22
