,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count
SMU_54,207.5,392,324,1060.5,848.5,930,1412.5,1366,1322.5,271,222.5,243,406,339.5,684.5,477,603,486.5
SMU_55,152,147,229.5,679.5,691.5,763.5,724,978.5,958,198.5,188.5,181.5,315.5,249.5,476.5,342.5,399.5,438
SMU_56,41,38,108.5,158.5,202.5,383.5,163,428.5,409,82.5,104.5,86.5,122.5,73.5,176.5,120.5,120.5,141
SMU_58,866,1353,1137,2690,2461,1789,2362,3536,2621,1375,1317,1352,1771,1178,1803,1845,2282,2094
SMU_59,396.5,540.5,471.5,1403.5,1430,996,1935.5,1788,1680,504.5,597,573.5,884.5,697.5,1146.5,1001.5,1052.5,991.5
SMU_60,199.5,266.5,483.5,482.5,378,1020,692.5,739,889,276.5,265,270.5,308.5,351.5,724.5,277.5,372.5,264.5
SMU_61,1238,1395,1755,1575,1185,1730,1622,1658,1854,1016,1030,1137,1477,1223,1252,923,941,973
SMU_63c,4679,5560,7208,14729,7905,11879,10252,10324,9579,3894,3821,3927,7162,5872,6115,3171,3005,3158
SMU_64,635,780.5,1346.5,1346,1046.5,2519.5,1067,1423.5,1806.5,778.5,927,892,824,807,1316,714.5,735,732.5
SMU_65,445.5,685.5,703,1462.5,640,1360.5,1023,884,957.5,444.5,395.5,357,676,602.5,795.5,559,675.5,540.5
SMU_66,705.5,721,1089.5,1470,1053,1645.5,1476,1617,1390,934.5,805,877,952.5,860,896,808.5,932.5,798.5
SMU_67,2294,3053,3773,3875.5,3008.5,6654.5,4425,4784.5,5148,3043.5,3202.5,2885,3341.5,2919.5,3791.5,4301,4418,4040.5
SMU_68,110,72,234,74,121,784,279,269,496,77,76,80,65,108,301,152,154,125
SMU_70,1689,1847,2577,2399,1894,3570,2420,2950,3273,1868,1998,1942,1826,1785,2102,975,1109,1066
SMU_71,322,421,997,747,577,4119,784,1267,2614,403,338,411,493,502,1276,253,313,252
SMU_72,150.5,146.5,228.5,332,360,544.5,329,557.5,611.5,203.5,185.5,208,253.5,183,350.5,168,160,175.5
SMU_73,537.5,612.5,899.5,1141,1047,2115.5,1670,1801.5,2073.5,506.5,517.5,630,713.5,722,1420.5,670,683,678.5
SMU_74,3347,3750.5,3473,4488,3141.5,4091,2945.5,3708,3747,2838,3330.5,2878.5,2558.5,2315,2777.5,3166.5,3777,3380
SMU_75,1315.5,1183.5,1560,1324.5,1065,2066,1824,1675.5,1674,1144,1270,1246.5,1196,922,1362,1369.5,1509,1308
SMU_76,1913.5,3284,2231,3819.5,1887.5,1885,2320.5,1545.5,2072,1000,1080.5,1177,1988.5,1620,2103.5,1146,1346,945
SMU_78,520,682,1486,1134,1095,5449,1733,2310,3877,724,747,753,968,933,2383,1373,1439,1222
SMU_79,80,73,454,146,159,2026,305,506,1217,85,97,107,170,185,744,161,130,148
SMU_80,2963,3091,3394,3573,3401.5,5396,3040,4074,3056.5,3363.5,3458,3047,6237.5,4439.5,5955,2911,2928,2910.5
SMU_81,682,936,939,1255,991.5,1472,768,1200,890.5,1315.5,1304,1146,1491.5,1160.5,1358,1888,1677,1700.5
SMU_82,5601,9162,6356,8586,5200,6412,6263,7334,5134,9183,7948,7855,11552,8733,9391,16281,16227,14952
SMU_83,3785,4743,2991,3007,2243,3705,2674,2862,2505,3905,3448,3503,4941,3368,4333,5745,6667,5724
SMU_84,247.5,341,586,499.5,424.5,1436.5,665.5,875.5,1298,382.5,379.5,338,528,474.5,752,438,501,446.5
SMU_85,189,464,564,644.5,354,1736,608.5,910,1466,463.5,372.5,329,615,547,929,616.5,657.5,593
SMU_86,52,63.5,224,130,128,646,239.5,324,495.5,163.5,187.5,170.5,183.5,176,275.5,199,179,185.5
SMU_87,148.5,247.5,454,381,372.5,1040.5,410.5,662.5,747.5,335.5,324.5,364.5,632.5,501.5,752.5,512.5,460.5,516
SMU_88c,748,991,1232,1255,598,1728,877,759,1273,634,717,660,710,720,1261,1372,1459,1126
SMU_89c,115,192,480,175,175,955,136,309,675,223,292,312,200,253,554,259,234,228
SMU_91,7100,9576,12120,15269,10115,14531,10298,13526,11832,7567,7254,7774,12434,11635,11637,4516,5030,4697
SMU_92c,4,2,30,16,15,177,18,67,131,12,9,13,13,21,61,21,17,29
SMU_93c,6,0,37,2,22,259,22,81,174,5,5,7,6,10,73,5,7,9
SMU_94c,5,7,33,6,25,116,41,40,69,14,0,8,17,25,34,7,8,8
SMU_96,7077,8639,8587,11742,8807,11155,10220,10841,10029,5720,4436,5378,9808,8256,8817,4472,5507,4524
SMU_97,3561,4817,5693,4582,3668,6720,5700,6751,6988,3878,4462,3895,4924,3905,4812,4341,4679,4232
SMU_99,3948,5164,9301,5544,5850,5647,6043,6762,6974,4828,6285,6201,5707,5428,6355,7104,6135,5320
SMU_100,47,53.5,102,135,139.5,383.5,122,199,287,132,60.5,102,101.5,72,143,73.5,74.5,100
SMU_101,97,120.5,440.5,366.5,381,2050.5,611.5,957.5,1560.5,145.5,143.5,222,193,343.5,781,276.5,288,288
SMU_102,192,156,293.5,436,384,1208,554,905.5,1147,218.5,135.5,182.5,237.5,271,544.5,370.5,381,395.5
SMU_103,67.5,52.5,139.5,150,147,488,234.5,377.5,538,124,75,87.5,138.5,105.5,203.5,247,238.5,256
SMU_104,527.5,765.5,1395.5,1335,1233.5,3420,1770.5,2905.5,3660.5,819.5,921,995.5,1058,903,1594.5,1733.5,1841.5,2047.5
SMU_105,601,857,1357,751.5,937,1246,994.5,1526,1625,840.5,917.5,920.5,721.5,603,722.5,1132,1344.5,1282
SMU_106c,102,83,177,123,102,365,222,285,346,101,119,101,113,88,180,224,243,236
SMU_107,2,4.5,26,25,20,42.5,18,22.5,32.5,24.5,17,16.5,27,14,34.5,11.5,12,6
SMU_108,42,39.5,71,66,68,210.5,98,151.5,178.5,42.5,29,35.5,47,40,81.5,34.5,36,28
SMU_109,52,60,447,226,263,2618,364,712,1480,129,130,140,164,346,787,136,131,105
SMU_110,293,334,450,476,415,943,400,745,861,566,469,425,477,378,563,368,504,398
SMU_112c,339,326,468,425,208,805,312,434,586,277,283,321,384,290,517,536,655,514
SMU_113,191.5,223.5,419,101.5,99.5,1117.5,135.5,294,746.5,412,293,458.5,104,136,441.5,476,503,502.5
SMU_114,227,275.5,613.5,120,150,1310.5,349,487,875,413.5,362.5,487.5,144,236,810,747,699,701
SMU_115,50,75,164,34,37.5,569.5,64,190.5,344.5,168,152,213.5,31,46,192,199.5,204,233.5
SMU_116,199.5,218,329.5,83.5,52,776.5,106.5,208.5,427,529.5,478.5,551.5,113,89,284.5,713.5,644,701
SMU_117c,93,143,421,165,160,1442,348,459,987,164,161,223,158,202,644,232,215,183
SMU_118c,227,307,466.5,405,297.5,982,386,599.5,829.5,334.5,328,326.5,358.5,315,636,437.5,432.5,399.5
SMU_119,204,259,420.5,469,329.5,714,494,676.5,595.5,226.5,244,242.5,254.5,319,613,399.5,371.5,342.5
SMU_120,1339,978,929.5,636.5,731,2139,1334,1443.5,1311,811,678,522,1018,749.5,1116,283,351.5,330.5
SMU_121,341,313,619.5,824.5,637,2065,811,1139.5,1526,496,385,497,972,679.5,1064,670,727.5,661.5
SMU_123,1782,2681,3563,4539,3437,8395,4783,6266,7110,4329,3944,3794,5391,4516,5982,7228,6944,6572
SMU_124,389,352,551,513,564,1052,563,930,1220,554,559,654,535,494,821,726,707,778
SMU_125,382,579,758,649,636,1815,919,1169,1502,722,939,953,726,776,1210,1481,1490,1276
SMU_127,463,667,924,810,725,1834,1389,1779,2356,686,723,697,648,571,1166,930,1185,990
SMU_128,335,507,609,638,505,970,1113,1340,1394,540,625,477,508,439,642,1114,1185,1239
SMU_129,546,902,988,881,832,1405,1826,2145.5,2343,1025,1181,994,858,709,1034,2712,2767,2818
SMU_130,975,1553,1719,1378,1202,2500,3173,3431.5,4121,1536,1864,1480,1442,1103,1753,5398,5872,6320
SMU_131,486,783,952,876,745,1894,2054,2217,2777,762,1057,859,738,747,1148,2690,2813,3247
SMU_132,455,376,634,231,306,1502,804,1003,1218,268,340,312,293,282,764,452,513,596
SMU_133c,67,94,493,142,244,2051,461,686,1468,146,161,172,181,307,864,198,191,217
SMU_134,202,326,440,377,291,812,337,408,645,186,233,259,263,296,632,142,190,173
SMU_135,361,535,738,1075,496,1254,761,712,851,442,381,375,598,569,757,428,474,384
SMU_136c,125,160,182,277,148,457,238,294,356,168,125,117,189,201,290,94,169,126
SMU_137,273,443,978,459,592,1641,901,1044,1416,126,146,181,139,271,889,271,237,231
SMU_138,95,167,444,130,158,1070,326,511,993,78,61,70,74,128,600,140,120,105
SMU_139,165,307,467,288,324,666,626,709,673,130,125,134,175,242,395,270,315,285
SMU_140,164,380,552,337,326,974,499.5,598.5,858.5,212,181.5,223.5,162.5,211.5,427,356,348,364
SMU_141,76,180,390,130,174,1075,314.5,371.5,869.5,88,86.5,88.5,80.5,125.5,591,186,160,149
SMU_143c,938,1273,1356,2110,1259,1822,1727,1769,2140,1016,970,928,1292,1362,1651,1393,1806,1474
SMU_144c,291,436,542,520,373,1193,743,537,951,331,454,455,466,391,662,569,588,472
SMU_145,575,956,1605,1264,784,2873,1095,1338,2105,598,643,707,575,687,1124,657,651,588
SMU_148,14358,16114,16337,16931,11988,19144,5790,6430,5180,16581,16675,14535,27667,24641,23097,17582,16564,15366
SMU_149,89,129,260,181,179,584,114,231,349,178,166,186,280,282,380,262,268,269
SMU_150,3762.5,1683.5,1453.5,6376,4352.5,3841,7169.5,3773,4558.5,143.5,137,123,796,643.5,1042,105.5,92,98.5
SMU_151,7037.5,3019.5,2556.5,10802,6743.5,6728,10100.5,5914,6687.5,233.5,303,262,1190,953.5,1454,183.5,191,189.5
SMU_152,424,273,397,1550,930,1039,772,878,860,50,62,61,224,199,259,48,50,51
SMU_153,1211,642,586,4120,1693,1418,1955,1247,1281,83,70,57,349,291,392,52,64,53
SMU_154,11556,9035,10963,9869,9396,19732,17970,18980,16802,8864,9023,12066,9077,9773,9442,2944,3864,3341
SMU_155,2701.5,3551.5,3786.5,4503.5,2742.5,4970,5142,4788,4825,2242,2408,2151.5,3236.5,2538,3534,3043,2843.5,2891
SMU_156,457.5,552,747,922.5,610.5,1221.5,958.5,1202,1170.5,575.5,591.5,487.5,678.5,571,790,523,605,627.5
SMU_157,539,645.5,781.5,707,529,1089.5,1118.5,1197,1111.5,571.5,686,621,653,478,692,672,654.5,679.5
SMU_158,923,1541,1762.5,1746.5,1236.5,2166.5,1699.5,1815.5,1977.5,1225,1192.5,1173.5,1511.5,1223.5,1680.5,1452,1471,1505
SMU_159,212,293,362.5,274.5,261.5,652.5,384.5,613.5,525.5,318,373,365.5,309.5,214.5,274.5,293,246,301
SMU_160,263,459.5,702,747,531,2010.5,1084.5,1224,1592.5,500,533.5,522,685,611,1090,943.5,908,929
SMU_161,113,190,312.5,293,210.5,1084,432.5,525,833.5,215.5,306,234,346.5,241,464.5,336.5,356.5,348.5
SMU_162c,145,266.5,419.5,514,315.5,1427.5,573,795,1138,419.5,440.5,334,561.5,464,656.5,537,677.5,629.5
SMU_163c,161,168,369,399,288,934,627,665,782,239,228,288,374,274,441,320,331,352
