,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count
SMU_541,453,518,541.5,842.5,564.5,762.5,428,603.5,504,601,416.5,436.5,814.5,719,703,435,461,470.5
SMU_542,4032.5,5846,5147.5,5432.5,2824.5,5733,3293.5,2972.5,3364.5,3460,3550.5,3529.5,4114,3897,4397,4694,5285,4289.5
SMU_543,1396.5,2210,2449.5,2470.5,1575,2382,950,1395.5,1185,2114,2025,1943,2266,2185.5,2423,2160,2478,2218
SMU_545,37.5,69,108,63.5,58,241.5,51.5,84,90,95.5,99.5,86,81.5,70.5,106,67.5,81,73.5
SMU_546,7482.5,9228.5,10539.5,12480.5,7828.5,14832.5,10375.5,13173,13403.5,8304,8461,8295.5,9537.5,8028,8766,10021,10683,9603.5
SMU_547,1027,1139.5,1478,920.5,1048.5,1895.5,1104.5,1723.5,1661,1653.5,1731.5,1614.5,1274.5,1013,1293,1261.5,1296,1301
SMU_548,832,1285,1218.5,1436.5,966,2023.5,1745.5,1620.5,1922.5,976.5,998.5,888.5,1346,1049,1449,1342.5,1341,1351
SMU_549,556.5,727,963,831,710,1641,1222.5,1296.5,1495,854,783,770,1007,824.5,1177.5,1149.5,1202,1087.5
SMU_550,2459.5,3283,2905.5,2879.5,2459,3289.5,2971,3821,3536.5,4120.5,3447.5,3279.5,4142,3336.5,3874.5,3964,4997,4498.5
SMU_551,4222.5,4965,6336,6343.5,5388,7024.5,6162,7213.5,6841,4183,3916,4069.5,5905,4790.5,5646,4495,4582.5,4734.5
SMU_552,3154.5,3930,4349,3983,2935.5,4759,4059,4061,3900.5,3030,3710,3106.5,3811.5,2738.5,3576.5,4231,4057,3803
SMU_553,2383.5,2988,3643,4246,2748.5,5008.5,4691.5,5187.5,4430.5,3095,2883.5,2567,3622,2998.5,2798.5,4394,4182.5,3921
SMU_554,1766.5,2297.5,2407,2466.5,1822.5,3898.5,3367.5,3202,2876.5,1793,2079,1966.5,2077,1655.5,1709.5,2951,2587.5,2436
SMU_555,598,721,1168,1033.5,886.5,1980,942.5,1889,1343,1380.5,1547.5,1244.5,1149,923.5,1076,1061,1195.5,1221
SMU_556,2040.5,2711,3920,4310.5,3181.5,4825.5,2636.5,5163.5,3647.5,3975,3755,3198.5,4237.5,3392,3381.5,4370.5,4224,4513
SMU_557,3524.5,4801.5,6075,7085,5631.5,6979,4200,7189.5,5749,5044.5,4829,4805.5,6610,5489.5,5770,5867.5,5635,5843.5
SMU_558,2209,2858,4442,3877,2570,5607,3939,4365,4905,2460,2431,2196,2960,2441,3128,2520,2322,2398
SMU_560c,963.5,1549,1607.5,1400,921,1007,982.5,915.5,1092.5,926.5,923,1139,1528,1240,1552,1513.5,1682,1464.5
SMU_561c,196.5,368.5,499.5,625.5,451,875.5,609,765,788.5,389.5,358.5,441.5,579,445.5,634.5,710,723.5,672.5
SMU_562,5228,8479.5,7233,8418.5,5213,6786.5,8366.5,8564.5,9075,6180,6962.5,6422.5,7516,5622.5,7179.5,12121.5,12750.5,11303
SMU_563,100,88,222,184,113,765,249,336,575,76,126,114,139,194,377,100,60,62
SMU_564,1642.5,1156,2153.5,521,928.5,4941.5,2188,2960.5,3724.5,1671,2432,2176,1320,727,1368,996,1099,1190.5
SMU_565c,62.5,68,243,109.5,123,626,188.5,281,425,87,100,107,114,127.5,320,112,110.5,151
SMU_566c,34,54,245.5,171.5,172.5,1161.5,341.5,348.5,723.5,70,46,65,104,195.5,432,123,132.5,105.5
SMU_567,702,817,1239,1195,942.5,2449.5,1470,1700,1867,593,939,839,955,909.5,1332,648,539,568
SMU_568,1186,1480,1844,2326,1786.5,3076.5,2321,2701,2671,1152,1351,1426,1795,1628.5,1742,908,866,864
SMU_569,309.5,320.5,482,650,409.5,1065,437.5,596.5,649.5,345,290,362.5,354.5,385.5,512.5,379,393.5,353
SMU_570,2666.5,3922.5,3875.5,4757,2834.5,5689,3122.5,3481.5,4078,2822,2646,2988,2991,2951,3600,3545.5,3798,3137.5
SMU_571,183,285,296.5,233,193,321,210,240,270.5,252,241,302.5,243.5,185.5,279.5,270.5,306.5,257.5
SMU_572,962,1634.5,1471.5,2240.5,1119.5,1714.5,1405.5,1400.5,1764,762,831.5,837.5,1318.5,1210.5,1537.5,860.5,1170.5,920.5
SMU_573,514,520.5,574.5,740.5,439.5,816.5,682.5,809.5,716,426,482.5,427.5,548.5,382.5,583.5,516.5,566.5,466.5
SMU_574c,139.5,213,431.5,52.5,70.5,427,172.5,273.5,435,278,213.5,368,51.5,136,228.5,3116,4898.5,2202.5
SMU_575c,114.5,219,320.5,40.5,50.5,327,98.5,196.5,354,361,224.5,420,84.5,83,159.5,3245,5156.5,2266.5
SMU_576,248.5,296.5,554,257.5,202.5,994,211,333,566,334.5,321,321,341,316.5,528.5,371,372.5,369
SMU_577,613.5,695.5,1381,952.5,617.5,2681,620,894,1786,754.5,833,792,972,872.5,1495.5,889,922.5,770
SMU_580,1242.5,1515,1671,1476,1178,2330,1618,2077,2184.5,1416.5,1915,1718.5,1199.5,1034,1646.5,1574,1807,1658
SMU_581,49,54,131,84.5,71.5,202,98,179.5,189,107.5,99.5,89,88.5,56.5,109,111.5,125,116
SMU_582,413.5,586.5,776.5,644.5,520.5,1435,875.5,815.5,1211,460.5,557,530.5,489,409,832.5,916,980,968
SMU_583,623,817,1049.5,1167.5,812,1626,1144.5,1430.5,1565.5,749.5,722,739,917.5,646,991,1419,1427.5,1212.5
SMU_584,622,678,698.5,746.5,624,1275.5,1056,1167.5,1073.5,604,542,453,687,504.5,725.5,1011.5,984,843
SMU_585,1546,2262.5,2329.5,2862,1794,2927.5,2385,2677,2796.5,1683,1834.5,1683,2052.5,1621,1988.5,3099,3067.5,2777.5
SMU_586,1398.5,2073.5,1707,2942.5,1510.5,1945.5,2057,1774,1974,1425,1401.5,1461,1570,1383.5,1671.5,2646,2777.5,2466
SMU_587,1262,1439.5,2015.5,1838,1527,2432,1872,2460.5,2127.5,1751,1898.5,1799.5,1763,1442.5,1709,3125.5,3483,2877
SMU_588,260.5,441,657.5,518.5,444.5,801.5,539,708.5,676.5,493,626,555.5,559,462,637.5,924.5,981.5,797
SMU_589,9082,14659,20140,10204,16496,11561,10107,13610,16026,9878,17700,16920,13939,9300,14859,13993,10287,11068
SMU_590c,1183,1280,1365,798,938,1084,1380,1006,1407,655,984,1029,1069,682,1051,740,762,813
SMU_591c,119.5,251.5,376,361,266.5,1021.5,380,506,681.5,374,310.5,346,546.5,433,609,337.5,423.5,410.5
SMU_592c,29.5,75.5,136,101,91.5,500.5,105,208,323.5,117,94.5,108,213.5,170,313,166.5,129.5,143.5
SMU_593,314,389,661.5,506,560,1172.5,684,1014.5,1071,773,560.5,570,686,611,826,579,687,716
SMU_594,46,33,93.5,32,53,166.5,59,155.5,147,107,99.5,93,79,56,112.5,65,88,86
SMU_595,202,227,452,377,311,843,654,666,704,251,320,246,318,318,425.5,284,295,290
SMU_596,4961,8618,9301,11689,7133,6275,5659,6698,6753,6093,6224,6530,10010,10225,10589,3595,3973,3588
SMU_597,5650.5,6586.5,7206.5,8627.5,5874.5,7500.5,8133,7787.5,7471,6497,6161.5,5857.5,7624.5,6609,7805.5,6882.5,7650,6936.5
SMU_598,798.5,1032.5,1319.5,859.5,738.5,1433.5,980,1218.5,1222,1220,1488.5,1359.5,1056.5,867,1193.5,1720.5,1453,1353.5
SMU_599,3395,5253,5638,6652,4653,5198,3465,4372,5751,2984,3219,3388,4444,3689,4982,3000,3177,2685
SMU_600c,153,231,318,435,350,765,1042,908,1180,161,191,271,289,306,410,308,284,288
SMU_602,61,166,406,395,340,1726,1177,1396,1924,149,160,165,255,272,647,229,278,226
SMU_603,1439,2166,2084,2629,1619,2659,2173,2071,2576,1264,1379,1246,1861,1531,2050,1416,1750,1295
SMU_604,39.5,51.5,83.5,85.5,82.5,225.5,134,184.5,154,62.5,31,53.5,94.5,67,102,57,83,61
SMU_605,84.5,153,179,281,185,677.5,331,401,454,132,96,102.5,152,130.5,216.5,117.5,147.5,135.5
SMU_606,181,313.5,471,501.5,384.5,1381,718,799,926,280.5,308,292.5,430.5,369.5,551.5,387.5,448,438.5
SMU_607,352,365,702.5,635,388,2038,815,1076.5,1369,544,521,530.5,708,647,845,543,729.5,711
SMU_608,1180,1483,1924,1766,1461,3277,1957,2211,2732,1358,1251,1404,1586,1459,2119,1115,1150,1182
SMU_609,303,615,1032,395,439,1904,791,1382,1792,1782,1457,2016,1141,962,1207,4602,4296,4722
SMU_610,10007,16545,13211,31609,16808,25407,41086,35604,35696,11817,11043,10805,20577,15851,15934,19887,21477,21098
SMU_611,3004,3587,4999,7291,4899,7868,4884,6265,6713,3254,3543,3395,5407,4828,4916,3175,3218,2992
SMU_613,247,261,268,442,257,906,333,487,579,226,216,196,353,258,357,293,378,282
SMU_614,15,25,75,97,59,220,106,131,151,53,38,54,58,70,117,68,69,58
SMU_616,3364,4396,5140,4751,3750,4030,3667,5482,5096,4509,4296,3902,2622,2968,3280,5115,6470,5602
SMU_618,2169,2711,3831,2030,1939,2175,2380,2591,2464,2313,2860,2359,1634,1470,1849,4104,4170,3406
SMU_620,33,42,72,87,58,283,101,155,198,68,76,69,57,51,107,108,113,102
SMU_621c,1248,1996,1845,2315.5,1280.5,2287,1795.5,1762,2108,1529.5,1448,1318.5,1859.5,1442,1853.5,1901,2429.5,2037
SMU_622c,365,527,581,427.5,255.5,840,442.5,464,608,328.5,368,418.5,360.5,324,489.5,552,563.5,515
SMU_623c,487,621,796,905,608,1428,809,798,1165,780,542,552,878,804,1073,882,1013,927
SMU_624,858,1162,1733,1253,1024,2432,1160,1460,1912,1004,1124,1248,1345,1409,1838,910,853,824
SMU_625,251,100,174,3091,1641.5,636,2578,880,673.5,34,16,36,38,64,157.5,16.5,39,40.5
SMU_626,237,69,546,2907,2180.5,2132,3872,2210,1889.5,50,34,121,80,234,796.5,83.5,98,72.5
SMU_627,2543,2521,3234,4693,2771,4264,6386,4000,3981,1681,1924,2064,2434,2703,2774,1614,1816,1491
SMU_628,168,247,430,215,250,823,422,595,663,369,329,450,221,268,369,300,273,288
SMU_629,1540,2267,2625,3183,2036,3071,4220,4023,4944,2282,2140,2169,2917,3241,3407,2501,3069,2725
SMU_630,1051,1064,1355,1507,1506,2404,1484,1770,1978,1017,999,986,1580,1529,1728,605,677,570
SMU_631,198,293,609,413,301,1284,500,617,1019.5,495.5,619.5,614.5,542,543,777.5,500,590,616
SMU_632,517,781,737,951,770,1086,1103,716,1115.5,612,774,681,1506.5,1088,1468,773.5,901,723
SMU_633,339,462,761,688,614,1824,1038,1270,1440,1435.5,1650.5,1697.5,1811.5,1728,1819.5,1501.5,1585,1497
SMU_634,1114,1524,1693,2400,1317,2439,1592,1824,2238,1405,1231,1229,1693,1683,1946,1497,1817,1534
SMU_635,2203,2717,2858,4031,2954,3312,2794,2867,3804,2189,2188,2550,2769,2708,3519,4148,4351,3952
SMU_636,2761,2715,2002,8074,6289,4508,6781,5607,6716,2459,2422,2341,4837,3745,5078,4596,5796,5135
SMU_637c,156,155,317,781,430,1368,854,823,1356,136,141,155,277,366,509,275,328,225
SMU_638,184,222.5,370.5,567.5,316.5,958,547,595,836,210,228,217.5,309.5,297,485.5,340,323.5,295.5
SMU_639,114,159.5,243.5,418.5,234.5,521,341,347,542,170,133,121.5,252.5,206,353.5,267,297.5,283.5
SMU_640c,199,272,447,695,467,1417,558,754,1107,316,312,287,428,329,614,427,421,478
SMU_641,130,190,400,582,396,1600,642,746,1172,238,169,176,353,391,620,421,391,344
SMU_642,45,72,115,161,138,252,120,187,231,110,97,88,205,119,197,187,176,214
SMU_643,115,245,303,559,292,901,400,559,815,294,214,260,447,360,496,498,518,475
SMU_644,27,12.5,153,324,259,539,344,272.5,373.5,31,22.5,45.5,49.5,76,297,39,40,46.5
SMU_645,474,600.5,960,1519,894,1869,1430,1369.5,1594.5,619,623.5,636.5,623.5,582,921,780,820,738.5
SMU_646,141.5,143.5,267.5,263,212,759.5,335.5,359,524.5,149,136,173,182.5,150,303,191,219,190.5
SMU_647,274.5,338.5,565.5,573,454.5,953.5,675.5,706,836,445,432.5,450,427,425.5,682.5,419,409.5,395.5
SMU_648,5090,6554,7311,9795,7607.5,6826,8492,8423,7408.5,5006,4718.5,5274,8285.5,7331.5,7758.5,5417,5793.5,5110
SMU_649,246,292,527,483,387,963,669,861,790,340,340,413,398,375,489,240,247,243
SMU_650,2050,2838,3837,4149,2959,4231,3697,4375,4200,2549,2742,2381,3344,2932,3514,3127,3202,3059
SMU_651c,168,164,266.5,61,107,868,193,355,666,68,90.5,78,70,121,347.5,198,163.5,163.5
SMU_652c,251.5,217.5,319,90.5,102.5,725.5,224,312.5,597.5,88,104.5,81.5,131,127.5,367,205,185.5,173
SMU_653c,100.5,136.5,354.5,98.5,168.5,1104.5,342,373.5,799.5,87,91,134.5,100,145.5,590.5,149,156,114.5
SMU_654,8,12.5,145.5,20,17.5,623,96,147.5,388.5,17,14,46,28.5,43.5,229.5,49.5,49.5,60
SMU_655,2,2.5,29.5,4,8,105,15.5,27,64.5,0,0.5,6.5,7,13.5,53,11.5,15.5,10
SMU_656,22,22,158.5,35,26,545,69,117,349.5,19.5,15,31.5,32,54,259.5,53.5,59,44.5
SMU_657,19,20,258.5,43,97.5,1125,237.5,287.5,700.5,24.5,22.5,52,43.5,143,440,42.5,66,64.5
SMU_658,39,52,281,64,72.5,757,113,242.5,554,50,35,36,60.5,97,438.5,56,72.5,74.5
SMU_659,63,99.5,290.5,140,130.5,491,172,269.5,344.5,69.5,82.5,83.5,96,132,540.5,82.5,105,97.5
SMU_660,200,156.5,342.5,191,151,849,349,339,583.5,125.5,109.5,118.5,148.5,182,366,175.5,180.5,137
SMU_661,64,74,139,186,141,386,190,268,345,116,137,118,172,128,205,164,202,211
SMU_662,161,316,544,517,300,955,465,523,889,256,223,284,365,287,643,499,499,426
SMU_663,40,77,261,104,122,975,230,303,676,119,95,133,216,205,449,184,203,214
SMU_664,46.5,56.5,345,153,126.5,1297.5,291.5,391.5,1023.5,119,114,140,272.5,202.5,611,295.5,308.5,291.5
SMU_665,25.5,40.5,208,108,102.5,601.5,237.5,285.5,516.5,97,81,118,136.5,136.5,340,172.5,174.5,191.5
SMU_666,81,151,177,311,131,456,347,404,543,161,169,149,292,215,365,312,352,297
SMU_667,698,1033,1122,1359,948,1805,2405,1713,2002,864,973,884,1478,1157,1460,1096,1095,974
SMU_668c,1035,1544,2019,2548,1578,4520,3526,4762,4518,2068,2113,1825,2382,2044,2306,1713,1894,1998
SMU_669c,143,207,266,354,229,288,260,316,370,181,186,136,264,252,297,93,119,138
SMU_670,669,1501.5,1721,859,822.5,3637,1804.5,2264,2367.5,2027.5,1868.5,1883.5,2108,1791.5,2360.5,2416,2258.5,2439.5
SMU_671,304.5,532,781,379,396.5,1844,821.5,1296.5,1341,1129,1000,995.5,1102,929,1029,1740,1386.5,1475
SMU_672,377.5,772.5,966,578,569,2341,1027,1640.5,1628.5,1480.5,1416.5,1423,1430,1269.5,1262.5,2295,1963,1968.5
SMU_673,289,410,547,364,347,1838,628,1083,1000,728,667,646,798,657,707,1003,882,938
SMU_674,6185,6878.5,11858,6693.5,8240,9481,3468.5,7016.5,6271,11323,11210.5,10815,8876.5,8429,10738.5,7741.5,8405,8945.5
SMU_675,19056,20356.5,25176,24073.5,17001,27310,18978.5,19310.5,18129,20430,21340.5,18901,21156.5,18862,20465.5,23288.5,22542,21497.5
SMU_676,2707,4022,5140,6860,4891,6406,7722,8386,8526,3553,3559,3455,4608,3958,4822,3959,3696,3807
SMU_677,16,25.5,61,31,37,212.5,83.5,112.5,114.5,29.5,31.5,28.5,44.5,46.5,70.5,33,39,26.5
SMU_678,70.5,133,366,175,192,1497.5,392,524.5,1003.5,136,155.5,141,223.5,220,528,217.5,189,200.5
SMU_679,45,102.5,258,129,130,814,304,401,648,111,143,133,180.5,149,350.5,212.5,211,183
SMU_680,12.5,23,82,61,49,270,81.5,146,252,67.5,67,32.5,67.5,73.5,138,75,94,106
SMU_681,12,19,49,40,30,110,59,53,77,26,42,36,50,39,65,52,51,56
SMU_682,381,631,1091,963.5,803,2474,837,1552.5,1762.5,761.5,654,719,779,754,1178,647,695,668.5
SMU_683,567,855,1453.5,1231,978.5,3878.5,1564,2147.5,2872,886,883.5,927.5,963,966.5,1572,1199,1250.5,1051.5
SMU_684,276.5,321.5,585,628.5,418,1204,536.5,738.5,966,413.5,364,440,423.5,491.5,570,558,596.5,538
SMU_685,167.5,165.5,263.5,179,185.5,480.5,329.5,394.5,325.5,221,193.5,192.5,231.5,226,255,257,264,242
SMU_687c,6,19,35,26,14,71,33,47,84,14,12,23,21,16,33,23,27,34
SMU_688,183,215,355,488,289,842,443,481,633,244,162,187,309,332,451,198,285,203
SMU_689,2804.5,3602.5,4103.5,5736,3153,6201.5,5061.5,5199.5,5627.5,3025,2915.5,2506,4031.5,3283.5,3919.5,3204.5,3416.5,3147.5
SMU_690,561.5,732.5,1004.5,1093,975,1353.5,1096.5,1665.5,1285.5,776,776.5,839,1116.5,900.5,831.5,702.5,735.5,747.5
SMU_691,1185,1507,1890,1769.5,1474.5,2213.5,1767.5,1920.5,2050.5,1357,1270.5,1235,1696.5,1377,1708.5,1590,1693,1383.5
SMU_692,605.5,743,1510,815.5,717,845,638.5,935.5,931,1540.5,1694.5,1494,1304.5,1059,1500,817,1012.5,930.5
SMU_694c,154.5,170,241,236.5,200,615.5,256.5,551,332,274,244.5,281,250,168.5,237,200,257,236
SMU_695,434,487,595.5,661.5,509.5,1217.5,639.5,962,881,633,576.5,716,629,530,604,856,1046.5,886
SMU_696,931,1200,1312.5,1454,825,1438.5,1182,1108,1307.5,1026.5,892,904,1231,1054.5,1242.5,1504,1575,1355
SMU_697,1563,1355.5,2720,2910.5,2296,5107.5,4182,5089.5,3951,2119,2092,2092,3022.5,2801,2417.5,1603.5,1652.5,1601.5
SMU_698,1710,2020.5,2909.5,3986,2336,3835.5,3188,3851.5,3517.5,2864,2579.5,2629.5,3945,3978.5,3231,1932,2397,2356.5
SMU_699,2283,3234,2997.5,3708.5,2336,3251,3530,3303,2657.5,2767,2650.5,2110.5,4058.5,3418.5,3072.5,1523.5,1894.5,1725
SMU_700c,388.5,427.5,724,805,513,1431,690,920.5,1123,556,555.5,542.5,699,637,770.5,794,888,781
SMU_701c,100.5,122,300,211,188.5,708.5,306,373.5,455,200,268,240.5,301.5,241,327,302,279,321.5
SMU_702c,182,295,414,510.5,269,627.5,435.5,503,510.5,273,260,325,404.5,366,511,424,391,425
SMU_703c,367.5,462,864,859,638,1728,900.5,934.5,1454.5,425,592,570.5,697,711,1095,553.5,539.5,525
SMU_704c,123.5,190.5,420,277.5,196.5,1170,310,430.5,846,315,261.5,267.5,378,290,517.5,460.5,410.5,444.5
SMU_706c,2118,1458,2409,741,1060,4293,2207,2752,3619,1245,1240,866,2433,1089,2259,666,1130,979
SMU_707c,2700,3063,2566,3974,2752,3569,2860,3378,3511,2086,1920,1912,3284,2517,3040,1817,2223,2122
SMU_709,375.5,392.5,880.5,287.5,407,1393,583.5,652,877,491,812,760,596,494,701.5,282,287,230.5
SMU_711,139.5,155.5,297.5,225.5,216,485,270.5,317,303,200,215,250,332,252,308.5,243,245,211.5
SMU_712,2952,3459,5392,4834,4293,6637,7565,8172,8136,3912,4421,3916,4284,3260,4481,3247,3227,3323
SMU_713,2140,2239,2997,3213,2581,4643,4204,4384,4313,2204,2383,2302,2684,2230,2770,1987,2109,1934
SMU_714,6095,8271,12933,11071,8812,13225,12798,13142,11159,8082,10393,8710,9236,8392,8438,13927,10249,10137
SMU_715,3989,5777,8337,5082,5538,8411,5093,7850,7474,6049,7395,8114,6537,5971,7273,5754,5725,5227
SMU_716,1012,1465.5,1640.5,2082,1176.5,2265.5,2143.5,2237,2228,1357,1424,1225.5,1701.5,1414.5,1809,1963,2140.5,2012.5
SMU_717,1269.5,2074.5,1919,3102.5,1668,1941,2434,2495.5,2432.5,1503,1600,1348.5,2022.5,1630.5,1821.5,2775.5,2804.5,2548
SMU_718c,464.5,618,986.5,932.5,707.5,1426.5,1108.5,1265.5,1543.5,749,752,606,834,589,855.5,1157.5,1177,1021.5
SMU_719c,593,919,966,1262,629,1493,1106,991,1268,742,686,569,878,702,1154,1205,1455,1160
SMU_720,362.5,454.5,681,655,531,1582.5,793.5,984,1102,540.5,520.5,455.5,724.5,639,924.5,425.5,445.5,420
SMU_721,230.5,340.5,428,553,254,826.5,404.5,607,500,324.5,308.5,303.5,484.5,374,518.5,355.5,430.5,354
SMU_722,73,118,154,161,130,237,69,160,168,159,162,191,196,179,185,121,172,159
SMU_723,1768,2518,2942,3972,2716,5422,3258,3624,4047,2302,2876,2513,3210,2942,3649,2908,2561,2537
SMU_724,157,217,339,303,246,601,340,422,548,213,233,242,286,234,448,370,379,288
SMU_725c,359,429,540,803,361,812,518,526,741,348,303,340,363,411,648,598,722,713
SMU_727,91.5,124.5,255,139.5,129,703.5,198.5,387,411.5,229.5,260,305,169.5,165,239.5,278,311.5,331
SMU_728,256.5,406.5,497,408.5,329,945.5,391.5,538,748.5,526.5,560,526,479.5,455,606.5,782,871.5,905
SMU_730,65,79.5,166.5,123.5,103.5,492,130,214,408,72,43,47.5,82,100,171,54,69,80.5
SMU_731,112.5,155.5,375.5,254.5,160,1074.5,257,440,774,147.5,137,148.5,221.5,287.5,509,135.5,161.5,146
SMU_732,45.5,65,209,92,83.5,693.5,146,244,482,124.5,108,121,132.5,164.5,311,89.5,112.5,101.5
SMU_734,95,181,304,188,159,695,174,205,507,90,99,102,177,196,386,120,109,111
SMU_735,703,686,918.5,887,831,1202,1282,1263,1565.5,758,902.5,778.5,1157,746,1185,726,880,721
SMU_737,105,147,420.5,265,239,1345,469,615,950.5,256,231.5,292.5,238,278,491,428,463,441
SMU_738,25,40,64,33,29,255,87,117,184,50,57,43,76,62,106,114,103,132
SMU_739c,65,117,281,164,153,1133,346,476,750,146,148,187,219,192,452,305,293,300
SMU_741,256,277.5,464,419,355,892.5,467,649,707,322,341,305,417,350,473,447,411,392
SMU_742,283.5,495.5,658,633,483,1383,645,891,931.5,705,605,608,600,560,734,637.5,766.5,747
SMU_743,1032.5,1678.5,1644.5,1364,812.5,1334.5,1099,1152,1205.5,1615.5,1698,1418,1323.5,986,1248,2722,3527.5,2672
SMU_744,1591,2418.5,2084.5,2792,1563.5,2934,2182,2220,2511,1929.5,1763,1680,2638.5,2124,2613,3653.5,3963,3335
SMU_745,391,346,748,638,390,1959,729,851,1293,400,543,404,421,433,665,354,373,350
SMU_746c,828.5,1150.5,1165,1756.5,968,1572.5,1700.5,1554.5,1835.5,989.5,1004.5,935,1074.5,915,1232.5,2716,2728.5,2306
SMU_747c,357,448,771,653,480.5,1266,1080.5,983.5,1183.5,537.5,790.5,706.5,493,407,657,1197,1106.5,1068.5
SMU_748,136.5,159.5,237,233.5,154.5,284.5,222,369,257,304,265,283.5,222.5,176,245.5,266,292,241.5
SMU_750c,3,3,19,4,6,123,7,29,65,3,1,2,8,9,32,4,7,8
SMU_751,1759,2730,3230.5,3964.5,2163.5,4609.5,2952,3577,4146,2163,2110.5,2028.5,2973.5,2654,3071.5,1540,1685,1663
SMU_752,577,740,837.5,964.5,726.5,944.5,634,752,840,605,567.5,587.5,972.5,760,920.5,408,481,369
SMU_753,1624,2164,1725,1570,1451,1288,1436,1386,1634,2444,3258,3591,1914,1496,2127,2241,2619,2277
SMU_754,3862.5,4616,5950,4859.5,3309,5394,5754,5451,5419.5,4274.5,4263,4572.5,2927,2855.5,3159.5,7327,6903,6495
SMU_755,1870,2304,3027.5,2701,1738,4078,3579.5,3606.5,3929,1902,2286.5,2075,1867.5,1694.5,2169,3208,3087.5,2789
SMU_756,1793,3344.5,2515.5,4587,1959,2358.5,2495.5,2365.5,2556.5,1531.5,1464.5,1554,2162.5,1886,1888.5,3159.5,3415,3002.5
SMU_757,2751.5,4740.5,4076,5936.5,3202,2594.5,2919,3102,2922,2555,2028,2736.5,3464,2703,2943,5349.5,5671.5,5005.5
SMU_758c,945,876,961,595,972,2074,1300,2436,1516,774,1015,725,1051,700,844,336,337,342
SMU_759,691,953,1613,1697,1102,1673,1281,1649,1679,1293,1159,1193,1521,1293,1388,1031,1089,1160
SMU_761,1443,1722,2568,1799,1636,3131,1899,2570,2620,2098,2452,2211,2282,1758,2283,2261,2090,2013
SMU_764,903.5,1505.5,1768,1499.5,1258,2784,3933,4511,4739.5,1614,1729.5,1696,1395.5,1323.5,1613.5,3571,3657,3708.5
SMU_765,1586.5,3309.5,3138,2843.5,2223,2808.5,4878,5753,6508.5,3106,3411.5,3002,2927.5,2419.5,3108.5,8162,9243,8946.5
SMU_766,46,78,255,174,187,1157,413,316.5,715,70.5,57.5,77.5,66.5,186.5,466,147,154,109.5
SMU_767,37.5,56,210,100.5,106.5,639,200.5,295,473.5,92,81,102,82,133.5,336,125,139,119.5
SMU_768c,110.5,211,327,244.5,240.5,479.5,337.5,463.5,484.5,318.5,263.5,236.5,340.5,336,359,755,691,658
SMU_769,226,198,326,613,662,437,709,583,484,254,316,364,284,211,309,457,442,454
SMU_770c,264,356,709,1191,917,1548,1797,1327,1449,658,624,632,683,614,878,1400,1363,1281
SMU_771c,148,190,261,256,163,503,269,273,411,114,107,123,124,125,224,198,265,222
SMU_772,476,514,718,898,620,2022,1189,1248,1439,610,645,534,714,599,938,823,888,776
SMU_773c,925,1223,1958,2191,1403,3214,2160,2694,2606,1483,1380,1243,1746,1638,1771,1596,1544,1614
SMU_774,717,882,1091,1303,814,2058,1398,1818,1781,852,1017,898,1305,1055,1455,926,1043,995
SMU_775c,2870,4081,5456,5004,3470,4694,4167,4819,4628,4297,4381,4710,4529,4085,4576,6601,6267,5819
SMU_776,1068.5,1309.5,1740,1644.5,1155,2570.5,1351,2008,2006,917,1167,1296.5,1103,923.5,1183.5,1659.5,1583.5,1414
SMU_777,440,607,906.5,1074.5,829,1601.5,853,1284.5,1181.5,852,722,651,870.5,749.5,955,1192.5,1184.5,1259
SMU_778,501,629.5,841,756.5,617,1475,795.5,1152.5,1111,761,796.5,680,776.5,599,728.5,1422,1224,1222.5
SMU_779,1425.5,1660.5,1950.5,2133,1536.5,2719,2841.5,2454.5,2416,1554,1563,1488,1721,1302.5,1637,3388.5,3143,2992
SMU_780,2421.5,2940,2915.5,3858.5,2195,3431.5,2714.5,2784,3077.5,2373.5,2509.5,2252.5,2743.5,2019.5,2413.5,4001,4388.5,3958
SMU_781,954.5,1344,1735,1561,1336.5,2423,1537,2123,2071.5,1726,1681.5,1659.5,1564.5,1358.5,1506.5,2907,2931.5,2705.5
SMU_782,342,423.5,591.5,414,438,788.5,363.5,697.5,563.5,626.5,599.5,625.5,487,382.5,535,858.5,879,792
SMU_784,959.5,1153,1558.5,1466.5,1092,2681.5,1425,1556,2190.5,982.5,871.5,950,1060,969.5,1616.5,1344,1456,1389.5
SMU_785,159.5,229.5,337.5,252,177.5,635,331.5,441,464.5,293,280.5,253,249,198.5,297.5,301.5,320.5,311.5
SMU_786,293.5,362.5,577,480.5,327.5,979.5,589,710.5,701,458,506.5,516.5,430,408,453.5,604.5,559,659.5
SMU_787,1401.5,1974,2250,2285,1651,3015,2101.5,2476.5,2711,1629.5,1521.5,1727.5,1950,1828,2158.5,1641,1775.5,1727.5
SMU_788,475,713,727,1068,601,1091,949,926,843,500,536,467,803,686,851,752,664,619
