,covR_Cu1,covR_Cu2,covR_Cu3,covR_Cu4
CHF17_RS03400,5719,3656,4559,3059
CHF17_RS03405,3232,2419,2096,1435
CHF17_RS03410,7601,5004,3972,2538
CHF17_RS03415,2168,1647,1582,1091
CHF17_RS03420,6886,5504,5294,4735
CHF17_RS03425,55070,44914,28773,38794
CHF17_RS03430,8792,10080,6323,7626
CHF17_RS03435,3649,4274,4407,3204
CHF17_RS03440,687,529,567,605
CHF17_RS03445,1228,1024,881,874
CHF17_RS03450,709,522,596,528
CHF17_RS03455,965,620,776,706
CHF17_RS03460,788,565,634,578
CHF17_RS03465,189,142,237,188
CHF17_RS03470,664,714,954,1013
CHF17_RS03475,659,760,842,863
CHF17_RS03480,2255,2241,2766,2648
CHF17_RS03485,531,365,486,491
CHF17_RS03490,1038,747,1060,1021
CHF17_RS03495,1198,1015,909,1078
CHF17_RS03500,3010,1711,1757,1313
CHF17_RS03505,2813,1852,2063,1335
CHF17_RS03510,11925,8055,8023,8255
CHF17_RS03515,4346,3235,3848,3084
CHF17_RS03520,15547,16467,15068,14158
CHF17_RS03525,50416,38837,38181,29903
CHF17_RS03530,1704,1178,1510,988
CHF17_RS03535,1197,829,879,731
CHF17_RS03540,2154,1673,1640,1429
CHF17_RS03545,519504,422928,301649,265837
CHF17_RS03550,11604,8206,10641,6916
CHF17_RS03555,4683,4189,4007,2987
CHF17_RS03560,1138,1486,1312,1207
CHF17_RS03565,4887,4688,4628,3862
CHF17_RS03570,7054,5587,5273,4663
CHF17_RS03575,813,471,645,499
CHF17_RS03580,1194,872,894,766
CHF17_RS03585,388,298,391,232
CHF17_RS03590,17,12,7,11
CHF17_RS03595,7,8,6,11
CHF17_RS03600,45,21,32,14
CHF17_RS03605,4,2,1,3
CHF17_RS03610,4,1,0,4
CHF17_RS03615,11,10,7,7
CHF17_RS03620,3,4,1,1
CHF17_RS03625,3,2,4,4
CHF17_RS03630,29,18,25,24
CHF17_RS03635,22,10,16,21
CHF17_RS03640,1,1,1,3
CHF17_RS03645,14,14,9,6
CHF17_RS03650,9,9,14,14
CHF17_RS03655,295,186,215,119
CHF17_RS03660,7342,4675,5357,3724
CHF17_RS03665,195,188,211,128
CHF17_RS03670,61,54,48,46
CHF17_RS03675,21,17,13,16
CHF17_RS03680,42680,26625,26442,30562
CHF17_RS03685,29,27,32,36
CHF17_RS03690,26,31,29,33
CHF17_RS03695,7,6,4,10
CHF17_RS03700,85,47,90,79
CHF17_RS03705,32,25,35,22
CHF17_RS03710,321,266,279,226
CHF17_RS03715,81,52,67,51
CHF17_RS03720,645,309,410,311
CHF17_RS03725,496,428,465,417
CHF17_RS03730,376,407,543,391
CHF17_RS03735,136,134,167,102
CHF17_RS03740,192,250,267,183
CHF17_RS03745,326,315,339,257
CHF17_RS03750,28,27,19,18
CHF17_RS03755,8,6,10,8
CHF17_RS03760,9,5,10,8
CHF17_RS03765,28,15,28,41
CHF17_RS03770,2,1,4,5
CHF17_RS03775,48,43,41,50
CHF17_RS03780,13,11,15,14
CHF17_RS03785,20,22,25,27
CHF17_RS03790,23,22,36,28
CHF17_RS03795,183,190,179,194
CHF17_RS03800,72,55,50,41
CHF17_RS03805,4,3,8,2
CHF17_RS03810,4,3,2,1
CHF17_RS03815,13,47,14,23
CHF17_RS03820,4178,3425,3219,3003
CHF17_RS03825,463,381,384,261
CHF17_RS03830,2575,1831,1921,1870
CHF17_RS03835,230,159,151,189
CHF17_RS03840,7,7,3,6
CHF17_RS03845,3,2,2,2
CHF17_RS03850,15,6,7,3
CHF17_RS03855,9,5,4,5
CHF17_RS03860,2,2,2,3
CHF17_RS03865,3,3,3,3
CHF17_RS03870,1197,1376,1024,939
CHF17_RS03875,79,94,101,94
CHF17_RS03880,1647,1252,1146,1058
CHF17_RS03885,55,63,55,55
CHF17_RS03890,40,39,61,46
CHF17_RS03895,10,4,11,9
CHF17_RS03900,9,6,13,15
CHF17_RS03905,1166,1404,1544,1173
CHF17_RS03910,260,354,378,264
CHF17_RS03915,1333,1159,1292,827
CHF17_RS03920,1355,1093,1129,916
CHF17_RS03925,165,115,200,170
CHF17_RS03930,1286,958,838,869
CHF17_RS03935,4395,3970,3931,4221
CHF17_RS03940,783,773,696,636
CHF17_RS03945,1624,1613,1572,1429
CHF17_RS03950,9241,6722,7619,6335
CHF17_RS03955,5932,5024,4545,3367
CHF17_RS03960,880,927,860,793
CHF17_RS03965,748,795,799,831
CHF17_RS03970,627,650,726,735
CHF17_RS03975,2736,2662,3004,2422
CHF17_RS03980,813,741,648,482
CHF17_RS03985,89,89,71,74
CHF17_RS03990,23,29,18,21
CHF17_RS03995,22,21,18,16
CHF17_RS04000,817,633,591,568
CHF17_RS04005,1276,965,1103,941
CHF17_RS04010,19,15,13,9
CHF17_RS04015,13293,10362,9533,8989
CHF17_RS04020,2816,1900,2162,1813
CHF17_RS04025,1970,1455,1753,1442
CHF17_RS04030,1614,1193,1488,1271
CHF17_RS04035,5158,3803,4705,1998
CHF17_RS04040,16493,15388,19338,13926
CHF17_RS04045,12431,13405,17232,11933
CHF17_RS04050,3103,3889,4355,3303
CHF17_RS04055,13613,17609,18952,15310
CHF17_RS04060,25586,38317,39741,35996
CHF17_RS04065,23779,42106,40620,37898
CHF17_RS04070,50890,78792,97697,86250
CHF17_RS04075,20074,31943,37624,37451
CHF17_RS04080,50347,80417,102976,93502
CHF17_RS04085,45430,49324,56715,49577
CHF17_RS04090,31896,35025,34678,28465
CHF17_RS04095,48,44,68,81
CHF17_RS04100,81,60,86,98
CHF17_RS04105,244,286,406,432
CHF17_RS04110,302,346,437,465
CHF17_RS04115,31,21,43,23
CHF17_RS04120,16,18,19,15
CHF17_RS04125,4,6,4,2
CHF17_RS04130,13,15,11,16
CHF17_RS04135,17,17,21,20
CHF17_RS04140,92,69,98,76
CHF17_RS04145,177,174,166,146
CHF17_RS04150,143,132,140,143
CHF17_RS04155,64,48,48,40
CHF17_RS04160,104,90,89,83
CHF17_RS04165,5065,3059,3414,3199
CHF17_RS04170,2151,1334,1592,1519
CHF17_RS04175,2434,1493,1739,1622
CHF17_RS04180,1003,573,802,805
CHF17_RS04185,1091,849,1019,947
CHF17_RS04190,430,286,334,304
CHF17_RS04195,1883,1220,1382,1418
CHF17_RS04200,607,599,625,475
CHF17_RS04205,678,525,562,438
CHF17_RS04210,27,29,35,31
CHF17_RS04215,55,36,50,29
CHF17_RS04220,495,510,446,362
CHF17_RS04225,2908,1914,1843,1636
CHF17_RS04230,63,70,86,56
CHF17_RS04235,153,134,157,124
CHF17_RS04240,163,156,150,141
CHF17_RS04245,143,136,135,138
CHF17_RS04250,48,57,70,58
CHF17_RS04255,439,349,321,280
CHF17_RS04260,7213,5103,4477,4256
CHF17_RS04265,14220,10502,9264,8420
CHF17_RS04270,3133,3289,3533,3164
CHF17_RS04275,8515,8597,7854,6574
CHF17_RS04280,14488,13064,12685,11108
CHF17_RS04285,39141,34302,32884,26663
CHF17_RS04290,4121,2437,2591,1873
CHF17_RS04295,3956,3115,2883,2423
CHF17_RS04300,7281,4025,5080,4293
CHF17_RS04305,9643,5934,8488,7508
CHF17_RS04310,10405,6565,8291,6675
CHF17_RS04315,11329,8794,10578,7801
CHF17_RS04320,11344,7693,9326,6745
CHF17_RS04325,6019,5392,4871,4801
CHF17_RS04330,12622,14325,12422,9917
CHF17_RS04335,7870,9268,7123,5977
CHF17_RS04340,3400,3434,3094,2586
CHF17_RS04345,1520,1355,1157,1104
CHF17_RS04350,14026,11954,12619,9565
CHF17_RS04355,1836,1701,1604,1457
CHF17_RS04360,2257,2690,2257,2525
CHF17_RS04365,3074,4659,3760,5160
CHF17_RS04370,704,528,558,534
CHF17_RS04375,16560,10281,11751,12390
CHF17_RS04380,16596,10485,11374,11158
CHF17_RS04385,1562,1244,1190,1306
CHF17_RS04390,357,220,280,169
CHF17_RS04395,12757,13921,11062,9873
CHF17_RS04400,2818,3039,2371,2149
CHF17_RS04405,4380,3912,3362,4149
CHF17_RS04410,3237,3025,2570,3635
CHF17_RS04415,7633,6956,6010,5621
CHF17_RS04420,8238,7550,6842,6686
CHF17_RS04425,5174,4172,3764,3542
CHF17_RS04430,8260,6467,6827,5907
CHF17_RS04435,14812,10940,9124,10150
CHF17_RS04440,5718,5614,4578,3928
CHF17_RS04445,14035,15712,12017,10454
CHF17_RS04450,2258,1909,1841,1803
CHF17_RS04455,2397,1501,1719,1705
CHF17_RS04460,13925,9010,9563,8554
CHF17_RS04465,2838,3163,3141,2716
CHF17_RS04470,1266,1386,1793,1706
CHF17_RS04475,3768,4224,5098,4065
CHF17_RS04480,2024,1629,2012,1372
CHF17_RS04485,46635,30976,28331,22297
CHF17_RS04490,4974,3464,3011,2909
CHF17_RS04495,5891,3545,3872,3731
CHF17_RS04500,3799,2894,2854,2952
CHF17_RS04505,606,361,395,362
CHF17_RS04510,10999,8060,7791,8112
CHF17_RS04515,997,694,637,747
CHF17_RS04520,5024,4118,3489,3934
CHF17_RS04525,19493,12109,12558,9460
CHF17_RS04530,37144,29326,28988,23191
CHF17_RS04535,7467,6244,5862,5897
CHF17_RS04540,735197,486864,424828,373670
CHF17_RS04545,99374,72946,62186,54507
CHF17_RS04550,119135,88211,72432,64720
CHF17_RS04555,17736,16561,16793,11246
CHF17_RS04560,5755,4779,4549,3663
CHF17_RS04565,39060,27758,26092,26268
CHF17_RS04570,13091,9776,9733,7376
CHF17_RS04575,3260,1482,2090,1387
CHF17_RS04580,25460,22974,19821,20813
CHF17_RS04585,18393,16153,16418,13721
CHF17_RS04590,14801,10731,10047,8138
CHF17_RS04595,1108,820,844,625
CHF17_RS04600,2008,1114,1502,1223
CHF17_RS04605,2956,1528,2241,1541
CHF17_RS04610,4760,2727,3689,2519
CHF17_RS04615,166799,127946,128252,144250
CHF17_RS04620,1287,974,1390,786
CHF17_RS04625,3297,2312,2346,1908
CHF17_RS04630,6584,5113,4189,3688
CHF17_RS04635,554,680,587,437
CHF17_RS04640,176,165,156,134
CHF17_RS04645,663,501,455,436
CHF17_RS04650,2237,1228,1647,1251
CHF17_RS04655,2380,1261,1612,1156
CHF17_RS04660,363,306,341,270
CHF17_RS04665,4148,3212,3008,2792
CHF17_RS04670,13114,7983,8299,9054
CHF17_RS04675,696,414,501,488
CHF17_RS04680,530,489,558,436
CHF17_RS04685,1045,792,887,720
CHF17_RS04690,1813,1149,1312,1072
CHF17_RS04695,116,141,174,148
CHF17_RS04700,500,458,657,459
CHF17_RS04705,8640,6404,6227,5224
CHF17_RS04710,5116,4270,3308,3875
CHF17_RS04715,5273,3062,3364,2974
CHF17_RS04720,653,555,559,534
CHF17_RS04725,2134,1584,1379,1587
CHF17_RS04730,1117,754,848,741
CHF17_RS04735,803,578,577,447
CHF17_RS04740,99,75,93,64
CHF17_RS04745,5656,3295,3797,2975
CHF17_RS04750,386,256,370,195
CHF17_RS04755,13742,8992,9462,7214
CHF17_RS04760,673,859,982,749
CHF17_RS04765,2700,2193,2318,1816
CHF17_RS04770,50718,37706,36002,33296
CHF17_RS04775,4928,5230,5137,4726
CHF17_RS04780,21583,31483,26064,30534
CHF17_RS04785,2184,2200,2492,2151
CHF17_RS04790,1638,1140,1186,1270
CHF17_RS04795,53,39,43,32
CHF17_RS04800,105,61,55,58
CHF17_RS04805,72,40,49,46
CHF17_RS04810,147,124,93,105
CHF17_RS04815,2421,1926,694,1390
CHF17_RS04820,17498,12433,12964,11706
CHF17_RS04825,37767,29359,30861,25132
CHF17_RS04830,4502,3496,3128,3092
CHF17_RS04835,20642,15125,12616,16353
CHF17_RS04840,258042,203046,172868,151140
CHF17_RS04845,73850,52338,49897,44173
CHF17_RS04850,2849,2303,2781,1979
CHF17_RS04855,8729,5482,5818,4178
CHF17_RS04860,6351,4825,3733,4212
CHF17_RS04865,4132,2931,2954,2938
CHF17_RS04870,29085,21732,21028,17379
CHF17_RS04875,1030,919,856,829
CHF17_RS04880,5813,4627,4241,4265
CHF17_RS04885,28622,20613,18000,19540
CHF17_RS04890,2523,2122,1944,1811
CHF17_RS04895,118173,117149,115644,94268
CHF17_RS04900,70735,60222,65618,52072
CHF17_RS04905,82,142,68,84
CHF17_RS04910,65,130,33,62
CHF17_RS04915,113,182,50,107
CHF17_RS04920,54,89,45,78
CHF17_RS04925,48,86,53,81
CHF17_RS04930,53,110,49,73
CHF17_RS04935,51,92,52,82
CHF17_RS04940,49,70,50,79
CHF17_RS04945,7700,8705,6816,6311
CHF17_RS04950,1384,1406,1193,1176
CHF17_RS04955,3938,3440,3628,3248
CHF17_RS04960,4602,4399,3562,3707
CHF17_RS04965,6445,5820,5160,5211
CHF17_RS04970,842,692,739,643
CHF17_RS04975,13826,7929,8767,11079
CHF17_RS04980,5881,5101,5304,4599
CHF17_RS04985,2046,2956,2835,2685
CHF17_RS04990,7457,8709,8663,7628
CHF17_RS04995,1165,1480,1426,1454
CHF17_RS05000,708,1037,1187,1066
CHF17_RS05005,593,940,1018,970
CHF17_RS05010,997,1309,1397,1365
CHF17_RS05015,1087,903,896,1179
CHF17_RS05020,27012,32286,26764,29531
CHF17_RS05025,20328,21026,21889,18653
CHF17_RS05030,17307,17795,20697,20596
CHF17_RS05035,32007,45619,45001,49626
CHF17_RS05040,19154,30035,31163,33928
CHF17_RS05045,42661,54720,54302,58336
CHF17_RS05050,17547,19911,17878,18453
CHF17_RS05055,1242,2203,1737,1756
CHF17_RS05060,12716,9940,9128,8090
CHF17_RS05065,2103,1932,1578,1448
CHF17_RS05070,2710,2307,2504,2206
CHF17_RS05075,8153,7883,7619,6683
CHF17_RS05080,3092,3599,3338,3255
CHF17_RS05085,15298,17557,15277,14449
CHF17_RS05090,2501,1734,2031,1727
CHF17_RS05095,2971,2906,3008,2635
CHF17_RS05100,6255,6755,7426,5715
CHF17_RS05105,3924,3122,3307,2715
CHF17_RS05110,7564,5428,5123,4564
CHF17_RS05115,3761,3304,3009,2433
CHF17_RS05120,6935,5707,5912,4532
CHF17_RS05125,6842,6277,6956,5565
CHF17_RS05130,5028,6246,6980,5420
CHF17_RS05135,24580,22131,19719,17354
CHF17_RS05140,2794,2211,2362,1729
CHF17_RS05145,166,157,142,122
CHF17_RS05150,689,519,536,524
CHF17_RS05155,8743,5568,6245,5052
CHF17_RS05160,14053,9599,9231,7119
CHF17_RS05165,5355,4572,4637,4035
CHF17_RS05170,5158,5777,5497,4640
CHF17_RS05175,14795,16181,11758,10529
CHF17_RS05180,620,713,708,564
CHF17_RS05185,235,222,227,191
CHF17_RS05190,3037,2869,2571,1906
CHF17_RS05195,2001,1804,1723,1292
CHF17_RS05200,3408,2508,2469,2149
CHF17_RS05205,3122,2483,2631,2510
CHF17_RS05210,19750,29437,31549,23992
CHF17_RS05215,4668,6391,6992,5528
CHF17_RS05220,1409,1594,1829,1306
CHF17_RS05225,3849,3951,4563,3509
CHF17_RS05230,368,305,250,318
CHF17_RS05235,7442,4175,4145,4722
CHF17_RS05240,25571,19864,16613,14771
CHF17_RS05245,4653,4958,5664,4691
CHF17_RS05250,2645,1835,1949,1622
CHF17_RS05255,2039,1331,1521,1261
CHF17_RS05260,2615,1603,1827,1380
CHF17_RS05265,1807,1596,1624,1466
CHF17_RS05270,2298,1733,1796,1763
CHF17_RS05275,13871,9666,10360,11075
CHF17_RS05280,91643,201725,105684,143786
CHF17_RS05285,4809,3918,3862,3919
CHF17_RS05290,24299,15612,19234,20066
CHF17_RS05295,22442,14037,17494,18499
CHF17_RS05300,14229,8534,10390,10926
CHF17_RS05305,4876,4500,4531,3604
CHF17_RS05310,61207,71937,45252,43854
CHF17_RS05315,180415,168379,135336,116490
CHF17_RS05320,5376,4457,3933,4019
CHF17_RS05325,1308,1091,985,1011
CHF17_RS05330,34479,25430,22820,15784
CHF17_RS05335,1077,763,808,487
CHF17_RS05340,4905,3665,3561,3404
CHF17_RS05345,7362,5191,5560,4476
CHF17_RS05350,8937,8227,7261,6461
CHF17_RS05355,19626,12507,12004,13577
CHF17_RS05360,4864,3506,4673,2753
CHF17_RS05365,1539,1377,1218,1035
CHF17_RS05370,3287,2258,2276,2237
CHF17_RS05375,37684,31661,25489,23651
CHF17_RS05380,24011,24124,22682,16960
CHF17_RS05385,21935,23317,19725,16548
CHF17_RS05390,26881,22858,22107,17820
CHF17_RS05395,71928,45016,45434,37975
CHF17_RS05400,151841,106056,85713,76499
CHF17_RS05405,17092,17623,16413,14293
CHF17_RS05410,10194,9161,9254,7782
CHF17_RS05415,5623,4913,4956,4110
CHF17_RS05420,13700,8958,9249,9643
CHF17_RS05425,4443,2717,3086,2541
CHF17_RS05430,46991,41117,27037,25004
CHF17_RS05435,1659,1189,1317,961
CHF17_RS05440,13506,10242,9743,8925
CHF17_RS05445,1103,1005,1281,973
CHF17_RS05450,2759,2233,2401,2285
CHF17_RS05455,7584,5834,5311,5687
CHF17_RS05460,228,174,194,173
CHF17_RS05465,699,418,504,468
CHF17_RS05470,2771,1943,2292,2095
CHF17_RS05475,1405,1060,1101,1208
CHF17_RS05480,2384,1901,2043,1840
CHF17_RS05485,2124,1505,1694,1397
CHF17_RS05490,761,614,796,673
CHF17_RS05495,1389,1043,1134,984
CHF17_RS05500,1825,1120,1236,1035
CHF17_RS05505,26065,18360,18737,15512
CHF17_RS05510,5444,3885,4496,3351
CHF17_RS05515,7590,6015,6507,5717
CHF17_RS05520,3298,2939,2830,2714
CHF17_RS05525,44700,38268,38212,31578
CHF17_RS05530,6623,5724,5220,4121
CHF17_RS05535,6111,5964,5516,4185
CHF17_RS05540,4952,5184,5252,4398
CHF17_RS05545,4754,3948,4800,3898
CHF17_RS05550,4696,4435,4615,3644
CHF17_RS05555,4473,3764,3918,3069
CHF17_RS05560,2771,2292,2296,1752
CHF17_RS05565,8062,5778,5578,3830
CHF17_RS05570,3289,2178,2570,1544
CHF17_RS05575,8845,5320,5788,4171
CHF17_RS05580,3915,3623,3640,2844
CHF17_RS05585,3847,3617,3455,2805
CHF17_RS05590,3373,2762,3041,2708
CHF17_RS05595,9882,7731,9252,6803
CHF17_RS05600,4653,3336,4309,3114
CHF17_RS05605,40066,27974,26269,28196
CHF17_RS05610,2445,1868,2393,1992
CHF17_RS05615,957,699,723,643
CHF17_RS05620,15658,13252,11030,8138
CHF17_RS05625,138,168,201,152
CHF17_RS05630,21675,21371,21852,19647
CHF17_RS05635,12747,10280,14829,11463
CHF17_RS05640,16612,13493,18852,14693
CHF17_RS05645,19358,17989,18964,16757
CHF17_RS05650,3598,2952,2417,2108
CHF17_RS05655,5930,4505,4310,3595
CHF17_RS05660,6914,5329,5209,3826
CHF17_RS05665,522,241,353,207
CHF17_RS05670,2069,1460,1275,1555
CHF17_RS05675,870,703,808,559
CHF17_RS05680,2160,1560,1971,1634
CHF17_RS05685,175,229,217,216
CHF17_RS05690,255,340,345,272
CHF17_RS05695,108,103,148,83
CHF17_RS05700,235,342,373,300
CHF17_RS05705,489,611,738,560
CHF17_RS05710,136,189,228,197
CHF17_RS05715,519,616,649,576
CHF17_RS05720,972,1058,1085,947
CHF17_RS05725,1104,724,881,795
CHF17_RS05730,2041,1673,1928,1634
CHF17_RS05735,1809,1305,1755,1505
CHF17_RS05740,4048,4379,5716,4822
CHF17_RS05745,985,1123,1306,1095
CHF17_RS05750,148,145,207,142
CHF17_RS05755,247,289,448,358
CHF17_RS05760,1923,1845,2614,2103
CHF17_RS05765,469,373,500,405
CHF17_RS05770,381,334,444,376
CHF17_RS05775,1598,2069,2403,1984
CHF17_RS05780,385,544,640,536
CHF17_RS05785,394,531,638,507
CHF17_RS05790,5286,4725,4716,3580
CHF17_RS05795,1887,1686,1818,1430
CHF17_RS05800,2492,2611,2385,1937
CHF17_RS05805,8604,7829,8197,7155
CHF17_RS05810,10239,10016,9831,7828
CHF17_RS05815,5713,4232,3544,4806
CHF17_RS05820,7872,5047,5043,4396
CHF17_RS05825,1142,768,771,560
CHF17_RS05830,7540,6099,6361,5082
CHF17_RS05835,16689,13262,10647,8449
CHF17_RS05840,1629,1912,1882,1677
CHF17_RS05845,1440,1717,1972,1749
CHF17_RS05850,1689,1895,2059,1924
CHF17_RS05855,927,1085,973,1035
CHF17_RS05860,3526,3572,3919,3372
CHF17_RS05865,3544,3475,3911,3275
CHF17_RS05870,2862,2881,2843,2736
CHF17_RS05875,2083,1263,1146,798
CHF17_RS05880,2350,1187,1332,859
CHF17_RS05885,6433,3575,3853,3491
CHF17_RS05890,22953,17017,15105,13747
CHF17_RS05895,1007,737,836,690
CHF17_RS05900,6947,5148,6687,5622
CHF17_RS05905,3135,3435,4269,3853
CHF17_RS05910,1663,1973,2138,1998
CHF17_RS05915,4238,3853,5100,4876
CHF17_RS05920,4593,5451,5811,5582
CHF17_RS05925,1293,1873,1942,1913
CHF17_RS05930,1773,2501,2751,2624
CHF17_RS05935,3856,3849,3856,3802
CHF17_RS05940,3036,2468,2631,2404
CHF17_RS05945,502,310,319,320
CHF17_RS05950,17165,16629,13231,12856
CHF17_RS05955,13999,13063,11303,10159
CHF17_RS05960,27317,26725,21389,21241
CHF17_RS05965,4058,4026,3420,3115
CHF17_RS05970,29536,20151,19873,14661
CHF17_RS05975,11880,8867,7600,5366
CHF17_RS05980,9299,7338,6059,3426
CHF17_RS05985,2117,1612,1500,1595
CHF17_RS05990,1480,913,1082,909
CHF17_RS05995,29409,19742,21204,19440
CHF17_RS06000,601,439,525,380
CHF17_RS06005,15696,13321,11486,10435
CHF17_RS06010,3538,3399,3966,3089
CHF17_RS06015,3571,3906,3981,3397
CHF17_RS06020,4204,3332,3896,3413
CHF17_RS06025,2081,1276,1274,1347
CHF17_RS06030,12350,9404,8499,7118
CHF17_RS06035,15772,11401,11484,8754
CHF17_RS06040,5371,4553,4190,3364
CHF17_RS06045,4138,3267,2822,2832
CHF17_RS06050,1429,988,1184,1007
CHF17_RS06055,4714,3661,3157,3628
CHF17_RS06060,605,508,614,458
CHF17_RS06065,1355,814,936,888
CHF17_RS06070,2553,2243,2199,1969
CHF17_RS06075,77,67,77,65
CHF17_RS06080,1313,873,1025,878
CHF17_RS06085,7094,5887,5093,4647
CHF17_RS06090,6921,7295,6573,4892
CHF17_RS06095,4387,4301,4931,3582
CHF17_RS06100,5428,5873,6543,4765
CHF17_RS06105,6969,8051,7618,5882
CHF17_RS06110,4881,4637,4734,3520
CHF17_RS06115,2824,2518,2519,2011
CHF17_RS06120,2026,1669,2049,1572
CHF17_RS06125,3450,4093,4065,2983
CHF17_RS06130,1624,1924,2276,1768
CHF17_RS06135,3648,4314,5090,4125
CHF17_RS06140,2447,2523,3005,2757
CHF17_RS06145,2537,2656,2839,2646
CHF17_RS06150,1859,2255,2473,2306
CHF17_RS06155,3376,2351,2459,2075
CHF17_RS06160,23602,15512,16284,17206
CHF17_RS06165,6987,5807,5280,5010
CHF17_RS06170,3252,2648,2935,2391
CHF17_RS06175,5628,3622,4122,3704
CHF17_RS06180,826,525,543,483
CHF17_RS06185,181,84,100,89
CHF17_RS06190,1066,702,785,692
CHF17_RS06195,3061,1939,2237,2186
CHF17_RS06200,2013,1691,1766,1429
CHF17_RS06205,4870,4109,3882,3353
CHF17_RS06210,12786,9397,9541,7473
CHF17_RS06215,16282,19137,14957,15543
CHF17_RS06220,5812,7562,5882,5439
CHF17_RS06225,10256,12311,10195,10500
CHF17_RS06230,2463,2983,3016,2681
CHF17_RS06235,6219,6842,6995,6903
CHF17_RS06240,3044,3248,2944,3315
CHF17_RS06245,4375,3341,4354,3862
CHF17_RS06250,15546,12698,12530,9302
CHF17_RS06255,628,371,395,387
CHF17_RS06260,10714,7911,7144,8081
CHF17_RS06265,1137,1090,1175,1113
CHF17_RS06270,4409,3365,3434,3177
CHF17_RS06275,1625,1144,1233,1028
CHF17_RS06280,4204,2979,3290,2784
CHF17_RS06285,7797,5485,5734,5314
CHF17_RS06290,342,286,292,256
CHF17_RS06295,313902,244625,180297,203834
CHF17_RS06300,4352,3580,3380,2872
CHF17_RS06305,596,726,1025,383
CHF17_RS06310,2867,2011,1872,1596
CHF17_RS06315,13824,10698,9533,8009
CHF17_RS06320,10303,12199,11280,8838
CHF17_RS06325,7255,8820,7990,6316
CHF17_RS06330,3959,2943,2735,2671
CHF17_RS06335,3061,1951,2243,1880
CHF17_RS06340,8378,6662,6771,9076
CHF17_RS06345,10504,9452,11759,9484
CHF17_RS06350,4382,5099,5935,4589
CHF17_RS06355,6410,7600,9833,7665
CHF17_RS06360,5531,6295,9157,6816
CHF17_RS06365,6281,7935,11023,9322
CHF17_RS06370,5539,7340,9236,7762
CHF17_RS06375,4486,5369,7435,5817
CHF17_RS06380,5979,7847,9221,7983
CHF17_RS06385,5094,6191,7896,6996
CHF17_RS06390,2361,2813,3501,2786
CHF17_RS06395,3003,4417,4787,4062
CHF17_RS06400,10173,12042,14320,11276
CHF17_RS06405,9237,9051,10463,8447
CHF17_RS06410,9572,9240,10894,8610
CHF17_RS06415,6290,6081,6961,5216
CHF17_RS06420,20224,16006,19906,15930
CHF17_RS06425,2727,2010,1989,1872
CHF17_RS06430,1123,926,1000,877
CHF17_RS06435,8746,7581,8132,8157
CHF17_RS06440,6751,6653,6427,6739
CHF17_RS06445,7521,8341,9047,8715
CHF17_RS06450,4215,4936,5165,5799
CHF17_RS06455,1715,2113,2269,2548
CHF17_RS06460,4849,5825,5402,6046
CHF17_RS06465,2544,2895,2599,2670
CHF17_RS06470,7034,4840,5589,6300
CHF17_RS06475,2786,2665,2913,2640
CHF17_RS06480,22605,18679,17419,15928
CHF17_RS06485,3642,2509,2810,2250
CHF17_RS06490,3435,2724,3023,2501
CHF17_RS06495,3465,2272,2987,2191
CHF17_RS06500,5775,3587,4010,3006
CHF17_RS06505,11508,11680,11047,11151
CHF17_RS06510,22302,22467,21869,21009
CHF17_RS06515,8374,9279,9298,8860
CHF17_RS06520,9942,8862,9676,8261
CHF17_RS06525,1696,1782,1762,1471
CHF17_RS06530,1992,2169,2009,1864
CHF17_RS06535,3643,3046,3237,2845
CHF17_RS06540,11256,10515,9778,11274
CHF17_RS06545,2218,3548,3224,5045
CHF17_RS06550,6779,8709,6936,8293
CHF17_RS06555,1617,2183,2219,1903
CHF17_RS06560,2106,2312,2281,1986
CHF17_RS06565,2059,2222,1912,1984
CHF17_RS06570,4982,3383,3753,3090
CHF17_RS06575,16712,13631,10055,8516
CHF17_RS06580,30532,22083,23218,16105
CHF17_RS06585,311,193,256,158
CHF17_RS06590,7431,7320,8072,6451
CHF17_RS06595,4325,4820,4559,4193
CHF17_RS06600,5153,4925,5030,4339
CHF17_RS06605,2823,2386,3035,2264
CHF17_RS06610,5791,5226,5495,3946
CHF17_RS06615,1216,992,1045,823
CHF17_RS06620,3210,2263,2672,2471
CHF17_RS06625,5137,3922,4616,4054
CHF17_RS06630,332,285,374,291
CHF17_RS06635,1578,1809,1740,2144
CHF17_RS06640,1416,1915,2085,2157
CHF17_RS06645,7406,9343,9194,10000
CHF17_RS06650,5879,6544,6332,6410
CHF17_RS06655,7188,4664,5046,3996
CHF17_RS06660,1205,941,1070,885
CHF17_RS06665,5160,3922,3589,2720
CHF17_RS06670,2042,1307,1346,916
CHF17_RS06675,6089,3928,4792,4462
CHF17_RS06680,7948,4562,5431,5363
CHF17_RS06685,9366,6292,7157,6251
CHF17_RS06690,3514,2285,2460,2405
CHF17_RS06695,1034,759,815,696
CHF17_RS06700,7796,5400,5580,6761
CHF17_RS06705,8739,9020,6578,9855
CHF17_RS06710,701,637,747,990
CHF17_RS06715,169,150,152,220
CHF17_RS06720,1432,962,1124,1012
CHF17_RS06725,18088,20803,18093,19782
CHF17_RS06730,2378,1603,1854,1568
CHF17_RS06735,1181,703,860,924
CHF17_RS06740,424,268,319,299
CHF17_RS06745,162,104,152,136
CHF17_RS06750,64,44,52,49
