,"M1GAS2221_1 Mid-exponential, 35°C","M1GAS2221_21 Mid-exponential, 35°C","M1GAS2221_31 Mid-exponential, 35°C","M1GAS2221DfabT_11 Mid-exponential, 35°C","M1GAS2221DfabT_21 Mid-exponential, 35°C","M1GAS2221DfabT_31 Mid-exponential, 35°C","M1GAS2221_11 Mid-exponential, 40°C","M1GAS2221_2 Mid-exponential, 40°C","M1GAS2221_3 Mid-exponential, 40°C","M1GAS2221DfabT_1 Mid-exponential, 40°C","M1GAS2221DfabT_2 Mid-exponential, 40°C","M1GAS2221DfabT_3 Mid-exponential, 40°C","M1GAS2221_1 Early stationary, 35°C","M1GAS2221_2 Early stationary, 35°C","M1GAS2221_3 Early stationary, 35°C","M1GAS2221DfabT_1 Early stationary, 35°C","M1GAS2221DfabT_2 Early stationary, 35°C","M1GAS2221DfabT_3 Early stationary, 35°C","M1GAS2221_1 Early stationary, 40°C","M1GAS2221_2 Early stationary, 40°C","M1GAS2221_3 Early stationary, 40°C","M1GAS2221DfabT_1 Early stationary, 40°C","M1GAS2221DfabT_2 Early stationary, 40°C","M1GAS2221DfabT_3 Early stationary, 40°C"
M5005_Spy1239,61,44,60,168,149,179,153,330,238,171,175,182,122,101,83,253,253,175,251,357,570,246,434,291
M5005_Spy1240,24,22,20,63,74,82,77,177,150,79,72,62,43,42,27,113,85,93,105,170,198,99,172,104
M5005_Spy1241,47,40,41,125,157,189,160,373,280,173,178,144,117,123,60,231,231,139,286,382,576,196,368,267
M5005_Spy1242,41,33,54,168,130,174,151,298,242,169,133,148,94,66,57,205,234,132,265,354,516,259,411,275
M5005_Spy1243,28,24,25,98,66,84,116,204,130,90,73,95,49,51,27,133,109,87,174,234,356,192,263,187
M5005_Spy1244,35,28,36,129,174,175,152,377,279,151,144,156,82,73,52,231,186,162,200,275,452,204,344,268
M5005_Spy1245,30,23,30,116,126,138,131,254,198,151,126,125,56,68,41,205,152,118,182,279,350,166,252,218
M5005_Spy1246,705,704,756,1260,1166,1330,961,1634,1094,925,898,1058,295,368,264,589,758,483,481,674,1170,433,534,547
M5005_Spy1247,32,38,35,73,79,96,77,148,102,79,72,76,30,37,22,90,100,62,77,83,158,110,115,141
M5005_Spy1248,1648,1663,1443,1616,2007,2238,1630,3074,1841,1781,1979,2164,1235,1060,683,703,923,671,971,1122,1967,624,1525,894
M5005_Spy1249,1874,1748,1923,2123,1953,2360,2042,3031,1948,2010,2073,2357,1316,1190,807,995,1399,927,1132,1420,2488,1374,2513,1450
M5005_Spy1250,1626,1479,1736,1909,1593,1939,1906,2834,1838,1738,1901,2181,1388,1188,858,1064,1425,1084,1203,1543,2697,1756,2804,1647
M5005_Spy1251,3122,3148,2926,3627,3855,4767,3836,6021,3784,3543,3137,4291,1693,1707,1258,1401,1996,1465,2454,2510,4491,1614,2185,2202
M5005_Spy1252,6726,6399,6184,8083,7532,9544,7998,13027,8000,7888,6911,8957,4110,3841,2648,2795,4009,3046,4724,5501,9791,3442,5316,4330
M5005_Spy1253,2412,2288,2460,4010,3863,4634,3480,5940,3710,4192,3365,4720,1723,1645,1147,1312,2051,1611,2129,2402,4256,3476,7289,4075
M5005_Spy1254,821,873,911,1440,1502,1642,1155,2314,1291,1487,1446,1779,668,594,425,436,692,483,714,835,1462,1186,2402,1399
M5005_Spy1255,1634,1559,1702,3108,2578,2900,2107,3218,2278,2486,2203,3050,2257,1976,1424,1818,2554,1761,1786,2080,3800,2659,4031,2796
M5005_Spy1256,2194,2340,2528,3142,3077,3205,2469,4939,2769,3076,2714,3229,1256,1163,792,583,842,613,948,1118,2530,439,563,553
M5005_Spy1257,3765,3325,3639,5168,4347,4767,4079,6971,3779,4667,3717,4463,1611,1369,867,558,878,476,1069,1192,2402,273,411,380
M5005_Spy1258,1807,2132,2705,2096,2943,2518,1707,4111,1878,2168,1485,1673,1348,1267,854,328,400,299,602,715,1222,372,538,525
M5005_Spy1259,6063,6246,6814,11047,10135,12311,8718,14300,9269,11619,10043,12697,3325,2984,2252,2492,3971,2748,3991,4190,8666,2363,3383,3041
M5005_Spy1260,9988,13464,10019,112084,98190,106925,11343,18969,9947,57685,79802,89194,3439,3664,3884,74934,92425,81942,2780,3250,6599,48011,85489,79777
M5005_Spy1261,7992,9129,5845,173,65,145,10065,12318,6924,30,65,12,2284,2176,1677,40,14,66,1712,1731,3620,3,11,5
M5005_Spy1262,1433,1440,1421,1538,1507,1781,1867,3059,2063,1990,1942,2214,1944,1811,1458,1294,1802,1408,2189,2161,4253,2336,2393,2409
M5005_Spy1263,2195,2028,2102,2565,2323,2804,3058,4842,3180,3095,2978,3570,3223,3137,2164,1975,2659,2246,3217,3365,6091,3156,3794,3609
M5005_Spy1264,2954,2474,2556,3250,2636,2889,3765,5315,3651,3417,3255,3757,3818,3441,2295,1988,2772,2042,3492,3301,6443,2643,3378,2962
M5005_Spy1265,233,245,298,302,269,266,345,435,248,262,222,307,263,271,229,185,226,144,212,297,498,292,356,343
M5005_Spy1266,399,386,308,326,429,445,413,598,439,329,281,377,294,277,159,209,317,188,193,215,384,177,320,278
