,"M1GAS2221_1 Mid-exponential, 35°C","M1GAS2221_21 Mid-exponential, 35°C","M1GAS2221_31 Mid-exponential, 35°C","M1GAS2221DfabT_11 Mid-exponential, 35°C","M1GAS2221DfabT_21 Mid-exponential, 35°C","M1GAS2221DfabT_31 Mid-exponential, 35°C","M1GAS2221_11 Mid-exponential, 40°C","M1GAS2221_2 Mid-exponential, 40°C","M1GAS2221_3 Mid-exponential, 40°C","M1GAS2221DfabT_1 Mid-exponential, 40°C","M1GAS2221DfabT_2 Mid-exponential, 40°C","M1GAS2221DfabT_3 Mid-exponential, 40°C","M1GAS2221_1 Early stationary, 35°C","M1GAS2221_2 Early stationary, 35°C","M1GAS2221_3 Early stationary, 35°C","M1GAS2221DfabT_1 Early stationary, 35°C","M1GAS2221DfabT_2 Early stationary, 35°C","M1GAS2221DfabT_3 Early stationary, 35°C","M1GAS2221_1 Early stationary, 40°C","M1GAS2221_2 Early stationary, 40°C","M1GAS2221_3 Early stationary, 40°C","M1GAS2221DfabT_1 Early stationary, 40°C","M1GAS2221DfabT_2 Early stationary, 40°C","M1GAS2221DfabT_3 Early stationary, 40°C"
M5005_Spy0001,394,312,283,483,435,548,360,625,392,455,398,490,164,152,114,112,139,111,173,167,414,66,142,127
M5005_Spy0002,13393,17987,14969,141227,139776,164647,14437,27444,13640,84889,123435,145298,5586,6546,7195,108717,158401,134969,5266,5712,12421,111635,174828,188828
M5005_Spy0003,6352,9405,7683,75444,73383,77195,7613,13022,6812,40070,57444,67413,3432,3634,4151,71137,102826,72637,2923,3450,6957,64658,96896,100441
M5005_Spy0004,33347,44583,34115,331500,332039,373570,34744,66338,33838,211190,306252,336146,14867,16149,17493,300159,393200,341514,12632,14067,29287,251393,404848,413944
M5005_Spy0005,7662,10083,8570,76407,88389,96599,8097,16501,8158,47663,71746,87494,3677,4267,4533,68719,101415,75770,3236,3586,7595,59467,94346,111714
M5005_Spy0006,8119,8014,10045,12697,10501,12048,8534,13881,7925,9090,8774,10806,7192,6792,5121,4040,5290,3850,6548,7218,14924,3106,3520,3270
M5005_Spy0007,4191,4110,5273,17571,15769,17068,7885,14479,7241,14014,14684,16449,8468,8293,5447,8430,10200,7199,6659,7812,14610,6046,10537,10148
M5005_Spy0008,3430,3153,4555,13664,14068,13134,6477,12365,6336,11195,12130,14026,8402,9062,6479,10588,11877,8925,6669,8374,14444,10496,13795,15939
M5005_Spy0009,4671,4266,5651,16403,19543,16247,8890,17780,8776,15063,15354,19863,11927,12261,8766,16035,17490,13859,9744,12441,20629,16585,23434,28058
M5005_Spy0010,6811,6154,7615,22446,26795,22746,11790,27051,13148,20364,21064,26864,21292,22101,13996,27303,29114,21024,16295,22875,34213,22268,33926,39683
M5005_Spy0011,2036,1820,1778,3461,3152,3937,2428,2971,2590,2751,2537,3167,1253,1137,891,1252,1677,1595,1197,1182,2604,602,695,626
M5005_Spy0012,7249,9485,7774,23168,17721,19849,9328,10922,6018,8738,11715,14036,1069,1205,1219,9192,15184,11082,1250,1311,3144,11844,13629,13021
M5005_Spy0013,150,160,187,355,246,273,212,410,235,270,272,363,123,113,90,102,118,86,121,140,353,87,120,142
M5005_Spy0014,3166,3301,3223,3302,3412,3815,3265,5905,3774,3538,2722,3405,4766,4275,2614,2595,3321,3216,2687,3045,5270,3930,4215,4448
M5005_Spy0015,2250,2248,2496,2655,2511,3291,2421,3483,2421,2145,2232,2749,1573,1513,1095,2254,3004,2108,1289,1527,2610,2403,3126,2906
M5005_Spy0017,3126,3206,3372,4145,3950,4699,3199,5220,3707,3325,3217,3665,2063,1951,1448,3011,3934,2710,1776,2175,4073,3271,4936,4304
M5005_Spy0018,1029,943,978,1051,1266,1382,1072,1444,1025,963,943,1100,729,754,608,784,1163,683,651,720,1333,828,1200,1226
M5005_Spy0019,9948,3229,9225,2267,2839,2434,2523,3753,9079,1901,2271,2857,30894,34700,24335,8367,12803,7422,15074,21817,33696,17121,13891,12995
M5005_Spy0020,2669,1033,2986,992,1120,658,1038,1257,2027,596,846,859,26423,24959,16983,5471,5711,4162,12347,11178,20453,3750,5613,5113
M5005_Spy0021,8807,10614,8182,12237,10425,13294,8160,15304,8490,7550,8177,9247,2993,2874,2143,2722,3506,4259,2796,2834,6396,3684,3867,3415
M5005_Spy0022,90,90,106,129,152,180,101,147,144,85,109,111,739,783,630,743,874,478,576,701,1186,1837,2641,3085
M5005_Spy0023,4932,4272,5031,8984,7925,10607,6768,4722,7327,8695,8031,10829,11232,10304,7516,14119,19091,13318,6583,8727,14200,14312,16074,16781
M5005_Spy0024,45,26,42,37,57,62,45,78,59,44,49,52,324,317,254,373,412,232,229,274,422,811,1030,1120
M5005_Spy0025,7272,6455,10158,22151,19502,18661,11868,18410,14452,22083,20647,26100,65422,69763,47666,55906,67467,43783,53850,65280,110572,27785,44956,55981
M5005_Spy0026,11485,10225,15226,33443,33225,30576,18673,29985,22909,34634,32963,40541,105950,111088,77887,98214,121449,80549,83223,102536,172014,69776,97010,130510
M5005_Spy0027,394,353,467,460,488,604,520,763,595,522,503,680,1278,1244,1006,506,584,427,923,1092,2579,365,456,439
M5005_Spy0028,10163,10854,10859,13644,13319,15986,10403,17655,10987,12155,10628,13429,5536,5404,3878,7310,9989,7964,3539,4497,7961,4099,4260,5252
M5005_Spy0029,1011,997,1141,1049,1113,1200,1007,1728,1157,981,867,1016,1337,1312,863,859,1232,1054,900,1023,1931,1374,1353,1401
M5005_Spy0030,5905,4794,4740,3501,2679,4021,7051,3951,4751,2941,3247,4554,1495,1508,1017,10558,10672,4167,1635,1480,2682,3263,4234,2906
M5005_Spy0031,7317,8939,6407,11721,10620,14821,8026,13060,7316,10115,9476,11774,4594,4672,3650,4906,7770,7234,4135,4851,8550,6258,6481,6678
M5005_Spy0032,4385,3276,6411,3172,3368,5835,2788,4416,4100,4135,3566,4982,114429,117350,88594,60752,65409,50171,81520,84242,153309,68764,79421,104416
M5005_Spy0033,2261,1582,3712,1611,1535,2951,1322,2203,2219,2189,1812,2502,46328,47074,34367,25684,27957,22408,34391,39567,70343,32700,38526,47206
M5005_Spy0034,15298,16406,16227,14833,12549,14648,15792,23561,16461,12449,11792,14740,9038,7707,5255,8531,10944,8477,6631,7108,13114,10217,10890,9761
M5005_Spy0035,760,959,879,1273,1547,1442,874,1645,873,787,680,866,270,267,196,406,437,263,234,268,590,170,205,175
M5005_Spy0036,4042,4261,3828,4221,4458,6291,3894,7107,4249,4668,4155,5034,2094,2107,1470,1369,2253,1809,2115,2360,4539,1613,1990,2020
M5005_Spy0037,22,11,29,9,20,22,13,34,29,18,18,14,153,170,138,38,60,30,45,55,135,60,68,63
M5005_Spy0038,12727,1159,18454,1401,1211,1577,463,513,6159,626,704,862,202936,196728,133426,86709,88243,74118,86570,135532,208206,48074,56176,79806
M5005_Spy0039,6645,588,11244,807,866,967,254,253,3722,345,383,523,143766,148393,111852,61436,66043,48969,60776,95717,139547,49057,46262,85015
M5005_Spy0040,3407,546,7488,487,434,535,216,334,2431,348,340,412,88709,89050,59859,37612,35161,29646,45346,69047,104963,39772,37666,62200
M5005_Spy0041,2031,2014,1834,3000,2525,3445,1462,2177,1834,2499,2212,2592,1342,1174,774,1848,2245,1981,1041,1292,2205,1608,1950,1973
M5005_Spy0043,1272,1118,1030,1568,1282,1757,1327,1781,1572,1667,1614,1871,1429,1225,817,776,1136,745,1206,1328,2433,650,1045,781
M5005_Spy0044,8494,9707,9177,12652,12840,17387,9109,15852,9480,10420,10872,12450,5002,4681,3782,7572,10390,7581,4380,4549,8868,4699,4858,5540
M5005_Spy0045,4943,5130,4521,3361,3253,5217,5774,5186,5498,3451,2781,4163,3276,3138,2427,5810,7336,4673,2511,2886,5461,4747,5147,4825
M5005_Spy0046,6498,6167,6496,6932,5655,7842,5600,9704,6722,6836,5407,6770,3907,3423,2268,4053,4846,4515,3090,3607,6928,4995,5277,4237
M5005_Spy0047,605,597,635,1131,1143,1018,883,1269,979,980,935,1114,1002,958,677,905,1206,986,847,976,1894,975,1271,1280
M5005_Spy0048,100,114,113,122,108,164,133,208,100,115,85,121,61,53,35,56,89,49,82,84,183,66,99,86
M5005_Spy0049,6966,6925,6611,7185,7080,9301,6585,11304,7961,7656,6289,8219,5013,4537,3142,4507,5919,5489,4243,4831,8609,4990,5563,5392
M5005_Spy0050,308,277,243,303,279,406,439,592,449,479,425,522,367,350,238,246,315,306,276,356,599,357,399,407
M5005_Spy0051,2332,2196,3018,2804,2411,3441,2476,3382,2432,2508,2163,2960,7018,7619,5244,3662,5235,4118,3788,4387,7244,5339,5823,5986
M5005_Spy0052,1122,1222,1270,1911,1154,2006,940,961,1479,1178,1677,1094,411,362,219,250,332,189,218,224,402,162,232,141
M5005_Spy0053,683,752,706,1013,699,1191,634,523,972,655,954,655,303,225,153,118,175,86,116,100,220,97,121,91
M5005_Spy0054,1273,1331,1047,2272,2301,2916,1498,1249,1428,1588,1364,1724,513,483,405,999,1277,1101,476,465,964,581,535,537
M5005_Spy0055,1510,1486,1593,2340,2307,2506,1768,2893,1694,2068,1811,2271,897,864,606,1131,1397,857,807,954,1831,962,1184,1057
M5005_Spy0056,8965,8821,10323,11113,10473,13048,9382,15422,9484,9092,8025,10432,3988,3905,2830,5172,6596,4728,3772,4286,7614,5282,6948,6208
M5005_Spy0057,4807,4694,4425,5766,6465,6689,5377,10797,5951,6560,6143,7825,3307,3258,2196,2013,2762,2053,2360,2900,5844,1260,1686,1903
M5005_Spy0058,9459,8791,9551,11436,10522,13808,8841,14675,9209,9270,8764,10434,4561,4282,3002,4277,5614,4773,3672,4186,7819,4858,6781,5613
M5005_Spy0059,9720,10320,9981,11694,12201,14823,9859,15405,9661,10070,9591,11971,6096,6030,4556,7046,10297,7113,5669,6329,11282,5316,6784,7137
M5005_Spy0060,612,489,612,1025,1014,1015,797,1131,971,910,882,1083,1159,1029,675,1110,1378,1190,830,989,1671,1246,1468,1562
M5005_Spy0061,450,400,520,816,860,841,634,948,675,757,712,894,808,786,565,968,1081,941,664,733,1386,755,1026,1125
M5005_Spy0062,346,343,382,588,718,664,508,776,590,572,496,679,690,587,391,690,737,656,459,543,965,549,675,808
M5005_Spy0063,33,24,21,48,36,43,41,63,54,47,55,59,58,59,55,35,49,25,54,63,115,61,92,96
M5005_Spy0064,203,161,220,211,257,263,195,359,259,246,241,277,1410,1276,1052,659,663,479,1405,1523,3349,1418,1871,1678
M5005_Spy0065,32086,34814,31747,44862,42801,49863,43447,48220,41306,36667,30801,40934,15755,15366,11965,31763,45257,31356,13875,15732,29816,31931,34258,32720
M5005_Spy0066,46013,45624,40342,58767,48002,60842,50629,58552,48171,46521,38999,49230,15363,14999,10078,16051,22764,16305,12190,13436,26875,13957,19829,15577
M5005_Spy0067,12903,12965,12150,17149,13982,17690,16750,19230,17072,14374,12039,16042,6594,5900,4368,10876,15180,11868,5071,6145,11174,13664,14783,13444
M5005_Spy0068,34926,36786,32270,44895,44078,55897,47601,55615,47968,40799,34470,45804,18988,18461,14268,37383,51624,39278,16785,18902,33818,41244,43751,44443
M5005_Spy0069,18538,18456,12143,16851,20704,23691,17611,23785,19294,18123,16494,19108,5064,5316,3336,4672,6083,5087,3445,4142,8255,2685,4718,3870
M5005_Spy0070,11294,11747,10477,14928,13978,18089,13580,15590,12219,12009,9863,13424,4541,4396,3295,5592,9012,5693,3821,4116,8020,4194,5014,4827
M5005_Spy0071,15452,16243,10754,16593,19892,24334,20224,23299,19845,18669,15291,19319,7263,6913,5109,13676,18141,16130,5661,6383,11194,12381,13062,13774
M5005_Spy0072,7014,7635,5516,8110,9335,11746,8825,10415,7971,8113,6633,8335,2809,2878,2036,3578,5239,3941,2340,2527,4547,2325,2786,2907
M5005_Spy0073,856,723,847,1443,1468,1421,1116,1328,1263,1104,1194,1444,1364,1437,1097,1227,1651,1266,872,1181,1966,1290,1385,1699
M5005_Spy0074,6098,6259,5860,9211,9155,8746,6413,12426,6770,7193,7106,8160,1734,1525,1066,2578,3155,2050,1837,2071,4185,1626,1967,1733
M5005_Spy0075,663,698,803,1001,1152,1092,759,1900,970,1022,948,1156,830,856,675,774,1099,794,1228,1249,2211,1823,2396,2422
M5005_Spy0076,52,45,48,42,54,72,58,91,68,55,52,64,396,459,292,227,252,190,348,419,669,424,573,531
M5005_Spy0077,1608,1560,1548,2405,2844,3278,1878,3045,2024,2252,2337,2890,1691,1761,1367,1758,2458,1696,1060,1330,2541,1082,1394,1394
M5005_Spy0078,2300,3966,2746,3255,2758,4223,2516,2927,2606,2714,2145,3064,1186,1146,836,1087,2063,1280,1033,1193,2290,1803,2174,1837
M5005_Spy0079,221,245,158,180,211,251,255,348,205,211,188,231,165,150,98,110,139,80,102,106,219,70,111,79
M5005_Spy0080,293,282,242,311,275,346,367,480,299,296,277,328,161,196,112,79,163,91,168,153,310,79,139,97
M5005_Spy0081,2172,2040,2016,2417,2092,2690,2797,4425,2982,2698,2399,3145,7288,6839,4725,3628,4915,3626,4096,6047,9112,5067,5704,5970
M5005_Spy0082,18904,20634,15984,11166,6999,13621,19535,10649,11646,7349,7220,12216,6417,5530,3763,44441,44016,18216,4078,3329,5571,12743,15186,10706
M5005_Spy0083,41624,46534,31474,25786,15175,30351,46831,25488,28569,16642,16552,28582,14029,12453,8540,93593,96225,44053,9818,7942,13850,35676,40925,29186
M5005_Spy0084,3356,3108,3992,5521,5785,6121,3803,7767,4856,5646,4929,6376,5692,5265,3451,3615,4924,4583,4141,4872,8138,5126,5536,6105
M5005_Spy0085,4685,4876,5319,7597,7729,8527,5862,12518,6494,7099,6747,8474,1517,1357,1077,1211,1760,1721,2050,2158,4595,1423,1890,1651
M5005_Spy0086,1794,1696,1997,2737,3012,3274,1825,4588,2288,2651,2741,3116,684,670,453,635,787,759,711,773,1597,737,873,828
M5005_Spy0087,2707,2517,2874,4256,4201,4365,2691,7062,3237,3939,3564,4438,938,794,533,815,1053,1003,910,1155,2207,1000,1291,1157
M5005_Spy0088,34,24,21,18,15,19,28,27,22,17,18,26,24,31,24,34,33,23,29,41,48,36,55,45
M5005_Spy0089,7163,6242,7562,8424,7647,9671,5251,7028,5413,5414,5180,6164,8337,8112,5776,8370,9946,7693,5208,6047,10265,5841,6406,5661
M5005_Spy0090,2997,2630,3747,3491,2703,3603,2470,4575,2646,2760,2546,3094,2145,2058,1469,1842,2337,1540,1680,1975,3910,2343,3128,2053
M5005_Spy0091,2072,2054,2001,2803,2885,3455,2359,3867,2484,2788,2328,3050,2025,1999,1262,1815,2647,1835,1383,1527,2708,1532,1879,1932
M5005_Spy0092,1447,1235,1512,2836,2314,3471,2077,1319,2297,3013,2561,3479,2808,3039,2463,3763,5359,3708,3056,3749,6936,3614,4453,4373
M5005_Spy0093,1522,1638,1607,2307,2066,2577,2020,4137,2220,2618,1963,2986,2392,2207,1587,2205,3468,2400,5198,5566,10955,2725,2714,3333
M5005_Spy0094,1948,1922,1917,2801,2187,2685,2236,4324,2330,2755,2130,2987,2489,2131,1572,2381,3354,2268,4849,5520,11312,1681,2654,2478
M5005_Spy0095,1331,1151,1090,2535,2079,2242,2119,3188,2151,2232,2161,2761,1433,1308,869,1105,1321,1204,1202,1423,2735,928,1206,1193
M5005_Spy0096,3155,3216,3482,6667,6679,7626,4149,7155,4379,6182,5790,7787,5295,4611,3002,3382,4869,3844,3525,4099,7414,4720,6639,6098
M5005_Spy0097,161,108,177,154,138,124,91,118,159,69,74,92,672,639,444,330,457,234,243,295,512,227,343,333
M5005_Spy0098,302,231,390,179,245,196,174,241,297,136,135,185,1351,1497,1085,772,1141,493,634,751,1217,491,674,760
M5005_Spy0099,499,356,820,359,340,386,323,401,524,285,241,266,2306,2564,1705,1223,1758,779,1010,1128,1759,824,979,1155
M5005_Spy0100,1324,1289,1178,1467,1447,1704,1381,1991,1317,1474,1194,1492,808,675,449,696,1019,735,618,678,1323,1120,1721,1150
M5005_Spy0101,324,206,505,220,214,215,179,245,308,156,138,192,1354,1346,991,703,919,475,611,616,1103,465,578,664
M5005_Spy0102,8739,8839,10365,15052,14815,16994,11175,22540,13823,16804,14930,18865,15097,13041,8619,10839,13321,16040,15063,15843,27769,15570,12043,13238
M5005_Spy0103,12971,10762,15756,25194,25643,33536,14646,26953,20159,23799,19743,25477,76558,70026,42937,30477,36548,61310,63494,80536,122493,51992,46070,56944
M5005_Spy0104,11129,11760,14133,14247,17109,22362,9974,21706,12432,16600,13977,17299,91450,99963,59347,22172,27948,78046,158943,209482,258626,131319,81789,150535
M5005_Spy0105,11623,11744,13901,19933,18301,20091,12129,22444,13935,15650,14938,18132,15780,14111,9002,9255,11788,15567,17254,19419,36140,14692,16677,19248
M5005_Spy0106,9225,8275,9573,15154,13759,17376,11331,17645,11532,13761,12774,17417,6333,5810,4163,6862,9470,8306,6115,6822,13200,4815,5382,6129
M5005_Spy0107,4020,3604,4754,6389,6245,6627,3913,7901,4552,4905,5139,6113,6094,6045,4519,4807,6879,5836,4108,5477,9321,4553,4664,5942
M5005_Spy0108,287,317,326,751,831,956,282,706,384,593,679,852,379,406,362,408,585,381,336,408,938,172,249,245
M5005_Spy0109,8331,9191,9341,12522,10838,14939,9615,16128,10534,10396,11093,14601,7078,7312,5146,5795,8922,7934,7198,8071,15796,6997,6861,7861
M5005_Spy0110,1290,1258,1269,1760,1475,1700,1373,2138,1504,1524,1263,1504,1423,1264,914,1031,1420,1234,1079,1346,2408,1425,1603,1551
M5005_Spy0111,75,77,96,109,97,142,101,180,135,115,101,149,104,92,65,83,114,100,99,99,225,161,269,176
M5005_Spy0112,125,134,134,144,166,208,192,416,204,258,193,225,153,114,120,133,201,107,667,512,1255,360,538,392
M5005_Spy0113,34,64,57,40,43,70,60,139,65,102,66,62,32,59,41,37,50,37,244,174,413,87,143,97
M5005_Spy0114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5005_Spy0115,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5005_Spy0116,17,30,34,43,59,37,30,58,41,27,34,40,34,32,35,33,40,31,20,25,42,60,79,83
M5005_Spy0117,41,56,51,71,69,53,32,86,35,40,40,43,45,32,30,36,39,37,44,34,71,89,98,92
M5005_Spy0118,19,14,12,22,13,16,12,25,11,6,10,13,10,16,4,7,13,6,13,7,10,16,21,25
M5005_Spy0119,10,12,10,27,14,12,15,17,17,9,10,7,13,5,11,5,13,11,7,9,19,25,22,23
M5005_Spy0120,5531,2128,11904,2961,2886,3496,2733,3776,8477,3409,2910,3768,17112,17326,12095,18929,26901,14089,24478,25605,41714,45167,81824,67385
M5005_Spy0121,729,405,938,447,532,603,453,732,1145,575,537,654,2443,2535,1693,2438,3751,1962,2869,3053,4960,3522,8286,5882
M5005_Spy0122,179,63,694,124,100,107,97,101,249,110,80,110,443,558,410,493,803,346,687,834,1301,2343,3247,2596
M5005_Spy0123,5595,6487,5274,5534,5528,8069,6587,8401,5799,5843,5288,6472,2459,2432,1792,3911,5627,3543,2756,2560,4988,3105,3426,2712
M5005_Spy0124,9966,9318,10111,10350,9703,11355,11815,18688,13797,12089,9682,15251,13512,13829,11784,7458,9986,7565,10524,12749,25689,16738,20076,20926
M5005_Spy0125,3865,3976,4457,5597,5928,5163,5289,10431,5883,5477,5357,5972,2069,2001,1435,914,1250,1026,2461,2538,5454,1146,1575,1212
M5005_Spy0126,15776,14693,16832,29523,23400,27982,18951,30371,18845,23345,20090,26809,14830,13276,9069,13056,18171,13214,11325,12984,25075,9081,10385,10792
M5005_Spy0127,4751,4686,4291,6896,8660,9128,5471,9982,5973,6948,7210,8417,4647,4347,3321,4344,5810,4921,3292,3992,6884,2527,2629,3366
M5005_Spy0128,12281,12242,13792,22005,20748,23600,15501,25984,16158,18646,18463,22913,11382,10412,7800,10381,14657,12218,8615,10154,19194,9387,9009,9817
M5005_Spy0129,726,679,1009,1001,1040,1195,921,1557,1047,1034,912,1179,2146,2208,1810,1362,1779,1371,1392,1547,2737,1901,2169,2312
M5005_Spy0130,1892,1737,2000,3188,3802,4093,2337,3959,3036,3218,3388,4167,2112,2164,1651,1625,2254,1664,1802,2230,4326,1347,1753,1605
M5005_Spy0131,1578,1614,1748,3681,3467,4600,2205,3885,2621,3309,2958,4065,1827,1647,1228,1651,2556,1727,1829,2196,4497,2023,3100,2463
M5005_Spy0132,1639,2113,2159,2787,2256,2855,901,1715,775,818,874,1157,809,660,564,370,551,256,435,559,1366,315,538,374
M5005_Spy0133,1594,1639,2141,2912,3035,3096,1937,3933,2600,2933,2481,3134,1446,1259,865,835,1272,995,1322,1406,2803,965,1242,898
M5005_Spy0134,1015,1040,1084,1311,1249,1554,1031,1617,1134,1041,1020,1289,1265,1189,879,1024,1275,875,839,1228,2097,747,1049,1172
M5005_Spy0135,4452,4370,4604,6180,5329,6974,4919,7548,5048,5574,4629,5995,2648,2290,1671,4444,5397,4437,3017,3096,5357,6619,6475,6026
M5005_Spy0136,1475,1486,2176,15300,14912,17268,3637,20392,4574,16241,12583,16361,2652,2580,1754,2800,5461,3140,3068,3280,6987,3388,7853,7715
M5005_Spy0137,4224,4533,4259,6047,6207,6943,5481,9142,5224,6002,5068,6545,1884,1719,1203,3362,4476,3337,2315,2402,4699,4723,4927,4302
M5005_Spy0138,571,466,604,364,344,653,611,661,611,282,223,298,624,737,626,1162,1616,1056,740,636,1031,820,763,919
M5005_Spy0139,1864,1837,2078,2545,2397,2674,2155,3602,2439,2659,2515,3274,1268,1201,900,801,1337,886,1189,1251,2541,689,965,776
M5005_Spy0140,510,579,574,863,884,1006,677,1382,735,737,767,923,474,458,351,392,623,375,497,508,1060,429,540,485
M5005_Spy0141,63,49,53,51,43,82,79,145,101,104,62,104,62,64,44,63,90,65,69,80,144,87,160,142
M5005_Spy0142,3617,3600,4253,6084,5618,6403,3796,7208,4256,4757,4502,6059,2005,1980,1411,1569,2461,1750,1847,2208,4477,1733,2387,1960
M5005_Spy0143,16514,17693,18952,21786,22344,27393,14717,27187,16147,16056,14326,19193,6451,6149,4322,8350,10228,7754,4925,5188,10355,5721,6313,5787
M5005_Spy0144,2623,2594,3123,4204,4211,5152,2634,4672,2905,3301,3095,3977,7834,8296,5869,4435,6141,4024,4430,6372,10059,5285,6823,6411
M5005_Spy0145,4956,4475,4155,6909,6666,8493,5726,7794,5778,5905,5893,7493,3269,3207,2313,2148,2865,1960,2314,2758,5386,931,1520,1556
M5005_Spy0146,5492,5235,6031,6002,6570,7983,5457,8207,5964,5966,5179,6679,16281,17736,12022,8648,11542,9541,8872,10226,16828,10157,12212,13214
M5005_Spy0147,2391,2005,2516,3450,2906,3736,2161,3136,2276,1983,1854,2281,5046,4652,3280,5259,7112,4634,6297,8195,12016,5657,7140,6544
M5005_Spy0148,7114,6355,7362,7190,6966,8780,6095,9840,6817,7003,6563,7771,16398,15977,10535,9307,10858,9700,7096,8645,15034,9981,11919,11007
M5005_Spy0149,719,291,670,356,311,415,364,848,675,475,486,606,5130,5257,3850,3402,3343,2485,4238,7847,8817,3243,3764,3966
M5005_Spy0150,802,489,748,269,230,312,568,603,836,793,798,993,13007,13031,9251,2210,2284,1402,7673,8207,16486,2228,3400,3803
M5005_Spy0151,2714,2934,2754,3625,3287,4207,2942,5672,3533,3952,3471,4318,2442,2296,1734,2434,3147,2440,1991,2468,4804,2801,3472,2956
M5005_Spy0152,1115,1111,999,1620,2006,2403,1461,2499,1738,1856,1745,2136,929,918,626,953,1169,1120,777,920,1678,674,790,776
M5005_Spy0153,3507,3223,3437,4648,4375,5877,3893,6221,4567,4611,4026,4979,3338,3082,2317,2755,3873,3070,2706,3322,5725,3518,4561,4034
M5005_Spy0154,531,429,552,973,870,1043,759,1413,934,923,957,1285,847,916,652,681,981,624,860,1114,1940,832,1219,1031
M5005_Spy0155,11418,10497,10919,15866,14192,18145,14843,21559,15609,16795,15171,19730,8048,7201,5262,8588,11429,11272,7114,7798,15093,13621,13875,13118
M5005_Spy0156,1007,1063,1035,1724,1569,1953,1476,2600,1436,1789,1564,1926,718,661,503,523,828,640,852,859,1635,445,641,650
M5005_Spy0157,30501,34049,26411,38670,40563,50702,32642,53843,33020,37691,36020,41508,17597,14901,11286,19453,23343,30102,12988,12577,27330,21372,22621,22691
M5005_Spy0158,10299,10076,9818,14368,14341,18969,11437,19143,11266,14247,12315,15804,11433,11169,8183,10748,14705,12974,8104,9366,16683,13945,16496,16313
M5005_Spy0159,11280,10829,11583,15853,14794,20190,13160,20640,12431,15310,12977,16810,11690,11352,8580,10647,15966,13800,9619,10775,19026,18080,19851,19245
M5005_Spy0160,5251,4849,5177,8532,8026,10179,5742,10175,6743,7800,7550,9341,4437,4215,2889,3962,5280,5814,4188,4820,9022,3654,4038,4066
M5005_Spy0161,3278,3240,3417,4257,4161,4041,3812,7453,4432,4091,4021,4756,1944,1719,1151,1276,1619,1444,2114,2378,5531,1738,2506,1737
M5005_Spy0162,4555,4986,5207,5707,5687,7588,4783,8729,5100,5555,4834,6212,2557,2592,1818,1741,2925,2456,2455,2667,5224,2849,3253,3106
M5005_Spy0163,5943,4822,5413,7412,7087,8227,7048,9733,7516,6448,6378,7679,9078,8529,5632,7488,9694,8592,6383,7634,12631,7002,8552,9313
M5005_Spy0164,9993,10624,10777,10554,10341,14955,9771,15291,10636,11286,10355,12962,9010,9242,6473,7411,10731,8866,7888,8630,15177,8900,10370,9569
M5005_Spy0165,2435,2338,2443,3036,3100,3112,3292,5975,3414,3155,2931,3481,1716,1546,1031,1382,1861,1445,2064,2300,4669,2000,2311,2208
M5005_Spy0166,4045,2814,6557,4128,4916,4662,3074,6315,5475,2915,5116,3890,11457,11844,7786,6178,7471,8048,11615,13776,20911,12366,12024,15274
M5005_Spy0167,36013,23357,77181,37029,44475,55406,19134,39517,47372,27300,48459,38929,232019,272325,167626,101312,132357,153267,265765,336952,422695,195703,163848,242915
M5005_Spy0168,4765,4405,4797,8014,8089,10491,5703,10312,6724,7768,7191,9436,6722,6590,4712,8978,10165,11109,6669,8072,13680,8257,7409,9529
M5005_Spy0169,378,351,368,242,214,337,470,867,586,408,346,517,203,168,108,173,170,136,274,248,510,191,267,217
M5005_Spy0170,2372,2212,2470,3480,3557,3972,3137,6110,3841,4008,3739,4444,2165,2036,1487,1398,1899,1804,2246,2532,5038,2067,2530,2377
M5005_Spy0171,1593,1765,1759,2112,2172,2678,1710,3236,1967,2219,1991,2542,1129,1142,810,909,1460,868,1130,1245,2588,974,1421,1167
M5005_Spy0172,181,158,164,191,183,271,199,215,227,163,159,186,391,374,310,328,417,272,235,249,459,485,652,568
M5005_Spy0173,503,492,514,612,558,740,546,733,652,513,478,687,1236,1199,894,873,1053,821,686,754,1439,1459,1980,1570
M5005_Spy0174,6131,5835,6517,6962,7531,7391,6632,13181,7247,5005,4208,5434,3750,3368,2334,4252,5361,4474,2514,2712,5363,3494,3250,3270
M5005_Spy0175,636,660,716,915,1090,975,850,2000,964,720,658,847,300,246,197,464,609,466,285,291,587,498,575,485
M5005_Spy0176,514,532,633,753,858,756,712,1693,785,591,575,646,314,283,223,407,595,394,303,384,695,535,547,513
M5005_Spy0177,966,977,1023,1295,1477,1348,1390,3299,1471,1122,1054,1233,504,441,360,698,1018,752,565,635,1094,983,918,1011
M5005_Spy0178,721,871,896,1136,1159,987,1028,2574,1259,846,859,1026,349,323,217,552,717,573,392,424,1006,759,815,838
M5005_Spy0179,11067,7773,17195,14671,12963,14646,13127,18508,15579,10989,10956,15095,55486,63676,43887,15851,24640,14961,27360,35679,59507,6908,12079,16903
M5005_Spy0180,195,150,239,150,175,188,159,263,190,152,166,179,821,797,574,450,436,469,757,919,1345,533,650,572
