Locus_tag,Cont_1,Cont_2,HPUra_1,HPUra_2,Kan_1
SPD_0916,425358,540445,250594,163980,303868
SPD_0917,118311,168118,64326,48242,92597
SPD_0918,73366,118908,50797,38546,55090
SPD_0919,3526,15856,5936,5673,9421
SPD_0920,1720,3419,2656,1265,1614
SPD_0921,37103,82124,39776,39788,73595
SPD_0922,30627,34907,20000,14580,30611
SPD_0923,3305,6871,4172,3246,7200
SPD_0924,21913,24944,13013,9347,20269
SPD_0925,23127,24286,21012,11856,22120
SPD_0926,91106,84280,33368,20085,59903
SPD_0927,41237,53983,23845,10820,60169
SPD_0928,18097,42046,10734,5427,37190
SPD_0929,9331,22667,4381,3319,18679
SPD_0930,4500,6572,2780,1709,8407
SPD_0931,14998,23449,10634,6781,48183
SPD_0932,10371,26247,4432,3867,15185
SPD_0933,12645,26469,7082,5148,14207
SPD_0934,403,3637,1828,846,110
SPD_0935,789,706,597,311,403
SPD_0936,2138,2767,1883,755,230
SPD_0938,1195,7175,2347,318,232
SPD_0939,11636,23488,9239,2579,16379
SPD_0940,1101,3016,1454,0,505
SPD_0941,1415,3868,3031,872,2672
SPD_0942,2509,5465,1311,335,2699
SPD_0943,1952,6269,2536,884,1894
SPD_0944,2374,9804,1442,1367,730
SPD_0945,960,9155,1614,1973,5992
SPD_0946,2719,6349,1515,258,1650
SPD_0947,1765,6022,592,695,1438
SPD_0948,2454,7199,1737,1564,4207
SPD_0949,1832,2718,2831,1047,2160
SPD_0950,11874,15145,5285,829,9154
SPD_0951,704,1431,393,288,0
SPD_0952,717390,689817,472138,198820,464496
SPD_0953,1678345,1259397,1013826,505881,1099547
SPD_0954,161762,187390,71215,40733,91472
SPD_0955,113922,113826,58324,41269,81722
SPD_0956,109297,95113,54507,34068,79670
SPD_0957,2569959,1610713,1465093,922975,2200962
SPD_0958,1434162,1109335,926052,588082,1158701
SPD_0959,688436,541962,394295,255078,527284
SPD_0960,641053,518608,372297,192917,504854
SPD_0961,345620,270123,225239,144065,268676
SPD_0962,52494,32406,36921,24480,47783
SPD_0963,44991,53313,36793,21968,68277
SPD_0964,1027566,1021959,534923,345079,869798
SPD_0965,83024,95605,32991,18404,49443
SPD_0967,819438,567237,546591,246412,832185
SPD_0968,282661,168301,146391,69542,211256
SPD_0969,755849,455292,429331,184975,518056
SPD_0970,702052,467039,248524,131386,333078
SPD_0971,16728,8854,8548,3606,16245
SPD_0972,9313,7570,4466,2924,7629
SPD_0973,401418,293914,195755,120327,283650
SPD_0975,19359,27557,6867001,4419209,682147
SPD_0974,343926,342826,188665,90076,259075
SPD_0976,306491,328526,188238,80984,271471
SPD_0977,225448,164677,95488,42382,128490
SPD_0978,854839,611180,394345,145947,572562
SPD_0979,1588198,1012804,783278,212107,1035003
SPD_0980,737013,478580,354404,124102,531076
SPD_0981,84830,60059,52691,19738,52401
SPD_0982,298562,238256,218174,142461,189811
SPD_0983,156740,95614,114812,79550,93176
SPD_0984,129643,67474,84795,45909,58232
SPD_0985,142269,119415,89396,49591,79179
SPD_0987,332429,296635,159731,49711,229613
SPD_0988,204783,155357,120024,57451,166560
SPD_0989,6645256,5655233,2758192,1326492,3382518
SPD_0990,15348965,9913286,6359548,3428130,7805085
SPD_0991,2342470,1677581,945716,525958,1296807
SPD_0992,249,1500,314,175,0
SPD_0993,236,1034,104,129,0
SPD_0994,410519,362780,2235012,991982,9567765
SPD_0995,79717,104920,47625,12946,63196
SPD_0996,715507,647572,523673,221822,614243
SPD_0997,211949,241657,103153,67392,127005
SPD_0998,981881,665615,711842,392082,664029
SPD_0999,457622,383363,348405,163901,321427
SPD_1000,241129,295837,146922,87201,175195
SPD_1001,873296,674492,460026,201152,580049
SPD_1002,1247379,885589,592697,266721,682116
SPD_1003,403,229,100,0,89
SPD_1004,168219,242192,114000,46085,187650
SPD_1005,59117,63273,25988,16106,43500
SPD_1006,61717,54482,30329,16280,52991
SPD_1007,58431,63327,31494,13856,37532
SPD_1008,55742,82559,23767,13099,26605
SPD_1011,4539,12655,4866,2005,2341
SPD_1010,120313,144493,58654,21948,79489
SPD_1012,10283882,7902746,4749304,1775051,8486088
SPD_1013,52815,54012,44749,15785,30448
SPD_1014,399656,510364,325529,107446,428520
SPD_1015,601786,478451,280018,124108,286232
SPD_1016,655448,452262,276827,122026,329825
SPD_1017,227026,163151,99404,44069,122744
SPD_1018,1321864,1250807,590128,291120,1239912
SPD_1019,178020,122009,92439,35157,98696
SPD_1020,443179,317479,174993,74561,207381
SPD_1021,870323,936143,316819,166613,388835
SPD_1022,510,566,0,170,395
SPD_1023,69287,65937,36932,15752,73557
SPD_1024,247991,173277,145645,60947,219915
SPD_1025,267517,235117,176725,71997,224860
SPD_1026,209869,164503,144499,47280,208910
