GeneID,X51146,X51147,X51148,X51149,X51150,X51151,X51152,X51153,X51154,X51155,X51156,X51157
EW025_RS00005,7774,5799,5519,7135,7401,5478,207,349,1071,1336,707,1046
EW025_RS00010,7676,8873,7866,7321,8247,6520,305,617,1175,1388,1136,1415
EW025_RS00015,467,554,319,987,300,254,6,58,281,347,74,121
EW025_RS00020,4067,3579,3292,4479,3835,2564,839,564,1142,1375,1179,989
EW025_RS00025,453,937,588,1196,549,315,38,86,313,376,145,175
EW025_RS00030,3180,6533,4738,8888,3268,2316,323,686,3050,3883,699,989
EW025_RS00035,338,566,427,911,304,273,20,78,258,311,68,112
EW025_RS00040,497,1035,845,1156,647,670,17,80,235,276,117,174
EW025_RS00045,2082,3043,2601,3055,2310,1931,173,262,808,1053,421,500
EW025_RS00050,1427,2980,2442,4735,2620,2238,65,252,767,791,256,318
EW025_RS00055,8644,8825,8350,11606,7808,7717,128,348,741,814,684,715
EW025_RS00060,64929,79684,73258,62965,57085,51667,16633,34596,23076,32945,6269,5984
EW025_RS00065,6133,5706,3557,6745,6524,3200,88,431,1467,1730,351,498
EW025_RS00240,425,734,293,1170,202,204,19,100,773,808,96,145
EW025_RS00245,68359,34131,39562,51706,52463,32445,1126,1364,1931,3345,1506,1453
EW025_RS00250,5341,5016,5807,4989,6031,4094,1020,2243,2023,2493,836,920
EW025_RS00255,630,1365,783,2714,722,696,59,342,1012,1267,497,619
EW025_RS00260,4237,5037,3317,7623,3624,3398,1494,1545,2996,3560,2131,2356
EW025_RS00265,138,310,163,767,178,173,22,90,219,306,132,140
EW025_RS00270,233,1346,438,3220,242,345,766,2347,1490,1872,289,529
EW025_RS00275,1736,4013,2326,6532,1638,1951,15324,33569,9661,18904,3471,8761
EW025_RS00280,900,1829,1122,2997,843,861,7175,12515,4480,9642,1601,4228
EW025_RS00285,636,1631,928,3260,604,670,6789,8566,3731,7443,1283,2947
EW025_RS00290,413,984,600,2177,390,403,3970,5153,1987,4591,836,1806
EW025_RS00295,1201,1952,1433,2860,1020,1031,6782,11756,4221,9987,1978,4691
EW025_RS00300,294,1396,605,3125,319,330,1153,1999,1653,3008,472,1049
EW025_RS00305,875,1893,997,3555,712,763,1763,2768,1866,3641,681,1156
EW025_RS00310,198,468,213,851,166,207,568,792,488,847,213,296
EW025_RS00315,678,1420,817,2343,647,697,1453,2086,1387,2774,526,887
EW025_RS00320,1373,4892,2513,7400,1840,1637,589,2361,3521,4542,1114,1438
EW025_RS00325,3123,4704,3687,4047,2735,2424,1921,4346,2485,3630,1505,1754
EW025_RS00330,583,2733,873,3844,407,609,295,611,1789,1826,545,685
EW025_RS00335,17640,13453,8200,9351,9900,6993,1992,1508,2082,3295,2715,2487
EW025_RS00340,5041,3212,2229,2985,2719,2361,2778,1043,1507,858,3183,3968
EW025_RS00345,4591,3125,2172,2887,2085,2196,3849,1462,1770,1083,3768,3418
EW025_RS00350,14450,15500,11535,11548,10281,11281,16931,13365,11990,9020,27191,22144
EW025_RS00355,33814,103788,75321,42582,85441,36979,11694,59558,29740,31896,6250,5806
EW025_RS00360,1822,4730,2480,5451,2169,1069,3838,8618,6575,8710,2631,2385
EW025_RS00365,1808,3207,1815,6599,1563,1094,346,762,2833,3958,727,843
EW025_RS00370,5119,4011,7588,2934,3476,3615,1412,1707,970,1118,385,597
EW025_RS00375,4252,4783,7758,3188,3979,4656,2735,5225,2203,2357,771,1166
EW025_RS00380,6239,5248,9625,3091,5583,4559,5708,11517,5063,6492,1197,1864
EW025_RS00385,3663,3308,5745,2172,3725,2676,3023,6903,3582,4417,625,1348
EW025_RS00390,19131,13504,23142,8117,16009,10157,14034,26194,13094,17788,2783,4852
EW025_RS00395,9344,6531,9466,4127,7598,4287,5423,10602,5733,7928,1053,2201
EW025_RS00400,9200,6440,9562,4198,7610,4253,6118,10468,6454,8481,1175,2415
EW025_RS00405,21991,13629,18669,9413,17698,9093,12144,19862,12717,17363,2297,5079
EW025_RS00410,19713,10592,13798,7285,14362,6909,9157,13223,8609,12286,1634,3506
EW025_RS00415,5662,3900,4376,2757,4890,2409,2494,4310,3080,4304,662,1304
