,covR_Zn1,covR_Zn2,covR_Zn3,covR_Zn4
CHF17_RS03355,6788,5372,6045,5106
CHF17_RS03360,11876,9079,10301,9138
CHF17_RS03365,1366,1421,1372,1198
CHF17_RS03370,3119,4249,3321,2974
CHF17_RS03375,4077,4943,4431,3367
CHF17_RS03380,4496,4983,4588,3981
CHF17_RS03385,10784,11912,11488,9293
CHF17_RS03390,2074,2224,2215,2070
CHF17_RS03395,30218,36363,31380,26266
CHF17_RS03400,3779,4497,4001,3002
CHF17_RS03405,1706,1779,1367,1704
CHF17_RS03410,5402,4107,4580,2844
CHF17_RS03415,2076,2129,2048,1437
CHF17_RS03420,6625,8374,7098,6398
CHF17_RS03425,37383,37588,36289,39981
CHF17_RS03430,5864,7622,7529,8220
CHF17_RS03435,3385,3455,3935,4153
CHF17_RS03440,1152,961,1189,1121
CHF17_RS03445,2227,1943,2404,1939
CHF17_RS03450,1470,1347,1651,1281
CHF17_RS03455,2174,2036,2590,2035
CHF17_RS03460,1864,1789,2315,1624
CHF17_RS03465,518,592,737,500
CHF17_RS03470,2878,2487,3059,2409
CHF17_RS03475,2589,2017,2503,2196
CHF17_RS03480,7270,6072,7689,6132
CHF17_RS03485,927,1022,1013,833
CHF17_RS03490,1849,1810,2023,1592
CHF17_RS03495,1790,1759,1908,1876
CHF17_RS03500,2288,2176,2125,951
CHF17_RS03505,2064,2262,2250,914
CHF17_RS03510,7693,9529,8393,6999
CHF17_RS03515,4240,6816,5533,2792
CHF17_RS03520,18309,24303,20109,14814
CHF17_RS03525,43295,41794,42223,34153
CHF17_RS03530,1514,1528,1732,1206
CHF17_RS03535,1159,1137,1143,1042
CHF17_RS03540,2207,2283,2406,2047
CHF17_RS03545,315099,296873,308791,280977
CHF17_RS03550,9429,9200,10789,8982
CHF17_RS03555,5067,4496,4815,3579
CHF17_RS03560,1514,1577,1590,1600
CHF17_RS03565,5856,5613,5900,4793
CHF17_RS03570,5693,6210,6059,5410
CHF17_RS03575,643,718,696,518
CHF17_RS03580,933,1039,1035,832
CHF17_RS03585,321,406,438,278
CHF17_RS03590,17,19,14,24
CHF17_RS03595,19,11,18,9
CHF17_RS03600,53,47,59,41
CHF17_RS03605,5,2,8,6
CHF17_RS03610,5,5,3,8
CHF17_RS03615,22,11,19,12
CHF17_RS03620,8,3,6,4
CHF17_RS03625,6,3,8,4
CHF17_RS03630,50,35,52,39
CHF17_RS03635,35,29,52,41
CHF17_RS03640,3,3,6,3
CHF17_RS03645,25,17,34,23
CHF17_RS03650,36,28,48,29
CHF17_RS03655,268,197,211,92
CHF17_RS03660,5440,4625,5211,3578
CHF17_RS03665,273,260,289,236
CHF17_RS03670,75,81,80,84
CHF17_RS03675,24,27,29,20
CHF17_RS03680,23322,30235,28183,23963
CHF17_RS03685,28,49,49,43
CHF17_RS03690,48,55,64,60
CHF17_RS03695,10,8,14,8
CHF17_RS03700,109,158,130,95
CHF17_RS03705,38,48,45,33
CHF17_RS03710,299,384,355,182
CHF17_RS03715,70,101,98,48
CHF17_RS03720,458,455,444,291
CHF17_RS03725,379,739,468,288
CHF17_RS03730,445,552,411,310
CHF17_RS03735,157,164,171,96
CHF17_RS03740,277,234,257,172
CHF17_RS03745,362,308,357,242
CHF17_RS03750,27,26,25,17
CHF17_RS03755,16,15,18,16
CHF17_RS03760,22,20,21,28
CHF17_RS03765,105,76,78,97
CHF17_RS03770,4,6,4,8
CHF17_RS03775,115,110,128,146
CHF17_RS03780,30,35,36,39
CHF17_RS03785,56,52,55,68
CHF17_RS03790,40,53,50,75
CHF17_RS03795,270,253,325,394
CHF17_RS03800,70,68,66,77
CHF17_RS03805,2,4,3,4
CHF17_RS03810,3,2,0,3
CHF17_RS03815,27,42,40,20
CHF17_RS03820,5269,5102,5551,4672
CHF17_RS03825,660,514,620,350
CHF17_RS03830,2492,2645,2826,2554
CHF17_RS03835,238,196,306,243
CHF17_RS03840,11,8,8,7
CHF17_RS03845,3,4,3,4
CHF17_RS03850,23,28,33,23
CHF17_RS03855,11,16,17,19
CHF17_RS03860,3,3,5,9
CHF17_RS03865,6,9,14,8
CHF17_RS03870,1593,1623,1537,1539
CHF17_RS03875,166,184,195,157
CHF17_RS03880,2127,2022,2232,1786
CHF17_RS03885,82,92,92,96
CHF17_RS03890,144,99,161,116
CHF17_RS03895,30,32,38,34
CHF17_RS03900,32,31,31,22
CHF17_RS03905,1992,1841,2014,1232
CHF17_RS03910,400,420,434,276
CHF17_RS03915,1605,1636,1688,1106
CHF17_RS03920,1508,1607,1545,1074
CHF17_RS03925,235,311,270,228
CHF17_RS03930,1835,1808,2011,1756
CHF17_RS03935,6794,6955,7232,7480
CHF17_RS03940,1448,1367,1494,1381
CHF17_RS03945,2866,2953,3214,2638
CHF17_RS03950,10960,12932,12339,9934
CHF17_RS03955,4807,3890,4544,3688
CHF17_RS03960,1015,907,1084,898
CHF17_RS03965,861,871,949,910
CHF17_RS03970,749,732,786,791
CHF17_RS03975,3269,3066,3397,2698
CHF17_RS03980,787,767,867,603
CHF17_RS03985,95,91,104,115
CHF17_RS03990,26,37,30,33
CHF17_RS03995,26,24,25,26
CHF17_RS04000,1004,977,1027,768
CHF17_RS04005,1426,1617,1798,1183
CHF17_RS04010,15,29,29,22
CHF17_RS04015,12273,13662,13444,12005
CHF17_RS04020,2798,2748,2884,2121
CHF17_RS04025,2330,2451,2505,1897
CHF17_RS04030,2162,2289,2417,1938
CHF17_RS04035,5552,3961,5009,1844
CHF17_RS04040,20816,19080,21245,14292
CHF17_RS04045,17139,15265,18086,11023
CHF17_RS04050,4158,3601,4295,3271
CHF17_RS04055,16829,16128,19092,14365
CHF17_RS04060,30946,32554,37594,32390
CHF17_RS04065,28947,32558,36802,35469
CHF17_RS04070,61314,73875,88535,81438
CHF17_RS04075,25254,27588,34788,33489
CHF17_RS04080,72185,72573,90640,83587
CHF17_RS04085,53904,49112,55506,51015
CHF17_RS04090,33656,31266,34766,30581
CHF17_RS04095,49,82,73,57
CHF17_RS04100,73,85,96,73
CHF17_RS04105,309,356,367,365
CHF17_RS04110,484,392,460,505
CHF17_RS04115,48,56,43,34
CHF17_RS04120,23,30,35,33
CHF17_RS04125,7,7,5,5
CHF17_RS04130,30,31,20,18
CHF17_RS04135,27,24,24,40
CHF17_RS04140,131,153,113,91
CHF17_RS04145,236,209,222,203
CHF17_RS04150,189,195,180,170
CHF17_RS04155,87,69,71,58
CHF17_RS04160,148,127,124,106
CHF17_RS04165,4888,6242,5612,4135
CHF17_RS04170,2127,2449,2304,1911
CHF17_RS04175,1543,2445,1784,1393
CHF17_RS04180,241,2052,399,144
CHF17_RS04185,235,2179,362,210
CHF17_RS04190,394,469,401,327
CHF17_RS04195,1504,1900,1655,1541
CHF17_RS04200,1213,1068,1148,1138
CHF17_RS04205,1247,1023,1183,994
CHF17_RS04210,43,35,42,35
CHF17_RS04215,58,61,56,44
CHF17_RS04220,581,519,523,457
CHF17_RS04225,2224,2263,2310,2095
CHF17_RS04230,84,92,85,74
CHF17_RS04235,134,146,138,113
CHF17_RS04240,152,163,150,117
CHF17_RS04245,143,150,135,123
CHF17_RS04250,78,65,61,78
CHF17_RS04255,410,407,427,347
CHF17_RS04260,5580,5429,5693,4467
CHF17_RS04265,12474,11996,11683,10486
CHF17_RS04270,3692,4695,3967,3655
CHF17_RS04275,10540,10674,10153,8122
CHF17_RS04280,16833,17477,16990,15175
CHF17_RS04285,35915,31534,34741,28750
CHF17_RS04290,2696,2380,2549,1660
CHF17_RS04295,3335,3353,3453,2784
CHF17_RS04300,3720,5421,4338,2284
CHF17_RS04305,20291,17904,21398,20291
CHF17_RS04310,21115,18007,21889,20082
CHF17_RS04315,24477,22158,24795,22583
CHF17_RS04320,21096,20761,20387,17542
CHF17_RS04325,4877,6676,4833,3870
CHF17_RS04330,12298,15175,12466,9428
CHF17_RS04335,7816,8615,7688,6033
CHF17_RS04340,3332,3805,3383,2819
CHF17_RS04345,1380,1422,1328,1187
CHF17_RS04350,14358,15009,15008,11347
CHF17_RS04355,1660,2805,2123,1380
CHF17_RS04360,2348,3805,2801,2512
CHF17_RS04365,3864,4493,3898,4657
CHF17_RS04370,670,815,767,689
CHF17_RS04375,10014,14540,12114,10414
CHF17_RS04380,10295,15287,12949,10048
CHF17_RS04385,1092,1614,1227,1163
CHF17_RS04390,204,304,264,166
CHF17_RS04395,11997,10579,10968,9555
CHF17_RS04400,2780,2458,2596,2142
CHF17_RS04405,3315,4441,3499,3250
CHF17_RS04410,2257,3648,2621,2687
CHF17_RS04415,7359,7729,6514,5278
CHF17_RS04420,8085,9094,7614,6767
CHF17_RS04425,5004,5111,4603,3842
CHF17_RS04430,7649,8182,7746,6144
CHF17_RS04435,12415,12381,12523,12272
CHF17_RS04440,5709,4361,5282,4101
CHF17_RS04445,14159,13795,15287,12574
CHF17_RS04450,2259,2153,2360,1889
CHF17_RS04455,2184,2248,2243,1951
CHF17_RS04460,12146,10989,13162,11148
CHF17_RS04465,1149,845,1119,955
CHF17_RS04470,660,511,719,619
CHF17_RS04475,2169,1318,1927,1342
CHF17_RS04480,874,548,843,438
CHF17_RS04485,33645,34219,34729,24855
CHF17_RS04490,3310,2952,3469,2849
CHF17_RS04495,4178,6618,5400,3925
CHF17_RS04500,2815,4423,3575,2693
CHF17_RS04505,544,645,667,376
CHF17_RS04510,8913,10035,9577,8234
CHF17_RS04515,734,938,846,757
CHF17_RS04520,3655,3735,3642,3816
CHF17_RS04525,19361,20028,19572,15858
CHF17_RS04530,47562,52695,47354,41999
CHF17_RS04535,6140,6571,6399,6226
CHF17_RS04540,609968,523098,574918,530237
CHF17_RS04545,57344,68550,66688,58156
CHF17_RS04550,71332,80152,78285,68628
CHF17_RS04555,20067,17664,19606,13409
CHF17_RS04560,6069,5810,6233,4678
CHF17_RS04565,23800,24983,24031,22049
CHF17_RS04570,13288,16597,14568,10088
CHF17_RS04575,1490,1934,1127,1230
CHF17_RS04580,26205,25098,26599,26410
CHF17_RS04585,28813,24944,27319,21992
CHF17_RS04590,14285,11222,13512,10408
CHF17_RS04595,1132,1101,1166,539
CHF17_RS04600,1447,1395,1123,989
CHF17_RS04605,2219,2069,1675,1307
CHF17_RS04610,3758,3393,2579,2258
CHF17_RS04615,136123,159169,160831,165320
CHF17_RS04620,978,1322,1294,897
CHF17_RS04625,2392,2786,2760,2296
CHF17_RS04630,5440,5551,5472,4518
CHF17_RS04635,523,749,823,501
CHF17_RS04640,247,191,271,182
CHF17_RS04645,624,599,559,510
CHF17_RS04650,1830,2059,1950,1407
CHF17_RS04655,1754,1317,1534,1209
CHF17_RS04660,450,472,462,391
CHF17_RS04665,3673,4768,4154,3157
CHF17_RS04670,8749,12984,9913,8513
CHF17_RS04675,534,498,544,471
CHF17_RS04680,455,424,502,390
CHF17_RS04685,1034,862,1072,877
CHF17_RS04690,1551,1485,1511,1197
CHF17_RS04695,393,183,601,184
CHF17_RS04700,1449,605,2494,713
CHF17_RS04705,8142,7054,9790,5859
CHF17_RS04710,3551,3460,3476,3702
CHF17_RS04715,3904,4239,3832,3594
CHF17_RS04720,182,2088,322,125
CHF17_RS04725,607,1183,658,590
CHF17_RS04730,776,985,904,676
CHF17_RS04735,655,698,646,407
CHF17_RS04740,90,104,96,57
CHF17_RS04745,3725,3573,3478,3039
CHF17_RS04750,282,303,305,240
CHF17_RS04755,12577,13364,13361,9852
CHF17_RS04760,1230,1350,1200,1015
CHF17_RS04765,2777,2384,2459,2049
CHF17_RS04770,36085,33569,37016,33545
CHF17_RS04775,4972,5305,5309,5522
CHF17_RS04780,31625,31639,33531,41225
CHF17_RS04785,3108,3133,3467,3107
CHF17_RS04790,1629,1854,1833,1689
CHF17_RS04795,44,42,67,36
CHF17_RS04800,80,85,85,57
CHF17_RS04805,59,71,63,50
CHF17_RS04810,119,166,143,124
CHF17_RS04815,645,643,721,1212
CHF17_RS04820,21410,21831,21480,18363
CHF17_RS04825,48401,49634,49850,37663
CHF17_RS04830,5438,4564,4711,3526
CHF17_RS04835,14203,14969,13563,16969
CHF17_RS04840,206805,208935,215286,185912
CHF17_RS04845,62247,67601,60927,58380
CHF17_RS04850,3831,4119,4039,3235
CHF17_RS04855,6896,8610,7660,4961
CHF17_RS04860,5081,4000,4830,4593
CHF17_RS04865,3094,3627,3241,2897
CHF17_RS04870,23437,27736,26716,19319
CHF17_RS04875,875,1216,1124,1001
CHF17_RS04880,4815,6037,5355,5003
CHF17_RS04885,23266,29563,26595,24240
CHF17_RS04890,1993,2716,2497,2110
CHF17_RS04895,125052,74526,108298,67426
CHF17_RS04900,68699,42877,62858,39525
CHF17_RS04905,74,56,116,92
CHF17_RS04910,51,46,76,88
CHF17_RS04915,116,80,123,167
CHF17_RS04920,55,43,69,99
CHF17_RS04925,57,57,67,78
CHF17_RS04930,70,60,75,114
CHF17_RS04935,76,60,76,95
CHF17_RS04940,55,57,67,84
CHF17_RS04945,8266,5939,7434,6970
CHF17_RS04950,1505,1800,1564,1240
CHF17_RS04955,5022,5792,5510,3902
CHF17_RS04960,5271,5221,5152,5325
CHF17_RS04965,7551,7689,7541,7821
CHF17_RS04970,867,1085,1026,833
CHF17_RS04975,7385,5984,7156,8504
CHF17_RS04980,5700,8046,7206,5607
CHF17_RS04985,3203,3709,3430,3190
CHF17_RS04990,10548,11107,10582,10208
CHF17_RS04995,1461,1871,1593,1518
CHF17_RS05000,1236,1415,1337,1112
CHF17_RS05005,1126,1229,1111,1105
CHF17_RS05010,1457,1634,1581,1466
CHF17_RS05015,890,922,794,1225
CHF17_RS05020,23108,22465,23424,29629
CHF17_RS05025,18221,16628,18518,17807
CHF17_RS05030,16939,16702,17646,20847
CHF17_RS05035,43367,36849,41662,52368
CHF17_RS05040,29005,25424,28665,37158
CHF17_RS05045,54654,50264,53826,66215
CHF17_RS05050,19200,18445,18807,22884
CHF17_RS05055,1391,1737,1545,2271
CHF17_RS05060,10074,11083,10023,8689
CHF17_RS05065,1723,1881,1665,1508
CHF17_RS05070,2831,3404,3060,2542
CHF17_RS05075,7400,7610,7541,7323
CHF17_RS05080,3114,3565,3349,3567
CHF17_RS05085,18095,16584,17115,16580
CHF17_RS05090,2172,2414,2114,1915
CHF17_RS05095,3812,3719,3799,3244
CHF17_RS05100,9461,8715,8911,7607
CHF17_RS05105,4267,4291,4241,3593
CHF17_RS05110,6498,6356,6513,5521
CHF17_RS05115,4082,5082,4342,2908
CHF17_RS05120,8174,8318,6374,5672
CHF17_RS05125,9033,9349,7216,6985
CHF17_RS05130,10415,8664,8010,8262
CHF17_RS05135,27355,25522,23683,22412
CHF17_RS05140,3828,3817,3633,3058
CHF17_RS05145,212,238,234,213
CHF17_RS05150,653,795,741,673
CHF17_RS05155,6693,7136,7322,5660
CHF17_RS05160,10915,10642,11429,8153
CHF17_RS05165,4868,6939,5646,4783
CHF17_RS05170,6332,8446,7109,6112
CHF17_RS05175,15323,15551,15174,13754
CHF17_RS05180,708,886,842,731
CHF17_RS05185,320,362,340,196
CHF17_RS05190,3391,2990,3251,2379
CHF17_RS05195,2353,2057,2198,1637
CHF17_RS05200,3043,3037,2922,2505
CHF17_RS05205,2953,3298,2955,2957
CHF17_RS05210,51520,39733,49334,40573
CHF17_RS05215,12608,10279,11697,10307
CHF17_RS05220,3255,2479,3122,2384
CHF17_RS05225,8252,6554,7766,6370
CHF17_RS05230,359,515,414,346
CHF17_RS05235,5183,7006,5319,4637
CHF17_RS05240,20112,20623,20233,17604
CHF17_RS05245,4097,3198,3823,3149
CHF17_RS05250,1808,2178,1942,1333
CHF17_RS05255,1535,1670,1572,1095
CHF17_RS05260,1773,2055,1881,1241
CHF17_RS05265,2529,2510,2644,2261
CHF17_RS05270,2289,2333,2436,2350
CHF17_RS05275,11633,16662,13807,9799
CHF17_RS05280,145067,162783,156722,118853
CHF17_RS05285,3784,5490,4476,4237
CHF17_RS05290,22336,28034,26190,23462
CHF17_RS05295,18920,24603,22060,20461
CHF17_RS05300,11547,14923,13175,11453
CHF17_RS05305,5749,5658,5841,4938
CHF17_RS05310,52406,52562,49587,52546
CHF17_RS05315,150063,159752,152130,141100
CHF17_RS05320,4987,6868,5820,4373
CHF17_RS05325,1216,1759,1578,1098
CHF17_RS05330,39042,28442,40091,29188
CHF17_RS05335,1202,907,1179,640
CHF17_RS05340,4707,4254,4493,4598
CHF17_RS05345,6792,6435,7007,6053
CHF17_RS05350,9806,9025,9873,8381
CHF17_RS05355,17137,17724,16641,15063
CHF17_RS05360,4662,6366,5623,3274
CHF17_RS05365,1859,1448,1791,1507
CHF17_RS05370,3465,4133,3089,3684
CHF17_RS05375,32227,36737,27640,40327
CHF17_RS05380,21613,23771,17576,21554
CHF17_RS05385,19563,25024,17759,24238
CHF17_RS05390,22322,28438,19897,25515
CHF17_RS05395,47469,39732,40429,34299
CHF17_RS05400,100261,91615,108830,97571
CHF17_RS05405,21460,23425,20537,18224
CHF17_RS05410,10927,12706,11542,10535
CHF17_RS05415,5827,6696,6174,5359
CHF17_RS05420,9567,11112,10363,8410
CHF17_RS05425,4000,3765,3989,3222
CHF17_RS05430,41916,36049,37177,39462
CHF17_RS05435,1791,1699,1699,1327
CHF17_RS05440,12494,13160,13315,12081
CHF17_RS05445,1695,1969,1887,1631
CHF17_RS05450,3129,3463,3392,3115
CHF17_RS05455,4395,5350,4355,4078
CHF17_RS05460,320,284,334,267
CHF17_RS05465,625,743,639,460
CHF17_RS05470,2390,2911,2738,2293
CHF17_RS05475,1401,1848,1590,1486
CHF17_RS05480,2462,3387,2794,2361
CHF17_RS05485,1984,4476,3027,1785
CHF17_RS05490,1101,1157,1090,1063
CHF17_RS05495,1163,1202,1166,1157
CHF17_RS05500,1318,1172,1252,1139
CHF17_RS05505,20422,20592,21540,17693
CHF17_RS05510,4060,3944,4211,3128
CHF17_RS05515,8839,9364,9344,8031
CHF17_RS05520,3439,3943,3599,3563
CHF17_RS05525,52639,48310,52363,46876
CHF17_RS05530,7812,6367,7247,5749
CHF17_RS05535,7956,6499,7361,6432
CHF17_RS05540,6844,6391,6896,7128
CHF17_RS05545,6131,5650,6143,5943
CHF17_RS05550,5905,5216,5851,5556
CHF17_RS05555,4702,4129,4600,4263
CHF17_RS05560,2808,2824,2886,2001
CHF17_RS05565,8087,6412,7580,4960
CHF17_RS05570,3246,2526,3238,1936
CHF17_RS05575,8436,6777,7795,6017
CHF17_RS05580,5024,5343,4942,3892
CHF17_RS05585,4128,4502,4255,3438
CHF17_RS05590,3517,4901,4040,3212
CHF17_RS05595,11449,15437,13055,8269
CHF17_RS05600,4926,8027,6299,3341
CHF17_RS05605,30804,38540,33770,26582
CHF17_RS05610,3496,3501,3822,3065
CHF17_RS05615,985,1178,1157,887
CHF17_RS05620,13599,10400,12121,8659
CHF17_RS05625,246,234,272,224
CHF17_RS05630,37424,28085,35496,34066
CHF17_RS05635,24810,18870,24285,21834
CHF17_RS05640,32840,24352,31645,28714
CHF17_RS05645,31247,22907,29073,29236
CHF17_RS05650,3213,3664,3367,2800
CHF17_RS05655,5707,6345,6120,4781
CHF17_RS05660,6827,7294,6955,4768
CHF17_RS05665,429,818,629,316
CHF17_RS05670,1715,2160,1818,1612
CHF17_RS05675,992,1223,1152,814
CHF17_RS05680,2514,4186,3207,2268
CHF17_RS05685,306,280,296,227
CHF17_RS05690,459,389,421,364
CHF17_RS05695,204,149,171,94
CHF17_RS05700,545,530,483,416
CHF17_RS05705,875,891,809,771
CHF17_RS05710,297,291,273,256
CHF17_RS05715,733,726,739,597
CHF17_RS05720,1126,1147,1109,956
CHF17_RS05725,909,1080,986,848
CHF17_RS05730,1716,2165,1930,1762
CHF17_RS05735,1618,2034,1840,1513
CHF17_RS05740,5262,6045,6331,6113
CHF17_RS05745,1531,1646,1652,1627
CHF17_RS05750,255,259,264,218
CHF17_RS05755,431,541,564,505
CHF17_RS05760,2850,3117,3078,2644
CHF17_RS05765,457,478,484,447
CHF17_RS05770,393,387,393,417
CHF17_RS05775,1987,2561,2185,2447
CHF17_RS05780,486,766,577,789
CHF17_RS05785,473,657,591,638
CHF17_RS05790,4245,5952,4589,5177
CHF17_RS05795,1681,2106,1824,1858
CHF17_RS05800,1946,2379,2159,2403
CHF17_RS05805,11682,12416,12186,10871
CHF17_RS05810,13793,13763,13727,10057
CHF17_RS05815,4465,6194,5224,5355
CHF17_RS05820,6409,5889,6816,5486
CHF17_RS05825,1029,657,900,594
CHF17_RS05830,7918,8060,7983,7063
CHF17_RS05835,12999,13823,9352,13321
CHF17_RS05840,2583,2057,2416,2513
CHF17_RS05845,2563,2219,2426,2450
CHF17_RS05850,2489,2281,2404,2659
CHF17_RS05855,1175,1081,1120,1316
CHF17_RS05860,4475,4044,4189,4383
CHF17_RS05865,4918,3870,4357,4291
CHF17_RS05870,3358,2832,2949,3712
CHF17_RS05875,1345,823,1161,810
CHF17_RS05880,1537,1019,1405,979
CHF17_RS05885,4180,3424,4006,3384
CHF17_RS05890,19795,21629,21476,17997
CHF17_RS05895,1035,1209,1192,954
CHF17_RS05900,9058,8747,9390,7925
CHF17_RS05905,5759,5534,5781,5445
CHF17_RS05910,2617,2688,2779,2519
CHF17_RS05915,5991,6691,6591,6651
CHF17_RS05920,6795,7055,7386,6682
CHF17_RS05925,2251,2421,2452,2240
CHF17_RS05930,3043,3436,3322,2767
CHF17_RS05935,4537,6100,5179,4203
CHF17_RS05940,2787,4645,3454,2625
CHF17_RS05945,466,431,387,266
CHF17_RS05950,20997,20546,24614,20148
CHF17_RS05955,18123,17715,22313,17228
CHF17_RS05960,34136,33532,41575,36307
CHF17_RS05965,4390,4441,6187,4954
CHF17_RS05970,9581,11734,6963,13611
CHF17_RS05975,3815,4079,2535,4636
CHF17_RS05980,10699,11115,9084,8740
CHF17_RS05985,2182,1928,2272,2125
CHF17_RS05990,1068,1514,1172,847
CHF17_RS05995,24679,26835,27139,23878
CHF17_RS06000,759,849,745,542
CHF17_RS06005,15585,16673,15758,14342
CHF17_RS06010,5106,4640,5243,4098
CHF17_RS06015,5055,4537,4842,3960
CHF17_RS06020,4401,4210,4660,3765
CHF17_RS06025,1822,1609,1690,1600
CHF17_RS06030,10790,11508,11134,9331
CHF17_RS06035,14949,15825,15632,12151
CHF17_RS06040,5703,5796,5851,4617
CHF17_RS06045,3238,3253,3147,2719
CHF17_RS06050,1052,1267,1249,956
CHF17_RS06055,4226,4060,4402,4153
CHF17_RS06060,846,952,907,577
CHF17_RS06065,1070,1087,1096,865
CHF17_RS06070,2734,3829,3016,2544
CHF17_RS06075,98,82,82,79
CHF17_RS06080,1242,1235,1241,843
CHF17_RS06085,5760,6420,6467,5480
CHF17_RS06090,9588,7825,8833,7500
CHF17_RS06095,6850,5614,6319,5962
CHF17_RS06100,8859,7392,8767,7235
CHF17_RS06105,10380,8391,9569,8673
CHF17_RS06110,5759,4653,5448,4566
CHF17_RS06115,3005,2911,2923,2207
CHF17_RS06120,2365,2489,2306,1902
CHF17_RS06125,4687,4669,4673,4025
CHF17_RS06130,2628,2594,2684,2230
CHF17_RS06135,5853,5657,5835,5331
CHF17_RS06140,3382,3586,3484,3567
CHF17_RS06145,3016,3224,3056,3173
CHF17_RS06150,2631,2555,2560,2702
CHF17_RS06155,2909,4957,3711,2503
CHF17_RS06160,17266,22959,19737,17144
CHF17_RS06165,6124,7196,6627,5431
CHF17_RS06170,3013,3632,3441,2698
CHF17_RS06175,5003,6911,5389,4069
CHF17_RS06180,757,727,851,623
CHF17_RS06185,127,127,128,95
CHF17_RS06190,793,816,971,668
CHF17_RS06195,2769,3023,2422,2182
CHF17_RS06200,2526,2384,2412,2002
CHF17_RS06205,5104,4759,4789,3983
CHF17_RS06210,10408,9431,9851,7895
CHF17_RS06215,7229,12139,8037,5167
CHF17_RS06220,2933,4784,3067,1702
CHF17_RS06225,5138,9241,5906,3553
CHF17_RS06230,1321,2639,1784,888
CHF17_RS06235,3368,7240,4636,2043
CHF17_RS06240,1419,3551,2233,944
CHF17_RS06245,1882,5162,3379,1012
CHF17_RS06250,16207,13883,16132,12135
CHF17_RS06255,415,485,391,380
CHF17_RS06260,5611,6998,6535,7959
CHF17_RS06265,1809,1703,2133,1742
CHF17_RS06270,4143,4622,4419,3948
CHF17_RS06275,2275,2392,2355,1695
CHF17_RS06280,5293,6279,5628,4564
CHF17_RS06285,7877,10226,8519,6907
CHF17_RS06290,390,798,525,303
CHF17_RS06295,218479,200939,216804,233098
CHF17_RS06300,3489,3349,3587,3145
CHF17_RS06305,457,706,794,429
CHF17_RS06310,2205,1644,1878,1591
CHF17_RS06315,12889,15115,14088,11799
CHF17_RS06320,12961,9655,11481,10844
CHF17_RS06325,8303,5598,7257,7025
CHF17_RS06330,3271,4045,3635,3177
CHF17_RS06335,2944,3975,3617,2437
CHF17_RS06340,8175,9744,9394,10452
CHF17_RS06345,15584,14425,15451,13507
CHF17_RS06350,7875,6752,8019,6781
CHF17_RS06355,13128,10860,12254,10444
CHF17_RS06360,11210,9414,10583,8406
CHF17_RS06365,13558,12497,12826,12706
CHF17_RS06370,11203,10250,10562,9972
CHF17_RS06375,8879,8111,8307,7404
CHF17_RS06380,10656,10020,10016,9360
CHF17_RS06385,9212,8418,8471,8811
CHF17_RS06390,3812,3467,3658,2901
CHF17_RS06395,4925,4612,4653,4503
CHF17_RS06400,15071,14354,14097,12358
CHF17_RS06405,10735,10277,10296,8547
CHF17_RS06410,11783,11227,11086,9239
CHF17_RS06415,7502,6702,6937,5460
CHF17_RS06420,19175,17718,18536,15655
CHF17_RS06425,2691,2642,2838,2416
CHF17_RS06430,1113,1159,1223,1097
CHF17_RS06435,10989,11453,11463,11576
CHF17_RS06440,8696,8662,8823,9555
CHF17_RS06445,11725,10656,11920,11182
CHF17_RS06450,5766,5469,6061,6596
CHF17_RS06455,2226,2401,2513,2731
CHF17_RS06460,5834,6520,6107,6651
CHF17_RS06465,2917,3097,2798,2771
CHF17_RS06470,5804,7225,6534,6004
CHF17_RS06475,3356,3768,3495,2944
CHF17_RS06480,24511,24165,23733,20366
CHF17_RS06485,2013,2276,2168,1489
CHF17_RS06490,1986,2330,2191,1727
CHF17_RS06495,1806,2121,2122,1386
CHF17_RS06500,5224,4488,5005,3604
CHF17_RS06505,17428,18014,15173,16871
CHF17_RS06510,34715,33485,28521,32295
CHF17_RS06515,9177,11451,9684,9251
CHF17_RS06520,9256,11776,9890,8698
CHF17_RS06525,1686,2182,1788,1437
CHF17_RS06530,1806,2398,1872,1576
CHF17_RS06535,3264,3531,3413,2858
CHF17_RS06540,9442,9729,10382,11366
CHF17_RS06545,2970,2857,3116,4931
CHF17_RS06550,6240,6604,6860,8332
CHF17_RS06555,2434,2426,2360,2267
CHF17_RS06560,2707,2890,2707,2477
CHF17_RS06565,2157,2394,2207,2440
CHF17_RS06570,4551,5754,5113,4346
CHF17_RS06575,11664,12500,12153,9839
CHF17_RS06580,32047,26864,29041,19893
CHF17_RS06585,338,255,281,217
CHF17_RS06590,12477,11907,12413,10742
CHF17_RS06595,5836,6330,6095,5964
CHF17_RS06600,6629,7312,6907,5834
CHF17_RS06605,3923,4409,4226,3113
CHF17_RS06610,7395,8776,8142,5190
CHF17_RS06615,1279,1647,1529,1010
CHF17_RS06620,2947,3665,2922,1279
CHF17_RS06625,4312,6307,5295,3506
CHF17_RS06630,569,622,603,516
CHF17_RS06635,2631,3310,2989,3175
CHF17_RS06640,2592,3344,3226,3101
CHF17_RS06645,11990,11737,12415,11452
CHF17_RS06650,7461,8237,8078,7949
CHF17_RS06655,6574,6065,6661,5509
CHF17_RS06660,1219,1239,1318,1118
CHF17_RS06665,3968,4695,4255,2802
CHF17_RS06670,1972,2083,2043,1482
CHF17_RS06675,5106,6520,5671,4803
CHF17_RS06680,4866,6987,5524,4440
