,WT1 reads,WT2 reads,metR1 reads,metR2 reads
SPD_0884,12,9,6,17
SPD_0885,507,524,301,422
SPD_0886,1477,1370,1205,1705
SPD_0887,709,439,268,406
SPD_0888,364,364,71,124
SPD_0889,638,773,111,175
SPD_0890,292,214,35,51
SPD_0891,3,2,1,0
SPD_0892,6,7,3,2
SPD_0893,23,24,24,51
SPD_0894,658,499,446,710
SPD_0895,79,86,21,25
SPD_0896,244,147,34,55
SPD_0897,5,4,0,1
SPD_0898,99,29,14,38
SPD_0899,0,0,0,0
SPD_0900,1291,827,346,476
SPD_0901,1270,891,308,455
SPD_0902,793,1130,1609,2467
SPD_0903,29,39,68,110
SPD_0904,69,78,45,63
SPD_0905,51,52,21,35
SPD_0906,393,309,172,239
SPD_0907,220,317,141,270
SPD_0908,1068,1033,450,575
SPD_0909,692,822,272,393
SPD_0910,3509,2862,1206,1796
SPD_0911,1549,967,431,772
SPD_0912,201,122,55,90
SPD_0913,4771,3048,281,621
SPD_0914,522,427,131,203
SPD_0915,1272,1005,1331,2021
SPD_0916,197,124,242,469
SPD_0917,90,109,67,95
SPD_0918,162,188,80,156
SPD_0919,26,17,7,7
SPD_0920,5,8,0,1
SPD_0921,117,121,46,63
SPD_0922,63,52,35,52
SPD_0923,11,16,6,7
SPD_0924,13,16,9,24
SPD_0925,20,19,27,44
SPD_0926,363,378,323,605
SPD_0927,100,71,113,208
SPD_0928,12,14,12,24
SPD_0929,36,17,32,42
SPD_0930,27,31,27,46
SPD_0931,170,174,269,412
SPD_0932,51,56,103,176
SPD_0933,27,12,25,68
SPD_0934,1,1,0,1
SPD_0935,0,1,0,0
SPD_0936,0,0,2,0
SPD_0937,0,0,1,0
SPD_0938,17,15,8,13
SPD_0939,46,26,26,34
SPD_0940,6,3,2,3
SPD_0941,2,5,1,0
SPD_0942,4,1,1,1
SPD_0943,8,5,3,1
SPD_0944,3,2,1,0
SPD_0945,18,2,5,5
SPD_0946,6,2,1,1
SPD_0947,4,8,5,4
SPD_0948,13,8,3,5
SPD_0949,6,11,4,8
SPD_0950,28,21,6,14
SPD_0951,0,0,0,0
SPD_0952,1348,1186,278,472
SPD_0953,5256,3501,1837,3561
SPD_0954,151,75,87,145
SPD_0955,78,56,50,87
SPD_0956,70,44,32,78
SPD_0957,1388,712,625,888
SPD_0958,1418,691,623,1040
SPD_0959,372,189,201,348
SPD_0960,703,584,112,272
SPD_0961,762,507,103,173
SPD_0962,20,14,3,3
SPD_0963,18,15,4,9
SPD_0964,560,353,108,161
SPD_0965,6,12,1,4
SPD_0966,16,15,4,8
SPD_0967,809,616,212,286
SPD_0968,171,124,39,45
SPD_0969,1198,1139,263,317
SPD_0970,530,393,103,158
SPD_0971,25,49,19,25
SPD_0972,71,79,41,60
SPD_0973,784,694,388,664
SPD_0974,781,177,185,318
SPD_0975,761,42,46,80
SPD_0976,234,135,113,183
SPD_0977,50,12,22,32
SPD_0978,96,40,31,58
SPD_0979,1495,1308,578,840
SPD_0980,1001,889,373,672
SPD_0981,145,46,6,12
SPD_0982,420,262,64,74
SPD_0983,493,321,85,103
SPD_0984,507,345,71,100
SPD_0985,784,528,168,229
SPD_0986,99,63,23,32
SPD_0987,360,281,250,409
SPD_0988,137,88,26,43
SPD_0989,820,705,103,155
SPD_0990,1739,1632,236,361
SPD_0991,1378,987,123,267
SPD_0992,2,3,0,0
SPD_0993,1,1,0,1
SPD_0994,415,172,252,357
SPD_0995,191,175,349,398
SPD_0996,631,397,346,452
SPD_0997,437,721,131,242
SPD_0998,843,796,298,492
SPD_0999,277,221,96,166
SPD_1000,83,55,20,29
SPD_1001,493,414,109,117
SPD_1002,1489,1465,148,167
SPD_1003,0,0,0,0
SPD_1004,506,300,188,361
SPD_1005,439,282,150,179
SPD_1006,140,140,100,161
SPD_1007,107,61,81,151
SPD_1008,142,80,100,173
SPD_1009,5,5,0,4
SPD_1010,124,113,49,76
SPD_1011,89,82,32,58
SPD_1012,5953,3962,3159,5260
SPD_1013,97,249,171,168
SPD_1014,513,783,560,774
SPD_1015,539,631,75,114
SPD_1016,1125,1404,81,120
SPD_1017,403,421,24,58
SPD_1018,3483,3595,558,891
SPD_1019,287,240,123,220
SPD_1020,361,362,217,333
SPD_1021,1003,794,364,556
SPD_1022,8,9,8,11
SPD_1023,160,224,157,169
SPD_1024,618,446,176,266
SPD_1025,1208,1233,441,627
SPD_1026,550,495,193,292
SPD_1027,599,603,279,383
SPD_1028,365,288,179,230
SPD_1029,730,796,213,341
SPD_1030,616,595,194,333
SPD_1031,77,66,20,51
SPD_1032,139,107,45,67
SPD_1033,86,37,19,49
SPD_1034,97,83,44,59
SPD_1035,0,0,0,0
SPD_1036,1,0,0,0
SPD_1037,315,346,43,66
SPD_1038,287,311,85,121
SPD_1039,11151,7560,3132,4793
SPD_1040,656,614,171,230
SPD_1041,88,117,58,111
SPD_1042,4130,3217,2867,4392
SPD_1043,893,891,641,940
SPD_1044,693,663,501,770
SPD_1045,0,2,0,0
SPD_1046,23,13,23,43
SPD_1047,41,26,88,109
SPD_1048,3,2,7,1
SPD_1049,11,10,13,16
SPD_1050,226,189,174,383
SPD_1051,199,215,148,244
SPD_1052,95,105,64,109
SPD_1053,25,41,14,29
SPD_1054,4,5,8,8
SPD_1055,1,0,1,3
SPD_1056,0,0,0,2
SPD_1057,2,1,1,1
SPD_1058,17,15,9,6
SPD_1059,5,4,1,3
SPD_1060,2027,1727,886,1385
SPD_1061,455,489,76,140
SPD_1062,1212,1148,219,357
SPD_1063,69,66,16,32
SPD_1064,420,515,165,258
SPD_1065,423,346,138,259
SPD_1066,14,10,3,11
SPD_1067,451,340,154,239
SPD_1068,61,54,10,14
SPD_1069,197,95,33,53
SPD_1070,266,247,78,99
SPD_1071,474,394,107,149
SPD_1072,217,214,75,135
SPD_1073,146,116,57,124
SPD_1074,2,3,3,3
SPD_1075,95,28,35,33
SPD_1076,828,470,414,765
SPD_1077,3943,2518,1830,3214
SPD_1078,2531,1578,810,1646
SPD_1079,1721,1586,2019,3097
SPD_1080,646,668,842,1358
SPD_1081,23,15,37,54
SPD_1082,8,9,18,20
SPD_1083,1256,1836,694,837
SPD_1084,2469,2554,1168,1884
SPD_1085,1059,829,487,828
SPD_1086,1880,1597,1007,1581
SPD_1087,1066,619,452,784
SPD_1088,350,550,203,298
SPD_1089,307,383,114,182
SPD_1090,304,402,181,240
SPD_1091,45,51,30,46
SPD_1092,234,165,99,156
SPD_1093,148,176,96,130
SPD_1094,139,133,73,106
SPD_1095,105,92,42,73
SPD_1096,1017,847,355,735
SPD_1097,204,174,183,266
SPD_1098,4097,3381,3231,5126
SPD_1099,2596,3116,1605,2147
SPD_1100,4922,3934,2226,3619
SPD_1101,424,342,65,106
SPD_1102,144,141,21,37
SPD_1103,132,107,14,27
SPD_1104,938,800,223,250
SPD_1105,31,28,15,7
SPD_1106,1,0,0,0
SPD_1107,1885,803,159,272
SPD_1108,72,72,62,129
SPD_1109,98,112,105,219
SPD_1110,0,0,0,1
SPD_1111,2,1,1,2
SPD_1112,18,6,2,5
SPD_1113,78,72,18,19
SPD_1114,35,28,8,9
SPD_1115,110,77,24,41
SPD_1116,104,93,20,29
SPD_1117,45,31,7,12
SPD_1118,216,114,59,118
SPD_1119,78,45,21,24
SPD_1120,962,812,232,348
SPD_1121,209,162,46,71
SPD_1122,1053,40,20,43
SPD_1123,537,237,146,293
SPD_1124,1362,1048,497,878
SPD_1125,974,841,407,801
SPD_1126,1324,990,742,1277
SPD_1127,880,821,593,1119
SPD_1128,343,487,116,220
SPD_1129,227,241,48,98
SPD_1130,327,210,51,98
SPD_1131,3950,2298,1036,1667
SPD_1132,1721,1264,527,840
SPD_1133,865,667,243,369
SPD_1134,234,118,50,61
SPD_1135,646,479,240,406
SPD_1136,315,336,148,199
SPD_1137,262,262,89,114
SPD_1138,2944,1209,1126,2121
SPD_1139,649,435,312,374
SPD_1140,289,361,164,313
SPD_1141,636,451,325,528
SPD_1142,1025,599,418,673
SPD_1143,31,30,22,25
SPD_1144,43,33,34,44
SPD_1145,539,687,273,396
SPD_1146,380,401,198,292
SPD_1147,1,0,0,0
SPD_1148,609,507,84,172
SPD_1149,29,21,41,103
SPD_1150,10,8,20,47
SPD_1151,4,4,13,18
SPD_1152,116,43,48,58
SPD_1153,366,424,228,372
SPD_1154,475,599,252,257
SPD_1155,17,17,17,22
SPD_1156,55,77,52,51
SPD_1157,8,9,4,7
SPD_1158,7310,3805,908,1380
SPD_1159,22,22,6,5
SPD_1160,269,260,50,91
SPD_1161,10,12,4,4
SPD_1162,7,4,5,15
SPD_1163,13,17,35,75
SPD_1164,20,29,47,56
SPD_1165,103,50,140,261
SPD_1166,307,257,594,1072
SPD_1167,328,306,941,1648
SPD_1168,60,72,206,385
SPD_1169,137,104,274,413
SPD_1170,379,223,625,928
SPD_1171,280,188,333,385
SPD_1172,31,43,56,84
SPD_1173,53,48,91,114
SPD_1174,0,0,2,1
SPD_1175,93,134,28,56
SPD_1176,34,51,9,20
SPD_1177,98,107,34,59
SPD_1178,148,195,73,132
SPD_1179,371,418,151,259
SPD_1180,1,3,2,3
SPD_1181,0,0,0,2
SPD_1182,2,0,1,0
SPD_1183,0,2,0,3
SPD_1184,0,1,0,0
SPD_1185,1,0,0,2
SPD_1186,161,45,13,23
SPD_1187,1035,252,66,180
SPD_1188,2552,1260,291,438
SPD_1189,527,329,192,292
SPD_1190,1392,1512,3476,5842
SPD_1191,1519,1617,299,528
SPD_1192,1046,1311,298,530
SPD_1193,3578,2346,718,1144
SPD_1194,2339,1783,572,875
SPD_1195,3944,2963,1326,1745
SPD_1196,449,489,505,759
SPD_1197,572,306,48,83
SPD_1198,476,400,49,84
SPD_1199,193,188,28,41
SPD_1200,267,220,40,77
SPD_1201,248,251,52,66
SPD_1202,809,720,305,558
SPD_1203,506,540,217,354
SPD_1204,240,213,108,190
SPD_1205,827,804,369,565
SPD_1206,115,95,26,58
SPD_1207,1216,902,379,700
SPD_1208,1064,973,325,608
SPD_1209,621,472,121,190
SPD_1210,341,307,53,97
SPD_1211,314,218,51,73
SPD_1212,951,742,302,362
SPD_1213,192,266,80,213
SPD_1214,51,63,32,35
SPD_1215,140,214,148,179
SPD_1216,2834,2297,203,400
SPD_1217,233,254,14,30
SPD_1218,610,618,69,145
SPD_1219,226,244,31,64
SPD_1220,217,192,34,50
SPD_1221,509,500,95,148
SPD_1222,187,167,47,65
SPD_1223,390,250,264,402
SPD_1224,391,312,277,359
SPD_1225,222,241,148,275
SPD_1226,189,85,144,257
SPD_1227,832,435,137,268
SPD_1228,1230,816,218,450
SPD_1229,1225,1024,204,334
SPD_1230,1608,1653,331,609
SPD_1231,1153,1204,259,476
SPD_1232,811,856,209,373
SPD_1233,92,59,13,20
SPD_1234,75,53,22,34
SPD_1235,3,2,6,3
SPD_1236,196,108,113,179
SPD_1237,264,260,92,158
SPD_1238,585,656,236,289
SPD_1239,548,631,236,307
SPD_1240,1130,1026,480,780
SPD_1241,239,193,113,200
SPD_1242,288,179,161,309
SPD_1243,675,500,441,792
SPD_1244,764,588,618,1033
SPD_1245,146,115,106,171
SPD_1246,3842,2147,2261,3430
SPD_1247,642,759,527,839
SPD_1248,117,76,40,72
SPD_1249,139,100,54,99
SPD_1250,407,402,241,354
SPD_1251,480,409,322,455
SPD_1252,19,26,26,45
SPD_1253,10,13,11,23
SPD_1254,31,62,53,94
SPD_1255,70,82,78,70
SPD_1256,58,43,31,54
SPD_1257,67,46,35,89
SPD_1258,319,269,249,411
SPD_1259,170,184,55,104
SPD_1260,323,368,164,213
SPD_1261,19,26,6,15
SPD_1262,124,94,68,109
SPD_1263,14,15,20,20
SPD_1264,12,22,13,25
SPD_1265,7,1,3,6
SPD_1266,12,16,6,12
SPD_1267,43,61,6,24
SPD_1268,34,36,5,14
SPD_1269,1,1,1,1
SPD_1270,1,0,1,1
SPD_1271,0,2,1,2
SPD_1272,21,16,32,51
SPD_1273,4,0,5,3
SPD_1274,3178,2787,1952,3170
SPD_1275,21,12,3,2
SPD_1276,153,77,27,49
SPD_1277,113,111,48,68
SPD_1278,98,83,61,84
SPD_1279,30,40,25,41
SPD_1280,48,33,19,25
SPD_1281,6,6,8,6
SPD_1282,30,15,14,14
SPD_1283,28,28,12,23
SPD_1284,44,37,13,21
SPD_1285,627,398,658,1052
SPD_1286,429,583,562,663
SPD_1287,2169,3446,2070,2930
SPD_1288,52,63,87,141
SPD_1289,1581,659,1206,2615
SPD_1290,1132,732,1115,2125
SPD_1291,188,129,102,238
SPD_1292,182,152,149,227
SPD_1293,122,106,112,170
SPD_1294,33,59,37,39
SPD_1295,349,345,277,456
SPD_1296,3257,2307,772,1284
SPD_1297,4418,4467,1146,1661
SPD_1298,3803,2466,2145,3334
SPD_1299,0,0,0,0
SPD_1300,43,54,12,29
SPD_1301,19,21,8,12
SPD_1302,65,56,26,35
SPD_1303,34,35,3,14
SPD_1304,1543,1155,163,297
SPD_1305,453,338,73,109
SPD_1306,94,82,12,20
SPD_1307,64,32,3,15
SPD_1308,674,216,166,297
SPD_1309,3490,3113,1746,2399
SPD_1310,518,434,236,327
SPD_1311,347,515,318,459
SPD_1312,717,639,505,722
SPD_1313,1,0,1,0
SPD_1314,0,0,0,0
SPD_1315,0,0,0,0
SPD_1316,8,3,6,10
SPD_1317,12,4,1,7
SPD_1318,35566,35169,15239,26747
SPD_1319,43,36,37,56
SPD_1320,1379,904,1427,2156
SPD_1321,1,3,0,1
SPD_1322,9,7,3,5
SPD_1323,0,4,5,2
SPD_1324,2,2,1,0
SPD_1325,0,4,4,1
SPD_1326,2275,1871,1672,2564
SPD_1327,801,775,949,1645
SPD_1328,1174,635,1603,2986
SPD_1329,583,398,714,1431
SPD_1330,292,292,446,725
SPD_1331,1468,1080,1149,1987
SPD_1332,1163,1270,841,1311
SPD_1333,840,1238,521,737
SPD_1334,832,1134,441,652
SPD_1335,7240,7559,4155,6647
SPD_1336,3946,3581,2019,3235
SPD_1337,6089,7150,3506,5959
SPD_1338,738,731,448,957
SPD_1339,1000,1001,750,1667
SPD_1340,2520,2379,2406,5764
SPD_1341,309,299,256,399
SPD_1342,105,96,88,120
SPD_1343,137,132,68,123
SPD_1344,49,42,24,61
SPD_1345,537,361,235,439
SPD_1346,2551,2599,1714,2805
SPD_1347,89,120,36,50
SPD_1348,70,81,24,37
SPD_1349,1087,1613,462,719
SPD_1350,322,385,134,161
SPD_1351,1093,920,517,717
SPD_1352,553,481,66,109
SPD_1353,351,411,61,117
SPD_1354,5,2,2,5
SPD_1355,16,11,8,15
SPD_1356,72,45,51,81
SPD_1357,689,483,499,804
SPD_1358,1367,1026,455,832
SPD_1359,484,595,366,597
SPD_1360,334,1126,376,452
SPD_1361,105,84,23,36
SPD_1362,74,76,15,38
SPD_1363,1248,560,504,888
SPD_1364,46,41,10,25
SPD_1365,843,711,248,395
SPD_1366,279,243,90,122
SPD_1367,1267,1085,422,643
SPD_1368,230,114,30,67
SPD_1369,1486,1448,340,500
SPD_1370,363,510,117,118
SPD_1371,1432,1059,314,584
SPD_1372,86,59,18,33
SPD_1373,624,521,148,300
SPD_1374,119,103,29,62
SPD_1375,1358,795,733,980
SPD_1376,170,187,44,65
SPD_1377,51,50,38,86
SPD_1378,212,182,175,309
SPD_1379,23,8,7,29
SPD_1380,1190,773,1116,1936
SPD_1381,115,78,95,99
SPD_1382,455,690,212,289
SPD_1383,2362,2371,1276,2025
SPD_1384,757,810,552,883
SPD_1385,1824,1787,476,702
SPD_1386,813,779,210,305
SPD_1387,1640,1042,296,544
SPD_1388,1638,1131,477,783
SPD_1389,270,216,106,141
SPD_1390,1415,946,335,545
SPD_1391,540,459,133,212
SPD_1392,544,430,142,207
SPD_1393,144,133,56,74
SPD_1394,1358,1338,527,930
SPD_1395,1151,1382,379,808
SPD_1396,1185,1044,240,387
SPD_1397,244,189,46,98
SPD_1398,677,418,171,306
SPD_1399,1677,1377,456,804
SPD_1400,42,28,13,22
SPD_1401,702,493,351,530
SPD_1402,10114,8412,18677,28643
SPD_1403,2978,2358,1544,2689
SPD_1404,1114,867,488,863
SPD_1405,449,368,188,369
SPD_1406,812,692,585,912
SPD_1407,822,569,341,480
SPD_1408,396,211,160,197
SPD_1409,930,786,815,1021
SPD_1410,7,1,0,2
SPD_1411,272,153,79,132
SPD_1412,332,183,87,134
SPD_1413,1253,889,665,1010
SPD_1414,217,199,283,417
SPD_1415,2327,2053,630,1099
SPD_1416,1949,2071,1240,1822
SPD_1417,1559,1630,959,1422
SPD_1418,445,493,531,757
SPD_1419,5,25,9,5
SPD_1420,15,30,8,11
SPD_1421,0,2,1,0
SPD_1422,88,63,21,30
SPD_1423,219,222,80,129
SPD_1424,176,182,80,127
SPD_1425,194,131,12,24
SPD_1426,237,148,12,26
SPD_1427,36,27,10,4
SPD_1428,190,238,111,134
SPD_1429,94,132,40,74
SPD_1430,74,62,30,22
SPD_1431,172,145,55,108
SPD_1432,1464,1145,974,1419
SPD_1433,125,91,39,73
SPD_1434,83,75,55,68
SPD_1435,34,33,15,20
SPD_1436,3865,3524,845,1480
SPD_1437,363,301,245,405
SPD_1438,706,584,280,427
SPD_1439,434,181,23,73
SPD_1440,2,0,4,4
SPD_1441,1,0,0,0
SPD_1442,12,23,11,20
SPD_1443,3,13,5,7
SPD_1444,975,1083,667,1103
SPD_1445,101,77,106,223
SPD_1446,89,80,80,130
SPD_1447,122,101,150,215
SPD_1448,253,107,129,286
SPD_1449,487,372,347,655
SPD_1450,239,300,190,354
SPD_1451,14,16,17,35
SPD_1452,67,84,61,80
SPD_1453,16,28,19,49
SPD_1454,152,225,173,346
SPD_1455,5,6,6,8
SPD_1456,6,9,2,8
SPD_1457,135,77,78,180
SPD_1458,1493,1255,1117,2375
SPD_1459,788,1726,553,836
SPD_1460,4135,3011,1138,1857
SPD_1461,1016,1406,410,506
SPD_1462,2617,2603,808,1360
SPD_1463,2735,2513,1069,1535
SPD_1464,11366,5049,4265,5511
SPD_1465,868,967,480,770
SPD_1466,78,134,47,57
SPD_1467,258,291,104,163
SPD_1468,857,362,313,483
SPD_1469,3,5,2,0
SPD_1470,3,5,0,1
SPD_1471,1,3,0,1
SPD_1472,1743,1442,47,63
SPD_1473,25,26,1,7
SPD_1474,1663,1534,243,365
SPD_1475,1244,1047,247,331
SPD_1476,103,97,31,41
SPD_1477,982,834,266,501
SPD_1478,2120,2093,727,1017
SPD_1479,5223,4187,2573,4419
SPD_1480,3268,2525,1838,2879
SPD_1481,258,177,53,78
SPD_1482,63,82,9,14
SPD_1483,218,203,22,36
SPD_1484,542,345,84,200
SPD_1485,437,230,316,681
SPD_1486,1796,1581,1676,3035
SPD_1487,481,623,252,361
SPD_1488,82,65,63,95
SPD_1489,52,36,32,49
SPD_1490,37,43,38,84
SPD_1491,22,14,20,31
SPD_1492,38,34,45,70
SPD_1493,82,94,121,174
SPD_1494,96,95,68,106
SPD_1495,304,238,290,369
SPD_1496,554,291,356,402
SPD_1497,38,42,24,28
SPD_1498,3,4,3,3
SPD_1499,5,9,3,6
SPD_1500,1,5,1,1
SPD_1501,4,5,1,2
SPD_1502,8,3,1,3
SPD_1503,8,3,1,0
SPD_1504,148,186,193,268
SPD_1505,14,14,3,1
SPD_1506,2905,2305,634,1404
SPD_1507,1474,1098,655,1215
SPD_1508,619,554,318,543
SPD_1509,76,88,47,83
SPD_1510,1269,922,1435,2682
SPD_1511,1352,1112,1241,2120
SPD_1512,5617,3949,5316,9081
SPD_1513,0,0,0,2
SPD_1514,86,42,33,28
SPD_1515,33,24,16,25
SPD_1516,75,81,38,68
SPD_1517,83,87,62,73
SPD_1518,155,127,264,452
SPD_1519,2780,2749,1740,2408
SPD_1520,837,885,511,741
SPD_1521,943,848,677,851
SPD_1522,1622,1643,1478,1945
SPD_1523,787,702,650,927
SPD_1524,1247,2137,414,429
SPD_1525,2277,3548,824,907
SPD_1526,2443,3254,1462,2059
SPD_1527,2149,1534,2077,3240
SPD_1528,1897,1448,1694,2354
SPD_1529,11,7,2,5
SPD_1530,302,215,180,226
SPD_1531,74,59,47,80
SPD_1532,38,34,47,35
SPD_1533,2,0,2,0
SPD_1534,69,82,54,79
SPD_1535,61,61,26,42
SPD_1536,1532,909,331,532
SPD_1537,720,471,166,289
SPD_1538,15,13,10,15
SPD_1539,128,74,56,79
SPD_1540,80,85,51,75
SPD_1541,198,258,132,192
SPD_1542,4332,4002,2790,4320
SPD_1543,886,901,621,1008
SPD_1544,610,559,338,521
SPD_1545,290,367,201,341
SPD_1546,718,831,502,891
SPD_1547,80,45,43,107
SPD_1548,457,364,282,417
SPD_1549,2248,1697,513,878
SPD_1550,4,1,2,1
SPD_1551,7,5,2,7
SPD_1552,577,488,118,217
SPD_1553,246,279,82,104
SPD_1554,151,114,36,62
SPD_1555,302,203,106,130
SPD_1556,615,652,229,369
SPD_1557,541,571,209,312
SPD_1558,373,374,159,186
SPD_1559,1259,1435,739,910
SPD_1560,438,442,259,315
SPD_1561,1229,1349,877,1264
SPD_1562,318,345,280,422
SPD_1563,1448,1408,317,410
SPD_1564,1231,1313,192,263
SPD_1565,531,362,188,253
SPD_1566,274,205,138,202
SPD_1567,2758,1823,2533,3497
SPD_1568,17,21,11,3
SPD_1569,1644,874,2528,3973
SPD_1570,352,260,226,468
SPD_1571,1607,1395,879,1461
SPD_1572,183,275,132,219
SPD_1573,194,203,123,243
SPD_1574,20,39,15,42
SPD_1575,153,116,82,156
SPD_1576,67,49,33,39
SPD_1577,759,770,443,697
SPD_1578,10,10,7,5
SPD_1579,69,78,21,33
SPD_1580,576,525,236,358
SPD_1581,5,11,6,6
SPD_1582,25,26,69,98
SPD_1583,7,9,12,28
SPD_1584,15,18,25,31
SPD_1585,44,57,58,97
SPD_1586,206,149,122,209
SPD_1587,53,38,14,31
SPD_1588,496,380,220,352
SPD_1589,31,35,14,26
SPD_1590,689,536,336,467
SPD_1591,60,54,26,42
SPD_1592,24,46,64,100
SPD_1593,269,180,237,314
SPD_1594,935,601,849,1226
SPD_1595,464,255,374,538
SPD_1596,326,392,409,607
SPD_1597,387,389,507,819
SPD_1598,84,121,142,274
SPD_1599,122,135,280,438
SPD_1600,177,193,326,645
SPD_1601,58,52,101,191
SPD_1602,187,154,350,500
SPD_1603,69,58,93,132
SPD_1604,55,38,88,133
SPD_1605,104,48,77,104
SPD_1606,46,31,24,60
SPD_1607,92,91,67,130
SPD_1608,34,32,25,31
SPD_1609,45,36,31,42
SPD_1610,10,11,7,13
SPD_1611,0,0,0,1
SPD_1612,16,10,9,16
SPD_1613,43,49,39,58
SPD_1614,15,5,11,17
SPD_1615,6,1,2,6
SPD_1616,3,1,3,3
SPD_1617,94,115,74,95
SPD_1618,835,555,168,289
SPD_1619,4423,5418,1151,1790
SPD_1620,1613,2422,423,404
SPD_1621,4697,5936,1446,2072
SPD_1622,2507,2969,1242,2205
SPD_1623,489,528,340,660
SPD_1624,48,59,57,106
SPD_1625,23,32,22,33
SPD_1626,1703,1532,1938,3320
SPD_1627,494,211,418,669
SPD_1628,45,39,9,15
SPD_1629,148,157,29,44
SPD_1630,31,12,5,13
SPD_1631,17,14,6,11
SPD_1632,20,19,9,19
SPD_1633,76,56,126,229
SPD_1634,70,53,144,200
SPD_1635,148,160,291,436
SPD_1636,1605,1286,1380,2280
SPD_1637,311,232,215,372
SPD_1638,2061,1510,1629,2859
SPD_1639,60,46,61,81
SPD_1640,61,55,112,178
SPD_1641,44,55,58,77
SPD_1642,8684,6223,5806,11106
SPD_1643,1767,1499,1363,2451
SPD_1644,2147,1800,1497,2488
SPD_1645,320,233,198,362
SPD_1646,105,98,89,214
SPD_1647,1729,1732,1181,2446
SPD_1648,13,18,0,7
SPD_1649,297,277,21,33
SPD_1650,274,322,12,31
SPD_1651,219,227,5,18
SPD_1652,352,390,22,14
SPD_1653,20,28,8,17
SPD_1654,559,502,141,183
SPD_1655,409,350,94,161
SPD_1656,672,740,178,310
SPD_1657,555,760,226,363
SPD_1658,308,337,146,208
SPD_1659,330,334,127,217
SPD_1660,1080,1110,538,814
SPD_1661,849,641,484,907
SPD_1662,170,84,68,131
SPD_1663,138,48,42,34
SPD_1664,105,22,40,40
SPD_1665,26,19,21,21
SPD_1666,112,129,21,27
SPD_1667,6230,3568,865,1481
SPD_1668,8243,6507,1330,2314
SPD_1669,6077,4549,882,1412
SPD_1670,8551,6502,1533,2095
SPD_1671,14331,11333,3996,5746
SPD_1672,390,224,159,272
SPD_1673,83,40,42,76
SPD_1674,8,4,3,0
SPD_1675,38,21,22,37
SPD_1676,29,27,27,28
SPD_1677,49,34,39,66
SPD_1678,84,60,64,73
SPD_1679,131,160,93,126
SPD_1680,111,118,76,89
SPD_1681,0,0,1,0
SPD_1682,0,0,0,0
SPD_1683,0,0,0,0
SPD_1684,0,0,0,0
SPD_1685,0,0,0,0
SPD_1686,0,0,0,0
SPD_1687,0,0,0,0
SPD_1688,0,0,0,0
SPD_1689,0,0,0,0
SPD_1690,0,0,0,0
SPD_1691,0,0,0,0
SPD_1692,0,0,0,0
SPD_1693,0,0,0,0
SPD_1694,0,0,0,0
SPD_1695,0,0,0,0
SPD_1696,0,0,0,0
SPD_1697,0,0,0,0
SPD_1698,0,0,0,0
SPD_1699,0,0,0,0
SPD_1700,0,0,0,0
SPD_1701,0,0,0,0
SPD_1702,2,0,0,0
SPD_1703,0,0,0,0
SPD_1704,446,465,350,467
SPD_1705,45,34,25,34
SPD_1706,770,423,546,1149
SPD_1707,20,15,15,13
SPD_1708,93,98,32,33
SPD_1709,6786,6398,4511,7746
SPD_1710,84,74,26,35
SPD_1711,987,9,9,16
SPD_1712,407,273,294,605
SPD_1713,282,183,162,286
SPD_1714,75,55,40,82
SPD_1715,41,29,31,41
SPD_1716,99,38,39,77
SPD_1717,125,87,84,121
SPD_1718,72,82,98,96
SPD_1719,8,18,14,16
SPD_1720,2,5,2,2
SPD_1721,2,0,2,0
SPD_1722,2,0,1,0
SPD_1723,0,0,0,0
SPD_1724,1,0,1,1
SPD_1725,894,766,97,179
SPD_1726,3280,2617,244,501
SPD_1727,488,391,33,48
SPD_1728,622,719,46,72
SPD_1729,224,232,12,36
SPD_1730,65,100,52,53
SPD_1731,20,20,10,9
SPD_1732,34,25,10,20
SPD_1733,2,3,0,0
SPD_1734,32,29,28,32
SPD_1735,23,16,15,11
SPD_1736,13,7,5,9
SPD_1737,4055,1748,688,1045
SPD_1738,4329,2647,644,1033
SPD_1739,5195,2417,1217,2038
SPD_1740,2123,301,185,315
SPD_1741,419,245,139,298
SPD_1742,165,100,65,104
SPD_1743,126,72,38,103
SPD_1744,92,8,8,3
SPD_1745,87,78,50,67
SPD_1746,21,9,7,3
SPD_1747,33,6,11,26
SPD_1748,8,1,2,7
SPD_1749,81,67,30,62
SPD_1750,19,13,12,9
SPD_1751,10,7,2,2
SPD_1752,48,41,24,34
SPD_1753,59,56,26,45
SPD_1754,89,95,43,73
SPD_1755,101,65,49,80
SPD_1756,53,32,23,46
SPD_1757,72,49,64,115
SPD_1758,10718,10457,4579,7235
SPD_1759,9003,7973,3110,4659
SPD_1760,0,0,1,0
SPD_1761,553,503,553,804
SPD_1762,355,236,170,312
SPD_1763,26,21,21,38
SPD_1764,1635,1386,1390,2431
SPD_1765,473,513,612,944
SPD_1766,64,48,98,196
SPD_1767,61,94,131,307
SPD_1768,1441,896,2147,4234
SPD_1769,4438,4089,3543,5316
SPD_1770,388,99,209,565
SPD_1771,401,430,430,691
SPD_1772,18,34,34,32
SPD_1773,479,626,393,624
SPD_1774,3262,2215,2474,4025
SPD_1775,958,894,777,1288
SPD_1776,1221,714,367,706
SPD_1777,803,256,134,178
SPD_1778,1694,1297,474,640
SPD_1779,281,307,144,206
