,WT1 reads,WT2 reads,metR1 reads,metR2 reads
SPD_0204,964,933,38,67
SPD_0205,2709,2581,112,224
SPD_0206,4159,2689,168,221
SPD_0207,7833,5865,296,478
SPD_0208,4654,3125,165,236
SPD_0209,1806,1080,48,98
SPD_0210,3544,2044,129,183
SPD_0211,501,344,15,22
SPD_0212,1437,999,46,83
SPD_0213,7166,3989,236,386
SPD_0214,477,446,20,34
SPD_0215,965,660,56,71
SPD_0216,2950,2184,217,329
SPD_0217,1723,1402,146,190
SPD_0218,7069,4519,512,747
SPD_0219,1663,973,89,150
SPD_0220,17,13,15,25
SPD_0221,718,393,468,868
SPD_0222,430,236,327,629
SPD_0223,18,23,16,29
SPD_0224,6,3,5,5
SPD_0225,8,8,13,21
SPD_0226,1,3,2,6
SPD_0227,1,2,2,3
SPD_0228,4,1,2,7
SPD_0229,25,36,35,77
SPD_0230,16,14,6,17
SPD_0231,39,20,7,12
SPD_0232,2,4,3,1
SPD_0233,7,7,6,7
SPD_0234,53,55,63,89
SPD_0235,78,78,93,157
SPD_0236,14,15,23,22
SPD_0237,60,43,50,106
SPD_0238,2256,1480,1216,2078
SPD_0239,94,69,65,124
SPD_0240,60,35,45,100
SPD_0241,175,141,58,121
SPD_0242,127,104,29,80
SPD_0243,877,701,589,795
SPD_0244,604,527,356,454
SPD_0245,1546,1477,757,1153
SPD_0246,3240,2711,1585,2395
SPD_0247,73,42,23,40
SPD_0248,2868,3067,1714,2825
SPD_0249,866,716,4234,6963
SPD_0250,395,472,290,386
SPD_0251,2286,2918,374,618
SPD_0252,3852,3426,554,796
SPD_0253,11955,8948,3958,6194
SPD_0254,1411,1125,341,498
SPD_0255,33,31,22,48
SPD_0256,26,37,25,63
SPD_0257,12,17,24,44
SPD_0258,1064,864,950,1672
SPD_0259,259,136,123,152
SPD_0260,263,146,164,136
SPD_0261,1640,1772,1136,1768
SPD_0262,1578,1048,2480,4112
SPD_0263,1269,927,1390,2139
SPD_0264,1356,844,1071,1566
SPD_0265,1177,750,904,1210
SPD_0266,291,328,274,421
SPD_0267,462,348,444,597
SPD_0268,75,41,73,101
SPD_0269,587,537,520,857
SPD_0270,742,693,641,1125
SPD_0271,212,230,209,377
SPD_0272,516,452,567,969
SPD_0273,1558,3498,2172,2891
SPD_0274,681,795,102,173
SPD_0275,735,374,83,147
SPD_0276,0,0,0,2
SPD_0277,51,46,21,42
SPD_0278,0,2,1,0
SPD_0279,49,16,17,12
SPD_0280,230,112,108,124
SPD_0281,6,3,5,7
SPD_0282,26,15,16,27
SPD_0283,46,40,105,186
SPD_0284,213,109,154,192
SPD_0285,858,771,696,1156
SPD_0286,397,124,420,738
SPD_0287,62,51,59,109
SPD_0288,4,4,1,1
SPD_0289,10,15,25,36
SPD_0290,13,21,33,46
SPD_0291,11,18,23,26
SPD_0292,20,19,35,39
SPD_0293,0,2,1,1
SPD_0294,2,2,4,2
SPD_0295,1,1,1,1
SPD_0296,6,2,4,2
SPD_0297,2,4,6,8
SPD_0298,1,0,0,0
SPD_0299,0,0,0,0
SPD_0300,2,3,0,1
SPD_0301,985,851,641,959
SPD_0302,168,286,175,204
SPD_0303,31,44,46,46
SPD_0304,198,135,69,76
SPD_0305,41,58,15,20
SPD_0306,1496,1419,375,612
SPD_0307,336,213,57,131
SPD_0308,5118,5938,1761,3396
SPD_0309,365,414,198,344
SPD_0310,1926,2235,818,1076
SPD_0311,779,764,583,761
SPD_0312,21,39,19,24
SPD_0313,14,13,10,10
SPD_0314,3,7,8,14
SPD_0315,4319,4175,2227,3256
SPD_0316,2111,1778,947,1739
SPD_0317,2254,1678,871,1457
SPD_0318,1890,1542,650,1075
SPD_0319,4377,3635,1244,2039
SPD_0320,2851,2233,671,971
SPD_0321,1169,958,237,382
SPD_0322,1421,1296,268,387
SPD_0323,1203,814,135,233
SPD_0324,1238,1094,141,182
SPD_0325,887,1077,96,122
SPD_0326,2017,1964,151,229
SPD_0327,755,794,55,77
SPD_0328,1451,1484,128,198
SPD_0329,912,860,76,130
SPD_0330,2646,3081,241,406
SPD_0331,1349,1459,116,192
SPD_0332,1381,1334,104,184
SPD_0333,29,25,11,19
SPD_0334,6232,4225,1513,2259
SPD_0335,189,192,116,208
SPD_0336,5939,8277,2037,2790
SPD_0337,471,516,217,254
SPD_0338,20,14,5,5
SPD_0339,243,233,147,130
SPD_0340,12488,5974,13627,16501
SPD_0341,519,481,199,331
SPD_0342,1104,1023,379,649
SPD_0343,6295,5849,3775,6009
SPD_0344,3262,2104,1908,3123
SPD_0345,222,202,110,159
SPD_0346,125,148,41,53
SPD_0347,203,141,32,75
SPD_0348,327,281,78,94
SPD_0349,301,242,54,96
SPD_0350,196,297,47,99
SPD_0351,451,465,63,141
SPD_0352,268,249,40,64
SPD_0353,16,6,1,4
SPD_0354,177,140,15,51
SPD_0355,103,106,31,53
