GeneID,X51170,X51171,X51172,X51173,X51174,X51175,X51176,X51177,X51178,X51179,X51180,X51181
EW022_RS00005,9616,6742,5452,8812,7814,9054,1010,3111,2848,1597,429,185
EW022_RS00010,8632,11043,8003,10200,10449,12211,868,2681,2392,1515,594,360
EW022_RS00015,1013,522,353,412,346,376,310,996,848,341,131,25
EW022_RS00020,4200,2636,3816,2632,2724,2768,726,3279,2809,1273,518,214
EW022_RS00025,619,443,573,269,293,277,199,979,846,515,105,29
EW022_RS00030,5682,2751,4740,2222,1905,1737,2554,8730,8319,4078,849,266
EW022_RS00035,672,344,352,298,192,245,265,979,792,362,145,42
EW022_RS00040,1081,784,767,811,571,814,232,877,762,404,193,93
EW022_RS00045,3169,2502,2870,2334,1886,2584,669,2092,2131,1415,445,206
EW022_RS00050,3452,2183,2132,2376,2115,2960,612,1663,1846,1074,286,115
EW022_RS00055,9636,5780,4879,5774,5836,6544,534,1722,1446,1129,618,264
EW022_RS00060,59829,66272,78190,53265,60374,65604,22604,37982,26796,14164,9900,5852
EW022_RS00065,9682,9132,6650,9690,9982,10315,977,3808,3718,1865,557,294
EW022_RS00240,1602,447,110,144,78,92,1437,2086,2062,917,265,73
EW022_RS00245,123989,57190,70691,84949,91187,77726,5458,4193,3423,5271,4574,2248
EW022_RS00250,11903,4970,7219,5946,6623,6032,2519,3426,2859,1600,683,361
EW022_RS00255,4839,865,667,1056,1033,1012,2233,2907,2768,1542,535,193
EW022_RS00260,11988,3452,3066,3425,3783,3448,4011,5373,4900,3855,2714,1177
EW022_RS00265,1524,439,360,336,359,339,477,663,536,471,308,136
EW022_RS00270,4056,553,112,369,143,200,2495,3870,2758,1269,503,181
EW022_RS00275,7458,1796,1754,1182,853,892,13957,28386,12420,9090,8326,8222
EW022_RS00280,3922,962,1352,685,594,489,9978,18336,7325,6089,4854,4770
EW022_RS00285,4250,842,1074,674,558,485,10595,18922,8499,5645,4845,4790
EW022_RS00290,2981,509,728,381,347,299,8408,12445,5265,3448,3035,2967
EW022_RS00295,3639,1120,1826,909,860,783,15458,21535,8939,6475,4735,5647
EW022_RS00300,3902,674,397,453,213,219,4728,7063,4744,3020,1648,1587
EW022_RS00305,5519,1346,883,1027,832,983,6262,10576,6084,3947,2505,2389
EW022_RS00310,925,271,206,182,172,197,1690,2858,1436,1065,721,740
EW022_RS00315,3221,946,644,692,478,552,5319,9451,5629,3621,2245,1954
EW022_RS00320,16265,2667,1807,1655,1332,1221,12719,15506,11114,5797,3044,1774
EW022_RS00325,8278,3878,3891,2256,2629,2342,9653,11758,6160,3993,3171,2878
EW022_RS00330,6261,2017,418,592,324,392,3797,3837,3566,1845,772,338
EW022_RS00335,21390,11720,7176,5460,6677,5429,1781,2607,2271,1850,1262,676
EW022_RS00340,8614,2903,2066,2073,2468,2248,676,913,803,1861,2166,1077
EW022_RS00345,7187,2437,1721,1513,1807,1892,953,1058,943,1830,1651,817
EW022_RS00350,25622,11398,8829,7804,8401,9293,5800,6974,5857,9013,10233,5530
EW022_RS00355,43669,75507,110842,57183,67056,38037,43256,60704,38401,14933,12004,9937
EW022_RS00360,6969,3159,2285,1442,1318,920,5566,7157,6405,3076,2541,1332
EW022_RS00365,9059,1673,1177,1629,1472,1619,3692,7179,6810,3321,998,266
EW022_RS00370,6233,6926,9626,2505,2707,2404,932,1113,869,442,295,161
EW022_RS00375,5094,7308,13120,2555,2936,2595,1384,1692,1187,652,496,306
EW022_RS00380,4801,6252,14982,2559,3171,2340,2579,2618,1807,1013,916,648
EW022_RS00385,2903,3405,8479,1560,1824,1337,1597,1819,1201,765,667,483
EW022_RS00390,10324,13130,32091,5496,7287,4986,7148,6517,4095,2744,2433,1839
EW022_RS00395,4586,5072,11714,1930,2873,1748,2805,2449,1511,1175,956,697
EW022_RS00400,5384,5321,11283,2079,2940,1832,3363,3832,2662,1639,1178,814
EW022_RS00405,9785,10586,22898,4542,6886,4022,7004,5663,3767,3157,2408,1960
EW022_RS00410,8192,7987,16843,3435,5509,2923,5424,3893,2616,2102,1816,1568
EW022_RS00415,2580,3068,5688,1179,2002,1125,1796,1494,1056,1058,768,609
EW022_RS00420,6426,6231,11129,2430,3902,2145,4494,3131,2135,2147,1599,1328
EW022_RS00425,7932,7865,15354,3587,5597,3236,6228,3913,2840,2486,2068,1793
EW022_RS00430,7751,7242,12324,3257,5231,2787,5671,3719,2707,2737,1977,1504
EW022_RS00435,12007,11315,19470,5395,7517,4490,9223,6502,5289,4674,3412,2737
EW022_RS00440,5022,3777,6791,1778,2949,1518,3706,2370,1863,1813,1120,897
EW022_RS00445,14140,11681,21279,5710,9054,4888,10246,5975,4810,4484,3243,2482
EW022_RS00450,15890,14556,26572,6646,10944,5674,11866,6162,4625,5093,3803,3103
EW022_RS00455,8233,7002,13570,3531,5691,3006,6803,3515,3085,2963,2422,1810
EW022_RS00460,11861,10868,21083,5364,8837,4719,9228,5927,4935,4347,4088,2713
EW022_RS00465,4418,4207,7099,1964,3179,1564,2969,1524,1411,1604,1339,975
EW022_RS00470,12506,11445,21572,5694,9307,4730,2791,2361,1808,1186,675,547
EW022_RS00475,48486,47894,82410,23256,37109,19532,10154,6839,5516,3737,2321,2183
EW022_RS00480,2295,1114,744,381,304,363,942,1667,1539,712,202,92
EW022_RS00485,6712,7025,5147,3277,3633,3806,253,439,306,410,320,206
EW022_RS00490,3797,3425,2342,1475,1840,1711,375,291,239,272,205,122
EW022_RS00495,9174,8299,6585,4186,4697,4820,478,1022,758,695,580,311
EW022_RS00500,7763,8699,7396,4811,5208,5454,340,987,737,746,555,302
EW022_RS00505,21143,23481,18997,11218,12083,13223,1817,3591,2652,1889,1336,701
EW022_RS00510,7696,8873,7746,4194,4634,5083,340,670,641,494,401,234
EW022_RS00595,1707,449,97,279,44,123,1104,4547,4212,1914,493,141
EW022_RS00600,793,392,353,496,410,564,147,506,529,375,147,69
EW022_RS00605,1403,645,638,798,743,1076,373,1106,870,395,188,90
EW022_RS00610,927,585,410,471,445,576,200,862,596,313,120,34
EW022_RS00615,2161,1388,1062,1323,1026,1566,512,1795,1864,903,307,142
EW022_RS00620,2372,2192,1582,1847,1441,2168,387,1319,1226,667,291,129
EW022_RS00625,1328,1526,891,908,677,1063,372,1203,1049,556,300,117
EW022_RS00630,1651,1657,3995,1454,2147,1447,447,1310,996,450,306,130
EW022_RS00635,14173,13634,30550,16210,24556,17814,1168,3298,2482,1136,643,309
EW022_RS00640,12646,12544,8882,9946,8641,11425,3966,9727,7562,4226,1938,1159
EW022_RS00645,45010,66331,41232,38167,49339,39695,10584,16351,12934,10210,6561,3481
EW022_RS00650,29703,55008,33187,30356,34904,28904,43216,39854,30551,24056,16828,9773
EW022_RS00655,10209,3094,2602,4456,3111,4028,231,894,729,1602,1951,862
EW022_RS00660,2155,584,107,357,83,141,895,4056,3806,1939,435,103
EW022_RS00665,1659,409,107,305,51,112,960,2658,2525,1254,336,93
EW022_RS00670,321,85,30,51,18,36,119,629,628,272,61,15
EW022_RS00675,265,85,39,57,17,27,135,525,480,195,44,13
EW022_RS00680,245,66,18,48,9,15,121,421,480,246,64,11
EW022_RS00685,656,150,39,111,14,53,305,1419,1197,615,139,26
EW022_RS00690,354,86,35,62,19,31,175,586,572,255,46,7
EW022_RS00695,12724,7545,6442,6471,5757,6517,578,2130,1888,1660,1278,494
EW022_RS00700,11033,6429,7726,5073,4458,5100,1340,4025,3323,2585,2206,901
EW022_RS00705,980,297,187,212,100,104,595,1842,1527,690,211,45
EW022_RS00710,1839,1963,3575,1797,1954,1821,1841,3510,2637,1426,952,482
EW022_RS00715,3081,2195,3619,3033,3142,3013,1591,4493,3536,1562,912,398
EW022_RS00720,735,405,977,1386,1169,881,62,306,202,115,51,26
EW022_RS00725,1167,1156,609,585,592,682,288,794,756,376,107,34
EW022_RS00730,1402,1177,677,568,506,555,382,1370,1244,666,168,48
EW022_RS00735,2264,2583,2801,1636,1629,1833,781,2297,1791,816,421,205
EW022_RS00740,625,191,74,119,43,46,308,1563,1226,519,134,41
EW022_RS00745,1027,1233,1307,769,629,725,654,1756,1368,762,270,133
EW022_RS00750,1249,1349,1463,1070,918,1078,597,2111,1732,849,350,179
EW022_RS00755,1974,1114,1416,1409,1141,1412,420,1988,1823,833,267,99
EW022_RS00760,6946,5273,4862,8895,7911,6729,1259,4351,4093,5573,4987,1864
EW022_RS00765,160,44,39,35,16,22,77,257,224,130,41,24
EW022_RS00770,9928,5448,3949,10285,7862,11481,3083,11189,10410,6443,3102,1492
EW022_RS00775,4848,3814,3034,3272,2339,3327,1660,4084,3737,6281,5305,2958
EW022_RS00780,17087,13288,9587,12445,9408,13422,5486,14086,12511,18037,14830,10003
EW022_RS00785,4390,3928,2575,3645,2772,4311,1046,2598,2310,5334,5366,3754
EW022_RS00790,12180,11298,7178,11140,8462,13068,2618,5847,5507,15800,15744,12110
EW022_RS00795,9733,6011,4221,6490,5171,7796,1031,2137,2142,7886,9406,6402
EW022_RS00800,17076,9740,7166,12389,9747,14794,2297,4026,3290,13195,18662,13308
EW022_RS00805,37221,22418,13697,20239,16526,22898,5341,9446,8771,39514,49066,36615
EW022_RS00810,25950,37282,28942,21828,17667,26085,9999,22370,16562,8651,4492,2351
