GeneID,X51134,X51138,X51139,X51140,X51141,X51142,X51143,X51144,X51145,X51374,X51375,X51376
EW024_RS00005,12908,9342,9656,3005,1249,2530,860,3110,1529,10345,10346,12776
EW024_RS00010,12537,11033,12783,2795,2143,2237,1152,2852,1754,10644,10007,12232
EW024_RS00015,511,343,437,773,146,636,103,715,267,674,535,654
EW024_RS00020,4762,2949,3275,3622,1756,2973,1150,3164,2068,3309,3364,4098
EW024_RS00025,424,453,802,1194,355,1116,230,1155,639,776,749,803
EW024_RS00030,2267,2815,4536,8366,3036,6924,1747,6789,3514,4634,4362,4764
EW024_RS00035,305,282,389,731,301,699,193,724,339,522,479,453
EW024_RS00040,467,633,607,723,453,673,236,826,363,1017,831,943
EW024_RS00045,2258,2363,2535,3048,1950,2458,1095,2737,1553,3170,2846,3270
EW024_RS00050,1507,2062,2171,2011,1119,1533,644,1811,981,2834,2240,2555
EW024_RS00055,10157,6804,6642,1828,1180,1526,762,2149,1127,8380,8192,10004
EW024_RS00060,55024,52532,54007,12751,16371,13281,11227,15163,13225,35887,39201,50579
EW024_RS00065,5072,4527,4538,2739,771,2556,558,2665,1458,5213,5034,6212
EW024_RS00240,30,33,224,922,68,888,104,785,401,223,177,163
EW024_RS00245,38,82,475,1765,128,1573,148,1397,854,365,302,276
EW024_RS00250,124567,83886,74744,5283,7378,4643,5473,6741,6741,75451,83043,111016
EW024_RS00255,7809,8074,6755,3773,1565,2619,1259,2815,1683,6748,7939,9854
EW024_RS00260,649,520,1089,3154,558,2337,439,2423,1174,1419,1062,1149
EW024_RS00265,4578,3250,4133,7674,3250,5605,2766,6537,4154,4351,4387,5065
EW024_RS00270,245,163,186,918,283,545,200,669,269,278,215,221
EW024_RS00275,442,475,1104,3630,326,2522,354,2626,1038,977,744,700
EW024_RS00280,2351,3047,4716,12648,4393,10198,4388,13268,9378,3337,2984,3545
EW024_RS00285,1134,2081,2817,7958,3221,6794,3220,8859,7440,1909,1996,2356
EW024_RS00290,932,1886,2735,9346,2938,7373,3277,9114,7410,1839,1768,1997
EW024_RS00295,584,1087,1339,4419,1876,3780,2113,5163,4138,763,889,1107
EW024_RS00300,1763,3338,3948,7298,4984,7481,4895,10755,10740,2485,2701,3301
EW024_RS00305,301,480,1141,4228,622,2816,605,2674,1595,1080,852,875
EW024_RS00310,854,910,1805,4982,1046,4069,1126,4034,2289,1497,1186,1312
EW024_RS00315,245,275,413,954,349,805,340,928,500,369,319,337
EW024_RS00320,700,813,1563,3514,980,3470,1109,3593,1988,1302,1076,1206
EW024_RS00325,1323,1266,2733,7809,1567,4845,1124,4645,3304,2342,1888,2018
EW024_RS00330,658,813,2298,8957,1230,5167,883,5072,2780,1763,1452,1624
