,WT_Cu1,WT_Cu2,WT_Cu3,WT_Cu4
CHF17_RS00795,38,56,53,39
CHF17_RS00800,109,158,167,181
CHF17_RS00805,159,211,229,210
CHF17_RS00810,25,35,32,40
CHF17_RS00815,42,58,60,40
CHF17_RS00820,26,36,37,26
CHF17_RS00825,26,34,39,24
CHF17_RS00830,135,142,141,201
CHF17_RS00835,141,192,188,219
CHF17_RS00840,38,50,62,57
CHF17_RS00845,84,100,103,132
CHF17_RS00850,82,75,77,106
CHF17_RS00855,67,84,89,81
CHF17_RS00860,98,117,130,127
CHF17_RS00865,165,182,222,181
CHF17_RS00870,43,62,88,90
CHF17_RS00875,760,835,884,643
CHF17_RS00880,90,78,110,69
CHF17_RS00885,4203,3604,3940,3676
CHF17_RS00890,2237,2037,2182,2133
CHF17_RS00895,262,324,270,221
CHF17_RS00900,69,142,133,124
CHF17_RS00905,340,466,518,537
CHF17_RS00910,22,37,42,33
CHF17_RS00915,21,26,23,18
CHF17_RS00920,364,540,536,739
CHF17_RS00925,157,224,211,367
CHF17_RS00930,433,678,594,947
CHF17_RS00935,72,149,125,214
CHF17_RS00940,50,104,82,158
CHF17_RS00945,89,167,149,261
CHF17_RS00950,109,227,174,295
CHF17_RS00955,142,302,242,353
CHF17_RS00960,35,89,62,132
CHF17_RS00965,360,354,377,1531
CHF17_RS00970,175,219,172,575
CHF17_RS00975,519,579,552,1717
CHF17_RS00980,313,303,359,1054
CHF17_RS00985,38,80,68,154
CHF17_RS00990,31,51,60,103
CHF17_RS00995,64,83,110,119
CHF17_RS01000,85,126,142,171
CHF17_RS01005,467,826,768,909
CHF17_RS01010,28379,24471,26566,19682
CHF17_RS01015,197,278,261,257
CHF17_RS01020,3211,2772,3363,2944
CHF17_RS01025,5366,4874,5693,4616
CHF17_RS01030,3795,4061,4300,3861
CHF17_RS01035,8822,12048,16277,21827
CHF17_RS01040,6098,8154,11496,14409
CHF17_RS01045,31375,45108,64134,68219
CHF17_RS01050,5014,6590,9343,9306
CHF17_RS01055,1383,1215,1166,1102
CHF17_RS01060,5566,3937,3342,2979
CHF17_RS01065,3805,2530,2225,2266
CHF17_RS01070,1798,1096,1101,1209
CHF17_RS01075,2273,1274,1299,1441
CHF17_RS01080,2118,1927,2011,1952
CHF17_RS01085,158986,161830,167600,145711
CHF17_RS01090,26508,22034,23337,20187
CHF17_RS01095,32279,25882,27979,24277
CHF17_RS01100,17596,16570,16258,15497
CHF17_RS01105,1535,1400,1394,1227
CHF17_RS01110,1990,1818,2031,1884
CHF17_RS01115,9419,9751,10810,8997
CHF17_RS01120,10894,11243,10163,8178
CHF17_RS01125,6929,10409,12127,8978
CHF17_RS01130,1356,1001,1064,1199
CHF17_RS01135,19670,20232,22543,18399
CHF17_RS01140,917,961,858,823
CHF17_RS01145,324,270,272,188
CHF17_RS01150,307,243,307,269
CHF17_RS01155,70,66,58,38
CHF17_RS01160,131,123,119,89
CHF17_RS01165,116,123,129,87
CHF17_RS01170,2,4,5,2
CHF17_RS01175,52,66,70,48
CHF17_RS01180,56,48,62,45
CHF17_RS01185,1911,1778,1875,1541
CHF17_RS01190,4345,4030,4343,3708
CHF17_RS01195,94,106,123,102
CHF17_RS01200,89,96,125,80
CHF17_RS01205,406037,368823,374461,273414
CHF17_RS01210,51201,53810,45665,41207
CHF17_RS01215,7211,6994,7696,4628
CHF17_RS01220,11449,12067,12158,8842
CHF17_RS01225,79542,81697,90083,62961
CHF17_RS01230,11781,14502,17548,15579
CHF17_RS01235,2787,2601,3112,1817
CHF17_RS01240,522,498,579,464
CHF17_RS01245,28893,24669,26925,21346
CHF17_RS01250,56796,48157,47983,41275
CHF17_RS01255,4650,4712,5261,4786
CHF17_RS01260,9076,8804,8967,9527
CHF17_RS01265,4840,6070,6538,7751
CHF17_RS01270,12260,16252,17315,19705
CHF17_RS01275,6383,4848,4790,3743
CHF17_RS01280,10063,8231,7868,6710
CHF17_RS01285,7879,6824,6372,6902
CHF17_RS01290,2533,2270,2128,2424
CHF17_RS01295,11696,10450,9779,9879
CHF17_RS01300,8812,7221,8322,6465
CHF17_RS01305,6088,5302,5363,4160
CHF17_RS01310,70428,66693,75903,73183
CHF17_RS01315,7820,9538,10984,13486
CHF17_RS01320,7248,9242,10785,12780
CHF17_RS01325,8754,10937,13271,12765
CHF17_RS01330,11066,14224,16274,15334
CHF17_RS01335,3465,2934,5553,1828
CHF17_RS01340,4,5,13,7
CHF17_RS01345,751,654,1638,1049
CHF17_RS01350,3,5,15,9
CHF17_RS01355,3,2,5,2
CHF17_RS01360,3259,3294,3606,3342
CHF17_RS01365,3452,3528,3948,3734
CHF17_RS01370,6436,6573,7125,6114
CHF17_RS01375,6893,8245,8435,8517
CHF17_RS01380,613,482,584,408
CHF17_RS01385,35213,29769,31230,24416
CHF17_RS01390,14004,13494,16222,16913
CHF17_RS01395,58844,57192,59109,105658
CHF17_RS01400,68958,65498,67730,115711
CHF17_RS01405,2376,1656,1659,1251
CHF17_RS01410,1992,1510,1352,1231
CHF17_RS01415,477,379,318,340
CHF17_RS01420,99,93,101,76
CHF17_RS01425,118,94,106,49
CHF17_RS01430,89,81,72,64
CHF17_RS01435,14488,11292,11291,8323
CHF17_RS01440,53154,46007,45265,36441
CHF17_RS01445,676,641,526,493
CHF17_RS01450,252,198,227,187
CHF17_RS01455,622,524,548,658
CHF17_RS01460,4985,4968,5084,5093
CHF17_RS01465,7477,6654,7337,6840
CHF17_RS01470,11539,9779,11119,10017
CHF17_RS01475,379,364,404,403
CHF17_RS01480,642,521,606,335
CHF17_RS01485,2618,2023,2488,1443
CHF17_RS01490,9547,8373,9175,7427
CHF17_RS01495,2483,2725,2723,2590
CHF17_RS01500,199,153,137,111
CHF17_RS01505,1351,1233,1364,936
CHF17_RS01510,3256,3384,3592,2889
CHF17_RS01515,1363,1551,1559,1253
CHF17_RS01520,55,75,51,54
CHF17_RS01525,60,50,50,62
CHF17_RS01530,1,2,1,2
CHF17_RS01535,3051,3853,4491,3758
CHF17_RS01540,495,602,760,880
CHF17_RS01545,323,384,486,667
CHF17_RS01550,296,317,440,700
CHF17_RS01555,305,310,358,547
CHF17_RS01560,281,239,241,215
CHF17_RS01565,722,748,804,712
CHF17_RS01570,123,190,157,192
CHF17_RS01575,30,38,45,42
CHF17_RS01580,181,217,218,221
CHF17_RS01585,214,203,254,178
CHF17_RS01590,297,303,355,256
CHF17_RS01595,644,695,728,538
CHF17_RS01600,32896,34248,37680,26297
CHF17_RS01605,22632,21474,24272,26623
CHF17_RS01610,5740,5445,6113,8285
CHF17_RS01615,4743,4627,5134,7748
CHF17_RS01620,1585,1665,1825,2687
CHF17_RS01625,8976,8231,9313,14348
CHF17_RS01630,4102,3951,4508,5595
CHF17_RS01635,4751,3954,4150,3810
CHF17_RS01640,4575,3478,3882,2994
CHF17_RS01645,35546,35711,37508,25844
CHF17_RS01650,170,153,150,142
CHF17_RS01655,239,226,225,202
CHF17_RS01660,71931,61929,74509,51766
CHF17_RS01665,75454,68271,78114,55153
CHF17_RS01670,10422,10542,10287,10669
CHF17_RS01675,2667,2419,2766,3070
CHF17_RS01680,35,30,38,33
CHF17_RS01685,170,145,154,98
CHF17_RS01690,44,46,39,31
CHF17_RS01695,24,21,22,16
CHF17_RS01700,16,11,15,11
CHF17_RS01705,1202,1025,1016,920
CHF17_RS01710,12647,11941,12027,8585
CHF17_RS01715,4651,4496,4981,4549
CHF17_RS01720,4707,4930,5187,3397
CHF17_RS01725,6,7,4,5
CHF17_RS01730,16,10,10,10
CHF17_RS01735,298,256,265,188
CHF17_RS01740,1441,1167,1123,953
CHF17_RS01745,1406,938,806,770
CHF17_RS01750,11672,13084,13111,12220
CHF17_RS01755,18449,19836,20269,18578
CHF17_RS01760,9755,10408,10315,9642
CHF17_RS01765,16973,16298,16955,14737
CHF17_RS01770,3465,2934,5553,1828
CHF17_RS01775,4,5,13,7
CHF17_RS01780,751,654,1638,1049
CHF17_RS01785,4,6,17,10
CHF17_RS01790,126,93,145,46
CHF17_RS01795,215,157,238,90
CHF17_RS01800,318,224,340,154
CHF17_RS01805,223,160,212,137
CHF17_RS01810,201,118,196,152
CHF17_RS01815,130,69,117,108
CHF17_RS01820,141,84,136,133
CHF17_RS01825,153,100,158,157
CHF17_RS01830,144,102,156,163
CHF17_RS01835,186,149,206,235
CHF17_RS01840,308,243,336,390
CHF17_RS01845,355,284,388,468
CHF17_RS01850,748,645,753,561
CHF17_RS01855,3103,2570,2854,2563
CHF17_RS01860,1588,1309,1447,1365
CHF17_RS01865,1288,986,1214,1089
CHF17_RS01870,1914,1610,1699,1718
CHF17_RS01875,1266,1022,1122,602
CHF17_RS01880,958,682,794,356
CHF17_RS01885,2680,2381,2395,1788
CHF17_RS01890,1548,1397,1467,1360
CHF17_RS01895,706,673,732,622
CHF17_RS01900,65,57,68,62
CHF17_RS01905,445,425,435,351
CHF17_RS01910,739,751,771,656
CHF17_RS01915,552,529,563,469
CHF17_RS01920,934,876,987,821
CHF17_RS01925,439,342,430,273
CHF17_RS01930,16474,15647,14828,15176
CHF17_RS01935,15473,9523,11021,8221
CHF17_RS01940,423,339,327,279
CHF17_RS01945,18880,19826,19644,19617
CHF17_RS01950,9696,9971,10329,10387
CHF17_RS01955,47077,49243,50409,43553
CHF17_RS01960,5550,5433,5868,4711
