,WT_Cu1,WT_Cu2,WT_Cu3,WT_Cu4
CHF17_RS03380,6020,4934,5340,4825
CHF17_RS03385,16400,15443,16914,12797
CHF17_RS03390,12550,9218,10235,10455
CHF17_RS03395,33634,30478,32796,29204
CHF17_RS03400,7633,7472,7425,5530
CHF17_RS03405,21652,14319,11214,6692
CHF17_RS03410,21956,14327,14202,7837
CHF17_RS03415,3328,2494,2644,1872
CHF17_RS03420,5984,5789,6029,5677
CHF17_RS03425,54015,48105,49523,40013
CHF17_RS03430,9327,9777,8709,10332
CHF17_RS03435,4254,5724,3434,5602
CHF17_RS03440,223,218,275,304
CHF17_RS03445,506,443,603,547
CHF17_RS03450,330,349,413,362
CHF17_RS03455,333,382,427,415
CHF17_RS03460,230,288,306,290
CHF17_RS03465,78,79,92,88
CHF17_RS03470,190,219,254,247
CHF17_RS03475,215,262,314,293
CHF17_RS03480,939,1155,1287,1202
CHF17_RS03485,287,261,262,296
CHF17_RS03490,706,530,625,686
CHF17_RS03495,764,705,775,833
CHF17_RS03500,3429,3048,5332,1644
CHF17_RS03505,3502,3436,5241,1974
CHF17_RS03510,10119,9581,10688,10069
CHF17_RS03515,4506,3985,4687,3688
CHF17_RS03520,19845,18224,20576,17098
CHF17_RS03525,42991,38661,43598,32392
CHF17_RS03530,5008,3535,3531,2495
CHF17_RS03535,2248,1853,2054,1821
CHF17_RS03540,3365,2930,2992,2830
CHF17_RS03545,721568,618532,634362,453597
CHF17_RS03550,12547,13940,10621,12686
CHF17_RS03555,7267,6040,6541,4954
CHF17_RS03560,1668,1543,1568,1709
CHF17_RS03565,7314,6328,6858,6569
CHF17_RS03570,4673,4519,4923,4619
CHF17_RS03575,492,497,602,507
CHF17_RS03580,855,931,970,934
CHF17_RS03585,234,269,248,272
CHF17_RS03590,10,6,6,8
CHF17_RS03595,6,3,5,7
CHF17_RS03600,29,26,29,21
CHF17_RS03605,4,0,2,3
CHF17_RS03610,1,0,2,2
CHF17_RS03615,6,7,8,13
CHF17_RS03620,2,0,2,2
CHF17_RS03625,3,2,3,0
CHF17_RS03630,23,16,27,14
CHF17_RS03635,22,40,17,22
CHF17_RS03640,0,1,0,1
CHF17_RS03645,6,5,5,4
CHF17_RS03650,8,9,12,6
CHF17_RS03655,116,91,139,57
CHF17_RS03660,3285,2848,3319,2398
CHF17_RS03665,144,134,136,97
CHF17_RS03670,46,52,50,56
CHF17_RS03675,23,17,12,20
CHF17_RS03680,46110,44632,46017,40806
CHF17_RS03685,4,11,15,19
CHF17_RS03690,8,14,19,18
CHF17_RS03695,1,3,3,3
CHF17_RS03700,24,44,48,52
CHF17_RS03705,13,8,18,12
CHF17_RS03710,87,130,190,135
CHF17_RS03715,27,25,51,32
CHF17_RS03720,369,249,363,227
CHF17_RS03725,399,343,451,345
CHF17_RS03730,362,365,430,325
CHF17_RS03735,126,108,133,112
CHF17_RS03740,166,169,214,131
CHF17_RS03745,217,239,225,152
CHF17_RS03750,14,16,12,9
CHF17_RS03755,3,2,1,2
CHF17_RS03760,3,3,5,3
CHF17_RS03765,11,8,20,17
CHF17_RS03770,0,1,1,2
CHF17_RS03775,17,31,24,22
CHF17_RS03780,6,11,8,9
CHF17_RS03785,14,16,19,19
CHF17_RS03790,12,15,24,29
CHF17_RS03795,217,163,203,238
CHF17_RS03800,124,86,100,84
CHF17_RS03805,6,3,1,4
CHF17_RS03810,3,3,0,5
CHF17_RS03815,50,42,81,66
CHF17_RS03820,1666,1367,1798,1458
CHF17_RS03825,203,133,189,121
CHF17_RS03830,1669,1631,1592,1652
CHF17_RS03835,122,130,136,159
CHF17_RS03840,3,2,4,4
CHF17_RS03845,1,3,1,3
CHF17_RS03850,4,3,4,5
CHF17_RS03855,2,4,3,3
CHF17_RS03860,0,1,1,2
CHF17_RS03865,1,1,2,0
CHF17_RS03870,2778,2312,2269,1862
CHF17_RS03875,168,151,146,108
CHF17_RS03880,2527,2240,2446,1969
CHF17_RS03885,51,74,72,87
CHF17_RS03890,21,40,36,39
CHF17_RS03895,4,7,8,5
CHF17_RS03900,7,7,7,5
CHF17_RS03905,2008,1676,1884,1542
CHF17_RS03910,465,427,453,364
CHF17_RS03915,1679,1472,1685,1217
CHF17_RS03920,1231,1099,1160,972
CHF17_RS03925,126,110,124,132
CHF17_RS03930,273,257,292,267
CHF17_RS03935,1828,1919,2102,2631
CHF17_RS03940,235,205,233,208
CHF17_RS03945,655,512,611,561
CHF17_RS03950,2767,2190,2627,2382
CHF17_RS03955,861,849,962,839
CHF17_RS03960,207,285,297,302
CHF17_RS03965,279,293,399,381
CHF17_RS03970,250,366,394,413
CHF17_RS03975,906,933,1072,1134
CHF17_RS03980,146,156,177,153
CHF17_RS03985,61,56,67,56
CHF17_RS03990,14,12,10,20
CHF17_RS03995,18,12,13,11
CHF17_RS04000,238,248,295,316
CHF17_RS04005,574,680,794,770
CHF17_RS04010,2,3,4,5
CHF17_RS04015,7361,7971,9798,8937
CHF17_RS04020,1045,1022,1293,1068
CHF17_RS04025,538,626,717,695
CHF17_RS04030,317,383,423,442
CHF17_RS04035,452,381,790,476
CHF17_RS04040,1570,1796,2753,2427
CHF17_RS04045,1849,2155,3263,2559
CHF17_RS04050,461,497,761,652
CHF17_RS04055,1921,2095,3258,2708
CHF17_RS04060,3461,4187,5796,6775
CHF17_RS04065,3258,4144,5676,6877
CHF17_RS04070,7051,9395,12693,14932
CHF17_RS04075,3092,3698,5399,6384
CHF17_RS04080,8637,11434,14966,17040
CHF17_RS04085,4997,5920,7138,7506
CHF17_RS04090,3059,3665,4273,4026
CHF17_RS04095,94,77,70,84
CHF17_RS04100,320,220,235,199
CHF17_RS04105,926,600,636,785
CHF17_RS04110,389,316,327,543
CHF17_RS04115,57,69,53,42
CHF17_RS04120,61,39,43,35
CHF17_RS04125,6,4,8,4
CHF17_RS04130,37,42,34,38
CHF17_RS04135,55,44,43,40
CHF17_RS04140,92,105,124,88
CHF17_RS04145,234,289,284,276
CHF17_RS04150,214,211,250,235
CHF17_RS04155,108,92,103,95
CHF17_RS04160,170,144,163,167
CHF17_RS04165,4968,5079,5670,5079
CHF17_RS04170,1017,1427,2036,1729
CHF17_RS04175,822,970,1108,1048
CHF17_RS04180,108,131,166,160
CHF17_RS04185,132,181,206,262
CHF17_RS04190,889,739,775,718
CHF17_RS04195,2164,2036,2129,2167
CHF17_RS04200,888,929,929,782
CHF17_RS04205,873,848,924,642
CHF17_RS04210,32,26,29,20
CHF17_RS04215,60,70,83,57
CHF17_RS04220,818,710,832,655
CHF17_RS04225,5608,4758,4991,4369
CHF17_RS04230,141,160,123,158
CHF17_RS04235,170,135,138,140
CHF17_RS04240,197,154,164,143
CHF17_RS04245,170,148,170,184
CHF17_RS04250,121,60,72,85
CHF17_RS04255,499,489,556,441
CHF17_RS04260,8967,8992,9504,8186
CHF17_RS04265,15827,12467,14132,12542
CHF17_RS04270,6066,5959,6137,5665
CHF17_RS04275,13075,11996,13252,10434
CHF17_RS04280,18459,18564,19336,17551
CHF17_RS04285,46820,44156,48125,38688
CHF17_RS04290,276,225,260,199
CHF17_RS04295,2254,2229,2280,2010
CHF17_RS04300,6008,5588,7780,5218
CHF17_RS04305,7153,5669,4901,4999
CHF17_RS04310,10205,7970,6706,6033
CHF17_RS04315,12377,8713,7746,7123
CHF17_RS04320,12674,8765,7748,6467
CHF17_RS04325,7050,7336,8859,6569
CHF17_RS04330,15267,16802,19256,13983
CHF17_RS04335,9289,10010,12036,8360
CHF17_RS04340,3558,4067,4663,3450
CHF17_RS04345,1742,1652,1746,1608
CHF17_RS04350,15902,16399,19488,14727
CHF17_RS04355,3168,2938,2991,2830
CHF17_RS04360,3797,3487,3458,3989
CHF17_RS04365,5832,4887,5673,9090
CHF17_RS04370,509,535,652,540
CHF17_RS04375,8535,10922,12786,12912
CHF17_RS04380,8550,10774,12733,12243
CHF17_RS04385,991,1309,1472,1539
CHF17_RS04390,239,252,223,190
CHF17_RS04395,13557,12013,13812,11562
CHF17_RS04400,3089,2754,3232,2526
CHF17_RS04405,2942,4001,4868,4899
CHF17_RS04410,1790,3072,3454,4338
CHF17_RS04415,10962,9009,10974,9258
CHF17_RS04420,10273,9595,11174,10492
CHF17_RS04425,4620,4180,4942,3995
CHF17_RS04430,7554,7351,8596,7603
CHF17_RS04435,17184,17326,18895,14986
CHF17_RS04440,8287,6501,7186,5658
CHF17_RS04445,19371,16726,19446,15047
CHF17_RS04450,2454,2342,2754,2529
CHF17_RS04455,1025,740,639,726
CHF17_RS04460,11922,11325,11120,11442
CHF17_RS04465,1545,2676,2240,11658
CHF17_RS04470,769,1196,1032,6614
CHF17_RS04475,3503,3275,3131,15794
CHF17_RS04480,1389,1087,1083,3690
CHF17_RS04485,79001,59514,62558,46537
CHF17_RS04490,9576,6408,6180,4546
CHF17_RS04495,4084,4408,4766,4637
CHF17_RS04500,2145,2336,2671,2790
CHF17_RS04505,723,582,573,418
CHF17_RS04510,8023,8744,10383,10584
CHF17_RS04515,1053,1109,1159,959
CHF17_RS04520,6003,6046,6266,5546
CHF17_RS04525,21649,24836,27408,20302
CHF17_RS04530,77288,68721,69710,56824
CHF17_RS04535,6878,6307,6695,6233
CHF17_RS04540,1199360,912338,1006639,727455
CHF17_RS04545,137569,135471,130607,104525
CHF17_RS04550,150878,147428,149056,108683
CHF17_RS04555,23090,24147,26501,19276
CHF17_RS04560,6090,6569,7355,6019
CHF17_RS04565,21716,21196,23168,21666
CHF17_RS04570,17704,15025,17406,12246
CHF17_RS04575,12292,9371,6372,5088
CHF17_RS04580,4130,4804,5971,6658
CHF17_RS04585,1712,2176,3068,2601
CHF17_RS04590,14592,13720,15258,11014
CHF17_RS04595,1788,1385,1653,852
CHF17_RS04600,444,413,381,478
CHF17_RS04605,646,617,549,613
CHF17_RS04610,1317,1066,1022,1125
CHF17_RS04615,91830,109769,126670,131333
CHF17_RS04620,1419,1478,1318,1405
CHF17_RS04625,3273,2710,2782,2672
CHF17_RS04630,5159,5197,6088,4770
CHF17_RS04635,615,695,689,835
CHF17_RS04640,234,240,249,254
CHF17_RS04645,636,610,641,614
CHF17_RS04650,1885,1971,2213,1751
CHF17_RS04655,2086,1912,2045,1690
CHF17_RS04660,591,551,540,417
CHF17_RS04665,3133,3109,3256,3057
CHF17_RS04670,24479,22856,20249,20378
CHF17_RS04675,342,372,394,376
CHF17_RS04680,310,258,373,303
CHF17_RS04685,1163,1065,1126,928
CHF17_RS04690,1804,1605,1650,1571
CHF17_RS04695,118,133,121,164
CHF17_RS04700,318,337,299,325
CHF17_RS04705,4485,3348,3114,2621
CHF17_RS04710,4473,4496,5325,4830
CHF17_RS04715,5080,4566,5221,4703
CHF17_RS04720,67,75,87,47
CHF17_RS04725,1389,1060,1097,1413
CHF17_RS04730,776,810,819,836
CHF17_RS04735,786,735,840,573
CHF17_RS04740,94,88,108,75
CHF17_RS04745,6425,5695,5251,4906
CHF17_RS04750,859,579,491,429
CHF17_RS04755,24934,22329,23457,17418
CHF17_RS04760,2041,1730,1921,1535
CHF17_RS04765,3539,3430,3911,3025
CHF17_RS04770,40386,38849,43320,40597
CHF17_RS04775,5965,5702,5643,6872
CHF17_RS04780,28256,24117,25452,32863
CHF17_RS04785,2704,2381,2316,2511
CHF17_RS04790,2624,2388,2238,2535
CHF17_RS04795,200,111,62,80
CHF17_RS04800,410,244,121,145
CHF17_RS04805,290,182,94,129
CHF17_RS04810,662,428,195,268
CHF17_RS04815,4057,4519,1455,2985
CHF17_RS04820,21094,22336,21250,17713
CHF17_RS04825,54814,55179,54921,41914
CHF17_RS04830,9739,7568,7861,6493
CHF17_RS04835,34371,31095,31109,30304
CHF17_RS04840,381053,349908,363050,282037
CHF17_RS04845,77505,85329,90898,72732
CHF17_RS04850,9427,7568,7586,5604
CHF17_RS04855,12328,9469,10751,7926
CHF17_RS04860,12336,9896,9095,8208
CHF17_RS04865,5223,4823,4756,4536
CHF17_RS04870,24830,24327,26532,22103
CHF17_RS04875,973,1101,1158,1214
CHF17_RS04880,6007,5734,6298,6243
CHF17_RS04885,29255,31018,32315,28467
CHF17_RS04890,2828,3249,3256,3047
CHF17_RS04895,116,135,148,206
CHF17_RS04900,104,110,138,167
CHF17_RS04905,237,203,54,77
CHF17_RS04910,189,194,34,87
CHF17_RS04915,285,315,54,111
CHF17_RS04920,151,167,28,88
CHF17_RS04925,179,166,35,90
CHF17_RS04930,223,224,37,116
CHF17_RS04935,195,218,45,111
CHF17_RS04940,140,136,21,97
CHF17_RS04945,6545,5501,6594,6446
CHF17_RS04950,2319,1848,2073,1924
CHF17_RS04955,6197,4550,5443,4365
CHF17_RS04960,6304,5080,5889,5637
CHF17_RS04965,5899,4968,5686,6175
CHF17_RS04970,725,654,735,822
CHF17_RS04975,8146,9409,10324,10864
CHF17_RS04980,9144,7524,7336,6545
CHF17_RS04985,4817,3998,4068,3935
CHF17_RS04990,15104,12739,13142,12257
CHF17_RS04995,4016,3402,3446,3452
CHF17_RS05000,3060,2519,2710,2428
CHF17_RS05005,2694,2362,2374,2386
CHF17_RS05010,2830,2501,2582,2783
CHF17_RS05015,3466,3537,3544,3109
CHF17_RS05020,54010,60116,54046,64536
CHF17_RS05025,48796,49039,47788,46359
CHF17_RS05030,47421,50231,46034,56173
CHF17_RS05035,118835,113444,113380,141537
CHF17_RS05040,58390,55949,56228,83391
CHF17_RS05045,136326,131642,127653,157774
CHF17_RS05050,43794,42480,40327,46880
CHF17_RS05055,4452,5219,4001,5694
CHF17_RS05060,14850,14076,15892,13499
CHF17_RS05065,2514,2594,2911,2537
CHF17_RS05070,2689,2800,3180,2910
CHF17_RS05075,14267,12665,13459,11797
CHF17_RS05080,5027,4917,4879,5371
CHF17_RS05085,24255,20871,23505,23074
CHF17_RS05090,1326,1062,1117,985
CHF17_RS05095,4670,4366,4791,4131
CHF17_RS05100,11145,11967,12339,9640
CHF17_RS05105,4314,4789,4671,3986
CHF17_RS05110,7135,7594,8367,7167
CHF17_RS05115,5068,4760,5326,3676
CHF17_RS05120,20450,16397,14876,11112
CHF17_RS05125,20930,19013,16003,15304
CHF17_RS05130,16064,14446,12112,12748
CHF17_RS05135,41804,38833,34901,33560
CHF17_RS05140,6306,4957,4540,4328
CHF17_RS05145,386,323,321,349
CHF17_RS05150,528,534,640,526
CHF17_RS05155,8633,8205,9353,7530
CHF17_RS05160,13909,13332,14439,11128
CHF17_RS05165,7418,6885,7574,6084
CHF17_RS05170,8133,7925,8460,7219
CHF17_RS05175,24688,23994,25305,18460
CHF17_RS05180,1217,1348,1285,1214
CHF17_RS05185,423,366,439,341
CHF17_RS05190,4319,3509,3882,3219
CHF17_RS05195,2913,2309,2552,2090
CHF17_RS05200,4875,4382,4684,4211
CHF17_RS05205,3405,3219,3335,3758
CHF17_RS05210,4865,4687,4413,4083
CHF17_RS05215,1139,1091,1030,919
CHF17_RS05220,317,303,311,242
CHF17_RS05225,776,726,753,630
CHF17_RS05230,135,139,171,167
CHF17_RS05235,10382,10174,12657,11358
CHF17_RS05240,23082,21787,22492,18824
CHF17_RS05245,1641,1542,1747,1527
CHF17_RS05250,1762,2001,2386,1937
CHF17_RS05255,1329,1590,1846,1548
CHF17_RS05260,1813,1973,2437,1608
CHF17_RS05265,1506,1383,1581,1540
CHF17_RS05270,1239,1464,1662,1715
CHF17_RS05275,3724,2850,2740,2638
CHF17_RS05280,223421,202042,201216,248773
CHF17_RS05285,5610,6656,5577,6998
CHF17_RS05290,17092,17843,19018,19009
CHF17_RS05295,17289,16834,17677,17948
CHF17_RS05300,11905,11664,12174,11025
CHF17_RS05305,8877,8190,8137,6789
CHF17_RS05310,191085,151345,158426,121213
CHF17_RS05315,421827,339566,358098,286006
CHF17_RS05320,10531,7660,7385,6985
CHF17_RS05325,2594,1948,1931,1891
CHF17_RS05330,12470,18089,18020,11282
CHF17_RS05335,1210,1154,1274,833
CHF17_RS05340,2581,3086,3857,3472
CHF17_RS05345,4064,4934,6260,5475
CHF17_RS05350,3856,4838,6162,5629
CHF17_RS05355,28736,28623,28930,22871
CHF17_RS05360,10161,10432,8993,6241
CHF17_RS05365,2110,1681,1757,1461
CHF17_RS05370,5196,3662,3733,2774
CHF17_RS05375,109653,73826,70544,66775
CHF17_RS05380,60939,39596,37046,29275
CHF17_RS05385,46834,37016,32065,27400
CHF17_RS05390,48341,38335,34436,28904
CHF17_RS05395,33469,33192,37726,33357
CHF17_RS05400,181052,164629,176911,129725
CHF17_RS05405,28491,26069,29566,24076
CHF17_RS05410,12307,12082,13354,11671
CHF17_RS05415,5966,6142,6579,6148
CHF17_RS05420,5335,6898,7571,6924
CHF17_RS05425,3314,2773,3082,3068
CHF17_RS05430,58179,45214,49419,43696
CHF17_RS05435,3639,3319,3646,2660
CHF17_RS05440,20437,20223,21820,17978
CHF17_RS05445,2192,2055,2041,1978
CHF17_RS05450,4582,4141,4289,4172
CHF17_RS05455,3967,5672,8026,7608
CHF17_RS05460,267,254,261,216
CHF17_RS05465,743,814,886,702
CHF17_RS05470,2461,2837,2970,2846
CHF17_RS05475,1664,2009,2118,2210
CHF17_RS05480,2616,3061,3398,3143
CHF17_RS05485,2074,1988,2221,2041
CHF17_RS05490,1027,922,1017,959
CHF17_RS05495,1808,1583,1538,1477
CHF17_RS05500,2140,1626,1603,1427
CHF17_RS05505,25926,26286,28835,22389
CHF17_RS05510,4125,4077,4548,3466
CHF17_RS05515,7137,8369,9841,8933
CHF17_RS05520,3662,4503,5097,4854
CHF17_RS05525,53586,60638,66842,54000
CHF17_RS05530,9239,9381,10034,7548
CHF17_RS05535,8684,8524,9283,6904
CHF17_RS05540,7881,8332,8686,7483
CHF17_RS05545,8596,8518,9265,7316
CHF17_RS05550,7729,7399,7968,6399
CHF17_RS05555,6856,6431,6761,5501
CHF17_RS05560,5340,4341,4612,3431
CHF17_RS05565,14951,11696,11966,8757
CHF17_RS05570,6942,5447,5532,4086
CHF17_RS05575,15582,10985,11576,7486
CHF17_RS05580,5546,4825,5220,4156
CHF17_RS05585,4777,4636,4963,4153
CHF17_RS05590,3614,3146,3529,3391
CHF17_RS05595,12441,10560,11893,9153
CHF17_RS05600,6599,5339,6022,4108
CHF17_RS05605,9545,11258,14372,12235
CHF17_RS05610,2844,2418,2693,2407
CHF17_RS05615,1415,1234,1207,1029
CHF17_RS05620,28846,22216,22831,16166
CHF17_RS05625,324,257,228,152
CHF17_RS05630,10379,9163,9775,8154
CHF17_RS05635,5692,4772,5332,4099
CHF17_RS05640,6819,5652,6263,4753
CHF17_RS05645,9565,7477,8171,6561
CHF17_RS05650,5118,4293,4447,3488
CHF17_RS05655,8017,6317,6525,5707
CHF17_RS05660,9786,7329,7825,6331
CHF17_RS05665,1360,1022,750,493
CHF17_RS05670,3624,2496,2438,2341
CHF17_RS05675,1090,1007,1118,872
CHF17_RS05680,2505,2319,2536,2220
CHF17_RS05685,531,592,526,448
CHF17_RS05690,910,1035,979,760
CHF17_RS05695,498,476,536,323
CHF17_RS05700,855,935,851,716
CHF17_RS05705,1715,1900,1570,1600
CHF17_RS05710,433,481,407,484
CHF17_RS05715,1893,2177,2077,1981
CHF17_RS05720,2549,2864,2762,2943
CHF17_RS05725,14396,14523,14170,12643
CHF17_RS05730,34384,36544,33273,31780
CHF17_RS05735,20623,17945,18103,20316
CHF17_RS05740,161958,150700,149430,202079
CHF17_RS05745,42226,45364,38859,60928
CHF17_RS05750,7952,7873,7380,10301
CHF17_RS05755,12353,12714,11272,18081
CHF17_RS05760,102451,100146,87312,129022
CHF17_RS05765,17935,17051,14487,21741
CHF17_RS05770,12798,12135,9919,17418
CHF17_RS05775,210944,199214,164573,232679
CHF17_RS05780,68120,61653,48323,68036
CHF17_RS05785,73687,61642,49227,61724
CHF17_RS05790,152080,133842,114983,115251
CHF17_RS05795,87597,71861,62978,50338
CHF17_RS05800,122232,106684,86686,70524
CHF17_RS05805,11256,12467,12462,10269
CHF17_RS05810,13129,13212,15076,10812
CHF17_RS05815,6002,6780,6496,7246
CHF17_RS05820,3725,3017,2881,2650
CHF17_RS05825,69,78,83,67
CHF17_RS05830,15727,12842,12922,10176
CHF17_RS05835,65999,46692,47796,36833
CHF17_RS05840,4384,3317,3091,3433
CHF17_RS05845,3652,3049,2922,3215
CHF17_RS05850,3898,3602,3138,3602
CHF17_RS05855,2173,2034,1805,1988
CHF17_RS05860,7623,6795,6446,6534
CHF17_RS05865,8398,7120,7654,6184
CHF17_RS05870,5418,5378,5135,5181
CHF17_RS05875,2710,1932,1977,1294
CHF17_RS05880,2536,1670,1811,1230
CHF17_RS05885,8974,7706,7916,6664
CHF17_RS05890,45172,38791,39770,32408
CHF17_RS05895,1730,1417,1491,1322
CHF17_RS05900,6234,7080,7965,7210
CHF17_RS05905,4171,4412,5044,5027
CHF17_RS05910,3482,3478,3746,3547
CHF17_RS05915,6802,6632,6869,7290
CHF17_RS05920,11680,10227,10623,10753
CHF17_RS05925,3533,2979,3264,3637
CHF17_RS05930,4902,3949,4403,5080
CHF17_RS05935,9709,7770,8115,7764
CHF17_RS05940,5188,4139,4289,4014
CHF17_RS05945,1788,1210,1633,890
CHF17_RS05950,6157,4333,4568,3583
CHF17_RS05955,4450,2948,3275,2423
CHF17_RS05960,8662,6096,7126,5447
CHF17_RS05965,1591,1321,1353,1193
CHF17_RS05970,6027,8550,8764,6012
CHF17_RS05975,2848,3793,3973,2703
CHF17_RS05980,104847,84261,74543,46287
CHF17_RS05985,2925,2800,3046,3038
CHF17_RS05990,1326,1092,1180,1030
CHF17_RS05995,23816,25502,27227,24406
CHF17_RS06000,3113,1667,1498,1073
CHF17_RS06005,30595,27435,26508,21826
CHF17_RS06010,5518,5228,5424,4318
CHF17_RS06015,4207,4164,4539,3695
CHF17_RS06020,4123,4020,4446,3498
CHF17_RS06025,3982,3011,2965,2365
CHF17_RS06030,36889,27839,29514,22380
CHF17_RS06035,43265,31257,33266,25662
CHF17_RS06040,10919,7961,8655,7445
CHF17_RS06045,4971,4802,4635,4614
CHF17_RS06050,1782,1669,1419,1717
CHF17_RS06055,8881,7104,6596,6027
CHF17_RS06060,1448,1420,1413,1126
CHF17_RS06065,2581,2456,2740,2414
CHF17_RS06070,2757,2880,3108,2711
CHF17_RS06075,0,0,1,2
CHF17_RS06080,644,601,609,525
CHF17_RS06085,10601,10398,11199,8923
CHF17_RS06090,6357,6249,6582,5117
CHF17_RS06095,4220,3963,3973,3546
CHF17_RS06100,6689,6610,6423,5476
CHF17_RS06105,9289,8501,8582,6864
CHF17_RS06110,7015,6289,6450,5103
CHF17_RS06115,3726,3987,4425,3374
CHF17_RS06120,2667,2792,2995,2589
CHF17_RS06125,6727,7273,7650,6181
CHF17_RS06130,4102,4347,4578,3687
CHF17_RS06135,9165,8902,9753,8322
CHF17_RS06140,4733,4951,5042,5031
CHF17_RS06145,5236,5143,5684,5135
CHF17_RS06150,4532,4147,4609,5133
CHF17_RS06155,3658,3648,4373,3817
CHF17_RS06160,16574,21271,23145,21664
CHF17_RS06165,7536,8572,9513,7473
CHF17_RS06170,3877,3694,3941,3736
CHF17_RS06175,14351,10285,11301,8745
CHF17_RS06180,1148,817,804,617
CHF17_RS06185,133,72,101,73
CHF17_RS06190,790,562,580,511
CHF17_RS06195,4974,4197,3768,3714
CHF17_RS06200,2336,2291,2316,1990
CHF17_RS06205,5057,4679,5082,4012
CHF17_RS06210,13139,12337,12605,9684
CHF17_RS06215,7992,8807,12043,8954
CHF17_RS06220,2520,2761,3960,2893
CHF17_RS06225,4551,4911,6686,5269
CHF17_RS06230,964,1050,1506,1294
CHF17_RS06235,3138,2653,4217,3410
CHF17_RS06240,1747,1427,2177,1842
CHF17_RS06245,2626,1868,3012,2134
CHF17_RS06250,10580,12378,14871,10371
CHF17_RS06255,5000,2373,1991,1682
CHF17_RS06260,219240,175470,146775,148911
CHF17_RS06265,1438,1548,1376,1174
CHF17_RS06270,3195,3160,3559,3165
CHF17_RS06275,1951,1443,1477,1299
CHF17_RS06280,5591,4187,4403,4090
CHF17_RS06285,8294,6691,7674,7362
CHF17_RS06290,436,379,406,349
CHF17_RS06295,332277,329449,336952,317366
CHF17_RS06300,5875,6075,5922,5193
CHF17_RS06305,1682,1833,1397,1370
CHF17_RS06310,4178,3251,3745,2660
CHF17_RS06315,25553,24147,28507,23525
CHF17_RS06320,24022,20714,20543,16868
CHF17_RS06325,19273,15769,15264,12375
CHF17_RS06330,6249,5400,5848,4917
CHF17_RS06335,3864,3770,3935,3329
CHF17_RS06340,6232,7862,8274,10735
CHF17_RS06345,15980,17689,19624,17772
CHF17_RS06350,9690,10585,11003,9335
CHF17_RS06355,17778,18370,20043,16532
CHF17_RS06360,15952,16702,18701,15129
CHF17_RS06365,15839,17534,18686,18330
CHF17_RS06370,14576,15205,16604,16107
CHF17_RS06375,9238,9078,10709,10656
CHF17_RS06380,12634,13946,16257,16091
CHF17_RS06385,8960,9457,10646,11783
CHF17_RS06390,6437,6747,8441,6817
CHF17_RS06395,8151,9073,10423,9508
CHF17_RS06400,22806,23792,27371,24495
CHF17_RS06405,20866,21116,25005,20286
CHF17_RS06410,20532,19402,22135,19009
CHF17_RS06415,14233,12748,14945,13120
CHF17_RS06420,36513,32898,37737,32444
CHF17_RS06425,2903,2225,2279,1926
CHF17_RS06430,1749,1626,1606,1406
CHF17_RS06435,11762,11156,11666,11567
CHF17_RS06440,10726,10455,10598,10819
CHF17_RS06445,11956,10442,11848,12795
CHF17_RS06450,10111,7881,8979,10229
CHF17_RS06455,3186,2457,2798,4077
CHF17_RS06460,10964,8188,9050,10526
CHF17_RS06465,5090,3900,4305,4444
CHF17_RS06470,5636,6602,7149,6870
CHF17_RS06475,4608,4328,4782,3932
CHF17_RS06480,23896,22078,24861,20491
CHF17_RS06485,1923,1923,2186,1786
CHF17_RS06490,1943,1980,2271,2094
CHF17_RS06495,2083,1932,2311,1663
CHF17_RS06500,4573,4068,4685,3522
CHF17_RS06505,19015,16852,15611,19743
CHF17_RS06510,48825,38176,37916,44816
CHF17_RS06515,6953,7758,8661,9969
CHF17_RS06520,7101,8133,9142,9132
CHF17_RS06525,2524,2796,3003,2638
CHF17_RS06530,3299,3481,3665,3435
CHF17_RS06535,9166,6973,8258,6585
CHF17_RS06540,16781,15802,17531,22439
CHF17_RS06545,4718,4145,4816,10498
CHF17_RS06550,12027,11650,11994,16114
CHF17_RS06555,5128,4685,4898,4513
CHF17_RS06560,5584,5312,5458,4813
CHF17_RS06565,4630,4273,4079,4227
CHF17_RS06570,3263,2950,3219,2887
CHF17_RS06575,8686,8187,9118,7425
CHF17_RS06580,10342,7023,7585,5920
CHF17_RS06585,151,95,94,63
CHF17_RS06590,7010,7154,7778,6560
CHF17_RS06595,4270,4586,4946,4594
CHF17_RS06600,5983,6166,6687,5211
CHF17_RS06605,2572,2570,2966,2487
CHF17_RS06610,6565,6336,7140,5188
CHF17_RS06615,2044,1822,1955,1392
CHF17_RS06620,5578,5986,8870,3887
CHF17_RS06625,6068,6523,7866,5099
CHF17_RS06630,257,270,284,290
CHF17_RS06635,2265,3059,2840,4204
CHF17_RS06640,2349,2922,3040,3932
CHF17_RS06645,15590,15966,20195,22291
CHF17_RS06650,6486,7957,8612,10050
CHF17_RS06655,10584,8029,8149,6484
CHF17_RS06660,2124,1893,1896,1570
CHF17_RS06665,4172,3935,4582,3725
CHF17_RS06670,4760,3329,3668,2498
CHF17_RS06675,5657,4911,5350,4735
CHF17_RS06680,7326,6714,6599,6004
CHF17_RS06685,8672,7385,7676,6708
CHF17_RS06690,3705,3718,3730,3554
CHF17_RS06695,925,996,933,919
CHF17_RS06700,4284,5417,5852,7071
CHF17_RS06705,7850,9718,10453,12414
CHF17_RS06710,979,913,950,1233
CHF17_RS06715,241,161,216,280
