Synonym,Raw.Counts.Untreated.Replicate.1,Raw.Counts.Untreated.Replicate.2,Raw.Counts.Untreated.Replicate.3,Raw.Counts.Amp_treated_10min.Replicate.1,Raw.Counts.Amp_treated_10min.Replicate.2,Raw.Counts.Amp_treated_10min.Replicate.3,Raw.Counts.Amp_treated_20min.Replicate.1,Raw.Counts.Amp_treated_20min.Replicate.2,Raw.Counts.Amp_treated_20min.Replicate.3,Raw.Counts.Amp_treated_30min.Replicate.1,Raw.Counts.Amp_treated_30min.Replicate.2,Raw.Counts.Amp_treated_30min.Replicate.3
SSA_0267,253,200,256,1679,315,594,778,1592,857,860,1041,1042
SSA_0268,35,35,37,203,43,59,83,237,114,109,227,146
SSA_0269,56,55,37,182,68,109,144,209,112,130,266,159
SSA_0270,172,157,174,689,212,286,396,949,344,573,854,602
SSA_0271,295,276,284,586,292,359,360,830,369,641,834,581
SSA_0272,154,149,176,235,179,146,147,313,149,278,287,202
SSA_0273,318,304,406,381,293,299,236,509,284,412,435,321
SSA_0274,86,108,91,125,94,86,70,114,90,72,86,77
SSA_0276,709,764,920,490,625,552,264,346,412,211,221,263
SSA_0277,39,29,31,68,29,28,31,66,52,56,73,54
SSA_0278,594,541,586,752,539,672,427,585,528,302,447,381
SSA_0279,819,697,762,1120,709,975,598,987,783,577,649,634
SSA_0281,327,309,285,546,254,416,247,402,335,154,286,254
SSA_0282,16,20,10,15,14,15,5,25,9,58,63,41
SSA_0283,18,19,18,18,18,17,12,25,13,44,74,35
SSA_0284,98,75,87,89,68,86,52,134,88,107,242,131
SSA_0285,307,294,283,368,268,315,225,532,252,391,736,464
SSA_0286,66,74,55,103,52,64,55,105,48,71,130,98
SSA_0287,157,146,160,234,140,152,121,229,139,152,257,180
SSA_0288,329,302,288,132,133,108,29,80,74,50,60,47
SSA_0289,9004,8464,9420,7912,7857,8295,4533,6980,5854,3916,5133,5591
SSA_0290,198,190,172,290,168,213,136,263,178,218,158,175
SSA_0291,20,25,25,19,29,31,17,22,33,31,16,27
SSA_0292,40,40,41,45,47,54,43,54,36,48,52,54
SSA_0293,225,219,217,366,167,265,155,345,188,255,285,252
SSA_0294,53,60,64,133,40,49,22,117,33,43,69,39
SSA_0295,566,577,494,677,396,481,288,513,405,378,447,368
SSA_0296,156,144,149,141,62,108,57,81,82,40,58,57
SSA_0297,298,256,260,335,226,272,210,362,252,223,381,314
SSA_0298,84,67,59,107,55,78,54,135,71,73,92,71
SSA_0299,1469,1530,1817,1990,1783,1821,1090,1750,1416,772,1144,1349
SSA_0300,880,826,1026,2575,880,1502,1311,2504,1314,1646,1947,1047
SSA_0301,1561,1510,1772,4285,1295,2257,2170,4700,2017,3294,4226,2387
SSA_0302,22217,20664,22044,35651,20453,24779,17433,32120,21398,14450,23933,24459
SSA_0303,29839,28758,27982,28893,25386,32068,16386,25203,21368,16028,21158,21563
SSA_0304,1456,1549,1586,532,394,561,192,299,242,180,222,212
SSA_0305,547,534,610,747,694,705,447,669,620,368,443,546
SSA_0306,2390,2292,2213,1381,1979,1891,731,925,1199,775,647,612
SSA_0307,9927,9334,10117,6139,7030,6649,2937,4780,4409,2127,3297,3529
SSA_0308,153,150,146,163,114,157,107,148,117,84,119,117
SSA_0309,174,137,154,75,79,80,30,53,44,26,37,35
SSA_0310,321,289,315,210,188,222,121,176,166,119,179,114
SSA_0311,464,429,419,339,273,297,169,296,192,126,258,202
SSA_0312,14402,13865,14844,17811,15465,17489,10797,15803,14348,10027,12505,13975
SSA_0313,654,570,529,574,585,645,257,324,471,271,209,237
SSA_0314,614,562,559,583,421,523,303,510,414,336,382,331
SSA_0315,622,619,724,325,532,461,229,249,361,119,226,211
SSA_0316,1125,1104,1264,875,1359,1195,672,954,983,637,720,742
SSA_0317,691,660,743,789,800,881,445,743,620,428,641,589
SSA_0318,2121,1955,2117,2126,2219,2405,1582,2297,2067,1363,2091,1999
SSA_0319,1605,1513,1563,2044,1721,1913,1290,2247,1848,1316,1956,1933
SSA_0320,726,645,645,1238,642,775,548,1143,731,548,868,887
SSA_0321,54,55,45,45,69,71,46,56,58,60,48,45
SSA_0322,118,121,119,120,114,156,75,125,111,102,100,93
SSA_0323,321,297,345,211,309,283,140,176,194,149,114,175
SSA_0324,2458,2398,2471,1773,1541,1611,794,1182,1222,452,919,725
SSA_0325,1336,1291,1414,1359,1269,1395,747,1242,1064,817,938,1101
SSA_0326,1067,1108,1183,1198,836,950,580,887,676,544,505,717
SSA_0327,241,270,309,103,121,127,42,41,84,30,44,39
SSA_0328,2020,2012,1973,1908,1912,2204,1190,1616,1679,1401,1303,1552
SSA_0329,4512,5174,6616,1434,3893,2761,896,1046,1498,630,728,1087
SSA_0330,233,222,247,191,227,262,118,167,200,138,160,200
SSA_0331,999,951,985,483,646,593,259,390,465,191,299,335
SSA_0332,1466,1452,1565,972,1149,1112,573,802,778,543,721,775
SSA_0333,1279,1241,1383,1299,1203,1220,764,1192,1039,610,1126,1006
SSA_0334,1915,1840,2076,2076,1969,2334,1506,2150,1887,1460,2068,2114
SSA_0335,2322,2244,2364,2770,2374,2844,1841,2761,2409,1855,2607,2630
SSA_0336,2186,2025,2182,2853,2158,2562,1757,2734,2271,1367,2423,2626
SSA_0337,3149,3116,3262,3625,3471,3865,2212,3310,2953,2461,2578,3011
SSA_0338,1851,1811,1918,1310,1606,1609,752,1197,1101,1023,916,1114
SSA_0339,278,251,267,248,254,256,147,209,163,155,113,108
SSA_0341,471,461,513,273,391,354,178,260,237,190,200,158
SSA_0342,15942,14855,14863,196135,30381,76169,110782,213242,109197,139031,170220,185329
SSA_0343,513,431,409,595,358,468,367,498,442,245,369,435
SSA_0345,372,247,234,400,162,234,169,467,200,211,467,267
SSA_0346,662,432,424,1269,370,512,455,1503,416,741,1241,641
SSA_0348,708,468,377,1363,387,571,449,1605,398,635,1319,698
SSA_0349,1614,1301,1329,2307,1122,1384,962,2214,1044,975,1862,1233
SSA_0350,1981,1983,1887,2289,2037,2297,1402,2273,1900,1978,1733,1977
SSA_0351,1434,1272,1331,1358,1350,1348,730,1083,1081,681,751,891
SSA_0352,1663,1647,1746,1780,1623,1680,877,1202,1282,784,600,898
SSA_0353,475,493,504,641,425,461,238,486,305,188,255,273
SSA_0354,1055,1116,1198,1559,1080,1203,628,1174,919,623,737,824
SSA_0355,3244,3208,3478,3208,3590,3837,2228,3164,3016,2255,2473,2866
SSA_0356,2475,2294,2255,3201,2599,3246,2449,3767,3100,3226,3257,3707
predicted RNA,29,30,27,41,29,40,31,40,40,34,52,42
SSA_0357,2433,2187,2401,4167,2121,2548,1874,3402,2122,989,2498,2107
SSA_0358,17,15,16,24,11,15,7,18,16,18,12,7
SSA_0359,186,172,215,359,133,215,119,216,138,77,119,115
SSA_0360,1896,1835,2170,1754,1287,1431,815,1164,1035,546,770,625
SSA_0362,54,48,50,86,35,37,32,50,32,20,29,28
SSA_0363,154,187,213,124,145,123,88,117,108,86,96,121
SSA_0364,197,240,270,242,204,206,124,251,173,147,156,184
SSA_0365,901,870,962,605,876,769,371,417,534,322,351,446
SSA_0366,739,680,712,600,697,791,406,469,597,343,385,475
SSA_0367,82,84,92,102,113,123,66,84,103,83,76,99
SSA_0368,422,374,409,530,318,423,280,403,377,244,319,307
SSA_0369,2402,2225,2152,3465,1907,2589,1441,3116,1943,1521,2538,2533
SSA_0370,5653,5344,4996,7233,4643,5887,3634,6971,4586,4918,5911,5621
SSA_0371,14177,13617,12678,16277,10532,12459,7741,15261,9746,8719,12740,11478
SSA_0373,1412,1289,1370,1412,1286,1381,798,1109,1158,662,832,967
SSA_0374,1245,1071,1101,1640,1674,2016,1192,1570,1612,1318,1287,1400
SSA_0375,10350,10775,12076,5618,9373,8134,3000,3347,4961,2030,2197,2987
predicted RNA,169,159,176,107,148,152,53,65,88,72,42,51
SSA_0376,3796,3570,3764,1878,3734,3569,1329,1499,2205,1185,898,1547
SSA_0377,3282,3109,3471,2311,3212,2995,1390,1864,2053,915,1273,1734
SSA_0378,518,508,617,411,611,605,334,324,468,285,325,426
SSA_0379,75,56,111,3362,99,294,1497,4895,815,2608,4551,3561
SSA_0380,630,627,679,506,472,477,311,569,374,380,530,486
SSA_0381,54,60,50,59,38,52,17,57,42,25,33,27
SSA_0382,218,266,213,226,140,136,102,184,121,145,138,141
SSA_0383,59,56,75,73,41,58,35,72,69,55,36,46
SSA_0384,302,234,312,732,210,355,393,767,403,378,659,456
SSA_0385,9206,8543,8628,8861,7117,9566,4175,7702,4718,4615,5627,5711
SSA_0386,3946,3862,4106,1739,2245,2362,1003,1442,1189,1127,1180,1219
SSA_0387,364,314,371,186,179,192,68,95,89,58,63,64
SSA_0388,357,328,292,308,273,302,136,249,206,154,202,193
SSA_0389,251,221,224,230,205,278,135,212,179,140,169,168
SSA_0390,235,218,228,242,228,295,168,201,211,124,194,172
SSA_0391,2341,2351,2397,11139,7837,9605,6265,8530,7900,7348,5282,9549
predicted RNA,29,19,16,303,59,96,65,233,79,52,65,110
SSA_0392,27,21,26,61,68,76,31,30,51,39,11,31
SSA_0393,2117,2152,1930,2615,1282,1943,1064,2080,1302,1204,1691,1216
SSA_0394,736,764,771,827,441,628,366,693,387,379,572,505
SSA_0395,127,85,134,271,123,164,161,387,152,238,179,121
SSA_0396,13,8,14,21,12,11,6,15,17,20,9,15
SSA_0397,5,7,7,1,4,4,1,4,9,16,9,4
SSA_0398,12,13,14,24,9,14,7,14,14,18,15,17
SSA_0400,6,8,12,14,10,5,7,11,13,18,4,9
SSA_0401,941,900,996,1035,879,891,590,955,754,578,791,706
SSA_0402,1216,1096,1205,1364,1041,1283,761,1255,1030,822,1117,1015
SSA_0403,6,5,7,8,9,6,5,12,9,7,8,4
SSA_0405,399,363,405,229,256,242,131,176,154,111,135,135
SSA_0406,4,3,3,10,2,5,3,5,3,4,5,4
SSA_0407,3,2,4,5,5,5,3,5,4,10,3,5
SSA_0408,1,2,4,3,0,0,4,4,3,9,1,5
SSA_0409,4,0,2,9,4,3,1,3,4,16,3,3
SSA_0410,205,172,168,389,162,216,161,414,217,309,324,273
SSA_0411,231,214,192,355,170,234,165,358,214,309,298,251
SSA_0412,381,334,386,443,309,408,251,472,301,299,372,373
SSA_0413,516,548,568,442,452,488,289,406,340,356,346,303
SSA_0414,3,8,8,11,5,5,5,7,5,12,10,10
SSA_0415,613,562,646,489,470,503,276,400,350,299,257,343
SSA_0416,133,145,161,109,178,184,74,119,128,103,81,111
SSA_0417,71,64,70,64,74,94,46,60,84,65,44,67
SSA_0418,587,524,594,387,287,335,178,294,175,139,209,150
SSA_0419,188,171,179,193,120,156,102,193,123,110,163,97
SSA_0420,264,263,277,320,242,299,211,316,253,151,244,223
SSA_0421,177,155,193,262,196,215,157,247,209,162,208,236
SSA_0422,228,228,250,288,261,294,213,345,272,218,295,263
SSA_0423,16,24,18,26,45,25,21,17,42,31,9,34
SSA_0424,23,28,33,14,55,48,22,24,55,23,12,32
SSA_0425,28,23,32,29,37,31,16,22,23,17,19,16
SSA_0426,281,294,321,412,500,495,261,373,372,379,198,396
SSA_0427,1035,1029,1355,1595,902,1241,977,1772,1032,1101,1688,1353
SSA_0428,2855,2518,2963,2517,2153,2108,1250,2048,1709,931,1295,1472
SSA_0429,363,335,394,488,475,528,323,497,443,384,419,449
SSA_0430,187,198,180,226,241,235,154,307,217,370,287,229
SSA_0431,95,91,98,78,102,81,41,122,61,151,181,113
SSA_0432,102,102,95,150,91,74,119,597,73,610,912,516
SSA_0433,13,7,7,134,9,17,84,468,36,484,676,413
SSA_0434,28,21,22,354,13,20,247,1114,78,865,1450,907
SSA_0435,26,34,25,3078,42,161,1543,5714,773,3661,5210,4241
SSA_0436,600,621,688,1145,562,567,560,1180,541,619,1027,845
SSA_0437,5261,5339,6159,1697,3414,2809,934,1199,1317,481,751,1077
SSA_0438,7709,8090,9800,3010,5894,5254,1578,2070,2287,1373,1208,2000
SSA_0440,5406,5338,5991,3102,3540,3630,1392,2021,1850,1002,1343,1622
SSA_0441,617,575,647,906,408,549,354,757,417,261,531,427
SSA_0442,17,15,22,19,6,12,12,12,10,17,15,12
SSA_0443,58,59,59,74,41,45,34,91,34,49,76,57
SSA_0445,12,9,13,13,5,9,5,14,2,6,14,6
SSA_0446,1384,1368,1320,1156,906,935,500,931,613,564,633,619
SSA_0447,1628,1608,1684,528,849,688,231,317,422,280,252,305
SSA_0448,3860,3603,4171,4917,4521,5075,3048,4401,3992,3101,3396,4191
SSA_0449,1394,1284,1428,1305,1083,1094,614,936,828,433,606,665
SSA_0450,4119,4207,4537,2688,2976,3058,1464,1713,2148,1043,1336,1311
SSA_0451,2917,2814,3192,2357,2408,2476,1159,1678,1587,793,1263,1323
SSA_0452,2983,3022,3218,2794,2546,2674,1347,2033,1737,853,1551,1721
SSA_0453,263,274,290,751,316,502,536,886,595,723,990,838
SSA_0454,253,270,264,530,199,293,209,527,224,395,423,351
SSA_0455,394,402,431,572,308,398,289,538,275,385,500,422
SSA_0456,441,492,632,704,358,496,285,533,332,191,350,321
SSA_0457,1026,929,1095,1028,960,1018,612,964,798,409,648,605
SSA_0458,373,404,398,423,387,405,254,347,311,136,228,222
SSA_0459,1617,1437,1716,1730,1264,1461,757,1149,1046,482,684,686
SSA_0460,759,720,748,268,471,416,165,190,301,131,186,200
SSA_0461,7819,7473,7943,6638,7358,8051,4122,5747,5470,3363,4930,5286
SSA_0462,9328,8601,9295,9523,9108,10969,5996,8771,8354,5231,7381,7773
SSA_0463,750,747,998,1109,691,805,695,1188,711,680,1106,914
SSA_0464,646,644,730,954,645,705,559,1192,587,591,1029,761
SSA_0465,410,419,418,502,387,450,346,617,378,447,586,429
SSA_0466,472,452,524,589,446,479,356,709,475,437,778,522
SSA_0467,975,938,1036,1028,901,894,738,1263,891,774,1344,867
SSA_0468,540,539,590,501,547,560,377,652,484,438,701,486
SSA_0469,564,482,576,471,463,472,332,575,356,327,557,338
SSA_0470,915,920,996,845,888,851,641,1020,681,588,1058,683
SSA_0471,1343,1289,1461,1152,1254,1207,938,1427,952,826,1476,965
SSA_0472,880,783,826,730,779,714,542,916,614,580,966,541
SSA_0473,955,964,1037,837,935,847,592,1092,685,634,1022,676
SSA_0474,2184,2090,2214,2237,2058,1965,1543,2930,1775,1597,2633,1840
SSA_0475,1525,1362,1589,1502,1417,1419,1088,1922,1190,1044,1697,1203
SSA_0476,1403,1461,1572,1472,1489,1427,1003,1782,1194,1037,1587,1203
SSA_0477,1244,1220,1266,1555,1157,1240,912,2003,956,1096,1354,979
SSA_0478,632,588,614,818,591,688,478,923,580,647,765,547
SSA_0479,382,321,316,217,235,270,100,160,117,73,85,78
SSA_0480,463,414,416,339,300,330,194,314,218,162,264,187
SSA_0481,1242,1057,1168,1164,1070,1067,781,1284,799,686,1118,710
SSA_0482,421,390,425,382,416,397,283,463,302,320,376,277
SSA_0483,385,356,384,333,384,390,301,427,329,300,434,283
SSA_0484,1105,988,1114,1150,1022,1053,810,1345,873,875,1489,952
SSA_0485,1129,1025,1194,1089,1048,1077,836,1276,870,869,1455,910
SSA_0486,669,615,641,727,658,637,460,904,517,519,807,514
SSA_0487,975,881,990,935,933,907,701,1126,745,666,1056,660
SSA_0488,1292,1163,1257,1229,1158,1143,866,1544,920,875,1351,942
SSA_0489,659,636,657,598,619,622,494,704,540,540,705,538
SSA_0490,814,774,768,788,722,753,590,929,626,600,1022,684
SSA_0491,765,657,789,680,722,780,596,783,650,642,945,684
SSA_0492,1168,1013,1128,1145,1132,1089,902,1437,985,921,1422,990
predicted RNA,34,33,31,22,30,37,23,28,29,28,44,29
SSA_0493,1729,1648,1670,1796,1604,1730,1238,2152,1468,1491,2222,1441
SSA_0494,784,713,713,665,634,664,520,797,609,524,894,623
SSA_0495,771,667,720,608,649,643,486,745,559,496,842,611
SSA_0496,1013,911,993,849,915,917,691,979,785,722,1219,819
SSA_0497,853,756,783,849,715,712,519,991,621,632,981,794
SSA_0498,817,754,731,741,703,713,583,867,697,735,911,754
SSA_0499,1434,1377,1385,1477,1321,1498,1076,1788,1306,1565,1892,1441
SSA_0500,414,356,376,359,350,352,229,485,294,332,427,333
SSA_0502,340,312,332,322,331,293,221,371,275,273,406,263
SSA_0503,497,441,447,372,394,396,301,473,367,310,480,390
SSA_0504,425,379,385,354,360,387,273,454,310,307,433,332
SSA_0505,302,283,315,315,286,319,216,363,280,309,322,254
SSA_0506,280,265,353,209,310,258,141,166,210,104,131,162
SSA_0507,466,520,595,453,318,334,176,291,231,159,169,152
SSA_0508,311,273,327,3412,343,862,2020,4065,2037,2485,3364,3102
SSA_0509,115,74,119,839,100,185,539,1166,461,862,1146,941
SSA_0510,530,536,704,2100,557,624,1260,3124,1010,1749,3125,2398
SSA_0511,459,459,514,1241,454,549,746,1849,636,918,2005,1611
SSA_0512,659,622,735,1405,732,788,916,2120,822,1292,2453,1892
SSA_0513,302,283,338,575,303,388,341,775,341,451,897,732
SSA_0514,720,631,758,6153,975,1810,3472,7979,3347,4824,7964,5564
SSA_0515,1001,942,1197,2591,1080,1321,1242,2492,1288,1053,1955,1557
SSA_0516,1781,1622,2067,4819,1922,2483,2416,5127,2498,1917,4589,3193
SSA_0517,4105,3743,4518,11599,4699,6170,6141,12266,6170,6325,10753,8769
predicted RNA,68,45,75,399,79,141,142,304,125,71,204,138
SSA_0518,988,784,944,9108,1426,2633,5117,11789,4618,5452,9948,8098
SSA_0519,1621,1471,1575,9147,1782,2681,5769,14675,4866,8451,17413,12380
SSA_0520,1016,954,957,4245,1023,1238,2769,7379,2395,5029,9216,5964
SSA_0521,811,703,865,2366,791,796,1657,4097,1275,2279,5527,3300
predicted RNA,13,12,15,39,11,14,27,72,21,31,99,49
SSA_0522,707,649,642,1807,582,693,1147,3261,1059,2514,4505,2649
SSA_0523,2016,1795,2101,4020,1728,1802,2498,6822,2128,3515,9705,5640
SSA_0524,430,397,458,675,372,358,426,1220,390,549,1762,912
predicted RNA,48,50,52,50,53,71,74,107,68,149,253,112
SSA_0525,494,515,569,718,436,461,500,1251,439,686,1904,967
predicted RNA,288,249,254,362,185,232,234,562,206,299,910,475
SSA_0526,864,861,922,1317,718,791,744,2145,688,1383,2815,1623
SSA_0527,1051,1050,1230,1390,909,969,861,2055,908,1340,3104,1643
SSA_0528,794,775,917,1187,641,747,618,1643,592,833,2227,1210
SSA_0529,413,395,444,596,355,335,323,869,301,459,1042,532
SSA_0530,1584,1610,1964,2224,1356,1347,1147,2908,1230,1056,3520,1995
SSA_0531,741,784,908,1111,657,689,500,1356,544,575,1534,905
SSA_0532,6,4,5,5,1,3,3,9,1,6,13,4
SSA_0533,16,21,25,26,14,20,22,31,21,28,34,26
SSA_0535,5,7,6,6,5,3,8,7,11,7,15,11
SSA_0536,6,4,8,4,2,0,8,8,4,5,12,7
SSA_0537,22,21,37,27,21,18,22,53,18,37,63,40
SSA_0538,2,1,2,7,5,2,5,8,3,8,8,7
SSA_0539,6,11,7,9,4,10,8,8,5,14,12,12
SSA_0540,7,8,8,9,3,6,5,8,5,14,9,13
SSA_0541,7,3,12,8,3,9,4,9,5,14,4,6
SSA_0543,29901,28614,31020,20893,22600,27811,14628,18116,17677,10811,18045,16862
SSA_0544,12450,11829,12365,13210,9457,13130,7912,12784,9379,7455,12265,11063
SSA_0546,15996,15500,15769,18264,12552,16760,11150,17587,13152,9607,18049,15650
predicted RNA,285,229,228,651,169,296,163,594,217,115,374,263
SSA_0547,1209,1128,1127,1412,1052,1355,1047,1431,1176,952,1537,1451
SSA_0548,3948,3697,3800,4264,3423,4282,3186,4635,3898,2883,5095,4751
predicted RNA,385,330,369,381,361,451,335,414,437,365,548,482
predicted RNA,2444,2498,3546,2405,3521,3598,676,722,1151,101,413,304
predicted RNA,2028,1366,1741,6593,772,1209,1408,4671,965,1041,2340,1317
SSA_0549,7605,7053,7408,8704,6714,8249,6532,9388,7790,5326,9851,9372
SSA_0551,984,951,1012,941,705,857,477,683,589,393,545,551
SSA_0552,2585,2257,2450,1892,1793,1854,851,1325,1240,617,972,902
SSA_0553,138,154,210,22,68,61,22,27,46,25,25,10
SSA_0554,205,199,233,47,130,110,37,45,69,35,56,40
SSA_0555,786,804,800,285,496,527,187,261,302,189,303,193
SSA_0556,158,197,186,147,128,149,50,86,75,66,81,68
SSA_0557,234,267,237,118,186,231,89,107,133,97,131,94
SSA_0558,193,193,210,125,141,181,92,82,119,74,132,77
SSA_0559,224,285,247,218,167,252,117,163,145,122,187,109
SSA_0560,228,261,226,264,154,223,106,214,136,152,176,132
SSA_0561,328,349,307,443,220,327,189,358,252,251,335,212
SSA_0562,224,239,217,335,151,262,139,261,150,149,193,163
SSA_0563,1736,1310,1494,6802,2263,3469,3437,6673,3645,3894,5673,5185
SSA_0564,7653,7296,7743,3874,6097,5428,2147,2905,3514,1643,2097,2520
SSA_0565,2011,2127,2453,1797,2111,2272,989,1359,1323,762,887,1163
SSA_0566,1272,1253,1521,1396,868,1124,702,1059,758,422,565,643
SSA_0567,992,978,1213,1212,726,935,522,955,708,469,676,699
predicted RNA,316,362,409,257,211,232,169,202,161,70,156,128
SSA_0568,1254,1179,1294,884,1193,1186,575,786,794,361,568,767
SSA_0569,553,590,596,382,655,629,281,320,431,254,247,350
SSA_0570,3981,3829,4053,4122,4061,4432,2562,3709,3415,1887,3016,3605
SSA_0571,5158,5235,5617,5344,5732,6600,3768,5049,5224,3309,4150,5352
predicted RNA,57,73,65,77,39,41,35,43,35,21,38,30
predicted RNA,205,252,252,299,156,264,149,219,185,110,153,134
SSA_0572,1781,1543,2008,4427,1881,2527,2670,4838,2801,2421,4358,3675
SSA_0573,16,11,8,26,17,13,10,13,9,9,4,11
SSA_0574,411,377,364,472,436,394,213,335,308,241,173,212
SSA_0575,539,533,577,195,396,322,105,165,177,106,112,115
SSA_0576,1593,1667,1732,887,1529,1319,565,757,841,480,519,508
SSA_0577,483,509,497,269,527,498,192,291,250,233,192,180
SSA_0578,1096,1049,1128,784,1200,1115,463,778,640,525,480,408
SSA_0579,1213,1187,1307,801,1314,1216,469,829,698,503,408,419
SSA_0580,684,645,617,517,568,690,262,521,360,353,243,147
SSA_0581,574,571,564,459,479,508,194,464,264,248,158,138
SSA_0582,533,493,563,391,495,462,257,422,371,361,302,288
SSA_0583,1057,1001,1120,1196,942,1059,711,1279,923,827,956,964
SSA_0584,104,90,95,111,67,95,55,103,78,67,94,73
SSA_0585,28,30,35,39,23,33,16,40,17,17,22,27
SSA_0586,4018,3969,4526,2750,2703,2600,1379,1959,1758,884,1498,1589
SSA_0587,700,679,679,919,623,773,534,879,633,477,772,680
SSA_0588,13107,13902,15787,4539,7354,6516,2688,3410,4341,2435,3109,3565
predicted RNA,557,502,635,370,230,240,97,213,140,81,148,142
SSA_0589,8802,8350,8922,5455,7172,7353,3624,5005,5181,3766,4526,4915
SSA_0590,3292,3118,3123,3922,2511,2822,1523,3424,1980,1511,2274,2353
SSA_0591,5897,5814,6017,4501,5716,6261,3041,4091,4236,3384,3374,4076
SSA_0592,3835,3591,3821,4242,3409,3836,2064,3684,2809,2066,2356,2748
SSA_0593,838,758,813,974,1567,1490,734,836,1057,609,646,878
SSA_0594,135,126,141,132,128,151,64,78,103,41,49,58
SSA_0595,69,73,68,81,77,75,43,59,63,33,38,40
SSA_0596,96,93,101,87,99,90,35,81,63,25,49,54
SSA_0597,141,108,109,125,102,106,83,108,89,77,67,87
SSA_0599,17,12,21,21,8,10,5,18,11,4,8,8
SSA_0601,525,540,610,500,491,505,316,486,370,263,355,371
SSA_0602,1524,1387,1642,1530,1484,1680,1054,1556,1318,1038,1421,1366
SSA_0603,529,541,582,659,492,617,387,570,463,399,446,463
SSA_0604,327,290,332,409,303,372,212,321,320,216,268,237
SSA_0605,620,567,553,641,457,477,296,511,409,471,386,402
SSA_0606,168,145,135,207,135,172,129,244,166,237,203,161
SSA_0607,439,469,409,741,352,497,339,758,438,654,609,512
SSA_0608,222,217,190,358,170,211,143,325,167,231,262,195
SSA_0609,94,65,78,80,48,63,32,76,57,55,45,52
SSA_0610,2517,2386,2831,2610,2659,3076,1956,2588,2450,1907,2166,2463
SSA_0611,2921,2792,3111,3078,3197,3318,2033,3009,2692,1878,2225,2682
SSA_0612,23,25,25,11,5,13,5,9,4,10,4,4
SSA_0613,935,867,836,1170,833,1076,591,1195,674,726,915,644
SSA_0614,50,40,27,92,30,44,39,91,68,72,55,54
SSA_0615,143,112,131,109,117,128,49,68,64,45,45,46
SSA_0616,325,357,368,118,193,143,58,69,86,34,36,35
SSA_0617,6679,6675,7552,4901,5720,5565,2668,3576,3663,1638,2365,2821
SSA_0618,112,114,115,205,86,116,79,165,92,235,108,105
SSA_0620,136,150,139,196,127,135,85,187,119,204,157,121
SSA_0621,432,464,481,654,398,409,292,604,332,614,455,417
SSA_0622,167,172,223,178,146,152,92,151,103,146,104,113
SSA_0623,214,169,210,113,140,146,40,65,76,26,39,33
SSA_0624,670,507,653,162,486,339,111,174,120,145,63,47
SSA_0625,620,571,645,322,554,470,205,271,264,220,158,152
SSA_0626,2404,2117,2262,1591,2106,1859,853,1272,1236,787,967,1086
SSA_0627,1396,1251,1300,1218,886,1233,762,968,942,709,700,813
SSA_0628,3956,3553,3882,3823,3129,3587,2401,3450,2993,2101,3012,2702
SSA_0629,1963,1699,1842,2220,1382,1681,1023,2012,1365,840,1682,1431
SSA_0631,504,516,646,510,728,630,404,506,550,402,469,502
SSA_0632,153,143,164,92,208,199,101,110,155,110,99,129
SSA_0633,57,56,78,43,70,85,50,65,75,63,50,54
SSA_0634,174,183,173,154,185,203,141,166,179,166,153,189
SSA_0635,119,131,139,116,140,189,111,145,160,136,137,152
SSA_0636,88,100,120,90,120,124,97,134,114,83,105,119
SSA_0637,258,245,284,258,260,268,196,222,288,186,213,264
SSA_0638,163,191,198,142,188,203,125,114,165,79,72,124
SSA_0639,6,5,5,13,6,5,2,11,2,1,2,4
SSA_0640,66,56,54,53,54,65,25,34,47,47,30,33
SSA_0641,143,134,181,212,132,181,131,175,157,111,136,147
SSA_0642,11,9,7,18,14,17,10,21,10,15,15,16
SSA_0643,0,0,0,1,0,0,0,1,0,0,0,0
SSA_0644,14704,14306,15829,42747,24790,34381,29499,45576,32765,30153,39458,42755
SSA_0646,224,258,261,112,149,163,68,72,114,63,62,59
SSA_0647,967,938,1075,515,658,544,267,347,387,192,244,260
SSA_0648,606,566,681,605,282,334,159,333,187,106,158,148
SSA_0649,101,123,116,67,75,68,35,59,53,41,47,45
SSA_0650,9864,9791,9170,5724,8231,8005,3235,4413,4942,2166,3370,3971
SSA_0651,1115,987,926,1131,958,1038,441,833,665,500,536,513
SSA_0652,2379,2205,2363,1578,1933,1917,908,1295,1303,677,1000,1037
SSA_0653,2160,1997,2179,1948,1885,2168,1174,1806,1496,873,1457,1457
SSA_0654,2261,2101,2056,1713,1851,2420,1092,1458,1486,965,1258,1175
SSA_0655,10021,9219,9825,6970,10646,10676,5402,5881,7746,3973,4256,5051
SSA_0656,13780,13208,14271,11851,15194,16246,8630,9808,11382,5017,6647,7856
SSA_0657,5008,4827,4268,4526,4535,5808,2692,3630,3799,2291,2554,2476
SSA_0658,4806,4653,4603,3815,4582,5150,2501,3369,3493,2161,2125,2208
predicted RNA,1857,1761,1702,1740,1603,1752,817,1375,1209,645,835,931
SSA_0659,4784,4416,4182,4321,4083,4871,2296,3501,3348,2174,2263,2475
SSA_0660,7868,7572,7733,7992,7426,8934,5833,7317,7571,4156,6996,7084
predicted RNA,1829,1594,1686,2571,1613,1967,1534,1993,1716,1209,1541,1429
SSA_0661,12652,11907,11848,17131,13752,16165,10096,16116,12777,8743,13103,15097
SSA_0662,152,146,137,123,56,90,37,68,66,31,38,49
