GeneID,X50265,X50266,X50267,X50280,X50281,X50282,X50295,X50296,X50297,X50310,X50311,X50312,X50325,X50326,X50327,X50340,X50341,X50342
FJH52_RS00005,6850,4925,5449,6077,4562,5953,3829,4370,3452,4697,3752,5820,6666,5617,4659,4911,4918,3930
FJH52_RS00010,7614,5327,4215,7345,4346,4010,5002,3452,3321,5720,3492,4307,7823,5117,4622,5498,4570,3682
FJH52_RS00015,783,528,382,684,405,345,486,263,242,583,264,335,796,357,259,602,338,275
FJH52_RS00020,16525,10428,6713,12877,7250,5739,10860,4965,6366,10537,5331,5758,16373,7104,6732,9489,7119,6955
FJH52_RS00025,881,968,886,913,889,672,386,593,852,544,643,685,821,1033,1155,525,753,972
FJH52_RS00030,3799,4079,4856,3121,4839,3594,1577,3310,3867,2148,3326,4449,3706,5594,5771,2153,4291,4687
FJH52_RS00035,388,570,542,240,563,475,165,357,431,245,381,469,357,523,479,260,461,486
FJH52_RS00040,962,1447,1284,621,1353,1234,402,782,1037,579,807,1249,965,1281,1297,569,1172,1205
FJH52_RS00045,3239,4555,4296,2030,4370,4114,1668,2889,3457,1832,2920,4194,3447,4604,4767,2028,4045,4030
FJH52_RS00050,2507,3177,3548,1980,3597,3181,1172,2591,2779,1611,2315,3443,2604,3711,4043,1548,3850,3374
FJH52_RS00055,2767,9335,8262,2500,8302,8993,1424,4278,6255,1783,4976,7802,2699,7441,7546,1834,7864,7359
FJH52_RS00060,13676,46521,40280,13330,41370,39094,8414,26432,38172,10134,30501,36693,15652,42941,43198,10587,40438,40863
FJH52_RS00065,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FJH52_RS00100,5913,6815,4006,3393,4066,3806,3365,4119,3926,3615,2811,4205,5132,5210,4809,3248,5642,4359
FJH52_RS00105,769,861,819,562,854,770,298,935,1056,409,687,869,623,1147,1190,425,1324,1201
FJH52_RS00110,247,770,305,173,345,299,73,448,307,145,315,426,256,668,545,164,582,395
