GeneID,X51122,X51123,X51124,X51125,X51126,X51127,X51128,X51129,X51130,X51131,X51132,X51133
EW021_RS03910,20024,13846,20855,12556,13396,11991,5137,6207,3348,3438,3016,3008
EW021_RS03915,2326,1940,1572,2502,2022,2026,236,2167,357,183,130,453
EW021_RS03920,3482,3658,3753,3564,2893,3001,1773,3379,1049,1725,1292,1229
EW021_RS03925,4702,5116,7254,4406,3490,3444,5073,5208,2578,4762,4013,2710
EW021_RS03930,5405,5225,5655,5981,3775,2819,3256,5807,2211,2395,1862,3566
EW021_RS03935,1396,1363,1704,1998,1579,1789,247,2686,430,206,100,428
EW021_RS03940,241,228,368,301,255,284,36,485,68,42,20,55
EW021_RS03945,2102,2059,3368,2425,1743,1836,359,3375,640,268,173,553
EW021_RS03950,3621,2871,7057,2908,2044,2177,370,2372,461,242,154,404
EW021_RS03955,21963,21937,13674,19612,15477,13232,12493,12503,9290,9396,9381,18189
EW021_RS03960,6381,6441,5725,5154,3926,3871,1328,2275,923,1379,1320,1589
EW021_RS03965,1964,2053,2197,1704,1155,1146,495,572,302,489,485,395
EW021_RS03970,11602,9714,13669,8470,5975,6277,3219,5378,1738,2800,2655,2226
EW021_RS03975,8007,3971,3925,4583,3174,3925,8785,6873,7950,3201,4663,19967
EW021_RS03980,12730,6014,6399,6538,4408,6858,19752,9731,15606,8052,10106,35762
EW021_RS03985,17328,8539,10058,8989,5651,9356,36239,14848,26719,15233,17343,55288
EW021_RS03990,2110,844,1055,861,550,959,5046,1554,3212,1863,2209,7205
EW021_RS03995,23910,9968,13984,10840,6115,9850,49322,18054,33333,18165,23342,71162
EW021_RS04000,67,73,92,107,58,38,51,225,54,25,14,56
EW021_RS04005,661,347,896,380,280,252,238,375,204,140,115,127
EW021_RS04010,6760,4897,13462,5616,4446,4021,3208,7983,2765,1993,1665,2392
EW021_RS04015,4127,3150,5274,3421,3265,3046,824,3718,932,569,551,988
EW021_RS04020,1727,1486,1874,1640,1498,1172,2894,3728,2287,1831,2188,3886
EW021_RS04025,1884,1653,2120,2321,2439,2185,1547,3526,1353,970,1329,2719
EW021_RS04030,2433,2207,2144,2032,1649,1468,1458,2467,981,879,694,652
EW021_RS04035,3390,3939,4265,3906,2768,2184,3318,7037,2852,2393,1773,1938
EW021_RS04040,7274,5904,8647,4702,4539,4560,12152,7405,6101,7372,6626,4556
EW021_RS04045,384,530,431,589,303,259,54,1058,164,88,25,159
EW021_RS04050,3502,2649,2576,3843,5310,3758,133,2927,458,226,97,399
EW021_RS04055,1375,1539,1541,1927,1898,1312,469,2379,561,474,357,510
EW021_RS04060,1687,1606,1846,1767,1842,1403,915,1615,621,668,487,502
EW021_RS04065,1563,1616,2145,1818,1757,1425,847,2220,643,675,460,568
EW021_RS04070,122,91,105,206,115,104,23,547,90,35,39,59
EW021_RS04075,2543,3575,3930,3725,1971,1430,1998,13336,2305,1048,594,2341
EW021_RS04080,420,501,557,601,316,205,330,2438,399,179,95,387
EW021_RS04085,121,196,162,204,119,83,96,792,110,44,33,121
EW021_RS04090,252,360,358,347,213,187,179,1369,219,95,55,229
EW021_RS04095,568,1097,714,1783,687,444,1060,4088,1476,447,668,2763
EW021_RS04100,362,353,242,504,289,190,763,946,578,216,341,1427
EW021_RS04105,11419,11761,8696,11466,9879,8425,14042,13094,7600,10860,10517,9515
EW021_RS04110,5462,8295,5431,5755,4324,3923,14836,15145,7299,13914,12318,9594
EW021_RS04115,1481,779,737,1024,1677,1783,407,1080,526,216,303,946
EW021_RS04120,5729,3940,4124,4969,7247,7231,1502,3316,1638,812,945,3423
EW021_RS04125,1187,602,683,1231,745,1992,290,1246,247,94,86,240
EW021_RS04130,1340,700,624,1160,628,1679,618,1110,285,158,171,253
EW021_RS04135,1680,1090,846,1670,871,1841,1269,2771,806,458,350,658
EW021_RS04140,1323,801,773,1271,677,1509,1227,1739,434,299,273,390
EW021_RS04145,1371,1260,1226,1950,1304,1262,144,4082,586,212,88,498
EW021_RS04150,458,591,665,726,481,403,139,1549,262,132,90,227
EW021_RS04155,864,1124,1423,1405,936,659,248,3494,609,317,185,563
EW021_RS04160,1276,1131,972,1315,940,813,175,2437,365,185,149,359
EW021_RS04165,1313,1259,1034,1165,1014,965,283,1279,267,245,184,320
EW021_RS04170,1554,1670,1313,1766,1253,1086,581,2498,768,611,426,777
EW021_RS04175,2830,3026,2832,3068,2203,2113,4443,5466,2657,2337,2376,5136
EW021_RS04180,2623,3091,2990,3094,2382,2165,5529,7303,2976,4065,4381,5964
EW021_RS04185,2028,2056,2217,1731,2013,1731,2976,2601,1421,2481,2713,2560
EW021_RS04190,6834,6985,8986,5613,5932,4947,12639,9092,7097,11555,11708,8927
EW021_RS04195,2733,2084,3574,2491,2412,2050,1734,5322,1527,2293,1833,1871
EW021_RS04200,7584,2701,6178,2483,3623,5727,1900,1642,1164,915,747,646
EW021_RS04205,5311,1818,3798,1655,2481,4086,2952,1468,1634,977,1051,533
EW021_RS04210,12,137,95,221,106,17,18,1205,217,60,23,183
EW021_RS04215,6,264,215,544,166,17,16,2716,463,114,28,376
EW021_RS04220,5,25,21,56,15,1,3,339,48,13,4,24
EW021_RS04225,5,56,41,132,52,7,14,949,103,22,12,81
EW021_RS04230,9,85,62,170,51,17,8,1126,143,45,8,105
EW021_RS04235,435,641,483,838,608,530,72,2118,371,118,78,342
EW021_RS04240,591,952,933,1230,800,596,313,3118,683,323,338,692
EW021_RS04245,52,60,68,82,53,55,95,322,79,65,52,101
EW021_RS04250,94,210,217,336,171,114,78,1815,258,76,66,248
EW021_RS04255,221,479,506,606,331,224,237,3090,528,255,214,394
EW021_RS04260,195,435,543,758,318,206,164,2352,672,225,214,469
EW021_RS04265,204,294,471,294,259,213,141,1237,240,156,174,155
EW021_RS04270,109,110,197,201,110,94,58,484,76,70,69,60
EW021_RS04275,8,16,21,39,14,9,6,221,21,11,12,24
EW021_RS04280,1,90,67,148,64,11,4,816,161,30,20,122
EW021_RS04285,9729,7740,3559,8865,9438,7910,1083,3869,2776,595,1305,5390
EW021_RS04290,1875,1571,1124,2767,1939,1526,191,2747,577,187,142,789
EW021_RS04295,9157,7876,4570,6585,5693,5421,776,3180,911,354,484,1909
EW021_RS04300,43282,34837,19460,27790,50825,42183,7754,5957,4325,4575,6028,5075
EW021_RS04305,4473,4524,2957,4067,3915,3273,2259,3195,1242,1272,1543,2588
EW021_RS04310,3821,4751,3271,3614,3115,2814,2936,3167,1499,1809,2074,3436
EW021_RS04315,1199,1748,1351,1249,1023,902,1294,1735,754,829,994,1651
EW021_RS04320,1989,2813,2119,1709,1508,1349,1501,1702,785,1020,1212,2129
EW021_RS04325,490,698,631,1035,612,504,429,2383,534,382,285,469
EW021_RS04330,693,1172,1170,1426,811,652,1456,4047,1279,1442,1348,1097
EW021_RS04335,369,562,737,695,396,386,1118,2242,759,956,955,577
EW021_RS04340,287,543,633,798,330,251,1199,2746,988,1070,1033,727
