GeneID,X50274,X50275,X50276,X50289,X50290,X50291,X50304,X50305,X50306,X50319,X50320,X50321,X50334,X50335,X50336,X50349,X50350,X50351
EQB47_RS05500,3497,4370,5848,5091,8440,7377,3853,5424,3808,5026,6113,5995,3134,4240,7201,4071,8666,4917
EQB47_RS00060,14175,45203,50840,23552,54178,41959,13480,39238,28922,21580,44980,31940,11212,37149,48058,16652,41442,38839
EQB47_RS00555,1262,17920,17178,1920,24560,17341,1337,16856,11166,1695,18760,12683,925,14943,19065,1375,24971,13851
EQB47_RS05505,1946,2447,3233,2966,4644,4447,2329,3030,2280,2951,3120,3585,1883,2299,4238,2271,4983,2898
EQB47_RS05510,213,105,177,356,203,205,279,138,103,306,148,209,189,102,223,246,185,146
EQB47_RS05515,316,677,1535,1172,1025,1818,418,966,1140,430,889,1847,277,820,2084,400,1413,1404
EQB47_RS05520,412,958,2087,1495,1546,2392,458,1349,1488,512,1238,2426,390,1215,2835,453,2003,1870
EQB47_RS05525,473,1246,2934,1844,2052,3198,530,1685,1960,668,1720,3080,483,1549,3701,578,2754,2462
EQB47_RS05530,620,2297,6055,2316,3761,5668,697,3280,4520,809,3247,5337,673,3034,7197,658,4835,5133
EQB47_RS05535,79,129,320,219,213,307,82,146,148,79,151,277,61,141,392,77,211,207
EQB47_RS05540,35,62,66,39,81,60,41,45,44,59,66,39,32,45,43,49,54,45
EQB47_RS05545,1796,4436,4294,1582,4332,2826,1838,2517,2766,2392,3498,1685,1299,3707,3255,2098,2925,3464
EQB47_RS05550,352,468,608,507,737,565,408,423,329,551,512,390,292,332,626,406,568,456
EQB47_RS00560,4168,779,1105,6048,998,1170,6237,592,600,6874,863,1067,4428,862,1083,6993,969,789
EQB47_RS05555,33809,41299,44860,46402,30518,22690,33880,24816,28246,48444,28251,16778,22969,41596,37388,44387,26878,35562
EQB47_RS05560,72040,34395,36885,73546,26248,18873,85374,20042,23430,103479,23727,14021,62857,33787,31758,99376,21853,29477
EQB47_RS05565,50730,30257,32251,58343,22598,16439,59808,17619,21178,76477,21132,12308,41862,28736,24941,75745,19361,25949
EQB47_RS05570,39,17,22,44,14,17,39,14,12,41,22,9,14,26,19,48,14,20
EQB47_RS05575,56,44,45,125,51,42,78,32,23,112,31,32,58,57,45,78,38,24
EQB47_RS05580,972,2382,2741,1651,2551,2148,948,1911,1836,1497,2168,1773,731,1935,3233,1223,2118,2513
EQB47_RS05585,2338,1826,3024,2732,3259,3065,2210,1720,1608,2909,2179,2262,1811,1459,3120,2529,2175,1898
EQB47_RS05590,1804,3467,5036,2866,4728,3526,1696,3261,2854,2205,3571,2932,1226,2889,4787,1908,3138,3464
EQB47_RS05595,2361,6481,7233,3036,6072,4099,2463,2988,6548,3066,7731,3184,1697,11836,4889,3617,4656,8355
EQB47_RS05600,6480,4366,5935,8940,7158,5991,5974,4557,3097,8417,5328,4576,5153,3797,6594,6858,6639,4391
EQB47_RS00565,33439,13697,9817,46785,23874,11958,39741,12258,6384,47697,11894,8522,25735,9525,10449,34379,14599,7475
EQB47_RS05605,2853,2042,2793,4551,3106,2562,2876,1885,1383,4134,2369,1859,2387,1767,2908,3450,2541,1771
EQB47_RS05610,1133,987,1323,2110,1441,1182,1370,861,685,1697,1164,871,1095,977,1310,1375,1148,827
EQB47_RS05615,2937,2892,3569,3488,4636,4902,3465,2799,2070,4977,3103,3427,2621,2287,4386,3600,4280,3137
EQB47_RS05620,10469,7613,10041,13397,12712,12362,12849,7625,5345,17662,8652,8742,10161,6777,10676,13551,10927,7674
EQB47_RS05625,267454,29801,6552,264604,47229,6114,289170,28426,4559,359866,37847,3255,209486,27653,6924,344168,39251,5862
EQB47_RS05630,1,0,0,6,1,4,7,0,1,9,2,0,13,2,1,7,0,0
EQB47_RS05635,1431,404,1292,2092,594,1029,2233,348,685,2370,486,916,1714,381,1388,2185,661,846
EQB47_RS05640,1291,367,1674,2013,703,1280,2025,455,889,2070,484,1285,1598,515,1839,1889,810,1022
EQB47_RS05645,1518,482,2057,2569,745,1574,2287,553,1150,2331,590,1457,1794,531,2368,2351,931,1155
EQB47_RS05650,1400,625,2995,2709,1077,2152,2225,870,1832,2404,864,1980,1818,804,3135,2349,1342,1870
EQB47_RS00570,213,234,6431,963,261,4278,313,197,3819,267,262,3870,205,292,4982,667,283,3500
EQB47_RS05655,250,96,477,656,169,386,431,105,245,375,137,385,326,97,496,341,189,304
EQB47_RS05660,7,4,16,13,7,14,10,6,6,10,2,13,5,1,17,7,11,8
EQB47_RS05665,353,272,743,781,390,611,518,234,422,448,290,592,416,228,756,440,376,536
EQB47_RS05670,380,770,1285,763,816,970,441,583,726,534,694,814,316,558,1237,422,667,782
EQB47_RS05675,22442,101022,144981,35677,158266,125569,23387,137007,98451,35487,132625,85561,18864,114609,151156,28055,183207,113642
EQB47_RS05680,43,144,150,85,189,126,62,155,100,61,163,79,35,143,151,33,193,105
EQB47_RS05685,48,45,39,54,74,56,57,29,27,94,46,51,36,27,50,64,38,36
EQB47_RS05690,261,149,228,207,276,236,293,132,141,385,160,205,187,123,235,289,173,155
EQB47_RS05695,15,9,10,11,12,3,11,8,1,16,11,6,6,7,4,15,5,8
EQB47_RS05700,2782,3705,5661,4025,5785,6515,3670,3301,3630,4527,4130,5487,2956,4028,5541,3539,5858,4739
EQB47_RS00575,84,55,1620,420,61,1017,108,43,810,95,49,944,69,66,1390,98,77,847
EQB47_RS05705,2436,4412,6693,3933,7013,7401,3275,4035,4671,3934,5181,6456,2662,5335,6913,2899,7079,6214
EQB47_RS05710,22,65,105,40,109,132,25,92,59,33,69,85,30,98,102,22,135,82
EQB47_RS05715,37,67,77,49,98,109,36,81,67,45,84,71,17,95,88,23,114,74
EQB47_RS05720,618,1608,2246,1159,2331,2421,744,1625,1418,933,1653,1907,553,1795,2458,738,2405,1781
EQB47_RS05725,4581,14433,31103,10411,21938,40330,5539,17176,18703,6870,17994,33491,4328,16821,33255,5394,25772,23864
EQB47_RS05730,52,225,491,109,327,577,61,272,351,81,308,485,34,267,416,48,376,415
