,SampleWT,SampleFOS1,SampleFOS4,SampleFOS7,SampleFOS8,,,,,,,,,,,,,,,,,,,,,
SMD_0174,108,143,97,88,123,,,,,,,,,,,,,,,,,,,,,
SMD_0175,421,396,475,455,370,,,,,,,,,,,,,,,,,,,,,
SMD_0176,127,104,150,140,102,,,,,,,,,,,,,,,,,,,,,
SMD_0177,35,21,53,51,31,,,,,,,,,,,,,,,,,,,,,
SMD_0178,66,64,60,62,76,,,,,,,,,,,,,,,,,,,,,
SMD_0179,60,63,48,53,59,,,,,,,,,,,,,,,,,,,,,
SMD_0180,44,51,37,43,54,,,,,,,,,,,,,,,,,,,,,
SMD_0181,94,84,104,107,112,,,,,,,,,,,,,,,,,,,,,
SMD_0182,155,148,157,155,148,,,,,,,,,,,,,,,,,,,,,
SMD_0183,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,
SMD_0184,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_0185,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_0186,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,
SMD_0187,28,31,30,28,30,,,,,,,,,,,,,,,,,,,,,
SMD_0188,114,79,116,117,109,,,,,,,,,,,,,,,,,,,,,
SMD_0189,14,19,13,14,19,,,,,,,,,,,,,,,,,,,,,
SMD_0190,83,69,72,93,86,,,,,,,,,,,,,,,,,,,,,
SMD_0191,88,90,95,98,88,,,,,,,,,,,,,,,,,,,,,
SMD_0192,255,290,225,220,251,,,,,,,,,,,,,,,,,,,,,
SMD_0193,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_0194,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_0195,22,19,21,23,29,,,,,,,,,,,,,,,,,,,,,
SMD_0196,8,6,7,8,8,,,,,,,,,,,,,,,,,,,,,
SMD_0197,15,13,14,15,18,,,,,,,,,,,,,,,,,,,,,
SMD_0198,25,25,22,23,27,,,,,,,,,,,,,,,,,,,,,
SMD_0199,2,2,2,2,4,,,,,,,,,,,,,,,,,,,,,
SMD_0200,7,7,3,5,8,,,,,,,,,,,,,,,,,,,,,
SMD_0201,27,23,35,28,23,,,,,,,,,,,,,,,,,,,,,
SMD_0202,23,18,27,25,24,,,,,,,,,,,,,,,,,,,,,
SMD_0203,36,37,37,42,36,,,,,,,,,,,,,,,,,,,,,
SMD_0204,12,8,14,13,15,,,,,,,,,,,,,,,,,,,,,
SMD_0205,144,122,154,178,191,,,,,,,,,,,,,,,,,,,,,
SMD_0206,173,196,178,180,190,,,,,,,,,,,,,,,,,,,,,
SMD_0207,175,231,158,166,195,,,,,,,,,,,,,,,,,,,,,
SMD_0208,20,19,22,25,29,,,,,,,,,,,,,,,,,,,,,
SMD_0209,63,71,65,66,82,,,,,,,,,,,,,,,,,,,,,
SMD_0210,30,27,25,30,31,,,,,,,,,,,,,,,,,,,,,
SMD_0211,14,13,13,12,14,,,,,,,,,,,,,,,,,,,,,
SMD_0212,174,166,193,179,193,,,,,,,,,,,,,,,,,,,,,
SMD_0213,170,169,183,160,148,,,,,,,,,,,,,,,,,,,,,
SMD_0214,47,44,63,62,67,,,,,,,,,,,,,,,,,,,,,
SMD_0215,486,645,437,443,433,,,,,,,,,,,,,,,,,,,,,
SMD_0216,505,629,471,420,387,,,,,,,,,,,,,,,,,,,,,
SMD_0217,18,17,20,17,17,,,,,,,,,,,,,,,,,,,,,
SMD_0218,60,50,69,71,56,,,,,,,,,,,,,,,,,,,,,
SMD_0219,25,20,30,37,27,,,,,,,,,,,,,,,,,,,,,
SMD_0220,51,38,66,73,59,,,,,,,,,,,,,,,,,,,,,
SMD_0221,15,13,11,14,19,,,,,,,,,,,,,,,,,,,,,
SMD_0222,119,127,114,104,125,,,,,,,,,,,,,,,,,,,,,
SMD_0223,64,39,56,71,74,,,,,,,,,,,,,,,,,,,,,
SMD_0224,48,49,60,59,49,,,,,,,,,,,,,,,,,,,,,
SMD_0225,21,25,18,22,22,,,,,,,,,,,,,,,,,,,,,
SMD_0226,118,143,113,108,121,,,,,,,,,,,,,,,,,,,,,
SMD_0227,14,13,9,9,11,,,,,,,,,,,,,,,,,,,,,
SMD_0228,19,26,14,17,24,,,,,,,,,,,,,,,,,,,,,
SMD_0229,399,432,326,222,345,,,,,,,,,,,,,,,,,,,,,
SMD_0230,208,208,148,112,162,,,,,,,,,,,,,,,,,,,,,
SMD_0231,126,110,76,64,84,,,,,,,,,,,,,,,,,,,,,
SMD_0232,87,71,56,47,54,,,,,,,,,,,,,,,,,,,,,
SMD_0233,38,29,31,26,31,,,,,,,,,,,,,,,,,,,,,
SMD_0234,28,31,27,35,33,,,,,,,,,,,,,,,,,,,,,
SMD_0235,18,21,21,21,19,,,,,,,,,,,,,,,,,,,,,
SMD_0236,13,8,10,5,6,,,,,,,,,,,,,,,,,,,,,
SMD_0237,17,10,11,11,10,,,,,,,,,,,,,,,,,,,,,
SMD_0238,20,11,18,11,11,,,,,,,,,,,,,,,,,,,,,
SMD_0239,26,16,19,19,16,,,,,,,,,,,,,,,,,,,,,
SMD_0240,39,27,36,29,23,,,,,,,,,,,,,,,,,,,,,
SMD_0241,19,18,19,6,9,,,,,,,,,,,,,,,,,,,,,
SMD_0242,12,7,10,6,6,,,,,,,,,,,,,,,,,,,,,
SMD_0243,12,8,5,5,5,,,,,,,,,,,,,,,,,,,,,
SMD_0244,13,11,11,9,7,,,,,,,,,,,,,,,,,,,,,
SMD_0245,7,6,7,5,4,,,,,,,,,,,,,,,,,,,,,
SMD_0246,7,5,7,4,3,,,,,,,,,,,,,,,,,,,,,
SMD_0247,8,6,8,5,6,,,,,,,,,,,,,,,,,,,,,
SMD_0248,7,6,9,6,5,,,,,,,,,,,,,,,,,,,,,
SMD_0249,7,8,9,8,8,,,,,,,,,,,,,,,,,,,,,
SMD_0250,4,4,5,5,3,,,,,,,,,,,,,,,,,,,,,
SMD_0251,5,4,6,2,3,,,,,,,,,,,,,,,,,,,,,
SMD_0252,8,9,9,7,8,,,,,,,,,,,,,,,,,,,,,
SMD_0253,7,7,6,7,5,,,,,,,,,,,,,,,,,,,,,
SMD_0254,8,7,8,8,10,,,,,,,,,,,,,,,,,,,,,
SMD_0255,6,5,8,7,6,,,,,,,,,,,,,,,,,,,,,
SMD_0256,25,24,18,18,21,,,,,,,,,,,,,,,,,,,,,
SMD_0257,150,160,112,134,146,,,,,,,,,,,,,,,,,,,,,
SMD_0258,104,115,77,90,103,,,,,,,,,,,,,,,,,,,,,
SMD_0259,80,59,65,84,84,,,,,,,,,,,,,,,,,,,,,
SMD_0260,182,171,153,201,253,,,,,,,,,,,,,,,,,,,,,
SMD_0261,380,490,340,383,400,,,,,,,,,,,,,,,,,,,,,
SMD_0262,101,100,86,105,119,,,,,,,,,,,,,,,,,,,,,
SMD_0263,72,63,56,61,72,,,,,,,,,,,,,,,,,,,,,
SMD_0264,59,50,49,66,85,,,,,,,,,,,,,,,,,,,,,
SMD_0265,102,84,95,100,109,,,,,,,,,,,,,,,,,,,,,
SMD_0266,49,33,40,59,56,,,,,,,,,,,,,,,,,,,,,
SMD_0267,20,14,20,24,24,,,,,,,,,,,,,,,,,,,,,
SMD_0268,28,34,25,32,32,,,,,,,,,,,,,,,,,,,,,
SMD_0269,11,13,10,9,11,,,,,,,,,,,,,,,,,,,,,
SMD_0270,50,75,63,53,59,,,,,,,,,,,,,,,,,,,,,
SMD_0271,69,77,77,57,69,,,,,,,,,,,,,,,,,,,,,
SMD_0272,25,31,26,21,19,,,,,,,,,,,,,,,,,,,,,
SMD_0273,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
SMD_0274,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_0275,3,2,3,4,4,,,,,,,,,,,,,,,,,,,,,
SMD_0276,134,157,115,108,130,,,,,,,,,,,,,,,,,,,,,
SMD_0277,356,472,393,459,410,,,,,,,,,,,,,,,,,,,,,
SMD_0278,13,18,15,12,13,,,,,,,,,,,,,,,,,,,,,
SMD_0279,3,3,3,4,7,,,,,,,,,,,,,,,,,,,,,
SMD_0280,224,259,255,245,256,,,,,,,,,,,,,,,,,,,,,
SMD_0281,108,98,105,94,109,,,,,,,,,,,,,,,,,,,,,
SMD_0282,42,39,51,44,47,,,,,,,,,,,,,,,,,,,,,
SMD_0283,143,142,137,145,166,,,,,,,,,,,,,,,,,,,,,
SMD_0284,39,26,39,45,50,,,,,,,,,,,,,,,,,,,,,
SMD_0285,30,32,33,36,27,,,,,,,,,,,,,,,,,,,,,
SMD_0286,35,37,34,40,41,,,,,,,,,,,,,,,,,,,,,
SMD_0287,53,65,58,54,54,,,,,,,,,,,,,,,,,,,,,
SMD_0288,353,510,481,557,595,,,,,,,,,,,,,,,,,,,,,
SMD_0289,7,7,9,10,10,,,,,,,,,,,,,,,,,,,,,
SMD_0290,5,7,6,6,7,,,,,,,,,,,,,,,,,,,,,
SMD_0291,2,2,4,3,3,,,,,,,,,,,,,,,,,,,,,
SMD_0292,6,6,8,8,8,,,,,,,,,,,,,,,,,,,,,
SMD_0293,11,11,9,11,11,,,,,,,,,,,,,,,,,,,,,
SMD_0294,13,14,11,15,16,,,,,,,,,,,,,,,,,,,,,
SMD_0295,23,32,21,18,21,,,,,,,,,,,,,,,,,,,,,
SMD_0296,50,55,46,45,52,,,,,,,,,,,,,,,,,,,,,
SMD_0297,236,218,209,232,264,,,,,,,,,,,,,,,,,,,,,
SMD_0298,285,245,287,271,290,,,,,,,,,,,,,,,,,,,,,
SMD_0299,95,87,105,108,101,,,,,,,,,,,,,,,,,,,,,
SMD_0300,21,17,19,19,18,,,,,,,,,,,,,,,,,,,,,
SMD_0301,72,66,58,84,92,,,,,,,,,,,,,,,,,,,,,
SMD_0302,114,115,87,120,138,,,,,,,,,,,,,,,,,,,,,
SMD_0303,182,217,148,192,248,,,,,,,,,,,,,,,,,,,,,
SMD_0304,83,98,65,91,111,,,,,,,,,,,,,,,,,,,,,
SMD_0305,534,567,801,765,576,,,,,,,,,,,,,,,,,,,,,
SMD_0306,17,13,20,24,20,,,,,,,,,,,,,,,,,,,,,
SMD_0307,5,9,8,6,5,,,,,,,,,,,,,,,,,,,,,
SMD_0308,5,4,3,4,4,,,,,,,,,,,,,,,,,,,,,
SMD_0309,6195,8330,6649,7685,6915,,,,,,,,,,,,,,,,,,,,,
SMD_0310,124,113,133,173,124,,,,,,,,,,,,,,,,,,,,,
SMD_0311,183,161,185,173,148,,,,,,,,,,,,,,,,,,,,,
SMD_0312,7,6,6,6,5,,,,,,,,,,,,,,,,,,,,,
SMD_0313,6,7,8,7,8,,,,,,,,,,,,,,,,,,,,,
SMD_0314,10,8,10,10,10,,,,,,,,,,,,,,,,,,,,,
SMD_0315,198,191,224,184,179,,,,,,,,,,,,,,,,,,,,,
SMD_0316,104,121,90,98,116,,,,,,,,,,,,,,,,,,,,,
SMD_0317,156,139,176,188,185,,,,,,,,,,,,,,,,,,,,,
SMD_0318,283,249,313,310,277,,,,,,,,,,,,,,,,,,,,,
SMD_0319,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
SMD_0320,2,1,1,2,2,,,,,,,,,,,,,,,,,,,,,
SMD_0321,94,87,94,102,108,,,,,,,,,,,,,,,,,,,,,
SMD_0322,152,137,144,152,160,,,,,,,,,,,,,,,,,,,,,
SMD_0323,65,62,67,64,63,,,,,,,,,,,,,,,,,,,,,
SMD_0324,28,30,29,23,25,,,,,,,,,,,,,,,,,,,,,
SMD_0325,12,11,12,12,11,,,,,,,,,,,,,,,,,,,,,
SMD_0326,2,2,2,2,4,,,,,,,,,,,,,,,,,,,,,
SMD_0327,7,7,6,7,6,,,,,,,,,,,,,,,,,,,,,
SMD_0328,16,15,16,16,14,,,,,,,,,,,,,,,,,,,,,
SMD_0329,375,378,391,362,377,,,,,,,,,,,,,,,,,,,,,
SMD_0330,428,420,439,411,398,,,,,,,,,,,,,,,,,,,,,
SMD_0331,132,139,123,123,111,,,,,,,,,,,,,,,,,,,,,
SMD_0332,69,64,69,76,69,,,,,,,,,,,,,,,,,,,,,
SMD_0333,62,54,57,57,47,,,,,,,,,,,,,,,,,,,,,
SMD_0334,41,27,30,43,48,,,,,,,,,,,,,,,,,,,,,
SMD_0335,127,146,100,106,132,,,,,,,,,,,,,,,,,,,,,
SMD_0336,161,181,161,159,168,,,,,,,,,,,,,,,,,,,,,
SMD_0337,754,761,632,115,521,,,,,,,,,,,,,,,,,,,,,
SMD_0338,964,948,1142,969,742,,,,,,,,,,,,,,,,,,,,,
SMD_0339,2245,2191,2679,2343,1617,,,,,,,,,,,,,,,,,,,,,
SMD_0340,968,904,691,270,696,,,,,,,,,,,,,,,,,,,,,
SMD_0341,4,9,4,5,3,,,,,,,,,,,,,,,,,,,,,
SMD_0342,597,608,505,92,416,,,,,,,,,,,,,,,,,,,,,
SMD_0343,949,923,1160,947,791,,,,,,,,,,,,,,,,,,,,,
SMD_0344,2218,2110,2616,2418,1658,,,,,,,,,,,,,,,,,,,,,
SMD_0345,961,883,691,260,695,,,,,,,,,,,,,,,,,,,,,
SMD_0346,3,4,5,3,3,,,,,,,,,,,,,,,,,,,,,
SMD_0347,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_0348,154,176,176,176,179,,,,,,,,,,,,,,,,,,,,,
SMD_0349,86,79,96,94,99,,,,,,,,,,,,,,,,,,,,,
SMD_0350,62,61,59,66,75,,,,,,,,,,,,,,,,,,,,,
SMD_0351,146,176,121,134,170,,,,,,,,,,,,,,,,,,,,,
SMD_0352,24,27,19,20,23,,,,,,,,,,,,,,,,,,,,,
SMD_0353,306,385,277,282,331,,,,,,,,,,,,,,,,,,,,,
SMD_0354,20,21,20,20,19,,,,,,,,,,,,,,,,,,,,,
SMD_0355,19,17,21,17,19,,,,,,,,,,,,,,,,,,,,,
SMD_0356,173,154,213,219,189,,,,,,,,,,,,,,,,,,,,,
SMD_0357,158,208,132,124,173,,,,,,,,,,,,,,,,,,,,,
SMD_0358,27,37,22,21,27,,,,,,,,,,,,,,,,,,,,,
SMD_0359,4,6,5,3,4,,,,,,,,,,,,,,,,,,,,,
SMD_0360,4,3,3,3,4,,,,,,,,,,,,,,,,,,,,,
SMD_0361,2,3,3,2,2,,,,,,,,,,,,,,,,,,,,,
SMD_0362,5,4,4,5,4,,,,,,,,,,,,,,,,,,,,,
SMD_0363,9,10,7,6,5,,,,,,,,,,,,,,,,,,,,,
SMD_0364,3,4,3,3,3,,,,,,,,,,,,,,,,,,,,,
SMD_0365,72,36,56,74,85,,,,,,,,,,,,,,,,,,,,,
SMD_0366,120,116,117,105,121,,,,,,,,,,,,,,,,,,,,,
SMD_0367,104,109,105,97,111,,,,,,,,,,,,,,,,,,,,,
