,Acidic 1,Acidic 2,Neutral 1,Neutral 2,Neautral 3,Basic 1,Basic 2
fig|6666666.230262.peg.180,64,52,139,66,130,177,145
fig|6666666.230262.peg.1800,98,77,149,101,226,258,174
fig|6666666.230262.peg.1801,82,64,114,56,146,206,165
fig|6666666.230262.peg.1802,123,67,167,104,238,259,216
fig|6666666.230262.peg.1803,98,78,132,100,169,242,178
fig|6666666.230262.peg.1804,14,25,67,25,51,78,69
fig|6666666.230262.peg.1805,87,55,128,68,137,196,129
fig|6666666.230262.peg.1806,13,14,20,13,31,39,28
fig|6666666.230262.peg.1807,31,12,38,26,37,69,60
fig|6666666.230262.peg.1808,11,12,22,11,30,27,20
fig|6666666.230262.peg.1809,18,9,32,11,26,33,35
fig|6666666.230262.peg.181,64,36,64,35,69,88,69
fig|6666666.230262.peg.1810,2,1,1,0,4,1,4
fig|6666666.230262.peg.1811,17,5,13,10,17,26,15
fig|6666666.230262.peg.1812,25,13,47,20,42,73,53
fig|6666666.230262.peg.1813,97,52,88,76,112,146,117
fig|6666666.230262.peg.1814,233,161,297,166,333,471,412
fig|6666666.230262.peg.1815,36,22,70,40,76,100,67
fig|6666666.230262.peg.1816,343,247,138,135,149,195,127
fig|6666666.230262.peg.1817,222,158,215,110,241,315,239
fig|6666666.230262.peg.1818,317,199,178,129,187,309,190
fig|6666666.230262.peg.1819,92,84,79,44,92,128,87
fig|6666666.230262.peg.182,580,371,537,320,538,647,539
fig|6666666.230262.peg.1820,932,686,986,588,1200,1879,1321
fig|6666666.230262.peg.1821,289,188,426,258,429,562,456
fig|6666666.230262.peg.1822,18,18,10,6,18,19,16
fig|6666666.230262.peg.1823,41,30,77,40,87,119,76
fig|6666666.230262.peg.1824,92,58,66,55,84,120,111
fig|6666666.230262.peg.1825,19,7,21,10,30,37,23
fig|6666666.230262.peg.1826,4,4,9,4,11,9,8
fig|6666666.230262.peg.1827,40,21,53,30,48,77,44
fig|6666666.230262.peg.1828,14,4,8,10,17,17,14
fig|6666666.230262.peg.1829,14,7,25,12,29,30,22
fig|6666666.230262.peg.183,164,98,201,133,250,330,277
fig|6666666.230262.peg.1830,1,0,2,0,0,0,0
fig|6666666.230262.peg.1831,66,50,121,73,142,185,133
fig|6666666.230262.peg.1832,18,15,22,11,33,43,24
fig|6666666.230262.peg.1833,97,69,95,67,114,181,140
fig|6666666.230262.peg.1834,95,21,88,50,95,135,107
fig|6666666.230262.peg.1835,44,25,32,22,49,69,59
fig|6666666.230262.peg.1836,1337,1049,1587,968,1818,2473,1724
fig|6666666.230262.peg.1837,1143,1053,1350,763,1198,1710,1377
fig|6666666.230262.peg.1838,1089,909,1224,657,1079,1492,1251
fig|6666666.230262.peg.1839,441,376,493,279,512,713,552
fig|6666666.230262.peg.184,63,48,115,62,126,189,115
fig|6666666.230262.peg.1840,803,661,1102,597,880,1310,1048
fig|6666666.230262.peg.1841,953,789,1126,656,1000,1558,1251
fig|6666666.230262.peg.1842,60,50,50,40,66,105,81
fig|6666666.230262.peg.1843,30,21,27,25,27,64,60
fig|6666666.230262.peg.1844,14,13,20,15,15,36,36
fig|6666666.230262.peg.1845,74,55,118,79,89,163,121
fig|6666666.230262.peg.1846,380,278,426,257,421,669,525
fig|6666666.230262.peg.1847,34,33,51,34,55,96,59
fig|6666666.230262.peg.1848,74,53,107,60,116,157,145
fig|6666666.230262.peg.1849,64,45,41,21,50,87,59
fig|6666666.230262.peg.185,49,18,100,49,133,159,127
fig|6666666.230262.peg.1850,2,1,2,6,4,7,3
fig|6666666.230262.peg.1851,44,37,55,27,43,79,69
fig|6666666.230262.peg.1852,31,22,37,23,43,67,50
fig|6666666.230262.peg.1853,63,32,117,68,115,187,159
fig|6666666.230262.peg.1854,68,48,56,46,70,119,89
fig|6666666.230262.peg.1855,40,23,64,40,82,124,72
fig|6666666.230262.peg.1856,36,38,45,22,46,79,54
fig|6666666.230262.peg.1857,55,46,52,23,40,69,66
fig|6666666.230262.peg.1858,15,15,30,22,29,59,46
fig|6666666.230262.peg.1859,1,4,0,1,2,4,2
fig|6666666.230262.peg.186,15,5,13,10,21,32,24
fig|6666666.230262.peg.1860,25,10,43,25,51,88,60
fig|6666666.230262.peg.1861,13,6,12,9,28,19,23
fig|6666666.230262.peg.1862,9,17,23,11,33,48,30
fig|6666666.230262.peg.1863,817,525,560,374,619,1252,763
fig|6666666.230262.peg.1864,28,18,58,29,52,62,65
fig|6666666.230262.peg.1865,5,6,7,4,10,10,6
fig|6666666.230262.peg.1866,2,1,2,5,7,3,10
fig|6666666.230262.peg.1867,50,48,85,58,87,171,121
fig|6666666.230262.peg.1868,59,41,63,44,71,99,64
fig|6666666.230262.peg.1869,23,19,33,26,46,66,40
fig|6666666.230262.peg.187,45,27,53,39,78,86,77
fig|6666666.230262.peg.1870,65,50,91,55,121,162,126
fig|6666666.230262.peg.1871,105,68,195,104,248,347,250
fig|6666666.230262.peg.1872,22,20,44,31,55,83,44
fig|6666666.230262.peg.1873,33,35,47,39,34,79,52
fig|6666666.230262.peg.1874,748,668,943,558,897,1295,1054
fig|6666666.230262.peg.1875,289,188,440,241,482,600,467
fig|6666666.230262.peg.1876,33,18,87,51,124,170,115
fig|6666666.230262.peg.1877,58,33,87,45,91,140,101
fig|6666666.230262.peg.1878,119,83,199,107,198,300,193
fig|6666666.230262.peg.1879,55,34,82,55,135,221,164
fig|6666666.230262.peg.188,25,15,34,39,50,65,40
fig|6666666.230262.peg.1880,61,48,70,38,71,134,108
fig|6666666.230262.peg.1881,252,176,308,214,391,549,416
fig|6666666.230262.peg.1882,33,23,40,36,57,71,60
fig|6666666.230262.peg.1883,154,99,167,114,193,254,169
fig|6666666.230262.peg.1884,68,39,69,56,105,143,105
fig|6666666.230262.peg.1885,88,61,145,93,172,242,165
fig|6666666.230262.peg.1886,18,26,34,27,70,68,59
fig|6666666.230262.peg.1887,60,65,96,39,97,149,109
fig|6666666.230262.peg.1888,68,79,160,89,178,163,139
fig|6666666.230262.peg.1889,111,79,97,76,107,149,114
fig|6666666.230262.peg.189,208,142,298,165,327,395,331
fig|6666666.230262.peg.1890,174,126,312,189,336,464,399
fig|6666666.230262.peg.1891,101,49,116,76,144,199,172
fig|6666666.230262.peg.1892,21,15,23,19,32,76,35
fig|6666666.230262.peg.1893,55,32,106,68,134,153,125
fig|6666666.230262.peg.1894,157,114,197,104,230,385,261
fig|6666666.230262.peg.1895,55,49,63,33,75,113,101
fig|6666666.230262.peg.1896,47,36,74,55,92,137,106
fig|6666666.230262.peg.1897,287,178,304,222,359,537,351
fig|6666666.230262.peg.1898,30,23,35,31,52,69,64
fig|6666666.230262.peg.1899,162,99,179,114,180,274,274
fig|6666666.230262.peg.19,123,84,245,132,204,280,220
fig|6666666.230262.peg.190,10,4,22,17,31,23,19
fig|6666666.230262.peg.1900,396,338,473,271,449,764,627
fig|6666666.230262.peg.1901,337,289,348,212,335,570,462
fig|6666666.230262.peg.1902,293,238,342,217,406,682,475
fig|6666666.230262.peg.1903,359,304,393,236,389,641,512
fig|6666666.230262.peg.1904,671,562,696,403,675,1004,777
fig|6666666.230262.peg.1905,112,90,162,83,146,201,134
fig|6666666.230262.peg.1906,136,88,149,85,155,242,195
fig|6666666.230262.peg.1907,165,130,222,132,266,379,297
fig|6666666.230262.peg.1908,438,324,635,381,567,780,666
fig|6666666.230262.peg.1909,2143,1353,1543,1055,1549,2299,1766
fig|6666666.230262.peg.191,37,32,70,45,74,101,71
fig|6666666.230262.peg.1910,93,72,102,75,93,127,115
fig|6666666.230262.peg.1911,73,47,117,95,129,198,135
fig|6666666.230262.peg.1912,85,40,115,84,115,196,144
fig|6666666.230262.peg.1913,127,141,136,85,156,226,158
fig|6666666.230262.peg.1914,54,45,78,46,84,126,132
fig|6666666.230262.peg.1915,42,29,180,119,169,276,160
fig|6666666.230262.peg.1916,35,29,62,34,65,87,63
fig|6666666.230262.peg.1917,42,31,53,30,55,94,67
fig|6666666.230262.peg.1918,126,97,151,103,152,244,198
fig|6666666.230262.peg.1919,812,632,877,522,753,1204,946
fig|6666666.230262.peg.192,20,14,29,14,43,42,30
fig|6666666.230262.peg.1920,87,60,67,45,83,104,89
fig|6666666.230262.peg.1921,26,11,39,10,54,64,58
fig|6666666.230262.peg.1922,73,41,81,48,110,134,85
fig|6666666.230262.peg.1923,88,72,153,95,188,229,184
fig|6666666.230262.peg.1924,0,0,0,0,0,0,0
fig|6666666.230262.peg.1925,185,110,296,167,281,437,323
fig|6666666.230262.peg.1926,4,3,6,6,13,21,12
fig|6666666.230262.peg.1927,4,5,13,13,17,27,16
fig|6666666.230262.peg.1928,24,29,51,21,45,90,64
fig|6666666.230262.peg.1929,22,19,39,27,45,61,38
fig|6666666.230262.peg.193,23,23,41,31,51,73,50
fig|6666666.230262.peg.1930,58,41,84,55,89,124,96
fig|6666666.230262.peg.1931,44,39,75,55,87,97,79
fig|6666666.230262.peg.1932,137,103,221,119,205,248,245
fig|6666666.230262.peg.1933,120,124,269,165,303,370,271
fig|6666666.230262.peg.1934,47,35,55,38,58,100,60
fig|6666666.230262.peg.1935,110,126,179,115,195,290,222
fig|6666666.230262.peg.1936,32,38,94,44,89,145,96
fig|6666666.230262.peg.1937,69,48,115,62,142,192,136
fig|6666666.230262.peg.1938,50,47,88,52,96,115,117
fig|6666666.230262.peg.1939,447,339,403,246,426,623,418
fig|6666666.230262.peg.194,20,12,26,22,41,37,34
fig|6666666.230262.peg.1940,190,135,308,198,383,424,350
fig|6666666.230262.peg.1941,19,18,55,40,66,79,67
fig|6666666.230262.peg.1942,33,26,68,26,55,79,53
fig|6666666.230262.peg.1943,51,27,76,58,93,121,98
fig|6666666.230262.peg.1944,231,218,432,227,421,501,418
fig|6666666.230262.peg.1945,7,5,7,9,12,18,17
fig|6666666.230262.peg.1946,1,1,4,2,5,7,7
fig|6666666.230262.peg.1947,10,10,23,16,34,36,32
fig|6666666.230262.peg.1948,73,52,129,104,134,199,156
fig|6666666.230262.peg.1949,119,112,227,135,263,345,241
fig|6666666.230262.peg.195,22,19,35,19,39,71,49
fig|6666666.230262.peg.1950,53,58,94,53,127,173,123
fig|6666666.230262.peg.1951,106,79,209,125,247,334,235
fig|6666666.230262.peg.1952,17,16,41,22,37,64,45
fig|6666666.230262.peg.1953,34,32,59,36,74,67,38
fig|6666666.230262.peg.1954,92,57,160,108,237,284,190
fig|6666666.230262.peg.1955,80,46,121,82,163,189,168
fig|6666666.230262.peg.1956,25,29,51,22,51,71,60
fig|6666666.230262.peg.1957,22,27,61,31,69,80,62
fig|6666666.230262.peg.1958,20,15,43,19,50,64,60
fig|6666666.230262.peg.1959,36,22,61,34,85,106,68
fig|6666666.230262.peg.196,4,4,10,6,19,21,14
fig|6666666.230262.peg.1960,47,41,88,39,78,114,79
fig|6666666.230262.peg.1961,69,74,148,89,183,206,152
fig|6666666.230262.peg.1962,22,18,46,24,39,71,58
fig|6666666.230262.peg.1963,4,4,6,5,12,11,8
fig|6666666.230262.peg.1964,78,49,99,73,118,187,126
fig|6666666.230262.peg.1965,11,10,17,4,24,37,17
fig|6666666.230262.peg.1966,15,13,45,25,56,80,54
fig|6666666.230262.peg.1967,90,57,125,107,177,237,188
fig|6666666.230262.peg.1968,45,39,80,37,89,123,86
fig|6666666.230262.peg.1969,77,60,118,77,125,201,153
fig|6666666.230262.peg.197,23,21,38,25,42,51,44
fig|6666666.230262.peg.1970,38,33,73,42,94,107,80
fig|6666666.230262.peg.1971,7,9,17,14,26,30,29
fig|6666666.230262.peg.1972,2,1,3,2,4,3,2
fig|6666666.230262.peg.1973,22,19,46,31,64,71,44
fig|6666666.230262.peg.1974,21,17,50,31,55,81,52
fig|6666666.230262.peg.1975,10,7,25,22,30,45,46
fig|6666666.230262.peg.1976,39,51,105,89,106,136,112
fig|6666666.230262.peg.1977,17,16,25,26,38,60,58
fig|6666666.230262.peg.1978,75,54,122,92,186,221,168
fig|6666666.230262.peg.1979,47,48,82,59,108,142,100
fig|6666666.230262.peg.198,164,115,157,103,179,303,264
fig|6666666.230262.peg.1980,32,17,48,22,47,68,59
fig|6666666.230262.peg.1981,14,10,11,8,25,25,19
fig|6666666.230262.peg.1982,64,38,45,46,54,100,69
fig|6666666.230262.peg.1983,26,19,65,40,60,98,77
fig|6666666.230262.peg.1984,25,22,44,22,52,80,67
fig|6666666.230262.peg.1985,70,48,98,50,111,204,134
fig|6666666.230262.peg.1986,34,31,70,51,70,83,80
fig|6666666.230262.peg.1987,59,55,89,59,92,142,98
fig|6666666.230262.peg.1988,0,0,0,0,0,0,0
fig|6666666.230262.peg.1989,37,19,53,34,48,69,57
fig|6666666.230262.peg.199,47,37,69,47,71,131,99
fig|6666666.230262.peg.1990,15,12,28,17,41,51,29
fig|6666666.230262.peg.1991,68,31,98,75,112,144,106
fig|6666666.230262.peg.1992,0,1,1,1,0,0,0
fig|6666666.230262.peg.1993,15,5,27,22,31,40,32
fig|6666666.230262.peg.1994,40,24,56,37,64,107,82
fig|6666666.230262.peg.1995,35,26,59,53,83,104,90
fig|6666666.230262.peg.1996,11,7,20,8,23,26,18
fig|6666666.230262.peg.1997,20,9,22,11,44,46,35
fig|6666666.230262.peg.1998,82,74,159,107,217,271,175
fig|6666666.230262.peg.1999,20,18,35,39,41,63,41
fig|6666666.230262.peg.2,51,40,97,66,125,164,113
fig|6666666.230262.peg.20,177,108,199,132,225,319,274
fig|6666666.230262.peg.200,103,73,141,81,170,180,162
fig|6666666.230262.peg.2000,78,40,134,75,166,203,153
fig|6666666.230262.peg.2001,144,106,224,122,274,445,298
fig|6666666.230262.peg.2002,3732,3212,6618,4487,6148,7748,6261
fig|6666666.230262.peg.2003,768,612,988,587,962,1283,1053
fig|6666666.230262.peg.2004,614,492,845,516,682,927,745
fig|6666666.230262.peg.2005,11,12,4,5,5,11,10
fig|6666666.230262.peg.2006,106,61,127,101,165,190,140
fig|6666666.230262.peg.2007,34,22,48,37,69,75,68
fig|6666666.230262.peg.2008,31,24,55,28,49,68,64
fig|6666666.230262.peg.2009,18,7,16,17,33,40,29
fig|6666666.230262.peg.201,784,581,1026,641,1220,1924,1459
fig|6666666.230262.peg.2010,8,8,17,2,16,24,15
fig|6666666.230262.peg.2011,29,24,48,33,64,102,66
fig|6666666.230262.peg.2012,10,5,25,17,37,47,34
fig|6666666.230262.peg.2013,1,3,5,2,6,7,7
fig|6666666.230262.peg.2014,32,17,39,23,57,61,52
fig|6666666.230262.peg.2015,28,20,45,29,59,84,53
fig|6666666.230262.peg.2016,22,15,49,31,52,82,49
fig|6666666.230262.peg.2017,48,38,69,56,79,145,94
fig|6666666.230262.peg.2018,26,28,58,53,92,121,100
fig|6666666.230262.peg.2019,122,73,169,116,214,247,195
fig|6666666.230262.peg.202,56,30,56,36,64,87,68
fig|6666666.230262.peg.2020,65,50,72,50,96,120,95
fig|6666666.230262.peg.2021,454,239,145,112,187,284,172
fig|6666666.230262.peg.2022,210,170,513,301,772,1156,728
fig|6666666.230262.peg.2023,3,3,2,1,3,4,2
fig|6666666.230262.peg.2024,110,75,114,70,148,194,154
fig|6666666.230262.peg.2025,42,28,38,28,54,68,55
fig|6666666.230262.peg.2026,84,43,89,45,117,138,110
fig|6666666.230262.peg.2027,618,460,829,458,860,1113,910
fig|6666666.230262.peg.2028,33,16,26,29,35,60,26
fig|6666666.230262.peg.2029,169,132,314,183,336,573,385
fig|6666666.230262.peg.203,102,83,148,97,184,247,158
fig|6666666.230262.peg.2030,88,73,115,101,165,208,156
fig|6666666.230262.peg.2031,59,46,103,53,132,180,116
fig|6666666.230262.peg.2032,23,9,35,29,40,53,37
fig|6666666.230262.peg.2033,21,10,40,26,62,83,46
fig|6666666.230262.peg.2034,96,69,129,78,173,223,162
fig|6666666.230262.peg.2035,1007,775,1326,848,1221,1351,1022
fig|6666666.230262.peg.2036,78,50,92,66,135,149,124
fig|6666666.230262.peg.2037,8,6,5,5,4,3,7
fig|6666666.230262.peg.2038,208,142,340,191,338,459,365
fig|6666666.230262.peg.2039,410,398,632,381,790,982,652
fig|6666666.230262.peg.204,1158,945,1588,958,1557,2600,1968
fig|6666666.230262.peg.2040,97,75,137,75,155,228,162
fig|6666666.230262.peg.2041,0,0,0,0,0,0,0
fig|6666666.230262.peg.2042,68,58,124,72,156,183,144
fig|6666666.230262.peg.2043,26,26,52,45,73,90,62
fig|6666666.230262.peg.2044,49,33,70,39,75,118,85
fig|6666666.230262.peg.2045,19,19,29,24,47,58,37
fig|6666666.230262.peg.2046,37,18,67,37,61,104,64
fig|6666666.230262.peg.2047,48,43,90,67,124,151,106
fig|6666666.230262.peg.2048,100,67,137,100,186,255,155
fig|6666666.230262.peg.2049,71,35,106,69,152,146,113
fig|6666666.230262.peg.205,35,21,55,29,61,79,72
fig|6666666.230262.peg.2050,46,33,63,30,71,76,50
fig|6666666.230262.peg.2051,222,137,236,133,233,302,258
fig|6666666.230262.peg.2052,25,21,38,43,59,85,65
fig|6666666.230262.peg.2053,255,165,351,197,426,612,489
fig|6666666.230262.peg.2054,335,290,454,288,490,608,458
fig|6666666.230262.peg.2055,54,18,69,37,78,94,68
fig|6666666.230262.peg.2056,45,23,47,33,75,105,80
fig|6666666.230262.peg.2057,42,22,54,33,89,88,67
fig|6666666.230262.peg.2058,193,133,222,130,216,328,239
fig|6666666.230262.peg.2059,442,371,565,292,520,769,577
fig|6666666.230262.peg.206,108,63,194,99,193,316,221
fig|6666666.230262.peg.2060,298,216,288,175,338,405,296
fig|6666666.230262.peg.2061,312,198,311,248,368,436,321
fig|6666666.230262.peg.2062,75,57,99,62,133,182,118
fig|6666666.230262.peg.2063,592,440,841,592,869,1256,991
fig|6666666.230262.peg.2064,81,60,93,77,98,137,105
fig|6666666.230262.peg.2065,82,58,91,52,94,154,96
fig|6666666.230262.peg.2066,483,345,669,450,735,876,650
fig|6666666.230262.peg.2067,862,655,1018,647,1065,1511,1064
fig|6666666.230262.peg.2068,603,388,622,387,714,837,770
fig|6666666.230262.peg.2069,303,218,397,213,424,527,441
fig|6666666.230262.peg.207,24,27,54,26,69,116,93
fig|6666666.230262.peg.2070,1125,912,1408,773,1443,2078,1534
fig|6666666.230262.peg.2071,640,469,556,397,585,837,679
fig|6666666.230262.peg.2072,1162,1074,1962,1150,2025,2606,1902
fig|6666666.230262.peg.2073,951,650,1140,718,1297,1811,1288
fig|6666666.230262.peg.2074,414,301,605,342,710,923,655
fig|6666666.230262.peg.2075,637,477,860,490,827,1135,980
fig|6666666.230262.peg.2076,999,815,827,472,760,1200,1022
fig|6666666.230262.peg.2077,505,381,669,374,771,1152,858
fig|6666666.230262.peg.2078,480,288,589,367,584,818,645
fig|6666666.230262.peg.2079,6,5,6,8,6,13,7
fig|6666666.230262.peg.208,138,93,193,111,219,373,277
fig|6666666.230262.peg.2080,325,281,190,139,252,328,244
fig|6666666.230262.peg.2081,306,149,203,134,264,295,270
fig|6666666.230262.peg.2082,57,33,77,43,81,133,81
fig|6666666.230262.peg.2083,159,110,237,168,243,286,215
fig|6666666.230262.peg.2084,306,239,320,192,336,440,326
fig|6666666.230262.peg.2085,294,210,213,136,268,318,236
fig|6666666.230262.peg.2086,47,62,88,56,111,165,88
fig|6666666.230262.peg.2087,25,19,38,27,55,87,51
fig|6666666.230262.peg.2088,99,85,197,125,224,305,220
fig|6666666.230262.peg.2089,38,21,36,22,29,39,42
fig|6666666.230262.peg.209,144,113,199,159,229,344,253
fig|6666666.230262.peg.2090,66,51,88,77,144,194,161
fig|6666666.230262.peg.2091,188,114,189,113,215,297,256
fig|6666666.230262.peg.2092,151,160,278,179,301,397,331
fig|6666666.230262.peg.2093,45,35,63,35,64,90,52
fig|6666666.230262.peg.2094,98,77,120,84,122,205,131
fig|6666666.230262.peg.2095,38,26,46,31,56,95,77
fig|6666666.230262.peg.2096,33,15,35,28,38,71,41
fig|6666666.230262.peg.2097,75,63,102,74,110,174,129
fig|6666666.230262.peg.2098,69,48,116,73,90,159,108
fig|6666666.230262.peg.2099,27,27,55,33,84,105,83
fig|6666666.230262.peg.21,4,4,7,0,3,5,5
fig|6666666.230262.peg.210,2141,1733,3749,2229,3972,5225,3896
fig|6666666.230262.peg.2100,49,43,82,53,67,126,117
fig|6666666.230262.peg.2101,1,1,2,1,3,2,3
fig|6666666.230262.peg.2102,17,11,23,25,33,49,24
fig|6666666.230262.peg.2103,14,9,30,16,27,39,29
fig|6666666.230262.peg.2104,47,29,61,38,81,111,85
fig|6666666.230262.peg.2105,23,27,41,25,47,75,62
fig|6666666.230262.peg.2106,52,28,76,40,59,102,77
fig|6666666.230262.peg.2107,36,25,77,40,73,147,108
fig|6666666.230262.peg.2108,41,18,36,30,47,70,57
fig|6666666.230262.peg.2109,200,150,208,105,238,318,241
fig|6666666.230262.peg.211,39,21,37,28,46,72,42
fig|6666666.230262.peg.2110,455,310,394,288,453,707,574
fig|6666666.230262.peg.2111,380,225,305,218,277,422,354
fig|6666666.230262.peg.2112,177,137,191,97,165,309,210
fig|6666666.230262.peg.2113,175,149,313,209,325,433,305
fig|6666666.230262.peg.2114,22451,16443,15925,9406,14708,21358,15559
fig|6666666.230262.peg.2115,233,246,425,281,488,599,461
fig|6666666.230262.peg.2116,137,116,149,79,178,292,210
fig|6666666.230262.peg.2117,283,207,384,241,478,606,464
fig|6666666.230262.peg.2118,37,32,17,26,45,42,35
fig|6666666.230262.peg.2119,136,93,140,88,177,242,169
fig|6666666.230262.peg.212,302,229,300,190,337,443,319
fig|6666666.230262.peg.2120,237,156,237,181,317,372,297
fig|6666666.230262.peg.2121,405,290,407,269,457,552,456
fig|6666666.230262.peg.2122,238,157,298,183,365,427,319
fig|6666666.230262.peg.2123,31,27,34,32,46,75,41
fig|6666666.230262.peg.2124,8,2,10,12,12,14,11
fig|6666666.230262.peg.2125,33,22,29,19,40,74,45
fig|6666666.230262.peg.2126,79,67,113,84,139,227,174
fig|6666666.230262.peg.2127,9,9,27,12,16,22,29
fig|6666666.230262.peg.2128,2,1,3,3,4,7,5
fig|6666666.230262.peg.2129,176,106,225,106,212,326,225
fig|6666666.230262.peg.213,119,78,110,82,131,197,162
fig|6666666.230262.peg.2130,130,75,207,133,246,302,269
fig|6666666.230262.peg.2131,179,126,245,160,274,376,282
fig|6666666.230262.peg.2132,94,69,224,128,292,397,282
fig|6666666.230262.peg.2133,21,9,27,6,31,46,32
fig|6666666.230262.peg.2134,61,46,70,56,82,114,93
fig|6666666.230262.peg.2135,541,386,773,476,776,1212,963
fig|6666666.230262.peg.2136,75,47,44,46,70,103,72
fig|6666666.230262.peg.2137,155,117,198,138,225,355,248
fig|6666666.230262.peg.2138,480,326,453,295,457,633,563
fig|6666666.230262.peg.2139,283,219,462,273,481,666,510
fig|6666666.230262.peg.214,109,58,153,64,158,232,144
fig|6666666.230262.peg.2140,31,20,48,28,42,67,54
fig|6666666.230262.peg.2141,264,187,313,183,376,574,369
fig|6666666.230262.peg.2142,176,124,258,175,374,476,377
fig|6666666.230262.peg.2143,641,410,594,389,661,949,701
fig|6666666.230262.peg.2144,27,24,46,30,59,85,40
fig|6666666.230262.peg.2145,128,87,161,122,186,220,167
fig|6666666.230262.peg.2146,79,46,98,61,108,156,113
fig|6666666.230262.peg.2147,66,37,113,68,144,225,141
fig|6666666.230262.peg.2148,113,92,197,114,226,288,226
fig|6666666.230262.peg.2149,712,546,908,520,902,1069,1052
fig|6666666.230262.peg.215,88,62,161,102,176,261,190
fig|6666666.230262.peg.2150,116,59,84,54,114,169,138
fig|6666666.230262.peg.2151,292,190,325,210,383,582,488
fig|6666666.230262.peg.2152,942,632,1434,819,1515,1920,1430
fig|6666666.230262.peg.2153,2166,1443,1874,1032,2079,2819,2058
fig|6666666.230262.peg.2154,68,43,62,34,87,127,92
fig|6666666.230262.peg.2155,48,39,74,45,55,96,67
fig|6666666.230262.peg.2156,1446,1238,1909,1080,1895,2202,1643
fig|6666666.230262.peg.2157,602,371,608,413,616,954,860
fig|6666666.230262.peg.2158,140,89,215,105,233,327,247
fig|6666666.230262.peg.2159,71,44,76,54,104,173,99
fig|6666666.230262.peg.216,162,109,204,140,261,292,216
fig|6666666.230262.peg.2160,51,31,50,37,82,109,77
fig|6666666.230262.peg.2161,70,56,68,34,94,152,98
fig|6666666.230262.peg.2162,98,70,62,39,89,97,56
fig|6666666.230262.peg.2163,100,70,101,60,100,197,140
fig|6666666.230262.peg.2164,948,589,990,679,1221,2368,1418
fig|6666666.230262.peg.2165,37,26,46,23,56,77,74
fig|6666666.230262.peg.2166,7,8,5,4,10,9,11
fig|6666666.230262.peg.2167,116,85,136,90,138,163,157
fig|6666666.230262.peg.2168,109,86,157,84,147,193,151
fig|6666666.230262.peg.2169,101,69,77,54,93,144,85
fig|6666666.230262.peg.217,67,25,81,51,81,126,75
fig|6666666.230262.peg.2170,263,167,331,232,370,521,365
fig|6666666.230262.peg.2171,290,196,310,221,328,446,374
fig|6666666.230262.peg.2172,223,135,357,212,410,713,486
fig|6666666.230262.peg.2173,19,7,34,20,58,73,38
fig|6666666.230262.peg.2174,39,28,57,37,90,112,98
fig|6666666.230262.peg.2175,47,20,70,39,85,144,95
fig|6666666.230262.peg.2176,18,7,30,27,36,51,35
fig|6666666.230262.peg.2177,59,37,92,53,129,222,136
fig|6666666.230262.peg.2178,7,12,32,22,42,80,65
fig|6666666.230262.peg.2179,39,18,35,25,53,94,71
fig|6666666.230262.peg.218,55,47,89,59,108,132,105
fig|6666666.230262.peg.2180,12,4,41,24,50,51,43
fig|6666666.230262.peg.2181,83,53,234,146,282,373,319
fig|6666666.230262.peg.2182,251,188,706,421,809,1185,959
fig|6666666.230262.peg.2183,82,62,89,63,92,150,128
fig|6666666.230262.peg.2184,215,133,272,157,205,329,267
fig|6666666.230262.peg.2185,24,14,48,30,54,91,60
fig|6666666.230262.peg.2186,35,37,74,40,87,134,115
fig|6666666.230262.peg.2187,59,47,107,75,129,188,148
fig|6666666.230262.peg.2188,166,120,192,151,205,255,204
fig|6666666.230262.peg.2189,67,51,79,51,92,132,93
fig|6666666.230262.peg.219,110,69,152,91,172,255,224
fig|6666666.230262.peg.2190,289,232,462,353,536,651,513
fig|6666666.230262.peg.2191,92,52,128,73,190,277,196
fig|6666666.230262.peg.2192,11,8,17,8,25,39,15
fig|6666666.230262.peg.2193,57,47,144,69,169,227,155
fig|6666666.230262.peg.2194,70,53,79,48,54,109,94
fig|6666666.230262.peg.2195,89,47,76,52,77,143,144
fig|6666666.230262.peg.2196,21,18,38,29,55,107,59
fig|6666666.230262.peg.2197,82,46,49,29,59,114,89
fig|6666666.230262.peg.2198,13,12,16,13,16,33,25
fig|6666666.230262.peg.2199,6,4,16,5,18,26,16
fig|6666666.230262.peg.22,61,52,77,47,72,104,84
fig|6666666.230262.peg.220,57,45,81,45,91,156,98
fig|6666666.230262.peg.2200,145,132,137,81,153,209,180
fig|6666666.230262.peg.2201,506,428,552,340,509,1050,794
fig|6666666.230262.peg.2202,49,33,58,41,70,105,61
fig|6666666.230262.peg.2203,172,142,180,96,154,265,192
fig|6666666.230262.peg.2204,8,16,19,24,15,48,25
fig|6666666.230262.peg.2205,14,5,18,13,19,31,19
fig|6666666.230262.peg.2206,20,22,34,20,49,76,69
fig|6666666.230262.peg.2207,53,34,77,34,55,135,131
fig|6666666.230262.peg.2208,13,10,15,10,9,19,19
fig|6666666.230262.peg.2209,23,17,31,11,19,43,30
fig|6666666.230262.peg.221,298,220,354,247,443,673,449
fig|6666666.230262.peg.2210,61,33,17,14,29,45,29
fig|6666666.230262.peg.2211,157,118,208,90,185,259,226
fig|6666666.230262.peg.2212,302,207,428,235,455,758,562
fig|6666666.230262.peg.2213,90,74,100,63,104,189,171
fig|6666666.230262.peg.2214,61,52,71,50,71,128,95
