,Acidic 1,Acidic 2,Neutral 1,Neutral 2,Neautral 3,Basic 1,Basic 2
fig|6666666.230262.peg.1080,45,47,40,14,38,48,40
fig|6666666.230262.peg.1081,48,42,50,29,62,68,54
fig|6666666.230262.peg.1082,201,130,143,73,172,181,144
fig|6666666.230262.peg.1083,860,712,950,530,898,1246,958
fig|6666666.230262.peg.1084,235,162,242,124,268,334,230
fig|6666666.230262.peg.1085,19,14,25,17,30,36,29
fig|6666666.230262.peg.1086,10,7,9,9,11,19,8
fig|6666666.230262.peg.1087,257,174,152,94,192,332,202
fig|6666666.230262.peg.1088,393,257,532,351,698,949,653
fig|6666666.230262.peg.1089,767,540,1149,739,1604,2019,1372
fig|6666666.230262.peg.109,3,3,2,1,6,5,5
fig|6666666.230262.peg.1090,17,11,36,11,34,61,41
fig|6666666.230262.peg.1091,7,6,13,10,12,21,23
fig|6666666.230262.peg.1092,40,26,86,43,98,152,111
fig|6666666.230262.peg.1093,313,185,149,111,166,287,207
fig|6666666.230262.peg.1094,63,44,82,57,106,137,118
fig|6666666.230262.peg.1095,250,164,231,145,231,262,216
fig|6666666.230262.peg.1096,28,22,24,33,49,71,49
fig|6666666.230262.peg.1097,71,55,91,67,106,156,135
fig|6666666.230262.peg.1098,13,3,13,3,20,24,16
fig|6666666.230262.peg.1099,11,18,22,7,17,29,17
fig|6666666.230262.peg.11,26,20,29,29,31,71,47
fig|6666666.230262.peg.110,0,0,1,1,0,3,1
fig|6666666.230262.peg.1100,71,54,81,46,77,148,92
fig|6666666.230262.peg.1101,26,22,29,23,26,56,43
fig|6666666.230262.peg.1102,47,37,106,63,123,161,112
fig|6666666.230262.peg.1103,10,6,30,8,25,35,28
fig|6666666.230262.peg.1104,52,44,81,54,80,130,104
fig|6666666.230262.peg.1105,134,82,247,152,280,345,274
fig|6666666.230262.peg.1106,262,187,259,169,386,486,391
fig|6666666.230262.peg.1107,43,23,52,32,64,118,80
fig|6666666.230262.peg.1108,48,26,96,57,121,209,121
fig|6666666.230262.peg.1109,539,397,785,504,961,1240,886
fig|6666666.230262.peg.111,20,5,15,16,29,23,15
fig|6666666.230262.peg.1110,79,64,94,65,101,177,115
fig|6666666.230262.peg.1111,42,20,55,26,60,99,66
fig|6666666.230262.peg.1112,157,152,196,128,235,312,236
fig|6666666.230262.peg.1113,59,60,71,45,104,161,90
fig|6666666.230262.peg.1114,72,59,69,42,83,112,87
fig|6666666.230262.peg.1115,93,80,97,51,109,136,126
fig|6666666.230262.peg.1116,115,98,222,121,213,332,281
fig|6666666.230262.peg.1117,374,283,396,214,391,591,475
fig|6666666.230262.peg.1118,50,34,43,40,53,84,62
fig|6666666.230262.peg.1119,49,34,45,36,54,88,77
fig|6666666.230262.peg.112,14,14,15,12,13,26,19
fig|6666666.230262.peg.1120,19,21,28,14,31,49,31
fig|6666666.230262.peg.1121,791,570,537,358,437,597,581
fig|6666666.230262.peg.1122,190,180,266,142,227,421,386
fig|6666666.230262.peg.1123,29,26,48,23,47,62,60
fig|6666666.230262.peg.1124,3,5,11,7,12,21,7
fig|6666666.230262.peg.1125,4,2,5,3,5,9,6
fig|6666666.230262.peg.1126,9,1,3,6,9,16,18
fig|6666666.230262.peg.1127,1,0,6,4,3,6,3
fig|6666666.230262.peg.1128,3,3,4,3,3,15,9
fig|6666666.230262.peg.1129,33,29,57,35,58,110,80
fig|6666666.230262.peg.113,8,6,10,9,15,19,12
fig|6666666.230262.peg.1130,22,17,28,13,45,40,36
fig|6666666.230262.peg.1131,306,275,344,228,355,527,389
fig|6666666.230262.peg.1132,5,1,4,7,5,8,8
fig|6666666.230262.peg.1133,10,11,11,10,16,24,13
fig|6666666.230262.peg.1134,1003,750,999,577,1027,1500,1164
fig|6666666.230262.peg.1135,166,108,312,178,374,409,357
fig|6666666.230262.peg.1136,49,32,71,42,98,126,86
fig|6666666.230262.peg.1137,92,62,79,69,147,155,100
fig|6666666.230262.peg.1138,63,30,94,69,136,134,125
fig|6666666.230262.peg.1139,41,21,78,43,108,110,91
fig|6666666.230262.peg.114,17,20,20,12,22,43,24
fig|6666666.230262.peg.1140,63,47,105,67,150,179,132
fig|6666666.230262.peg.1141,54,37,88,64,98,154,111
fig|6666666.230262.peg.1142,165,124,362,208,380,624,435
fig|6666666.230262.peg.1143,25,13,37,17,40,65,41
fig|6666666.230262.peg.1144,41,18,21,17,33,31,31
fig|6666666.230262.peg.1145,19,16,21,11,27,41,19
fig|6666666.230262.peg.1146,54,31,77,42,53,86,57
fig|6666666.230262.peg.1147,35,13,8,4,9,15,9
fig|6666666.230262.peg.1148,25,25,30,19,41,65,43
fig|6666666.230262.peg.1149,25,19,34,12,40,66,36
fig|6666666.230262.peg.115,8,8,11,2,13,16,6
fig|6666666.230262.peg.1150,23,19,47,25,47,54,48
fig|6666666.230262.peg.1151,59,42,65,35,102,130,70
fig|6666666.230262.peg.1152,69,52,84,49,90,143,94
fig|6666666.230262.peg.1153,115,101,180,116,249,345,278
fig|6666666.230262.peg.1154,78,66,313,146,322,427,361
fig|6666666.230262.peg.1155,80,71,107,80,134,201,144
fig|6666666.230262.peg.1156,38,29,34,24,39,65,59
fig|6666666.230262.peg.1157,7,2,6,4,10,17,15
fig|6666666.230262.peg.1158,9,6,11,10,13,20,22
