,273_lact_rep1,273_lact_rep2,273_scfm_rep1,273_scfm_rep2,275_lact_rep1,275_lact_rep2,275_scfm_rep1,275_scfm_rep2,K297A_lact_rep1,K297A_lact_rep2,K297A_scfm_rep1,K297A_scfm_rep2
SMLT_RS01595,96,108,49,60,22,16,8,8,99,76,38,35
SMLT_RS01605,387,445,7624,8240,604,454,1569,653,235,214,3204,2794
SMLT_RS01615,8711,8038,5325,5659,8931,8102,4200,3930,4827,3681,4028,3404
SMLT_RS01620,8087,7367,9574,7772,17843,10463,7779,4665,1715,2315,1560,1250
SMLT_RS01625,7282,10040,15642,9405,23793,10633,1411,1164,223,222,161,112
SMLT_RS01630,1399,1209,54,55,258,370,60,37,566,346,74,97
SMLT_RS01635,3514,4414,4635,5370,4058,3408,3699,2116,4024,3423,3938,3880
SMLT_RS01645,264,419,121,139,221,214,139,57,847,896,182,240
SMLT_RS01650,2343,2296,1404,1676,2278,2249,1848,1255,3119,2647,1538,1635
SMLT_RS01660,1778,2249,886,905,3261,2128,864,340,1144,1023,462,449
SMLT_RS01685,340,328,169,242,121,127,99,72,405,423,160,219
SMLT_RS01690,243,226,164,139,99,103,119,63,342,315,174,149
SMLT_RS01695,477,518,1965,3214,494,394,2475,1761,444,356,2437,1679
SMLT_RS01700,1467,1579,229,344,1631,1804,227,130,2261,1589,518,429
SMLT_RS01705,2620,2532,444,583,2679,2749,390,328,3496,2320,782,754
SMLT_RS01710,1286,1257,234,291,1503,1484,185,110,1660,1037,334,310
SMLT_RS01715,2442,2346,575,636,2503,2503,463,394,3534,2870,688,677
SMLT_RS01720,40,40,0,5,23,30,5,3,33,38,15,6
SMLT_RS01725,12,5,1,4,10,16,2,0,19,14,5,4
SMLT_RS01730,306,281,80,117,263,292,125,51,490,430,120,133
SMLT_RS01735,201,216,88,131,174,192,66,40,328,296,80,87
SMLT_RS01770,934,1207,1249,1279,1231,1055,559,457,910,933,635,499
SMLT_RS01775,1104,1581,2088,2246,2851,2012,965,795,1311,1123,643,552
SMLT_RS01780,2152,2924,3584,3808,6537,4569,2301,1650,2314,1938,1026,930
SMLT_RS01785,5361,7439,8162,7245,13930,8398,4342,2922,4591,3725,1941,1776
SMLT_RS01790,2099,2798,1500,2345,2893,2426,1105,975,2119,1807,901,785
SMLT_RS01795,15899,14572,5884,6800,13284,11863,4688,2788,8675,6553,7211,7319
SMLT_RS01805,519,508,389,316,811,623,261,175,357,322,115,78
SMLT_RS01810,639,683,326,415,768,713,345,231,1398,1254,391,373
SMLT_RS01815,86145,67211,127768,132423,8282,10195,57136,19777,7995,7659,20760,10122
SMLT_RS01820,398,291,459,639,76,80,315,136,271,282,177,195
SMLT_RS01825,2348,1885,2048,1934,1301,1180,1623,745,1214,1498,2044,1511
SMLT_RS01840,131,149,163,281,130,99,180,64,311,282,184,185
SMLT_RS01845,885,976,1764,1542,821,951,1590,644,1123,1060,1896,1917
SMLT_RS01855,1739,1839,1388,1518,1291,1195,1057,546,2082,1767,1610,1384
SMLT_RS01860,2285,2446,3094,3034,1860,1727,1654,1109,1538,1373,2422,2762
SMLT_RS01865,6537,7630,13764,14328,4368,3927,5941,4916,2633,2140,8881,10355
SMLT_RS01870,34,29,15,11,28,26,33,6,80,51,19,26
SMLT_RS01880,1904,2376,2184,2212,2992,2451,1308,729,1795,1563,1701,1848
SMLT_RS01885,1148,1364,1224,1283,1764,1422,917,656,1351,1345,921,1044
SMLT_RS01890,1598,1879,2054,2616,1773,1630,1207,814,3025,2509,2470,2680
SMLT_RS01900,682,648,999,1291,687,632,392,372,826,856,729,942
SMLT_RS01905,49,55,164,296,10,10,19,18,46,34,160,209
SMLT_RS01910,297,312,1045,1677,63,57,181,160,159,172,1139,1624
SMLT_RS01915,358,388,1427,1732,66,74,306,251,172,177,1450,1644
SMLT_RS01925,2295,2803,2480,2823,2647,2335,1603,1640,3586,3278,3030,3360
SMLT_RS01930,2555,3149,2623,2884,2879,2447,1632,1137,3163,2705,3154,3412
SMLT_RS01935,2007,2044,1469,1631,1158,990,740,424,1457,1181,1262,1339
SMLT_RS01940,823,840,838,837,586,495,494,273,765,739,804,817
SMLT_RS01945,542,552,224,240,127,120,114,28,649,575,245,287
SMLT_RS01955,16640,19058,7384,6452,19609,14658,4404,2688,7533,6282,3127,3410
SMLT_RS01960,2148,2154,2907,3738,1674,1469,2845,1394,2889,2536,3075,3034
SMLT_RS02015,4711,6089,5375,5808,4542,4087,2033,1250,6047,4675,3923,4193
SMLT_RS02020,1285,1275,1023,1129,1051,857,284,278,877,709,464,456
SMLT_RS02025,1881,1925,1765,1965,2039,1631,1571,835,2529,2152,1384,1470
SMLT_RS02030,4299,5101,2531,3280,3265,2820,1614,996,3923,3416,1836,1712
SMLT_RS02035,185,223,141,123,176,154,105,19,255,267,84,141
SMLT_RS02040,58057,52038,31753,36752,32384,29686,10851,5571,34906,24608,18158,17327
SMLT_RS02045,163,160,254,267,108,108,216,70,177,177,300,245
SMLT_RS02050,285,254,488,711,162,154,234,180,371,408,543,488
SMLT_RS02055,1115,1378,12520,15651,1546,1172,6983,4329,1746,1296,10192,10112
SMLT_RS02065,7458,6417,1040,1181,10433,8645,1142,726,9115,6639,908,722
SMLT_RS02070,10701,9176,1420,1424,15213,11790,1262,518,8660,5568,829,574
SMLT_RS02075,3655,3317,667,673,4168,2988,391,168,2538,1705,369,249
SMLT_RS02080,3230,3139,652,574,4168,3118,385,255,2635,1721,288,246
SMLT_RS02085,4617,3972,1063,944,5733,4453,697,317,2935,2105,549,367
SMLT_RS02090,790,769,145,166,610,513,260,74,456,287,111,123
SMLT_RS02095,470,441,141,123,493,443,97,39,403,353,112,69
SMLT_RS02105,1914,1847,3271,3275,1106,851,2164,1091,2084,1810,2717,2411
