,273_lact_rep1,273_lact_rep2,273_scfm_rep1,273_scfm_rep2,275_lact_rep1,275_lact_rep2,275_scfm_rep1,275_scfm_rep2,K297A_lact_rep1,K297A_lact_rep2,K297A_scfm_rep1,K297A_scfm_rep2
SMLT_RS05515,832,942,512,580,745,673,554,343,1052,934,560,485
SMLT_RS05520,30,30,94,74,72,58,92,28,67,79,66,119
SMLT_RS05530,170,216,442,435,577,382,444,294,130,97,213,577
SMLT_RS05535,53,97,132,112,164,112,127,51,27,19,52,156
SMLT_RS05545,26,21,9,7,25,26,10,9,68,44,4,20
SMLT_RS05555,197,222,132,176,338,290,180,122,318,268,119,163
SMLT_RS05560,245,248,171,176,332,270,228,92,398,353,209,284
SMLT_RS05570,2,12,13,8,77,31,15,11,6,6,18,49
SMLT_RS05575,363,372,357,394,668,559,987,767,584,736,292,313
SMLT_RS05580,700,721,677,839,844,650,954,351,938,763,598,808
SMLT_RS05585,15,13,7,3,19,9,7,2,46,50,12,13
SMLT_RS05590,1579,1799,1486,1611,1530,1513,1516,650,1781,1914,1703,1560
SMLT_RS05595,1856,2299,2042,2189,1693,2014,1744,1181,1921,2028,2006,2079
SMLT_RS05600,1470,1723,1441,1655,1510,1578,1620,1046,1162,1125,1178,1265
SMLT_RS05605,1436,1821,1484,1386,1292,1371,1531,1057,1085,996,1084,1153
SMLT_RS05610,4403,5103,4622,4366,4172,4311,5646,3008,2923,3180,3862,3905
SMLT_RS05615,755,834,945,813,761,725,1120,632,522,533,632,810
SMLT_RS05620,2671,3274,2247,2400,3690,2504,2445,1166,2270,2089,1875,1739
SMLT_RS05625,387,655,947,640,1849,999,157,89,133,136,95,113
SMLT_RS05630,3810,3736,1077,1547,1599,1664,729,474,1418,1448,571,607
SMLT_RS05635,405,350,442,494,290,188,333,148,653,475,575,518
SMLT_RS05640,135,147,115,150,128,60,103,34,390,286,151,141
SMLT_RS05645,87962,82638,62531,67685,97601,74282,63069,34835,103375,78235,54839,46977
SMLT_RS05650,4069,5520,3649,2885,17542,9521,1582,1452,5302,4668,1427,1400
SMLT_RS05655,667,664,647,810,392,325,296,232,674,533,613,673
SMLT_RS05660,710,773,1076,1319,726,598,1033,525,1025,920,811,976
SMLT_RS05665,3952,4169,6615,8755,4562,3897,5070,3603,4012,3606,6017,6014
SMLT_RS05670,1886,2002,3144,3822,1876,1624,1890,1521,2390,2153,3030,3430
SMLT_RS05675,921,993,1687,1979,843,757,1015,721,1623,1538,1788,1973
SMLT_RS05680,309,305,272,328,403,334,329,200,494,497,332,307
SMLT_RS05685,484,755,210,236,1367,950,195,154,566,550,82,92
SMLT_RS05690,2420,2613,4133,4260,3066,2452,5577,1593,2510,2274,3474,3419
SMLT_RS05705,54,39,12,22,25,35,13,9,81,84,17,17
SMLT_RS05715,132,117,46,65,112,108,38,18,155,123,38,60
SMLT_RS05725,164,190,182,205,108,75,72,46,238,196,229,164
SMLT_RS05730,178,126,104,105,174,158,106,62,371,410,174,175
SMLT_RS05735,30,27,19,32,40,40,30,20,99,108,27,49
SMLT_RS05745,793,740,115,184,400,483,72,22,1002,673,162,128
SMLT_RS05750,229,170,22,21,161,176,28,25,299,230,60,80
SMLT_RS05755,481,580,312,328,765,713,330,188,715,618,298,326
SMLT_RS05760,5591,5367,5572,5875,3257,2621,2580,1761,4496,4937,4275,4795
SMLT_RS05765,4852,4517,155,258,3464,2890,525,262,680,484,157,132
SMLT_RS05770,6894,6988,366,406,3538,2968,515,224,1319,958,400,379
SMLT_RS05775,1125,1053,61,78,666,605,77,49,257,181,94,76
SMLT_RS05780,2774,2545,156,168,1559,1366,178,148,608,437,198,222
SMLT_RS05785,1055,975,229,197,423,334,166,124,164,112,109,112
SMLT_RS05790,2200,2004,455,449,1127,902,360,266,281,180,241,216
SMLT_RS05795,1377,1500,298,333,612,554,213,164,175,137,182,193
SMLT_RS05800,1978,1786,357,425,887,756,412,165,178,107,269,232
SMLT_RS05810,606,598,277,403,541,479,371,261,579,525,315,269
SMLT_RS05815,102,61,65,75,119,95,79,33,138,169,69,76
SMLT_RS05820,423,394,280,376,399,342,235,127,425,464,280,304
SMLT_RS05830,87,107,31,32,920,391,19,4,73,63,18,33
SMLT_RS05835,34,48,14,13,326,112,2,2,26,25,10,14
SMLT_RS05840,90,111,115,115,1371,633,63,49,89,101,28,32
SMLT_RS05850,69,70,56,85,21,21,27,3,81,75,30,60
SMLT_RS05855,417,402,221,264,346,234,167,84,583,531,170,200
SMLT_RS05865,174,285,135,175,160,193,125,67,319,305,144,87
SMLT_RS05870,763,1142,767,844,738,716,432,261,1172,1147,604,510
SMLT_RS05875,226,223,236,297,197,190,245,79,546,593,430,419
SMLT_RS05880,21,18,4,3,9,11,7,0,38,33,6,11
SMLT_RS05885,45,29,12,19,10,8,5,6,86,78,28,30
SMLT_RS05890,9,7,11,2,31,30,1,0,23,10,1,4
SMLT_RS05895,19,23,1,5,30,31,7,0,36,32,11,4
SMLT_RS05900,4,3,3,3,2,5,2,0,12,4,4,1
SMLT_RS05910,42,22,15,23,10,10,12,0,127,131,29,34
SMLT_RS05915,173,179,109,106,231,185,130,38,367,301,153,156
SMLT_RS05920,281,325,187,244,304,341,157,94,550,594,219,240
SMLT_RS05925,116,99,100,181,229,226,231,167,602,549,207,239
SMLT_RS05930,124,135,207,229,339,252,73,89,247,291,84,92
SMLT_RS05935,1244,1340,3303,3781,1257,1065,2987,1818,1922,1599,2839,3017
SMLT_RS05945,375,415,308,343,518,412,551,185,692,592,409,432
SMLT_RS05950,550,516,76,51,315,295,44,36,159,124,36,31
SMLT_RS05955,100,89,28,22,42,57,23,14,25,28,25,24
SMLT_RS05965,127,89,46,55,18,14,9,13,27,36,35,26
SMLT_RS05970,198,113,62,78,67,62,34,46,36,29,46,39
SMLT_RS05975,509,343,166,196,168,183,167,144,96,75,133,100
SMLT_RS05980,140,89,38,68,52,52,48,27,28,19,36,25
SMLT_RS05985,1373,858,354,546,573,453,678,370,264,136,205,204
SMLT_RS05990,56,49,23,22,83,58,38,17,107,93,30,28
SMLT_RS05995,1319,2125,1434,1273,4207,2620,1347,680,1215,1251,1573,1838
SMLT_RS06010,203,193,151,186,191,175,163,125,304,290,184,163
SMLT_RS06015,12,13,3701,2826,15,12,1464,1455,55,83,1977,1286
SMLT_RS06025,613,602,1158,1171,453,367,922,433,644,685,1341,1154
SMLT_RS06030,116,127,83,90,78,66,50,28,272,367,163,208
SMLT_RS06040,3559,3826,2558,2354,3042,2552,1359,619,3436,2910,3199,3292
SMLT_RS06050,462,499,451,464,398,340,362,206,675,544,593,535
SMLT_RS06060,3945,4167,5234,5408,4264,3562,4065,2111,3198,2868,2781,2712
SMLT_RS06065,8258,9143,10666,11029,8002,6798,7058,4613,6515,5485,5640,5488
SMLT_RS06075,6357,6558,5695,5532,5532,4506,4306,1735,3909,3383,3053,3221
SMLT_RS06080,1014,821,438,598,621,624,293,167,972,965,330,370
SMLT_RS06085,1428,1369,614,781,1083,1057,583,270,1356,1287,434,441
SMLT_RS06090,38581,45903,43038,44547,50317,38009,31521,15690,23053,20345,47684,38682
SMLT_RS06095,172,170,215,251,223,152,223,84,176,164,175,146
SMLT_RS06105,423,482,267,309,971,822,256,189,780,593,238,241
SMLT_RS06110,164,175,84,104,443,417,109,109,302,211,93,112
SMLT_RS06115,807,932,357,368,1673,1407,323,278,1398,937,323,369
SMLT_RS06120,1573,1894,750,693,6307,5179,1034,762,2725,1807,758,806
SMLT_RS06125,961,1183,902,970,1271,1108,562,352,862,814,1121,1071
SMLT_RS06135,431,406,305,312,545,505,509,263,904,813,441,573
SMLT_RS06140,3093,2725,588,957,224,281,39,24,6340,3402,751,579
SMLT_RS06145,234,250,79,125,407,437,192,111,428,435,143,144
SMLT_RS06150,457,579,509,508,291,268,278,163,710,603,438,564
SMLT_RS06155,1581,1752,2122,2246,2469,1906,2404,1146,2184,1834,1890,1929
SMLT_RS06160,1160,1391,1582,2003,991,796,578,440,998,759,1192,1149
SMLT_RS06165,305,331,158,162,680,527,272,210,900,753,216,208
SMLT_RS06170,170,246,405,467,438,392,528,422,624,753,717,744
SMLT_RS06175,835,1030,1171,1290,1162,855,850,564,1193,1272,1317,1291
SMLT_RS06180,5960,7492,9062,9836,8067,6810,5547,4299,8408,8170,9265,10263
SMLT_RS06185,47212,33365,68524,63537,36830,28668,58883,31805,18089,17052,56549,58249
SMLT_RS06190,31002,22703,43763,39964,12842,10109,18719,8117,11736,11093,35600,38200
SMLT_RS06195,2359,2398,4414,4276,3013,2697,5392,4251,1881,2070,3877,4883
SMLT_RS06420,14948,14805,19519,16739,7764,5803,12873,3794,5960,6117,15713,12848
SMLT_RS06430,1767,1894,3134,3526,1759,1613,2475,1376,1524,1471,2588,2393
SMLT_RS06435,7861,8951,13001,14776,8536,7440,9180,5816,7837,7016,11537,11775
SMLT_RS06440,611,719,1045,1057,620,598,851,337,758,711,1103,1058
SMLT_RS06445,3414,3639,4594,5105,3226,2898,3353,2180,4263,3976,4554,4570
SMLT_RS06450,1014,952,648,776,472,634,192,157,870,707,523,563
SMLT_RS06455,247,234,147,129,82,125,30,13,184,164,88,95
SMLT_RS06460,237,204,319,295,161,125,192,81,301,253,345,361
SMLT_RS06465,320,307,322,417,148,117,174,94,326,300,422,409
SMLT_RS06470,681,687,589,748,739,606,484,241,917,892,633,675
SMLT_RS06475,829,891,699,920,1582,1272,757,606,1330,1296,812,798
SMLT_RS22535,1189,1126,753,841,1580,1119,984,451,1793,1757,1047,1225
SMLT_RS06485,317,460,974,1408,607,828,1259,1519,1829,1746,9529,17402
SMLT_RS06490,392,424,230,307,563,561,262,198,1051,968,506,593
SMLT_RS06515,266,292,168,215,109,112,90,38,628,656,297,290
SMLT_RS06525,117,126,44,64,253,206,111,73,190,204,37,50
SMLT_RS06530,472,566,193,201,1183,958,464,265,822,695,121,176
SMLT_RS06535,29237,29060,47022,48500,14938,9346,22204,10728,23159,17039,37447,34902
SMLT_RS06545,16466,17146,22468,24376,8404,4956,12097,3831,17255,12108,21140,20430
SMLT_RS06550,3129,3199,4527,5228,1422,814,2382,519,3267,2422,4856,4180
SMLT_RS06555,1339,1373,648,810,579,560,409,280,875,877,594,667
SMLT_RS06560,1007,1053,1007,1134,1264,1277,760,743,3020,3283,1700,1985
SMLT_RS06565,1432,1686,1154,1583,1787,1703,1197,755,2204,2296,1171,1246
SMLT_RS06570,2387,2555,2401,3233,3462,3109,2693,3326,4649,4388,2439,2367
SMLT_RS06580,206,208,302,292,238,200,545,136,141,139,332,313
SMLT_RS06585,5985,6322,9741,9750,5545,4513,6839,5327,5777,5076,6804,7653
SMLT_RS06590,1025,1222,938,1141,1131,1167,717,696,1213,1084,680,791
SMLT_RS06595,403,473,418,432,373,396,241,153,484,436,290,331
SMLT_RS06600,7362,5925,16077,11817,5182,4471,9725,5404,2117,3435,12213,9849
SMLT_RS06605,2549,2849,5446,5572,1842,1774,2938,2793,1841,1986,6567,6164
SMLT_RS06610,1233,1399,2247,2254,900,876,1189,782,1051,1234,2807,2812
SMLT_RS06615,18476,17982,29188,23903,14582,11848,22129,10110,13297,13289,34547,34516
SMLT_RS06620,130,142,177,253,183,164,346,140,317,402,344,304
SMLT_RS06625,1545,1377,341,465,1323,1323,545,263,1243,1053,431,376
SMLT_RS06630,1184,1160,332,397,1429,1290,445,271,857,853,226,205
SMLT_RS06635,622,713,312,254,1109,853,250,120,344,287,237,181
SMLT_RS06645,855,803,236,335,563,588,323,208,721,711,138,206
SMLT_RS06650,1013,1520,532,479,4762,3314,231,286,857,702,186,205
SMLT_RS06665,2840,3336,3989,4985,2856,2413,2987,1977,1745,1595,2070,2325
SMLT_RS06725,7195,7231,416,536,4597,2608,470,318,728,636,296,326
SMLT_RS06730,7909,7463,6155,5209,4770,3448,1051,634,2044,2410,599,593
SMLT_RS06735,282,342,373,455,564,456,287,155,321,292,235,193
SMLT_RS06740,325,372,425,498,751,601,370,136,379,330,243,231
SMLT_RS06745,718,741,714,993,2483,1944,1547,1069,616,664,412,387
SMLT_RS06755,188,162,121,160,178,152,176,76,247,252,119,127
SMLT_RS06760,13,10,23,29,10,9,40,14,13,26,24,17
SMLT_RS06765,424,571,482,533,748,659,469,360,1076,1108,580,808
SMLT_RS06770,290,295,189,214,477,336,363,185,490,560,393,427
SMLT_RS06775,277,295,82,116,493,387,192,106,278,246,97,113
SMLT_RS06780,2154,2230,18,25,1559,1440,19,9,1699,1678,25,22
SMLT_RS06785,8095,8957,19,82,7219,6870,49,37,5942,5091,54,51
SMLT_RS06790,30836,33357,95,203,22735,23098,157,81,13789,11403,131,138
SMLT_RS06795,6709,6356,23,59,6156,6701,47,6,2702,2706,21,28
SMLT_RS06800,1306,1325,18,35,798,836,34,7,1133,1214,35,24
SMLT_RS06805,767,940,6,9,342,358,10,1,737,740,9,17
SMLT_RS06810,1359,1702,11,28,1160,1106,29,14,1228,1079,27,18
SMLT_RS06820,1477,1417,383,462,1176,996,360,166,919,819,289,256
SMLT_RS06850,59,78,83,69,212,121,119,70,107,86,96,168
SMLT_RS06860,519,685,332,327,752,676,380,202,2052,2224,724,386
SMLT_RS06865,29,44,69,63,125,78,59,31,67,85,51,31
SMLT_RS06870,4899,4511,5904,6084,2791,2306,2504,1706,4231,3846,5892,5689
SMLT_RS06875,8343,9494,5656,6645,2818,2662,1688,1195,5345,3785,3207,3852
SMLT_RS06880,109,145,321,253,86,69,321,127,136,169,309,295
SMLT_RS06885,4792,5468,9010,9484,4576,3800,7270,4000,4680,4181,6950,7682
SMLT_RS06890,7319,8797,3727,4548,5887,4683,3037,1512,3568,2913,1224,1203
SMLT_RS06895,688,756,749,797,850,714,723,331,951,872,861,878
SMLT_RS06905,362,329,272,270,470,399,323,158,578,589,361,298
SMLT_RS06910,140,157,62,61,105,110,32,26,293,303,85,84
SMLT_RS06915,212,136,90,95,75,74,29,33,236,302,54,66
SMLT_RS06925,5365,5677,11006,14066,5873,5013,10340,7563,7434,6512,8651,8501
SMLT_RS06930,3773,3292,6178,6271,3538,2854,3956,2309,3390,3768,4265,4019
SMLT_RS06935,361,348,751,820,789,523,391,244,574,507,440,383
SMLT_RS06940,296,288,472,790,679,498,430,148,542,511,343,304
SMLT_RS06950,1684,1805,1222,1317,2960,1828,1218,679,4734,4893,1208,1985
SMLT_RS06955,385,443,312,277,464,351,399,154,574,688,298,301
SMLT_RS06960,2231,2099,2534,2687,1785,1258,2174,978,902,1062,2246,1881
SMLT_RS06965,1400,1337,5225,6351,1055,958,3320,2202,2199,2187,4563,3777
SMLT_RS06980,1410,1624,1202,1448,933,803,1050,635,1636,1773,1027,876
SMLT_RS06985,1205,1282,737,682,2117,1537,484,268,1559,1359,484,497
SMLT_RS06995,575,591,488,548,667,516,187,124,565,518,281,249
SMLT_RS07000,4101,4647,15498,19792,4558,3569,12146,10076,18608,9412,9201,8655
SMLT_RS07005,137,96,58,71,63,65,56,42,54,62,78,52
SMLT_RS07010,11904,12717,11010,11559,7705,7887,6350,5507,6553,6634,6589,6282
SMLT_RS07015,685,755,492,604,2472,1750,438,374,964,1027,205,243
SMLT_RS07020,307,404,593,583,410,349,443,304,852,895,552,591
SMLT_RS07025,1108,1095,2553,2508,881,684,2660,1245,877,755,2349,1939
SMLT_RS07030,1192,1263,1674,1814,804,798,1386,706,1369,1456,1754,1600
SMLT_RS07040,289,305,425,523,321,229,398,157,278,283,429,396
SMLT_RS07045,261,411,207,158,1699,1112,32,45,356,401,42,44
SMLT_RS07050,388,491,243,203,2059,1241,90,37,395,529,75,64
SMLT_RS07055,1310,1271,743,921,1675,1461,516,342,1980,1674,619,685
SMLT_RS07060,1423,1330,1026,1198,1161,1134,527,366,1560,1505,646,548
SMLT_RS07065,354,358,282,336,204,260,116,89,400,437,205,152
SMLT_RS07070,168,173,69,59,519,447,25,9,98,121,43,25
SMLT_RS07075,8227,7409,3933,4844,4638,4379,1362,870,5354,4103,3210,2946
SMLT_RS07080,869,839,358,434,609,578,305,190,1146,1077,364,365
SMLT_RS07085,1150,1233,547,758,1068,1111,428,543,2396,2061,578,610
SMLT_RS07095,193,193,124,169,178,146,72,20,192,148,108,111
SMLT_RS07115,546,687,322,342,1006,736,215,147,990,812,286,369
SMLT_RS07120,31,26,19,19,34,30,21,15,88,72,24,26
SMLT_RS07125,236,189,154,207,289,302,153,94,554,550,215,190
SMLT_RS07130,1151,2148,2130,2261,1034,763,2866,1155,1519,1884,1834,1598
SMLT_RS07135,216,297,132,117,245,212,99,38,313,364,184,157
SMLT_RS07140,237,181,250,188,159,113,210,58,165,172,375,268
SMLT_RS07145,7364,7369,5105,5143,7894,6261,5312,3109,5784,5011,5826,5671
SMLT_RS07155,2950,2848,3808,4759,2786,2609,3864,2315,4416,3965,4435,4066
SMLT_RS07160,651,767,711,849,693,644,448,252,1131,997,733,730
SMLT_RS07165,2095,2330,2410,2961,2170,1919,1932,1168,3237,2920,2382,2777
SMLT_RS07170,2086,2560,2019,2424,2432,1959,1476,857,2724,2245,1990,2338
SMLT_RS07175,2458,2596,1939,2232,2000,1725,1476,784,2547,2223,1874,2122
SMLT_RS07180,5586,6231,4777,5458,5749,4734,3477,2220,6607,5182,4443,5141
SMLT_RS07190,3760,4735,3147,3201,3963,3100,1849,922,3534,3207,2506,2559
SMLT_RS07195,2050,2708,2389,2495,1336,1305,1463,717,1750,1622,2053,2245
SMLT_RS07200,1834,2123,2828,2441,1555,1401,1708,1277,1720,1496,2146,2610
SMLT_RS07205,4476,4863,6221,6562,3658,3038,3794,2300,3706,3275,4737,5338
SMLT_RS07210,13562,13464,13883,14396,9738,7611,11337,7059,8075,6993,9827,10139
SMLT_RS07215,2515,2279,3198,3215,3546,2592,2730,1562,1844,1761,3078,2865
SMLT_RS07220,3156,3478,2850,3429,3744,3180,3458,1626,5216,4547,2451,2640
SMLT_RS07225,13748,12507,38141,37824,12523,9148,30694,18867,10916,10083,44089,45349
SMLT_RS07230,13322,12756,26813,29232,11587,8936,17904,8583,9495,7813,25305,28413
SMLT_RS07235,397,368,242,254,150,108,165,62,175,188,237,264
SMLT_RS07240,2285,1839,887,1033,171,105,218,192,334,214,726,753
SMLT_RS07245,89,113,74,43,328,170,16,12,53,41,22,19
SMLT_RS07260,871,908,190,242,7570,4532,168,161,204,150,26,35
SMLT_RS07270,3386,3747,5151,5530,2341,2123,2732,1439,3322,2982,4065,4228
SMLT_RS07275,4135,4607,4528,5020,4943,4044,2994,2710,4280,4012,3498,3666
SMLT_RS07285,772,821,774,818,688,586,526,166,944,839,995,874
SMLT_RS07290,2587,2791,2332,2686,2689,2247,1498,1336,3835,3635,2561,2728
SMLT_RS07295,1470,2043,3351,1085,2353,2227,229,1036,3262,3084,4582,7524
SMLT_RS07300,207,209,170,265,301,300,221,124,801,815,554,501
SMLT_RS07305,1009,1104,623,549,1283,1133,435,234,416,354,353,509
SMLT_RS07310,28867,29357,29821,31819,14397,13528,32920,27861,60884,53133,39277,20653
SMLT_RS07315,5731,6646,9933,12226,6503,5295,8910,6110,5268,4267,8723,8442
SMLT_RS07325,158,242,235,283,132,125,289,208,147,152,261,315
SMLT_RS07330,484,725,720,832,423,364,662,466,533,467,716,888
SMLT_RS07335,468,735,821,951,452,438,841,376,479,411,813,934
SMLT_RS07340,897,970,1321,1458,674,613,1130,445,1218,1241,1569,1644
SMLT_RS07345,14,19,8,22,9,7,9,2,34,34,19,8
SMLT_RS07355,191,177,166,174,286,190,183,56,150,184,164,132
SMLT_RS07380,311,353,540,429,713,513,396,260,446,406,380,319
SMLT_RS07385,1139,1294,1663,1535,926,733,679,716,979,957,1239,1472
SMLT_RS07395,580,650,349,406,622,573,220,157,1061,990,448,497
SMLT_RS07400,579,674,284,365,608,574,454,346,1105,872,372,427
SMLT_RS07405,1121,1093,802,1019,1175,965,935,449,1427,1222,1048,913
SMLT_RS07410,706,863,1057,1296,987,908,892,814,1354,1315,1070,1124
SMLT_RS07415,936,876,954,1030,558,592,542,424,1860,1876,1202,1246
SMLT_RS07425,4656,4742,1714,1641,19,11,0,1,47,53,17,13
SMLT_RS07430,20101,21480,8161,8029,194,179,25,19,624,518,123,70
SMLT_RS07435,67757,75871,25648,26443,536,400,40,12,1367,1000,264,172
SMLT_RS07440,115232,98235,48426,47618,1582,1159,106,54,1329,1064,507,378
SMLT_RS07445,288,2057,201,216,848,296,84,41,22281,18794,9784,138
SMLT_RS07455,33,685,30,33,428,137,27,11,5149,4095,2270,27
SMLT_RS07460,42,1155,30,27,588,167,37,3,6809,5475,3092,24
SMLT_RS07465,263,5893,187,226,4912,1630,362,114,47214,40138,17744,208
SMLT_RS07470,84,459,60,83,472,704,121,33,34925,29513,5482,45
SMLT_RS07475,162,1122,86,84,1077,879,169,45,32621,25877,13913,119
SMLT_RS07480,605,805,677,653,886,837,384,461,621,608,546,578
SMLT_RS07510,382,363,333,387,337,306,341,204,613,666,331,365
SMLT_RS07520,1672,1796,2407,2496,1603,1323,1534,1282,2147,2080,2369,2516
SMLT_RS07525,15,16,15,4,10,25,9,4,37,39,10,9
SMLT_RS07530,28,39,37,35,108,94,58,41,65,84,32,57
SMLT_RS07540,290,281,394,481,458,434,440,243,692,810,458,393
SMLT_RS07545,374,403,2063,2456,408,302,1201,1422,495,482,1848,1876
SMLT_RS07550,440,402,200,260,951,714,257,129,721,657,198,186
SMLT_RS07555,320,369,353,385,1481,993,281,241,638,582,141,145
SMLT_RS07565,1103,1273,229,301,2364,1786,398,151,2363,2608,583,446
SMLT_RS07570,1058,920,569,1105,1457,1005,1498,318,18841,8069,2335,2062
SMLT_RS07575,899,937,691,825,274,186,570,300,267,210,498,569
SMLT_RS07585,716,734,336,440,838,734,621,293,1299,1244,462,475
SMLT_RS07590,447,487,612,685,949,817,762,365,728,731,395,428
SMLT_RS07595,426,393,192,280,605,589,429,255,1164,1119,244,281
SMLT_RS07600,1151,1204,815,961,2338,2166,977,555,2374,2004,600,623
SMLT_RS07605,5917,5549,4087,4368,6336,4775,3683,1778,5169,4292,4152,3988
SMLT_RS07615,1715,1670,1684,1916,2247,1748,1310,1038,1979,1804,2022,1819
SMLT_RS07620,723,755,719,731,854,794,680,352,726,606,842,789
SMLT_RS07625,695,764,735,808,694,578,587,299,897,897,926,763
SMLT_RS07630,1018,1138,1919,2244,2501,1796,1416,953,1104,1070,840,800
SMLT_RS07635,954,1105,816,768,1137,1003,592,263,1422,1362,857,762
SMLT_RS07640,1275,2007,1878,1624,1940,1813,1227,626,1813,1848,1871,1746
SMLT_RS07645,6883,8665,6225,5937,8369,6877,5617,3050,7364,6220,6565,5768
SMLT_RS07650,181,186,161,173,370,303,173,110,343,327,176,192
SMLT_RS07655,109,110,88,106,351,322,182,126,212,254,105,108
SMLT_RS07660,453,597,611,715,1159,905,672,590,1188,1199,709,761
SMLT_RS07665,1715,2051,1823,2066,5168,3792,2107,1717,2882,2505,1450,1326
SMLT_RS07670,2970,3366,3589,4160,7368,5348,4396,2211,4101,3863,3497,3106
SMLT_RS07675,298,309,765,988,942,644,1476,1355,1557,902,699,586
SMLT_RS07680,112,107,355,399,291,179,432,338,386,279,332,257
SMLT_RS07685,46,75,257,249,198,136,286,141,213,182,266,246
SMLT_RS07690,3629,3288,4880,4753,2540,1985,3451,2317,2509,2552,4636,4462
SMLT_RS07695,64,83,39,42,104,113,43,45,846,936,174,174
SMLT_RS07700,155,197,464,462,198,148,198,86,386,372,375,380
SMLT_RS07705,533,482,312,360,312,289,170,74,887,745,492,463
SMLT_RS07710,8287,7653,2253,2410,8427,6652,2412,917,10937,8177,2434,2080
SMLT_RS07715,8851,8354,2343,2801,9735,7911,1897,762,10025,6885,1596,1296
SMLT_RS07720,7681,7347,3429,4256,10559,8911,2833,1854,9288,7140,2372,1921
SMLT_RS07725,5454,5592,3167,3717,6808,5259,3901,1367,9331,7060,3183,2752
SMLT_RS07730,3941,4168,4279,4649,3542,3066,3382,1819,4491,3914,4001,3566
SMLT_RS07740,458,499,486,668,1678,1131,446,166,367,325,207,206
SMLT_RS07745,2033,2379,2367,2551,1549,1321,1211,934,2185,1812,1864,2006
SMLT_RS07750,2916,2876,2248,2279,2662,2261,2103,1907,2505,2019,1518,1709
SMLT_RS07755,1992,2038,3017,3119,1836,1606,2534,1539,2228,2385,2521,2630
SMLT_RS07760,2276,2793,3680,4065,2127,1886,2156,1447,3109,2968,3171,3375
SMLT_RS07765,700,698,667,572,624,439,252,132,795,753,537,566
SMLT_RS07770,1179,1378,843,969,1615,1279,911,443,1622,1504,680,755
SMLT_RS07780,1346,1430,1136,1195,1202,1125,840,484,1703,1670,912,914
SMLT_RS07785,25057,23891,83091,83713,7147,2643,34800,16321,118629,101864,129205,111303
SMLT_RS07790,5891,6739,3009,3723,7143,6459,2538,1700,7274,6446,3123,3372
SMLT_RS07795,2218,1971,841,722,1557,1249,786,345,3158,2509,1587,1660
SMLT_RS07800,3198,2693,955,888,1843,1457,729,245,4110,3040,1644,1669
SMLT_RS07805,5861,5633,1943,1815,3402,2970,1409,624,8718,6631,3242,3348
SMLT_RS07810,2576,2519,845,822,1344,1235,563,263,3818,3035,1331,1431
SMLT_RS07815,36177,36472,10883,12376,13746,12349,5598,3636,52665,39163,17590,18100
SMLT_RS07830,10,15,9,10,6,6,7,1,37,41,11,9
SMLT_RS07835,4820,5318,6843,8139,5728,4592,6650,3416,6352,5687,4523,4222
SMLT_RS07860,445,541,148,107,2039,1567,341,124,1489,1328,224,249
SMLT_RS07865,246,189,90,123,6618,5923,2007,1494,127,96,42,33
SMLT_RS07870,401,308,199,253,20845,19731,7056,7338,216,162,66,71
SMLT_RS07875,178,164,140,174,670,605,349,221,375,388,198,202
SMLT_RS07880,316,299,207,284,947,978,448,216,791,763,292,331
SMLT_RS07885,216,178,138,175,315,385,248,201,750,794,278,315
SMLT_RS07890,2223,2339,2249,2360,2395,2208,2012,1607,2177,2336,2062,2138
SMLT_RS07895,698,722,967,869,726,607,611,293,687,637,783,844
SMLT_RS07900,3171,3703,5589,5452,3397,2841,3875,2142,3573,3622,4684,4632
SMLT_RS07905,573,724,1005,1159,687,611,708,528,998,935,990,1136
SMLT_RS07910,370,457,614,734,383,407,348,226,568,588,569,661
SMLT_RS07915,174,222,358,440,209,202,213,144,286,290,308,379
SMLT_RS07920,2061,2103,2355,2966,2256,2255,1574,950,3100,2752,1948,1978
SMLT_RS07925,1577,1749,2412,2857,2308,2225,1619,974,2494,2268,1973,2047
SMLT_RS07930,612,625,861,795,580,626,704,373,891,1035,803,825
SMLT_RS07940,3,1,2,6,9,9,22,7,36,33,14,14
SMLT_RS07950,1637,2558,213,299,2680,3618,307,204,3739,4488,500,597
SMLT_RS07955,456,634,76,106,652,954,115,55,1131,1359,221,189
SMLT_RS07960,883,1213,176,233,1287,1567,219,162,2188,2738,407,424
SMLT_RS07965,1138,1499,186,261,1757,1938,244,169,2688,2985,500,497
SMLT_RS07970,134,125,91,103,134,123,77,21,194,194,111,131
SMLT_RS07975,117,163,86,92,109,86,53,15,192,172,93,90
SMLT_RS08000,15,24,8,7,27,26,11,4,36,42,9,15
SMLT_RS08035,185,182,115,105,137,126,150,89,220,238,94,97
SMLT_RS08040,614,482,150,151,254,223,143,75,427,468,129,159
SMLT_RS08045,545,553,125,192,640,670,302,184,710,682,181,193
SMLT_RS08050,209,191,124,158,304,394,196,147,775,977,150,135
SMLT_RS08055,24,14,8,8,11,15,7,2,19,20,5,6
SMLT_RS08070,1166,1063,124,172,1929,1803,275,123,740,520,114,82
SMLT_RS08075,421,432,98,94,263,290,172,54,555,577,138,166
SMLT_RS08080,219,276,522,591,332,242,438,267,291,310,407,433
SMLT_RS08085,162,152,113,115,433,301,258,188,401,357,129,143
SMLT_RS08090,119,125,118,106,335,215,222,116,205,149,95,94
