,CAB1,CAB2,CAB3,Fnp1,Fnp2,Fnp3
AT688_RS00750,34,26,30,259,188,323
AT688_RS00755,34,26,28,133,118,135
AT688_RS00760,278,168,191,1074,998,1299
AT688_RS00765,389,224,276,1649,1194,1582
AT688_RS00770,16,17,15,100,126,112
AT688_RS00775,229,111,122,356,241,386
AT688_RS00780,81,49,63,304,204,361
AT688_RS00785,149,102,125,814,631,871
AT688_RS00790,93,55,87,484,437,563
AT688_RS00795,11,6,10,105,56,98
AT688_RS00800,50,23,60,247,229,237
AT688_RS00805,9,9,9,47,35,55
AT688_RS00810,8,3,17,51,36,73
AT688_RS00815,14,8,11,20,6,19
AT688_RS00820,4,1,3,17,5,11
AT688_RS00825,201,120,132,770,706,906
AT688_RS00830,12,6,18,133,103,179
AT688_RS00835,25,14,20,186,136,168
AT688_RS00840,67,28,48,238,143,234
AT688_RS00845,53,28,60,169,131,162
AT688_RS00850,117,53,71,206,97,160
AT688_RS00855,27,19,19,95,76,91
AT688_RS00890,3,0,1,7,6,7
AT688_RS00895,11,7,9,37,23,54
AT688_RS00900,16,1,0,46,25,81
AT688_RS00905,0,0,0,1,0,5
AT688_RS00910,0,0,0,0,1,0
AT688_RS00915,11,6,14,41,34,36
AT688_RS00920,0,0,0,7,4,0
AT688_RS00925,289,127,167,794,503,736
AT688_RS00930,19,11,21,41,33,58
AT688_RS00955,0,0,0,1,0,0
AT688_RS00960,14,15,17,70,53,123
AT688_RS00965,3,0,1,7,10,19
AT688_RS00970,84,41,58,399,259,439
AT688_RS00975,173,100,137,576,522,640
AT688_RS00980,10,5,18,45,38,50
AT688_RS00985,0,1,0,33,18,23
AT688_RS00990,2,0,0,13,17,10
AT688_RS00995,5,4,6,51,17,39
AT688_RS01000,126,75,133,464,315,452
AT688_RS01005,7,4,6,9,6,10
AT688_RS01010,85,60,62,145,127,136
AT688_RS01015,60,29,35,121,76,110
AT688_RS01020,9,8,11,70,49,114
AT688_RS01025,369,235,266,1160,930,1242
AT688_RS01030,10,7,14,46,56,37
AT688_RS01035,6282,3907,4742,21688,15751,18566
AT688_RS01040,742,233,304,1499,748,1387
AT688_RS01045,18212,11079,16296,41508,30937,38102
AT688_RS01050,43,14,23,157,88,138
AT688_RS01055,762,299,413,1931,1392,1947
AT688_RS01060,1037,718,970,3223,2821,3487
AT688_RS01080,37,18,27,99,78,149
AT688_RS01085,5,0,0,12,13,14
AT688_RS01090,13,3,4,31,10,27
AT688_RS01095,28,18,20,100,80,131
AT688_RS01100,27,17,21,120,85,126
AT688_RS01105,19,5,16,63,25,49
AT688_RS01110,579,482,673,1721,1439,1878
AT688_RS01115,0,0,1,10,3,5
AT688_RS01125,3,2,2,14,18,19
AT688_RS01135,0,0,0,0,2,2
AT688_RS01145,0,0,0,2,4,2
AT688_RS01150,3,0,0,3,0,0
AT688_RS01155,0,0,0,0,0,0
AT688_RS01160,2,0,1,13,10,11
AT688_RS01165,1,0,0,0,0,0
AT688_RS01170,92,49,56,379,242,396
AT688_RS01175,172,122,154,1331,962,1140
AT688_RS01180,506,295,395,2402,1880,2424
AT688_RS01185,340,178,224,1487,1035,1260
AT688_RS01190,597,419,527,2134,2185,2287
AT688_RS01195,375,201,304,1179,843,1255
AT688_RS01200,256,132,178,473,312,474
AT688_RS01205,750,424,547,1519,1085,1496
AT688_RS01210,37,30,22,203,172,233
AT688_RS01215,424,298,374,1898,1961,2199
AT688_RS01220,232,147,171,1409,1186,1530
AT688_RS01225,2,2,3,35,50,48
AT688_RS01230,230,160,194,998,834,1130
AT688_RS01235,665,384,422,2342,1738,2409
AT688_RS01240,668,547,766,3421,3038,4064
AT688_RS01245,185,150,160,916,809,1015
AT688_RS01250,557,387,455,3526,3028,3573
AT688_RS01255,5,4,3,69,43,79
AT688_RS01260,318,205,238,597,342,516
AT688_RS01265,413,281,278,2039,1554,2024
AT688_RS01270,585,401,542,1725,1343,1745
AT688_RS01280,451,313,432,2507,2271,2924
AT688_RS11900,32,23,27,28,33,45
AT688_RS11905,40,27,21,45,28,44
AT688_RS01290,2,0,1,11,7,15
AT688_RS01295,96,56,73,422,315,440
AT688_RS01300,57,35,42,330,267,362
AT688_RS01305,66,55,101,299,238,323
AT688_RS01310,7,6,3,16,19,12
AT688_RS01315,7,1,12,46,29,47
AT688_RS01320,10,4,2,19,5,16
AT688_RS01325,7,3,4,27,19,29
AT688_RS01330,3,0,1,8,2,2
AT688_RS01335,13,7,12,70,59,66
AT688_RS01340,5,0,1,6,6,10
AT688_RS01345,33,22,22,134,91,104
AT688_RS01350,19,20,21,74,48,68
AT688_RS01355,21,4,15,28,12,24
AT688_RS01360,5,1,0,5,6,4
AT688_RS01365,6,4,5,45,38,61
AT688_RS01370,660,354,438,2491,1761,2315
AT688_RS01375,98,72,114,662,444,626
AT688_RS01450,226,128,165,448,330,464
AT688_RS01455,349,197,212,678,465,717
AT688_RS01460,127,48,106,215,132,233
AT688_RS01465,409,228,258,1446,985,1367
AT688_RS01470,78,47,74,250,196,248
AT688_RS01485,0,0,0,2,0,0
AT688_RS01490,0,0,0,2,0,0
AT688_RS01495,0,0,2,7,3,4
AT688_RS01500,0,0,0,0,0,0
AT688_RS01505,0,0,0,0,1,2
AT688_RS01510,0,0,1,9,4,3
AT688_RS01515,3,0,2,3,1,4
AT688_RS01520,0,0,0,1,0,0
AT688_RS01525,7,3,5,58,52,52
AT688_RS01530,69,31,46,588,450,591
AT688_RS01535,1862,1037,1411,11607,8736,13242
AT688_RS01540,555,379,407,2755,2639,3483
AT688_RS01545,120,64,76,581,535,720
AT688_RS01550,673,399,496,2653,2074,2992
AT688_RS01555,271,131,142,949,602,972
AT688_RS01560,3112,2144,2537,10513,9192,11395
AT688_RS01565,2492,1753,2132,14608,12670,16545
AT688_RS01570,665,524,617,4111,3925,4607
AT688_RS01575,29,9,15,130,84,167
AT688_RS01580,16,7,4,115,112,128
AT688_RS01585,12,13,14,81,57,90
AT688_RS01590,117,76,107,896,823,1038
AT688_RS01595,11,5,9,72,71,80
AT688_RS01600,11,7,4,55,39,50
AT688_RS01605,127,95,100,585,454,586
AT688_RS01610,86,77,97,522,463,575
AT688_RS01615,51,31,50,335,242,336
AT688_RS01620,4,2,4,47,27,36
AT688_RS01625,79,38,61,390,289,392
AT688_RS01630,9,12,10,48,44,55
AT688_RS01635,3,2,2,6,12,19
AT688_RS01640,325,180,221,911,589,851
AT688_RS01645,1373,716,953,7174,5066,6806
AT688_RS01650,43,22,13,175,135,146
AT688_RS01655,214,89,142,1306,967,1166
AT688_RS01660,309,203,249,1923,1493,2033
AT688_RS01665,311,184,278,1687,1402,1923
AT688_RS01675,19,14,17,98,89,76
AT688_RS01680,16,13,12,79,89,88
AT688_RS01685,12,2,3,34,21,40
AT688_RS01690,39,18,30,187,194,216
AT688_RS01695,5,3,2,52,45,40
AT688_RS01700,0,2,6,45,20,52
AT688_RS01705,61,22,49,497,383,522
AT688_RS01710,29,20,20,190,183,239
AT688_RS01715,42,29,49,390,378,385
AT688_RS01720,58,68,54,427,371,499
AT688_RS01725,29,28,34,368,299,390
AT688_RS01730,2,2,1,14,13,29
AT688_RS01735,37,16,33,155,171,184
AT688_RS01740,10,3,16,42,44,57
AT688_RS01745,30,20,36,232,200,266
AT688_RS01750,91,36,82,569,426,592
AT688_RS01755,79,37,59,253,236,254
AT688_RS01760,32,28,41,148,173,199
AT688_RS01765,45,32,53,265,287,320
AT688_RS01770,36,19,41,146,131,183
AT688_RS01775,1,0,0,11,8,10
AT688_RS01780,39,14,21,264,173,259
AT688_RS01785,39,28,50,130,146,195
AT688_RS01790,199,115,187,767,595,758
AT688_RS01795,666,491,613,2829,2482,3024
AT688_RS01800,33,26,19,158,101,142
AT688_RS01805,90,76,97,381,320,394
AT688_RS01810,107,60,89,516,375,541
AT688_RS01815,190,103,155,1142,824,1270
AT688_RS01820,412,320,417,4207,3620,4473
AT688_RS01825,163,79,163,1005,894,961
AT688_RS01830,263,84,140,1506,827,1169
AT688_RS01835,289,173,224,1518,1346,1978
AT688_RS01840,596,310,450,3663,3277,4025
AT688_RS01845,55,37,29,420,425,502
AT688_RS01850,463,256,327,2280,1700,2227
AT688_RS01855,204,103,114,1199,978,1396
AT688_RS12245,37,18,20,152,138,180
AT688_RS01865,92,51,78,504,441,612
AT688_RS01870,33,23,19,99,107,179
AT688_RS01875,31,5,17,58,41,57
AT688_RS01880,113,73,73,509,354,504
AT688_RS01885,28,25,35,205,115,209
AT688_RS01890,54,26,43,273,212,410
AT688_RS01895,12,6,8,63,49,68
AT688_RS01900,4,0,3,18,11,27
AT688_RS01905,20,13,18,183,147,194
AT688_RS01910,15,7,13,115,69,104
AT688_RS01915,69,39,44,372,318,401
AT688_RS01920,0,0,0,1,0,0
AT688_RS01925,29,15,28,171,134,170
AT688_RS01935,52,34,57,243,204,277
AT688_RS01940,71,78,113,551,471,633
AT688_RS01945,189,115,147,988,596,895
AT688_RS01950,13,6,16,40,36,52
AT688_RS01955,101,59,57,324,233,375
AT688_RS01960,2,6,0,14,14,19
AT688_RS01965,44,18,13,231,174,258
AT688_RS01970,12,3,9,66,54,71
AT688_RS01975,0,0,0,0,0,0
AT688_RS01980,1,3,2,16,21,29
AT688_RS01985,265,153,211,809,548,708
AT688_RS01990,80,48,60,469,402,501
AT688_RS01995,238,137,147,901,604,710
AT688_RS02000,38,26,33,109,68,96
AT688_RS02005,175,93,122,288,190,265
AT688_RS02010,17,6,10,62,32,30
AT688_RS02015,5569,3394,4905,24546,19525,25182
AT688_RS02020,28,23,30,135,104,147
AT688_RS02025,105,76,87,470,405,494
AT688_RS02030,535,379,493,1433,1133,1412
AT688_RS02035,188,95,148,461,288,430
AT688_RS02040,19,11,15,54,27,35
AT688_RS02045,247,112,130,458,315,452
AT688_RS02050,63,41,40,166,88,117
AT688_RS02055,135,90,63,238,163,243
AT688_RS02060,60,27,40,130,84,148
AT688_RS02065,33,26,16,109,54,83
AT688_RS02070,189,67,85,304,228,326
AT688_RS02075,50,22,28,95,42,92
AT688_RS02080,6,4,5,13,6,12
AT688_RS02085,2,0,2,9,8,6
AT688_RS02090,25,8,15,39,17,37
AT688_RS02095,15,4,1,17,4,21
AT688_RS02100,97,56,69,220,103,194
AT688_RS02105,2,0,2,5,2,5
AT688_RS02110,32,13,13,58,50,64
AT688_RS02115,278,188,199,766,594,864
AT688_RS02120,21,18,22,48,30,61
AT688_RS02125,29,6,9,37,24,30
AT688_RS02130,35,16,22,61,39,61
AT688_RS02135,89,50,63,133,109,198
AT688_RS02140,928,817,765,1522,1559,2170
AT688_RS02145,0,0,0,0,0,0
AT688_RS02150,84,45,45,223,151,245
AT688_RS02155,7,7,16,40,50,74
AT688_RS02160,15,8,16,60,38,82
AT688_RS02165,5608,3421,4761,27260,22576,29651
AT688_RS02170,398,222,324,1125,837,1148
AT688_RS02175,834,461,557,2540,1661,2371
AT688_RS02180,382,144,203,791,468,688
AT688_RS02185,303,171,225,1094,759,1000
AT688_RS02190,132,94,128,742,457,729
AT688_RS02195,328,252,202,1278,1196,1749
AT688_RS02200,35,17,23,162,95,185
AT688_RS02205,406,191,283,1428,939,1642
AT688_RS02210,196,147,174,612,408,569
AT688_RS02215,10,3,6,98,53,100
AT688_RS02220,1,0,4,19,24,39
AT688_RS02225,15,6,6,74,49,64
AT688_RS02230,14,9,10,29,13,18
AT688_RS02235,112,77,88,437,332,417
AT688_RS11925,28,24,34,36,45,44
AT688_RS02240,0,0,3,9,7,11
AT688_RS02245,36,20,20,188,110,151
AT688_RS02250,125,67,95,588,391,564
AT688_RS02255,0,0,0,23,9,12
AT688_RS02260,43,15,19,185,111,179
AT688_RS02265,161,92,109,417,269,370
AT688_RS02270,65,40,64,197,104,159
AT688_RS02275,12,3,6,40,17,24
AT688_RS02280,7,8,6,9,11,14
AT688_RS02285,593,301,474,1516,1189,1791
AT688_RS02290,12,9,15,114,91,124
AT688_RS02295,0,0,0,1,0,0
